time,Orlando,pts.away,score,pts.home,Dallas
2:26.0,,,18-19,,D. Nowitzki enters the game for H. Barnes
2:12.0,E. Payton misses 2-pt shot from 6 ft,,18-19,,
2:10.0,Offensive rebound by B. Biyombo,,18-19,,
2:10.0,B. Biyombo misses 2-pt shot from 1 ft,,18-19,,
2:09.0,,,18-19,,Defensive rebound by D. Nowitzki
2:04.0,Shooting block foul by D. Augustin (drawn by D. Harris),,18-19,,
2:04.0,,,18-20,1,D. Harris makes free throw 1 of 2
2:04.0,,,18-21,1,D. Harris makes free throw 2 of 2
1:53.0,,,18-21,,Violation by S. Mejri (def goaltending)
1:53.0,J. Green makes 2-pt shot from 2 ft (assist by S. Ibaka),2,20-21,,
1:42.0,Personal foul by E. Payton (drawn by D. Harris),,20-21,,
1:28.0,,,20-21,,D. Harris misses 2-pt shot from 7 ft
1:27.0,,,20-21,,Offensive rebound by D. Harris
1:24.0,,,20-23,2,D. Nowitzki makes 2-pt shot from 19 ft (assist by D. Harris)
1:12.0,E. Payton misses 2-pt shot from 4 ft (block by S. Mejri),,20-23,,
1:11.0,,,20-23,,Defensive rebound by Y. Ferrell
1:05.0,,,20-26,3,W. Matthews makes 3-pt shot from 24 ft (assist by D. Nowitzki)
0:37.0,Turnover by Team (shot clock),,20-26,,
0:37.0,,,20-26,,D. Powell enters the game for S. Mejri
0:33.0,,,20-29,3,D. Harris makes 3-pt shot from 25 ft
0:31.0,Offensive charge foul by E. Payton,,20-29,,
0:31.0,Turnover by E. Payton (offensive foul),,20-29,,
0:16.0,,,20-29,,D. Powell misses 2-pt shot from 2 ft (block by S. Ibaka)
0:14.0,,,20-29,,Offensive rebound by D. Powell
0:11.0,,,20-29,,D. Nowitzki misses 3-pt shot from 26 ft
0:10.0,Defensive rebound by J. Green,,20-29,,
0:03.0,Shooting foul by D. Nowitzki (drawn by J. Green),,20-29,,
0:03.0,J. Green makes 2-pt shot from 8 ft,2,22-29,,
0:03.0,J. Green makes free throw 1 of 1,1,23-29,,
0:01.0,,,23-29,,D. Harris misses 3-pt shot from 40 ft
0:00.0,,,23-29,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:53.0,Personal foul by B. Biyombo (drawn by D. Harris),,23-29,,
11:44.0,Personal block foul by D. Augustin (drawn by Y. Ferrell),,23-29,,
11:37.0,,,23-32,3,Y. Ferrell makes 3-pt shot from 24 ft
11:10.0,D. Augustin misses 3-pt shot from 26 ft,,23-32,,
11:09.0,,,23-32,,Defensive rebound by D. Harris
10:52.0,,,23-34,2,Y. Ferrell makes 2-pt shot from 11 ft
10:35.0,Turnover by B. Biyombo (lost ball; steal by D. Nowitzki),,23-34,,
10:32.0,,,23-34,,Turnover by D. Harris (traveling)
10:11.0,D. Augustin misses 3-pt shot from 23 ft,,23-34,,
10:10.0,,,23-34,,Defensive rebound by D. Finney-Smith
10:02.0,,,23-34,,D. Nowitzki misses 2-pt shot from 17 ft
10:01.0,Defensive rebound by E. Fournier,,23-34,,
9:56.0,E. Fournier misses 2-pt shot from 1 ft,,23-34,,
9:53.0,,,23-34,,Defensive rebound by D. Powell
9:44.0,,,23-37,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Powell)
9:43.0,Orlando full timeout,,23-37,,
9:43.0,,,23-37,,S. Curry enters the game for D. Harris
9:43.0,M. Hezonja enters the game for E. Payton,,23-37,,
9:43.0,C. Watson enters the game for D. Augustin,,23-37,,
9:43.0,N. Vucevic enters the game for B. Biyombo,,23-37,,
9:30.0,E. Fournier makes 2-pt shot from 15 ft,2,25-37,,
9:08.0,,,25-39,2,D. Powell makes 2-pt shot from 1 ft (assist by Y. Ferrell)
8:50.0,J. Green misses 3-pt shot from 24 ft,,25-39,,
8:49.0,,,25-39,,Defensive rebound by D. Finney-Smith
8:33.0,Personal foul by E. Fournier (drawn by S. Curry),,25-39,,
8:33.0,,,25-39,,H. Barnes enters the game for D. Nowitzki
8:33.0,,,25-39,,S. Mejri enters the game for D. Powell
8:33.0,,,25-39,,D. Williams enters the game for Y. Ferrell
8:21.0,,,25-39,,Turnover by D. Finney-Smith (bad pass; steal by C. Watson)
8:17.0,C. Watson misses 2-pt shot from 2 ft,,25-39,,
8:16.0,Offensive rebound by J. Green,,25-39,,
8:16.0,J. Green makes 2-pt shot from 2 ft,2,27-39,,
7:54.0,,,27-39,,D. Finney-Smith misses 3-pt shot from 24 ft
7:53.0,,,27-39,,Offensive rebound by S. Mejri
7:44.0,,,27-41,2,S. Curry makes 2-pt shot from 17 ft
7:27.0,E. Fournier makes 2-pt shot from 18 ft (assist by N. Vucevic),2,29-41,,
7:10.0,,,29-44,3,S. Curry makes 3-pt shot from 23 ft (assist by H. Barnes)
6:55.0,E. Fournier makes 2-pt shot from 10 ft,2,31-44,,
6:43.0,,,31-44,,H. Barnes misses 2-pt shot from 1 ft (block by M. Hezonja)
6:40.0,Defensive rebound by M. Hezonja,,31-44,,
6:38.0,Turnover by M. Hezonja (bad pass),,31-44,,
6:13.0,,,31-44,,S. Curry misses 3-pt shot from 24 ft
6:12.0,Defensive rebound by M. Hezonja,,31-44,,
6:01.0,Turnover by C. Watson (bad pass; steal by D. Williams),,31-44,,
5:55.0,,,31-44,,S. Curry misses 3-pt shot from 25 ft
5:54.0,,,31-44,,Offensive rebound by H. Barnes
5:42.0,,,31-46,2,S. Curry makes 2-pt shot from 6 ft (assist by D. Williams)
5:42.0,Orlando full timeout,,31-46,,
5:42.0,Official timeout,,31-46,,
5:42.0,,,31-46,,W. Matthews enters the game for D. Finney-Smith
5:42.0,S. Ibaka enters the game for J. Green,,31-46,,
5:25.0,C. Watson misses 2-pt shot from 16 ft,,31-46,,
5:24.0,,,31-46,,Defensive rebound by W. Matthews
5:03.0,,,31-46,,S. Curry misses 2-pt shot from 7 ft
5:02.0,,,31-46,,Offensive rebound by S. Mejri
5:02.0,,,31-46,,S. Mejri misses 2-pt shot at rim
5:01.0,Defensive rebound by N. Vucevic,,31-46,,
4:51.0,,,31-46,,Personal foul by S. Mejri (drawn by N. Vucevic)
4:40.0,S. Ibaka makes 2-pt shot from 10 ft (assist by C. Watson),2,33-46,,
4:26.0,,,33-49,3,D. Williams makes 3-pt shot from 25 ft
4:01.0,S. Ibaka misses 2-pt shot from 14 ft,,33-49,,
4:00.0,,,33-49,,Defensive rebound by S. Mejri
3:51.0,,,33-49,,Offensive foul by H. Barnes
3:51.0,,,33-49,,Turnover by H. Barnes (offensive foul)
3:35.0,N. Vucevic makes 2-pt shot from 9 ft (assist by E. Fournier),2,35-49,,
3:23.0,,,35-51,2,S. Mejri makes 2-pt shot at rim (assist by W. Matthews)
3:06.0,S. Ibaka misses 2-pt shot from 10 ft,,35-51,,
3:05.0,,,35-51,,Defensive rebound by W. Matthews
2:56.0,,,35-53,2,W. Matthews makes 2-pt shot from 22 ft
2:38.0,C. Watson misses 2-pt shot from 21 ft,,35-53,,
2:37.0,,,35-53,,Defensive rebound by S. Mejri
2:24.0,,,35-55,2,H. Barnes makes 2-pt shot at rim (assist by W. Matthews)
2:08.0,E. Fournier misses 3-pt shot from 25 ft,,35-55,,
2:07.0,,,35-55,,Defensive rebound by S. Mejri
1:50.0,,,35-55,,D. Williams misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by N. Vucevic,,35-55,,
1:41.0,Turnover by C. Watson (bad pass; steal by D. Williams),,35-55,,
1:35.0,,,35-57,2,D. Williams makes 2-pt shot from 1 ft
1:35.0,Orlando full timeout,,35-57,,
1:35.0,D. Augustin enters the game for M. Hezonja,,35-57,,
1:35.0,E. Payton enters the game for C. Watson,,35-57,,
1:25.0,N. Vucevic misses 2-pt shot from 19 ft,,35-57,,
1:24.0,,,35-57,,Defensive rebound by H. Barnes
1:10.0,,,35-59,2,H. Barnes makes 2-pt shot from 16 ft (assist by S. Curry)
0:50.0,S. Ibaka misses 2-pt shot from 11 ft,,35-59,,
0:49.0,,,35-59,,Defensive rebound by S. Curry
0:33.0,,,35-59,,S. Curry misses 2-pt shot from 12 ft
0:32.0,Defensive rebound by E. Payton,,35-59,,
0:20.0,S. Ibaka misses 3-pt shot from 25 ft,,35-59,,
0:19.0,,,35-59,,Defensive rebound by S. Mejri
0:04.0,Personal foul by E. Payton (drawn by D. Williams),,35-59,,
0:04.0,C. Watson enters the game for E. Payton,,35-59,,
0:01.0,,,35-61,2,H. Barnes makes 2-pt shot from 22 ft (assist by D. Williams)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:45.0,,,35-64,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by S. Curry)
11:23.0,S. Ibaka makes 2-pt shot from 5 ft,2,37-64,,
11:09.0,,,37-67,3,D. Nowitzki makes 3-pt shot from 24 ft (assist by Y. Ferrell)
10:54.0,E. Fournier misses 2-pt shot from 6 ft,,37-67,,
10:53.0,,,37-67,,Defensive rebound by D. Nowitzki
10:43.0,,,37-67,,D. Nowitzki misses 2-pt shot from 20 ft
10:43.0,Defensive rebound by S. Ibaka,,37-67,,
10:21.0,C. Watson makes 3-pt shot from 25 ft,3,40-67,,
9:58.0,,,40-67,,W. Matthews misses 3-pt shot from 24 ft
9:57.0,Defensive rebound by N. Vucevic,,40-67,,
9:45.0,E. Fournier misses 3-pt shot from 25 ft,,40-67,,
9:44.0,,,40-67,,Defensive rebound by W. Matthews
9:34.0,Personal foul by E. Fournier (drawn by H. Barnes),,40-67,,
9:21.0,,,40-70,3,W. Matthews makes 3-pt shot from 27 ft (assist by S. Curry)
9:01.0,M. Hezonja misses 2-pt shot from 1 ft,,40-70,,
9:00.0,,,40-70,,Defensive rebound by D. Nowitzki
8:46.0,,,40-70,,S. Curry misses 3-pt shot from 25 ft
8:45.0,Defensive rebound by M. Hezonja,,40-70,,
8:39.0,Turnover by M. Hezonja (bad pass),,40-70,,
8:18.0,,,40-72,2,D. Nowitzki makes 2-pt shot from 18 ft (assist by W. Matthews)
8:03.0,Shooting foul by W. Matthews (drawn by E. Fournier),,40-72,,
8:03.0,E. Fournier makes free throw 1 of 2,1,41-72,,
8:03.0,E. Fournier makes free throw 2 of 2,1,42-72,,
7:45.0,,,42-72,,D. Nowitzki misses 2-pt shot from 20 ft
7:44.0,Defensive rebound by S. Ibaka,,42-72,,
7:31.0,Shooting foul by W. Matthews (drawn by E. Fournier),,42-72,,
7:31.0,E. Fournier misses free throw 1 of 2,,42-72,,
7:31.0,Offensive rebound by Team,,42-72,,
7:31.0,E. Fournier misses free throw 2 of 2,,42-72,,
7:31.0,E. Payton enters the game for C. Watson,,42-72,,
7:30.0,,,42-72,,Defensive rebound by D. Nowitzki
7:18.0,,,42-75,3,W. Matthews makes 3-pt shot from 25 ft (assist by Y. Ferrell)
7:17.0,Orlando full timeout,,42-75,,
7:17.0,,,42-75,,D. Harris enters the game for S. Curry
7:17.0,D. Augustin enters the game for M. Hezonja,,42-75,,
7:05.0,E. Fournier misses 3-pt shot from 24 ft,,42-75,,
7:04.0,Offensive rebound by N. Vucevic,,42-75,,
6:54.0,E. Payton misses 3-pt shot from 23 ft,,42-75,,
6:53.0,,,42-75,,Defensive rebound by Y. Ferrell
6:37.0,,,42-75,,D. Nowitzki misses 2-pt shot from 17 ft
6:37.0,Defensive rebound by N. Vucevic,,42-75,,
6:30.0,D. Augustin misses 3-pt shot from 24 ft,,42-75,,
6:28.0,Offensive rebound by E. Fournier,,42-75,,
6:18.0,E. Fournier misses 3-pt shot from 24 ft,,42-75,,
6:18.0,,,42-75,,Defensive rebound by D. Nowitzki
6:10.0,,,42-75,,W. Matthews misses 3-pt shot from 25 ft
6:09.0,Defensive rebound by Team,,42-75,,
5:52.0,S. Ibaka misses 2-pt shot from 13 ft,,42-75,,
5:51.0,,,42-75,,Defensive rebound by D. Harris
5:35.0,,,42-75,,Y. Ferrell misses 2-pt shot from 4 ft
5:34.0,Defensive rebound by D. Augustin,,42-75,,
5:29.0,Turnover by D. Augustin (bad pass; steal by D. Nowitzki),,42-75,,
5:23.0,,,42-75,,Turnover by Y. Ferrell (bad pass; steal by S. Ibaka)
5:22.0,,,42-75,,Personal block foul by W. Matthews (drawn by E. Fournier)
5:22.0,,,42-75,,S. Mejri enters the game for D. Nowitzki
5:13.0,E. Fournier misses 2-pt shot from 15 ft,,42-75,,
5:12.0,,,42-75,,Defensive rebound by S. Mejri
4:54.0,,,42-75,,D. Harris misses 2-pt shot from 14 ft
4:54.0,,,42-75,,Offensive rebound by Team
4:54.0,Loose ball foul by E. Fournier (drawn by S. Mejri),,42-75,,
4:54.0,,,42-75,,J. Anderson enters the game for W. Matthews
4:47.0,,,42-75,,Y. Ferrell misses 3-pt shot from 24 ft
4:46.0,,,42-75,,Offensive rebound by H. Barnes
4:30.0,,,42-75,,Shooting foul by E. Fournier (drawn by J. Anderson)
4:30.0,,,42-76,1,J. Anderson makes free throw 1 of 2
4:30.0,,,42-77,1,J. Anderson makes free throw 2 of 2
4:15.0,Shooting foul by S. Mejri (drawn by N. Vucevic),,42-77,,
4:15.0,N. Vucevic makes free throw 1 of 2,1,43-77,,
4:15.0,,,43-77,,Dallas full timeout
4:15.0,N. Vucevic misses free throw 2 of 2,,43-77,,
4:15.0,J. Green enters the game for S. Ibaka,,43-77,,
4:14.0,,,43-77,,Defensive rebound by J. Anderson
4:00.0,,,43-77,,H. Barnes misses 2-pt shot from 7 ft (block by N. Vucevic)
4:00.0,,,43-77,,Offensive rebound by Team
4:00.0,B. Biyombo enters the game for N. Vucevic,,43-77,,
3:53.0,,,43-77,,D. Harris misses 3-pt shot from 28 ft
3:52.0,,,43-77,,Offensive rebound by S. Mejri
3:49.0,,,43-79,2,S. Mejri makes 2-pt shot from 2 ft
3:23.0,Shooting foul by Y. Ferrell (drawn by D. Augustin),,43-79,,
3:23.0,D. Augustin makes free throw 1 of 2,1,44-79,,
3:23.0,D. Augustin misses free throw 2 of 2,,44-79,,
3:23.0,,,44-79,,Defensive rebound by S. Mejri
3:07.0,,,44-79,,Turnover by J. Anderson (bad pass)
2:56.0,E. Payton makes 2-pt shot from 19 ft,2,46-79,,
2:35.0,,,46-81,2,J. Anderson makes 2-pt shot from 9 ft
2:25.0,M. Hezonja enters the game for E. Fournier,,46-81,,
2:17.0,J. Green misses 2-pt shot from 16 ft,,46-81,,
2:16.0,,,46-81,,Defensive rebound by S. Mejri
1:58.0,,,46-81,,H. Barnes misses 2-pt shot from 1 ft (block by B. Biyombo)
1:56.0,,,46-81,,Offensive rebound by H. Barnes
1:56.0,,,46-83,2,H. Barnes makes 2-pt shot from 1 ft
1:39.0,,,46-83,,Personal foul by S. Mejri (drawn by B. Biyombo)
1:39.0,B. Biyombo makes free throw 1 of 2,1,47-83,,
1:39.0,B. Biyombo makes free throw 2 of 2,1,48-83,,
1:21.0,,,48-83,,H. Barnes misses 2-pt shot from 16 ft
1:20.0,Defensive rebound by E. Payton,,48-83,,
1:13.0,J. Green misses 2-pt shot from 6 ft,,48-83,,
1:12.0,Offensive rebound by B. Biyombo,,48-83,,
1:11.0,B. Biyombo makes 2-pt shot at rim,2,50-83,,
0:49.0,,,50-83,,Y. Ferrell misses 2-pt shot from 9 ft
0:48.0,,,50-83,,Offensive rebound by S. Mejri
0:43.0,,,50-83,,J. Anderson misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by J. Green,,50-83,,
0:28.0,Shooting foul by S. Mejri (drawn by B. Biyombo),,50-83,,
0:28.0,B. Biyombo makes free throw 1 of 2,1,51-83,,
0:28.0,B. Biyombo makes free throw 2 of 2,1,52-83,,
0:28.0,,,51-83,,D. Powell enters the game for S. Mejri
0:28.0,,,51-83,,S. Curry enters the game for Y. Ferrell
0:12.0,,,52-83,,J. Anderson misses 3-pt shot from 23 ft
0:11.0,Defensive rebound by D. Augustin,,52-83,,
0:05.0,Turnover by M. Hezonja (bad pass; steal by D. Powell),,52-83,,
0:01.0,,,52-83,,Shooting foul by J. Green (drawn by J. Anderson)
0:01.0,,,52-83,,J. Anderson misses free throw 1 of 2
0:01.0,,,52-83,,Offensive rebound by Team
0:01.0,,,52-84,1,J. Anderson makes free throw 2 of 2
0:01.0,J. Green misses 3-pt shot from 77 ft,,52-84,,
0:00.0,Offensive rebound by Team,,52-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,B. Biyombo makes 2-pt shot at rim (assist by M. Hezonja),2,54-84,,
11:30.0,,,54-84,,N. Brussino misses 2-pt shot from 17 ft
11:29.0,Defensive rebound by B. Biyombo,,54-84,,
11:18.0,E. Payton misses 2-pt shot from 2 ft (block by N. Brussino),,54-84,,
11:17.0,Offensive rebound by D. Augustin,,54-84,,
11:13.0,M. Hezonja misses 3-pt shot from 24 ft,,54-84,,
11:12.0,,,54-84,,Defensive rebound by Y. Ferrell
10:56.0,,,54-86,2,D. Powell makes 2-pt shot at rim (assist by Y. Ferrell)
10:34.0,E. Payton makes 2-pt shot from 15 ft,2,56-86,,
10:20.0,Personal foul by D. Rudez (drawn by N. Brussino),,56-86,,
10:13.0,,,56-89,3,S. Curry makes 3-pt shot from 26 ft (assist by Y. Ferrell)
9:53.0,E. Payton makes 2-pt shot from 2 ft,2,58-89,,
9:40.0,,,58-91,2,S. Curry makes 2-pt shot from 6 ft
9:28.0,D. Rudez misses 2-pt shot from 18 ft,,58-91,,
9:27.0,,,58-91,,Defensive rebound by Team
9:12.0,,,58-91,,Turnover by S. Curry (bad pass; steal by M. Hezonja)
9:11.0,,,58-91,,Personal take foul by Y. Ferrell (drawn by M. Hezonja)
9:11.0,,,58-91,,D. Finney-Smith enters the game for S. Curry
8:59.0,M. Hezonja misses 2-pt shot from 16 ft,,58-91,,
8:58.0,,,58-91,,Defensive rebound by J. Anderson
8:51.0,,,58-91,,Turnover by J. Anderson (bad pass; steal by D. Rudez)
8:41.0,Turnover by E. Payton (lost ball; steal by N. Brussino),,58-91,,
8:35.0,,,58-91,,D. Finney-Smith misses 3-pt shot from 24 ft
8:35.0,Defensive rebound by Team,,58-91,,
8:35.0,Official timeout,,58-91,,
8:15.0,Turnover by B. Biyombo (lost ball; steal by J. Anderson),,58-91,,
7:58.0,,,58-91,,Turnover by J. Anderson (bad pass; steal by B. Biyombo)
7:49.0,D. Rudez misses 3-pt shot from 24 ft,,58-91,,
7:48.0,,,58-91,,Defensive rebound by J. Anderson
7:40.0,Personal foul by E. Payton (drawn by D. Powell),,58-91,,
7:36.0,,,58-93,2,J. Anderson makes 2-pt shot from 1 ft (assist by N. Brussino)
7:22.0,E. Payton misses 3-pt shot from 25 ft,,58-93,,
7:21.0,,,58-93,,Defensive rebound by N. Brussino
7:15.0,,,58-95,2,D. Finney-Smith makes 2-pt shot at rim (assist by N. Brussino)
7:14.0,Orlando full timeout,,58-95,,
7:14.0,C. Watson enters the game for E. Payton,,58-95,,
7:00.0,D. Rudez makes 3-pt shot from 25 ft (assist by D. Augustin),3,61-95,,
6:47.0,,,61-98,3,D. Powell makes 3-pt shot from 24 ft (assist by N. Brussino)
6:19.0,D. Augustin misses 2-pt shot from 21 ft,,61-98,,
6:18.0,Offensive rebound by B. Biyombo,,61-98,,
6:18.0,B. Biyombo misses 2-pt shot from 1 ft,,61-98,,
6:18.0,Offensive rebound by B. Biyombo,,61-98,,
6:18.0,B. Biyombo makes 2-pt shot from 1 ft,2,63-98,,
6:18.0,,,63-98,,Violation by D. Finney-Smith (def goaltending)
6:02.0,Personal foul by M. Hezonja (drawn by D. Powell),,63-98,,
5:49.0,,,63-100,2,D. Powell makes 2-pt shot at rim (assist by J. Anderson)
5:17.0,B. Biyombo makes 2-pt shot from 1 ft (assist by D. Rudez),2,65-100,,
5:17.0,Shooting foul by N. Brussino (drawn by B. Biyombo),,65-100,,
5:17.0,B. Biyombo makes free throw 1 of 1,1,66-100,,
4:54.0,,,66-102,2,J. Anderson makes 2-pt shot from 2 ft
4:35.0,M. Hezonja makes 3-pt shot from 24 ft (assist by B. Biyombo),3,69-102,,
4:22.0,,,69-102,,Turnover by Y. Ferrell (traveling)
4:09.0,D. Rudez misses 3-pt shot from 23 ft,,69-102,,
4:08.0,,,69-102,,Defensive rebound by N. Brussino
3:59.0,,,69-102,,Turnover by Y. Ferrell (step out of bounds)
3:59.0,,,69-102,,Dallas full timeout
3:45.0,M. Hezonja misses 2-pt shot from 20 ft,,69-102,,
3:44.0,Offensive rebound by B. Biyombo,,69-102,,
3:36.0,D. Rudez makes 2-pt shot from 22 ft (assist by B. Biyombo),2,71-102,,
3:25.0,,,71-102,,D. Finney-Smith misses 2-pt shot from 21 ft
3:24.0,Defensive rebound by M. Hezonja,,71-102,,
3:17.0,M. Hezonja misses 3-pt shot from 25 ft,,71-102,,
3:16.0,,,71-102,,Defensive rebound by N. Brussino
3:03.0,,,71-102,,Y. Ferrell misses 2-pt shot from 16 ft
3:02.0,,,71-102,,Offensive rebound by D. Powell
2:46.0,,,71-105,3,N. Brussino makes 3-pt shot from 26 ft (assist by Y. Ferrell)
2:25.0,C. Watson makes 2-pt shot from 18 ft,2,73-105,,
2:08.0,,,73-105,,D. Finney-Smith misses 3-pt shot from 24 ft
2:08.0,Defensive rebound by B. Biyombo,,73-105,,
1:52.0,B. Biyombo makes 2-pt shot from 4 ft (assist by C. Watson),2,75-105,,
1:43.0,,,75-107,2,N. Brussino makes 2-pt shot from 5 ft
1:38.0,,,75-107,,Shooting block foul by D. Powell (drawn by C. Watson)
1:38.0,C. Watson misses free throw 1 of 2,,75-107,,
1:38.0,Offensive rebound by Team,,75-107,,
1:38.0,C. Watson makes free throw 2 of 2,1,76-107,,
1:23.0,,,76-107,,D. Powell misses 2-pt shot from 20 ft
1:22.0,,,76-107,,Offensive rebound by D. Finney-Smith
1:14.0,,,76-110,3,N. Brussino makes 3-pt shot from 23 ft (assist by D. Finney-Smith)
