time,Charlotte,pts.away,score,pts.home,Toronto
2:56.0,,,16-26,,D. DeRozan misses 2-pt shot from 15 ft
2:56.0,,,16-26,,Offensive rebound by D. Wright
2:41.0,,,16-26,,D. DeRozan misses 3-pt shot from 24 ft
2:41.0,Defensive rebound by M. Belinelli,,16-26,,
2:30.0,K. Walker misses 3-pt shot from 25 ft,,16-26,,
2:30.0,Offensive rebound by M. Tobey,,16-26,,
2:28.0,M. Tobey makes 2-pt shot from 1 ft,2,18-26,,
2:10.0,,,18-26,,Shooting foul by J. Lamb (drawn by D. Wright)
2:10.0,,,18-27,1,D. Wright makes free throw 1 of 2
2:10.0,,,18-27,,D. Wright misses free throw 2 of 2
2:10.0,,,18-27,,C. Joseph enters the game for K. Lowry
2:10.0,M. Williams enters the game for M. Kidd-Gilchrist,,18-27,,
2:10.0,T. Graham enters the game for K. Walker,,18-27,,
2:10.0,B. Roberts enters the game for J. Lamb,,18-27,,
2:10.0,,,18-27,,D. Carroll enters the game for N. Powell
2:09.0,Defensive rebound by M. Williams,,18-27,,
1:49.0,M. Tobey misses 2-pt shot at rim (block by L. Nogueira),,18-27,,
1:48.0,,,18-27,,Defensive rebound by D. DeRozan
1:40.0,,,18-27,,Shooting foul by M. Tobey (drawn by D. Carroll)
1:40.0,,,18-28,1,D. Carroll makes free throw 1 of 2
1:40.0,,,18-29,1,D. Carroll makes free throw 2 of 2
1:20.0,B. Roberts makes 2-pt shot from 14 ft,2,20-29,,
0:57.0,,,20-29,,C. Joseph misses 2-pt shot from 19 ft
0:56.0,Defensive rebound by M. Williams,,20-29,,
0:47.0,T. Graham misses 3-pt shot from 25 ft,,20-29,,
0:46.0,,,20-29,,Defensive rebound by L. Nogueira
0:26.0,,,20-31,2,D. DeRozan makes 2-pt shot from 10 ft
0:10.0,,,20-31,,Personal take foul by D. Wright (drawn by B. Roberts)
0:02.0,T. Graham misses 2-pt shot from 9 ft (block by L. Nogueira),,20-31,,
0:01.0,,,20-31,,Defensive rebound by L. Nogueira
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,M. Belinelli misses 3-pt shot from 26 ft,,20-31,,
11:43.0,,,20-31,,Defensive rebound by Team
11:43.0,Loose ball foul by M. Tobey (drawn by L. Nogueira),,20-31,,
11:24.0,,,20-31,,K. Lowry misses 3-pt shot from 22 ft
11:23.0,Defensive rebound by M. Williams,,20-31,,
11:14.0,B. Roberts misses 3-pt shot from 26 ft,,20-31,,
11:14.0,,,20-31,,Defensive rebound by K. Lowry
11:07.0,,,20-31,,K. Lowry misses 2-pt shot from 4 ft (block by M. Williams)
11:05.0,Defensive rebound by T. Graham,,20-31,,
10:49.0,,,20-31,,Personal foul by L. Nogueira (drawn by M. Belinelli)
10:40.0,M. Williams misses 3-pt shot from 25 ft,,20-31,,
10:39.0,,,20-31,,Defensive rebound by D. Carroll
10:17.0,,,20-34,3,D. Carroll makes 3-pt shot from 24 ft (assist by C. Joseph)
9:58.0,M. Williams makes 2-pt shot from 8 ft,2,22-34,,
9:47.0,,,22-34,,K. Lowry misses 3-pt shot from 26 ft
9:47.0,Defensive rebound by M. Tobey,,22-34,,
9:33.0,Turnover by M. Belinelli (bad pass),,22-34,,
9:33.0,N. Batum enters the game for T. Graham,,22-34,,
9:09.0,,,22-34,,D. Carroll misses 3-pt shot from 26 ft
9:09.0,Defensive rebound by B. Roberts,,22-34,,
8:55.0,M. Belinelli misses 2-pt shot from 4 ft (block by L. Nogueira),,22-34,,
8:54.0,,,22-34,,Defensive rebound by D. Carroll
8:50.0,,,22-34,,Shooting foul by N. Batum (drawn by D. Wright)
8:50.0,Official timeout,,22-34,,
8:50.0,,,22-35,1,D. Wright makes free throw 1 of 2
8:50.0,,,22-36,1,D. Wright makes free throw 2 of 2
8:50.0,F. Kaminsky enters the game for M. Tobey,,22-34,,
8:50.0,K. Walker enters the game for B. Roberts,,22-34,,
8:28.0,F. Kaminsky misses 2-pt shot from 3 ft,,22-36,,
8:28.0,,,22-36,,Defensive rebound by D. Carroll
8:17.0,,,22-36,,Turnover by D. Carroll (bad pass)
8:01.0,N. Batum makes 3-pt shot from 24 ft (assist by K. Walker),3,25-36,,
7:46.0,Personal foul by K. Walker (drawn by L. Nogueira),,25-36,,
7:32.0,,,25-36,,K. Lowry misses 3-pt shot from 26 ft
7:32.0,Defensive rebound by M. Williams,,25-36,,
7:24.0,K. Walker misses 2-pt shot from 3 ft,,25-36,,
7:23.0,,,25-36,,Defensive rebound by L. Nogueira
7:14.0,,,25-36,,Turnover by L. Nogueira (bad pass; steal by N. Batum)
7:06.0,F. Kaminsky makes 2-pt shot from 1 ft (assist by M. Belinelli),2,27-36,,
7:00.0,,,27-36,,Toronto full timeout
7:00.0,,,27-36,,J. Valanciunas enters the game for D. Wright
7:00.0,,,27-36,,D. DeRozan enters the game for L. Nogueira
6:40.0,,,27-36,,D. DeRozan misses 2-pt shot from 14 ft
6:39.0,Defensive rebound by N. Batum,,27-36,,
6:29.0,F. Kaminsky misses 2-pt shot from 4 ft,,27-36,,
6:28.0,,,27-36,,Defensive rebound by J. Valanciunas
6:15.0,,,27-36,,J. Valanciunas misses 2-pt shot from 4 ft (block by M. Williams)
6:14.0,Defensive rebound by M. Williams,,27-36,,
6:00.0,,,27-36,,N. Powell enters the game for C. Joseph
6:00.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,27-36,,
5:57.0,M. Williams misses 3-pt shot from 27 ft,,27-36,,
5:57.0,,,27-36,,Defensive rebound by J. Valanciunas
5:47.0,,,27-36,,D. Carroll misses 2-pt shot from 20 ft
5:46.0,Defensive rebound by M. Kidd-Gilchrist,,27-36,,
5:37.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by F. Kaminsky),2,29-36,,
5:23.0,,,29-38,2,N. Powell makes 2-pt shot from 2 ft
5:23.0,,,29-38,,Shooting foul by N. Batum (drawn by N. Powell)
5:23.0,,,29-38,,N. Powell misses free throw 1 of 1
5:21.0,,,29-38,,Offensive rebound by Team
5:15.0,,,29-40,2,D. DeRozan makes 2-pt shot from 7 ft
5:15.0,,,29-40,,Shooting foul by N. Batum (drawn by D. DeRozan)
5:15.0,,,29-40,,D. DeRozan misses free throw 1 of 1
5:15.0,M. Belinelli enters the game for N. Batum,,29-40,,
5:14.0,Defensive rebound by M. Kidd-Gilchrist,,29-40,,
4:59.0,K. Walker misses 2-pt shot from 18 ft,,29-40,,
4:58.0,,,29-40,,Defensive rebound by J. Valanciunas
4:44.0,,,29-40,,D. DeRozan misses 2-pt shot from 6 ft (block by M. Kidd-Gilchrist)
4:43.0,Defensive rebound by F. Kaminsky,,29-40,,
4:37.0,K. Walker misses 2-pt shot from 2 ft,,29-40,,
4:36.0,,,29-40,,Defensive rebound by D. DeRozan
4:32.0,,,29-42,2,D. DeRozan makes 2-pt shot from 3 ft
4:32.0,,,29-42,,Shooting foul by F. Kaminsky (drawn by D. DeRozan)
4:32.0,,,29-42,,D. DeRozan misses free throw 1 of 1
4:31.0,Defensive rebound by M. Kidd-Gilchrist,,29-42,,
4:09.0,F. Kaminsky misses 3-pt shot from 25 ft,,29-42,,
4:08.0,Offensive rebound by M. Williams,,29-42,,
4:04.0,K. Walker makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,32-42,,
3:37.0,,,32-42,,J. Valanciunas misses 2-pt shot from 19 ft
3:36.0,Defensive rebound by M. Kidd-Gilchrist,,32-42,,
3:29.0,Turnover by K. Walker (bad pass; steal by N. Powell),,32-42,,
3:24.0,,,32-42,,Turnover by N. Powell (lost ball)
3:12.0,Turnover by K. Walker (bad pass),,32-42,,
2:53.0,,,32-42,,K. Lowry misses 3-pt shot from 26 ft
2:53.0,Defensive rebound by M. Williams,,32-42,,
2:41.0,K. Walker makes 3-pt shot from 26 ft,3,35-42,,
2:28.0,,,35-42,,D. DeRozan misses 3-pt shot from 24 ft
2:28.0,Defensive rebound by K. Walker,,35-42,,
2:18.0,K. Walker makes 3-pt shot from 25 ft,3,38-42,,
2:13.0,,,38-42,,Toronto full timeout
2:13.0,Charlotte full timeout,,38-42,,
2:13.0,,,38-42,,C. Joseph enters the game for K. Lowry
2:13.0,M. Tobey enters the game for F. Kaminsky,,38-42,,
2:01.0,,,38-42,,C. Joseph misses 2-pt shot from 7 ft
2:00.0,Defensive rebound by M. Kidd-Gilchrist,,38-42,,
1:53.0,K. Walker makes 3-pt shot from 26 ft,3,41-42,,
1:30.0,,,41-44,2,N. Powell makes 2-pt shot at rim (assist by J. Valanciunas)
1:00.0,Turnover by M. Williams (traveling),,41-44,,
0:44.0,,,41-44,,Turnover by N. Powell (bad pass)
0:25.0,M. Kidd-Gilchrist misses 2-pt shot from 5 ft,,41-44,,
0:24.0,Offensive rebound by M. Tobey,,41-44,,
0:23.0,M. Tobey misses 2-pt shot from 1 ft,,41-44,,
0:22.0,,,41-44,,Defensive rebound by J. Valanciunas
0:21.0,Jump ball: M. Tobey vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: M. Tobey vs. J. Valanciunas (D. DeRozan gains possession)
0:00.0,,,41-44,,D. DeRozan misses 2-pt shot from 13 ft
0:00.0,,,41-44,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by M. Kidd-Gilchrist (lost ball; steal by N. Powell),,41-44,,
11:35.0,,,41-44,,Turnover by J. Valanciunas (bad pass; steal by K. Walker)
11:33.0,,,41-44,,Personal take foul by K. Lowry (drawn by K. Walker)
11:27.0,F. Kaminsky makes 2-pt shot at rim (assist by K. Walker),2,43-44,,
11:07.0,,,43-44,,Turnover by D. DeRozan (bad pass; steal by N. Batum)
11:02.0,K. Walker makes 2-pt shot from 1 ft (assist by N. Batum),2,45-44,,
10:45.0,,,45-44,,K. Lowry misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by F. Kaminsky,,45-44,,
10:30.0,F. Kaminsky makes 2-pt shot from 17 ft (assist by K. Walker),2,47-44,,
10:29.0,,,47-44,,Toronto full timeout
10:16.0,,,47-44,,D. DeRozan misses 2-pt shot from 3 ft
10:15.0,Defensive rebound by K. Walker,,47-44,,
10:04.0,Turnover by N. Batum (bad pass),,47-44,,
9:52.0,,,47-44,,N. Powell misses 3-pt shot from 27 ft
9:52.0,Defensive rebound by N. Batum,,47-44,,
9:41.0,Offensive foul by M. Kidd-Gilchrist,,47-44,,
9:41.0,Turnover by M. Kidd-Gilchrist (offensive foul),,47-44,,
9:31.0,,,47-44,,D. DeRozan misses 2-pt shot from 15 ft
9:30.0,,,47-44,,Offensive rebound by D. Carroll
9:16.0,,,47-44,,D. Carroll misses 2-pt shot from 17 ft
9:15.0,Defensive rebound by M. Kidd-Gilchrist,,47-44,,
8:57.0,F. Kaminsky makes 2-pt shot from 5 ft,2,49-44,,
8:37.0,Shooting block foul by F. Kaminsky (drawn by N. Powell),,49-44,,
8:37.0,,,49-45,1,N. Powell makes free throw 1 of 2
8:37.0,,,49-46,1,N. Powell makes free throw 2 of 2
8:24.0,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum),2,51-46,,
8:02.0,,,51-46,,D. Carroll misses 3-pt shot from 24 ft
8:02.0,Defensive rebound by F. Kaminsky,,51-46,,
7:47.0,K. Walker misses 3-pt shot from 26 ft,,51-46,,
7:47.0,,,51-46,,Defensive rebound by J. Valanciunas
7:38.0,,,51-46,,D. DeRozan misses 2-pt shot from 8 ft
7:37.0,Defensive rebound by M. Kidd-Gilchrist,,51-46,,
7:30.0,N. Batum misses 3-pt shot from 26 ft,,51-46,,
7:30.0,,,51-46,,Defensive rebound by J. Valanciunas
7:19.0,,,51-48,2,K. Lowry makes 2-pt shot from 2 ft
7:03.0,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker),3,54-48,,
6:41.0,,,54-48,,N. Powell misses 2-pt shot from 8 ft
6:40.0,,,54-48,,Offensive rebound by Team
6:40.0,,,54-48,,L. Nogueira enters the game for J. Valanciunas
6:20.0,,,54-51,3,N. Powell makes 3-pt shot from 27 ft (assist by D. Carroll)
5:59.0,,,54-51,,Violation by D. Carroll (kicked ball)
5:55.0,Shooting foul by N. Powell (drawn by N. Batum),,54-51,,
5:55.0,N. Batum makes free throw 1 of 3,1,55-51,,
5:55.0,N. Batum misses free throw 2 of 3,,55-51,,
5:55.0,Offensive rebound by Team,,55-51,,
5:55.0,N. Batum makes free throw 3 of 3,1,56-51,,
5:55.0,J. Lamb enters the game for M. Williams,,55-51,,
5:55.0,,,55-51,,D. Wright enters the game for D. Carroll
5:35.0,,,56-51,,Offensive foul by L. Nogueira
5:35.0,,,56-51,,Turnover by L. Nogueira (offensive foul)
5:22.0,F. Kaminsky makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist),3,59-51,,
5:01.0,,,59-51,,D. Wright misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by M. Kidd-Gilchrist,,59-51,,
4:48.0,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum),3,62-51,,
4:20.0,,,62-53,2,D. DeRozan makes 2-pt shot from 17 ft
3:55.0,J. Lamb misses 3-pt shot from 24 ft,,62-53,,
3:55.0,,,62-53,,Defensive rebound by D. DeRozan
3:46.0,,,62-55,2,D. DeRozan makes 2-pt shot from 12 ft
3:30.0,F. Kaminsky makes 2-pt shot from 7 ft (assist by K. Walker),2,64-55,,
3:15.0,,,64-55,,N. Powell misses 3-pt shot from 24 ft
3:14.0,Defensive rebound by M. Kidd-Gilchrist,,64-55,,
3:00.0,J. Lamb makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,66-55,,
2:59.0,,,66-55,,Toronto full timeout
2:59.0,Charlotte full timeout,,66-55,,
2:59.0,M. Belinelli enters the game for N. Batum,,66-55,,
2:59.0,,,66-55,,C. Joseph enters the game for K. Lowry
2:41.0,,,66-55,,D. DeRozan misses 2-pt shot from 12 ft
2:41.0,Defensive rebound by J. Lamb,,66-55,,
2:19.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft (block by D. Wright),,66-55,,
2:18.0,,,66-55,,Defensive rebound by L. Nogueira
2:04.0,,,66-55,,N. Powell misses 3-pt shot from 23 ft
2:04.0,Defensive rebound by J. Lamb,,66-55,,
1:47.0,J. Lamb makes 2-pt shot from 11 ft (assist by K. Walker),2,68-55,,
1:27.0,,,68-58,3,N. Powell makes 3-pt shot from 24 ft (assist by D. DeRozan)
1:09.0,Shooting foul by L. Nogueira (drawn by F. Kaminsky),,68-58,,
1:09.0,F. Kaminsky makes free throw 1 of 2,1,69-58,,
1:09.0,F. Kaminsky makes free throw 2 of 2,1,70-58,,
0:59.0,,,70-58,,D. DeRozan misses 2-pt shot from 14 ft
0:59.0,Defensive rebound by K. Walker,,70-58,,
0:48.0,F. Kaminsky makes 2-pt shot from 3 ft (assist by K. Walker),2,72-58,,
0:28.0,,,72-58,,D. DeRozan misses 2-pt shot from 6 ft
0:28.0,Defensive rebound by K. Walker,,72-58,,
0:05.0,M. Belinelli makes 3-pt shot from 24 ft (assist by K. Walker),3,75-58,,
0:00.0,,,75-58,,C. Joseph misses 2-pt shot from 14 ft
0:00.0,,,75-58,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,,,75-58,,Turnover by J. Poeltl (3 sec)
11:21.0,M. Williams misses 3-pt shot from 26 ft,,75-58,,
11:21.0,,,75-58,,Defensive rebound by K. Lowry
11:15.0,,,75-60,2,D. Carroll makes 2-pt shot from 2 ft (assist by K. Lowry)
10:49.0,J. Lamb misses 2-pt shot from 6 ft,,75-60,,
10:48.0,,,75-60,,Defensive rebound by K. Lowry
10:40.0,,,75-63,3,C. Joseph makes 3-pt shot from 24 ft (assist by D. Carroll)
10:20.0,M. Belinelli misses 3-pt shot from 26 ft,,75-63,,
10:19.0,,,75-63,,Defensive rebound by K. Lowry
10:15.0,Personal block foul by K. Walker (drawn by K. Lowry),,75-63,,
10:10.0,,,75-63,,Shooting foul by J. Lamb (drawn by D. Wright)
10:10.0,,,75-64,1,D. Wright makes free throw 1 of 2
10:10.0,,,75-65,1,D. Wright makes free throw 2 of 2
9:58.0,Turnover by K. Walker (bad pass; steal by D. Wright),,75-65,,
9:55.0,,,75-67,2,D. Wright makes 2-pt shot at rim (assist by J. Poeltl)
9:55.0,Charlotte full timeout,,75-67,,
9:55.0,F. Kaminsky enters the game for J. Lamb,,75-67,,
9:55.0,N. Batum enters the game for M. Tobey,,75-67,,
9:34.0,M. Belinelli misses 2-pt shot from 3 ft,,75-67,,
9:33.0,,,75-67,,Defensive rebound by C. Joseph
9:26.0,,,75-70,3,C. Joseph makes 3-pt shot from 25 ft (assist by D. Wright)
9:05.0,,,75-70,,Personal block foul by J. Poeltl (drawn by N. Batum)
8:55.0,M. Belinelli misses 3-pt shot from 24 ft,,75-70,,
8:54.0,,,75-70,,Defensive rebound by D. Carroll
8:37.0,,,75-73,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. Carroll)
8:19.0,,,75-73,,Personal foul by K. Lowry (drawn by K. Walker)
8:19.0,M. Kidd-Gilchrist enters the game for M. Belinelli,,75-73,,
8:10.0,M. Kidd-Gilchrist misses 2-pt shot from 18 ft,,75-73,,
8:10.0,,,75-73,,Defensive rebound by K. Lowry
8:02.0,,,75-73,,D. Carroll misses 3-pt shot from 25 ft
8:02.0,Defensive rebound by M. Kidd-Gilchrist,,75-73,,
7:55.0,,,75-73,,Shooting block foul by D. Carroll (drawn by K. Walker)
7:55.0,K. Walker makes free throw 1 of 2,1,76-73,,
7:55.0,K. Walker makes free throw 2 of 2,1,77-73,,
7:41.0,,,77-75,2,D. Wright makes 2-pt shot from 2 ft
7:24.0,F. Kaminsky misses 3-pt shot from 27 ft,,77-75,,
7:24.0,,,77-75,,Defensive rebound by D. Carroll
7:11.0,,,77-78,3,K. Lowry makes 3-pt shot from 26 ft (assist by D. Wright)
7:11.0,Charlotte full timeout,,77-78,,
6:57.0,N. Batum misses 3-pt shot from 26 ft,,77-78,,
6:56.0,,,77-78,,Defensive rebound by D. Carroll
6:40.0,,,77-78,,D. Carroll misses 3-pt shot from 25 ft
6:39.0,,,77-78,,Offensive rebound by C. Joseph
6:34.0,,,77-78,,K. Lowry misses 3-pt shot from 28 ft
6:34.0,Defensive rebound by M. Kidd-Gilchrist,,77-78,,
6:10.0,N. Batum misses 3-pt shot from 25 ft,,77-78,,
6:10.0,,,77-78,,Defensive rebound by J. Poeltl
6:03.0,,,77-78,,K. Lowry misses 2-pt shot from 7 ft
6:02.0,Defensive rebound by N. Batum,,77-78,,
5:45.0,Turnover by N. Batum (bad pass; steal by D. Carroll),,77-78,,
5:26.0,,,77-78,,D. Wright misses 2-pt shot from 2 ft (block by N. Batum)
5:26.0,,,77-78,,Offensive rebound by Team
5:26.0,Official timeout,,77-78,,
5:24.0,,,77-78,,Turnover by C. Joseph (bad pass; steal by M. Williams)
5:10.0,Offensive foul by F. Kaminsky,,77-78,,
5:10.0,Turnover by F. Kaminsky (offensive foul),,77-78,,
4:46.0,,,77-80,2,K. Lowry makes 2-pt shot from 2 ft
4:26.0,K. Walker misses 3-pt shot from 27 ft,,77-80,,
4:25.0,,,77-80,,Defensive rebound by D. Carroll
4:09.0,,,77-80,,D. Carroll misses 2-pt shot from 2 ft
4:09.0,,,77-80,,Offensive rebound by J. Poeltl
4:08.0,,,77-80,,J. Poeltl misses 2-pt shot from 2 ft
4:07.0,,,77-80,,Offensive rebound by J. Poeltl
4:07.0,,,77-80,,J. Poeltl misses 2-pt shot from 2 ft
4:06.0,Defensive rebound by F. Kaminsky,,77-80,,
3:57.0,M. Williams misses 2-pt shot from 2 ft,,77-80,,
3:57.0,,,77-80,,Defensive rebound by J. Poeltl
3:45.0,,,77-82,2,J. Poeltl makes 2-pt shot from 2 ft (assist by K. Lowry)
3:27.0,Turnover by N. Batum (kicked ball),,77-82,,
3:13.0,,,77-82,,K. Lowry misses 2-pt shot from 20 ft
3:12.0,Defensive rebound by M. Williams,,77-82,,
3:04.0,K. Walker makes 2-pt shot from 5 ft,2,79-82,,
2:49.0,,,79-82,,Turnover by J. Poeltl (bad pass; steal by M. Williams)
2:32.0,M. Williams misses 3-pt shot from 24 ft,,79-82,,
2:32.0,,,79-82,,Defensive rebound by J. Poeltl
2:30.0,,,79-82,,Toronto full timeout
2:19.0,Personal foul by N. Batum (drawn by D. Wright),,79-82,,
2:07.0,,,79-82,,K. Lowry misses 2-pt shot from 4 ft (block by F. Kaminsky)
2:07.0,,,79-82,,Offensive rebound by Team
2:06.0,,,79-82,,C. Joseph misses 2-pt shot from 20 ft
2:05.0,,,79-82,,Offensive rebound by D. Carroll
2:05.0,,,79-82,,Turnover by Team (shot clock)
1:54.0,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum),3,82-82,,
1:41.0,,,82-84,2,K. Lowry makes 2-pt shot from 11 ft (assist by C. Joseph)
1:41.0,,,82-84,,Shooting foul by M. Kidd-Gilchrist (drawn by K. Lowry)
1:41.0,,,82-85,1,K. Lowry makes free throw 1 of 1
1:29.0,Turnover by N. Batum (bad pass; steal by D. Wright),,82-85,,
1:26.0,,,82-87,2,D. Wright makes 2-pt shot from 1 ft
1:15.0,,,82-87,,Personal block foul by J. Poeltl (drawn by K. Walker)
1:06.0,M. Williams misses 3-pt shot from 24 ft,,82-87,,
1:06.0,,,82-87,,Defensive rebound by J. Poeltl
0:55.0,,,82-87,,D. Carroll misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist)
0:53.0,,,82-87,,Offensive rebound by Team
0:49.0,,,82-87,,K. Lowry misses 3-pt shot from 26 ft
0:48.0,,,82-87,,Offensive rebound by D. Carroll
0:45.0,,,82-87,,Toronto full timeout
0:42.0,,,82-87,,K. Lowry misses 2-pt shot from 14 ft
0:42.0,,,82-87,,Offensive rebound by Team
0:42.0,,,82-87,,Turnover by Team (shot clock)
0:29.0,N. Batum makes 3-pt shot from 25 ft,3,85-87,,
