time,Golden State,pts.away,score,pts.home,Brooklyn
5:45.0,A. Iguodala enters the game for K. Durant,,16-20,,
5:45.0,J. McGee enters the game for Z. Pachulia,,16-20,,
5:38.0,,,16-20,,B. Bogdanovic misses 2-pt shot from 5 ft
5:37.0,Defensive rebound by A. Iguodala,,16-20,,
5:27.0,K. Looney misses 2-pt shot from 2 ft,,16-20,,
5:26.0,,,16-20,,Defensive rebound by B. Lopez
5:24.0,,,16-20,,Turnover by B. Lopez (bad pass; steal by A. Iguodala)
5:14.0,K. Thompson makes 2-pt shot from 16 ft,2,18-20,,
4:58.0,,,18-20,,B. Lopez misses 3-pt shot from 25 ft
4:57.0,Defensive rebound by K. Looney,,18-20,,
4:50.0,S. Curry makes 2-pt shot from 14 ft,2,20-20,,
4:34.0,,,20-23,3,J. Lin makes 3-pt shot from 25 ft
4:23.0,Turnover by S. Curry (bad pass; steal by J. Lin),,20-23,,
4:19.0,,,20-25,2,B. Bogdanovic makes 2-pt shot from 3 ft (assist by J. Lin)
4:00.0,A. Iguodala makes 2-pt shot from 19 ft,2,22-25,,
3:52.0,,,22-25,,Shooting foul by K. Looney (drawn by S. Kilpatrick)
3:52.0,,,22-26,1,S. Kilpatrick makes free throw 1 of 2
3:52.0,,,22-26,,S. Kilpatrick misses free throw 2 of 2
3:52.0,,,22-26,,S. Dinwiddie enters the game for J. Lin
3:52.0,,,22-26,,R. Hollis-Jefferson enters the game for B. Bogdanovic
3:52.0,D. West enters the game for K. Looney,,22-26,,
3:51.0,Defensive rebound by D. West,,22-26,,
3:41.0,D. West makes 2-pt shot from 18 ft (assist by S. Curry),2,24-26,,
3:26.0,,,24-26,,Turnover by J. Hamilton (bad pass; steal by A. Iguodala)
3:18.0,K. Thompson makes 3-pt shot from 22 ft (assist by A. Iguodala),3,27-26,,
3:18.0,,,27-26,,Brooklyn full timeout
3:18.0,,,27-26,,T. Booker enters the game for B. Lopez
3:18.0,,,27-26,,J. Harris enters the game for S. Kilpatrick
3:18.0,I. Clark enters the game for K. Thompson,,27-26,,
3:09.0,Violation by D. West (kicked ball),,27-26,,
3:05.0,,,27-26,,Turnover by J. Harris (bad pass)
2:51.0,S. Curry misses 3-pt shot from 23 ft,,27-26,,
2:50.0,,,27-26,,Defensive rebound by Team
2:31.0,,,27-26,,J. Hamilton misses 3-pt shot from 24 ft
2:29.0,Defensive rebound by A. Iguodala,,27-26,,
2:24.0,Shooting foul by J. Hamilton (drawn by J. McGee),,27-26,,
2:24.0,J. McGee misses free throw 1 of 2,,27-26,,
2:24.0,Offensive rebound by Team,,27-26,,
2:24.0,J. McGee makes free throw 2 of 2,1,28-26,,
2:12.0,,,28-26,,R. Hollis-Jefferson misses 2-pt shot from 3 ft
2:11.0,Defensive rebound by A. Iguodala,,28-26,,
2:06.0,S. Curry misses 3-pt shot from 25 ft,,28-26,,
2:05.0,,,28-26,,Defensive rebound by T. Booker
1:58.0,,,28-29,3,R. Hollis-Jefferson makes 3-pt shot from 26 ft (assist by T. Booker)
1:40.0,S. Curry misses 3-pt shot from 24 ft,,28-29,,
1:39.0,,,28-29,,Defensive rebound by J. Hamilton
1:30.0,,,28-29,,T. Booker misses 2-pt shot from 1 ft (block by J. McGee)
1:28.0,Defensive rebound by D. West,,28-29,,
1:27.0,Turnover by D. West (bad pass),,28-29,,
1:27.0,K. Durant enters the game for J. McGee,,28-29,,
1:27.0,,,28-29,,C. LeVert enters the game for J. Hamilton
1:14.0,,,28-29,,R. Hollis-Jefferson misses 3-pt shot from 25 ft
1:12.0,Defensive rebound by A. Iguodala,,28-29,,
1:06.0,S. Curry makes 3-pt shot from 23 ft (assist by K. Durant),3,31-29,,
0:56.0,,,31-32,3,J. Harris makes 3-pt shot from 24 ft (assist by C. LeVert)
0:45.0,Offensive foul by D. West,,31-32,,
0:45.0,Turnover by D. West (offensive foul),,31-32,,
0:35.0,,,31-34,2,S. Dinwiddie makes 2-pt shot from 11 ft
0:23.0,I. Clark misses 3-pt shot from 24 ft,,31-34,,
0:22.0,Offensive rebound by D. West,,31-34,,
0:20.0,I. Clark makes 2-pt shot from 2 ft (assist by D. West),2,33-34,,
0:03.0,,,33-34,,S. Dinwiddie misses 2-pt shot from 6 ft
0:02.0,Defensive rebound by K. Durant,,33-34,,
0:02.0,S. Curry misses 3-pt shot from 48 ft,,33-34,,
0:00.0,Offensive rebound by Team,,33-34,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,33-34,,R. Hollis-Jefferson misses 2-pt shot from 3 ft (block by D. West)
11:38.0,,,33-34,,Offensive rebound by Team
11:36.0,Personal foul by D. West (drawn by R. Hollis-Jefferson),,33-34,,
11:27.0,,,33-34,,C. LeVert misses 2-pt shot from 22 ft
11:26.0,Defensive rebound by A. Iguodala,,33-34,,
11:07.0,K. Durant misses 2-pt shot from 2 ft,,33-34,,
11:06.0,,,33-34,,Defensive rebound by J. Hamilton
11:03.0,,,33-37,3,S. Kilpatrick makes 3-pt shot from 24 ft (assist by C. LeVert)
10:43.0,K. Durant misses 2-pt shot from 18 ft,,33-37,,
10:42.0,,,33-37,,Defensive rebound by J. Hamilton
10:29.0,,,33-39,2,J. Hamilton makes 2-pt shot from 4 ft (assist by C. LeVert)
10:13.0,D. West misses 2-pt shot from 20 ft,,33-39,,
10:12.0,,,33-39,,Defensive rebound by R. Hollis-Jefferson
10:08.0,,,33-41,2,R. Hollis-Jefferson makes 2-pt shot from 19 ft
9:50.0,Turnover by D. West (bad pass; steal by R. Hollis-Jefferson),,33-41,,
9:46.0,,,33-43,2,S. Kilpatrick makes 2-pt shot from 1 ft (assist by C. LeVert)
9:46.0,Golden State full timeout,,33-43,,
9:46.0,K. Thompson enters the game for I. Clark,,33-43,,
9:33.0,D. West makes 2-pt shot from 4 ft (assist by K. Durant),2,35-43,,
9:09.0,,,35-43,,R. Hollis-Jefferson misses 3-pt shot from 25 ft
9:08.0,Defensive rebound by Team,,35-43,,
8:56.0,K. Durant makes 2-pt shot from 15 ft,2,37-43,,
8:34.0,,,37-43,,C. LeVert misses 2-pt shot from 8 ft (block by A. Iguodala)
8:34.0,,,37-43,,Offensive rebound by R. Hollis-Jefferson
8:34.0,,,37-45,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft
8:34.0,,,37-45,,Shooting foul by S. Livingston (drawn by R. Hollis-Jefferson)
8:34.0,,,37-45,,R. Hollis-Jefferson misses free throw 1 of 1
8:32.0,Defensive rebound by K. Durant,,37-45,,
8:25.0,K. Durant misses 2-pt shot from 1 ft,,37-45,,
8:24.0,,,37-45,,Defensive rebound by R. Hollis-Jefferson
8:21.0,,,37-45,,S. Dinwiddie misses 2-pt shot from 1 ft (block by D. West)
8:19.0,,,37-45,,Offensive rebound by R. Hollis-Jefferson
8:18.0,,,37-47,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft
8:02.0,D. West makes 2-pt shot from 4 ft (assist by K. Durant),2,39-47,,
7:42.0,Personal block foul by K. Durant (drawn by R. Hollis-Jefferson),,39-47,,
7:42.0,Technical foul by K. Durant (drawn by R. Hollis-Jefferson),,39-47,,
7:42.0,,,39-48,1,S. Kilpatrick makes technical free throw
7:42.0,,,39-47,,B. Lopez enters the game for J. Hamilton
7:42.0,,,39-47,,J. Harris enters the game for S. Dinwiddie
7:42.0,,,39-47,,J. Lin enters the game for C. LeVert
7:42.0,Z. Pachulia enters the game for D. West,,39-47,,
7:42.0,P. McCaw enters the game for A. Iguodala,,39-47,,
7:34.0,,,39-48,,B. Lopez misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by Z. Pachulia,,39-48,,
7:28.0,,,39-48,,Personal foul by J. Harris (drawn by K. Durant)
7:23.0,Turnover by S. Livingston (bad pass),,39-48,,
7:11.0,,,39-48,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
7:10.0,Defensive rebound by Z. Pachulia,,39-48,,
7:05.0,K. Durant misses 2-pt shot from 2 ft,,39-48,,
7:04.0,,,39-48,,Defensive rebound by J. Harris
6:58.0,,,39-50,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Lin)
6:58.0,Golden State full timeout,,39-50,,
6:45.0,K. Thompson makes 2-pt shot from 3 ft (assist by K. Durant),2,41-50,,
6:31.0,,,41-50,,Shooting foul by Z. Pachulia (drawn by B. Lopez)
6:31.0,,,41-51,1,B. Lopez makes free throw 1 of 2
6:31.0,,,41-52,1,B. Lopez makes free throw 2 of 2
6:23.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Thompson),2,43-52,,
6:09.0,,,43-55,3,B. Lopez makes 3-pt shot from 25 ft (assist by J. Lin)
5:55.0,K. Thompson misses 2-pt shot from 17 ft,,43-55,,
5:54.0,,,43-55,,Defensive rebound by J. Lin
5:50.0,,,43-55,,B. Lopez misses 3-pt shot from 24 ft
5:49.0,Defensive rebound by K. Thompson,,43-55,,
5:43.0,K. Thompson misses 3-pt shot from 25 ft,,43-55,,
5:39.0,,,43-55,,Defensive rebound by S. Kilpatrick
5:35.0,,,43-55,,Shooting foul by S. Livingston (drawn by B. Lopez)
5:35.0,Official timeout,,43-55,,
5:35.0,,,43-56,1,B. Lopez makes free throw 1 of 2
5:35.0,,,43-57,1,B. Lopez makes free throw 2 of 2
5:35.0,,,43-55,,B. Bogdanovic enters the game for S. Kilpatrick
5:35.0,S. Curry enters the game for P. McCaw,,43-55,,
5:35.0,A. Iguodala enters the game for K. Durant,,43-55,,
5:23.0,S. Curry misses 2-pt shot from 17 ft,,43-57,,
5:21.0,,,43-57,,Defensive rebound by B. Lopez
5:01.0,,,43-57,,J. Lin misses 2-pt shot from 2 ft
5:00.0,Defensive rebound by Z. Pachulia,,43-57,,
4:54.0,S. Livingston misses 2-pt shot from 19 ft,,43-57,,
4:52.0,Offensive rebound by Z. Pachulia,,43-57,,
4:51.0,Z. Pachulia misses 2-pt shot from 2 ft (block by B. Bogdanovic),,43-57,,
4:50.0,Offensive rebound by Z. Pachulia,,43-57,,
4:49.0,Z. Pachulia misses 2-pt shot from 1 ft,,43-57,,
4:48.0,Offensive rebound by Z. Pachulia,,43-57,,
4:47.0,Z. Pachulia makes 2-pt shot from 3 ft,2,45-57,,
4:38.0,,,45-59,2,B. Lopez makes 2-pt shot at rim (assist by J. Lin)
4:25.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by S. Curry),2,47-59,,
4:17.0,,,47-61,2,B. Lopez makes 2-pt shot at rim (assist by J. Lin)
4:01.0,,,47-61,,Personal foul by R. Hollis-Jefferson (drawn by K. Thompson)
4:01.0,,,47-61,,T. Booker enters the game for R. Hollis-Jefferson
3:53.0,Turnover by S. Livingston (lost ball),,47-61,,
3:36.0,,,47-61,,J. Lin misses 3-pt shot from 25 ft
3:35.0,Defensive rebound by K. Thompson,,47-61,,
3:19.0,K. Thompson misses 2-pt shot from 17 ft,,47-61,,
3:18.0,,,47-61,,Defensive rebound by B. Bogdanovic
3:11.0,,,47-61,,Turnover by B. Bogdanovic (traveling)
3:11.0,K. Durant enters the game for S. Livingston,,47-61,,
3:00.0,Offensive foul by Z. Pachulia,,47-61,,
3:00.0,Turnover by Z. Pachulia (offensive foul),,47-61,,
2:52.0,,,47-61,,Brooklyn full timeout
2:52.0,A. Varejao enters the game for Z. Pachulia,,47-61,,
2:39.0,,,47-61,,B. Lopez misses 2-pt shot from 11 ft
2:38.0,Defensive rebound by K. Durant,,47-61,,
2:25.0,K. Durant misses 3-pt shot from 25 ft,,47-61,,
2:24.0,,,47-61,,Defensive rebound by B. Lopez
2:03.0,,,47-61,,Turnover by T. Booker (lost ball; steal by K. Durant)
1:59.0,S. Curry misses 2-pt shot from 2 ft (block by J. Lin),,47-61,,
1:59.0,Offensive rebound by Team,,47-61,,
1:49.0,K. Durant misses 3-pt shot from 24 ft,,47-61,,
1:48.0,,,47-61,,Defensive rebound by J. Lin
1:41.0,,,47-61,,Turnover by B. Lopez (traveling)
1:24.0,A. Iguodala misses 3-pt shot from 23 ft,,47-61,,
1:23.0,,,47-61,,Defensive rebound by J. Lin
1:14.0,,,47-61,,B. Bogdanovic misses 2-pt shot from 14 ft
1:13.0,Defensive rebound by A. Varejao,,47-61,,
0:58.0,K. Thompson misses 2-pt shot from 19 ft,,47-61,,
0:57.0,,,47-61,,Defensive rebound by J. Lin
0:51.0,,,47-63,2,T. Booker makes 2-pt shot from 3 ft (assist by J. Lin)
0:39.0,S. Curry makes 2-pt shot from 14 ft,2,49-63,,
0:34.0,,,49-63,,J. Lin misses 3-pt shot from 25 ft
0:32.0,Defensive rebound by K. Thompson,,49-63,,
0:28.0,K. Thompson misses 2-pt shot from 3 ft (block by B. Lopez),,49-63,,
0:28.0,Offensive rebound by Team,,49-63,,
0:28.0,,,49-63,,R. Hollis-Jefferson enters the game for B. Bogdanovic
0:23.0,S. Curry misses 3-pt shot from 24 ft,,49-63,,
0:21.0,Offensive rebound by A. Iguodala,,49-63,,
0:21.0,Turnover by A. Iguodala (bad pass),,49-63,,
0:21.0,,,49-63,,B. Bogdanovic enters the game for R. Hollis-Jefferson
0:03.0,Personal foul by S. Curry (drawn by B. Lopez),,49-63,,
0:03.0,,,49-64,1,B. Lopez makes free throw 1 of 2
0:03.0,,,49-65,1,B. Lopez makes free throw 2 of 2
0:03.0,,,49-64,,R. Hollis-Jefferson enters the game for B. Bogdanovic
0:01.0,S. Curry misses 3-pt shot from 44 ft,,49-65,,
0:00.0,Offensive rebound by Team,,49-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,49-65,,Turnover by J. Lin (bad pass; steal by S. Curry)
11:45.0,K. Durant makes 2-pt shot at rim (assist by S. Curry),2,51-65,,
11:45.0,Shooting foul by B. Lopez (drawn by K. Durant),,51-65,,
11:45.0,K. Durant makes free throw 1 of 1,1,52-65,,
11:35.0,,,52-65,,Offensive charge foul by S. Kilpatrick
11:35.0,,,52-65,,Turnover by S. Kilpatrick (offensive foul)
11:19.0,K. Durant misses 3-pt shot from 25 ft,,52-65,,
11:18.0,Offensive rebound by Z. Pachulia,,52-65,,
11:17.0,K. Looney makes 2-pt shot at rim (assist by Z. Pachulia),2,54-65,,
11:17.0,,,54-65,,Brooklyn full timeout
10:57.0,,,54-65,,J. Lin misses 3-pt shot from 25 ft
10:55.0,Defensive rebound by Z. Pachulia,,54-65,,
10:49.0,S. Curry makes 3-pt shot from 24 ft,3,57-65,,
10:24.0,,,57-65,,Turnover by T. Booker (bad pass; steal by K. Looney)
10:15.0,S. Curry misses 3-pt shot from 24 ft,,57-65,,
10:14.0,,,57-65,,Defensive rebound by B. Bogdanovic
10:02.0,,,57-65,,Turnover by B. Lopez (lost ball; steal by K. Durant)
9:56.0,K. Durant makes 2-pt shot from 1 ft (assist by S. Curry),2,59-65,,
9:47.0,,,59-65,,Offensive foul by B. Lopez
9:47.0,,,59-65,,Turnover by B. Lopez (offensive foul)
9:28.0,S. Curry makes 2-pt shot from 21 ft (assist by K. Looney),2,61-65,,
9:13.0,Personal foul by S. Curry (drawn by J. Lin),,61-65,,
9:02.0,Personal foul by K. Durant (drawn by B. Lopez),,61-65,,
9:00.0,,,61-65,,Turnover by S. Kilpatrick (bad pass; steal by S. Curry)
8:56.0,Turnover by K. Thompson (bad pass; steal by T. Booker),,61-65,,
8:53.0,,,61-65,,S. Kilpatrick misses 2-pt shot from 2 ft (block by K. Durant)
8:52.0,,,61-65,,Offensive rebound by Team
8:49.0,Personal foul by K. Looney (drawn by J. Lin),,61-65,,
8:39.0,,,61-67,2,B. Lopez makes 2-pt shot from 2 ft
8:26.0,Z. Pachulia makes 2-pt shot from 10 ft (assist by K. Thompson),2,63-67,,
8:15.0,,,63-67,,Turnover by J. Lin (bad pass; steal by K. Thompson)
8:07.0,K. Thompson misses 2-pt shot from 1 ft,,63-67,,
8:06.0,,,63-67,,Defensive rebound by T. Booker
7:56.0,,,63-67,,B. Lopez misses 2-pt shot from 9 ft
7:55.0,Defensive rebound by K. Durant,,63-67,,
7:49.0,K. Durant misses 3-pt shot from 25 ft,,63-67,,
7:48.0,,,63-67,,Defensive rebound by B. Lopez
7:37.0,,,63-67,,S. Kilpatrick misses 3-pt shot from 24 ft
7:36.0,Defensive rebound by Z. Pachulia,,63-67,,
7:30.0,K. Thompson makes 3-pt shot from 25 ft (assist by S. Curry),3,66-67,,
7:11.0,,,66-70,3,J. Lin makes 3-pt shot from 25 ft
7:00.0,,,66-70,,Personal foul by B. Bogdanovic (drawn by S. Curry)
7:00.0,,,66-70,,J. Hamilton enters the game for T. Booker
6:45.0,S. Curry misses 2-pt shot from 12 ft (block by J. Lin),,66-70,,
6:44.0,Offensive rebound by K. Looney,,66-70,,
6:43.0,Turnover by Team (shot clock),,66-70,,
6:21.0,,,66-70,,B. Bogdanovic misses 3-pt shot from 25 ft
6:20.0,Defensive rebound by S. Curry,,66-70,,
6:11.0,Z. Pachulia makes 2-pt shot from 2 ft (assist by K. Looney),2,68-70,,
5:52.0,,,68-70,,Turnover by B. Bogdanovic (lost ball; steal by K. Thompson)
5:47.0,K. Durant makes 2-pt shot from 3 ft,2,70-70,,
5:36.0,Personal foul by Z. Pachulia (drawn by J. Hamilton),,70-70,,
5:36.0,,,70-70,,J. Harris enters the game for S. Kilpatrick
5:36.0,,,70-70,,R. Hollis-Jefferson enters the game for B. Bogdanovic
5:21.0,,,70-70,,Turnover by B. Lopez (bad pass)
5:17.0,K. Thompson makes 3-pt shot from 26 ft (assist by K. Durant),3,73-70,,
5:04.0,,,73-72,2,R. Hollis-Jefferson makes 2-pt shot from 3 ft (assist by J. Lin)
5:00.0,Shooting foul by J. Harris (drawn by K. Durant),,73-72,,
5:00.0,K. Durant makes free throw 1 of 2,1,74-72,,
5:00.0,K. Durant misses free throw 2 of 2,,74-72,,
5:00.0,D. West enters the game for K. Looney,,74-72,,
4:58.0,,,74-72,,Defensive rebound by J. Harris
4:48.0,,,74-75,3,J. Harris makes 3-pt shot from 24 ft (assist by B. Lopez)
4:33.0,K. Thompson makes 2-pt shot from 17 ft,2,76-75,,
4:24.0,,,76-75,,J. Hamilton misses 3-pt shot from 24 ft
4:23.0,Defensive rebound by K. Durant,,76-75,,
4:17.0,K. Durant makes 2-pt shot from 1 ft,2,78-75,,
4:17.0,Shooting foul by J. Hamilton (drawn by K. Durant),,78-75,,
4:17.0,K. Durant makes free throw 1 of 1,1,79-75,,
4:17.0,A. Iguodala enters the game for K. Thompson,,78-75,,
4:09.0,,,79-78,3,J. Harris makes 3-pt shot from 24 ft (assist by J. Lin)
3:48.0,A. Iguodala misses 3-pt shot from 22 ft,,79-78,,
3:47.0,,,79-78,,Defensive rebound by B. Lopez
3:38.0,,,79-78,,Brooklyn full timeout
3:38.0,I. Clark enters the game for K. Durant,,79-78,,
3:38.0,,,79-78,,S. Kilpatrick enters the game for J. Lin
3:38.0,,,79-78,,T. Booker enters the game for B. Lopez
3:31.0,,,79-78,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
3:30.0,Defensive rebound by Z. Pachulia,,79-78,,
3:23.0,Shooting foul by R. Hollis-Jefferson (drawn by Z. Pachulia),,79-78,,
3:23.0,Z. Pachulia makes free throw 1 of 2,1,80-78,,
3:23.0,Z. Pachulia misses free throw 2 of 2,,80-78,,
3:22.0,,,80-78,,Defensive rebound by S. Kilpatrick
3:10.0,Personal foul by S. Curry (drawn by S. Kilpatrick),,80-78,,
3:10.0,,,80-79,1,S. Kilpatrick makes free throw 1 of 2
3:10.0,,,80-80,1,S. Kilpatrick makes free throw 2 of 2
3:10.0,P. McCaw enters the game for Z. Pachulia,,80-79,,
3:10.0,K. Thompson enters the game for S. Curry,,80-79,,
2:56.0,K. Thompson misses 2-pt shot from 18 ft,,80-80,,
2:55.0,,,80-80,,Defensive rebound by T. Booker
2:47.0,Golden State full timeout,,80-80,,
2:32.0,,,80-80,,R. Hollis-Jefferson misses 2-pt shot from 13 ft
2:31.0,Defensive rebound by K. Thompson,,80-80,,
2:08.0,K. Thompson misses 3-pt shot from 23 ft,,80-80,,
2:06.0,,,80-80,,Defensive rebound by S. Kilpatrick
2:00.0,,,80-80,,S. Kilpatrick misses 2-pt shot from 1 ft
1:59.0,,,80-80,,Offensive rebound by T. Booker
1:58.0,,,80-82,2,T. Booker makes 2-pt shot from 3 ft
1:39.0,A. Iguodala makes 3-pt shot from 25 ft (assist by D. West),3,83-82,,
1:20.0,,,83-82,,Turnover by S. Kilpatrick (lost ball; steal by D. West)
1:15.0,K. Thompson makes 3-pt shot from 25 ft,3,86-82,,
1:00.0,,,86-84,2,S. Kilpatrick makes 2-pt shot from 18 ft (assist by J. Harris)
0:46.0,P. McCaw misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson),,86-84,,
0:46.0,Offensive rebound by Team,,86-84,,
0:46.0,,,86-84,,C. LeVert enters the game for J. Hamilton
0:46.0,K. Durant enters the game for I. Clark,,86-84,,
0:46.0,Jump ball: R. Hollis-Jefferson vs. P. McCaw (T. Booker gains possession),,,,Jump ball: R. Hollis-Jefferson vs. P. McCaw (T. Booker gains possession)
0:46.0,Turnover by P. McCaw (lost ball; steal by R. Hollis-Jefferson),,86-84,,
0:30.0,,,86-84,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
0:29.0,Defensive rebound by D. West,,86-84,,
0:08.0,Shooting foul by T. Booker (drawn by D. West),,86-84,,
0:08.0,D. West makes free throw 1 of 2,1,87-84,,
0:08.0,D. West makes free throw 2 of 2,1,88-84,,
0:08.0,S. Livingston enters the game for K. Durant,,87-84,,
0:01.0,,,88-84,,Turnover by R. Hollis-Jefferson (bad pass; steal by S. Livingston)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,D. West makes 2-pt shot from 8 ft (assist by K. Durant),2,90-84,,
11:27.0,,,90-84,,S. Kilpatrick misses 3-pt shot from 24 ft
11:26.0,Defensive rebound by K. Durant,,90-84,,
11:16.0,K. Durant misses 3-pt shot from 24 ft,,90-84,,
11:15.0,,,90-84,,Defensive rebound by J. Hamilton
11:07.0,,,90-84,,Turnover by J. Lin (bad pass; steal by S. Livingston)
10:57.0,K. Thompson misses 2-pt shot from 16 ft,,90-84,,
10:56.0,,,90-84,,Defensive rebound by J. Lin
10:49.0,,,90-84,,C. LeVert misses 3-pt shot from 25 ft
10:45.0,Defensive rebound by D. West,,90-84,,
10:30.0,K. Durant misses 2-pt shot from 15 ft,,90-84,,
10:29.0,,,90-84,,Defensive rebound by C. LeVert
10:17.0,,,90-86,2,C. LeVert makes 2-pt shot from 2 ft (assist by J. Lin)
9:58.0,K. Thompson misses 3-pt shot from 24 ft,,90-86,,
9:57.0,,,90-86,,Defensive rebound by J. Lin
9:50.0,,,90-86,,J. Lin misses 2-pt shot from 19 ft
9:49.0,,,90-86,,Offensive rebound by R. Hollis-Jefferson
9:42.0,,,90-86,,S. Kilpatrick misses 2-pt shot from 18 ft
9:41.0,Defensive rebound by K. Durant,,90-86,,
9:32.0,K. Durant makes 2-pt shot from 2 ft,2,92-86,,
9:22.0,,,92-86,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
9:21.0,Defensive rebound by D. West,,92-86,,
9:09.0,A. Iguodala misses 3-pt shot from 23 ft,,92-86,,
9:08.0,,,92-86,,Defensive rebound by J. Lin
9:04.0,,,92-88,2,J. Lin makes 2-pt shot from 9 ft
9:04.0,Golden State full timeout,,92-88,,
