time,Cleveland,pts.away,score,pts.home,Memphis
6:37.0,M. Dunleavy misses 3-pt shot from 25 ft,,9-11,,
6:34.0,,,9-11,,Defensive rebound by M. Gasol
6:26.0,,,9-11,,T. Williams misses 2-pt shot from 3 ft
6:24.0,Defensive rebound by C. Frye,,9-11,,
6:20.0,Turnover by D. Liggins (bad pass; steal by T. Williams),,9-11,,
6:20.0,,,9-11,,Turnover by T. Williams (bad pass)
6:16.0,M. Dunleavy misses 3-pt shot from 25 ft,,9-11,,
6:16.0,Offensive rebound by M. Dunleavy,,9-11,,
5:58.0,,,9-11,,Memphis full timeout
5:51.0,J. Smith misses 2-pt shot from 19 ft,,9-11,,
5:51.0,,,9-11,,Defensive rebound by T. Williams
5:36.0,,,9-13,2,T. Douglas makes 2-pt shot from 18 ft (assist by M. Gasol)
5:22.0,,,9-13,,V. Carter enters the game for T. Williams
5:08.0,D. Liggins misses 2-pt shot from 20 ft,,9-13,,
5:06.0,,,9-13,,Defensive rebound by V. Carter
4:49.0,,,9-13,,M. Gasol misses 2-pt shot from 15 ft
4:47.0,Defensive rebound by D. Liggins,,9-13,,
4:33.0,,,9-13,,Personal foul by V. Carter (drawn by J. Smith)
4:33.0,K. Felder enters the game for D. Liggins,,9-13,,
4:33.0,I. Shumpert enters the game for J. Smith,,9-13,,
4:33.0,R. Jefferson enters the game for M. Dunleavy,,9-13,,
4:33.0,,,9-13,,T. Daniels enters the game for T. Allen
4:22.0,R. Jefferson misses 2-pt shot from 15 ft,,9-13,,
4:20.0,,,9-13,,Defensive rebound by J. Green
4:06.0,,,9-13,,Turnover by J. Green (bad pass; steal by C. Frye)
3:57.0,Shooting foul by T. Daniels (drawn by R. Jefferson),,9-13,,
3:57.0,R. Jefferson misses free throw 1 of 2,,9-13,,
3:57.0,Offensive rebound by Team,,9-13,,
3:57.0,R. Jefferson makes free throw 2 of 2,1,10-13,,
3:57.0,J. Jones enters the game for C. Frye,,9-13,,
3:57.0,C. Andersen enters the game for T. Thompson,,9-13,,
3:39.0,,,10-13,,V. Carter misses 3-pt shot from 25 ft
3:39.0,Defensive rebound by C. Andersen,,10-13,,
3:31.0,Turnover by I. Shumpert (bad pass),,10-13,,
3:15.0,,,10-13,,Shooting foul by C. Andersen (drawn by M. Gasol)
3:15.0,,,10-14,1,M. Gasol makes free throw 1 of 2
3:15.0,,,10-15,1,M. Gasol makes free throw 2 of 2
3:03.0,I. Shumpert misses 2-pt shot from 19 ft,,10-15,,
3:02.0,,,10-15,,Defensive rebound by M. Gasol
2:49.0,,,10-18,3,T. Daniels makes 3-pt shot from 23 ft (assist by M. Gasol)
2:30.0,I. Shumpert makes 2-pt shot from 18 ft,2,12-18,,
2:11.0,,,12-21,3,T. Daniels makes 3-pt shot from 25 ft (assist by T. Douglas)
1:55.0,C. Andersen misses 2-pt shot from 21 ft,,12-21,,
1:54.0,,,12-21,,Defensive rebound by J. Green
1:46.0,,,12-24,3,T. Douglas makes 3-pt shot from 26 ft
1:46.0,Cleveland full timeout,,12-24,,
1:46.0,,,12-24,,Z. Randolph enters the game for M. Gasol
1:46.0,,,12-24,,J. Martin enters the game for J. Green
1:27.0,Shooting foul by T. Daniels (drawn by I. Shumpert),,12-24,,
1:27.0,I. Shumpert makes free throw 1 of 2,1,13-24,,
1:27.0,I. Shumpert misses free throw 2 of 2,,13-24,,
1:26.0,,,13-24,,Defensive rebound by Z. Randolph
1:05.0,,,13-26,2,T. Daniels makes 2-pt shot from 1 ft (assist by Z. Randolph)
0:56.0,J. Jones makes 3-pt shot from 26 ft (assist by I. Shumpert),3,16-26,,
0:48.0,Personal foul by R. Jefferson (drawn by V. Carter),,16-26,,
0:33.0,,,16-26,,Z. Randolph misses 2-pt shot from 16 ft
0:31.0,,,16-26,,Offensive rebound by V. Carter
0:11.0,,,16-28,2,Z. Randolph makes 2-pt shot from 4 ft (assist by T. Douglas)
0:01.0,K. Felder misses 2-pt shot from 6 ft,,16-28,,
0:00.0,,,16-28,,Defensive rebound by J. Martin
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,16-28,,Personal foul by Z. Randolph (drawn by C. Andersen)
11:33.0,R. Jefferson misses 3-pt shot from 25 ft,,16-28,,
11:32.0,,,16-28,,Defensive rebound by T. Douglas
11:14.0,,,16-30,2,T. Douglas makes 2-pt shot from 21 ft (assist by J. Martin)
11:03.0,Shooting foul by T. Douglas (drawn by K. Felder),,16-30,,
11:03.0,K. Felder misses free throw 1 of 2,,16-30,,
11:03.0,Offensive rebound by Team,,16-30,,
11:03.0,K. Felder makes free throw 2 of 2,1,17-30,,
10:49.0,,,17-32,2,T. Daniels makes 2-pt shot from 19 ft
10:38.0,,,17-32,,Violation by T. Douglas (kicked ball)
10:28.0,J. Jones makes 3-pt shot from 26 ft (assist by K. Felder),3,20-32,,
10:06.0,,,20-32,,Z. Randolph misses 2-pt shot from 20 ft
10:06.0,Defensive rebound by K. Felder,,20-32,,
9:57.0,R. Jefferson makes 3-pt shot from 24 ft (assist by K. Felder),3,23-32,,
9:49.0,,,23-32,,Memphis full timeout
9:49.0,,,23-32,,A. Harrison enters the game for T. Douglas
9:49.0,Personal foul by C. Andersen (drawn by Z. Randolph),,23-32,,
9:37.0,,,23-32,,T. Daniels misses 3-pt shot from 26 ft
9:35.0,,,23-32,,Offensive rebound by Z. Randolph
9:31.0,,,23-35,3,T. Williams makes 3-pt shot from 26 ft (assist by A. Harrison)
9:16.0,Turnover by R. Jefferson (bad pass; steal by T. Williams),,23-35,,
9:08.0,,,23-35,,Z. Randolph misses 2-pt shot from 1 ft
9:07.0,Defensive rebound by C. Andersen,,23-35,,
8:57.0,Turnover by K. Felder (bad pass; steal by J. Martin),,23-35,,
8:55.0,,,23-35,,Turnover by T. Daniels (bad pass)
8:55.0,T. Thompson enters the game for C. Andersen,,23-35,,
8:55.0,J. Smith enters the game for R. Jefferson,,23-35,,
8:47.0,,,23-35,,Personal foul by T. Williams (drawn by J. Smith)
8:47.0,,,23-35,,T. Allen enters the game for T. Daniels
8:37.0,K. Felder misses 2-pt shot from 18 ft,,23-35,,
8:36.0,,,23-35,,Defensive rebound by Team
8:36.0,Loose ball foul by T. Thompson (drawn by Z. Randolph),,23-35,,
8:16.0,,,23-35,,A. Harrison misses 3-pt shot from 25 ft
8:16.0,Defensive rebound by K. Felder,,23-35,,
8:15.0,,,23-35,,Personal take foul by T. Allen (drawn by K. Felder)
8:15.0,M. Dunleavy enters the game for I. Shumpert,,23-35,,
8:15.0,,,23-35,,M. Gasol enters the game for Z. Randolph
7:52.0,J. Jones misses 2-pt shot from 19 ft,,23-35,,
7:51.0,Offensive rebound by K. Felder,,23-35,,
7:42.0,K. Felder misses 2-pt shot from 18 ft,,23-35,,
7:40.0,,,23-35,,Defensive rebound by M. Gasol
7:27.0,,,23-35,,T. Williams misses 3-pt shot from 26 ft
7:26.0,Defensive rebound by T. Thompson,,23-35,,
7:15.0,D. Liggins enters the game for K. Felder,,23-35,,
7:15.0,,,23-35,,J. Green enters the game for J. Martin
7:07.0,D. Liggins makes 3-pt shot from 23 ft (assist by J. Smith),3,26-35,,
6:50.0,,,26-35,,T. Allen misses 2-pt shot from 2 ft
6:50.0,Defensive rebound by T. Thompson,,26-35,,
6:44.0,D. Liggins misses 2-pt shot from 2 ft,,26-35,,
6:44.0,Offensive rebound by Team,,26-35,,
6:42.0,,,26-35,,Personal foul by J. Green (drawn by J. Jones)
6:42.0,J. Jones makes free throw 1 of 2,1,27-35,,
6:42.0,J. Jones misses free throw 2 of 2,,27-35,,
6:40.0,,,27-35,,Defensive rebound by T. Allen
6:24.0,,,27-35,,T. Williams misses 2-pt shot from 1 ft
6:24.0,Defensive rebound by T. Thompson,,27-35,,
6:14.0,D. Liggins misses 2-pt shot from 19 ft,,27-35,,
6:14.0,,,27-35,,Defensive rebound by M. Gasol
5:58.0,,,27-35,,A. Harrison misses 2-pt shot from 2 ft
5:58.0,Defensive rebound by T. Thompson,,27-35,,
5:46.0,J. Smith makes 2-pt shot from 3 ft,2,29-35,,
5:46.0,Shooting foul by J. Green (drawn by J. Smith),,29-35,,
5:46.0,Official timeout,,29-35,,
5:46.0,J. Smith misses free throw 1 of 1,,29-35,,
5:43.0,Offensive rebound by T. Thompson,,29-35,,
5:39.0,J. Smith misses 3-pt shot from 25 ft,,29-35,,
5:38.0,Offensive rebound by D. Liggins,,29-35,,
5:19.0,M. Dunleavy misses 2-pt shot from 12 ft,,29-35,,
5:17.0,,,29-35,,Defensive rebound by T. Williams
5:05.0,,,29-38,3,M. Gasol makes 3-pt shot from 25 ft (assist by T. Allen)
4:37.0,D. Liggins misses 2-pt shot from 1 ft,,29-38,,
4:35.0,,,29-38,,Defensive rebound by M. Gasol
4:32.0,,,29-38,,Turnover by A. Harrison (bad pass)
4:32.0,,,29-38,,V. Carter enters the game for T. Williams
4:32.0,C. Frye enters the game for J. Jones,,29-38,,
4:18.0,T. Thompson misses 2-pt shot from 15 ft,,29-38,,
4:18.0,,,29-38,,Defensive rebound by V. Carter
4:01.0,,,29-38,,M. Gasol misses 2-pt shot from 5 ft
4:00.0,,,29-38,,Offensive rebound by T. Allen
4:00.0,,,29-40,2,T. Allen makes 2-pt shot from 1 ft
3:49.0,Shooting foul by A. Harrison (drawn by T. Thompson),,29-40,,
3:49.0,T. Thompson misses free throw 1 of 2,,29-40,,
3:49.0,Offensive rebound by Team,,29-40,,
3:49.0,T. Thompson misses free throw 2 of 2,,29-40,,
3:49.0,,,29-40,,T. Douglas enters the game for A. Harrison
3:47.0,,,29-40,,Defensive rebound by M. Gasol
3:31.0,,,29-43,3,T. Douglas makes 3-pt shot from 26 ft (assist by M. Gasol)
3:29.0,Cleveland full timeout,,29-43,,
3:26.0,Jump ball: M. Dunleavy vs. J. Green,,,,Jump ball: M. Dunleavy vs. J. Green
3:09.0,C. Frye misses 3-pt shot from 25 ft,,29-43,,
3:08.0,,,29-43,,Defensive rebound by T. Allen
2:50.0,,,29-43,,T. Allen misses 2-pt shot from 1 ft
2:49.0,,,29-43,,Offensive rebound by J. Green
2:48.0,,,29-43,,Shooting foul by D. Liggins (drawn by J. Green)
2:48.0,,,29-43,,J. Green misses free throw 1 of 2
2:48.0,,,29-43,,Offensive rebound by Team
2:48.0,,,29-44,1,J. Green makes free throw 2 of 2
2:26.0,J. Smith misses 2-pt shot from 13 ft,,29-44,,
2:25.0,,,29-44,,Defensive rebound by M. Gasol
2:07.0,,,29-44,,J. Green misses 3-pt shot from 25 ft
2:06.0,Defensive rebound by M. Dunleavy,,29-44,,
1:54.0,R. Jefferson enters the game for J. Smith,,29-44,,
1:47.0,T. Thompson makes 2-pt shot from 3 ft,2,31-44,,
1:22.0,,,31-44,,T. Allen misses 2-pt shot from 1 ft
1:20.0,Defensive rebound by C. Frye,,31-44,,
1:17.0,D. Liggins makes 2-pt shot from 2 ft,2,33-44,,
1:17.0,Shooting foul by T. Douglas (drawn by D. Liggins),,33-44,,
1:17.0,D. Liggins makes free throw 1 of 1,1,34-44,,
1:01.0,,,34-47,3,V. Carter makes 3-pt shot from 24 ft (assist by J. Green)
0:43.0,T. Thompson misses 2-pt shot from 5 ft,,34-47,,
0:42.0,,,34-47,,Defensive rebound by T. Douglas
0:37.0,,,34-47,,T. Allen misses 2-pt shot from 2 ft
0:35.0,,,34-47,,Offensive rebound by T. Allen
0:33.0,,,34-47,,T. Allen misses 2-pt shot at rim
0:32.0,,,34-47,,Offensive rebound by T. Allen
0:31.0,,,34-47,,Turnover by T. Allen (bad pass; steal by R. Jefferson)
0:24.0,Shooting foul by J. Green (drawn by M. Dunleavy),,34-47,,
0:24.0,M. Dunleavy makes free throw 1 of 3,1,35-47,,
0:24.0,M. Dunleavy misses free throw 2 of 3,,35-47,,
0:24.0,Offensive rebound by Team,,35-47,,
0:24.0,M. Dunleavy makes free throw 3 of 3,1,36-47,,
0:24.0,,,35-47,,T. Daniels enters the game for T. Allen
0:05.0,,,36-47,,T. Douglas misses 2-pt shot from 18 ft
0:03.0,Defensive rebound by C. Frye,,36-47,,
0:00.0,D. Liggins misses 3-pt shot from 44 ft,,36-47,,
0:00.0,Offensive rebound by Team,,36-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,C. Frye misses 3-pt shot from 25 ft,,36-47,,
11:48.0,,,36-47,,Defensive rebound by J. Green
11:37.0,,,36-47,,Turnover by T. Williams (bad pass; steal by J. Smith)
11:32.0,J. Smith makes 2-pt shot at rim,2,38-47,,
11:11.0,,,38-47,,Turnover by M. Gasol (lost ball; steal by D. Liggins)
11:07.0,Shooting foul by T. Allen (drawn by T. Thompson),,38-47,,
11:07.0,T. Thompson misses free throw 1 of 2,,38-47,,
11:07.0,Offensive rebound by Team,,38-47,,
11:07.0,T. Thompson makes free throw 2 of 2,1,39-47,,
10:46.0,,,39-47,,A. Harrison misses 2-pt shot from 18 ft
10:46.0,Defensive rebound by M. Dunleavy,,39-47,,
10:31.0,C. Frye misses 2-pt shot from 7 ft,,39-47,,
10:29.0,Offensive rebound by T. Thompson,,39-47,,
10:26.0,Shooting foul by M. Gasol (drawn by T. Thompson),,39-47,,
10:26.0,T. Thompson makes free throw 1 of 2,1,40-47,,
10:26.0,T. Thompson makes free throw 2 of 2,1,41-47,,
10:10.0,Personal foul by D. Liggins (drawn by M. Gasol),,41-47,,
9:55.0,,,41-47,,A. Harrison misses 2-pt shot from 20 ft
9:54.0,Defensive rebound by T. Thompson,,41-47,,
9:43.0,J. Smith makes 2-pt shot from 13 ft,2,43-47,,
9:42.0,,,43-47,,Memphis full timeout
9:42.0,,,43-47,,T. Douglas enters the game for A. Harrison
9:26.0,,,43-47,,T. Allen misses 3-pt shot from 24 ft
9:25.0,Defensive rebound by M. Dunleavy,,43-47,,
9:08.0,J. Smith makes 2-pt shot from 22 ft,2,45-47,,
8:49.0,,,45-49,2,M. Gasol makes 2-pt shot from 20 ft (assist by T. Douglas)
8:35.0,Turnover by D. Liggins (bad pass; steal by T. Allen),,45-49,,
8:34.0,,,45-51,2,T. Allen makes 2-pt shot from 1 ft
8:34.0,,,45-51,,Shooting foul by D. Liggins (drawn by T. Allen)
8:34.0,,,45-52,1,T. Allen makes free throw 1 of 1
8:10.0,J. Smith misses 2-pt shot from 22 ft,,45-52,,
8:09.0,,,45-52,,Defensive rebound by T. Douglas
8:01.0,,,45-52,,Turnover by T. Douglas (bad pass; steal by D. Liggins)
7:53.0,,,45-52,,Personal foul by T. Douglas (drawn by T. Thompson)
7:47.0,M. Dunleavy makes 3-pt shot from 25 ft (assist by J. Smith),3,48-52,,
7:24.0,,,48-54,2,M. Gasol makes 2-pt shot from 7 ft (assist by T. Douglas)
7:04.0,J. Smith misses 2-pt shot from 21 ft,,48-54,,
7:04.0,,,48-54,,Defensive rebound by M. Gasol
6:47.0,,,48-54,,Shooting foul by C. Frye (drawn by T. Allen)
6:47.0,,,48-55,1,T. Allen makes free throw 1 of 2
6:47.0,,,48-55,,T. Allen misses free throw 2 of 2
6:47.0,,,48-55,,V. Carter enters the game for T. Williams
6:46.0,Defensive rebound by T. Thompson,,48-55,,
6:35.0,,,48-55,,Personal foul by T. Allen (drawn by C. Frye)
6:26.0,Shooting foul by T. Allen (drawn by M. Dunleavy),,48-55,,
6:26.0,M. Dunleavy makes free throw 1 of 2,1,49-55,,
6:26.0,M. Dunleavy misses free throw 2 of 2,,49-55,,
6:25.0,,,49-55,,Defensive rebound by M. Gasol
6:13.0,,,49-55,,T. Douglas misses 2-pt shot from 9 ft
6:12.0,,,49-55,,Offensive rebound by M. Gasol
6:12.0,,,49-55,,M. Gasol misses 2-pt shot from 1 ft
6:09.0,Defensive rebound by J. Smith,,49-55,,
6:00.0,T. Thompson misses 2-pt shot from 7 ft,,49-55,,
5:58.0,,,49-55,,Defensive rebound by T. Douglas
5:49.0,,,49-58,3,M. Gasol makes 3-pt shot from 26 ft (assist by T. Douglas)
5:44.0,Cleveland full timeout,,49-58,,
5:20.0,J. Smith misses 3-pt shot from 25 ft,,49-58,,
5:20.0,,,49-58,,Defensive rebound by M. Gasol
5:02.0,Personal foul by M. Dunleavy (drawn by M. Gasol),,49-58,,
4:46.0,,,49-58,,J. Green misses 2-pt shot from 18 ft
4:46.0,Defensive rebound by D. Liggins,,49-58,,
4:35.0,D. Liggins makes 2-pt shot from 1 ft,2,51-58,,
4:25.0,Personal foul by C. Frye (drawn by T. Allen),,51-58,,
4:25.0,,,51-58,,T. Allen misses free throw 1 of 2
4:25.0,,,51-58,,Offensive rebound by Team
4:25.0,,,51-58,,T. Allen misses free throw 2 of 2
4:25.0,J. McRae enters the game for M. Dunleavy,,51-58,,
4:25.0,,,51-58,,J. Martin enters the game for J. Green
4:24.0,Defensive rebound by J. Smith,,51-58,,
4:07.0,J. McRae misses 3-pt shot from 23 ft,,51-58,,
4:06.0,,,51-58,,Defensive rebound by J. Martin
3:52.0,,,51-58,,T. Allen misses 2-pt shot from 1 ft
3:51.0,,,51-58,,Offensive rebound by J. Martin
3:51.0,,,51-60,2,J. Martin makes 2-pt shot at rim
3:23.0,J. McRae makes 2-pt shot from 1 ft,2,53-60,,
3:02.0,,,53-62,2,J. Martin makes 2-pt shot from 22 ft
2:47.0,J. Smith misses 2-pt shot from 2 ft (block by J. Martin),,53-62,,
2:45.0,,,53-62,,Defensive rebound by J. Martin
2:39.0,,,53-64,2,T. Allen makes 2-pt shot from 1 ft (assist by V. Carter)
2:13.0,J. McRae misses 3-pt shot from 24 ft,,53-64,,
2:11.0,,,53-64,,Defensive rebound by T. Douglas
2:00.0,,,53-64,,T. Allen misses 2-pt shot from 1 ft
1:59.0,,,53-64,,Offensive rebound by T. Allen
1:59.0,,,53-66,2,T. Allen makes 2-pt shot at rim
1:58.0,Cleveland full timeout,,53-66,,
1:58.0,,,53-66,,Z. Randolph enters the game for T. Allen
1:58.0,,,53-66,,T. Daniels enters the game for M. Gasol
1:58.0,J. Jones enters the game for C. Frye,,53-66,,
1:58.0,K. Felder enters the game for J. Smith,,53-66,,
1:58.0,I. Shumpert enters the game for D. Liggins,,53-66,,
1:44.0,J. McRae misses 2-pt shot from 13 ft,,53-66,,
1:42.0,,,53-66,,Defensive rebound by T. Douglas
1:25.0,,,53-69,3,V. Carter makes 3-pt shot from 25 ft (assist by T. Daniels)
1:10.0,I. Shumpert misses 3-pt shot from 25 ft,,53-69,,
1:08.0,,,53-69,,Defensive rebound by V. Carter
0:52.0,,,53-72,3,T. Daniels makes 3-pt shot from 27 ft (assist by V. Carter)
0:34.0,J. Jones misses 3-pt shot from 24 ft,,53-72,,
0:33.0,,,53-72,,Defensive rebound by V. Carter
0:30.0,,,53-72,,Shooting foul by K. Felder (drawn by J. Martin)
0:30.0,,,53-73,1,J. Martin makes free throw 1 of 2
0:30.0,,,53-74,1,J. Martin makes free throw 2 of 2
0:30.0,C. Andersen enters the game for T. Thompson,,53-73,,
0:07.0,J. McRae misses 2-pt shot from 2 ft,,53-74,,
0:07.0,,,53-74,,Defensive rebound by Z. Randolph
0:01.0,,,53-74,,T. Douglas misses 2-pt shot from 8 ft
0:00.0,Defensive rebound by J. Jones,,53-74,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,53-74,,Z. Randolph misses 3-pt shot from 23 ft
11:41.0,Defensive rebound by J. McRae,,53-74,,
11:24.0,I. Shumpert misses 3-pt shot from 25 ft,,53-74,,
11:23.0,,,53-74,,Defensive rebound by J. Martin
11:06.0,,,53-74,,Z. Randolph misses 2-pt shot from 15 ft
11:05.0,Defensive rebound by I. Shumpert,,53-74,,
10:54.0,Turnover by J. Jones (bad pass; steal by T. Douglas),,53-74,,
10:40.0,,,53-74,,Turnover by T. Allen (traveling)
10:27.0,,,53-74,,Personal foul by T. Daniels (drawn by I. Shumpert)
10:16.0,J. McRae makes 2-pt shot from 1 ft,2,55-74,,
9:54.0,,,55-74,,T. Daniels misses 3-pt shot from 26 ft (block by J. Jones)
9:53.0,Defensive rebound by I. Shumpert,,55-74,,
9:48.0,Turnover by I. Shumpert (bad pass; steal by T. Allen),,55-74,,
9:48.0,Personal foul by J. McRae (drawn by T. Allen),,55-74,,
9:33.0,,,55-74,,T. Daniels misses 2-pt shot from 9 ft
9:32.0,Defensive rebound by J. Jones,,55-74,,
9:29.0,Shooting foul by J. Martin (drawn by J. McRae),,55-74,,
9:29.0,J. McRae makes free throw 1 of 2,1,56-74,,
9:29.0,J. McRae makes free throw 2 of 2,1,57-74,,
9:27.0,,,57-74,,Turnover by J. Martin (bad pass; steal by K. Felder)
9:11.0,J. McRae misses 3-pt shot from 25 ft (block by T. Allen),,57-74,,
9:10.0,,,57-74,,Defensive rebound by Z. Randolph
8:57.0,,,57-74,,T. Douglas misses 3-pt shot from 26 ft
8:55.0,,,57-74,,Offensive rebound by T. Daniels
8:48.0,,,57-76,2,T. Douglas makes 2-pt shot from 3 ft (assist by Z. Randolph)
8:48.0,,,57-76,,Shooting foul by J. Jones (drawn by T. Douglas)
8:48.0,,,57-76,,Memphis full timeout
8:48.0,,,57-76,,T. Douglas misses free throw 1 of 1
8:46.0,Defensive rebound by I. Shumpert,,57-76,,
8:42.0,Turnover by I. Shumpert (bad pass; steal by T. Douglas),,57-76,,
8:37.0,,,57-78,2,T. Douglas makes 2-pt shot from 2 ft
8:22.0,J. Jones misses 3-pt shot from 25 ft,,57-78,,
8:22.0,,,57-78,,Defensive rebound by T. Allen
8:00.0,,,57-80,2,T. Daniels makes 2-pt shot from 22 ft (assist by Z. Randolph)
7:50.0,Turnover by I. Shumpert (bad pass; steal by T. Allen),,57-80,,
7:30.0,,,57-80,,Z. Randolph misses 2-pt shot from 7 ft
7:29.0,,,57-80,,Offensive rebound by T. Allen
7:29.0,,,57-82,2,T. Allen makes 2-pt shot from 1 ft
7:11.0,K. Felder makes 3-pt shot from 25 ft,3,60-82,,
7:00.0,,,60-82,,Offensive foul by T. Daniels
7:00.0,,,60-82,,Turnover by T. Daniels (offensive foul)
7:00.0,,,60-82,,A. Harrison enters the game for T. Douglas
6:48.0,J. Jones makes 3-pt shot from 26 ft (assist by K. Felder),3,63-82,,
6:48.0,,,63-82,,Memphis full timeout
6:31.0,,,63-82,,T. Daniels misses 3-pt shot from 28 ft
6:31.0,Defensive rebound by Team,,63-82,,
6:18.0,K. Felder misses 2-pt shot from 6 ft,,63-82,,
6:17.0,,,63-82,,Defensive rebound by Z. Randolph
5:57.0,,,63-84,2,A. Harrison makes 2-pt shot from 19 ft
5:40.0,K. Felder makes 2-pt shot from 18 ft,2,65-84,,
5:30.0,,,65-84,,Turnover by Team (turnover)
5:24.0,J. McRae misses 2-pt shot from 11 ft,,65-84,,
5:23.0,,,65-84,,Defensive rebound by J. Martin
5:07.0,,,65-84,,Shooting foul by C. Andersen (drawn by T. Daniels)
5:07.0,,,65-85,1,T. Daniels makes free throw 1 of 2
5:07.0,,,65-86,1,T. Daniels makes free throw 2 of 2
5:07.0,,,65-86,,Violation by Team (delay of game)
5:07.0,,,65-85,,V. Carter enters the game for T. Allen
4:50.0,J. Jones makes 2-pt shot from 1 ft (assist by I. Shumpert),2,67-86,,
4:50.0,Shooting foul by J. Martin (drawn by J. Jones),,67-86,,
4:50.0,J. Jones makes free throw 1 of 1,1,68-86,,
4:29.0,,,68-86,,T. Daniels misses 2-pt shot from 2 ft (block by C. Andersen)
4:29.0,,,68-86,,Offensive rebound by Team
4:24.0,,,68-86,,Z. Randolph misses 2-pt shot from 16 ft
4:23.0,Defensive rebound by I. Shumpert,,68-86,,
4:17.0,,,68-86,,Personal foul by V. Carter (drawn by I. Shumpert)
4:11.0,C. Andersen misses 2-pt shot at rim,,68-86,,
4:11.0,,,68-86,,Defensive rebound by T. Daniels
4:06.0,Personal foul by C. Andersen (drawn by Z. Randolph),,68-86,,
3:54.0,,,68-86,,Z. Randolph misses 2-pt shot from 13 ft
3:53.0,Defensive rebound by C. Andersen,,68-86,,
3:42.0,J. Jones makes 2-pt shot from 22 ft (assist by I. Shumpert),2,70-86,,
3:19.0,,,70-86,,V. Carter misses 2-pt shot from 22 ft
3:16.0,,,70-86,,Offensive rebound by Z. Randolph
3:16.0,,,70-86,,Z. Randolph misses 2-pt shot at rim
3:15.0,Defensive rebound by I. Shumpert,,70-86,,
3:10.0,Turnover by I. Shumpert (bad pass),,70-86,,
2:54.0,,,70-86,,A. Harrison misses 2-pt shot from 7 ft
2:54.0,,,70-86,,Offensive rebound by Z. Randolph
2:54.0,Personal foul by J. Jones (drawn by Z. Randolph),,70-86,,
2:54.0,Cleveland full timeout,,70-86,,
2:54.0,,,70-87,1,Z. Randolph makes free throw 1 of 2
2:54.0,,,70-88,1,Z. Randolph makes free throw 2 of 2
2:54.0,,,70-86,,W. Baldwin enters the game for V. Carter
