time,Brooklyn,pts.away,score,pts.home,New York
5:24.0,,,39-48,,New York full timeout
5:24.0,R. Hollis-Jefferson enters the game for Q. Acy,,39-48,,
5:11.0,,,39-48,,C. Lee misses 3-pt shot from 25 ft
5:09.0,Defensive rebound by R. Foye,,39-48,,
4:56.0,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Lin),2,41-48,,
4:36.0,,,41-48,,R. Baker misses 2-pt shot from 8 ft
4:34.0,Defensive rebound by C. LeVert,,41-48,,
4:26.0,B. Lopez misses 2-pt shot from 9 ft,,41-48,,
4:25.0,,,41-48,,Defensive rebound by W. Hernangomez
4:16.0,,,41-48,,C. Anthony misses 2-pt shot from 13 ft
4:14.0,Defensive rebound by B. Lopez,,41-48,,
4:03.0,R. Foye makes 2-pt shot from 3 ft,2,43-48,,
3:42.0,,,43-48,,W. Hernangomez misses 2-pt shot from 9 ft
3:41.0,Defensive rebound by C. LeVert,,43-48,,
3:40.0,,,43-48,,Personal foul by C. Lee (drawn by C. LeVert)
3:40.0,C. LeVert makes free throw 1 of 2,1,44-48,,
3:40.0,C. LeVert makes free throw 2 of 2,1,45-48,,
3:40.0,,,44-48,,L. Thomas enters the game for R. Baker
3:26.0,,,45-50,2,C. Lee makes 2-pt shot from 2 ft (assist by C. Anthony)
3:26.0,,,45-50,,Shooting foul by C. LeVert (drawn by C. Lee)
3:26.0,,,45-51,1,C. Lee makes free throw 1 of 1
3:16.0,Shooting foul by W. Hernangomez (drawn by R. Hollis-Jefferson),,45-51,,
3:16.0,R. Hollis-Jefferson makes free throw 1 of 2,1,46-51,,
3:16.0,R. Hollis-Jefferson makes free throw 2 of 2,1,47-51,,
3:16.0,S. Dinwiddie enters the game for R. Foye,,46-51,,
3:16.0,,,46-51,,K. O'Quinn enters the game for W. Hernangomez
3:00.0,,,47-53,2,D. Rose makes 2-pt shot from 3 ft (assist by C. Lee)
2:44.0,B. Lopez misses 2-pt shot from 5 ft,,47-53,,
2:42.0,,,47-53,,Defensive rebound by C. Anthony
2:31.0,,,47-53,,K. O'Quinn misses 2-pt shot from 14 ft
2:30.0,,,47-53,,Offensive rebound by K. O'Quinn
2:27.0,,,47-55,2,K. O'Quinn makes 2-pt shot from 2 ft
2:26.0,Brooklyn full timeout,,47-55,,
2:16.0,J. Lin misses 2-pt shot from 13 ft,,47-55,,
2:14.0,Offensive rebound by R. Hollis-Jefferson,,47-55,,
2:08.0,Turnover by C. LeVert (traveling),,47-55,,
2:00.0,,,47-55,,Offensive foul by C. Anthony
2:00.0,,,47-55,,Turnover by C. Anthony (offensive foul)
1:47.0,J. Lin misses 3-pt shot from 25 ft,,47-55,,
1:45.0,Offensive rebound by B. Lopez,,47-55,,
1:44.0,B. Lopez makes 2-pt shot from 1 ft,2,49-55,,
1:44.0,Shooting foul by K. O'Quinn (drawn by B. Lopez),,49-55,,
1:44.0,B. Lopez makes free throw 1 of 1,1,50-55,,
1:27.0,,,50-55,,D. Rose misses 2-pt shot from 17 ft
1:26.0,Defensive rebound by C. LeVert,,50-55,,
1:20.0,C. LeVert misses 3-pt shot from 25 ft,,50-55,,
1:19.0,,,50-55,,Defensive rebound by Team
1:19.0,Loose ball foul by R. Hollis-Jefferson (drawn by L. Thomas),,50-55,,
1:19.0,,,50-56,1,L. Thomas makes free throw 1 of 2
1:19.0,,,50-57,1,L. Thomas makes free throw 2 of 2
1:07.0,Offensive foul by R. Hollis-Jefferson,,50-57,,
1:07.0,Turnover by R. Hollis-Jefferson (offensive foul),,50-57,,
1:07.0,Q. Acy enters the game for R. Hollis-Jefferson,,50-57,,
0:49.0,,,50-57,,C. Lee misses 2-pt shot from 14 ft
0:47.0,Defensive rebound by C. LeVert,,50-57,,
0:36.0,Q. Acy makes 2-pt shot from 13 ft (assist by J. Lin),2,52-57,,
0:32.0,,,52-57,,Shooting foul by J. Lin (drawn by D. Rose)
0:32.0,,,52-58,1,D. Rose makes free throw 1 of 2
0:32.0,,,52-59,1,D. Rose makes free throw 2 of 2
0:32.0,,,52-58,,R. Baker enters the game for C. Anthony
0:17.0,J. Lin makes 2-pt shot from 4 ft,2,54-59,,
0:17.0,,,54-59,,New York full timeout
0:17.0,,,54-59,,C. Anthony enters the game for R. Baker
0:02.0,,,54-61,2,C. Anthony makes 2-pt shot from 19 ft
0:01.0,J. Lin misses 3-pt shot from 45 ft,,54-61,,
0:00.0,Offensive rebound by Team,,54-61,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,54-61,,W. Hernangomez misses 2-pt shot from 6 ft
11:42.0,Defensive rebound by J. Lin,,54-61,,
11:35.0,Shooting foul by C. Lee (drawn by R. Hollis-Jefferson),,54-61,,
11:35.0,R. Hollis-Jefferson makes free throw 1 of 2,1,55-61,,
11:35.0,R. Hollis-Jefferson makes free throw 2 of 2,1,56-61,,
11:24.0,,,56-61,,Shooting foul by B. Lopez (drawn by C. Lee)
11:24.0,,,56-62,1,C. Lee makes free throw 1 of 2
11:24.0,,,56-63,1,C. Lee makes free throw 2 of 2
11:15.0,R. Foye misses 2-pt shot from 18 ft,,56-63,,
11:14.0,,,56-63,,Defensive rebound by W. Hernangomez
11:08.0,,,56-63,,D. Rose misses 2-pt shot from 3 ft (block by R. Hollis-Jefferson)
11:08.0,Defensive rebound by Team,,56-63,,
11:02.0,B. Lopez makes 2-pt shot at rim (assist by J. Lin),2,58-63,,
10:48.0,,,58-65,2,C. Anthony makes 2-pt shot from 8 ft
10:39.0,Turnover by J. Lin (bad pass; steal by W. Hernangomez),,58-65,,
10:28.0,,,58-65,,C. Anthony misses 3-pt shot from 24 ft
10:26.0,Defensive rebound by R. Hollis-Jefferson,,58-65,,
10:19.0,B. Lopez misses 3-pt shot from 27 ft,,58-65,,
10:17.0,,,58-65,,Defensive rebound by D. Rose
10:02.0,,,58-67,2,L. Thomas makes 2-pt shot from 18 ft
9:53.0,,,58-67,,Personal foul by C. Anthony (drawn by J. Lin)
9:50.0,B. Lopez makes 2-pt shot from 1 ft,2,60-67,,
9:28.0,,,60-67,,D. Rose misses 2-pt shot from 13 ft
9:26.0,Defensive rebound by R. Hollis-Jefferson,,60-67,,
9:20.0,J. Lin makes 3-pt shot from 24 ft (assist by R. Foye),3,63-67,,
8:59.0,,,63-67,,Turnover by D. Rose (lost ball; steal by J. Lin)
8:53.0,,,63-67,,Personal foul by L. Thomas (drawn by R. Hollis-Jefferson)
8:41.0,C. LeVert misses 2-pt shot at rim,,63-67,,
8:40.0,,,63-67,,Defensive rebound by W. Hernangomez
8:35.0,,,63-67,,D. Rose misses 2-pt shot from 2 ft
8:33.0,Defensive rebound by R. Foye,,63-67,,
8:28.0,C. LeVert makes 3-pt shot from 24 ft (assist by R. Foye),3,66-67,,
8:27.0,,,66-67,,New York full timeout
8:12.0,,,66-69,2,C. Anthony makes 2-pt shot from 15 ft
8:00.0,B. Lopez makes 3-pt shot from 23 ft (assist by J. Lin),3,69-69,,
7:32.0,,,69-71,2,C. Anthony makes 2-pt shot from 16 ft
7:18.0,J. Lin makes 3-pt shot from 23 ft (assist by B. Lopez),3,72-71,,
7:00.0,,,72-73,2,W. Hernangomez makes 2-pt shot from 5 ft
6:51.0,R. Foye makes 3-pt shot from 25 ft (assist by J. Lin),3,75-73,,
6:40.0,,,75-73,,D. Rose misses 2-pt shot from 2 ft (block by B. Lopez)
6:39.0,Defensive rebound by Team,,75-73,,
6:39.0,,,75-73,,K. O'Quinn enters the game for W. Hernangomez
6:39.0,,,75-73,,Violation by Team (delay of game)
6:29.0,B. Lopez misses 2-pt shot from 7 ft,,75-73,,
6:28.0,,,75-73,,Defensive rebound by L. Thomas
6:21.0,Personal foul by J. Lin (drawn by C. Anthony),,75-73,,
6:21.0,I. Whitehead enters the game for C. LeVert,,75-73,,
6:08.0,,,75-73,,C. Anthony misses 2-pt shot from 16 ft
6:07.0,Defensive rebound by R. Foye,,75-73,,
6:01.0,R. Foye misses 2-pt shot from 3 ft (block by C. Anthony),,75-73,,
6:01.0,Offensive rebound by Team,,75-73,,
6:01.0,K. McDaniels enters the game for R. Foye,,75-73,,
6:01.0,,,75-73,,J. Holiday enters the game for L. Thomas
6:01.0,Brooklyn full timeout,,75-73,,
5:51.0,B. Lopez makes 2-pt shot from 4 ft,2,77-73,,
5:38.0,,,77-73,,Turnover by K. O'Quinn (bad pass; steal by K. McDaniels)
5:32.0,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by B. Lopez),2,79-73,,
5:14.0,Personal foul by R. Hollis-Jefferson (drawn by C. Anthony),,79-73,,
5:14.0,,,79-73,,R. Baker enters the game for D. Rose
5:14.0,Q. Acy enters the game for R. Hollis-Jefferson,,79-73,,
5:08.0,,,79-73,,C. Lee misses 2-pt shot from 18 ft
5:06.0,Defensive rebound by Q. Acy,,79-73,,
4:53.0,B. Lopez misses 3-pt shot from 25 ft,,79-73,,
4:52.0,,,79-73,,Defensive rebound by C. Anthony
4:37.0,,,79-73,,R. Baker misses 2-pt shot from 8 ft
4:36.0,,,79-73,,Offensive rebound by K. O'Quinn
4:36.0,,,79-75,2,K. O'Quinn makes 2-pt shot from 2 ft
4:18.0,B. Lopez makes 2-pt shot from 4 ft (assist by J. Lin),2,81-75,,
4:07.0,,,81-77,2,C. Lee makes 2-pt shot from 1 ft (assist by K. O'Quinn)
3:48.0,Turnover by I. Whitehead (bad pass; steal by C. Anthony),,81-77,,
3:42.0,,,81-79,2,C. Lee makes 2-pt shot from 16 ft (assist by C. Anthony)
3:31.0,J. Lin makes 2-pt shot from 22 ft,2,83-79,,
3:31.0,Shooting foul by R. Baker (drawn by J. Lin),,83-79,,
3:31.0,J. Lin makes free throw 1 of 1,1,84-79,,
3:31.0,J. Hamilton enters the game for B. Lopez,,83-79,,
3:09.0,,,84-79,,R. Baker misses 2-pt shot from 18 ft
3:07.0,Defensive rebound by J. Hamilton,,84-79,,
3:00.0,J. Lin misses 2-pt shot from 1 ft (block by J. Holiday),,84-79,,
2:59.0,Offensive rebound by Team,,84-79,,
2:59.0,S. Dinwiddie enters the game for J. Lin,,84-79,,
2:48.0,Turnover by J. Hamilton (offensive goaltending),,84-79,,
2:34.0,,,84-79,,C. Anthony misses 3-pt shot from 25 ft
2:32.0,Defensive rebound by K. McDaniels,,84-79,,
2:25.0,K. McDaniels makes 3-pt shot from 24 ft (assist by Q. Acy),3,87-79,,
2:25.0,Shooting foul by C. Anthony (drawn by K. McDaniels),,87-79,,
2:25.0,K. McDaniels misses free throw 1 of 1,,87-79,,
2:24.0,,,87-79,,Defensive rebound by J. Holiday
2:07.0,,,87-81,2,C. Anthony makes 2-pt shot from 11 ft
1:39.0,I. Whitehead makes 2-pt shot from 2 ft,2,89-81,,
1:25.0,,,89-81,,R. Baker misses 3-pt shot from 24 ft
1:23.0,,,89-81,,Offensive rebound by K. O'Quinn
1:20.0,,,89-81,,C. Anthony misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by K. McDaniels,,89-81,,
1:12.0,J. Hamilton misses 3-pt shot from 23 ft,,89-81,,
1:10.0,,,89-81,,Defensive rebound by C. Anthony
0:59.0,,,89-81,,Shooting foul by J. Hamilton (drawn by R. Baker)
0:59.0,,,89-82,1,R. Baker makes free throw 1 of 2
0:59.0,,,89-83,1,R. Baker makes free throw 2 of 2
0:59.0,,,89-82,,L. Thomas enters the game for C. Anthony
0:47.0,Shooting foul by R. Baker (drawn by S. Dinwiddie),,89-83,,
0:47.0,S. Dinwiddie makes free throw 1 of 2,1,90-83,,
0:47.0,S. Dinwiddie misses free throw 2 of 2,,90-83,,
0:46.0,,,90-83,,Defensive rebound by L. Thomas
0:30.0,,,90-85,2,J. Holiday makes 2-pt shot from 21 ft (assist by L. Thomas)
0:05.0,I. Whitehead makes 2-pt shot from 3 ft,2,92-85,,
0:00.0,,,92-87,2,K. O'Quinn makes 2-pt shot from 1 ft (assist by R. Baker)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,I. Whitehead makes 2-pt shot at rim (assist by K. McDaniels),2,94-87,,
11:27.0,,,94-89,2,L. Thomas makes 2-pt shot from 13 ft (assist by K. O'Quinn)
11:06.0,Q. Acy makes 3-pt shot from 24 ft,3,97-89,,
10:51.0,,,97-91,2,K. O'Quinn makes 2-pt shot from 19 ft (assist by J. Holiday)
10:28.0,Turnover by I. Whitehead (traveling),,97-91,,
10:08.0,,,97-91,,R. Baker misses 2-pt shot from 1 ft
10:07.0,Defensive rebound by J. Hamilton,,97-91,,
9:56.0,Q. Acy misses 2-pt shot from 3 ft (block by K. O'Quinn),,97-91,,
9:54.0,Offensive rebound by Q. Acy,,97-91,,
9:54.0,Shooting foul by K. O'Quinn (drawn by Q. Acy),,97-91,,
