time,Portland,pts.away,score,pts.home,Toronto
3:39.0,,,19-18,,Defensive rebound by S. Ibaka
3:29.0,,,19-18,,Turnover by D. DeRozan (lost ball; steal by M. Leonard)
3:25.0,M. Harkless makes 2-pt shot at rim (assist by M. Leonard),2,21-18,,
3:06.0,,,21-18,,D. DeRozan misses 2-pt shot from 6 ft
3:06.0,Defensive rebound by M. Leonard,,21-18,,
2:56.0,D. Lillard misses 2-pt shot from 2 ft,,21-18,,
2:55.0,,,21-18,,Defensive rebound by C. Joseph
2:46.0,,,21-18,,Turnover by D. DeRozan (bad pass; steal by M. Harkless)
2:41.0,M. Leonard makes 2-pt shot at rim (assist by D. Lillard),2,23-18,,
2:17.0,,,23-18,,D. DeRozan misses 2-pt shot from 7 ft
2:17.0,Defensive rebound by M. Leonard,,23-18,,
2:02.0,Turnover by D. Lillard (bad pass; steal by L. Nogueira),,23-18,,
1:55.0,,,23-18,,C. Joseph misses 2-pt shot from 2 ft
1:55.0,Defensive rebound by A. Crabbe,,23-18,,
1:46.0,D. Lillard misses 2-pt shot from 2 ft,,23-18,,
1:44.0,Offensive rebound by A. Aminu,,23-18,,
1:44.0,A. Aminu misses 2-pt shot from 1 ft,,23-18,,
1:43.0,Offensive rebound by A. Aminu,,23-18,,
1:43.0,Shooting foul by P. Tucker (drawn by A. Aminu),,23-18,,
1:43.0,A. Aminu makes free throw 1 of 2,1,24-18,,
1:43.0,A. Aminu makes free throw 2 of 2,1,25-18,,
1:43.0,,,24-18,,P. Patterson enters the game for S. Ibaka
1:43.0,,,24-18,,D. Wright enters the game for C. Joseph
1:43.0,C. McCollum enters the game for D. Lillard,,24-18,,
1:23.0,,,25-18,,D. DeRozan misses 3-pt shot from 23 ft
1:23.0,Defensive rebound by A. Aminu,,25-18,,
1:06.0,C. McCollum misses 3-pt shot from 25 ft,,25-18,,
1:06.0,,,25-18,,Defensive rebound by D. DeRozan
0:57.0,,,25-21,3,P. Patterson makes 3-pt shot from 25 ft (assist by L. Nogueira)
0:39.0,,,25-21,,Personal foul by D. Wright (drawn by C. McCollum)
0:39.0,C. McCollum misses free throw 1 of 2,,25-21,,
0:39.0,Offensive rebound by Team,,25-21,,
0:39.0,C. McCollum makes free throw 2 of 2,1,26-21,,
0:33.0,Personal foul by A. Aminu (drawn by D. DeRozan),,26-21,,
0:33.0,,,26-22,1,D. DeRozan makes free throw 1 of 2
0:33.0,,,26-23,1,D. DeRozan makes free throw 2 of 2
0:33.0,S. Napier enters the game for M. Harkless,,26-22,,
0:18.0,C. McCollum makes 2-pt shot from 2 ft,2,28-23,,
0:01.0,,,28-25,2,D. DeRozan makes 2-pt shot from 5 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,Shooting foul by D. Wright (drawn by A. Aminu),,28-25,,
11:47.0,A. Aminu makes free throw 1 of 2,1,29-25,,
11:47.0,A. Aminu makes free throw 2 of 2,1,30-25,,
11:28.0,,,30-25,,D. Wright misses 2-pt shot from 14 ft
11:28.0,Defensive rebound by M. Leonard,,30-25,,
11:17.0,C. McCollum misses 2-pt shot from 8 ft,,30-25,,
11:17.0,Offensive rebound by A. Aminu,,30-25,,
11:17.0,Shooting foul by P. Tucker (drawn by A. Aminu),,30-25,,
11:17.0,A. Aminu makes free throw 1 of 2,1,31-25,,
11:17.0,A. Aminu makes free throw 2 of 2,1,32-25,,
11:06.0,,,32-27,2,N. Powell makes 2-pt shot from 19 ft
10:42.0,C. McCollum misses 2-pt shot from 3 ft (block by L. Nogueira),,32-27,,
10:41.0,,,32-27,,Defensive rebound by N. Powell
10:30.0,,,32-27,,N. Powell misses 2-pt shot from 13 ft
10:29.0,Defensive rebound by A. Aminu,,32-27,,
10:06.0,Shooting foul by P. Patterson (drawn by M. Leonard),,32-27,,
10:06.0,M. Leonard makes free throw 1 of 2,1,33-27,,
10:06.0,M. Leonard makes free throw 2 of 2,1,34-27,,
9:57.0,,,34-27,,D. Wright misses 3-pt shot from 25 ft
9:56.0,Defensive rebound by M. Leonard,,34-27,,
9:50.0,A. Crabbe misses 3-pt shot from 24 ft,,34-27,,
9:49.0,,,34-27,,Defensive rebound by N. Powell
9:42.0,,,34-29,2,N. Powell makes 2-pt shot from 1 ft
9:25.0,A. Aminu misses 3-pt shot from 25 ft,,34-29,,
9:24.0,,,34-29,,Defensive rebound by N. Powell
9:15.0,,,34-31,2,N. Powell makes 2-pt shot from 2 ft
8:53.0,Official timeout,,34-31,,
8:53.0,,,34-31,,D. Carroll enters the game for P. Tucker
8:52.0,A. Crabbe makes 2-pt shot from 2 ft (assist by A. Aminu),2,36-31,,
8:52.0,Shooting foul by N. Powell (drawn by A. Crabbe),,36-31,,
8:52.0,A. Crabbe makes free throw 1 of 1,1,37-31,,
8:44.0,,,37-31,,Offensive foul by L. Nogueira
8:44.0,,,37-31,,Turnover by L. Nogueira (offensive foul)
8:25.0,C. McCollum misses 2-pt shot from 20 ft,,37-31,,
8:24.0,Offensive rebound by A. Crabbe,,37-31,,
8:21.0,A. Crabbe misses 2-pt shot from 3 ft,,37-31,,
8:21.0,,,37-31,,Defensive rebound by L. Nogueira
8:13.0,,,37-31,,D. Wright misses 2-pt shot from 2 ft
8:13.0,Defensive rebound by A. Crabbe,,37-31,,
8:03.0,C. McCollum misses 3-pt shot from 24 ft (block by D. Carroll),,37-31,,
8:02.0,,,37-31,,Defensive rebound by L. Nogueira
7:43.0,,,37-31,,Turnover by N. Powell (lost ball)
7:20.0,S. Napier makes 3-pt shot from 23 ft (assist by M. Leonard),3,40-31,,
7:01.0,,,40-33,2,D. Wright makes 2-pt shot from 5 ft
6:36.0,A. Aminu makes 2-pt shot from 5 ft,2,42-33,,
6:25.0,,,42-36,3,D. Wright makes 3-pt shot from 25 ft
6:07.0,C. McCollum makes 2-pt shot from 2 ft,2,44-36,,
6:07.0,,,44-36,,Toronto full timeout
6:07.0,,,44-36,,D. DeRozan enters the game for L. Nogueira
6:07.0,,,44-36,,S. Ibaka enters the game for D. Wright
6:07.0,,,44-36,,C. Joseph enters the game for N. Powell
6:07.0,M. Harkless enters the game for C. McCollum,,44-36,,
6:07.0,D. Lillard enters the game for S. Napier,,44-36,,
5:55.0,,,44-36,,P. Patterson misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by A. Aminu,,44-36,,
5:42.0,Shooting foul by S. Ibaka (drawn by M. Harkless),,44-36,,
5:42.0,M. Harkless misses free throw 1 of 2,,44-36,,
5:42.0,Offensive rebound by Team,,44-36,,
5:42.0,M. Harkless makes free throw 2 of 2,1,45-36,,
5:42.0,N. Vonleh enters the game for M. Leonard,,44-36,,
5:30.0,Personal foul by N. Vonleh (drawn by D. DeRozan),,45-36,,
5:14.0,,,45-36,,D. DeRozan misses 3-pt shot from 27 ft
5:14.0,Defensive rebound by D. Lillard,,45-36,,
5:02.0,D. Lillard misses 2-pt shot from 3 ft (block by P. Patterson),,45-36,,
5:02.0,Offensive rebound by Team,,45-36,,
4:52.0,A. Aminu makes 3-pt shot from 24 ft (assist by D. Lillard),3,48-36,,
4:31.0,,,48-36,,Shooting foul by M. Harkless (drawn by D. DeRozan)
4:31.0,,,48-37,1,D. DeRozan makes free throw 1 of 2
4:31.0,,,48-38,1,D. DeRozan makes free throw 2 of 2
4:16.0,D. Lillard makes 2-pt shot from 19 ft,2,50-38,,
3:58.0,,,50-41,3,S. Ibaka makes 3-pt shot from 25 ft (assist by C. Joseph)
3:50.0,Offensive charge foul by A. Aminu,,50-41,,
3:50.0,Turnover by A. Aminu (offensive foul),,50-41,,
3:50.0,,,50-41,,J. Valanciunas enters the game for P. Patterson
3:50.0,J. Nurkic enters the game for N. Vonleh,,50-41,,
3:41.0,,,50-43,2,J. Valanciunas makes 2-pt shot at rim (assist by C. Joseph)
3:41.0,Portland full timeout,,50-43,,
3:22.0,J. Nurkic misses 2-pt shot from 4 ft (block by J. Valanciunas),,50-43,,
3:21.0,,,50-43,,Defensive rebound by D. Carroll
3:19.0,,,50-43,,Turnover by D. Carroll (bad pass; steal by D. Lillard)
3:17.0,Turnover by D. Lillard (bad pass; steal by D. DeRozan),,50-43,,
3:02.0,,,50-45,2,J. Valanciunas makes 2-pt shot from 1 ft (assist by D. Carroll)
2:50.0,,,50-45,,Personal foul by C. Joseph (drawn by D. Lillard)
2:50.0,D. Lillard misses free throw 1 of 2,,50-45,,
2:50.0,Offensive rebound by Team,,50-45,,
2:50.0,D. Lillard makes free throw 2 of 2,1,51-45,,
2:50.0,C. McCollum enters the game for A. Crabbe,,50-45,,
2:31.0,,,51-45,,S. Ibaka misses 2-pt shot from 12 ft (block by A. Aminu)
2:30.0,,,51-45,,Offensive rebound by J. Valanciunas
2:30.0,,,51-45,,Shooting foul by J. Nurkic (drawn by J. Valanciunas)
2:30.0,,,51-46,1,J. Valanciunas makes free throw 1 of 2
2:30.0,,,51-46,,J. Valanciunas misses free throw 2 of 2
2:30.0,M. Leonard enters the game for J. Nurkic,,51-46,,
2:29.0,Defensive rebound by M. Harkless,,51-46,,
2:10.0,M. Leonard misses 3-pt shot from 26 ft,,51-46,,
2:09.0,Offensive rebound by M. Harkless,,51-46,,
1:58.0,Turnover by M. Harkless (bad pass; steal by S. Ibaka),,51-46,,
1:53.0,Personal foul by C. McCollum (drawn by D. DeRozan),,51-46,,
1:38.0,,,51-46,,Shooting foul by C. McCollum (drawn by D. Carroll)
1:38.0,,,51-46,,D. Carroll misses free throw 1 of 2
1:38.0,,,51-46,,Offensive rebound by Team
1:38.0,,,51-47,1,D. Carroll makes free throw 2 of 2
1:27.0,,,51-47,,Personal foul by J. Valanciunas (drawn by M. Leonard)
1:27.0,M. Leonard makes free throw 1 of 2,1,52-47,,
1:27.0,M. Leonard misses free throw 2 of 2,,52-47,,
1:26.0,,,52-47,,Defensive rebound by J. Valanciunas
1:11.0,,,52-49,2,C. Joseph makes 2-pt shot from 8 ft
1:01.0,C. McCollum misses 2-pt shot from 17 ft,,52-49,,
1:00.0,,,52-49,,Defensive rebound by D. Carroll
0:53.0,,,52-51,2,D. DeRozan makes 2-pt shot from 7 ft
0:29.0,Turnover by Team (shot clock),,52-51,,
0:29.0,,,52-51,,Toronto full timeout
0:29.0,A. Crabbe enters the game for C. McCollum,,52-51,,
0:18.0,,,52-53,2,C. Joseph makes 2-pt shot from 6 ft
0:18.0,Portland full timeout,,52-53,,
0:18.0,,,52-53,,P. Tucker enters the game for J. Valanciunas
0:18.0,C. McCollum enters the game for M. Harkless,,52-53,,
0:18.0,J. Nurkic enters the game for M. Leonard,,52-53,,
0:02.0,C. McCollum misses 2-pt shot from 18 ft,,52-53,,
0:01.0,,,52-53,,Defensive rebound by S. Ibaka
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,D. Lillard misses 3-pt shot from 24 ft,,52-53,,
11:41.0,,,52-53,,Defensive rebound by D. DeRozan
11:31.0,,,52-55,2,D. DeRozan makes 2-pt shot from 2 ft
11:05.0,J. Nurkic misses 2-pt shot from 7 ft,,52-55,,
11:02.0,,,52-55,,Defensive rebound by S. Ibaka
10:49.0,,,52-57,2,S. Ibaka makes 2-pt shot from 19 ft (assist by D. DeRozan)
10:26.0,M. Harkless misses 2-pt shot from 14 ft (block by S. Ibaka),,52-57,,
10:25.0,,,52-57,,Defensive rebound by J. Valanciunas
10:22.0,Personal foul by C. McCollum (drawn by S. Ibaka),,52-57,,
10:17.0,,,52-57,,D. DeRozan misses 2-pt shot from 22 ft
10:17.0,Defensive rebound by N. Vonleh,,52-57,,
10:07.0,D. Lillard misses 2-pt shot from 9 ft,,52-57,,
10:07.0,Offensive rebound by Team,,52-57,,
10:07.0,,,52-57,,Personal foul by S. Ibaka (drawn by N. Vonleh)
9:59.0,C. McCollum misses 2-pt shot from 9 ft,,52-57,,
9:59.0,,,52-57,,Defensive rebound by J. Valanciunas
9:51.0,,,52-57,,C. Joseph misses 2-pt shot from 2 ft (block by N. Vonleh)
9:50.0,,,52-57,,Offensive rebound by S. Ibaka
9:48.0,,,52-59,2,S. Ibaka makes 2-pt shot at rim
9:48.0,Portland full timeout,,52-59,,
9:34.0,N. Vonleh misses 2-pt shot from 4 ft (block by D. DeRozan),,52-59,,
9:33.0,Offensive rebound by M. Harkless,,52-59,,
9:30.0,M. Harkless makes 2-pt shot at rim,2,54-59,,
9:16.0,,,54-61,2,J. Valanciunas makes 2-pt shot from 16 ft (assist by C. Joseph)
9:02.0,M. Harkless makes 2-pt shot from 5 ft,2,56-61,,
8:45.0,,,56-61,,Turnover by D. DeRozan (bad pass; steal by D. Lillard)
8:38.0,M. Harkless makes 2-pt shot at rim (assist by D. Lillard),2,58-61,,
8:18.0,,,58-63,2,S. Ibaka makes 2-pt shot from 16 ft (assist by J. Valanciunas)
8:01.0,D. Lillard makes 3-pt shot from 25 ft,3,61-63,,
7:46.0,,,61-65,2,C. Joseph makes 2-pt shot from 10 ft
7:28.0,J. Nurkic makes 2-pt shot from 18 ft (assist by C. McCollum),2,63-65,,
7:07.0,,,63-65,,S. Ibaka misses 2-pt shot from 9 ft
7:07.0,,,63-65,,Offensive rebound by S. Ibaka
7:03.0,,,63-68,3,C. Joseph makes 3-pt shot from 24 ft (assist by S. Ibaka)
6:51.0,D. Lillard misses 2-pt shot from 14 ft,,63-68,,
6:51.0,,,63-68,,Defensive rebound by J. Valanciunas
6:41.0,Personal foul by N. Vonleh (drawn by D. DeRozan),,63-68,,
6:33.0,,,63-68,,D. Carroll misses 3-pt shot from 25 ft
6:32.0,Defensive rebound by D. Lillard,,63-68,,
6:27.0,C. McCollum misses 2-pt shot from 8 ft,,63-68,,
6:27.0,Offensive rebound by C. McCollum,,63-68,,
6:22.0,Shooting foul by D. Carroll (drawn by N. Vonleh),,63-68,,
6:22.0,N. Vonleh makes free throw 1 of 2,1,64-68,,
6:22.0,N. Vonleh misses free throw 2 of 2,,64-68,,
6:21.0,,,64-68,,Defensive rebound by D. Carroll
6:07.0,Personal block foul by M. Harkless (drawn by D. DeRozan),,64-68,,
5:56.0,,,64-70,2,D. DeRozan makes 2-pt shot from 20 ft
5:44.0,J. Nurkic misses 2-pt shot from 18 ft,,64-70,,
5:43.0,,,64-70,,Defensive rebound by S. Ibaka
5:18.0,,,64-72,2,D. DeRozan makes 2-pt shot from 18 ft
4:59.0,C. McCollum makes 3-pt shot from 22 ft (assist by D. Lillard),3,67-72,,
4:51.0,,,67-72,,Toronto full timeout
4:51.0,A. Crabbe enters the game for C. McCollum,,67-72,,
4:42.0,,,67-74,2,J. Valanciunas makes 2-pt shot from 6 ft
4:22.0,J. Nurkic makes 2-pt shot at rim (assist by D. Lillard),2,69-74,,
4:12.0,,,69-74,,Turnover by C. Joseph (lost ball)
3:56.0,D. Lillard makes 2-pt shot from 2 ft,2,71-74,,
3:38.0,,,71-74,,Turnover by J. Valanciunas (lost ball; steal by J. Nurkic)
3:29.0,A. Crabbe misses 2-pt shot from 22 ft,,71-74,,
3:28.0,,,71-74,,Defensive rebound by J. Valanciunas
3:15.0,,,71-74,,J. Valanciunas misses 2-pt shot from 4 ft
3:15.0,Defensive rebound by J. Nurkic,,71-74,,
2:53.0,N. Vonleh makes 2-pt shot from 6 ft,2,73-74,,
2:35.0,,,73-74,,S. Ibaka misses 3-pt shot from 26 ft
2:35.0,,,73-74,,Offensive rebound by J. Valanciunas
2:32.0,,,73-76,2,J. Valanciunas makes 2-pt shot from 1 ft
2:17.0,D. Lillard makes 3-pt shot from 29 ft,3,76-76,,
2:01.0,,,76-76,,Turnover by D. DeRozan (lost ball; steal by M. Harkless)
1:47.0,D. Lillard makes 2-pt shot from 20 ft,2,78-76,,
1:33.0,Personal foul by N. Vonleh (drawn by C. Joseph),,78-76,,
1:33.0,,,78-76,,P. Patterson enters the game for D. Carroll
1:33.0,,,78-76,,D. Wright enters the game for J. Valanciunas
1:33.0,,,78-76,,P. Tucker enters the game for C. Joseph
1:33.0,M. Leonard enters the game for N. Vonleh,,78-76,,
1:33.0,A. Aminu enters the game for J. Nurkic,,78-76,,
1:26.0,Personal foul by M. Leonard (drawn by D. DeRozan),,78-76,,
1:26.0,,,78-77,1,D. DeRozan makes free throw 1 of 2
1:26.0,,,78-78,1,D. DeRozan makes free throw 2 of 2
1:18.0,,,78-78,,Personal foul by D. Wright (drawn by D. Lillard)
1:02.0,M. Leonard misses 2-pt shot from 4 ft,,78-78,,
1:01.0,,,78-78,,Defensive rebound by D. DeRozan
0:57.0,,,78-78,,Shooting foul by M. Harkless (drawn by D. DeRozan)
0:57.0,,,78-79,1,D. DeRozan makes free throw 1 of 2
0:57.0,,,78-80,1,D. DeRozan makes free throw 2 of 2
0:57.0,,,78-79,,J. Poeltl enters the game for S. Ibaka
0:57.0,C. McCollum enters the game for D. Lillard,,78-79,,
0:32.0,A. Crabbe misses 2-pt shot from 21 ft,,78-80,,
0:31.0,,,78-80,,Defensive rebound by P. Patterson
0:22.0,,,78-80,,D. DeRozan misses 2-pt shot from 18 ft (block by M. Harkless)
0:22.0,Defensive rebound by M. Harkless,,78-80,,
0:19.0,M. Harkless makes 2-pt shot at rim,2,80-80,,
0:02.0,,,80-82,2,D. Wright makes 2-pt shot at rim (assist by D. DeRozan)
0:00.0,M. Harkless misses 3-pt shot from 45 ft,,80-82,,
0:00.0,Offensive rebound by Team,,80-82,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
12:00.0,,,80-82,,Violation by Team (jump ball)
11:42.0,,,80-82,,J. Poeltl misses 2-pt shot from 4 ft (block by M. Leonard)
11:41.0,Defensive rebound by S. Napier,,80-82,,
11:35.0,Shooting foul by J. Poeltl (drawn by C. McCollum),,80-82,,
11:35.0,C. McCollum misses free throw 1 of 2,,80-82,,
11:35.0,Offensive rebound by Team,,80-82,,
11:35.0,C. McCollum makes free throw 2 of 2,1,81-82,,
11:24.0,,,81-84,2,P. Tucker makes 2-pt shot from 6 ft (assist by N. Powell)
11:08.0,Turnover by S. Napier (bad pass; steal by P. Patterson),,81-84,,
11:08.0,,,81-84,,Shooting foul by A. Aminu (drawn by J. Poeltl)
11:08.0,,,81-84,,J. Poeltl misses free throw 1 of 2
11:08.0,,,81-84,,Offensive rebound by Team
11:08.0,,,81-84,,J. Poeltl misses free throw 2 of 2
11:07.0,Defensive rebound by A. Aminu,,81-84,,
10:43.0,A. Aminu makes 2-pt shot from 2 ft,2,83-84,,
10:21.0,,,83-87,3,P. Patterson makes 3-pt shot from 24 ft (assist by D. Wright)
9:53.0,M. Leonard misses 3-pt shot from 27 ft,,83-87,,
9:53.0,Offensive rebound by Team,,83-87,,
9:53.0,Turnover by Team (shot clock),,83-87,,
9:35.0,,,83-87,,N. Powell misses 2-pt shot from 21 ft
9:34.0,,,83-87,,Offensive rebound by J. Poeltl
9:28.0,,,83-87,,N. Powell misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by C. McCollum,,83-87,,
9:16.0,S. Napier misses 3-pt shot from 25 ft,,83-87,,
9:15.0,,,83-87,,Defensive rebound by P. Tucker
8:59.0,,,83-89,2,D. Wright makes 2-pt shot from 2 ft
8:59.0,Portland full timeout,,83-89,,
8:59.0,D. Lillard enters the game for S. Napier,,83-89,,
8:45.0,D. Lillard makes 3-pt shot from 24 ft,3,86-89,,
8:25.0,,,86-89,,Shooting foul by M. Leonard (drawn by N. Powell)
8:25.0,,,86-90,1,N. Powell makes free throw 1 of 2
8:25.0,,,86-91,1,N. Powell makes free throw 2 of 2
8:07.0,A. Aminu misses 3-pt shot from 25 ft,,86-91,,
8:06.0,,,86-91,,Defensive rebound by D. Wright
7:52.0,,,86-91,,P. Patterson misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by M. Leonard,,86-91,,
7:41.0,D. Lillard misses 3-pt shot from 25 ft,,86-91,,
7:41.0,,,86-91,,Defensive rebound by N. Powell
7:24.0,,,86-93,2,D. Wright makes 2-pt shot from 2 ft
7:09.0,J. Nurkic enters the game for M. Leonard,,86-93,,
7:09.0,M. Harkless enters the game for C. McCollum,,86-93,,
7:07.0,,,86-93,,Personal foul by J. Poeltl (drawn by J. Nurkic)
7:01.0,,,86-93,,Personal block foul by J. Poeltl (drawn by D. Lillard)
7:01.0,,,86-93,,S. Ibaka enters the game for J. Poeltl
6:53.0,Shooting foul by D. Wright (drawn by A. Crabbe),,86-93,,
6:53.0,A. Crabbe makes free throw 1 of 2,1,87-93,,
6:53.0,A. Crabbe makes free throw 2 of 2,1,88-93,,
6:38.0,,,88-93,,D. Wright misses 3-pt shot from 25 ft
6:38.0,Defensive rebound by D. Lillard,,88-93,,
6:29.0,D. Lillard misses 2-pt shot from 21 ft,,88-93,,
6:26.0,,,88-93,,Defensive rebound by D. Wright
6:15.0,,,88-93,,P. Patterson misses 3-pt shot from 25 ft
6:15.0,,,88-93,,Offensive rebound by Team
6:15.0,Loose ball foul by J. Nurkic (drawn by P. Tucker),,88-93,,
6:15.0,,,88-93,,Technical foul by P. Tucker
6:15.0,D. Lillard makes technical free throw,1,89-93,,
6:15.0,,,89-93,,D. DeRozan enters the game for D. Wright
6:15.0,,,89-93,,C. Joseph enters the game for N. Powell
6:02.0,,,89-95,2,S. Ibaka makes 2-pt shot from 2 ft
5:47.0,A. Crabbe makes 2-pt shot from 21 ft (assist by D. Lillard),2,91-95,,
5:25.0,,,91-98,3,S. Ibaka makes 3-pt shot from 25 ft (assist by C. Joseph)
5:07.0,D. Lillard makes 3-pt shot from 25 ft (assist by A. Aminu),3,94-98,,
4:48.0,,,94-98,,C. Joseph misses 2-pt shot from 3 ft
4:48.0,Defensive rebound by D. Lillard,,94-98,,
4:41.0,J. Nurkic makes 2-pt shot from 2 ft (assist by A. Crabbe),2,96-98,,
4:41.0,Shooting foul by S. Ibaka (drawn by J. Nurkic),,96-98,,
4:41.0,Official timeout,,96-98,,
4:41.0,J. Nurkic misses free throw 1 of 1,,96-98,,
4:41.0,,,96-98,,D. Carroll enters the game for P. Patterson
4:40.0,,,96-98,,Defensive rebound by D. DeRozan
4:24.0,Personal foul by M. Harkless (drawn by D. DeRozan),,96-98,,
4:24.0,C. McCollum enters the game for J. Nurkic,,96-98,,
4:12.0,,,96-100,2,S. Ibaka makes 2-pt shot from 14 ft (assist by P. Tucker)
3:59.0,Offensive foul by A. Aminu,,96-100,,
3:59.0,Turnover by A. Aminu (offensive foul),,96-100,,
3:44.0,,,96-102,2,S. Ibaka makes 2-pt shot from 12 ft
3:28.0,C. McCollum misses 2-pt shot from 14 ft,,96-102,,
3:27.0,,,96-102,,Defensive rebound by D. DeRozan
