time,Cleveland,pts.away,score,pts.home,Dallas
6:30.0,,,8-14,,D. Harris enters the game for Y. Ferrell
6:19.0,K. Irving makes 3-pt shot from 25 ft,3,11-14,,
6:04.0,,,11-14,,H. Barnes misses 2-pt shot from 11 ft
6:03.0,Defensive rebound by L. James,,11-14,,
5:54.0,,,11-14,,Shooting block foul by S. Curry (drawn by I. Shumpert)
5:54.0,I. Shumpert makes free throw 1 of 2,1,12-14,,
5:54.0,I. Shumpert misses free throw 2 of 2,,12-14,,
5:54.0,C. Frye enters the game for T. Thompson,,12-14,,
5:53.0,,,12-14,,Defensive rebound by W. Matthews
5:36.0,,,12-14,,H. Barnes misses 2-pt shot from 18 ft
5:34.0,Defensive rebound by K. Irving,,12-14,,
5:29.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,14-14,,
5:26.0,,,14-14,,Dallas full timeout
5:06.0,,,14-14,,S. Curry misses 3-pt shot from 25 ft
5:04.0,Defensive rebound by K. Irving,,14-14,,
5:01.0,,,14-14,,Personal foul by D. Harris (drawn by K. Irving)
4:52.0,K. Irving makes 2-pt shot from 1 ft,2,16-14,,
4:42.0,Shooting block foul by R. Jefferson (drawn by W. Matthews),,16-14,,
4:42.0,,,16-15,1,W. Matthews makes free throw 1 of 2
4:42.0,,,16-16,1,W. Matthews makes free throw 2 of 2
4:42.0,,,16-15,,D. Powell enters the game for S. Mejri
4:27.0,,,16-16,,Shooting block foul by D. Powell (drawn by I. Shumpert)
4:27.0,I. Shumpert makes free throw 1 of 2,1,17-16,,
4:27.0,I. Shumpert makes free throw 2 of 2,1,18-16,,
4:27.0,K. Korver enters the game for R. Jefferson,,17-16,,
4:21.0,Def 3 sec tech foul by C. Frye,,18-16,,
4:21.0,,,18-17,1,W. Matthews makes technical free throw
4:13.0,,,18-17,,S. Curry misses 2-pt shot from 17 ft
4:12.0,Defensive rebound by I. Shumpert,,18-17,,
4:04.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,20-17,,
3:39.0,,,20-17,,D. Harris misses 3-pt shot from 24 ft
3:38.0,,,20-17,,Offensive rebound by D. Powell
3:35.0,,,20-17,,S. Curry misses 3-pt shot from 25 ft
3:35.0,,,20-17,,Offensive rebound by H. Barnes
3:35.0,Loose ball foul by K. Korver (drawn by H. Barnes),,20-17,,
3:27.0,,,20-19,2,S. Curry makes 2-pt shot from 3 ft
3:09.0,Shooting foul by D. Harris (drawn by C. Frye),,20-19,,
3:09.0,C. Frye makes free throw 1 of 2,1,21-19,,
3:09.0,C. Frye makes free throw 2 of 2,1,22-19,,
3:09.0,,,21-19,,Y. Ferrell enters the game for D. Harris
3:09.0,J. McRae enters the game for L. James,,21-19,,
3:09.0,,,21-19,,D. Finney-Smith enters the game for W. Matthews
2:49.0,,,22-19,,Y. Ferrell misses 3-pt shot from 25 ft
2:48.0,Defensive rebound by I. Shumpert,,22-19,,
2:38.0,K. Irving makes 2-pt shot from 1 ft,2,24-19,,
2:26.0,,,24-19,,D. Powell misses 2-pt shot from 8 ft
2:25.0,Defensive rebound by C. Frye,,24-19,,
2:21.0,Shooting foul by Y. Ferrell (drawn by K. Irving),,24-19,,
2:21.0,K. Irving makes free throw 1 of 3,1,25-19,,
2:21.0,K. Irving makes free throw 2 of 3,1,26-19,,
2:21.0,K. Irving makes free throw 3 of 3,1,27-19,,
2:21.0,,,26-19,,D. Nowitzki enters the game for H. Barnes
2:21.0,T. Thompson enters the game for I. Shumpert,,26-19,,
2:08.0,,,27-21,2,Y. Ferrell makes 2-pt shot from 16 ft
1:49.0,K. Irving misses 2-pt shot from 11 ft,,27-21,,
1:48.0,,,27-21,,Defensive rebound by D. Nowitzki
1:38.0,,,27-21,,Y. Ferrell misses 2-pt shot from 3 ft (block by C. Frye)
1:37.0,Defensive rebound by K. Korver,,27-21,,
1:25.0,Turnover by C. Frye (bad pass; steal by D. Finney-Smith),,27-21,,
1:20.0,,,27-24,3,Y. Ferrell makes 3-pt shot from 24 ft (assist by D. Finney-Smith)
0:58.0,J. McRae makes 2-pt shot from 20 ft,2,29-24,,
0:40.0,Personal foul by J. McRae (drawn by Y. Ferrell),,29-24,,
0:34.0,,,29-24,,D. Powell misses 3-pt shot from 24 ft
0:33.0,Defensive rebound by C. Frye,,29-24,,
0:11.0,K. Irving misses 3-pt shot from 24 ft,,29-24,,
0:10.0,,,29-24,,Defensive rebound by Y. Ferrell
0:04.0,,,29-26,2,S. Curry makes 2-pt shot from 5 ft
0:01.0,J. McRae misses 3-pt shot from 25 ft,,29-26,,
0:00.0,Offensive rebound by Team,,29-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,Personal foul by T. Thompson (drawn by D. Nowitzki),,29-26,,
11:36.0,,,29-26,,W. Matthews misses 3-pt shot from 24 ft
11:35.0,Defensive rebound by L. James,,29-26,,
11:32.0,Turnover by L. James (bad pass),,29-26,,
11:19.0,,,29-26,,D. Powell misses 2-pt shot from 1 ft (block by C. Frye)
11:18.0,Defensive rebound by T. Thompson,,29-26,,
11:11.0,Turnover by L. James (lost ball; steal by D. Nowitzki),,29-26,,
11:08.0,,,29-26,,Shooting foul by C. Frye (drawn by D. Powell)
11:08.0,,,29-27,1,D. Powell makes free throw 1 of 2
11:08.0,,,29-28,1,D. Powell makes free throw 2 of 2
10:55.0,K. Korver misses 3-pt shot from 25 ft,,29-28,,
10:53.0,,,29-28,,Defensive rebound by Y. Ferrell
10:41.0,,,29-30,2,D. Powell makes 2-pt shot from 8 ft
10:27.0,C. Frye misses 3-pt shot from 24 ft,,29-30,,
10:26.0,,,29-30,,Defensive rebound by W. Matthews
10:15.0,,,29-32,2,W. Matthews makes 2-pt shot from 9 ft
9:48.0,J. McRae makes 2-pt shot from 20 ft,2,31-32,,
9:32.0,,,31-34,2,D. Nowitzki makes 2-pt shot from 16 ft (assist by D. Harris)
9:18.0,L. James makes 2-pt shot from 1 ft,2,33-34,,
8:54.0,,,33-36,2,D. Powell makes 2-pt shot from 18 ft (assist by Y. Ferrell)
8:41.0,Official timeout,,33-36,,
8:41.0,,,33-36,,H. Barnes enters the game for D. Nowitzki
8:34.0,C. Frye misses 3-pt shot from 25 ft,,33-36,,
8:33.0,,,33-36,,Defensive rebound by H. Barnes
8:33.0,Personal foul by T. Thompson (drawn by H. Barnes),,33-36,,
8:33.0,R. Jefferson enters the game for T. Thompson,,33-36,,
8:19.0,,,33-39,3,Y. Ferrell makes 3-pt shot from 25 ft (assist by D. Harris)
8:09.0,Shooting foul by D. Powell (drawn by L. James),,33-39,,
8:09.0,L. James misses free throw 1 of 2,,33-39,,
8:09.0,Offensive rebound by Team,,33-39,,
8:09.0,L. James makes free throw 2 of 2,1,34-39,,
8:09.0,,,33-39,,S. Curry enters the game for Y. Ferrell
7:47.0,,,34-41,2,W. Matthews makes 2-pt shot from 18 ft
7:32.0,J. McRae misses 2-pt shot from 3 ft (block by D. Powell),,34-41,,
7:30.0,,,34-41,,Defensive rebound by Team
7:30.0,K. Irving enters the game for J. McRae,,34-41,,
7:12.0,,,34-41,,Turnover by D. Harris (bad pass; steal by L. James)
7:02.0,R. Jefferson makes 2-pt shot from 3 ft,2,36-41,,
7:00.0,,,36-41,,Dallas full timeout
6:42.0,,,36-41,,W. Matthews misses 2-pt shot from 15 ft
6:41.0,Defensive rebound by K. Korver,,36-41,,
6:27.0,,,36-41,,Personal foul by H. Barnes (drawn by L. James)
6:27.0,,,36-41,,Y. Ferrell enters the game for D. Harris
6:16.0,Shooting foul by W. Matthews (drawn by L. James),,36-41,,
6:16.0,L. James makes free throw 1 of 2,1,37-41,,
6:16.0,L. James makes free throw 2 of 2,1,38-41,,
6:16.0,I. Shumpert enters the game for K. Korver,,37-41,,
6:03.0,,,38-41,,W. Matthews misses 3-pt shot from 25 ft
6:02.0,Defensive rebound by K. Irving,,38-41,,
5:52.0,C. Frye misses 3-pt shot from 25 ft,,38-41,,
5:51.0,,,38-41,,Defensive rebound by Y. Ferrell
5:44.0,J. McRae enters the game for C. Frye,,38-41,,
5:36.0,,,38-41,,Y. Ferrell misses 2-pt shot from 22 ft
5:34.0,,,38-41,,Offensive rebound by H. Barnes
5:29.0,,,38-43,2,H. Barnes makes 2-pt shot from 13 ft
5:01.0,R. Jefferson makes 3-pt shot from 26 ft (assist by K. Irving),3,41-43,,
4:46.0,,,41-43,,Turnover by H. Barnes (lost ball; steal by K. Irving)
4:40.0,J. McRae makes 2-pt shot at rim (assist by L. James),2,43-43,,
4:40.0,,,43-43,,Dallas full timeout
4:40.0,,,43-43,,D. Nowitzki enters the game for D. Powell
4:20.0,,,43-45,2,H. Barnes makes 2-pt shot from 6 ft
4:04.0,K. Irving misses 2-pt shot from 10 ft,,43-45,,
4:03.0,,,43-45,,Defensive rebound by D. Nowitzki
3:56.0,,,43-45,,Y. Ferrell misses 2-pt shot from 1 ft
3:54.0,,,43-45,,Offensive rebound by S. Curry
3:54.0,,,43-47,2,S. Curry makes 2-pt shot from 1 ft
3:35.0,Turnover by K. Irving (bad pass; steal by Y. Ferrell),,43-47,,
3:31.0,Violation by I. Shumpert (kicked ball),,43-47,,
3:26.0,Personal block foul by R. Jefferson (drawn by Y. Ferrell),,43-47,,
3:26.0,K. Korver enters the game for R. Jefferson,,43-47,,
3:13.0,,,43-49,2,H. Barnes makes 2-pt shot from 2 ft
3:13.0,,,43-49,,Shooting foul by J. McRae (drawn by H. Barnes)
3:13.0,,,43-49,,H. Barnes misses free throw 1 of 1
3:12.0,Defensive rebound by L. James,,43-49,,
3:00.0,Shooting foul by D. Nowitzki (drawn by I. Shumpert),,43-49,,
3:00.0,I. Shumpert makes free throw 1 of 2,1,44-49,,
3:00.0,I. Shumpert makes free throw 2 of 2,1,45-49,,
2:39.0,,,45-49,,H. Barnes misses 2-pt shot from 8 ft
2:38.0,Defensive rebound by L. James,,45-49,,
2:31.0,K. Irving misses 2-pt shot from 2 ft,,45-49,,
2:29.0,,,45-49,,Defensive rebound by Y. Ferrell
2:23.0,,,45-49,,S. Curry misses 3-pt shot from 26 ft
2:20.0,,,45-49,,Offensive rebound by W. Matthews
2:19.0,,,45-51,2,W. Matthews makes 2-pt shot from 17 ft
2:10.0,Cleveland full timeout,,45-51,,
2:07.0,,,45-51,,D. Finney-Smith enters the game for D. Nowitzki
2:01.0,L. James misses 2-pt shot from 7 ft,,45-51,,
2:01.0,,,45-51,,Defensive rebound by D. Finney-Smith
1:49.0,,,45-51,,W. Matthews misses 3-pt shot from 24 ft
1:48.0,Defensive rebound by L. James,,45-51,,
1:43.0,Turnover by K. Korver (lost ball; steal by D. Finney-Smith),,45-51,,
1:23.0,,,45-53,2,H. Barnes makes 2-pt shot from 17 ft (assist by Y. Ferrell)
1:04.0,J. McRae makes 3-pt shot from 24 ft (assist by K. Korver),3,48-53,,
0:47.0,,,48-55,2,Y. Ferrell makes 2-pt shot from 14 ft
0:31.0,K. Irving misses 3-pt shot from 24 ft,,48-55,,
0:29.0,,,48-55,,Defensive rebound by S. Curry
0:09.0,,,48-55,,W. Matthews misses 3-pt shot from 24 ft
0:08.0,Defensive rebound by L. James,,48-55,,
0:00.0,L. James makes 2-pt shot from 3 ft,2,50-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,50-55,,S. Curry misses 2-pt shot from 22 ft
11:40.0,Defensive rebound by T. Thompson,,50-55,,
11:33.0,I. Shumpert misses 3-pt shot from 23 ft,,50-55,,
11:33.0,,,50-55,,Defensive rebound by D. Nowitzki
11:13.0,,,50-55,,Shooting foul by K. Irving (drawn by Y. Ferrell)
11:13.0,,,50-56,1,Y. Ferrell makes free throw 1 of 2
11:13.0,,,50-57,1,Y. Ferrell makes free throw 2 of 2
10:53.0,K. Irving makes 2-pt shot from 2 ft,2,52-57,,
10:34.0,,,52-57,,Turnover by D. Nowitzki (bad pass; steal by L. James)
10:28.0,L. James makes 2-pt shot from 1 ft,2,54-57,,
10:14.0,,,54-57,,Y. Ferrell misses 2-pt shot from 3 ft
10:13.0,,,54-57,,Offensive rebound by H. Barnes
10:10.0,,,54-60,3,W. Matthews makes 3-pt shot from 25 ft
9:50.0,L. James misses 3-pt shot from 25 ft,,54-60,,
9:49.0,,,54-60,,Defensive rebound by D. Nowitzki
9:41.0,,,54-60,,S. Curry misses 2-pt shot from 3 ft
9:40.0,Defensive rebound by I. Shumpert,,54-60,,
9:31.0,I. Shumpert misses 2-pt shot from 18 ft,,54-60,,
9:30.0,,,54-60,,Defensive rebound by S. Curry
9:15.0,,,54-60,,H. Barnes misses 3-pt shot from 23 ft
9:14.0,Defensive rebound by T. Thompson,,54-60,,
9:06.0,L. James misses 2-pt shot from 22 ft,,54-60,,
9:05.0,,,54-60,,Defensive rebound by H. Barnes
8:47.0,,,54-60,,Y. Ferrell misses 2-pt shot from 16 ft
8:45.0,Defensive rebound by T. Thompson,,54-60,,
8:36.0,K. Irving misses 2-pt shot from 10 ft,,54-60,,
8:36.0,Offensive rebound by K. Irving,,54-60,,
8:33.0,Turnover by K. Irving (lost ball; steal by H. Barnes),,54-60,,
8:30.0,,,54-62,2,W. Matthews makes 2-pt shot at rim (assist by H. Barnes)
8:30.0,Cleveland full timeout,,54-62,,
8:15.0,L. James misses 3-pt shot from 24 ft,,54-62,,
8:14.0,Offensive rebound by R. Jefferson,,54-62,,
8:03.0,L. James makes 3-pt shot from 25 ft,3,57-62,,
7:44.0,,,57-62,,S. Curry misses 2-pt shot from 2 ft (block by R. Jefferson)
7:44.0,,,57-62,,Offensive rebound by Team
7:40.0,,,57-64,2,H. Barnes makes 2-pt shot from 16 ft (assist by S. Curry)
7:16.0,I. Shumpert misses 2-pt shot from 20 ft,,57-64,,
7:16.0,,,57-64,,Defensive rebound by H. Barnes
7:10.0,,,57-64,,Shooting foul by I. Shumpert (drawn by H. Barnes)
7:10.0,,,57-65,1,H. Barnes makes free throw 1 of 2
7:10.0,,,57-66,1,H. Barnes makes free throw 2 of 2
7:00.0,K. Irving makes 2-pt shot from 18 ft,2,59-66,,
6:41.0,,,59-66,,S. Curry misses 3-pt shot from 25 ft
6:40.0,Defensive rebound by T. Thompson,,59-66,,
6:23.0,K. Irving misses 2-pt shot from 14 ft,,59-66,,
6:22.0,,,59-66,,Defensive rebound by Team
6:13.0,,,59-66,,Turnover by Y. Ferrell (bad pass; steal by K. Irving)
6:10.0,L. James makes 2-pt shot at rim (assist by K. Irving),2,61-66,,
6:03.0,,,61-66,,Dallas full timeout
6:03.0,,,61-66,,D. Harris enters the game for D. Nowitzki
6:03.0,,,61-66,,D. Powell enters the game for Y. Ferrell
5:55.0,,,61-68,2,D. Powell makes 2-pt shot from 18 ft (assist by S. Curry)
5:44.0,L. James makes 2-pt shot from 2 ft (assist by K. Irving),2,63-68,,
5:44.0,,,63-68,,Shooting block foul by D. Powell (drawn by L. James)
5:44.0,L. James misses free throw 1 of 1,,63-68,,
5:42.0,,,63-68,,Defensive rebound by D. Powell
5:30.0,,,63-68,,D. Powell misses 3-pt shot from 24 ft
5:29.0,Defensive rebound by R. Jefferson,,63-68,,
5:13.0,,,63-68,,Personal foul by D. Harris (drawn by K. Irving)
5:06.0,Offensive foul by K. Irving,,63-68,,
5:06.0,Turnover by K. Irving (offensive foul),,63-68,,
4:59.0,,,63-71,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Harris)
4:47.0,K. Irving makes 2-pt shot from 19 ft,2,65-71,,
4:32.0,,,65-71,,H. Barnes misses 2-pt shot from 19 ft
4:32.0,Defensive rebound by L. James,,65-71,,
4:24.0,L. James misses 2-pt shot from 20 ft,,65-71,,
4:24.0,,,65-71,,Defensive rebound by Team
4:10.0,,,65-71,,Shooting foul by R. Jefferson (drawn by H. Barnes)
4:10.0,,,65-72,1,H. Barnes makes free throw 1 of 2
4:10.0,,,65-73,1,H. Barnes makes free throw 2 of 2
4:10.0,J. McRae enters the game for K. Irving,,65-72,,
3:58.0,Turnover by J. McRae (bad pass; steal by D. Powell),,65-73,,
3:39.0,,,65-73,,D. Harris misses 3-pt shot from 25 ft
3:38.0,Defensive rebound by L. James,,65-73,,
3:20.0,R. Jefferson makes 3-pt shot from 24 ft (assist by L. James),3,68-73,,
2:54.0,,,68-73,,H. Barnes misses 2-pt shot from 17 ft
2:53.0,Defensive rebound by R. Jefferson,,68-73,,
2:34.0,L. James misses 3-pt shot from 25 ft,,68-73,,
2:34.0,,,68-73,,Defensive rebound by S. Curry
2:16.0,,,68-75,2,D. Powell makes 2-pt shot from 1 ft (assist by S. Curry)
1:57.0,Turnover by L. James (lost ball),,68-75,,
1:57.0,K. Irving enters the game for L. James,,68-75,,
1:57.0,,,68-75,,D. Finney-Smith enters the game for W. Matthews
1:40.0,,,68-77,2,S. Curry makes 2-pt shot from 11 ft
1:17.0,K. Irving misses 3-pt shot from 24 ft,,68-77,,
1:16.0,,,68-77,,Defensive rebound by H. Barnes
1:06.0,,,68-77,,D. Finney-Smith misses 3-pt shot from 25 ft
1:04.0,,,68-77,,Offensive rebound by H. Barnes
1:01.0,,,68-79,2,S. Curry makes 2-pt shot from 1 ft (assist by H. Barnes)
0:43.0,,,68-79,,Personal foul by D. Harris (drawn by I. Shumpert)
0:43.0,,,68-79,,Y. Ferrell enters the game for D. Harris
0:34.0,K. Irving makes 2-pt shot from 3 ft,2,70-79,,
0:29.0,,,70-79,,S. Curry misses 2-pt shot from 23 ft
0:27.0,,,70-79,,Offensive rebound by D. Powell
0:06.0,,,70-81,2,Y. Ferrell makes 2-pt shot from 14 ft
0:00.0,K. Irving misses 3-pt shot from 25 ft,,70-81,,
0:00.0,Offensive rebound by Team,,70-81,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,L. James misses 2-pt shot from 13 ft,,70-81,,
11:33.0,Offensive rebound by K. Korver,,70-81,,
11:28.0,D. Liggins misses 2-pt shot from 21 ft,,70-81,,
11:27.0,,,70-81,,Defensive rebound by D. Powell
11:15.0,,,70-81,,D. Harris misses 2-pt shot from 1 ft
11:13.0,,,70-81,,Offensive rebound by D. Powell
11:13.0,,,70-83,2,D. Powell makes 2-pt shot at rim
11:01.0,C. Frye makes 3-pt shot from 24 ft (assist by L. James),3,73-83,,
10:38.0,,,73-83,,D. Harris misses 3-pt shot from 24 ft
10:37.0,Defensive rebound by C. Frye,,73-83,,
10:29.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,76-83,,
10:27.0,,,76-83,,Dallas full timeout
10:27.0,,,76-83,,W. Matthews enters the game for D. Finney-Smith
10:05.0,,,76-85,2,D. Powell makes 2-pt shot from 2 ft (assist by D. Harris)
9:48.0,Turnover by L. James (bad pass; steal by D. Harris),,76-85,,
9:42.0,,,76-87,2,D. Harris makes 2-pt shot from 5 ft
9:25.0,C. Frye makes 3-pt shot from 23 ft (assist by L. James),3,79-87,,
9:07.0,,,79-87,,Shooting foul by K. Korver (drawn by W. Matthews)
9:07.0,,,79-88,1,W. Matthews makes free throw 1 of 2
9:07.0,,,79-89,1,W. Matthews makes free throw 2 of 2
8:57.0,,,79-89,,Violation by W. Matthews (kicked ball)
8:57.0,,,79-89,,H. Barnes enters the game for D. Powell
8:43.0,J. McRae misses 3-pt shot from 24 ft,,79-89,,
8:42.0,,,79-89,,Defensive rebound by D. Harris
8:31.0,,,79-89,,Shooting foul by J. McRae (drawn by H. Barnes)
8:31.0,,,79-90,1,H. Barnes makes free throw 1 of 2
8:31.0,,,79-91,1,H. Barnes makes free throw 2 of 2
8:11.0,K. Korver makes 3-pt shot from 22 ft (assist by L. James),3,82-91,,
7:51.0,,,82-94,3,D. Nowitzki makes 3-pt shot from 25 ft (assist by D. Harris)
7:40.0,Turnover by L. James (bad pass; steal by Y. Ferrell),,82-94,,
7:33.0,,,82-94,,W. Matthews misses 3-pt shot from 27 ft
7:33.0,Defensive rebound by Team,,82-94,,
7:33.0,,,82-94,,Loose ball foul by H. Barnes (drawn by L. James)
7:33.0,,,82-94,,D. Powell enters the game for D. Nowitzki
7:33.0,K. Irving enters the game for D. Liggins,,82-94,,
7:26.0,,,82-94,,Personal foul by D. Harris (drawn by L. James)
7:26.0,,,82-94,,S. Curry enters the game for D. Harris
7:12.0,L. James misses 3-pt shot from 25 ft,,82-94,,
7:11.0,Offensive rebound by C. Frye,,82-94,,
7:06.0,Shooting foul by W. Matthews (drawn by L. James),,82-94,,
7:06.0,L. James misses free throw 1 of 2,,82-94,,
7:06.0,Offensive rebound by Team,,82-94,,
7:06.0,L. James makes free throw 2 of 2,1,83-94,,
6:52.0,,,83-94,,H. Barnes misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by C. Frye,,83-94,,
6:42.0,C. Frye misses 2-pt shot from 2 ft (block by D. Powell),,83-94,,
6:40.0,Offensive rebound by Team,,83-94,,
6:35.0,Offensive foul by K. Irving,,83-94,,
6:35.0,Turnover by K. Irving (offensive foul),,83-94,,
6:17.0,,,83-97,3,S. Curry makes 3-pt shot from 24 ft (assist by H. Barnes)
6:16.0,Cleveland full timeout,,83-97,,
6:05.0,C. Frye makes 2-pt shot at rim (assist by L. James),2,85-97,,
5:46.0,,,85-97,,W. Matthews misses 2-pt shot from 12 ft
5:45.0,Defensive rebound by L. James,,85-97,,
5:37.0,Turnover by K. Irving (bad pass),,85-97,,
5:37.0,I. Shumpert enters the game for L. James,,85-97,,
5:26.0,,,85-97,,W. Matthews misses 3-pt shot from 26 ft
5:25.0,Defensive rebound by C. Frye,,85-97,,
5:16.0,K. Irving misses 3-pt shot from 24 ft,,85-97,,
5:15.0,Offensive rebound by C. Frye,,85-97,,
5:12.0,Turnover by C. Frye (lost ball; steal by D. Powell),,85-97,,
4:55.0,,,85-97,,Turnover by H. Barnes (traveling)
4:55.0,T. Thompson enters the game for C. Frye,,85-97,,
4:39.0,K. Irving misses 3-pt shot from 23 ft,,85-97,,
4:38.0,,,85-97,,Defensive rebound by D. Powell
4:25.0,,,85-100,3,Y. Ferrell makes 3-pt shot from 25 ft
4:12.0,Turnover by K. Irving (lost ball),,85-100,,
4:12.0,,,85-100,,D. Finney-Smith enters the game for W. Matthews
4:00.0,Personal foul by K. Korver (drawn by H. Barnes),,85-100,,
4:00.0,K. Felder enters the game for K. Irving,,85-100,,
3:52.0,,,85-102,2,Y. Ferrell makes 2-pt shot from 1 ft
3:42.0,J. McRae makes 2-pt shot from 18 ft,2,87-102,,
3:20.0,,,87-102,,Turnover by H. Barnes (lost ball)
3:20.0,,,87-102,,Dallas full timeout
3:19.0,D. Liggins enters the game for T. Thompson,,87-102,,
3:19.0,J. Jones enters the game for I. Shumpert,,87-102,,
3:10.0,K. Felder makes 2-pt shot from 16 ft,2,89-102,,
2:51.0,,,89-104,2,H. Barnes makes 2-pt shot from 17 ft
2:31.0,Shooting foul by Y. Ferrell (drawn by K. Korver),,89-104,,
2:31.0,K. Korver makes free throw 1 of 2,1,90-104,,
2:31.0,K. Korver misses free throw 2 of 2,,90-104,,
2:31.0,,,90-104,,J. Anderson enters the game for H. Barnes
2:30.0,,,90-104,,Defensive rebound by J. Anderson
2:15.0,,,90-104,,S. Curry misses 2-pt shot from 7 ft
2:14.0,,,90-104,,Offensive rebound by D. Powell
2:14.0,,,90-104,,D. Powell misses 2-pt shot from 1 ft
2:13.0,Defensive rebound by D. Liggins,,90-104,,
2:00.0,D. Liggins makes 2-pt shot from 1 ft,2,92-104,,
1:54.0,,,92-104,,Dallas full timeout
1:54.0,,,92-104,,N. Brussino enters the game for S. Curry
1:40.0,,,92-104,,J. Anderson misses 3-pt shot from 26 ft
1:39.0,Defensive rebound by J. McRae,,92-104,,
1:29.0,Turnover by K. Korver (lost ball; steal by Y. Ferrell),,92-104,,
1:16.0,,,92-104,,Turnover by Y. Ferrell (bad pass; steal by K. Felder)
1:06.0,J. McRae misses 2-pt shot from 19 ft,,92-104,,
1:05.0,,,92-104,,Defensive rebound by D. Powell
0:47.0,,,92-104,,Y. Ferrell misses 3-pt shot from 25 ft
0:46.0,Defensive rebound by J. McRae,,92-104,,
0:38.0,J. Jones makes 3-pt shot from 25 ft (assist by K. Felder),3,95-104,,
0:20.0,,,95-104,,Turnover by J. Anderson (lost ball; steal by D. Liggins)
0:17.0,K. Felder makes 2-pt shot from 2 ft (assist by D. Liggins),2,97-104,,
0:00.0,End of 4th quarter,,,,End of 4th quarter
