time,Charlotte,pts.away,score,pts.home,Memphis
6:43.0,Offensive rebound by M. Kidd-Gilchrist,,13-7,,
6:40.0,F. Kaminsky makes 2-pt shot from 7 ft (assist by M. Kidd-Gilchrist),2,15-7,,
6:27.0,,,15-9,2,M. Gasol makes 2-pt shot from 13 ft (assist by M. Conley)
6:14.0,Turnover by K. Walker (lost ball; steal by M. Conley),,15-9,,
6:10.0,,,15-11,2,T. Allen makes 2-pt shot from 1 ft (assist by T. Williams)
6:10.0,,,15-11,,Shooting foul by C. Zeller (drawn by T. Allen)
6:10.0,,,15-12,1,T. Allen makes free throw 1 of 1
6:10.0,,,15-11,,V. Carter enters the game for T. Williams
6:10.0,,,15-11,,A. Harrison enters the game for M. Conley
6:10.0,S. Hawes enters the game for C. Zeller,,15-11,,
5:56.0,F. Kaminsky misses 3-pt shot from 25 ft,,15-12,,
5:55.0,,,15-12,,Defensive rebound by V. Carter
5:47.0,,,15-14,2,J. Green makes 2-pt shot from 1 ft
5:41.0,Charlotte full timeout,,15-14,,
5:28.0,F. Kaminsky misses 2-pt shot from 12 ft,,15-14,,
5:28.0,,,15-14,,Defensive rebound by Team
5:13.0,,,15-14,,A. Harrison misses 3-pt shot from 23 ft
5:13.0,Defensive rebound by N. Batum,,15-14,,
5:05.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft (assist by F. Kaminsky),2,17-14,,
4:54.0,M. Belinelli enters the game for N. Batum,,17-14,,
4:47.0,,,17-14,,M. Gasol misses 2-pt shot from 18 ft
4:47.0,Defensive rebound by M. Kidd-Gilchrist,,17-14,,
4:25.0,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by S. Hawes),2,19-14,,
4:11.0,,,19-14,,V. Carter misses 3-pt shot from 23 ft
4:10.0,Defensive rebound by M. Kidd-Gilchrist,,19-14,,
4:06.0,M. Kidd-Gilchrist misses 2-pt shot from 2 ft,,19-14,,
4:05.0,,,19-14,,Defensive rebound by T. Allen
3:56.0,,,19-16,2,T. Allen makes 2-pt shot from 8 ft
3:40.0,M. Kidd-Gilchrist misses 2-pt shot from 17 ft,,19-16,,
3:39.0,,,19-16,,Defensive rebound by J. Green
3:22.0,,,19-18,2,M. Gasol makes 2-pt shot from 9 ft
3:05.0,Shooting foul by T. Allen (drawn by M. Kidd-Gilchrist),,19-18,,
3:05.0,M. Kidd-Gilchrist misses free throw 1 of 2,,19-18,,
3:05.0,Offensive rebound by Team,,19-18,,
3:05.0,M. Kidd-Gilchrist misses free throw 2 of 2,,19-18,,
3:05.0,R. Hibbert enters the game for F. Kaminsky,,19-18,,
3:05.0,,,19-18,,J. Martin enters the game for T. Allen
3:05.0,,,19-18,,M. Conley enters the game for J. Green
3:05.0,,,19-18,,D. Davis enters the game for M. Gasol
3:04.0,,,19-18,,Defensive rebound by J. Martin
2:56.0,,,19-18,,Offensive foul by D. Davis
2:56.0,,,19-18,,Turnover by D. Davis (offensive foul)
2:56.0,J. Lamb enters the game for M. Kidd-Gilchrist,,19-18,,
2:47.0,Turnover by K. Walker (bad pass; steal by V. Carter),,19-18,,
2:36.0,,,19-20,2,D. Davis makes 2-pt shot from 5 ft (assist by M. Conley)
2:19.0,M. Belinelli misses 3-pt shot from 23 ft,,19-20,,
2:18.0,,,19-20,,Defensive rebound by V. Carter
2:07.0,,,19-22,2,J. Martin makes 2-pt shot from 19 ft (assist by M. Conley)
1:54.0,K. Walker misses 2-pt shot from 10 ft,,19-22,,
1:53.0,Offensive rebound by Team,,19-22,,
1:44.0,K. Walker misses 2-pt shot from 6 ft,,19-22,,
1:43.0,Offensive rebound by R. Hibbert,,19-22,,
1:40.0,M. Belinelli misses 3-pt shot from 26 ft,,19-22,,
1:39.0,,,19-22,,Defensive rebound by J. Martin
1:22.0,,,19-25,3,V. Carter makes 3-pt shot from 25 ft (assist by A. Harrison)
0:58.0,J. Lamb makes 3-pt shot from 26 ft (assist by S. Hawes),3,22-25,,
0:45.0,,,22-25,,A. Harrison misses 2-pt shot from 18 ft
0:44.0,Defensive rebound by J. Lamb,,22-25,,
0:37.0,J. Lamb makes 3-pt shot from 26 ft,3,25-25,,
0:23.0,,,25-25,,J. Martin misses 2-pt shot from 23 ft
0:23.0,Defensive rebound by J. Lamb,,25-25,,
0:09.0,,,25-25,,Personal foul by D. Davis (drawn by R. Hibbert)
0:04.0,M. Belinelli misses 2-pt shot from 13 ft,,25-25,,
0:03.0,,,25-25,,Defensive rebound by A. Harrison
0:01.0,,,25-25,,A. Harrison misses 3-pt shot from 52 ft (block by J. Lamb)
0:00.0,,,25-25,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,J. Lamb misses 3-pt shot from 25 ft,,25-25,,
11:47.0,,,25-25,,Defensive rebound by J. Martin
11:33.0,,,25-25,,V. Carter misses 2-pt shot from 10 ft
11:31.0,Defensive rebound by R. Hibbert,,25-25,,
11:13.0,M. Belinelli misses 2-pt shot from 8 ft,,25-25,,
11:11.0,,,25-25,,Defensive rebound by J. Martin
11:00.0,,,25-28,3,A. Harrison makes 3-pt shot from 23 ft (assist by M. Conley)
10:44.0,Turnover by S. Hawes (bad pass; steal by V. Carter),,25-28,,
10:44.0,Loose ball foul by M. Belinelli (drawn by V. Carter),,25-28,,
10:44.0,,,25-28,,T. Williams enters the game for A. Harrison
10:21.0,,,25-28,,J. Martin misses 2-pt shot from 5 ft
10:20.0,,,25-28,,Offensive rebound by D. Davis
10:20.0,,,25-28,,D. Davis misses 2-pt shot from 1 ft
10:18.0,Defensive rebound by S. Hawes,,25-28,,
10:11.0,S. Hawes misses 3-pt shot from 26 ft,,25-28,,
10:08.0,,,25-28,,Defensive rebound by M. Conley
10:02.0,,,25-28,,D. Davis misses 2-pt shot from 18 ft
10:01.0,Defensive rebound by J. Lamb,,25-28,,
9:43.0,Shooting foul by M. Conley (drawn by J. Lamb),,25-28,,
9:43.0,J. Lamb misses free throw 1 of 2,,25-28,,
9:43.0,Offensive rebound by Team,,25-28,,
9:43.0,J. Lamb makes free throw 2 of 2,1,26-28,,
9:43.0,,,25-28,,J. Green enters the game for D. Davis
9:28.0,,,26-30,2,M. Conley makes 2-pt shot from 11 ft
9:11.0,R. Sessions misses 2-pt shot from 15 ft,,26-30,,
9:10.0,,,26-30,,Defensive rebound by J. Martin
8:57.0,,,26-30,,V. Carter misses 2-pt shot from 11 ft
8:56.0,Defensive rebound by R. Hibbert,,26-30,,
8:40.0,R. Hibbert misses 2-pt shot from 12 ft,,26-30,,
8:39.0,,,26-30,,Defensive rebound by T. Williams
8:21.0,,,26-30,,M. Conley misses 3-pt shot from 26 ft
8:20.0,Defensive rebound by R. Hibbert,,26-30,,
8:14.0,R. Sessions makes 2-pt shot from 5 ft,2,28-30,,
8:14.0,Shooting foul by J. Martin (drawn by R. Sessions),,28-30,,
8:14.0,Charlotte full timeout,,28-30,,
8:14.0,R. Sessions makes free throw 1 of 1,1,29-30,,
8:14.0,,,28-30,,A. Harrison enters the game for M. Conley
8:05.0,,,29-30,,Turnover by V. Carter (bad pass; steal by J. Lamb)
8:04.0,Shooting foul by J. Martin (drawn by J. Lamb),,29-30,,
8:04.0,J. Lamb makes free throw 1 of 2,1,30-30,,
8:04.0,J. Lamb makes free throw 2 of 2,1,31-30,,
8:04.0,,,30-30,,T. Allen enters the game for V. Carter
8:04.0,,,30-30,,M. Gasol enters the game for J. Martin
7:53.0,Shooting block foul by R. Hibbert (drawn by T. Williams),,31-30,,
7:53.0,,,31-30,,T. Williams misses free throw 1 of 2
7:53.0,,,31-30,,Offensive rebound by Team
7:53.0,,,31-31,1,T. Williams makes free throw 2 of 2
7:41.0,M. Belinelli misses 2-pt shot from 20 ft,,31-31,,
7:40.0,,,31-31,,Defensive rebound by J. Green
7:20.0,,,31-31,,A. Harrison misses 3-pt shot from 25 ft
7:20.0,Defensive rebound by Team,,31-31,,
7:20.0,F. Kaminsky enters the game for R. Hibbert,,31-31,,
7:04.0,J. Lamb makes 2-pt shot from 1 ft (assist by S. Hawes),2,33-31,,
6:47.0,,,33-33,2,T. Allen makes 2-pt shot from 1 ft (assist by T. Williams)
6:21.0,R. Sessions makes 2-pt shot from 4 ft,2,35-33,,
6:13.0,,,35-33,,M. Gasol misses 2-pt shot from 8 ft
6:11.0,Defensive rebound by J. Lamb,,35-33,,
5:58.0,S. Hawes makes 2-pt shot from 1 ft (assist by R. Sessions),2,37-33,,
5:52.0,,,37-33,,Memphis full timeout
5:52.0,N. Batum enters the game for M. Belinelli,,37-33,,
5:32.0,,,37-35,2,T. Williams makes 2-pt shot at rim
5:11.0,F. Kaminsky misses 2-pt shot from 1 ft,,37-35,,
5:08.0,,,37-35,,Defensive rebound by M. Gasol
5:00.0,,,37-35,,Turnover by T. Allen (bad pass; steal by R. Sessions)
4:56.0,,,37-35,,Personal foul by J. Green (drawn by S. Hawes)
4:56.0,K. Walker enters the game for J. Lamb,,37-35,,
4:51.0,N. Batum misses 3-pt shot from 25 ft,,37-35,,
4:50.0,,,37-35,,Defensive rebound by M. Gasol
4:33.0,,,37-35,,T. Williams misses 3-pt shot from 27 ft
4:32.0,Defensive rebound by K. Walker,,37-35,,
4:20.0,F. Kaminsky makes 2-pt shot from 8 ft (assist by R. Sessions),2,39-35,,
4:03.0,,,39-35,,M. Gasol misses 3-pt shot from 27 ft
4:00.0,,,39-35,,Offensive rebound by J. Green
4:00.0,,,39-35,,J. Green misses 2-pt shot from 1 ft
3:58.0,Defensive rebound by F. Kaminsky,,39-35,,
3:47.0,,,39-35,,Personal foul by J. Green (drawn by F. Kaminsky)
3:47.0,F. Kaminsky makes free throw 1 of 2,1,40-35,,
3:47.0,F. Kaminsky makes free throw 2 of 2,1,41-35,,
3:47.0,C. Zeller enters the game for S. Hawes,,40-35,,
3:47.0,,,40-35,,M. Conley enters the game for A. Harrison
3:47.0,,,40-35,,V. Carter enters the game for J. Green
3:40.0,Violation by K. Walker (kicked ball),,41-35,,
3:40.0,M. Kidd-Gilchrist enters the game for R. Sessions,,41-35,,
3:24.0,,,41-35,,M. Conley misses 3-pt shot from 26 ft
3:23.0,Defensive rebound by C. Zeller,,41-35,,
3:06.0,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by C. Zeller),2,43-35,,
2:48.0,,,43-35,,V. Carter misses 3-pt shot from 27 ft
2:47.0,Defensive rebound by C. Zeller,,43-35,,
2:40.0,Shooting foul by V. Carter (drawn by N. Batum),,43-35,,
2:40.0,Charlotte full timeout,,43-35,,
2:40.0,N. Batum makes free throw 1 of 3,1,44-35,,
2:40.0,N. Batum makes free throw 2 of 3,1,45-35,,
2:40.0,N. Batum makes free throw 3 of 3,1,46-35,,
2:40.0,S. Hawes enters the game for C. Zeller,,43-35,,
2:40.0,,,43-35,,A. Harrison enters the game for T. Williams
2:26.0,,,46-35,,M. Conley misses 2-pt shot from 12 ft
2:24.0,Defensive rebound by M. Kidd-Gilchrist,,46-35,,
2:11.0,Shooting foul by A. Harrison (drawn by M. Kidd-Gilchrist),,46-35,,
2:11.0,M. Kidd-Gilchrist makes free throw 1 of 2,1,47-35,,
2:11.0,M. Kidd-Gilchrist makes free throw 2 of 2,1,48-35,,
2:11.0,,,47-35,,J. Green enters the game for T. Allen
1:51.0,,,48-37,2,M. Gasol makes 2-pt shot from 9 ft
1:30.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,51-37,,
1:14.0,,,51-37,,M. Conley misses 3-pt shot from 23 ft
1:14.0,Defensive rebound by F. Kaminsky,,51-37,,
1:00.0,M. Kidd-Gilchrist makes 2-pt shot from 2 ft,2,53-37,,
0:58.0,,,53-37,,Memphis full timeout
0:51.0,,,53-37,,Turnover by V. Carter (step out of bounds)
0:51.0,,,53-37,,J. Martin enters the game for J. Green
0:40.0,K. Walker makes 3-pt shot from 26 ft (assist by N. Batum),3,56-37,,
0:33.0,,,56-39,2,M. Conley makes 2-pt shot from 2 ft
0:11.0,F. Kaminsky misses 3-pt shot from 27 ft,,56-39,,
0:10.0,,,56-39,,Defensive rebound by M. Gasol
0:02.0,,,56-39,,V. Carter misses 3-pt shot from 26 ft
0:00.0,,,56-39,,Offensive rebound by J. Martin
0:00.0,,,56-39,,J. Martin misses 2-pt shot from 2 ft
0:00.0,,,56-39,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,N. Batum misses 2-pt shot from 19 ft,,56-39,,
11:33.0,Offensive rebound by C. Zeller,,56-39,,
11:33.0,C. Zeller makes 2-pt shot from 2 ft,2,58-39,,
11:11.0,,,58-39,,Turnover by T. Allen (traveling)
10:53.0,N. Batum misses 3-pt shot from 25 ft,,58-39,,
10:53.0,,,58-39,,Defensive rebound by M. Gasol
10:32.0,,,58-41,2,M. Conley makes 2-pt shot from 1 ft
10:15.0,Turnover by N. Batum (bad pass; steal by T. Allen),,58-41,,
10:11.0,,,58-43,2,T. Williams makes 2-pt shot from 2 ft
9:55.0,K. Walker misses 2-pt shot from 8 ft,,58-43,,
9:53.0,,,58-43,,Defensive rebound by T. Williams
9:48.0,,,58-46,3,M. Conley makes 3-pt shot from 26 ft (assist by T. Williams)
9:24.0,C. Zeller misses 2-pt shot from 19 ft,,58-46,,
9:23.0,,,58-46,,Defensive rebound by T. Allen
9:13.0,Personal foul by N. Batum (drawn by M. Gasol),,58-46,,
9:13.0,,,58-46,,Technical foul by M. Gasol
9:13.0,N. Batum makes technical free throw,1,59-46,,
9:01.0,,,59-48,2,M. Conley makes 2-pt shot from 21 ft (assist by J. Green)
8:49.0,Shooting foul by M. Conley (drawn by K. Walker),,59-48,,
8:49.0,K. Walker makes free throw 1 of 2,1,60-48,,
8:49.0,K. Walker makes free throw 2 of 2,1,61-48,,
8:31.0,,,61-48,,Turnover by T. Williams (bad pass; steal by M. Kidd-Gilchrist)
8:25.0,Offensive charge foul by M. Kidd-Gilchrist,,61-48,,
8:25.0,Turnover by M. Kidd-Gilchrist (offensive foul),,61-48,,
8:25.0,,,61-48,,Memphis full timeout
8:25.0,,,61-48,,A. Harrison enters the game for M. Conley
8:11.0,,,61-48,,M. Gasol misses 2-pt shot from 1 ft
8:11.0,,,61-48,,Offensive rebound by M. Gasol
8:11.0,,,61-48,,T. Allen misses 2-pt shot from 2 ft
8:09.0,Defensive rebound by F. Kaminsky,,61-48,,
8:04.0,,,61-48,,Personal foul by J. Green (drawn by C. Zeller)
7:55.0,F. Kaminsky makes 2-pt shot from 8 ft (assist by N. Batum),2,63-48,,
7:32.0,,,63-50,2,M. Gasol makes 2-pt shot from 12 ft (assist by A. Harrison)
7:18.0,F. Kaminsky misses 3-pt shot from 26 ft,,63-50,,
7:17.0,,,63-50,,Defensive rebound by M. Gasol
7:06.0,,,63-53,3,M. Gasol makes 3-pt shot from 27 ft (assist by A. Harrison)
6:46.0,N. Batum misses 2-pt shot from 13 ft,,63-53,,
6:45.0,,,63-53,,Defensive rebound by M. Gasol
6:25.0,,,63-53,,T. Williams misses 2-pt shot from 20 ft
6:25.0,Defensive rebound by M. Kidd-Gilchrist,,63-53,,
6:13.0,K. Walker makes 2-pt shot from 21 ft,2,65-53,,
5:51.0,,,65-53,,Offensive charge foul by T. Williams
5:51.0,,,65-53,,Turnover by T. Williams (offensive foul)
5:51.0,,,65-53,,V. Carter enters the game for T. Allen
5:38.0,F. Kaminsky misses 2-pt shot from 8 ft,,65-53,,
5:36.0,,,65-53,,Defensive rebound by M. Gasol
5:32.0,,,65-53,,Offensive charge foul by A. Harrison
5:32.0,,,65-53,,Turnover by A. Harrison (offensive foul)
5:32.0,M. Belinelli enters the game for N. Batum,,65-53,,
5:32.0,,,65-53,,W. Baldwin enters the game for A. Harrison
5:12.0,K. Walker misses 2-pt shot from 18 ft,,65-53,,
5:10.0,,,65-53,,Defensive rebound by J. Green
4:53.0,,,65-53,,Turnover by W. Baldwin (step out of bounds)
4:27.0,K. Walker makes 2-pt shot from 5 ft,2,67-53,,
4:27.0,,,67-53,,Memphis full timeout
4:27.0,J. Lamb enters the game for M. Kidd-Gilchrist,,67-53,,
4:16.0,,,67-55,2,V. Carter makes 2-pt shot from 17 ft (assist by M. Gasol)
3:54.0,K. Walker misses 3-pt shot from 26 ft,,67-55,,
3:53.0,Offensive rebound by J. Lamb,,67-55,,
3:48.0,J. Lamb makes 2-pt shot from 14 ft (assist by M. Belinelli),2,69-55,,
3:28.0,,,69-55,,M. Gasol misses 2-pt shot from 14 ft
3:28.0,Defensive rebound by J. Lamb,,69-55,,
3:16.0,J. Lamb makes 2-pt shot from 7 ft,2,71-55,,
3:16.0,Shooting foul by W. Baldwin (drawn by J. Lamb),,71-55,,
3:16.0,J. Lamb misses free throw 1 of 1,,71-55,,
3:16.0,S. Hawes enters the game for F. Kaminsky,,71-55,,
3:16.0,,,71-55,,D. Davis enters the game for M. Gasol
3:16.0,R. Hibbert enters the game for C. Zeller,,71-55,,
3:13.0,Offensive rebound by J. Lamb,,71-55,,
3:06.0,M. Belinelli misses 3-pt shot from 26 ft,,71-55,,
3:05.0,,,71-55,,Defensive rebound by J. Green
2:59.0,,,71-55,,Shooting foul by J. Lamb (drawn by W. Baldwin)
2:59.0,,,71-55,,W. Baldwin misses free throw 1 of 2
2:59.0,,,71-55,,Offensive rebound by Team
2:59.0,,,71-55,,W. Baldwin misses free throw 2 of 2
2:58.0,Defensive rebound by J. Lamb,,71-55,,
2:43.0,Turnover by K. Walker (bad pass; steal by V. Carter),,71-55,,
2:41.0,,,71-57,2,T. Williams makes 2-pt shot at rim (assist by V. Carter)
2:41.0,,,71-57,,Shooting foul by S. Hawes (drawn by T. Williams)
2:41.0,,,71-57,,T. Williams misses free throw 1 of 1
2:34.0,Defensive rebound by M. Belinelli,,71-57,,
2:29.0,,,71-57,,Personal foul by J. Green (drawn by S. Hawes)
2:29.0,,,71-57,,Technical foul by J. Green (drawn by S. Hawes)
2:29.0,M. Belinelli makes technical free throw,1,72-57,,
2:18.0,R. Hibbert makes 2-pt shot from 6 ft (assist by M. Belinelli),2,74-57,,
2:02.0,,,74-57,,V. Carter misses 3-pt shot from 25 ft
2:02.0,Defensive rebound by Team,,74-57,,
2:02.0,,,74-57,,Loose ball foul by J. Green (drawn by S. Hawes)
2:02.0,S. Hawes makes free throw 1 of 2,1,75-57,,
2:02.0,S. Hawes makes free throw 2 of 2,1,76-57,,
2:02.0,,,75-57,,J. Martin enters the game for J. Green
2:02.0,,,75-57,,T. Daniels enters the game for T. Williams
2:02.0,R. Sessions enters the game for K. Walker,,75-57,,
1:50.0,,,76-57,,T. Daniels misses 2-pt shot from 22 ft
1:50.0,Defensive rebound by R. Sessions,,76-57,,
1:34.0,R. Hibbert makes 2-pt shot from 2 ft (assist by S. Hawes),2,78-57,,
1:20.0,,,78-57,,V. Carter misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by R. Sessions,,78-57,,
1:12.0,R. Sessions misses 2-pt shot from 9 ft (block by T. Daniels),,78-57,,
1:12.0,Offensive rebound by Team,,78-57,,
1:09.0,J. Lamb makes 2-pt shot from 12 ft,2,80-57,,
0:54.0,,,80-60,3,J. Martin makes 3-pt shot from 23 ft (assist by W. Baldwin)
0:42.0,M. Belinelli misses 2-pt shot from 22 ft,,80-60,,
0:41.0,,,80-60,,Defensive rebound by D. Davis
0:34.0,,,80-60,,T. Daniels misses 3-pt shot from 23 ft
0:32.0,,,80-60,,Offensive rebound by J. Martin
0:29.0,,,80-60,,J. Martin misses 2-pt shot from 4 ft
0:27.0,Defensive rebound by M. Belinelli,,80-60,,
0:10.0,R. Sessions misses 2-pt shot from 13 ft,,80-60,,
0:10.0,,,80-60,,Defensive rebound by J. Martin
0:05.0,,,80-60,,Offensive foul by V. Carter
0:05.0,,,80-60,,Turnover by V. Carter (offensive foul)
0:05.0,,,80-60,,Technical foul by Team
0:05.0,M. Belinelli makes technical free throw,1,81-60,,
0:05.0,F. Kaminsky enters the game for R. Hibbert,,81-60,,
0:00.0,F. Kaminsky misses 3-pt shot from 30 ft,,81-60,,
0:00.0,Offensive rebound by Team,,81-60,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,81-60,,Shooting foul by R. Hibbert (drawn by V. Carter)
11:47.0,,,81-60,,V. Carter misses free throw 1 of 2
11:47.0,,,81-60,,Offensive rebound by Team
11:47.0,,,81-61,1,V. Carter makes free throw 2 of 2
11:36.0,Offensive foul by R. Hibbert,,81-61,,
11:36.0,Turnover by R. Hibbert (offensive foul),,81-61,,
11:36.0,,,81-61,,M. Gasol enters the game for D. Davis
11:25.0,,,81-61,,Shooting foul by S. Hawes (drawn by V. Carter)
11:25.0,,,81-62,1,V. Carter makes free throw 1 of 2
11:25.0,,,81-63,1,V. Carter makes free throw 2 of 2
11:24.0,,,81-63,,Personal take foul by W. Baldwin (drawn by M. Belinelli)
11:24.0,,,81-63,,A. Harrison enters the game for V. Carter
11:12.0,R. Sessions misses 2-pt shot from 6 ft (block by W. Baldwin),,81-63,,
11:11.0,Offensive rebound by R. Hibbert,,81-63,,
11:11.0,Shooting foul by M. Gasol (drawn by R. Hibbert),,81-63,,
11:11.0,R. Hibbert misses free throw 1 of 2,,81-63,,
11:11.0,Offensive rebound by Team,,81-63,,
11:11.0,R. Hibbert misses free throw 2 of 2,,81-63,,
11:10.0,,,81-63,,Defensive rebound by J. Martin
11:01.0,,,81-63,,J. Martin misses 2-pt shot from 22 ft
11:00.0,Defensive rebound by M. Belinelli,,81-63,,
10:46.0,M. Belinelli makes 2-pt shot from 1 ft (assist by S. Hawes),2,83-63,,
10:34.0,,,83-65,2,W. Baldwin makes 2-pt shot from 12 ft
10:31.0,Turnover by R. Sessions (traveling),,83-65,,
10:31.0,K. Walker enters the game for R. Sessions,,83-65,,
10:17.0,Personal foul by R. Hibbert (drawn by A. Harrison),,83-65,,
10:05.0,,,83-65,,J. Martin misses 2-pt shot from 1 ft (block by S. Hawes)
10:03.0,Defensive rebound by J. Lamb,,83-65,,
9:48.0,J. Lamb misses 2-pt shot from 21 ft,,83-65,,
9:47.0,Offensive rebound by R. Hibbert,,83-65,,
9:47.0,Charlotte full timeout,,83-65,,
9:39.0,,,83-65,,Personal foul by T. Daniels (drawn by M. Belinelli)
9:30.0,J. Lamb misses 3-pt shot from 23 ft,,83-65,,
9:29.0,,,83-65,,Defensive rebound by W. Baldwin
9:20.0,,,83-67,2,J. Martin makes 2-pt shot from 3 ft (assist by T. Daniels)
8:54.0,S. Hawes misses 3-pt shot from 25 ft,,83-67,,
8:52.0,,,83-67,,Defensive rebound by T. Daniels
8:36.0,,,83-67,,Turnover by J. Martin (back court)
8:25.0,Shooting foul by A. Harrison (drawn by J. Lamb),,83-67,,
8:25.0,J. Lamb makes free throw 1 of 2,1,84-67,,
8:25.0,J. Lamb makes free throw 2 of 2,1,85-67,,
8:12.0,,,85-67,,A. Harrison misses 3-pt shot from 25 ft
8:12.0,Defensive rebound by K. Walker,,85-67,,
7:56.0,R. Hibbert misses 2-pt shot from 18 ft,,85-67,,
7:55.0,,,85-67,,Defensive rebound by W. Baldwin
7:36.0,,,85-69,2,J. Martin makes 2-pt shot from 7 ft
7:18.0,M. Belinelli makes 2-pt shot from 21 ft,2,87-69,,
7:18.0,,,87-69,,Loose ball foul by W. Baldwin (drawn by R. Hibbert)
7:18.0,R. Hibbert makes free throw 1 of 1,1,88-69,,
7:18.0,,,87-69,,T. Williams enters the game for W. Baldwin
7:18.0,N. Batum enters the game for M. Belinelli,,87-69,,
7:08.0,,,88-69,,A. Harrison misses 2-pt shot from 1 ft (block by R. Hibbert)
7:08.0,,,88-69,,Offensive rebound by Team
6:57.0,,,88-71,2,M. Gasol makes 2-pt shot from 6 ft
6:41.0,J. Lamb misses 3-pt shot from 25 ft,,88-71,,
6:40.0,,,88-71,,Defensive rebound by J. Martin
6:33.0,,,88-74,3,M. Gasol makes 3-pt shot from 26 ft (assist by A. Harrison)
6:33.0,,,88-74,,Shooting foul by S. Hawes (drawn by M. Gasol)
6:33.0,,,88-75,1,M. Gasol makes free throw 1 of 1
6:33.0,,,88-74,,J. Green enters the game for J. Martin
6:03.0,K. Walker makes 3-pt shot from 26 ft (assist by S. Hawes),3,91-75,,
5:52.0,,,91-75,,T. Williams misses 2-pt shot from 6 ft
5:49.0,Defensive rebound by K. Walker,,91-75,,
5:40.0,Charlotte full timeout,,91-75,,
5:40.0,F. Kaminsky enters the game for S. Hawes,,91-75,,
