time,Sacramento,pts.away,score,pts.home,Minnesota
8:34.0,T. Lawson makes 2-pt shot from 2 ft (assist by A. Tolliver),2,32-39,,
8:10.0,,,32-39,,Turnover by K. Towns (bad pass)
7:58.0,A. Tolliver makes 2-pt shot from 7 ft,2,34-39,,
7:43.0,,,34-42,3,K. Towns makes 3-pt shot from 25 ft (assist by T. Jones)
7:31.0,L. Galloway makes 3-pt shot from 25 ft (assist by T. Lawson),3,37-42,,
7:16.0,,,37-42,,T. Jones misses 2-pt shot at rim
7:15.0,Defensive rebound by L. Galloway,,37-42,,
7:05.0,W. Cauley-Stein makes 2-pt shot at rim (assist by T. Lawson),2,39-42,,
7:04.0,,,39-42,,Minnesota full timeout
7:04.0,,,39-42,,B. Rush enters the game for O. Casspi
7:04.0,,,39-42,,G. Dieng enters the game for K. Dunn
7:04.0,,,39-42,,R. Rubio enters the game for S. Muhammad
7:04.0,,,39-42,,A. Wiggins enters the game for T. Jones
7:04.0,B. Hield enters the game for A. Afflalo,,39-42,,
6:53.0,,,39-42,,K. Towns misses 3-pt shot from 23 ft
6:52.0,Defensive rebound by A. Tolliver,,39-42,,
6:38.0,A. Tolliver misses 2-pt shot from 8 ft (block by A. Wiggins),,39-42,,
6:36.0,,,39-42,,Defensive rebound by G. Dieng
6:27.0,,,39-44,2,A. Wiggins makes 2-pt shot from 1 ft (assist by R. Rubio)
6:20.0,A. Tolliver makes 2-pt shot from 2 ft (assist by T. Lawson),2,41-44,,
5:59.0,,,41-46,2,A. Wiggins makes 2-pt shot from 15 ft
5:51.0,Turnover by T. Lawson (lost ball),,41-46,,
5:51.0,G. Papagiannis enters the game for W. Cauley-Stein,,41-46,,
5:34.0,,,41-46,,R. Rubio misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by T. Lawson,,41-46,,
5:25.0,T. Lawson misses 3-pt shot from 23 ft,,41-46,,
5:23.0,Offensive rebound by L. Galloway,,41-46,,
5:17.0,L. Galloway makes 3-pt shot from 26 ft (assist by T. Lawson),3,44-46,,
5:03.0,,,44-46,,Offensive charge foul by K. Towns
5:03.0,,,44-46,,Turnover by K. Towns (offensive foul)
5:03.0,D. Collison enters the game for L. Galloway,,44-46,,
4:52.0,A. Tolliver misses 2-pt shot from 1 ft,,44-46,,
4:51.0,Offensive rebound by G. Papagiannis,,44-46,,
4:51.0,G. Papagiannis makes 2-pt shot at rim,2,46-46,,
4:31.0,,,46-46,,K. Towns misses 2-pt shot from 21 ft
4:30.0,Defensive rebound by G. Papagiannis,,46-46,,
4:22.0,B. Hield makes 2-pt shot from 19 ft,2,48-46,,
4:06.0,,,48-46,,Shooting foul by T. Lawson (drawn by R. Rubio)
4:06.0,,,48-47,1,R. Rubio makes free throw 1 of 2
4:06.0,,,48-48,1,R. Rubio makes free throw 2 of 2
3:55.0,T. Lawson makes 2-pt shot from 2 ft,2,50-48,,
3:39.0,Personal foul by G. Papagiannis (drawn by K. Towns),,50-48,,
3:39.0,S. Labissiere enters the game for A. Tolliver,,50-48,,
3:39.0,A. Afflalo enters the game for T. Lawson,,50-48,,
3:35.0,,,50-51,3,B. Rush makes 3-pt shot from 23 ft (assist by G. Dieng)
3:11.0,Turnover by G. Papagiannis (3 sec),,50-51,,
3:02.0,,,50-53,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
3:02.0,,,50-53,,Shooting foul by G. Papagiannis (drawn by K. Towns)
3:02.0,,,50-54,1,K. Towns makes free throw 1 of 1
2:53.0,Turnover by D. Collison (lost ball),,50-54,,
2:53.0,Sacramento full timeout,,50-54,,
2:38.0,,,50-56,2,A. Wiggins makes 2-pt shot from 17 ft
2:18.0,B. Hield misses 3-pt shot from 24 ft,,50-56,,
2:17.0,,,50-56,,Defensive rebound by Team
2:05.0,,,50-56,,K. Towns misses 3-pt shot from 25 ft
2:03.0,Defensive rebound by S. Labissiere,,50-56,,
2:01.0,Turnover by S. Labissiere (lost ball; steal by G. Dieng),,50-56,,
1:55.0,,,50-56,,G. Dieng misses 2-pt shot from 24 ft
1:54.0,Defensive rebound by S. Labissiere,,50-56,,
1:47.0,B. Hield makes 3-pt shot from 23 ft (assist by A. Afflalo),3,53-56,,
1:29.0,,,53-56,,K. Towns misses 2-pt shot from 19 ft
1:27.0,Defensive rebound by A. Afflalo,,53-56,,
1:17.0,,,53-56,,Personal foul by R. Rubio (drawn by B. Hield)
1:09.0,A. Afflalo misses 3-pt shot from 24 ft,,53-56,,
1:07.0,,,53-56,,Defensive rebound by B. Rush
0:51.0,,,53-59,3,B. Rush makes 3-pt shot from 24 ft (assist by A. Wiggins)
0:39.0,D. Collison misses 2-pt shot from 1 ft (block by G. Dieng),,53-59,,
0:38.0,,,53-59,,Defensive rebound by K. Towns
0:32.0,,,53-59,,R. Rubio misses 2-pt shot from 21 ft
0:31.0,Defensive rebound by G. Papagiannis,,53-59,,
0:14.0,,,53-59,,Violation by G. Dieng (kicked ball)
0:14.0,A. Tolliver enters the game for G. Papagiannis,,53-59,,
0:02.0,Shooting foul by A. Wiggins (drawn by A. Afflalo),,53-59,,
0:02.0,A. Afflalo makes free throw 1 of 3,1,54-59,,
0:02.0,A. Afflalo makes free throw 2 of 3,1,55-59,,
0:02.0,A. Afflalo misses free throw 3 of 3,,55-59,,
0:02.0,,,55-59,,Defensive rebound by G. Dieng
0:02.0,L. Galloway enters the game for S. Labissiere,,55-59,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Shooting foul by B. Rush (drawn by W. Cauley-Stein),,55-59,,
11:49.0,W. Cauley-Stein makes free throw 1 of 2,1,56-59,,
11:49.0,W. Cauley-Stein makes free throw 2 of 2,1,57-59,,
11:44.0,,,57-59,,Turnover by R. Rubio (bad pass; steal by W. Cauley-Stein)
11:31.0,B. McLemore makes 2-pt shot from 1 ft (assist by D. Collison),2,59-59,,
11:17.0,,,59-59,,Shooting foul by B. McLemore (drawn by A. Wiggins)
11:17.0,,,59-60,1,A. Wiggins makes free throw 1 of 2
11:17.0,,,59-60,,A. Wiggins misses free throw 2 of 2
11:17.0,Defensive rebound by W. Cauley-Stein,,59-60,,
11:03.0,B. Hield misses 2-pt shot from 11 ft,,59-60,,
11:02.0,Offensive rebound by W. Cauley-Stein,,59-60,,
10:58.0,D. Collison makes 2-pt shot from 14 ft (assist by W. Cauley-Stein),2,61-60,,
10:37.0,,,61-60,,K. Towns misses 2-pt shot from 5 ft
10:36.0,Defensive rebound by S. Labissiere,,61-60,,
10:27.0,D. Collison misses 2-pt shot from 16 ft,,61-60,,
10:26.0,,,61-60,,Defensive rebound by K. Towns
10:18.0,Personal foul by W. Cauley-Stein (drawn by K. Towns),,61-60,,
10:14.0,,,61-62,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
10:14.0,,,61-62,,Shooting foul by S. Labissiere (drawn by K. Towns)
10:14.0,,,61-63,1,K. Towns makes free throw 1 of 1
10:14.0,A. Afflalo enters the game for B. McLemore,,61-62,,
9:59.0,S. Labissiere makes 2-pt shot at rim (assist by D. Collison),2,63-63,,
9:42.0,,,63-65,2,K. Towns makes 2-pt shot from 2 ft (assist by R. Rubio)
9:19.0,B. Hield makes 2-pt shot from 2 ft,2,65-65,,
9:08.0,Personal foul by S. Labissiere (drawn by G. Dieng),,65-65,,
9:00.0,,,65-65,,B. Rush misses 2-pt shot from 23 ft
8:58.0,Defensive rebound by A. Afflalo,,65-65,,
8:51.0,D. Collison makes 2-pt shot from 2 ft,2,67-65,,
8:36.0,,,67-65,,B. Rush misses 2-pt shot from 14 ft
8:35.0,,,67-65,,Offensive rebound by G. Dieng
8:35.0,,,67-65,,Shooting foul by W. Cauley-Stein (drawn by G. Dieng)
8:35.0,,,67-66,1,G. Dieng makes free throw 1 of 2
8:35.0,,,67-67,1,G. Dieng makes free throw 2 of 2
8:18.0,D. Collison misses 2-pt shot from 3 ft,,67-67,,
8:18.0,,,67-67,,Defensive rebound by G. Dieng
8:08.0,,,67-69,2,A. Wiggins makes 2-pt shot from 20 ft
7:54.0,S. Labissiere misses 2-pt shot from 9 ft,,67-69,,
7:53.0,Offensive rebound by W. Cauley-Stein,,67-69,,
7:52.0,W. Cauley-Stein makes 2-pt shot from 1 ft,2,69-69,,
7:36.0,,,69-69,,R. Rubio misses 2-pt shot from 18 ft
7:35.0,Defensive rebound by B. Hield,,69-69,,
7:23.0,S. Labissiere makes 2-pt shot from 19 ft (assist by D. Collison),2,71-69,,
7:02.0,,,71-69,,B. Rush misses 2-pt shot from 19 ft
7:01.0,Defensive rebound by W. Cauley-Stein,,71-69,,
6:54.0,B. Hield makes 3-pt shot from 25 ft (assist by D. Collison),3,74-69,,
6:40.0,,,74-69,,Minnesota full timeout
6:40.0,,,74-69,,K. Dunn enters the game for B. Rush
6:25.0,,,74-72,3,A. Wiggins makes 3-pt shot from 25 ft (assist by K. Towns)
6:04.0,B. Hield misses 2-pt shot from 19 ft,,74-72,,
6:03.0,,,74-72,,Defensive rebound by G. Dieng
5:42.0,,,74-72,,R. Rubio misses 3-pt shot from 24 ft
5:41.0,,,74-72,,Offensive rebound by K. Towns
5:27.0,,,74-72,,G. Dieng misses 2-pt shot from 14 ft
5:26.0,,,74-72,,Offensive rebound by K. Dunn
5:17.0,,,74-74,2,K. Dunn makes 2-pt shot from 23 ft (assist by A. Wiggins)
5:10.0,D. Collison misses 2-pt shot from 2 ft,,74-74,,
5:08.0,,,74-74,,Defensive rebound by K. Towns
5:04.0,,,74-74,,Shooting foul by W. Cauley-Stein (drawn by G. Dieng)
5:04.0,,,74-75,1,G. Dieng makes free throw 1 of 2
5:04.0,,,74-76,1,G. Dieng makes free throw 2 of 2
5:04.0,G. Papagiannis enters the game for W. Cauley-Stein,,74-75,,
4:42.0,A. Afflalo makes 3-pt shot from 25 ft (assist by B. Hield),3,77-76,,
4:24.0,,,77-76,,A. Wiggins misses 2-pt shot from 20 ft
4:23.0,Defensive rebound by Team,,77-76,,
4:06.0,B. Hield misses 2-pt shot from 1 ft,,77-76,,
4:05.0,,,77-76,,Defensive rebound by R. Rubio
3:53.0,,,77-76,,G. Dieng misses 2-pt shot from 3 ft (block by G. Papagiannis)
3:52.0,Defensive rebound by B. Hield,,77-76,,
3:47.0,B. Hield makes 2-pt shot from 2 ft,2,79-76,,
3:30.0,,,79-76,,Shooting foul by G. Papagiannis (drawn by K. Towns)
3:30.0,,,79-77,1,K. Towns makes free throw 1 of 2
3:30.0,,,79-78,1,K. Towns makes free throw 2 of 2
3:30.0,A. Tolliver enters the game for S. Labissiere,,79-77,,
3:08.0,A. Afflalo misses 2-pt shot from 6 ft,,79-78,,
3:07.0,,,79-78,,Defensive rebound by K. Towns
3:00.0,,,79-78,,K. Dunn misses 2-pt shot from 10 ft
2:59.0,Defensive rebound by G. Papagiannis,,79-78,,
2:54.0,A. Afflalo makes 2-pt shot from 2 ft (assist by D. Collison),2,81-78,,
2:41.0,,,81-78,,Shooting foul by A. Tolliver (drawn by K. Towns)
2:41.0,Sacramento full timeout,,81-78,,
2:41.0,,,81-78,,K. Towns misses free throw 1 of 2
2:41.0,,,81-78,,Offensive rebound by Team
2:41.0,,,81-79,1,K. Towns makes free throw 2 of 2
2:41.0,T. Lawson enters the game for D. Collison,,81-78,,
2:28.0,B. Hield makes 3-pt shot from 23 ft (assist by T. Lawson),3,84-79,,
2:12.0,,,84-79,,R. Rubio misses 2-pt shot from 19 ft
2:11.0,Defensive rebound by A. Tolliver,,84-79,,
2:01.0,A. Tolliver makes 2-pt shot from 1 ft (assist by T. Lawson),2,86-79,,
1:47.0,,,86-79,,R. Rubio misses 2-pt shot at rim
1:46.0,Defensive rebound by B. Hield,,86-79,,
1:37.0,A. Afflalo misses 2-pt shot from 7 ft,,86-79,,
1:36.0,,,86-79,,Defensive rebound by K. Dunn
1:31.0,,,86-79,,K. Dunn misses 2-pt shot from 2 ft (block by A. Tolliver)
1:29.0,Defensive rebound by T. Lawson,,86-79,,
1:25.0,T. Lawson makes 2-pt shot from 1 ft,2,88-79,,
1:14.0,,,88-79,,Minnesota full timeout
1:14.0,,,88-79,,O. Casspi enters the game for K. Towns
1:14.0,,,88-79,,T. Jones enters the game for R. Rubio
1:06.0,,,88-79,,A. Wiggins misses 2-pt shot from 7 ft
1:05.0,,,88-79,,Offensive rebound by A. Wiggins
1:02.0,,,88-81,2,A. Wiggins makes 2-pt shot from 2 ft
0:49.0,Shooting foul by K. Dunn (drawn by T. Lawson),,88-81,,
0:49.0,T. Lawson makes free throw 1 of 2,1,89-81,,
0:49.0,T. Lawson misses free throw 2 of 2,,89-81,,
0:49.0,,,89-81,,Defensive rebound by O. Casspi
0:49.0,L. Galloway enters the game for B. Hield,,89-81,,
0:27.0,,,89-81,,Shooting foul by A. Tolliver (drawn by O. Casspi)
0:27.0,,,89-82,1,O. Casspi makes free throw 1 of 2
0:27.0,,,89-83,1,O. Casspi makes free throw 2 of 2
0:08.0,G. Papagiannis makes 2-pt shot at rim (assist by T. Lawson),2,91-83,,
0:00.0,,,91-85,2,K. Dunn makes 2-pt shot from 16 ft (assist by T. Jones)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,91-85,,Turnover by K. Towns (lost ball; steal by T. Lawson)
11:42.0,L. Galloway makes 2-pt shot at rim (assist by T. Lawson),2,93-85,,
11:20.0,Personal foul by A. Tolliver (drawn by O. Casspi),,93-85,,
11:14.0,,,93-85,,K. Towns misses 2-pt shot from 18 ft
11:13.0,Defensive rebound by Team,,93-85,,
11:02.0,L. Galloway makes 2-pt shot from 23 ft,2,95-85,,
10:49.0,,,95-85,,S. Muhammad misses 2-pt shot from 10 ft (block by A. Tolliver)
10:48.0,,,95-85,,Offensive rebound by Team
10:38.0,,,95-85,,S. Muhammad misses 2-pt shot from 8 ft (block by A. Tolliver)
10:37.0,,,95-85,,Offensive rebound by Team
10:37.0,,,95-85,,Turnover by Team (shot clock)
10:28.0,T. Lawson makes 2-pt shot from 2 ft,2,97-85,,
10:28.0,Shooting foul by K. Dunn (drawn by T. Lawson),,97-85,,
10:28.0,T. Lawson makes free throw 1 of 1,1,98-85,,
10:28.0,,,97-85,,G. Dieng enters the game for O. Casspi
10:10.0,,,98-85,,K. Dunn misses 2-pt shot from 18 ft
10:09.0,Defensive rebound by A. Tolliver,,98-85,,
9:59.0,A. Tolliver misses 3-pt shot from 26 ft,,98-85,,
9:58.0,,,98-85,,Defensive rebound by K. Dunn
9:53.0,Personal foul by T. Lawson (drawn by S. Muhammad),,98-85,,
9:47.0,,,98-85,,T. Jones misses 3-pt shot from 25 ft
9:46.0,Defensive rebound by G. Papagiannis,,98-85,,
9:30.0,L. Galloway makes 2-pt shot from 16 ft,2,100-85,,
9:10.0,,,100-87,2,T. Jones makes 2-pt shot from 2 ft
8:56.0,Turnover by B. McLemore (lost ball; steal by G. Dieng),,100-87,,
8:51.0,,,100-89,2,T. Jones makes 2-pt shot from 1 ft (assist by K. Dunn)
8:29.0,B. McLemore makes 2-pt shot from 20 ft,2,102-89,,
8:09.0,,,102-89,,K. Dunn misses 3-pt shot from 25 ft
8:08.0,Defensive rebound by L. Galloway,,102-89,,
8:04.0,Shooting foul by K. Dunn (drawn by L. Galloway),,102-89,,
8:04.0,Sacramento full timeout,,102-89,,
8:04.0,L. Galloway makes free throw 1 of 2,1,103-89,,
8:04.0,L. Galloway makes free throw 2 of 2,1,104-89,,
8:04.0,,,102-89,,R. Rubio enters the game for K. Dunn
8:04.0,,,102-89,,A. Wiggins enters the game for T. Jones
7:51.0,,,104-91,2,G. Dieng makes 2-pt shot from 1 ft (assist by A. Wiggins)
7:37.0,T. Lawson makes 2-pt shot at rim,2,106-91,,
7:20.0,,,106-94,3,A. Wiggins makes 3-pt shot from 24 ft
7:06.0,,,106-94,,A. Payne enters the game for K. Towns
6:56.0,A. Tolliver misses 3-pt shot from 23 ft (block by A. Payne),,106-94,,
6:55.0,,,106-94,,Defensive rebound by R. Rubio
6:51.0,,,106-96,2,S. Muhammad makes 2-pt shot from 2 ft (assist by R. Rubio)
6:36.0,T. Lawson misses 2-pt shot from 22 ft,,106-96,,
6:35.0,Offensive rebound by B. McLemore,,106-96,,
6:34.0,B. McLemore misses 2-pt shot from 2 ft (block by A. Payne),,106-96,,
6:33.0,,,106-96,,Defensive rebound by A. Payne
6:33.0,Personal foul by B. McLemore (drawn by A. Payne),,106-96,,
6:33.0,W. Cauley-Stein enters the game for G. Papagiannis,,106-96,,
6:20.0,,,106-96,,S. Muhammad misses 2-pt shot from 11 ft
6:19.0,,,106-96,,Offensive rebound by G. Dieng
6:18.0,,,106-99,3,A. Wiggins makes 3-pt shot from 26 ft (assist by G. Dieng)
5:55.0,L. Galloway misses 3-pt shot from 24 ft,,106-99,,
5:54.0,,,106-99,,Defensive rebound by R. Rubio
5:50.0,,,106-101,2,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio)
5:42.0,Sacramento full timeout,,106-101,,
5:33.0,Shooting foul by G. Dieng (drawn by B. McLemore),,106-101,,
5:33.0,B. McLemore misses free throw 1 of 2,,106-101,,
5:33.0,Offensive rebound by Team,,106-101,,
5:33.0,B. McLemore makes free throw 2 of 2,1,107-101,,
5:33.0,B. Hield enters the game for L. Galloway,,106-101,,
5:12.0,,,107-101,,A. Payne misses 2-pt shot at rim
5:10.0,Defensive rebound by B. McLemore,,107-101,,
5:09.0,,,107-101,,Personal foul by A. Payne (drawn by B. McLemore)
5:09.0,A. Afflalo enters the game for B. McLemore,,107-101,,
4:57.0,W. Cauley-Stein makes 2-pt shot from 15 ft (assist by A. Tolliver),2,109-101,,
4:43.0,,,109-101,,A. Wiggins misses 2-pt shot from 20 ft
4:42.0,Defensive rebound by W. Cauley-Stein,,109-101,,
4:34.0,Shooting foul by R. Rubio (drawn by T. Lawson),,109-101,,
4:34.0,T. Lawson makes free throw 1 of 2,1,110-101,,
4:34.0,T. Lawson makes free throw 2 of 2,1,111-101,,
4:34.0,,,110-101,,K. Towns enters the game for G. Dieng
4:20.0,,,111-103,2,A. Wiggins makes 2-pt shot from 2 ft
