time,Atlanta,pts.away,score,pts.home,Golden State
0:46.0,T. Sefolosha enters the game for D. Howard,,51-48,,
0:46.0,,,51-48,,Golden State full timeout
0:38.0,,,51-50,2,K. Thompson makes 2-pt shot from 1 ft (assist by A. Iguodala)
0:27.0,K. Bazemore misses 3-pt shot from 24 ft,,51-50,,
0:25.0,,,51-50,,Defensive rebound by D. Green
0:10.0,,,51-50,,S. Curry misses 2-pt shot from 4 ft (block by D. Schroder)
0:08.0,Defensive rebound by P. Millsap,,51-50,,
0:02.0,K. Bazemore makes 2-pt shot from 3 ft,2,53-50,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,D. Howard makes 2-pt shot from 2 ft (assist by P. Millsap),2,55-50,,
11:32.0,,,55-52,2,S. Curry makes 2-pt shot from 17 ft
11:18.0,D. Schroder makes 2-pt shot from 15 ft (assist by P. Millsap),2,57-52,,
11:04.0,,,57-52,,Turnover by K. Thompson (lost ball; steal by K. Korver)
10:57.0,D. Schroder misses 3-pt shot from 26 ft,,57-52,,
10:57.0,,,57-52,,Defensive rebound by K. Durant
10:46.0,,,57-52,,K. Thompson misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by Team,,57-52,,
10:28.0,P. Millsap misses 2-pt shot from 22 ft,,57-52,,
10:27.0,,,57-52,,Defensive rebound by K. Durant
10:17.0,,,57-54,2,D. Green makes 2-pt shot from 19 ft
10:02.0,K. Korver makes 3-pt shot from 28 ft (assist by D. Schroder),3,60-54,,
9:49.0,Personal foul by K. Korver (drawn by Z. Pachulia),,60-54,,
9:37.0,,,60-56,2,K. Durant makes 2-pt shot from 17 ft
9:17.0,Turnover by D. Schroder (traveling),,60-56,,
9:03.0,,,60-56,,Shooting foul by D. Howard (drawn by K. Durant)
9:03.0,,,60-57,1,K. Durant makes free throw 1 of 2
9:03.0,,,60-58,1,K. Durant makes free throw 2 of 2
8:47.0,D. Schroder misses 2-pt shot from 2 ft (block by Z. Pachulia),,60-58,,
8:47.0,Offensive rebound by Team,,60-58,,
8:45.0,Shooting foul by Z. Pachulia (drawn by P. Millsap),,60-58,,
8:45.0,P. Millsap makes free throw 1 of 2,1,61-58,,
8:45.0,P. Millsap makes free throw 2 of 2,1,62-58,,
8:31.0,,,62-58,,K. Durant misses 2-pt shot from 16 ft
8:30.0,,,62-58,,Offensive rebound by Z. Pachulia
8:21.0,,,62-60,2,Z. Pachulia makes 2-pt shot from 9 ft (assist by K. Thompson)
8:11.0,K. Korver misses 3-pt shot from 27 ft,,62-60,,
8:10.0,,,62-60,,Defensive rebound by Z. Pachulia
7:58.0,,,62-60,,K. Durant misses 2-pt shot from 12 ft
7:58.0,Defensive rebound by D. Howard,,62-60,,
7:52.0,K. Bazemore misses 2-pt shot from 4 ft,,62-60,,
7:52.0,,,62-60,,Defensive rebound by Z. Pachulia
7:52.0,Personal foul by K. Bazemore (drawn by Z. Pachulia),,62-60,,
7:37.0,,,62-60,,K. Thompson misses 2-pt shot from 11 ft
7:37.0,Defensive rebound by D. Howard,,62-60,,
7:13.0,Turnover by Team (shot clock),,62-60,,
7:01.0,,,62-60,,Shooting foul by K. Bazemore (drawn by K. Durant)
7:01.0,,,62-61,1,K. Durant makes free throw 1 of 2
7:01.0,,,62-62,1,K. Durant makes free throw 2 of 2
7:01.0,,,62-61,,J. McGee enters the game for Z. Pachulia
7:01.0,M. Muscala enters the game for P. Millsap,,62-61,,
6:45.0,D. Schroder makes 2-pt shot from 15 ft,2,64-62,,
6:33.0,,,64-62,,D. Green misses 2-pt shot from 5 ft
6:31.0,,,64-62,,Offensive rebound by J. McGee
6:31.0,,,64-62,,J. McGee misses 2-pt shot from 2 ft
6:29.0,Defensive rebound by D. Howard,,64-62,,
6:13.0,D. Schroder makes 2-pt shot from 3 ft,2,66-62,,
6:00.0,,,66-62,,Turnover by D. Green (bad pass; steal by M. Muscala)
5:48.0,Shooting foul by J. McGee (drawn by D. Howard),,66-62,,
5:48.0,,,66-62,,Golden State full timeout
5:48.0,D. Howard misses free throw 1 of 2,,66-62,,
5:48.0,Offensive rebound by Team,,66-62,,
5:48.0,D. Howard makes free throw 2 of 2,1,67-62,,
5:48.0,,,66-62,,A. Iguodala enters the game for K. Durant
5:48.0,T. Sefolosha enters the game for K. Bazemore,,66-62,,
5:33.0,,,67-65,3,S. Curry makes 3-pt shot from 25 ft (assist by D. Green)
5:19.0,M. Muscala makes 3-pt shot from 25 ft (assist by D. Schroder),3,70-65,,
5:00.0,,,70-67,2,K. Thompson makes 2-pt shot from 18 ft (assist by D. Green)
4:36.0,D. Schroder makes 2-pt shot from 17 ft (assist by T. Sefolosha),2,72-67,,
4:18.0,,,72-67,,S. Curry misses 3-pt shot from 25 ft
4:17.0,Defensive rebound by D. Howard,,72-67,,
4:00.0,T. Sefolosha misses 2-pt shot from 15 ft,,72-67,,
3:59.0,Offensive rebound by D. Howard,,72-67,,
3:58.0,D. Howard makes 2-pt shot at rim,2,74-67,,
3:38.0,,,74-67,,Shooting foul by T. Sefolosha (drawn by S. Curry)
3:38.0,,,74-68,1,S. Curry makes free throw 1 of 3
3:38.0,,,74-69,1,S. Curry makes free throw 2 of 3
3:38.0,,,74-70,1,S. Curry makes free throw 3 of 3
3:38.0,,,74-69,,I. Clark enters the game for K. Thompson
3:38.0,,,74-69,,K. Durant enters the game for J. McGee
3:38.0,T. Hardaway enters the game for K. Korver,,74-69,,
3:38.0,P. Millsap enters the game for D. Howard,,74-69,,
3:21.0,T. Hardaway misses 3-pt shot from 23 ft,,74-70,,
3:21.0,Offensive rebound by M. Muscala,,74-70,,
3:20.0,M. Muscala makes 2-pt shot from 1 ft,2,76-70,,
3:20.0,Shooting foul by D. Green (drawn by M. Muscala),,76-70,,
3:20.0,M. Muscala misses free throw 1 of 1,,76-70,,
3:20.0,Offensive rebound by Team,,76-70,,
3:20.0,,,76-70,,Loose ball foul by A. Iguodala (drawn by T. Sefolosha)
3:20.0,M. Delaney enters the game for D. Schroder,,76-70,,
3:05.0,P. Millsap misses 2-pt shot from 12 ft,,76-70,,
3:01.0,,,76-70,,Defensive rebound by S. Curry
2:57.0,,,76-73,3,K. Durant makes 3-pt shot from 26 ft (assist by S. Curry)
2:42.0,Shooting foul by S. Curry (drawn by T. Hardaway),,76-73,,
2:42.0,Atlanta full timeout,,76-73,,
2:42.0,T. Hardaway makes free throw 1 of 2,1,77-73,,
2:42.0,T. Hardaway makes free throw 2 of 2,1,78-73,,
2:32.0,,,78-73,,Turnover by K. Durant (lost ball; steal by T. Sefolosha)
2:25.0,T. Sefolosha misses 2-pt shot from 18 ft,,78-73,,
2:23.0,,,78-73,,Defensive rebound by K. Durant
2:14.0,,,78-76,3,A. Iguodala makes 3-pt shot from 24 ft (assist by I. Clark)
1:47.0,T. Sefolosha makes 2-pt shot from 5 ft,2,80-76,,
1:38.0,,,80-76,,Shooting foul by P. Millsap (drawn by S. Curry)
1:38.0,,,80-77,1,S. Curry makes free throw 1 of 2
1:38.0,,,80-77,,S. Curry misses free throw 2 of 2
1:36.0,Defensive rebound by M. Muscala,,80-77,,
1:35.0,Turnover by M. Muscala (bad pass; steal by K. Durant),,80-77,,
1:26.0,,,80-77,,A. Iguodala misses 3-pt shot from 25 ft
1:26.0,Defensive rebound by T. Hardaway,,80-77,,
1:08.0,,,80-77,,Personal foul by I. Clark (drawn by T. Hardaway)
1:08.0,T. Hardaway makes free throw 1 of 2,1,81-77,,
1:08.0,T. Hardaway misses free throw 2 of 2,,81-77,,
1:07.0,,,81-77,,Defensive rebound by K. Durant
0:54.0,,,81-77,,I. Clark misses 3-pt shot from 25 ft
0:53.0,Defensive rebound by T. Sefolosha,,81-77,,
0:36.0,M. Delaney misses 3-pt shot from 25 ft,,81-77,,
0:36.0,,,81-77,,Defensive rebound by I. Clark
0:27.0,,,81-77,,A. Iguodala misses 3-pt shot from 23 ft
0:27.0,Defensive rebound by P. Millsap,,81-77,,
0:08.0,T. Hardaway misses 3-pt shot from 27 ft,,81-77,,
0:06.0,,,81-77,,Defensive rebound by K. Durant
0:02.0,,,81-80,3,I. Clark makes 3-pt shot from 26 ft (assist by K. Durant)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:54.0,Personal foul by M. Delaney (drawn by S. Livingston),,81-80,,
11:42.0,,,81-82,2,K. Durant makes 2-pt shot from 17 ft
11:17.0,T. Sefolosha misses 2-pt shot from 18 ft,,81-82,,
11:16.0,,,81-82,,Defensive rebound by A. Iguodala
11:11.0,,,81-84,2,A. Iguodala makes 2-pt shot from 1 ft
10:51.0,T. Hardaway misses 3-pt shot from 27 ft,,81-84,,
10:50.0,,,81-84,,Defensive rebound by A. Iguodala
10:39.0,,,81-86,2,A. Iguodala makes 2-pt shot at rim (assist by D. West)
10:39.0,Atlanta full timeout,,81-86,,
10:38.0,D. Howard enters the game for M. Muscala,,81-86,,
10:38.0,K. Korver enters the game for T. Hardaway,,81-86,,
10:26.0,M. Delaney misses 2-pt shot from 19 ft,,81-86,,
10:25.0,,,81-86,,Defensive rebound by K. Durant
10:02.0,,,81-86,,K. Durant misses 2-pt shot from 9 ft
10:01.0,Defensive rebound by D. Howard,,81-86,,
9:45.0,Turnover by K. Korver (bad pass; steal by K. Thompson),,81-86,,
9:38.0,,,81-88,2,S. Livingston makes 2-pt shot from 3 ft (assist by K. Thompson)
9:24.0,Turnover by T. Sefolosha (traveling),,81-88,,
9:24.0,D. Schroder enters the game for M. Delaney,,81-88,,
9:09.0,,,81-88,,A. Iguodala misses 3-pt shot from 24 ft
9:09.0,Defensive rebound by T. Sefolosha,,81-88,,
8:57.0,Shooting foul by D. West (drawn by D. Schroder),,81-88,,
8:57.0,D. Schroder makes free throw 1 of 2,1,82-88,,
8:57.0,D. Schroder makes free throw 2 of 2,1,83-88,,
8:57.0,K. Bazemore enters the game for P. Millsap,,82-88,,
8:36.0,,,83-88,,Shooting foul by K. Korver (drawn by A. Iguodala)
8:36.0,,,83-88,,A. Iguodala misses free throw 1 of 2
8:36.0,,,83-88,,Offensive rebound by Team
8:36.0,,,83-88,,A. Iguodala misses free throw 2 of 2
8:35.0,Defensive rebound by K. Korver,,83-88,,
8:15.0,K. Bazemore makes 2-pt shot from 2 ft (assist by D. Schroder),2,85-88,,
8:11.0,,,85-88,,Golden State full timeout
8:11.0,,,85-88,,D. Green enters the game for A. Iguodala
8:11.0,,,85-88,,I. Clark enters the game for D. West
8:02.0,,,85-88,,K. Thompson misses 3-pt shot from 26 ft
8:01.0,Defensive rebound by T. Sefolosha,,85-88,,
7:46.0,D. Schroder misses 3-pt shot from 26 ft,,85-88,,
7:46.0,Offensive rebound by Team,,85-88,,
7:39.0,K. Bazemore misses 3-pt shot from 23 ft,,85-88,,
7:38.0,,,85-88,,Defensive rebound by I. Clark
7:29.0,,,85-88,,I. Clark misses 3-pt shot from 27 ft
7:29.0,,,85-88,,Offensive rebound by K. Thompson
7:29.0,,,85-90,2,K. Thompson makes 2-pt shot from 1 ft
7:29.0,,,85-90,,Shooting foul by K. Bazemore (drawn by K. Thompson)
7:29.0,,,85-91,1,K. Thompson makes free throw 1 of 1
7:15.0,Shooting foul by K. Thompson (drawn by D. Schroder),,85-91,,
7:15.0,D. Schroder makes free throw 1 of 2,1,86-91,,
7:15.0,D. Schroder misses free throw 2 of 2,,86-91,,
7:15.0,,,86-91,,S. Curry enters the game for K. Durant
7:15.0,P. Millsap enters the game for T. Sefolosha,,86-91,,
7:14.0,,,86-91,,Defensive rebound by D. Green
6:55.0,,,86-91,,D. Green misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by K. Bazemore,,86-91,,
6:48.0,D. Schroder makes 2-pt shot from 11 ft,2,88-91,,
6:33.0,,,88-91,,S. Curry misses 2-pt shot from 1 ft
6:32.0,Defensive rebound by D. Howard,,88-91,,
6:15.0,Shooting foul by D. Green (drawn by D. Howard),,88-91,,
6:15.0,D. Howard misses free throw 1 of 2,,88-91,,
6:15.0,Offensive rebound by Team,,88-91,,
6:15.0,D. Howard makes free throw 2 of 2,1,89-91,,
6:15.0,,,88-91,,A. Iguodala enters the game for I. Clark
5:58.0,,,89-91,,S. Livingston misses 2-pt shot at rim
5:57.0,Defensive rebound by P. Millsap,,89-91,,
5:45.0,K. Bazemore misses 3-pt shot from 25 ft,,89-91,,
5:45.0,,,89-91,,Defensive rebound by K. Thompson
5:39.0,,,89-91,,K. Thompson misses 3-pt shot from 27 ft
5:39.0,,,89-91,,Offensive rebound by Team
5:28.0,Personal foul by K. Bazemore (drawn by K. Thompson),,89-91,,
5:28.0,T. Sefolosha enters the game for K. Bazemore,,89-91,,
5:17.0,,,89-91,,D. Green misses 3-pt shot from 25 ft
5:17.0,Defensive rebound by T. Sefolosha,,89-91,,
