time,Golden State,pts.away,score,pts.home,Washington
11:38.0,,,49-61,,Offensive rebound by J. Wall
11:36.0,,,49-61,,J. Wall misses 2-pt shot from 1 ft
11:36.0,,,49-61,,Offensive rebound by J. Wall
11:34.0,,,49-63,2,J. Wall makes 2-pt shot from 1 ft
11:22.0,K. Thompson misses 3-pt shot from 24 ft,,49-63,,
11:21.0,Offensive rebound by Z. Pachulia,,49-63,,
11:18.0,S. Curry makes 3-pt shot from 25 ft (assist by D. Green),3,52-63,,
10:50.0,,,52-63,,M. Gortat misses 2-pt shot from 4 ft
10:49.0,Defensive rebound by K. Thompson,,52-63,,
10:38.0,D. Green misses 2-pt shot from 19 ft,,52-63,,
10:37.0,Offensive rebound by Z. Pachulia,,52-63,,
10:37.0,Z. Pachulia makes 2-pt shot from 2 ft,2,54-63,,
10:37.0,,,54-63,,Flagrant foul type 1 by M. Morris (drawn by Z. Pachulia)
10:37.0,Z. Pachulia makes flagrant free throw 1 of 1,1,55-63,,
10:29.0,D. Green makes 2-pt shot from 1 ft,2,57-63,,
10:11.0,,,57-63,,M. Morris misses 2-pt shot from 17 ft
10:10.0,,,57-63,,Offensive rebound by M. Gortat
10:00.0,,,57-63,,O. Porter misses 3-pt shot from 27 ft
10:00.0,Defensive rebound by Team,,57-63,,
10:00.0,,,57-63,,Loose ball foul by M. Morris (drawn by D. Green)
9:37.0,Z. Pachulia makes 2-pt shot from 1 ft (assist by K. Thompson),2,59-63,,
9:37.0,,,59-63,,Washington full timeout
9:28.0,,,59-65,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
9:09.0,S. Curry makes 2-pt shot from 19 ft (assist by D. Green),2,61-65,,
8:50.0,,,61-67,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
8:27.0,K. Thompson misses 3-pt shot from 28 ft,,61-67,,
8:26.0,,,61-67,,Defensive rebound by M. Gortat
8:10.0,,,61-67,,M. Morris misses 3-pt shot from 23 ft
8:09.0,Defensive rebound by Z. Pachulia,,61-67,,
7:58.0,K. Thompson misses 3-pt shot from 24 ft,,61-67,,
7:57.0,,,61-67,,Defensive rebound by M. Gortat
7:46.0,,,61-69,2,M. Gortat makes 2-pt shot from 1 ft (assist by J. Wall)
7:46.0,Golden State full timeout,,61-69,,
7:29.0,S. Curry makes 2-pt shot at rim (assist by D. Green),2,63-69,,
7:13.0,,,63-69,,B. Beal misses 2-pt shot from 2 ft
7:12.0,Defensive rebound by P. McCaw,,63-69,,
7:08.0,S. Curry misses 3-pt shot from 30 ft,,63-69,,
7:07.0,Offensive rebound by Z. Pachulia,,63-69,,
7:05.0,,,63-69,,Personal foul by B. Beal (drawn by Z. Pachulia)
6:55.0,P. McCaw makes 3-pt shot from 26 ft (assist by D. Green),3,66-69,,
6:36.0,,,66-69,,B. Beal misses 3-pt shot from 23 ft
6:35.0,Defensive rebound by D. Green,,66-69,,
6:23.0,Z. Pachulia misses 2-pt shot from 4 ft,,66-69,,
6:22.0,,,66-69,,Defensive rebound by M. Gortat
6:16.0,,,66-72,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
5:51.0,Shooting foul by O. Porter (drawn by K. Thompson),,66-72,,
5:51.0,K. Thompson makes free throw 1 of 2,1,67-72,,
5:51.0,K. Thompson makes free throw 2 of 2,1,68-72,,
5:51.0,A. Iguodala enters the game for P. McCaw,,67-72,,
5:42.0,Personal foul by A. Iguodala (drawn by B. Beal),,68-72,,
5:42.0,,,68-72,,B. Bogdanovic enters the game for M. Morris
5:34.0,,,68-72,,B. Bogdanovic misses 2-pt shot from 1 ft
5:33.0,Defensive rebound by S. Curry,,68-72,,
5:29.0,D. Green makes 2-pt shot at rim (assist by S. Curry),2,70-72,,
5:16.0,,,70-75,3,B. Beal makes 3-pt shot from 28 ft (assist by J. Wall)
4:58.0,S. Curry makes 2-pt shot from 1 ft (assist by D. Green),2,72-75,,
4:47.0,,,72-77,2,J. Wall makes 2-pt shot from 21 ft
4:30.0,S. Curry misses 3-pt shot from 23 ft,,72-77,,
4:29.0,Offensive rebound by A. Iguodala,,72-77,,
4:25.0,Shooting foul by B. Beal (drawn by Z. Pachulia),,72-77,,
4:25.0,Z. Pachulia makes free throw 1 of 2,1,73-77,,
4:25.0,Z. Pachulia misses free throw 2 of 2,,73-77,,
4:25.0,S. Livingston enters the game for D. Green,,73-77,,
4:24.0,,,73-77,,Defensive rebound by M. Gortat
4:10.0,,,73-79,2,J. Wall makes 2-pt shot from 1 ft
3:56.0,Shooting foul by B. Bogdanovic (drawn by Z. Pachulia),,73-79,,
3:56.0,Z. Pachulia makes free throw 1 of 2,1,74-79,,
3:56.0,Z. Pachulia makes free throw 2 of 2,1,75-79,,
3:41.0,,,75-79,,M. Gortat misses 2-pt shot from 1 ft (block by S. Livingston)
3:39.0,,,75-79,,Offensive rebound by M. Gortat
3:35.0,,,75-79,,J. Wall misses 3-pt shot from 28 ft
3:33.0,,,75-79,,Offensive rebound by B. Bogdanovic
3:18.0,,,75-79,,M. Gortat misses 2-pt shot at rim
3:17.0,Defensive rebound by Z. Pachulia,,75-79,,
3:11.0,Shooting foul by M. Gortat (drawn by S. Curry),,75-79,,
3:11.0,S. Curry makes free throw 1 of 2,1,76-79,,
3:11.0,S. Curry misses free throw 2 of 2,,76-79,,
3:11.0,D. West enters the game for Z. Pachulia,,76-79,,
3:11.0,P. McCaw enters the game for K. Thompson,,76-79,,
3:11.0,,,76-79,,K. Oubre enters the game for O. Porter
3:11.0,,,76-79,,I. Mahinmi enters the game for M. Gortat
3:09.0,,,76-79,,Defensive rebound by K. Oubre
2:58.0,Personal foul by P. McCaw (drawn by J. Wall),,76-79,,
2:46.0,,,76-79,,I. Mahinmi misses 2-pt shot from 12 ft
2:46.0,,,76-79,,Offensive rebound by Team
2:46.0,Loose ball foul by S. Livingston (drawn by B. Beal),,76-79,,
2:46.0,,,76-79,,T. Satoransky enters the game for B. Beal
2:36.0,,,76-79,,J. Wall misses 2-pt shot from 18 ft
2:35.0,Defensive rebound by Team,,76-79,,
2:35.0,,,76-79,,Loose ball foul by T. Satoransky (drawn by S. Livingston)
2:35.0,S. Livingston makes free throw 1 of 2,1,77-79,,
2:35.0,S. Livingston makes free throw 2 of 2,1,78-79,,
2:25.0,,,78-79,,Turnover by B. Bogdanovic (bad pass; steal by S. Curry)
2:11.0,Turnover by S. Livingston (lost ball; steal by J. Wall),,78-79,,
2:10.0,,,78-79,,Turnover by J. Wall (lost ball; steal by D. West)
2:10.0,,,78-79,,Personal foul by K. Oubre (drawn by S. Livingston)
2:10.0,S. Livingston makes free throw 1 of 2,1,79-79,,
2:10.0,S. Livingston makes free throw 2 of 2,1,80-79,,
1:56.0,,,80-82,3,K. Oubre makes 3-pt shot from 23 ft (assist by J. Wall)
1:45.0,S. Curry makes 2-pt shot from 2 ft,2,82-82,,
1:41.0,Violation by Team (jump ball),,82-82,,
1:41.0,Technical foul by Team,,82-82,,
1:41.0,,,82-83,1,B. Bogdanovic makes technical free throw
1:23.0,,,82-85,2,J. Wall makes 2-pt shot from 6 ft
1:03.0,S. Curry makes 3-pt shot from 26 ft (assist by S. Livingston),3,85-85,,
0:57.0,,,85-85,,Turnover by J. Wall (bad pass; steal by S. Livingston)
0:51.0,Offensive foul by D. West,,85-85,,
0:51.0,Turnover by D. West (offensive foul),,85-85,,
0:32.0,Personal foul by A. Iguodala (drawn by T. Satoransky),,85-85,,
0:26.0,,,85-85,,J. Wall misses 2-pt shot from 1 ft (block by D. West)
0:26.0,Defensive rebound by Team,,85-85,,
0:26.0,K. Thompson enters the game for P. McCaw,,85-85,,
0:26.0,D. Green enters the game for S. Livingston,,85-85,,
0:03.0,S. Curry misses 3-pt shot from 28 ft,,85-85,,
0:02.0,,,85-85,,Defensive rebound by J. Wall
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,85-85,,B. Beal misses 3-pt shot from 28 ft (block by D. Green)
11:36.0,,,85-85,,Offensive rebound by I. Mahinmi
11:36.0,,,85-85,,Turnover by Team (shot clock)
11:21.0,Shooting foul by I. Mahinmi (drawn by D. West),,85-85,,
11:21.0,D. West misses free throw 1 of 2,,85-85,,
11:21.0,Offensive rebound by Team,,85-85,,
11:21.0,D. West makes free throw 2 of 2,1,86-85,,
11:05.0,,,86-85,,T. Satoransky misses 2-pt shot from 2 ft
11:04.0,Defensive rebound by D. West,,86-85,,
10:59.0,K. Thompson misses 2-pt shot from 2 ft,,86-85,,
10:58.0,,,86-85,,Defensive rebound by I. Mahinmi
10:43.0,,,86-88,3,B. Bogdanovic makes 3-pt shot from 23 ft (assist by B. Beal)
10:20.0,K. Thompson makes 2-pt shot from 1 ft,2,88-88,,
10:16.0,Personal take foul by K. Thompson (drawn by B. Beal),,88-88,,
10:16.0,,,88-88,,M. Morris enters the game for T. Satoransky
10:05.0,Personal foul by S. Livingston (drawn by B. Beal),,88-88,,
10:01.0,,,88-88,,Shooting foul by K. Thompson (drawn by B. Beal)
10:01.0,,,88-89,1,B. Beal makes free throw 1 of 2
10:01.0,,,88-90,1,B. Beal makes free throw 2 of 2
9:48.0,K. Thompson misses 2-pt shot from 18 ft,,88-90,,
9:47.0,,,88-90,,Defensive rebound by M. Morris
9:38.0,,,88-90,,I. Mahinmi misses 2-pt shot from 1 ft (block by A. Iguodala)
9:36.0,,,88-90,,Offensive rebound by B. Beal
9:30.0,,,88-90,,B. Beal misses 3-pt shot from 31 ft
9:29.0,,,88-90,,Offensive rebound by B. Bogdanovic
9:25.0,,,88-90,,K. Oubre misses 3-pt shot from 26 ft
9:24.0,Defensive rebound by K. Thompson,,88-90,,
9:18.0,,,88-90,,Personal foul by K. Oubre (drawn by D. Green)
9:15.0,K. Thompson misses 3-pt shot from 26 ft,,88-90,,
9:14.0,,,88-90,,Defensive rebound by I. Mahinmi
9:00.0,Personal foul by A. Iguodala (drawn by B. Beal),,88-90,,
9:00.0,,,88-90,,O. Porter enters the game for K. Oubre
9:00.0,,,88-90,,J. Wall enters the game for I. Mahinmi
9:00.0,J. McAdoo enters the game for D. West,,88-90,,
8:52.0,,,88-90,,B. Beal misses 2-pt shot from 20 ft
8:51.0,,,88-90,,Offensive rebound by M. Morris
8:49.0,,,88-90,,M. Morris misses 2-pt shot from 1 ft
8:49.0,,,88-90,,Offensive rebound by M. Morris
8:45.0,,,88-92,2,M. Morris makes 2-pt shot from 1 ft
8:35.0,S. Livingston makes 2-pt shot at rim,2,90-92,,
8:19.0,,,90-92,,O. Porter misses 2-pt shot from 2 ft
8:18.0,Defensive rebound by D. Green,,90-92,,
8:13.0,Shooting foul by B. Beal (drawn by K. Thompson),,90-92,,
8:13.0,Official timeout,,90-92,,
8:13.0,K. Thompson makes free throw 1 of 2,1,91-92,,
8:13.0,K. Thompson misses free throw 2 of 2,,91-92,,
8:13.0,P. McCaw enters the game for A. Iguodala,,90-92,,
8:11.0,,,91-92,,Defensive rebound by O. Porter
7:58.0,,,91-92,,B. Bogdanovic misses 3-pt shot from 26 ft
7:57.0,Defensive rebound by J. McAdoo,,91-92,,
7:39.0,K. Thompson misses 2-pt shot from 15 ft,,91-92,,
7:38.0,,,91-92,,Defensive rebound by J. Wall
7:29.0,,,91-92,,M. Morris misses 2-pt shot from 2 ft (block by S. Livingston)
7:26.0,Defensive rebound by S. Livingston,,91-92,,
7:23.0,S. Livingston makes 2-pt shot from 9 ft,2,93-92,,
7:02.0,,,93-92,,M. Morris misses 2-pt shot from 9 ft
7:01.0,Defensive rebound by P. McCaw,,93-92,,
6:52.0,Shooting foul by O. Porter (drawn by P. McCaw),,93-92,,
6:52.0,P. McCaw misses free throw 1 of 2,,93-92,,
6:52.0,Offensive rebound by Team,,93-92,,
6:52.0,P. McCaw makes free throw 2 of 2,1,94-92,,
6:52.0,S. Curry enters the game for K. Thompson,,93-92,,
6:38.0,,,94-92,,J. Wall misses 2-pt shot from 6 ft
6:36.0,Defensive rebound by J. McAdoo,,94-92,,
6:28.0,S. Livingston misses 2-pt shot from 12 ft,,94-92,,
