time,Chicago,pts.away,score,pts.home,San Antonio
11:16.0,,,25-36,,Loose ball foul by P. Mills
11:08.0,N. Mirotic makes 2-pt shot from 2 ft (assist by D. Wade),2,27-36,,
10:54.0,,,27-38,2,D. Lee makes 2-pt shot from 7 ft (assist by M. Ginobili)
10:54.0,,,27-38,,Shooting foul by C. Felicio (drawn by D. Lee)
10:54.0,,,27-39,1,D. Lee makes free throw 1 of 1
10:47.0,,,27-39,,Personal foul by M. Ginobili (drawn by D. McDermott)
10:36.0,N. Mirotic misses 3-pt shot from 23 ft,,27-39,,
10:35.0,,,27-39,,Defensive rebound by D. Dedmon
10:18.0,,,27-39,,D. Green misses 3-pt shot from 23 ft
10:18.0,,,27-39,,Offensive rebound by Team
10:18.0,Loose ball foul by N. Mirotic (drawn by D. Dedmon),,27-39,,
10:08.0,,,27-39,,D. Dedmon misses 2-pt shot from 10 ft
10:05.0,Defensive rebound by D. Wade,,27-39,,
10:00.0,D. Wade misses 2-pt shot from 9 ft,,27-39,,
9:58.0,,,27-39,,Defensive rebound by D. Green
9:47.0,,,27-39,,Turnover by M. Ginobili (lost ball; steal by J. Grant)
9:42.0,J. Grant makes 2-pt shot from 1 ft (assist by N. Mirotic),2,29-39,,
9:30.0,,,29-39,,Turnover by D. Green (bad pass; steal by N. Mirotic)
9:25.0,N. Mirotic makes 3-pt shot from 26 ft,3,32-39,,
9:25.0,,,32-39,,San Antonio full timeout
9:25.0,,,32-39,,L. Aldridge enters the game for D. Lee
9:25.0,,,32-39,,K. Leonard enters the game for D. Green
9:12.0,,,32-39,,P. Mills misses 2-pt shot from 20 ft
9:12.0,Defensive rebound by C. Felicio,,32-39,,
9:02.0,D. McDermott makes 3-pt shot from 25 ft (assist by D. Wade),3,35-39,,
8:54.0,,,35-39,,M. Ginobili misses 3-pt shot from 24 ft
8:53.0,Defensive rebound by N. Mirotic,,35-39,,
8:43.0,N. Mirotic misses 3-pt shot from 26 ft,,35-39,,
8:42.0,,,35-39,,Defensive rebound by K. Leonard
8:24.0,,,35-39,,K. Leonard misses 3-pt shot from 24 ft
8:23.0,Defensive rebound by D. McDermott,,35-39,,
8:00.0,D. Wade misses 3-pt shot from 25 ft,,35-39,,
8:00.0,,,35-39,,Defensive rebound by K. Leonard
7:49.0,,,35-41,2,L. Aldridge makes 2-pt shot from 17 ft (assist by P. Mills)
7:33.0,C. Felicio misses 2-pt shot from 16 ft,,35-41,,
7:32.0,Offensive rebound by Team,,35-41,,
7:32.0,,,35-41,,Loose ball foul by P. Mills
7:32.0,,,35-41,,T. Parker enters the game for P. Mills
7:32.0,J. Butler enters the game for D. McDermott,,35-41,,
7:24.0,C. Felicio misses 2-pt shot at rim,,35-41,,
7:23.0,,,35-41,,Defensive rebound by D. Dedmon
7:10.0,Def 3 sec tech foul by C. Felicio,,35-41,,
7:10.0,,,35-42,1,K. Leonard makes technical free throw
7:10.0,D. McDermott enters the game for D. Wade,,35-42,,
7:10.0,,,35-42,,J. Simmons enters the game for M. Ginobili
7:08.0,Personal foul by J. Grant (drawn by L. Aldridge),,35-42,,
6:51.0,,,35-45,3,J. Simmons makes 3-pt shot from 24 ft (assist by K. Leonard)
6:36.0,Turnover by N. Mirotic (bad pass; steal by K. Leonard),,35-45,,
6:36.0,Personal take foul by N. Mirotic (drawn by K. Leonard),,35-45,,
6:36.0,R. Rondo enters the game for J. Grant,,35-45,,
6:17.0,,,35-47,2,K. Leonard makes 2-pt shot from 11 ft (assist by D. Dedmon)
6:17.0,Chicago full timeout,,35-47,,
6:17.0,T. Gibson enters the game for C. Felicio,,35-47,,
6:17.0,,,35-47,,P. Gasol enters the game for D. Dedmon
5:57.0,T. Gibson makes 2-pt shot from 1 ft,2,37-47,,
5:35.0,,,37-47,,Turnover by T. Parker (traveling)
5:20.0,J. Butler makes 2-pt shot from 18 ft,2,39-47,,
4:55.0,,,39-49,2,L. Aldridge makes 2-pt shot from 1 ft (assist by J. Simmons)
4:34.0,,,39-49,,Personal foul by J. Simmons (drawn by N. Mirotic)
4:20.0,R. Rondo makes 2-pt shot from 17 ft,2,41-49,,
4:04.0,,,41-49,,P. Gasol misses 2-pt shot from 5 ft (block by N. Mirotic)
4:03.0,Defensive rebound by N. Mirotic,,41-49,,
3:53.0,R. Rondo misses 2-pt shot from 2 ft,,41-49,,
3:51.0,Offensive rebound by T. Gibson,,41-49,,
3:49.0,T. Gibson makes 2-pt shot from 1 ft,2,43-49,,
3:24.0,,,43-49,,T. Parker misses 3-pt shot from 25 ft
3:23.0,,,43-49,,Offensive rebound by P. Gasol
3:23.0,Personal foul by T. Gibson (drawn by P. Gasol),,43-49,,
3:23.0,,,43-49,,P. Gasol misses free throw 1 of 2
3:23.0,,,43-49,,Offensive rebound by Team
3:23.0,,,43-50,1,P. Gasol makes free throw 2 of 2
3:23.0,,,43-49,,M. Ginobili enters the game for J. Simmons
3:05.0,J. Butler misses 2-pt shot from 16 ft,,43-50,,
3:04.0,,,43-50,,Defensive rebound by M. Ginobili
2:45.0,,,43-52,2,T. Parker makes 2-pt shot from 17 ft
2:33.0,R. Rondo makes 2-pt shot from 19 ft,2,45-52,,
2:18.0,,,45-52,,L. Aldridge misses 2-pt shot from 14 ft
2:16.0,Defensive rebound by R. Rondo,,45-52,,
2:11.0,T. Gibson misses 2-pt shot from 5 ft (block by M. Ginobili),,45-52,,
2:10.0,Offensive rebound by T. Gibson,,45-52,,
2:09.0,Shooting foul by L. Aldridge (drawn by T. Gibson),,45-52,,
2:09.0,Official timeout,,45-52,,
2:09.0,T. Gibson makes free throw 1 of 2,1,46-52,,
2:09.0,T. Gibson makes free throw 2 of 2,1,47-52,,
2:09.0,D. Wade enters the game for D. McDermott,,45-52,,
1:52.0,,,47-52,,K. Leonard misses 2-pt shot from 14 ft
1:51.0,Defensive rebound by T. Gibson,,47-52,,
1:34.0,J. Butler makes 2-pt shot at rim (assist by T. Gibson),2,49-52,,
1:19.0,,,49-52,,T. Parker misses 2-pt shot from 19 ft
1:19.0,,,49-52,,Offensive rebound by L. Aldridge
1:18.0,,,49-52,,Turnover by L. Aldridge (bad pass)
1:01.0,T. Gibson misses 2-pt shot from 1 ft,,49-52,,
0:59.0,,,49-52,,Defensive rebound by T. Parker
0:48.0,,,49-52,,T. Parker misses 2-pt shot from 18 ft
0:48.0,,,49-52,,Offensive rebound by Team
0:48.0,Loose ball foul by T. Gibson (drawn by L. Aldridge),,49-52,,
0:48.0,,,49-53,1,L. Aldridge makes free throw 1 of 2
0:48.0,,,49-53,,L. Aldridge misses free throw 2 of 2
0:48.0,,,49-53,,D. Lee enters the game for P. Gasol
0:48.0,R. Lopez enters the game for T. Gibson,,49-53,,
0:47.0,Defensive rebound by N. Mirotic,,49-53,,
0:34.0,,,49-53,,Personal foul by M. Ginobili (drawn by R. Lopez)
0:34.0,R. Lopez makes free throw 1 of 2,1,50-53,,
0:34.0,R. Lopez misses free throw 2 of 2,,50-53,,
0:34.0,,,50-53,,Defensive rebound by K. Leonard
0:25.0,,,50-55,2,K. Leonard makes 2-pt shot from 19 ft
0:04.0,J. Butler misses 2-pt shot from 16 ft,,50-55,,
0:02.0,Offensive rebound by D. Wade,,50-55,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:36.0,,,50-57,2,T. Parker makes 2-pt shot from 11 ft
11:19.0,D. Wade misses 2-pt shot from 10 ft,,50-57,,
11:15.0,,,50-57,,Defensive rebound by L. Aldridge
11:07.0,,,50-57,,P. Gasol misses 2-pt shot from 17 ft
11:06.0,Defensive rebound by R. Lopez,,50-57,,
10:54.0,J. Butler makes 2-pt shot from 12 ft,2,52-57,,
10:37.0,,,52-59,2,P. Gasol makes 2-pt shot from 7 ft (assist by T. Parker)
10:37.0,,,52-59,,Shooting foul by R. Lopez (drawn by P. Gasol)
10:37.0,,,52-59,,P. Gasol misses free throw 1 of 1
10:34.0,Defensive rebound by T. Gibson,,52-59,,
10:18.0,R. Lopez makes 2-pt shot at rim (assist by D. Wade),2,54-59,,
9:59.0,,,54-61,2,P. Gasol makes 2-pt shot from 4 ft
9:37.0,T. Gibson makes 2-pt shot from 6 ft (assist by J. Butler),2,56-61,,
9:17.0,,,56-61,,P. Gasol misses 2-pt shot from 14 ft
9:15.0,Defensive rebound by R. Rondo,,56-61,,
9:03.0,T. Gibson makes 2-pt shot from 13 ft (assist by R. Rondo),2,58-61,,
8:43.0,,,58-61,,T. Parker misses 2-pt shot from 2 ft
8:37.0,,,58-61,,Offensive rebound by L. Aldridge
8:33.0,,,58-63,2,L. Aldridge makes 2-pt shot from 2 ft
8:24.0,R. Lopez makes 2-pt shot from 1 ft (assist by T. Gibson),2,60-63,,
8:03.0,,,60-63,,K. Leonard misses 2-pt shot from 23 ft
8:03.0,Defensive rebound by Team,,60-63,,
8:03.0,,,60-63,,M. Ginobili enters the game for D. Green
7:48.0,D. Wade misses 2-pt shot from 8 ft,,60-63,,
7:45.0,Offensive rebound by T. Gibson,,60-63,,
7:40.0,T. Gibson misses 2-pt shot from 6 ft,,60-63,,
7:38.0,Offensive rebound by R. Lopez,,60-63,,
7:33.0,D. Wade makes 3-pt shot from 25 ft (assist by J. Butler),3,63-63,,
7:19.0,Personal foul by R. Rondo (drawn by K. Leonard),,63-63,,
7:19.0,,,63-63,,P. Mills enters the game for T. Parker
7:19.0,,,63-63,,D. Lee enters the game for P. Gasol
7:11.0,,,63-63,,P. Mills misses 2-pt shot from 17 ft
7:10.0,Defensive rebound by J. Butler,,63-63,,
7:04.0,Offensive foul by T. Gibson,,63-63,,
7:04.0,Turnover by T. Gibson (offensive foul),,63-63,,
6:41.0,,,63-63,,D. Lee misses 2-pt shot from 16 ft
6:37.0,,,63-63,,Offensive rebound by K. Leonard
6:37.0,,,63-65,2,K. Leonard makes 2-pt shot at rim
6:17.0,R. Lopez misses 2-pt shot from 5 ft,,63-65,,
6:16.0,,,63-65,,Defensive rebound by M. Ginobili
6:10.0,,,63-67,2,D. Lee makes 2-pt shot from 2 ft (assist by M. Ginobili)
6:10.0,Chicago full timeout,,63-67,,
6:10.0,D. McDermott enters the game for D. Wade,,63-67,,
5:58.0,R. Rondo makes 2-pt shot from 4 ft (assist by J. Butler),2,65-67,,
5:48.0,,,65-67,,L. Aldridge misses 2-pt shot from 18 ft
5:46.0,Defensive rebound by D. McDermott,,65-67,,
5:35.0,T. Gibson makes 2-pt shot from 15 ft (assist by R. Rondo),2,67-67,,
5:19.0,,,67-67,,Shooting foul by T. Gibson (drawn by L. Aldridge)
5:19.0,,,67-67,,L. Aldridge misses free throw 1 of 2
5:19.0,,,67-67,,Offensive rebound by Team
5:19.0,,,67-67,,L. Aldridge misses free throw 2 of 2
5:19.0,N. Mirotic enters the game for T. Gibson,,67-67,,
5:18.0,Defensive rebound by J. Butler,,67-67,,
4:56.0,J. Butler makes 3-pt shot from 23 ft (assist by R. Lopez),3,70-67,,
4:44.0,,,70-69,2,L. Aldridge makes 2-pt shot from 1 ft (assist by M. Ginobili)
4:28.0,Shooting foul by L. Aldridge (drawn by R. Lopez),,70-69,,
4:28.0,R. Lopez makes free throw 1 of 2,1,71-69,,
4:28.0,R. Lopez misses free throw 2 of 2,,71-69,,
4:27.0,,,71-69,,Defensive rebound by D. Lee
4:16.0,,,71-69,,M. Ginobili misses 2-pt shot from 2 ft
4:15.0,,,71-69,,Offensive rebound by K. Leonard
4:10.0,,,71-69,,Shooting foul by J. Butler (drawn by K. Leonard)
4:10.0,,,71-70,1,K. Leonard makes free throw 1 of 2
4:10.0,,,71-71,1,K. Leonard makes free throw 2 of 2
4:10.0,,,71-70,,D. Dedmon enters the game for L. Aldridge
3:55.0,J. Butler misses 2-pt shot from 1 ft,,71-71,,
3:51.0,Offensive rebound by J. Butler,,71-71,,
3:51.0,J. Butler misses 2-pt shot from 1 ft,,71-71,,
3:48.0,,,71-71,,Defensive rebound by K. Leonard
3:43.0,,,71-71,,M. Ginobili misses 3-pt shot from 24 ft
3:42.0,Defensive rebound by J. Butler,,71-71,,
3:42.0,,,71-71,,Personal foul by D. Dedmon (drawn by J. Butler)
3:28.0,Turnover by R. Rondo (bad pass),,71-71,,
3:28.0,,,71-71,,San Antonio full timeout
3:28.0,J. Grant enters the game for R. Rondo,,71-71,,
3:20.0,,,71-71,,K. Leonard misses 2-pt shot from 2 ft
3:19.0,,,71-71,,Offensive rebound by D. Dedmon
3:19.0,,,71-73,2,D. Dedmon makes 2-pt shot at rim
3:07.0,Offensive foul by R. Lopez,,71-73,,
3:07.0,Turnover by R. Lopez (offensive foul),,71-73,,
2:52.0,,,71-75,2,D. Dedmon makes 2-pt shot at rim (assist by P. Mills)
2:40.0,Turnover by R. Lopez (bad pass),,71-75,,
2:40.0,,,71-75,,J. Simmons enters the game for K. Leonard
2:21.0,,,71-75,,J. Simmons misses 2-pt shot from 4 ft
2:18.0,,,71-75,,Offensive rebound by D. Dedmon
2:18.0,,,71-77,2,D. Dedmon makes 2-pt shot from 2 ft
2:02.0,J. Grant misses 3-pt shot from 26 ft,,71-77,,
2:01.0,,,71-77,,Defensive rebound by D. Lee
1:54.0,,,71-80,3,M. Ginobili makes 3-pt shot from 24 ft
1:54.0,Loose ball foul by D. McDermott (drawn by D. Dedmon),,71-80,,
1:54.0,,,71-81,1,D. Dedmon makes free throw 1 of 1
1:54.0,C. Felicio enters the game for R. Lopez,,71-80,,
1:54.0,D. Wade enters the game for J. Butler,,71-80,,
1:32.0,D. Wade makes 2-pt shot from 17 ft,2,73-81,,
1:16.0,,,73-83,2,P. Mills makes 2-pt shot from 3 ft (assist by D. Lee)
0:56.0,D. Wade misses 2-pt shot from 11 ft,,73-83,,
0:55.0,Offensive rebound by D. Wade,,73-83,,
0:51.0,D. Wade makes 2-pt shot from 2 ft,2,75-83,,
0:51.0,Shooting foul by J. Simmons (drawn by D. Wade),,75-83,,
0:51.0,D. Wade makes free throw 1 of 1,1,76-83,,
0:29.0,,,76-85,2,D. Lee makes 2-pt shot from 17 ft
0:14.0,Offensive foul by C. Felicio,,76-85,,
0:14.0,Turnover by C. Felicio (offensive foul),,76-85,,
0:14.0,,,76-85,,K. Leonard enters the game for D. Lee
0:04.0,,,76-87,2,D. Dedmon makes 2-pt shot from 1 ft (assist by P. Mills)
0:00.0,J. Grant misses 3-pt shot from 26 ft,,76-87,,
0:00.0,Offensive rebound by Team,,76-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,D. Wade makes 2-pt shot from 5 ft,2,78-87,,
11:31.0,,,78-87,,Offensive foul by D. Dedmon
11:31.0,,,78-87,,Turnover by D. Dedmon (offensive foul)
11:31.0,,,78-87,,T. Parker enters the game for P. Mills
11:21.0,Shooting foul by D. Dedmon (drawn by D. Wade),,78-87,,
11:21.0,D. Wade makes free throw 1 of 2,1,79-87,,
11:21.0,D. Wade makes free throw 2 of 2,1,80-87,,
11:21.0,,,79-87,,K. Leonard enters the game for J. Simmons
11:08.0,,,80-87,,Shooting foul by D. Wade (drawn by K. Leonard)
11:08.0,,,80-88,1,K. Leonard makes free throw 1 of 2
11:08.0,,,80-89,1,K. Leonard makes free throw 2 of 2
11:08.0,,,80-88,,L. Aldridge enters the game for D. Lee
11:00.0,D. Wade makes 2-pt shot from 2 ft,2,82-89,,
10:40.0,,,82-92,3,D. Green makes 3-pt shot from 25 ft
10:21.0,D. McDermott misses 2-pt shot from 7 ft,,82-92,,
10:19.0,,,82-92,,Defensive rebound by D. Dedmon
10:13.0,,,82-95,3,D. Green makes 3-pt shot from 24 ft (assist by D. Dedmon)
10:13.0,Chicago full timeout,,82-95,,
10:13.0,J. Butler enters the game for D. McDermott,,82-95,,
10:01.0,Shooting foul by K. Leonard (drawn by C. Felicio),,82-95,,
10:01.0,C. Felicio makes free throw 1 of 2,1,83-95,,
10:01.0,C. Felicio makes free throw 2 of 2,1,84-95,,
9:51.0,,,84-95,,Turnover by D. Dedmon (bad pass)
9:41.0,D. Wade makes 2-pt shot from 13 ft (assist by J. Grant),2,86-95,,
9:25.0,,,86-95,,P. Gasol enters the game for D. Dedmon
9:14.0,,,86-98,3,K. Leonard makes 3-pt shot from 25 ft (assist by D. Green)
9:02.0,N. Mirotic misses 2-pt shot from 2 ft,,86-98,,
9:02.0,Offensive rebound by C. Felicio,,86-98,,
9:02.0,C. Felicio makes 2-pt shot at rim,2,88-98,,
9:02.0,Shooting foul by L. Aldridge (drawn by C. Felicio),,88-98,,
9:02.0,C. Felicio makes free throw 1 of 1,1,89-98,,
8:41.0,,,89-98,,T. Parker misses 2-pt shot from 4 ft
8:39.0,,,89-98,,Offensive rebound by Team
8:36.0,,,89-100,2,L. Aldridge makes 2-pt shot from 11 ft (assist by T. Parker)
8:29.0,Turnover by C. Felicio (bad pass; steal by D. Green),,89-100,,
8:21.0,,,89-100,,D. Green misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by J. Grant,,89-100,,
8:14.0,Turnover by J. Grant (bad pass; steal by K. Leonard),,89-100,,
8:00.0,Jump ball: C. Felicio vs. K. Leonard (P. Gasol gains possession),,,,Jump ball: C. Felicio vs. K. Leonard (P. Gasol gains possession)
7:57.0,,,89-103,3,T. Parker makes 3-pt shot from 25 ft (assist by P. Gasol)
7:54.0,Shooting foul by P. Gasol (drawn by D. Wade),,89-103,,
7:54.0,D. Wade makes free throw 1 of 2,1,90-103,,
7:54.0,D. Wade makes free throw 2 of 2,1,91-103,,
7:54.0,R. Rondo enters the game for J. Grant,,89-103,,
7:54.0,T. Gibson enters the game for C. Felicio,,89-103,,
7:43.0,,,91-103,,T. Parker misses 2-pt shot from 5 ft
7:41.0,Defensive rebound by N. Mirotic,,91-103,,
7:32.0,J. Butler misses 2-pt shot from 6 ft,,91-103,,
7:27.0,,,91-103,,Defensive rebound by P. Gasol
7:23.0,Personal foul by J. Butler (drawn by L. Aldridge),,91-103,,
7:11.0,,,91-103,,L. Aldridge misses 2-pt shot from 8 ft
7:09.0,,,91-103,,Offensive rebound by K. Leonard
7:03.0,,,91-103,,K. Leonard misses 3-pt shot from 26 ft
7:02.0,,,91-103,,Offensive rebound by K. Leonard
6:59.0,,,91-103,,K. Leonard misses 2-pt shot from 8 ft
6:55.0,,,91-103,,Offensive rebound by L. Aldridge
6:55.0,,,91-103,,L. Aldridge misses 2-pt shot from 2 ft
6:55.0,Defensive rebound by R. Rondo,,91-103,,
6:42.0,T. Gibson misses 2-pt shot from 7 ft,,91-103,,
6:41.0,,,91-103,,Defensive rebound by P. Gasol
6:25.0,,,91-105,2,L. Aldridge makes 2-pt shot at rim (assist by T. Parker)
6:25.0,Chicago full timeout,,91-105,,
6:18.0,D. McDermott enters the game for D. Wade,,91-105,,
6:09.0,J. Butler makes 2-pt shot from 14 ft,2,93-105,,
5:50.0,,,93-105,,L. Aldridge misses 2-pt shot from 14 ft
5:48.0,Defensive rebound by R. Rondo,,93-105,,
5:30.0,J. Butler misses 2-pt shot from 8 ft,,93-105,,
5:29.0,Offensive rebound by T. Gibson,,93-105,,
5:25.0,N. Mirotic misses 3-pt shot from 25 ft,,93-105,,
5:23.0,,,93-105,,Defensive rebound by P. Gasol
5:15.0,,,93-107,2,T. Parker makes 2-pt shot from 3 ft
5:02.0,J. Butler misses 3-pt shot from 26 ft,,93-107,,
5:00.0,,,93-107,,Defensive rebound by P. Gasol
4:54.0,,,93-109,2,T. Parker makes 2-pt shot from 19 ft
4:51.0,Chicago full timeout,,93-109,,
4:51.0,,,93-109,,M. Ginobili enters the game for K. Leonard
4:38.0,J. Butler makes 2-pt shot from 10 ft,2,95-109,,
4:17.0,,,95-111,2,P. Gasol makes 2-pt shot from 2 ft
4:02.0,Turnover by R. Rondo (bad pass),,95-111,,
3:48.0,,,95-111,,T. Parker misses 2-pt shot from 1 ft
3:47.0,Defensive rebound by J. Butler,,95-111,,
3:39.0,Shooting foul by M. Ginobili (drawn by J. Butler),,95-111,,
3:39.0,J. Butler makes free throw 1 of 2,1,96-111,,
3:39.0,J. Butler makes free throw 2 of 2,1,97-111,,
3:39.0,,,96-111,,K. Leonard enters the game for D. Green
3:30.0,,,97-111,,Turnover by T. Parker (bad pass; steal by N. Mirotic)
3:18.0,T. Gibson misses 2-pt shot from 5 ft (block by P. Gasol),,97-111,,
3:15.0,,,97-111,,Defensive rebound by T. Parker
3:10.0,,,97-113,2,T. Parker makes 2-pt shot from 2 ft
