time,LA Lakers,pts.away,score,pts.home,Houston
8:54.0,Official timeout,,30-46,,
8:54.0,,,30-46,,Turnover by Team (5 sec inbounds)
8:38.0,C. Brewer misses 2-pt shot from 1 ft,,30-46,,
8:38.0,,,30-46,,Defensive rebound by C. Capela
8:29.0,,,30-49,3,L. Williams makes 3-pt shot from 25 ft (assist by E. Gordon)
8:11.0,N. Young misses 3-pt shot from 26 ft,,30-49,,
8:10.0,,,30-49,,Defensive rebound by P. Beverley
8:05.0,,,30-49,,Offensive foul by P. Beverley
8:05.0,,,30-49,,Turnover by P. Beverley (offensive foul)
8:05.0,J. Clarkson enters the game for C. Brewer,,30-49,,
8:05.0,J. Randle enters the game for T. Ennis,,30-49,,
7:48.0,T. Black misses 2-pt shot from 5 ft,,30-49,,
7:48.0,,,30-49,,Defensive rebound by C. Capela
7:38.0,,,30-49,,S. Dekker misses 3-pt shot from 24 ft
7:37.0,Defensive rebound by T. Black,,30-49,,
7:22.0,J. Randle makes 2-pt shot from 1 ft,2,32-49,,
7:10.0,,,32-49,,Shooting foul by D. Russell (drawn by P. Beverley)
7:10.0,,,32-50,1,P. Beverley makes free throw 1 of 2
7:10.0,,,32-51,1,P. Beverley makes free throw 2 of 2
7:10.0,B. Ingram enters the game for D. Russell,,32-50,,
7:10.0,,,32-50,,R. Anderson enters the game for S. Dekker
7:10.0,,,32-50,,J. Harden enters the game for E. Gordon
6:54.0,J. Clarkson makes 2-pt shot from 7 ft,2,34-51,,
6:45.0,,,34-51,,Turnover by J. Harden (bad pass; steal by T. Black)
6:41.0,J. Randle makes 2-pt shot from 4 ft,2,36-51,,
6:41.0,Shooting foul by R. Anderson (drawn by J. Randle),,36-51,,
6:41.0,J. Randle makes free throw 1 of 1,1,37-51,,
6:20.0,,,37-54,3,L. Williams makes 3-pt shot from 24 ft (assist by R. Anderson)
6:08.0,,,37-54,,Personal foul by R. Anderson (drawn by J. Clarkson)
5:59.0,J. Clarkson misses 2-pt shot from 1 ft,,37-54,,
5:58.0,Offensive rebound by J. Randle,,37-54,,
5:53.0,N. Young misses 2-pt shot from 22 ft,,37-54,,
5:53.0,,,37-54,,Defensive rebound by C. Capela
5:51.0,,,37-54,,Turnover by J. Harden (bad pass)
5:51.0,,,37-54,,Houston full timeout
5:51.0,,,37-54,,T. Ariza enters the game for P. Beverley
5:33.0,J. Randle misses 2-pt shot at rim,,37-54,,
5:32.0,Offensive rebound by J. Randle,,37-54,,
5:30.0,Offensive foul by J. Randle,,37-54,,
5:30.0,Turnover by J. Randle (offensive foul),,37-54,,
5:30.0,,,37-54,,M. Harrell enters the game for C. Capela
5:30.0,I. Zubac enters the game for T. Black,,37-54,,
5:30.0,,,37-54,,E. Gordon enters the game for R. Anderson
5:17.0,,,37-54,,Turnover by J. Harden (bad pass; steal by J. Clarkson)
5:14.0,J. Randle makes 2-pt shot from 1 ft (assist by J. Clarkson),2,39-54,,
5:14.0,Shooting foul by L. Williams (drawn by J. Randle),,39-54,,
5:14.0,J. Randle makes free throw 1 of 1,1,40-54,,
5:04.0,,,40-54,,Shooting foul by I. Zubac (drawn by M. Harrell)
5:04.0,,,40-54,,M. Harrell misses free throw 1 of 2
5:04.0,,,40-54,,Offensive rebound by Team
5:04.0,,,40-55,1,M. Harrell makes free throw 2 of 2
5:04.0,D. Russell enters the game for I. Zubac,,40-54,,
4:45.0,B. Ingram makes 2-pt shot from 19 ft,2,42-55,,
4:35.0,,,42-58,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
4:15.0,Shooting foul by T. Ariza (drawn by J. Randle),,42-58,,
4:15.0,J. Randle misses free throw 1 of 2,,42-58,,
4:15.0,Offensive rebound by Team,,42-58,,
4:15.0,J. Randle makes free throw 2 of 2,1,43-58,,
4:06.0,,,43-58,,M. Harrell misses 2-pt shot at rim
4:05.0,Defensive rebound by J. Randle,,43-58,,
4:00.0,J. Randle makes 2-pt shot from 1 ft,2,45-58,,
3:48.0,,,45-58,,Turnover by J. Harden (bad pass; steal by B. Ingram)
3:37.0,Shooting foul by M. Harrell (drawn by J. Randle),,45-58,,
3:37.0,J. Randle misses free throw 1 of 2,,45-58,,
3:37.0,Offensive rebound by Team,,45-58,,
3:37.0,J. Randle misses free throw 2 of 2,,45-58,,
3:37.0,,,45-58,,Defensive rebound by J. Harden
3:25.0,,,45-58,,Turnover by J. Harden (bad pass; steal by D. Russell)
3:19.0,J. Clarkson misses 2-pt shot from 1 ft,,45-58,,
3:17.0,Offensive rebound by B. Ingram,,45-58,,
3:17.0,B. Ingram makes 2-pt shot from 1 ft,2,47-58,,
3:06.0,,,47-60,2,L. Williams makes 2-pt shot at rim (assist by J. Harden)
2:56.0,LA Lakers full timeout,,47-60,,
2:37.0,D. Russell misses 3-pt shot from 24 ft,,47-60,,
2:34.0,,,47-60,,Defensive rebound by L. Williams
2:27.0,,,47-62,2,J. Harden makes 2-pt shot from 1 ft
2:10.0,B. Ingram misses 2-pt shot from 2 ft (block by M. Harrell),,47-62,,
2:09.0,Offensive rebound by Team,,47-62,,
2:05.0,Shooting foul by L. Williams (drawn by D. Russell),,47-62,,
2:05.0,D. Russell misses free throw 1 of 2,,47-62,,
2:05.0,Offensive rebound by Team,,47-62,,
2:05.0,D. Russell makes free throw 2 of 2,1,48-62,,
2:05.0,,,47-62,,P. Beverley enters the game for L. Williams
1:48.0,,,48-62,,J. Harden misses 3-pt shot from 24 ft
1:47.0,,,48-62,,Offensive rebound by Team
1:28.0,,,48-65,3,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza)
1:03.0,J. Clarkson misses 3-pt shot from 24 ft,,48-65,,
1:02.0,,,48-65,,Defensive rebound by E. Gordon
0:55.0,,,48-65,,T. Ariza misses 3-pt shot from 24 ft
0:54.0,Defensive rebound by J. Randle,,48-65,,
0:50.0,B. Ingram makes 2-pt shot at rim (assist by J. Randle),2,50-65,,
0:45.0,,,50-65,,Shooting foul by J. Randle (drawn by M. Harrell)
0:45.0,,,50-66,1,M. Harrell makes free throw 1 of 2
0:45.0,,,50-66,,M. Harrell misses free throw 2 of 2
0:45.0,Defensive rebound by B. Ingram,,50-66,,
0:33.0,J. Clarkson makes 2-pt shot from 2 ft,2,52-66,,
0:26.0,,,52-66,,E. Gordon misses 3-pt shot from 25 ft
0:25.0,,,52-66,,Offensive rebound by Team
0:01.0,,,52-66,,Turnover by Team (shot clock)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,N. Young misses 3-pt shot from 25 ft,,52-66,,
11:41.0,,,52-66,,Defensive rebound by T. Ariza
11:15.0,,,52-66,,R. Anderson misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by N. Young,,52-66,,
11:11.0,,,52-66,,Personal foul by P. Beverley (drawn by N. Young)
10:56.0,J. Randle makes 2-pt shot from 7 ft,2,54-66,,
10:44.0,,,54-66,,J. Harden misses 3-pt shot from 25 ft
10:43.0,,,54-66,,Offensive rebound by C. Capela
10:39.0,,,54-66,,Turnover by C. Capela (lost ball)
10:39.0,,,54-66,,Loose ball foul by C. Capela (drawn by N. Young)
10:23.0,J. Randle makes 2-pt shot from 8 ft,2,56-66,,
10:08.0,,,56-66,,Shooting foul by J. Randle (drawn by C. Capela)
10:08.0,,,56-67,1,C. Capela makes free throw 1 of 2
10:08.0,,,56-67,,C. Capela misses free throw 2 of 2
10:08.0,,,56-67,,Offensive rebound by R. Anderson
10:08.0,D. Russell enters the game for N. Young,,56-67,,
9:58.0,,,56-67,,Turnover by J. Harden (bad pass)
9:41.0,B. Ingram makes 3-pt shot from 24 ft (assist by J. Clarkson),3,59-67,,
9:26.0,,,59-70,3,T. Ariza makes 3-pt shot from 24 ft (assist by P. Beverley)
9:15.0,Turnover by J. Clarkson (bad pass; steal by T. Ariza),,59-70,,
9:03.0,,,59-70,,Turnover by C. Capela (bad pass; steal by J. Clarkson)
8:57.0,J. Randle makes 2-pt shot from 1 ft (assist by D. Russell),2,61-70,,
8:42.0,,,61-70,,Shooting foul by D. Russell (drawn by P. Beverley)
8:42.0,,,61-71,1,P. Beverley makes free throw 1 of 2
8:42.0,,,61-72,1,P. Beverley makes free throw 2 of 2
8:37.0,Offensive foul by D. Russell,,61-72,,
8:37.0,Turnover by D. Russell (offensive foul),,61-72,,
8:32.0,,,61-72,,R. Anderson misses 2-pt shot from 18 ft
8:30.0,Defensive rebound by I. Zubac,,61-72,,
8:16.0,D. Russell misses 3-pt shot from 25 ft,,61-72,,
8:15.0,,,61-72,,Defensive rebound by T. Ariza
8:06.0,,,61-72,,Shooting foul by I. Zubac (drawn by C. Capela)
8:06.0,,,61-73,1,C. Capela makes free throw 1 of 2
8:06.0,,,61-74,1,C. Capela makes free throw 2 of 2
8:06.0,C. Brewer enters the game for I. Zubac,,61-73,,
7:52.0,J. Randle makes 2-pt shot at rim,2,63-74,,
7:42.0,,,63-74,,Shooting foul by B. Ingram (drawn by C. Capela)
7:42.0,,,63-75,1,C. Capela makes free throw 1 of 2
7:42.0,,,63-75,,C. Capela misses free throw 2 of 2
7:42.0,,,63-75,,Offensive rebound by T. Ariza
7:38.0,,,63-75,,Turnover by T. Ariza (traveling)
7:22.0,J. Clarkson makes 2-pt shot from 1 ft,2,65-75,,
7:05.0,Personal foul by D. Russell (drawn by P. Beverley),,65-75,,
7:05.0,,,65-76,1,P. Beverley makes free throw 1 of 2
7:05.0,,,65-77,1,P. Beverley makes free throw 2 of 2
7:05.0,,,65-76,,N. Hilario enters the game for C. Capela
7:05.0,D. Nwaba enters the game for D. Russell,,65-76,,
6:47.0,C. Brewer misses 3-pt shot from 24 ft,,65-77,,
6:45.0,,,65-77,,Defensive rebound by J. Harden
6:42.0,,,65-77,,Turnover by J. Harden (bad pass)
6:34.0,B. Ingram makes 3-pt shot from 24 ft (assist by J. Clarkson),3,68-77,,
6:23.0,,,68-79,2,N. Hilario makes 2-pt shot at rim (assist by J. Harden)
6:00.0,J. Clarkson makes 3-pt shot from 25 ft (assist by B. Ingram),3,71-79,,
5:48.0,,,71-79,,J. Harden misses 3-pt shot from 24 ft
5:47.0,Defensive rebound by B. Ingram,,71-79,,
5:33.0,J. Randle misses 2-pt shot from 24 ft,,71-79,,
5:32.0,,,71-79,,Defensive rebound by P. Beverley
5:21.0,,,71-79,,R. Anderson misses 3-pt shot from 24 ft
5:20.0,,,71-79,,Offensive rebound by N. Hilario
5:13.0,,,71-79,,Shooting foul by B. Ingram (drawn by J. Harden)
5:13.0,,,71-79,,Houston full timeout
5:13.0,Violation by Team (jump ball),,71-79,,
5:13.0,,,71-79,,J. Harden misses free throw 1 of 3
5:13.0,,,71-79,,Offensive rebound by Team
5:13.0,,,71-80,1,J. Harden makes free throw 2 of 3
5:13.0,,,71-81,1,J. Harden makes free throw 3 of 3
5:13.0,,,71-79,,L. Williams enters the game for R. Anderson
5:13.0,,,71-79,,E. Gordon enters the game for P. Beverley
4:55.0,B. Ingram misses 2-pt shot from 9 ft,,71-81,,
4:53.0,,,71-81,,Defensive rebound by N. Hilario
4:46.0,,,71-84,3,T. Ariza makes 3-pt shot from 23 ft (assist by J. Harden)
4:25.0,Offensive foul by J. Randle,,71-84,,
4:25.0,Turnover by J. Randle (offensive foul),,71-84,,
4:07.0,,,71-84,,L. Williams misses 3-pt shot from 23 ft
4:06.0,,,71-84,,Offensive rebound by J. Harden
3:59.0,,,71-86,2,N. Hilario makes 2-pt shot at rim (assist by L. Williams)
3:44.0,J. Clarkson misses 2-pt shot from 1 ft (block by N. Hilario),,71-86,,
3:42.0,Offensive rebound by J. Randle,,71-86,,
3:42.0,,,71-86,,Personal foul by E. Gordon (drawn by J. Randle)
3:42.0,T. Black enters the game for J. Randle,,71-86,,
3:38.0,,,71-86,,Personal foul by E. Gordon (drawn by J. Clarkson)
3:31.0,B. Ingram misses 3-pt shot from 23 ft,,71-86,,
3:30.0,Offensive rebound by T. Black,,71-86,,
3:25.0,D. Nwaba misses 2-pt shot from 1 ft,,71-86,,
3:25.0,,,71-86,,Defensive rebound by N. Hilario
3:17.0,,,71-86,,Turnover by J. Harden (bad pass; steal by T. Black)
3:12.0,C. Brewer makes 2-pt shot at rim (assist by D. Nwaba),2,73-86,,
2:48.0,,,73-86,,L. Williams misses 2-pt shot from 9 ft
2:47.0,Defensive rebound by T. Black,,73-86,,
2:38.0,LA Lakers full timeout,,73-86,,
2:27.0,Shooting foul by E. Gordon (drawn by J. Clarkson),,73-86,,
2:27.0,J. Clarkson makes free throw 1 of 3,1,74-86,,
2:27.0,J. Clarkson makes free throw 2 of 3,1,75-86,,
2:27.0,J. Clarkson misses free throw 3 of 3,,75-86,,
2:27.0,,,75-86,,Defensive rebound by J. Harden
2:12.0,,,75-86,,E. Gordon misses 3-pt shot from 25 ft
2:11.0,Defensive rebound by C. Brewer,,75-86,,
2:04.0,J. Clarkson misses 3-pt shot from 24 ft,,75-86,,
2:03.0,,,75-86,,Defensive rebound by L. Williams
1:52.0,,,75-86,,L. Williams misses 2-pt shot from 17 ft
1:51.0,Defensive rebound by T. Black,,75-86,,
1:41.0,C. Brewer misses 3-pt shot from 25 ft,,75-86,,
1:40.0,,,75-86,,Defensive rebound by J. Harden
1:26.0,,,75-86,,N. Hilario misses 2-pt shot from 4 ft
1:25.0,Defensive rebound by T. Black,,75-86,,
1:20.0,Turnover by C. Brewer (traveling),,75-86,,
1:02.0,,,75-86,,E. Gordon misses 2-pt shot from 6 ft
1:01.0,,,75-86,,Offensive rebound by J. Harden
1:00.0,,,75-88,2,J. Harden makes 2-pt shot from 1 ft
0:51.0,Turnover by J. Clarkson (lost ball; steal by N. Hilario),,75-88,,
0:47.0,,,75-90,2,T. Ariza makes 2-pt shot at rim (assist by L. Williams)
0:47.0,,,75-90,,Shooting foul by D. Nwaba (drawn by T. Ariza)
0:47.0,,,75-91,1,T. Ariza makes free throw 1 of 1
0:35.0,B. Ingram misses 2-pt shot from 15 ft,,75-91,,
0:34.0,,,75-91,,Defensive rebound by J. Harden
0:29.0,,,75-91,,E. Gordon misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by T. Black,,75-91,,
0:05.0,J. Clarkson misses 2-pt shot from 15 ft (block by E. Gordon),,75-91,,
0:05.0,Offensive rebound by Team,,75-91,,
0:05.0,Turnover by Team (shot clock),,75-91,,
0:00.0,,,75-93,2,N. Hilario makes 2-pt shot from 1 ft (assist by J. Harden)
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,,,75-96,3,L. Williams makes 3-pt shot from 24 ft (assist by P. Beverley)
11:32.0,D. Nwaba makes 2-pt shot from 1 ft (assist by B. Ingram),2,77-96,,
11:15.0,,,77-99,3,L. Williams makes 3-pt shot from 25 ft (assist by C. Capela)
11:13.0,LA Lakers full timeout,,77-99,,
10:56.0,J. Randle makes 2-pt shot from 6 ft (assist by B. Ingram),2,79-99,,
10:38.0,,,79-101,2,C. Capela makes 2-pt shot at rim (assist by L. Williams)
10:24.0,N. Young misses 3-pt shot from 24 ft,,79-101,,
10:23.0,,,79-101,,Defensive rebound by S. Dekker
10:13.0,,,79-101,,L. Williams misses 2-pt shot from 13 ft
10:13.0,Defensive rebound by D. Russell,,79-101,,
10:06.0,D. Nwaba misses 2-pt shot at rim,,79-101,,
10:06.0,,,79-101,,Defensive rebound by S. Dekker
9:55.0,,,79-101,,P. Beverley misses 3-pt shot from 25 ft
9:53.0,Defensive rebound by N. Young,,79-101,,
9:43.0,,,79-101,,Violation by C. Capela (kicked ball)
9:31.0,D. Russell misses 2-pt shot at rim,,79-101,,
9:30.0,,,79-101,,Defensive rebound by L. Williams
9:24.0,,,79-101,,C. Capela misses 2-pt shot from 1 ft
9:24.0,Defensive rebound by N. Young,,79-101,,
9:14.0,N. Young misses 3-pt shot from 24 ft,,79-101,,
9:12.0,Offensive rebound by D. Nwaba,,79-101,,
9:05.0,N. Young misses 3-pt shot from 25 ft,,79-101,,
9:05.0,,,79-101,,Defensive rebound by L. Williams
8:56.0,,,79-101,,L. Williams misses 2-pt shot at rim
8:56.0,,,79-101,,Offensive rebound by S. Dekker
8:56.0,,,79-103,2,S. Dekker makes 2-pt shot from 1 ft
8:32.0,B. Ingram misses 2-pt shot from 1 ft,,79-103,,
8:31.0,,,79-103,,Defensive rebound by Team
8:31.0,J. Clarkson enters the game for B. Ingram,,79-103,,
8:31.0,C. Brewer enters the game for N. Young,,79-103,,
8:18.0,,,79-103,,P. Beverley misses 2-pt shot from 6 ft
8:17.0,Defensive rebound by C. Brewer,,79-103,,
8:10.0,D. Russell misses 3-pt shot from 24 ft,,79-103,,
8:09.0,,,79-103,,Defensive rebound by P. Beverley
8:00.0,,,79-106,3,E. Gordon makes 3-pt shot from 24 ft (assist by S. Dekker)
7:46.0,Turnover by D. Russell (bad pass; steal by E. Gordon),,79-106,,
7:41.0,,,79-106,,S. Dekker misses 2-pt shot from 2 ft
7:38.0,,,79-106,,Offensive rebound by E. Gordon
7:37.0,,,79-108,2,S. Dekker makes 2-pt shot from 1 ft (assist by E. Gordon)
7:37.0,LA Lakers full timeout,,79-108,,
7:37.0,,,79-108,,M. Harrell enters the game for C. Capela
7:19.0,D. Nwaba makes 2-pt shot from 1 ft (assist by J. Randle),2,81-108,,
7:02.0,,,81-110,2,S. Dekker makes 2-pt shot at rim (assist by P. Beverley)
6:46.0,,,81-110,,Personal foul by P. Beverley (drawn by D. Russell)
6:40.0,Offensive charge foul by D. Russell,,81-110,,
