time,Cleveland,pts.away,score,pts.home,Washington
11:10.0,,,28-33,,T. Burke misses 2-pt shot from 16 ft
11:09.0,Defensive rebound by L. James,,28-33,,
11:05.0,Turnover by I. Shumpert (bad pass),,28-33,,
10:52.0,,,28-33,,Turnover by M. Morris (bad pass; steal by I. Shumpert)
10:43.0,K. Felder misses 2-pt shot from 17 ft,,28-33,,
10:42.0,,,28-33,,Defensive rebound by K. Oubre
10:35.0,,,28-33,,T. Satoransky misses 2-pt shot from 6 ft
10:34.0,Defensive rebound by L. James,,28-33,,
10:23.0,M. Dunleavy misses 3-pt shot from 26 ft,,28-33,,
10:22.0,,,28-33,,Defensive rebound by K. Oubre
10:10.0,,,28-33,,M. Morris misses 3-pt shot from 26 ft
10:09.0,Defensive rebound by Team,,28-33,,
10:09.0,,,28-33,,Loose ball foul by J. Smith (drawn by C. Frye)
9:57.0,C. Frye misses 2-pt shot from 1 ft,,28-33,,
9:56.0,,,28-33,,Defensive rebound by J. Smith
9:51.0,,,28-35,2,M. Morris makes 2-pt shot from 1 ft (assist by T. Burke)
9:51.0,,,28-35,,Shooting foul by K. Felder (drawn by M. Morris)
9:51.0,,,28-36,1,M. Morris makes free throw 1 of 1
9:30.0,C. Frye makes 3-pt shot from 28 ft (assist by L. James),3,31-36,,
9:14.0,,,31-38,2,T. Burke makes 2-pt shot from 17 ft (assist by M. Morris)
8:53.0,C. Frye misses 3-pt shot from 26 ft,,31-38,,
8:52.0,Offensive rebound by I. Shumpert,,31-38,,
8:47.0,Turnover by L. James (3 sec),,31-38,,
8:47.0,Official timeout,,31-38,,
8:39.0,,,31-38,,Turnover by T. Satoransky (bad pass; steal by I. Shumpert)
8:35.0,I. Shumpert makes 2-pt shot at rim (assist by C. Frye),2,33-38,,
8:16.0,,,33-38,,T. Satoransky misses 2-pt shot from 6 ft
8:15.0,Defensive rebound by K. Felder,,33-38,,
8:08.0,I. Shumpert misses 3-pt shot from 26 ft,,33-38,,
8:07.0,,,33-38,,Defensive rebound by K. Oubre
7:51.0,,,33-38,,T. Burke misses 2-pt shot from 17 ft
7:49.0,Defensive rebound by K. Felder,,33-38,,
7:43.0,M. Dunleavy misses 3-pt shot from 26 ft,,33-38,,
7:41.0,,,33-38,,Defensive rebound by J. Smith
7:28.0,,,33-40,2,T. Satoransky makes 2-pt shot from 18 ft
7:09.0,C. Frye misses 2-pt shot from 15 ft,,33-40,,
7:08.0,,,33-40,,Defensive rebound by K. Oubre
6:58.0,Personal foul by M. Dunleavy (drawn by T. Satoransky),,33-40,,
6:58.0,K. Irving enters the game for K. Felder,,33-40,,
6:58.0,K. Love enters the game for C. Frye,,33-40,,
6:58.0,,,33-40,,J. Wall enters the game for T. Satoransky
6:50.0,,,33-43,3,M. Morris makes 3-pt shot from 27 ft (assist by T. Burke)
6:49.0,,,33-43,,Violation by Team (delay of game)
6:36.0,M. Dunleavy misses 3-pt shot from 25 ft,,33-43,,
6:35.0,,,33-43,,Defensive rebound by Team
6:21.0,,,33-45,2,J. Wall makes 2-pt shot from 17 ft
6:19.0,Cleveland full timeout,,33-45,,
6:19.0,,,33-45,,M. Gortat enters the game for J. Smith
6:19.0,T. Thompson enters the game for L. James,,33-45,,
6:19.0,J. Smith enters the game for M. Dunleavy,,33-45,,
6:11.0,K. Irving makes 2-pt shot from 2 ft,2,35-45,,
6:11.0,Shooting foul by J. Wall (drawn by K. Irving),,35-45,,
6:11.0,K. Irving makes free throw 1 of 1,1,36-45,,
5:56.0,,,36-45,,M. Gortat misses 2-pt shot from 1 ft (block by T. Thompson)
5:55.0,Defensive rebound by K. Irving,,36-45,,
5:48.0,T. Thompson misses 2-pt shot at rim,,36-45,,
5:47.0,,,36-45,,Defensive rebound by M. Gortat
5:31.0,,,36-45,,Turnover by J. Wall (bad pass)
5:31.0,,,36-45,,M. Thornton enters the game for T. Burke
5:18.0,K. Irving makes 2-pt shot from 1 ft,2,38-45,,
5:18.0,Shooting foul by M. Gortat (drawn by K. Irving),,38-45,,
5:18.0,K. Irving makes free throw 1 of 1,1,39-45,,
5:18.0,,,38-45,,O. Porter enters the game for K. Oubre
5:08.0,Personal foul by T. Thompson (drawn by M. Morris),,39-45,,
5:00.0,,,39-45,,M. Thornton misses 2-pt shot from 1 ft (block by T. Thompson)
4:59.0,,,39-45,,Offensive rebound by Team
4:54.0,,,39-45,,J. Wall misses 2-pt shot from 20 ft
4:53.0,Defensive rebound by K. Love,,39-45,,
4:45.0,K. Irving misses 2-pt shot from 4 ft,,39-45,,
4:44.0,,,39-45,,Defensive rebound by M. Gortat
4:39.0,,,39-47,2,J. Wall makes 2-pt shot at rim
4:20.0,J. Smith makes 3-pt shot from 29 ft (assist by K. Irving),3,42-47,,
3:55.0,,,42-47,,J. Wall misses 3-pt shot from 28 ft
3:54.0,,,42-47,,Offensive rebound by Team
3:54.0,L. James enters the game for I. Shumpert,,42-47,,
3:50.0,,,42-49,2,J. Wall makes 2-pt shot from 1 ft (assist by O. Porter)
3:50.0,,,42-49,,Shooting foul by K. Irving (drawn by J. Wall)
3:50.0,,,42-50,1,J. Wall makes free throw 1 of 1
3:34.0,,,42-50,,Violation by M. Morris (kicked ball)
3:27.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,44-50,,
3:24.0,,,44-50,,Washington full timeout
3:14.0,,,44-50,,Shooting foul by T. Thompson (drawn by M. Gortat)
3:14.0,,,44-50,,M. Gortat misses free throw 1 of 2
3:14.0,,,44-50,,Offensive rebound by Team
3:14.0,,,44-50,,M. Gortat misses free throw 2 of 2
3:12.0,Defensive rebound by K. Love,,44-50,,
2:53.0,L. James makes 3-pt shot from 24 ft (assist by T. Thompson),3,47-50,,
2:36.0,,,47-52,2,J. Wall makes 2-pt shot from 13 ft
2:21.0,K. Irving makes 2-pt shot from 1 ft,2,49-52,,
2:05.0,,,49-52,,M. Thornton misses 2-pt shot from 16 ft
2:05.0,Defensive rebound by T. Thompson,,49-52,,
1:55.0,K. Irving misses 3-pt shot from 23 ft,,49-52,,
1:54.0,Offensive rebound by T. Thompson,,49-52,,
1:34.0,L. James makes 2-pt shot from 19 ft,2,51-52,,
1:20.0,,,51-54,2,J. Wall makes 2-pt shot from 8 ft
1:00.0,Shooting foul by M. Gortat (drawn by K. Love),,51-54,,
1:00.0,K. Love makes 2-pt shot from 1 ft (assist by K. Irving),2,53-54,,
1:00.0,K. Love makes free throw 1 of 1,1,54-54,,
1:00.0,,,54-54,,Washington full timeout
1:00.0,I. Shumpert enters the game for T. Thompson,,54-54,,
1:00.0,,,54-54,,J. Smith enters the game for M. Gortat
0:48.0,Personal foul by I. Shumpert (drawn by M. Morris),,54-54,,
0:48.0,,,54-55,1,M. Morris makes free throw 1 of 2
0:48.0,,,54-56,1,M. Morris makes free throw 2 of 2
0:38.0,,,54-56,,Personal foul by J. Smith (drawn by K. Love)
0:38.0,K. Love makes free throw 1 of 2,1,55-56,,
0:38.0,K. Love makes free throw 2 of 2,1,56-56,,
0:26.0,,,56-56,,J. Wall misses 2-pt shot from 18 ft
0:26.0,Defensive rebound by Team,,56-56,,
0:26.0,,,56-56,,Loose ball foul by J. Smith (drawn by J. Smith)
0:26.0,J. Smith makes free throw 1 of 2,1,57-56,,
0:26.0,J. Smith makes free throw 2 of 2,1,58-56,,
0:02.0,,,58-56,,J. Wall misses 2-pt shot from 3 ft
0:02.0,Defensive rebound by K. Love,,58-56,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,58-58,2,O. Porter makes 2-pt shot from 14 ft (assist by M. Gortat)
11:13.0,J. Smith misses 3-pt shot from 32 ft,,58-58,,
11:12.0,Offensive rebound by K. Love,,58-58,,
11:10.0,K. Love misses 2-pt shot from 1 ft (block by M. Morris),,58-58,,
11:10.0,Offensive rebound by Team,,58-58,,
10:58.0,T. Thompson misses 2-pt shot from 11 ft,,58-58,,
10:57.0,,,58-58,,Defensive rebound by O. Porter
10:43.0,,,58-58,,M. Gortat misses 2-pt shot from 8 ft
10:42.0,Defensive rebound by J. Smith,,58-58,,
10:33.0,K. Irving makes 3-pt shot from 28 ft,3,61-58,,
10:23.0,,,61-58,,Turnover by O. Porter (bad pass; steal by J. Smith)
10:18.0,Turnover by L. James (lost ball; steal by M. Morris),,61-58,,
10:15.0,,,61-58,,Shooting foul by J. Smith (drawn by M. Morris)
10:15.0,,,61-59,1,M. Morris makes free throw 1 of 2
10:15.0,,,61-60,1,M. Morris makes free throw 2 of 2
10:04.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,64-60,,
9:47.0,,,64-60,,Turnover by M. Thornton (traveling)
9:27.0,J. Smith misses 3-pt shot from 31 ft,,64-60,,
9:25.0,Offensive rebound by T. Thompson,,64-60,,
9:14.0,Turnover by K. Love (bad pass),,64-60,,
9:02.0,,,64-60,,O. Porter misses 3-pt shot from 29 ft
9:01.0,Defensive rebound by K. Love,,64-60,,
8:56.0,L. James misses 2-pt shot from 1 ft,,64-60,,
8:55.0,,,64-60,,Defensive rebound by M. Gortat
8:44.0,,,64-62,2,M. Gortat makes 2-pt shot at rim (assist by M. Thornton)
8:30.0,K. Irving makes 3-pt shot from 26 ft,3,67-62,,
8:10.0,Flagrant foul type 1 by J. Smith (drawn by M. Thornton),,67-62,,
8:10.0,,,67-63,1,M. Thornton makes flagrant free throw 1 of 2
8:10.0,,,67-64,1,M. Thornton makes flagrant free throw 2 of 2
7:58.0,,,67-64,,M. Thornton misses 2-pt shot from 18 ft
7:56.0,Defensive rebound by J. Smith,,67-64,,
7:50.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,70-64,,
7:49.0,,,70-64,,Washington full timeout
7:35.0,,,70-66,2,M. Morris makes 2-pt shot from 15 ft
7:23.0,L. James misses 2-pt shot from 5 ft,,70-66,,
7:22.0,,,70-66,,Defensive rebound by M. Gortat
7:14.0,,,70-66,,J. Wall misses 2-pt shot from 2 ft (block by L. James)
7:13.0,,,70-66,,Offensive rebound by J. Wall
7:12.0,,,70-66,,J. Wall misses 2-pt shot from 4 ft
7:12.0,,,70-66,,Offensive rebound by Team
7:08.0,Loose ball foul by K. Love (drawn by O. Porter),,70-66,,
7:08.0,Personal foul by K. Irving (drawn by J. Wall),,70-66,,
6:56.0,,,70-66,,O. Porter misses 2-pt shot from 18 ft
6:54.0,Defensive rebound by K. Love,,70-66,,
6:40.0,K. Irving misses 2-pt shot from 3 ft,,70-66,,
6:38.0,,,70-66,,Defensive rebound by M. Gortat
6:33.0,,,70-66,,Shooting foul by T. Thompson (drawn by J. Wall)
6:33.0,,,70-66,,J. Wall misses free throw 1 of 2
6:33.0,,,70-66,,Offensive rebound by Team
6:33.0,,,70-66,,J. Wall misses free throw 2 of 2
6:32.0,Defensive rebound by K. Love,,70-66,,
6:09.0,L. James makes 2-pt shot from 21 ft,2,72-66,,
6:00.0,,,72-66,,Turnover by M. Gortat (lost ball)
5:47.0,K. Love misses 3-pt shot from 25 ft,,72-66,,
5:45.0,,,72-66,,Defensive rebound by M. Gortat
5:39.0,,,72-66,,J. Wall misses 2-pt shot from 6 ft
5:37.0,,,72-66,,Offensive rebound by M. Morris
5:34.0,,,72-66,,M. Morris misses 2-pt shot from 2 ft (block by T. Thompson)
5:33.0,Defensive rebound by T. Thompson,,72-66,,
5:30.0,K. Irving misses 2-pt shot from 1 ft (block by J. Wall),,72-66,,
5:28.0,Offensive rebound by K. Love,,72-66,,
5:24.0,T. Thompson misses 2-pt shot from 2 ft,,72-66,,
5:24.0,Offensive rebound by T. Thompson,,72-66,,
5:24.0,K. Love misses 2-pt shot at rim,,72-66,,
5:24.0,,,72-66,,Defensive rebound by M. Thornton
5:19.0,,,72-68,2,O. Porter makes 2-pt shot from 16 ft
5:16.0,Cleveland full timeout,,72-68,,
5:16.0,,,72-68,,T. Satoransky enters the game for M. Thornton
5:16.0,C. Frye enters the game for T. Thompson,,72-68,,
5:01.0,Turnover by C. Frye (bad pass; steal by M. Gortat),,72-68,,
4:55.0,,,72-68,,T. Satoransky misses 2-pt shot from 2 ft
4:54.0,Defensive rebound by L. James,,72-68,,
4:49.0,L. James makes 2-pt shot from 1 ft,2,74-68,,
4:49.0,Shooting foul by M. Morris (drawn by L. James),,74-68,,
4:49.0,L. James makes free throw 1 of 1,1,75-68,,
4:38.0,,,75-68,,Shooting foul by K. Love (drawn by M. Morris)
4:38.0,,,75-69,1,M. Morris makes free throw 1 of 2
4:38.0,,,75-70,1,M. Morris makes free throw 2 of 2
4:24.0,Turnover by K. Love (lost ball; steal by T. Satoransky),,75-70,,
4:14.0,,,75-70,,M. Morris misses 2-pt shot from 18 ft
4:13.0,,,75-70,,Offensive rebound by Team
4:11.0,,,75-70,,Turnover by O. Porter (bad pass; steal by K. Love)
4:10.0,,,75-70,,K. Oubre enters the game for M. Morris
3:47.0,C. Frye misses 3-pt shot from 26 ft,,75-70,,
3:46.0,Offensive rebound by K. Love,,75-70,,
3:38.0,K. Love misses 2-pt shot from 12 ft,,75-70,,
3:38.0,,,75-70,,Defensive rebound by M. Gortat
3:27.0,,,75-70,,J. Wall misses 2-pt shot from 1 ft
3:26.0,Defensive rebound by L. James,,75-70,,
3:18.0,J. Smith misses 3-pt shot from 24 ft,,75-70,,
3:17.0,Offensive rebound by K. Love,,75-70,,
3:14.0,K. Love misses 2-pt shot from 1 ft (block by K. Oubre),,75-70,,
3:12.0,Offensive rebound by K. Love,,75-70,,
3:11.0,K. Love misses 2-pt shot from 1 ft (block by O. Porter),,75-70,,
3:10.0,Offensive rebound by K. Love,,75-70,,
3:10.0,Shooting foul by O. Porter (drawn by K. Love),,75-70,,
3:10.0,K. Love makes free throw 1 of 2,1,76-70,,
3:10.0,K. Love makes free throw 2 of 2,1,77-70,,
3:10.0,I. Shumpert enters the game for L. James,,76-70,,
2:58.0,,,77-70,,O. Porter misses 2-pt shot from 8 ft
2:57.0,Defensive rebound by K. Love,,77-70,,
2:32.0,K. Love makes 2-pt shot from 4 ft,2,79-70,,
2:14.0,,,79-70,,K. Oubre misses 3-pt shot from 30 ft
2:13.0,,,79-70,,Offensive rebound by M. Gortat
2:01.0,,,79-70,,K. Oubre misses 2-pt shot from 5 ft (block by C. Frye)
1:59.0,,,79-70,,Offensive rebound by M. Gortat
1:57.0,,,79-72,2,M. Gortat makes 2-pt shot from 1 ft
1:41.0,K. Irving makes 2-pt shot from 10 ft,2,81-72,,
1:20.0,,,81-72,,O. Porter misses 2-pt shot from 11 ft
1:20.0,,,81-72,,Offensive rebound by M. Gortat
1:17.0,,,81-72,,Turnover by J. Wall (back court)
1:17.0,,,81-72,,J. Smith enters the game for M. Gortat
1:17.0,,,81-72,,T. Burke enters the game for J. Wall
1:17.0,T. Thompson enters the game for K. Love,,81-72,,
1:09.0,K. Irving misses 2-pt shot from 1 ft (block by J. Smith),,81-72,,
1:08.0,Offensive rebound by Team,,81-72,,
1:06.0,J. Smith makes 3-pt shot from 26 ft (assist by K. Irving),3,84-72,,
0:44.0,,,84-72,,O. Porter misses 3-pt shot from 28 ft
0:43.0,Defensive rebound by T. Thompson,,84-72,,
0:34.0,J. Smith misses 2-pt shot from 17 ft,,84-72,,
0:33.0,,,84-72,,Defensive rebound by T. Burke
0:11.0,,,84-74,2,T. Burke makes 2-pt shot from 18 ft
0:11.0,,,84-74,,Shooting foul by J. Smith (drawn by T. Burke)
0:11.0,,,84-75,1,T. Burke makes free throw 1 of 1
0:00.0,K. Irving misses 3-pt shot from 24 ft,,84-75,,
0:00.0,Offensive rebound by Team,,84-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:37.0,L. James misses 2-pt shot from 19 ft,,84-75,,
11:36.0,,,84-75,,Defensive rebound by T. Satoransky
11:30.0,,,84-75,,Turnover by J. Smith (bad pass)
11:16.0,Shooting foul by K. Oubre (drawn by I. Shumpert),,84-75,,
11:16.0,I. Shumpert makes free throw 1 of 2,1,85-75,,
11:16.0,I. Shumpert makes free throw 2 of 2,1,86-75,,
11:07.0,,,86-75,,Shooting foul by R. Jefferson (drawn by T. Satoransky)
11:07.0,,,86-76,1,T. Satoransky makes free throw 1 of 2
11:07.0,,,86-77,1,T. Satoransky makes free throw 2 of 2
10:56.0,Shooting foul by K. Oubre (drawn by L. James),,86-77,,
10:56.0,L. James misses free throw 1 of 2,,86-77,,
10:56.0,Offensive rebound by Team,,86-77,,
10:56.0,L. James makes free throw 2 of 2,1,87-77,,
10:41.0,,,87-79,2,S. Mac makes 2-pt shot from 23 ft
10:26.0,C. Frye makes 3-pt shot from 27 ft (assist by L. James),3,90-79,,
10:08.0,,,90-81,2,T. Satoransky makes 2-pt shot from 22 ft (assist by T. Burke)
9:47.0,Turnover by L. James (offensive foul),,90-81,,
9:47.0,Offensive charge foul by L. James,,90-81,,
9:30.0,,,90-83,2,T. Satoransky makes 2-pt shot from 17 ft
9:29.0,Cleveland full timeout,,90-83,,
9:16.0,C. Frye misses 2-pt shot from 1 ft,,90-83,,
9:15.0,,,90-83,,Defensive rebound by J. Smith
9:09.0,,,90-83,,Offensive foul by K. Oubre
9:09.0,,,90-83,,Turnover by K. Oubre (offensive foul)
9:00.0,,,90-83,,Personal foul by J. Smith (drawn by C. Frye)
8:49.0,L. James misses 3-pt shot from 27 ft,,90-83,,
8:49.0,,,90-83,,Defensive rebound by S. Mac
8:30.0,,,90-83,,J. Smith misses 2-pt shot from 20 ft
8:28.0,,,90-83,,Offensive rebound by T. Satoransky
8:20.0,,,90-85,2,T. Burke makes 2-pt shot from 17 ft
7:58.0,L. James misses 2-pt shot from 2 ft,,90-85,,
7:58.0,,,90-85,,Defensive rebound by K. Oubre
7:58.0,Loose ball foul by M. Dunleavy (drawn by K. Oubre),,90-85,,
7:58.0,K. Love enters the game for M. Dunleavy,,90-85,,
7:58.0,K. Irving enters the game for C. Frye,,90-85,,
7:44.0,,,90-85,,K. Oubre misses 2-pt shot from 6 ft
7:43.0,Defensive rebound by Team,,90-85,,
7:43.0,,,90-85,,Loose ball foul by J. Smith (drawn by L. James)
7:43.0,,,90-85,,J. Wall enters the game for T. Satoransky
7:43.0,,,90-85,,M. Morris enters the game for J. Smith
7:28.0,Shooting foul by J. Wall (drawn by L. James),,90-85,,
7:28.0,L. James makes free throw 1 of 2,1,91-85,,
7:28.0,L. James makes free throw 2 of 2,1,92-85,,
7:28.0,J. Smith enters the game for R. Jefferson,,91-85,,
7:12.0,,,92-85,,S. Mac misses 2-pt shot from 13 ft
7:11.0,Defensive rebound by I. Shumpert,,92-85,,
7:02.0,Turnover by K. Irving (bad pass; steal by K. Oubre),,92-85,,
6:55.0,,,92-87,2,K. Oubre makes 2-pt shot at rim (assist by J. Wall)
6:38.0,K. Irving makes 3-pt shot from 26 ft,3,95-87,,
6:13.0,,,95-87,,T. Burke misses 2-pt shot from 8 ft
6:12.0,Defensive rebound by L. James,,95-87,,
6:00.0,K. Irving misses 3-pt shot from 28 ft,,95-87,,
5:59.0,,,95-87,,Defensive rebound by M. Morris
5:59.0,Personal foul by K. Love (drawn by M. Morris),,95-87,,
5:59.0,Official timeout,,95-87,,
5:46.0,,,95-87,,Turnover by J. Wall (lost ball; steal by I. Shumpert)
5:36.0,L. James makes 2-pt shot from 2 ft,2,97-87,,
5:15.0,,,97-87,,M. Morris misses 2-pt shot from 12 ft
5:14.0,Defensive rebound by L. James,,97-87,,
5:08.0,Turnover by L. James (bad pass),,97-87,,
5:08.0,,,97-87,,O. Porter enters the game for K. Oubre
4:57.0,,,97-87,,Turnover by J. Wall (bad pass; steal by I. Shumpert)
4:55.0,Shooting foul by J. Wall (drawn by K. Love),,97-87,,
4:55.0,K. Love misses free throw 1 of 2,,97-87,,
4:55.0,Offensive rebound by Team,,97-87,,
4:55.0,K. Love misses free throw 2 of 2,,97-87,,
4:54.0,,,97-87,,Defensive rebound by O. Porter
4:46.0,,,97-87,,S. Mac misses 3-pt shot from 24 ft
4:45.0,Defensive rebound by L. James,,97-87,,
4:30.0,,,97-87,,Shooting block foul by O. Porter (drawn by L. James)
4:30.0,L. James misses free throw 1 of 2,,97-87,,
4:30.0,Offensive rebound by Team,,97-87,,
4:30.0,L. James makes free throw 2 of 2,1,98-87,,
4:18.0,Personal foul by K. Irving (drawn by M. Morris),,98-87,,
4:08.0,,,98-87,,M. Morris misses 2-pt shot from 14 ft
4:07.0,Defensive rebound by L. James,,98-87,,
3:58.0,L. James misses 2-pt shot from 1 ft,,98-87,,
3:57.0,,,98-87,,Defensive rebound by M. Morris
3:53.0,,,98-87,,Shooting foul by I. Shumpert (drawn by J. Wall)
3:53.0,,,98-88,1,J. Wall makes free throw 1 of 2
3:53.0,,,98-89,1,J. Wall makes free throw 2 of 2
3:37.0,K. Irving makes 2-pt shot from 1 ft,2,100-89,,
3:37.0,,,100-89,,Washington full timeout
3:27.0,,,100-89,,J. Wall misses 2-pt shot from 18 ft
