time,Portland,pts.away,score,pts.home,Oklahoma City
4:02.0,,,39-36,,R. Westbrook misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by D. Lillard,,39-36,,
3:50.0,E. Turner misses 2-pt shot from 12 ft,,39-36,,
3:50.0,,,39-36,,Defensive rebound by V. Oladipo
3:46.0,,,39-38,2,A. Roberson makes 2-pt shot at rim (assist by V. Oladipo)
3:20.0,E. Turner makes 2-pt shot from 8 ft,2,41-38,,
3:00.0,,,41-40,2,S. Adams makes 2-pt shot from 8 ft (assist by R. Westbrook)
2:40.0,D. Lillard makes 2-pt shot from 1 ft,2,43-40,,
2:26.0,,,43-42,2,A. Roberson makes 2-pt shot from 2 ft (assist by R. Westbrook)
2:07.0,A. Crabbe makes 2-pt shot from 13 ft,2,45-42,,
1:48.0,,,45-42,,R. Westbrook misses 2-pt shot from 14 ft
1:47.0,,,45-42,,Offensive rebound by S. Adams
1:47.0,,,45-42,,S. Adams misses 2-pt shot from 1 ft
1:47.0,,,45-42,,Offensive rebound by Team
1:47.0,Official timeout,,45-42,,
1:47.0,C. McCollum enters the game for M. Plumlee,,45-42,,
1:47.0,M. Leonard enters the game for A. Crabbe,,45-42,,
1:43.0,,,45-44,2,R. Westbrook makes 2-pt shot from 14 ft (assist by A. Morrow)
1:25.0,E. Turner misses 2-pt shot from 1 ft (block by V. Oladipo),,45-44,,
1:24.0,,,45-44,,Defensive rebound by V. Oladipo
1:16.0,,,45-44,,A. Morrow misses 2-pt shot from 13 ft
1:15.0,Defensive rebound by M. Leonard,,45-44,,
1:06.0,M. Leonard makes 3-pt shot from 25 ft (assist by A. Aminu),3,48-44,,
0:57.0,,,48-44,,Shooting foul by A. Aminu (drawn by A. Roberson)
0:57.0,,,48-45,1,A. Roberson makes free throw 1 of 2
0:57.0,,,48-46,1,A. Roberson makes free throw 2 of 2
0:57.0,,,48-45,,D. Sabonis enters the game for S. Adams
0:37.0,Shooting foul by D. Sabonis (drawn by D. Lillard),,48-46,,
0:37.0,D. Lillard makes free throw 1 of 2,1,49-46,,
0:37.0,D. Lillard makes free throw 2 of 2,1,50-46,,
0:37.0,M. Harkless enters the game for M. Leonard,,49-46,,
0:31.0,,,50-46,,R. Westbrook misses 2-pt shot from 1 ft
0:29.0,Defensive rebound by M. Harkless,,50-46,,
0:04.0,D. Lillard misses 3-pt shot from 25 ft,,50-46,,
0:04.0,Offensive rebound by E. Turner,,50-46,,
0:04.0,E. Turner makes 2-pt shot from 1 ft,2,52-46,,
0:00.0,,,52-46,,R. Westbrook misses 3-pt shot from 25 ft
0:00.0,,,52-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,M. Plumlee misses 2-pt shot at rim,,52-46,,
11:42.0,Offensive rebound by N. Vonleh,,52-46,,
11:42.0,N. Vonleh misses 2-pt shot at rim (block by V. Oladipo),,52-46,,
11:40.0,,,52-46,,Defensive rebound by V. Oladipo
11:26.0,,,52-48,2,R. Westbrook makes 2-pt shot from 16 ft
11:05.0,D. Lillard misses 2-pt shot from 6 ft,,52-48,,
11:05.0,,,52-48,,Defensive rebound by R. Westbrook
11:02.0,,,52-48,,Turnover by R. Westbrook (bad pass)
10:46.0,C. McCollum makes 2-pt shot from 2 ft (assist by D. Lillard),2,54-48,,
10:34.0,,,54-50,2,V. Oladipo makes 2-pt shot from 1 ft (assist by R. Westbrook)
10:10.0,M. Plumlee misses 2-pt shot at rim,,54-50,,
10:10.0,Offensive rebound by N. Vonleh,,54-50,,
10:06.0,E. Turner misses 3-pt shot from 25 ft,,54-50,,
10:04.0,Offensive rebound by M. Plumlee,,54-50,,
10:04.0,M. Plumlee misses 2-pt shot at rim,,54-50,,
10:04.0,,,54-50,,Defensive rebound by V. Oladipo
9:46.0,,,54-50,,Turnover by S. Adams (3 sec)
9:30.0,E. Turner makes 2-pt shot from 10 ft,2,56-50,,
9:12.0,,,56-52,2,R. Westbrook makes 2-pt shot from 1 ft
8:57.0,E. Turner misses 2-pt shot from 17 ft,,56-52,,
8:57.0,,,56-52,,Defensive rebound by V. Oladipo
8:42.0,,,56-54,2,R. Westbrook makes 2-pt shot from 21 ft
8:20.0,E. Turner misses 2-pt shot from 13 ft,,56-54,,
8:20.0,,,56-54,,Defensive rebound by D. Sabonis
8:08.0,,,56-56,2,R. Westbrook makes 2-pt shot from 2 ft
7:48.0,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard),2,58-56,,
7:33.0,,,58-56,,Shooting foul by E. Turner (drawn by D. Sabonis)
7:33.0,,,58-57,1,D. Sabonis makes free throw 1 of 2
7:33.0,,,58-58,1,D. Sabonis makes free throw 2 of 2
7:13.0,N. Vonleh makes 2-pt shot at rim (assist by E. Turner),2,60-58,,
