time,Brooklyn,pts.away,score,pts.home,New York
5:20.0,Offensive rebound by B. Lopez,,14-12,,
5:18.0,B. Lopez makes 2-pt shot from 3 ft,2,16-12,,
5:18.0,,,16-12,,New York full timeout
5:18.0,,,16-12,,J. Holiday enters the game for C. Lee
5:18.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,16-12,,
5:18.0,T. Booker enters the game for B. Lopez,,16-12,,
5:18.0,,,16-12,,K. O'Quinn enters the game for J. Noah
5:00.0,,,16-12,,J. Holiday misses 2-pt shot from 13 ft
4:59.0,Defensive rebound by T. Booker,,16-12,,
4:50.0,J. Hamilton makes 3-pt shot from 27 ft (assist by T. Booker),3,19-12,,
4:22.0,,,19-12,,D. Rose misses 2-pt shot from 20 ft
4:21.0,Defensive rebound by T. Booker,,19-12,,
4:10.0,J. Hamilton makes 3-pt shot from 24 ft (assist by S. Kilpatrick),3,22-12,,
3:53.0,,,22-12,,C. Anthony misses 2-pt shot from 7 ft
3:52.0,,,22-12,,Offensive rebound by K. O'Quinn
3:52.0,,,22-14,2,K. O'Quinn makes 2-pt shot from 1 ft
3:45.0,Turnover by S. Kilpatrick (offensive foul),,22-14,,
3:45.0,Offensive foul by S. Kilpatrick,,22-14,,
3:45.0,R. Foye enters the game for S. Kilpatrick,,22-14,,
3:45.0,,,22-14,,L. Thomas enters the game for K. Porzingis
3:45.0,L. Scola enters the game for J. Hamilton,,22-14,,
3:32.0,,,22-14,,L. Thomas misses 3-pt shot from 23 ft
3:32.0,Defensive rebound by J. Harris,,22-14,,
3:18.0,B. Bogdanovic misses 3-pt shot from 27 ft,,22-14,,
3:17.0,,,22-14,,Defensive rebound by L. Thomas
3:05.0,,,22-16,2,L. Thomas makes 2-pt shot from 23 ft (assist by D. Rose)
2:46.0,J. Harris makes 2-pt shot from 1 ft,2,24-16,,
2:42.0,Personal foul by R. Foye (drawn by D. Rose),,24-16,,
2:42.0,Brooklyn full timeout,,24-16,,
2:26.0,,,24-16,,J. Holiday misses 2-pt shot from 19 ft
2:25.0,Defensive rebound by T. Booker,,24-16,,
2:14.0,R. Foye makes 3-pt shot from 25 ft,3,27-16,,
1:58.0,,,27-16,,C. Anthony misses 2-pt shot from 5 ft
1:57.0,,,27-16,,Offensive rebound by Team
1:57.0,,,27-16,,B. Jennings enters the game for D. Rose
1:48.0,,,27-16,,L. Thomas misses 2-pt shot from 18 ft
1:47.0,Defensive rebound by L. Scola,,27-16,,
1:29.0,T. Booker misses 2-pt shot from 1 ft,,27-16,,
1:29.0,,,27-16,,Defensive rebound by K. O'Quinn
1:09.0,,,27-16,,Shooting foul by L. Scola (drawn by K. O'Quinn)
1:09.0,,,27-16,,K. O'Quinn misses free throw 1 of 2
1:09.0,,,27-16,,Offensive rebound by Team
1:09.0,,,27-17,1,K. O'Quinn makes free throw 2 of 2
1:01.0,,,27-17,,Personal foul by L. Thomas (drawn by B. Bogdanovic)
0:56.0,L. Scola misses 3-pt shot from 25 ft,,27-17,,
0:55.0,,,27-17,,Defensive rebound by C. Anthony
0:46.0,,,27-17,,C. Anthony misses 2-pt shot from 11 ft
0:46.0,Defensive rebound by Team,,27-17,,
0:35.0,,,27-17,,Personal foul by C. Anthony (drawn by B. Bogdanovic)
0:35.0,B. Bogdanovic makes free throw 1 of 2,1,28-17,,
0:35.0,B. Bogdanovic makes free throw 2 of 2,1,29-17,,
0:27.0,,,29-19,2,L. Thomas makes 2-pt shot from 2 ft
0:09.0,Offensive foul by L. Scola,,29-19,,
0:09.0,Turnover by L. Scola (offensive foul),,29-19,,
0:09.0,J. Hamilton enters the game for L. Scola,,29-19,,
0:09.0,,,29-19,,K. Porzingis enters the game for K. O'Quinn
0:00.0,,,29-19,,B. Jennings misses 3-pt shot from 26 ft
0:00.0,,,29-19,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,29-19,,M. Ndour misses 2-pt shot from 10 ft
11:43.0,Defensive rebound by B. Bogdanovic,,29-19,,
11:36.0,L. Scola makes 2-pt shot from 4 ft (assist by B. Bogdanovic),2,31-19,,
11:36.0,Shooting foul by M. Ndour (drawn by L. Scola),,31-19,,
11:36.0,L. Scola misses free throw 1 of 1,,31-19,,
11:35.0,,,31-19,,Defensive rebound by M. Ndour
11:18.0,,,31-19,,Turnover by B. Jennings (lost ball; steal by J. Hamilton)
11:03.0,J. Hamilton makes 2-pt shot from 12 ft (assist by Y. Ferrell),2,33-19,,
10:45.0,,,33-21,2,C. Lee makes 2-pt shot from 13 ft
10:35.0,B. Bogdanovic misses 2-pt shot from 1 ft,,33-21,,
10:35.0,Offensive rebound by J. Hamilton,,33-21,,
10:28.0,Y. Ferrell makes 2-pt shot from 1 ft,2,35-21,,
10:10.0,,,35-23,2,M. Ndour makes 2-pt shot from 1 ft (assist by B. Jennings)
10:01.0,Turnover by Y. Ferrell (lost ball; steal by B. Jennings),,35-23,,
9:58.0,,,35-23,,B. Jennings misses 2-pt shot from 2 ft
9:56.0,Defensive rebound by Y. Ferrell,,35-23,,
9:50.0,Turnover by B. Bogdanovic (lost ball; steal by L. Thomas),,35-23,,
9:44.0,,,35-23,,Turnover by M. Ndour (bad pass; steal by B. Bogdanovic)
9:35.0,J. Hamilton makes 2-pt shot at rim (assist by B. Bogdanovic),2,37-23,,
9:29.0,Personal foul by L. Scola (drawn by B. Jennings),,37-23,,
9:29.0,T. Booker enters the game for L. Scola,,37-23,,
9:23.0,,,37-25,2,C. Lee makes 2-pt shot from 1 ft (assist by B. Jennings)
9:12.0,Brooklyn full timeout,,37-25,,
9:07.0,Turnover by Y. Ferrell (bad pass; steal by M. Ndour),,37-25,,
9:00.0,,,37-27,2,M. Ndour makes 2-pt shot from 1 ft
8:39.0,J. Hamilton misses 2-pt shot from 2 ft,,37-27,,
8:38.0,,,37-27,,Defensive rebound by K. Porzingis
8:31.0,,,37-27,,Turnover by B. Jennings (bad pass)
8:19.0,Shooting foul by K. Porzingis (drawn by T. Booker),,37-27,,
8:19.0,T. Booker makes free throw 1 of 2,1,38-27,,
8:19.0,T. Booker misses free throw 2 of 2,,38-27,,
8:18.0,,,38-27,,Defensive rebound by M. Ndour
8:08.0,,,38-27,,Turnover by B. Jennings (bad pass; steal by Y. Ferrell)
8:02.0,B. Bogdanovic misses 3-pt shot from 25 ft,,38-27,,
8:02.0,,,38-27,,Defensive rebound by K. Porzingis
7:52.0,,,38-27,,Turnover by K. Porzingis (lost ball)
7:52.0,R. Hollis-Jefferson enters the game for R. Foye,,38-27,,
7:38.0,Turnover by Y. Ferrell (illegal screen),,38-27,,
7:38.0,,,38-27,,C. Anthony enters the game for K. Porzingis
7:28.0,,,38-27,,C. Lee misses 2-pt shot from 10 ft
7:27.0,,,38-27,,Offensive rebound by M. Ndour
7:27.0,,,38-29,2,C. Anthony makes 2-pt shot from 1 ft
7:05.0,J. Hamilton makes 3-pt shot from 23 ft (assist by Y. Ferrell),3,41-29,,
6:54.0,,,41-31,2,C. Lee makes 2-pt shot from 6 ft (assist by B. Jennings)
6:34.0,R. Hollis-Jefferson makes 2-pt shot from 3 ft,2,43-31,,
6:20.0,,,43-31,,C. Anthony misses 2-pt shot from 20 ft
6:19.0,Defensive rebound by T. Booker,,43-31,,
6:13.0,T. Booker misses 2-pt shot from 1 ft,,43-31,,
6:13.0,,,43-31,,Defensive rebound by C. Anthony
6:02.0,,,43-33,2,L. Thomas makes 2-pt shot from 4 ft (assist by B. Jennings)
5:39.0,T. Booker misses 2-pt shot from 3 ft (block by C. Anthony),,43-33,,
5:38.0,,,43-33,,Defensive rebound by C. Lee
5:19.0,,,43-33,,C. Anthony misses 2-pt shot from 17 ft
5:19.0,,,43-33,,Offensive rebound by Team
5:19.0,Loose ball foul by T. Booker (drawn by M. Ndour),,43-33,,
5:19.0,Official timeout,,43-33,,
5:19.0,J. Harris enters the game for B. Bogdanovic,,43-33,,
5:19.0,B. Lopez enters the game for J. Hamilton,,43-33,,
5:19.0,S. Kilpatrick enters the game for Y. Ferrell,,43-33,,
5:19.0,,,43-33,,D. Rose enters the game for L. Thomas
5:19.0,,,43-33,,J. Noah enters the game for M. Ndour
5:02.0,Shooting block foul by J. Harris (drawn by C. Lee),,43-33,,
5:02.0,,,43-34,1,C. Lee makes free throw 1 of 2
5:02.0,,,43-35,1,C. Lee makes free throw 2 of 2
4:42.0,B. Lopez makes 2-pt shot from 2 ft,2,45-35,,
4:22.0,,,45-37,2,C. Lee makes 2-pt shot from 2 ft
4:05.0,B. Lopez makes 2-pt shot from 4 ft,2,47-37,,
3:53.0,,,47-37,,B. Jennings misses 3-pt shot from 25 ft
3:53.0,Defensive rebound by T. Booker,,47-37,,
3:46.0,J. Harris misses 3-pt shot from 23 ft,,47-37,,
3:45.0,,,47-37,,Defensive rebound by B. Jennings
3:36.0,,,47-39,2,D. Rose makes 2-pt shot from 1 ft
3:22.0,T. Booker makes 2-pt shot from 6 ft,2,49-39,,
3:08.0,,,49-42,3,C. Anthony makes 3-pt shot from 26 ft (assist by B. Jennings)
3:02.0,,,49-42,,Personal block foul by B. Jennings (drawn by S. Kilpatrick)
3:02.0,,,49-42,,K. Porzingis enters the game for B. Jennings
3:02.0,J. Hamilton enters the game for T. Booker,,49-42,,
2:47.0,J. Harris makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson),2,51-42,,
2:35.0,,,51-45,3,K. Porzingis makes 3-pt shot from 26 ft (assist by D. Rose)
2:19.0,S. Kilpatrick misses 3-pt shot from 22 ft,,51-45,,
2:18.0,,,51-45,,Defensive rebound by J. Noah
2:01.0,,,51-47,2,K. Porzingis makes 2-pt shot at rim (assist by J. Noah)
1:54.0,Brooklyn full timeout,,51-47,,
1:54.0,,,51-47,,New York full timeout
1:46.0,B. Lopez makes 2-pt shot from 2 ft (assist by S. Kilpatrick),2,53-47,,
1:29.0,,,53-47,,J. Noah misses 2-pt shot from 4 ft
1:29.0,,,53-47,,Offensive rebound by Team
1:29.0,Loose ball foul by J. Harris (drawn by C. Lee),,53-47,,
1:24.0,,,53-50,3,C. Anthony makes 3-pt shot from 25 ft (assist by D. Rose)
1:03.0,S. Kilpatrick misses 3-pt shot from 26 ft,,53-50,,
1:02.0,,,53-50,,Defensive rebound by K. Porzingis
0:55.0,,,53-50,,C. Anthony misses 3-pt shot from 26 ft
0:54.0,,,53-50,,Offensive rebound by J. Noah
0:53.0,,,53-50,,Turnover by J. Noah (lost ball; steal by J. Harris)
0:32.0,Shooting foul by J. Noah (drawn by B. Lopez),,53-50,,
0:32.0,B. Lopez misses free throw 1 of 2,,53-50,,
0:32.0,Offensive rebound by Team,,53-50,,
0:32.0,B. Lopez misses free throw 2 of 2,,53-50,,
0:32.0,,,53-50,,Defensive rebound by J. Noah
0:32.0,T. Booker enters the game for J. Hamilton,,53-50,,
0:22.0,,,53-50,,D. Rose misses 2-pt shot from 13 ft
0:21.0,Defensive rebound by R. Hollis-Jefferson,,53-50,,
0:04.0,B. Lopez makes 2-pt shot from 5 ft (assist by S. Kilpatrick),2,55-50,,
0:00.0,,,55-50,,C. Anthony misses 3-pt shot from 33 ft
0:00.0,,,55-50,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,55-52,2,D. Rose makes 2-pt shot from 1 ft (assist by J. Noah)
11:26.0,S. Kilpatrick makes 2-pt shot from 19 ft (assist by T. Booker),2,57-52,,
11:08.0,,,57-52,,K. Porzingis misses 3-pt shot from 25 ft
11:07.0,,,57-52,,Offensive rebound by J. Noah
11:02.0,,,57-54,2,D. Rose makes 2-pt shot from 1 ft (assist by J. Noah)
10:45.0,T. Booker misses 2-pt shot from 3 ft,,57-54,,
10:45.0,,,57-54,,Defensive rebound by J. Noah
10:40.0,,,57-54,,Turnover by D. Rose (bad pass; steal by T. Booker)
10:29.0,Turnover by R. Hollis-Jefferson (bad pass; steal by J. Noah),,57-54,,
10:19.0,,,57-54,,Turnover by K. Porzingis (bad pass; steal by T. Booker)
10:10.0,S. Kilpatrick misses 2-pt shot from 1 ft,,57-54,,
10:09.0,Offensive rebound by T. Booker,,57-54,,
10:05.0,Shooting foul by J. Noah (drawn by T. Booker),,57-54,,
10:05.0,T. Booker makes free throw 1 of 2,1,58-54,,
10:05.0,T. Booker makes free throw 2 of 2,1,59-54,,
9:45.0,,,59-56,2,J. Noah makes 2-pt shot at rim (assist by D. Rose)
9:31.0,B. Bogdanovic misses 2-pt shot from 1 ft,,59-56,,
9:31.0,,,59-56,,Defensive rebound by C. Anthony
9:21.0,,,59-58,2,D. Rose makes 2-pt shot from 22 ft (assist by C. Anthony)
9:16.0,Brooklyn full timeout,,59-58,,
9:09.0,Offensive charge foul by B. Lopez,,59-58,,
9:09.0,Turnover by B. Lopez (offensive foul),,59-58,,
8:57.0,,,59-58,,C. Anthony misses 2-pt shot from 20 ft
8:56.0,Defensive rebound by S. Kilpatrick,,59-58,,
8:44.0,S. Kilpatrick makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson),3,62-58,,
8:34.0,,,62-58,,Turnover by J. Noah (bad pass)
8:14.0,S. Kilpatrick misses 3-pt shot from 26 ft,,62-58,,
8:14.0,,,62-58,,Defensive rebound by C. Anthony
8:05.0,,,62-58,,Shooting foul by R. Hollis-Jefferson (drawn by K. Porzingis)
8:05.0,,,62-58,,K. Porzingis misses free throw 1 of 2
8:05.0,,,62-58,,Offensive rebound by Team
8:05.0,,,62-58,,K. Porzingis misses free throw 2 of 2
8:05.0,J. Hamilton enters the game for T. Booker,,62-58,,
8:03.0,Defensive rebound by B. Lopez,,62-58,,
7:40.0,J. Hamilton misses 2-pt shot from 16 ft,,62-58,,
7:39.0,,,62-58,,Defensive rebound by C. Anthony
7:25.0,,,62-58,,D. Rose misses 2-pt shot from 9 ft (block by B. Lopez)
7:24.0,,,62-58,,Offensive rebound by D. Rose
7:17.0,,,62-58,,K. Porzingis misses 2-pt shot from 6 ft (block by B. Lopez)
7:16.0,Defensive rebound by J. Hamilton,,62-58,,
7:13.0,Shooting foul by D. Rose (drawn by R. Hollis-Jefferson),,62-58,,
7:13.0,R. Hollis-Jefferson makes free throw 1 of 2,1,63-58,,
7:13.0,R. Hollis-Jefferson makes free throw 2 of 2,1,64-58,,
7:13.0,J. Harris enters the game for B. Bogdanovic,,63-58,,
6:52.0,,,64-58,,C. Lee misses 3-pt shot from 24 ft
6:51.0,Defensive rebound by B. Lopez,,64-58,,
6:38.0,Turnover by R. Hollis-Jefferson (bad pass; steal by C. Anthony),,64-58,,
6:28.0,,,64-58,,K. Porzingis misses 3-pt shot from 26 ft
6:28.0,Defensive rebound by J. Harris,,64-58,,
6:16.0,J. Hamilton makes 3-pt shot from 26 ft (assist by S. Kilpatrick),3,67-58,,
5:57.0,,,67-58,,C. Anthony misses 3-pt shot from 25 ft
5:55.0,Defensive rebound by B. Lopez,,67-58,,
5:42.0,B. Lopez misses 3-pt shot from 26 ft,,67-58,,
5:42.0,,,67-58,,Defensive rebound by D. Rose
5:26.0,,,67-58,,C. Lee misses 3-pt shot from 26 ft
5:26.0,Defensive rebound by R. Hollis-Jefferson,,67-58,,
5:19.0,J. Harris misses 3-pt shot from 25 ft,,67-58,,
5:18.0,,,67-58,,Defensive rebound by C. Anthony
5:11.0,,,67-58,,New York full timeout
5:11.0,,,67-58,,M. Kuzminskas enters the game for K. Porzingis
5:11.0,,,67-58,,B. Jennings enters the game for C. Lee
5:11.0,,,67-58,,S. Vujacic enters the game for D. Rose
5:11.0,T. Booker enters the game for B. Lopez,,67-58,,
5:11.0,B. Bogdanovic enters the game for R. Hollis-Jefferson,,67-58,,
4:57.0,,,67-60,2,C. Anthony makes 2-pt shot from 1 ft
4:49.0,S. Kilpatrick misses 2-pt shot from 2 ft,,67-60,,
4:49.0,,,67-60,,Defensive rebound by S. Vujacic
4:27.0,,,67-62,2,C. Anthony makes 2-pt shot from 20 ft
4:19.0,Turnover by S. Kilpatrick (bad pass; steal by S. Vujacic),,67-62,,
4:08.0,,,67-64,2,C. Anthony makes 2-pt shot from 22 ft
3:59.0,,,67-64,,Personal foul by S. Vujacic (drawn by J. Harris)
3:59.0,L. Scola enters the game for J. Hamilton,,67-64,,
3:48.0,Shooting foul by C. Anthony (drawn by S. Kilpatrick),,67-64,,
3:48.0,S. Kilpatrick misses free throw 1 of 2,,67-64,,
3:48.0,Offensive rebound by Team,,67-64,,
3:48.0,S. Kilpatrick makes free throw 2 of 2,1,68-64,,
3:30.0,,,68-66,2,C. Anthony makes 2-pt shot from 13 ft
3:13.0,L. Scola misses 2-pt shot from 23 ft,,68-66,,
3:12.0,,,68-66,,Defensive rebound by B. Jennings
3:01.0,,,68-68,2,C. Anthony makes 2-pt shot from 10 ft
2:51.0,,,68-68,,Personal foul by B. Jennings (drawn by S. Kilpatrick)
2:51.0,S. Kilpatrick makes free throw 1 of 2,1,69-68,,
2:51.0,S. Kilpatrick misses free throw 2 of 2,,69-68,,
2:51.0,,,69-68,,W. Hernangomez enters the game for J. Noah
2:50.0,,,69-68,,Defensive rebound by W. Hernangomez
2:31.0,,,69-70,2,C. Anthony makes 2-pt shot from 16 ft
2:29.0,R. Foye enters the game for S. Kilpatrick,,69-70,,
2:12.0,T. Booker misses 2-pt shot from 1 ft,,69-70,,
2:12.0,Offensive rebound by L. Scola,,69-70,,
2:12.0,L. Scola misses 2-pt shot from 1 ft,,69-70,,
2:12.0,Offensive rebound by Team,,69-70,,
2:12.0,,,69-70,,Loose ball foul by C. Anthony (drawn by L. Scola)
2:12.0,L. Scola misses free throw 1 of 2,,69-70,,
2:12.0,Offensive rebound by Team,,69-70,,
2:12.0,L. Scola makes free throw 2 of 2,1,70-70,,
1:56.0,Personal foul by T. Booker (drawn by C. Anthony),,70-70,,
1:50.0,,,70-70,,Turnover by S. Vujacic (bad pass; steal by B. Bogdanovic)
1:45.0,R. Foye misses 3-pt shot from 24 ft,,70-70,,
1:44.0,,,70-70,,Defensive rebound by W. Hernangomez
1:26.0,,,70-70,,C. Anthony misses 2-pt shot from 11 ft
1:26.0,Defensive rebound by L. Scola,,70-70,,
1:24.0,Turnover by L. Scola (bad pass; steal by M. Kuzminskas),,70-70,,
1:23.0,,,70-70,,Shooting foul by B. Bogdanovic (drawn by C. Anthony)
1:23.0,,,70-71,1,C. Anthony makes free throw 1 of 2
1:23.0,,,70-72,1,C. Anthony makes free throw 2 of 2
1:11.0,B. Bogdanovic misses 3-pt shot from 25 ft,,70-72,,
1:11.0,Offensive rebound by Team,,70-72,,
1:11.0,,,70-72,,K. Porzingis enters the game for C. Anthony
1:00.0,L. Scola misses 2-pt shot from 1 ft,,70-72,,
0:59.0,,,70-72,,Defensive rebound by K. Porzingis
0:55.0,,,70-72,,Turnover by S. Vujacic (step out of bounds)
0:48.0,,,70-72,,Personal foul by S. Vujacic (drawn by J. Harris)
0:48.0,J. Harris misses free throw 1 of 2,,70-72,,
0:48.0,Offensive rebound by Team,,70-72,,
0:48.0,J. Harris makes free throw 2 of 2,1,71-72,,
0:40.0,,,71-72,,Turnover by W. Hernangomez (bad pass; steal by B. Bogdanovic)
0:34.0,B. Bogdanovic misses 2-pt shot from 1 ft (block by W. Hernangomez),,71-72,,
0:30.0,,,71-72,,Defensive rebound by K. Porzingis
0:14.0,,,71-72,,Turnover by B. Jennings (bad pass; steal by T. Booker)
0:00.0,R. Foye misses 3-pt shot from 24 ft,,71-72,,
0:00.0,,,71-72,,Defensive rebound by S. Vujacic
0:00.0,,,71-72,,S. Vujacic misses 3-pt shot from 48 ft
0:00.0,,,71-72,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,R. Foye misses 2-pt shot from 2 ft,,71-72,,
11:35.0,,,71-72,,Defensive rebound by K. Porzingis
11:25.0,,,71-75,3,S. Vujacic makes 3-pt shot from 24 ft (assist by B. Jennings)
11:20.0,,,71-75,,Personal foul by B. Jennings (drawn by Y. Ferrell)
11:04.0,J. Harris misses 2-pt shot at rim,,71-75,,
11:03.0,,,71-75,,Defensive rebound by S. Vujacic
10:54.0,,,71-75,,K. Porzingis misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by L. Scola,,71-75,,
10:54.0,,,71-75,,Loose ball foul by W. Hernangomez (drawn by L. Scola)
10:52.0,Turnover by R. Foye (bad pass),,71-75,,
10:34.0,,,71-77,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by K. Porzingis)
10:19.0,Turnover by J. Harris (lost ball; steal by M. Kuzminskas),,71-77,,
10:13.0,,,71-77,,S. Vujacic misses 3-pt shot from 25 ft
10:13.0,Defensive rebound by J. Harris,,71-77,,
10:06.0,R. Foye misses 3-pt shot from 25 ft,,71-77,,
10:05.0,,,71-77,,Defensive rebound by M. Kuzminskas
9:59.0,,,71-77,,Shooting foul by J. Harris (drawn by W. Hernangomez)
9:59.0,,,71-78,1,W. Hernangomez makes free throw 1 of 2
9:59.0,,,71-79,1,W. Hernangomez makes free throw 2 of 2
9:41.0,R. Foye makes 2-pt shot from 1 ft,2,73-79,,
9:26.0,,,73-81,2,W. Hernangomez makes 2-pt shot from 1 ft (assist by B. Jennings)
9:10.0,J. Hamilton makes 3-pt shot from 24 ft (assist by R. Foye),3,76-81,,
8:59.0,,,76-84,3,K. Porzingis makes 3-pt shot from 25 ft (assist by B. Jennings)
8:43.0,Y. Ferrell misses 2-pt shot at rim (block by W. Hernangomez),,76-84,,
8:42.0,Offensive rebound by L. Scola,,76-84,,
8:41.0,L. Scola makes 2-pt shot from 1 ft,2,78-84,,
8:30.0,,,78-87,3,K. Porzingis makes 3-pt shot from 27 ft (assist by B. Jennings)
8:29.0,Brooklyn full timeout,,78-87,,
8:29.0,B. Lopez enters the game for L. Scola,,78-87,,
8:29.0,S. Kilpatrick enters the game for Y. Ferrell,,78-87,,
8:14.0,J. Hamilton misses 3-pt shot from 26 ft,,78-87,,
8:13.0,,,78-87,,Defensive rebound by S. Vujacic
7:53.0,,,78-87,,W. Hernangomez misses 2-pt shot from 21 ft
7:52.0,Defensive rebound by J. Harris,,78-87,,
7:44.0,S. Kilpatrick misses 2-pt shot from 4 ft,,78-87,,
7:44.0,Offensive rebound by J. Harris,,78-87,,
7:37.0,J. Hamilton misses 3-pt shot from 24 ft (block by K. Porzingis),,78-87,,
7:35.0,,,78-87,,Defensive rebound by W. Hernangomez
7:27.0,,,78-89,2,W. Hernangomez makes 2-pt shot from 2 ft (assist by B. Jennings)
7:16.0,R. Hollis-Jefferson enters the game for R. Foye,,78-89,,
7:07.0,J. Hamilton misses 2-pt shot from 1 ft (block by K. Porzingis),,78-89,,
7:06.0,,,78-89,,Defensive rebound by W. Hernangomez
6:58.0,,,78-91,2,K. Porzingis makes 2-pt shot at rim (assist by B. Jennings)
6:58.0,,,78-91,,Shooting foul by J. Harris (drawn by K. Porzingis)
6:58.0,,,78-92,1,K. Porzingis makes free throw 1 of 1
6:48.0,,,78-92,,Personal foul by B. Jennings (drawn by J. Hamilton)
6:47.0,Offensive foul by S. Kilpatrick,,78-92,,
6:47.0,Turnover by S. Kilpatrick (offensive foul),,78-92,,
6:47.0,T. Booker enters the game for J. Hamilton,,78-92,,
6:33.0,,,78-92,,S. Vujacic misses 2-pt shot from 16 ft
6:32.0,Defensive rebound by R. Hollis-Jefferson,,78-92,,
6:29.0,,,78-92,,Personal foul by M. Kuzminskas (drawn by R. Hollis-Jefferson)
6:29.0,,,78-92,,C. Anthony enters the game for K. Porzingis
6:29.0,,,78-92,,C. Lee enters the game for S. Vujacic
