time,Miami,pts.away,score,pts.home,LA Lakers
11:47.0,U. Haslem misses free throw 2 of 2,,24-32,,
11:46.0,,,24-32,,Defensive rebound by B. Ingram
11:35.0,,,24-34,2,J. Clarkson makes 2-pt shot at rim (assist by B. Ingram)
11:18.0,D. Waiters makes 2-pt shot from 19 ft (assist by U. Haslem),2,26-34,,
11:12.0,,,26-34,,Turnover by T. Black (offensive foul)
11:12.0,,,26-34,,Offensive foul by T. Black
10:59.0,Turnover by W. Ellington (bad pass),,26-34,,
10:41.0,,,26-34,,J. Clarkson misses 3-pt shot from 25 ft
10:40.0,Defensive rebound by U. Haslem,,26-34,,
10:22.0,D. Waiters misses 2-pt shot from 14 ft,,26-34,,
10:19.0,Offensive rebound by J. Johnson,,26-34,,
10:14.0,T. Johnson misses 3-pt shot from 23 ft,,26-34,,
10:13.0,,,26-34,,Defensive rebound by T. Robinson
10:08.0,,,26-36,2,T. Black makes 2-pt shot at rim (assist by L. Williams)
9:48.0,T. Johnson makes 2-pt shot from 22 ft (assist by U. Haslem),2,28-36,,
9:43.0,Personal foul by D. Waiters (drawn by B. Ingram),,28-36,,
9:43.0,J. Richardson enters the game for J. Johnson,,28-36,,
9:43.0,L. Babbitt enters the game for W. Ellington,,28-36,,
9:43.0,G. Dragic enters the game for D. Waiters,,28-36,,
9:30.0,,,28-38,2,T. Robinson makes 2-pt shot from 4 ft
9:08.0,U. Haslem makes 2-pt shot from 6 ft (assist by T. Johnson),2,30-38,,
8:57.0,,,30-40,2,J. Clarkson makes 2-pt shot from 6 ft
8:45.0,G. Dragic makes 2-pt shot from 2 ft,2,32-40,,
8:36.0,,,32-42,2,L. Williams makes 2-pt shot from 2 ft
8:32.0,Miami full timeout,,32-42,,
8:32.0,,,32-42,,J. Randle enters the game for T. Robinson
8:32.0,D. Williams enters the game for L. Babbitt,,32-42,,
8:15.0,U. Haslem makes 2-pt shot from 2 ft,2,34-42,,
8:15.0,D. Williams misses 2-pt shot from 10 ft,,34-42,,
8:15.0,Offensive rebound by U. Haslem,,34-42,,
8:02.0,Personal foul by G. Dragic (drawn by B. Ingram),,34-42,,
7:55.0,,,34-42,,Turnover by L. Williams (bad pass; steal by T. Johnson)
7:51.0,T. Johnson makes 2-pt shot at rim (assist by G. Dragic),2,36-42,,
7:39.0,,,36-42,,J. Randle misses 2-pt shot from 8 ft
7:36.0,,,36-42,,Offensive rebound by T. Black
7:26.0,,,36-42,,B. Ingram misses 2-pt shot from 9 ft
7:23.0,Defensive rebound by U. Haslem,,36-42,,
7:19.0,J. Richardson makes 3-pt shot from 24 ft (assist by G. Dragic),3,39-42,,
7:19.0,,,39-42,,LA Lakers full timeout
7:19.0,J. Johnson enters the game for U. Haslem,,39-42,,
7:19.0,,,39-42,,T. Mozgov enters the game for T. Black
7:07.0,,,39-42,,L. Williams misses 2-pt shot from 12 ft
7:07.0,Defensive rebound by G. Dragic,,39-42,,
7:07.0,,,39-42,,Personal foul by J. Randle (drawn by G. Dragic)
6:48.0,D. Williams misses 2-pt shot from 2 ft,,39-42,,
6:44.0,Offensive rebound by D. Williams,,39-42,,
6:44.0,D. Williams makes 2-pt shot from 1 ft,2,41-42,,
6:42.0,Personal foul by D. Williams (drawn by J. Randle),,41-42,,
6:33.0,,,41-42,,J. Clarkson misses 2-pt shot from 13 ft (block by T. Johnson)
6:30.0,Defensive rebound by D. Williams,,41-42,,
6:28.0,G. Dragic makes 2-pt shot from 2 ft (assist by D. Williams),2,43-42,,
6:27.0,,,43-42,,LA Lakers full timeout
6:27.0,,,43-42,,D. Russell enters the game for B. Ingram
6:27.0,,,43-42,,L. Deng enters the game for J. Clarkson
6:27.0,,,43-42,,N. Young enters the game for L. Williams
6:05.0,,,43-42,,N. Young misses 2-pt shot from 23 ft
6:04.0,Defensive rebound by T. Johnson,,43-42,,
5:54.0,G. Dragic misses 3-pt shot from 24 ft,,43-42,,
5:53.0,,,43-42,,Defensive rebound by J. Randle
5:46.0,,,43-44,2,J. Randle makes 2-pt shot from 14 ft
5:34.0,J. Johnson makes 2-pt shot from 1 ft,2,45-44,,
5:22.0,,,45-44,,Shooting foul by J. Johnson (drawn by T. Mozgov)
5:22.0,,,45-44,,T. Mozgov misses free throw 1 of 2
5:22.0,,,45-44,,Offensive rebound by Team
5:22.0,,,45-45,1,T. Mozgov makes free throw 2 of 2
5:22.0,D. Waiters enters the game for T. Johnson,,45-44,,
5:08.0,D. Waiters misses 3-pt shot from 25 ft,,45-45,,
5:06.0,,,45-45,,Defensive rebound by J. Randle
4:59.0,,,45-45,,T. Mozgov misses 2-pt shot from 12 ft
4:57.0,,,45-45,,Offensive rebound by L. Deng
4:55.0,,,45-47,2,L. Deng makes 2-pt shot from 2 ft
4:40.0,Shooting foul by T. Mozgov (drawn by D. Williams),,45-47,,
4:40.0,D. Williams makes free throw 1 of 2,1,46-47,,
4:40.0,D. Williams makes free throw 2 of 2,1,47-47,,
4:14.0,,,47-50,3,N. Young makes 3-pt shot from 25 ft (assist by J. Randle)
3:59.0,G. Dragic misses 2-pt shot from 14 ft,,47-50,,
3:56.0,,,47-50,,Defensive rebound by L. Deng
3:49.0,,,47-53,3,L. Deng makes 3-pt shot from 25 ft (assist by D. Russell)
3:25.0,G. Dragic misses 2-pt shot from 15 ft,,47-53,,
3:24.0,,,47-53,,Defensive rebound by D. Russell
3:17.0,,,47-53,,Turnover by T. Mozgov (lost ball; steal by D. Waiters)
3:11.0,D. Waiters makes 2-pt shot from 2 ft,2,49-53,,
2:54.0,Official timeout,,49-53,,
2:54.0,W. Reed enters the game for J. Johnson,,49-53,,
2:54.0,,,49-53,,B. Ingram enters the game for T. Mozgov
2:43.0,,,49-53,,J. Randle misses 2-pt shot from 7 ft (block by W. Reed)
2:40.0,Defensive rebound by W. Reed,,49-53,,
2:26.0,Shooting foul by N. Young (drawn by W. Reed),,49-53,,
2:26.0,W. Reed makes free throw 1 of 2,1,50-53,,
2:26.0,W. Reed misses free throw 2 of 2,,50-53,,
2:24.0,,,50-53,,Defensive rebound by L. Deng
2:13.0,,,50-53,,D. Russell misses 2-pt shot from 18 ft
2:10.0,Defensive rebound by D. Williams,,50-53,,
2:08.0,,,50-53,,Personal foul by L. Deng (drawn by D. Williams)
2:08.0,D. Williams makes free throw 1 of 2,1,51-53,,
2:08.0,D. Williams makes free throw 2 of 2,1,52-53,,
1:56.0,,,52-53,,N. Young misses 3-pt shot from 25 ft
1:55.0,Defensive rebound by D. Williams,,52-53,,
1:43.0,J. Richardson misses 2-pt shot from 13 ft,,52-53,,
1:38.0,Offensive rebound by W. Reed,,52-53,,
1:38.0,W. Reed makes 2-pt shot from 1 ft,2,54-53,,
1:25.0,,,54-53,,D. Russell misses 3-pt shot from 25 ft
1:24.0,,,54-53,,Offensive rebound by N. Young
1:12.0,,,54-53,,N. Young misses 3-pt shot from 25 ft
1:11.0,,,54-53,,Offensive rebound by D. Russell
1:11.0,,,54-53,,Shooting foul by J. Richardson (drawn by D. Russell)
1:11.0,,,54-53,,D. Russell misses free throw 1 of 2
1:11.0,,,54-53,,Offensive rebound by Team
1:11.0,,,54-54,1,D. Russell makes free throw 2 of 2
1:11.0,T. Johnson enters the game for G. Dragic,,54-53,,
1:11.0,R. McGruder enters the game for J. Richardson,,54-53,,
0:58.0,D. Williams misses 3-pt shot from 23 ft,,54-54,,
0:57.0,,,54-54,,Defensive rebound by B. Ingram
0:52.0,,,54-56,2,B. Ingram makes 2-pt shot from 2 ft
0:34.0,D. Waiters misses 2-pt shot from 8 ft,,54-56,,
0:32.0,,,54-56,,Defensive rebound by B. Ingram
0:15.0,,,54-56,,Shooting foul by W. Reed (drawn by J. Randle)
0:15.0,,,54-57,1,J. Randle makes free throw 1 of 2
0:15.0,,,54-58,1,J. Randle makes free throw 2 of 2
0:15.0,W. Ellington enters the game for R. McGruder,,54-57,,
0:11.0,Miami full timeout,,54-58,,
0:11.0,J. Johnson enters the game for W. Reed,,54-58,,
0:02.0,T. Johnson makes 2-pt shot from 8 ft,2,56-58,,
0:02.0,,,56-58,,Turnover by L. Deng (bad pass; steal by D. Waiters)
0:02.0,D. Waiters misses 3-pt shot from 40 ft,,56-58,,
0:00.0,Offensive rebound by Team,,56-58,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,G. Dragic makes 2-pt shot from 10 ft (assist by W. Reed),2,58-58,,
11:30.0,,,58-61,3,D. Russell makes 3-pt shot from 24 ft
11:05.0,Turnover by J. Richardson (bad pass; steal by J. Randle),,58-61,,
10:55.0,,,58-61,,N. Young misses 2-pt shot from 3 ft
10:52.0,,,58-61,,Offensive rebound by D. Russell
10:46.0,,,58-63,2,J. Randle makes 2-pt shot from 5 ft
10:22.0,L. Babbitt misses 3-pt shot from 26 ft,,58-63,,
10:21.0,,,58-63,,Defensive rebound by L. Deng
10:12.0,,,58-65,2,L. Deng makes 2-pt shot from 1 ft (assist by D. Russell)
9:49.0,W. Ellington misses 2-pt shot from 6 ft,,58-65,,
9:47.0,,,58-65,,Defensive rebound by J. Randle
9:38.0,,,58-65,,Turnover by L. Deng (bad pass)
9:30.0,G. Dragic makes 2-pt shot from 2 ft,2,60-65,,
9:11.0,,,60-67,2,T. Mozgov makes 2-pt shot from 1 ft (assist by J. Randle)
9:02.0,,,60-67,,Personal foul by N. Young (drawn by J. Richardson)
9:02.0,,,60-67,,Technical foul by N. Young (drawn by J. Richardson)
9:02.0,W. Ellington makes technical free throw,1,61-67,,
8:51.0,W. Reed makes 2-pt shot from 8 ft (assist by G. Dragic),2,63-67,,
8:37.0,,,63-69,2,D. Russell makes 2-pt shot from 7 ft
8:26.0,G. Dragic makes 3-pt shot from 24 ft,3,66-69,,
8:19.0,,,66-72,3,L. Deng makes 3-pt shot from 25 ft (assist by D. Russell)
8:01.0,W. Ellington misses 3-pt shot from 24 ft,,66-72,,
8:00.0,,,66-72,,Defensive rebound by T. Mozgov
8:00.0,,,66-72,,Turnover by T. Mozgov (bad pass)
8:00.0,J. Johnson enters the game for L. Babbitt,,66-72,,
7:52.0,G. Dragic misses 2-pt shot from 3 ft,,66-72,,
7:50.0,Offensive rebound by W. Reed,,66-72,,
7:50.0,W. Reed makes 2-pt shot at rim,2,68-72,,
7:45.0,,,68-72,,T. Black enters the game for T. Mozgov
7:34.0,,,68-72,,L. Deng misses 2-pt shot from 2 ft
7:34.0,,,68-72,,Offensive rebound by L. Deng
7:34.0,,,68-72,,L. Deng misses 2-pt shot from 2 ft (block by W. Ellington)
7:34.0,Defensive rebound by Team,,68-72,,
7:25.0,W. Reed misses 2-pt shot from 2 ft (block by J. Randle),,68-72,,
7:23.0,,,68-72,,Defensive rebound by J. Randle
7:17.0,,,68-72,,L. Deng misses 3-pt shot from 25 ft
7:16.0,Defensive rebound by G. Dragic,,68-72,,
7:05.0,W. Ellington misses 3-pt shot from 25 ft,,68-72,,
7:03.0,,,68-72,,Defensive rebound by D. Russell
6:43.0,,,68-72,,J. Randle misses 2-pt shot from 2 ft (block by W. Reed)
6:43.0,,,68-72,,Offensive rebound by Team
6:41.0,,,68-74,2,L. Deng makes 2-pt shot from 16 ft (assist by D. Russell)
6:25.0,Turnover by J. Richardson (lost ball; steal by D. Russell),,68-74,,
6:21.0,,,68-74,,D. Russell misses 3-pt shot from 25 ft
6:21.0,,,68-74,,Offensive rebound by Team
6:21.0,T. Johnson enters the game for W. Ellington,,68-74,,
6:17.0,,,68-74,,N. Young misses 2-pt shot from 20 ft
6:15.0,Defensive rebound by J. Johnson,,68-74,,
6:06.0,T. Johnson misses 3-pt shot from 27 ft,,68-74,,
6:04.0,,,68-74,,Defensive rebound by D. Russell
5:59.0,,,68-74,,D. Russell misses 2-pt shot from 16 ft
5:56.0,Defensive rebound by W. Reed,,68-74,,
5:52.0,T. Johnson misses 2-pt shot from 16 ft,,68-74,,
5:49.0,,,68-74,,Defensive rebound by J. Randle
5:43.0,,,68-76,2,T. Black makes 2-pt shot from 1 ft (assist by D. Russell)
5:43.0,Miami full timeout,,68-76,,
5:43.0,,,68-76,,J. Clarkson enters the game for N. Young
5:29.0,,,68-76,,Personal foul by J. Clarkson (drawn by G. Dragic)
5:29.0,,,68-76,,Technical foul by J. Clarkson (drawn by G. Dragic)
5:29.0,Technical foul by G. Dragic,,68-76,,
5:29.0,Technical foul by J. Johnson,,68-76,,
5:29.0,,,68-76,,D. Russell misses technical free throw
5:29.0,Offensive rebound by Team,,68-76,,
5:29.0,,,68-76,,L. Williams enters the game for J. Clarkson
5:29.0,R. McGruder enters the game for G. Dragic,,68-76,,
5:19.0,J. Richardson misses 3-pt shot from 27 ft,,68-76,,
5:18.0,,,68-76,,Defensive rebound by T. Black
4:57.0,,,68-76,,D. Russell misses 3-pt shot from 22 ft
4:56.0,,,68-76,,Offensive rebound by T. Black
4:55.0,,,68-76,,Shooting foul by J. Johnson (drawn by T. Black)
4:55.0,,,68-77,1,T. Black makes free throw 1 of 2
4:55.0,,,68-78,1,T. Black makes free throw 2 of 2
4:38.0,J. Johnson makes 3-pt shot from 24 ft (assist by J. Richardson),3,71-78,,
4:21.0,,,71-78,,Turnover by L. Williams (bad pass; steal by J. Johnson)
4:15.0,R. McGruder misses 2-pt shot from 6 ft (block by T. Black),,71-78,,
4:14.0,Jump ball: T. Black vs. R. McGruder (J. Randle gains possession),,,,Jump ball: T. Black vs. R. McGruder (J. Randle gains possession)
4:14.0,,,71-78,,Offensive rebound by T. Black
4:03.0,,,71-81,3,L. Williams makes 3-pt shot from 26 ft
3:49.0,J. Johnson misses 2-pt shot from 3 ft,,71-81,,
3:47.0,Offensive rebound by W. Reed,,71-81,,
3:47.0,W. Reed makes 2-pt shot from 2 ft,2,73-81,,
3:35.0,Personal foul by W. Reed,,73-81,,
3:35.0,D. Waiters enters the game for J. Richardson,,73-81,,
3:35.0,D. Williams enters the game for W. Reed,,73-81,,
3:35.0,,,73-81,,B. Ingram enters the game for L. Deng
3:31.0,,,73-83,2,D. Russell makes 2-pt shot from 9 ft
3:31.0,,,73-83,,Shooting foul by T. Johnson (drawn by D. Russell)
3:31.0,,,73-84,1,D. Russell makes free throw 1 of 1
3:18.0,J. Johnson makes 2-pt shot at rim,2,75-84,,
3:06.0,,,75-86,2,J. Randle makes 2-pt shot from 3 ft (assist by T. Black)
3:06.0,,,75-86,,Shooting foul by J. Johnson (drawn by J. Randle)
3:06.0,,,75-87,1,J. Randle makes free throw 1 of 1
2:57.0,Shooting foul by T. Black (drawn by D. Williams),,75-87,,
2:57.0,,,75-87,,LA Lakers full timeout
2:57.0,D. Williams misses free throw 1 of 2,,75-87,,
2:57.0,Offensive rebound by Team,,75-87,,
2:57.0,D. Williams misses free throw 2 of 2,,75-87,,
2:55.0,,,75-87,,Defensive rebound by T. Black
2:32.0,,,75-87,,D. Russell misses 2-pt shot from 22 ft
2:31.0,Defensive rebound by J. Johnson,,75-87,,
2:17.0,D. Waiters misses 2-pt shot from 13 ft,,75-87,,
2:14.0,,,75-87,,Defensive rebound by T. Black
2:02.0,,,75-87,,L. Williams misses 2-pt shot from 9 ft
2:01.0,,,75-87,,Offensive rebound by T. Black
1:55.0,,,75-87,,L. Williams misses 3-pt shot from 24 ft
1:54.0,Defensive rebound by D. Williams,,75-87,,
1:46.0,T. Johnson misses 3-pt shot from 25 ft,,75-87,,
1:46.0,Offensive rebound by Team,,75-87,,
1:46.0,,,75-87,,J. Calderon enters the game for D. Russell
1:36.0,D. Williams misses 3-pt shot from 24 ft,,75-87,,
1:34.0,,,75-87,,Defensive rebound by J. Calderon
1:23.0,,,75-87,,B. Ingram misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by J. Johnson,,75-87,,
1:17.0,Shooting foul by J. Randle (drawn by J. Johnson),,75-87,,
1:17.0,J. Johnson misses free throw 1 of 2,,75-87,,
1:17.0,Offensive rebound by Team,,75-87,,
1:17.0,J. Johnson makes free throw 2 of 2,1,76-87,,
1:17.0,,,75-87,,T. Robinson enters the game for J. Randle
1:01.0,,,76-90,3,L. Williams makes 3-pt shot from 26 ft
0:46.0,J. Johnson makes 3-pt shot from 25 ft (assist by D. Williams),3,79-90,,
0:32.0,,,79-90,,T. Robinson misses 2-pt shot from 3 ft (block by D. Williams)
0:29.0,,,79-90,,Offensive rebound by T. Robinson
0:26.0,,,79-90,,T. Robinson misses 2-pt shot from 4 ft
0:22.0,Defensive rebound by J. Johnson,,79-90,,
0:21.0,Turnover by J. Johnson (lost ball; steal by T. Robinson),,79-90,,
0:04.0,,,79-90,,L. Williams misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by D. Waiters,,79-90,,
0:01.0,J. Johnson misses 3-pt shot from 50 ft,,79-90,,
0:00.0,Offensive rebound by Team,,79-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,79-90,,Shooting foul by D. Waiters (drawn by B. Ingram)
11:48.0,,,79-91,1,B. Ingram makes free throw 1 of 2
11:48.0,,,79-92,1,B. Ingram makes free throw 2 of 2
11:31.0,R. McGruder makes 3-pt shot from 25 ft (assist by D. Waiters),3,82-92,,
11:14.0,,,82-92,,J. Calderon misses 3-pt shot from 26 ft
11:13.0,,,82-92,,Offensive rebound by T. Robinson
11:12.0,Personal foul by D. Williams (drawn by T. Robinson),,82-92,,
11:09.0,,,82-92,,Offensive foul by T. Robinson
11:09.0,,,82-92,,Turnover by T. Robinson (offensive foul)
10:56.0,,,82-92,,Personal foul by T. Robinson (drawn by D. Williams)
10:47.0,D. Waiters makes 2-pt shot from 20 ft,2,84-92,,
10:35.0,,,84-94,2,B. Ingram makes 2-pt shot from 3 ft (assist by T. Black)
10:35.0,,,84-94,,Shooting foul by D. Waiters (drawn by B. Ingram)
10:35.0,,,84-95,1,B. Ingram makes free throw 1 of 1
10:23.0,W. Reed makes 2-pt shot from 1 ft,2,86-95,,
10:06.0,,,86-97,2,T. Black makes 2-pt shot from 1 ft (assist by B. Ingram)
9:52.0,D. Williams misses 2-pt shot from 17 ft,,86-97,,
9:49.0,,,86-97,,Defensive rebound by T. Robinson
9:43.0,,,86-97,,L. Williams misses 2-pt shot at rim (block by W. Reed)
9:41.0,,,86-97,,Offensive rebound by J. Calderon
9:34.0,,,86-97,,T. Black misses 2-pt shot from 1 ft
9:32.0,Defensive rebound by W. Reed,,86-97,,
9:29.0,Shooting foul by T. Black (drawn by D. Waiters),,86-97,,
9:29.0,D. Waiters makes 2-pt shot from 5 ft,2,88-97,,
9:29.0,D. Waiters makes free throw 1 of 1,1,89-97,,
9:29.0,J. Richardson enters the game for R. McGruder,,88-97,,
9:29.0,J. Johnson enters the game for D. Williams,,88-97,,
9:29.0,,,88-97,,L. Deng enters the game for T. Robinson
9:17.0,,,89-97,,L. Williams misses 2-pt shot from 15 ft
9:17.0,,,89-97,,Offensive rebound by T. Black
9:17.0,Personal foul by T. Johnson (drawn by T. Black),,89-97,,
9:06.0,,,89-99,2,L. Deng makes 2-pt shot from 1 ft (assist by L. Williams)
8:41.0,W. Reed misses 2-pt shot from 16 ft,,89-99,,
8:41.0,,,89-99,,Defensive rebound by Team
8:41.0,Official timeout,,89-99,,
8:41.0,,,89-99,,N. Young enters the game for J. Calderon
8:26.0,,,89-101,2,L. Williams makes 2-pt shot from 2 ft
8:15.0,Shooting foul by L. Williams (drawn by J. Richardson),,89-101,,
8:15.0,J. Richardson misses free throw 1 of 2,,89-101,,
8:15.0,Offensive rebound by Team,,89-101,,
8:15.0,J. Richardson makes free throw 2 of 2,1,90-101,,
8:09.0,Personal foul by J. Richardson (drawn by B. Ingram),,90-101,,
8:09.0,,,90-102,1,B. Ingram makes free throw 1 of 2
8:09.0,,,90-103,1,B. Ingram makes free throw 2 of 2
7:55.0,T. Johnson misses 2-pt shot from 17 ft,,90-103,,
