time,New York,pts.away,score,pts.home,LA Lakers
6:23.0,Defensive rebound by B. Jennings,,45-42,,
6:14.0,B. Jennings misses 2-pt shot from 4 ft,,45-42,,
6:10.0,Offensive rebound by W. Hernangomez,,45-42,,
6:10.0,W. Hernangomez makes 2-pt shot from 1 ft,2,47-42,,
5:57.0,,,47-42,,J. Randle misses 2-pt shot from 5 ft
5:53.0,Defensive rebound by K. Porzingis,,47-42,,
5:44.0,D. Rose makes 2-pt shot from 17 ft,2,49-42,,
5:34.0,,,49-42,,LA Lakers full timeout
5:34.0,,,49-42,,N. Young enters the game for B. Ingram
5:34.0,,,49-42,,J. Clarkson enters the game for L. Nance
5:34.0,,,49-42,,T. Mozgov enters the game for L. Williams
5:19.0,,,49-42,,L. Deng misses 2-pt shot from 14 ft
5:18.0,Defensive rebound by W. Hernangomez,,49-42,,
5:02.0,B. Jennings misses 2-pt shot from 20 ft,,49-42,,
5:00.0,Offensive rebound by W. Hernangomez,,49-42,,
4:56.0,W. Hernangomez misses 2-pt shot from 2 ft (block by T. Mozgov),,49-42,,
4:52.0,Offensive rebound by W. Hernangomez,,49-42,,
4:48.0,W. Hernangomez misses 2-pt shot from 9 ft,,49-42,,
4:45.0,,,49-42,,Defensive rebound by J. Randle
4:41.0,,,49-42,,N. Young misses 3-pt shot from 26 ft
4:40.0,Defensive rebound by W. Hernangomez,,49-42,,
4:33.0,B. Jennings makes 2-pt shot from 20 ft,2,51-42,,
4:07.0,,,51-44,2,J. Randle makes 2-pt shot from 2 ft
3:48.0,D. Rose makes 2-pt shot from 7 ft (assist by B. Jennings),2,53-44,,
3:30.0,,,53-46,2,N. Young makes 2-pt shot from 4 ft
3:24.0,New York full timeout,,53-46,,
3:24.0,J. Noah enters the game for W. Hernangomez,,53-46,,
3:24.0,C. Anthony enters the game for B. Jennings,,53-46,,
3:16.0,K. Porzingis makes 2-pt shot from 18 ft (assist by J. Noah),2,55-46,,
2:58.0,,,55-48,2,N. Young makes 2-pt shot from 18 ft (assist by T. Mozgov)
2:35.0,C. Anthony misses 3-pt shot from 26 ft,,55-48,,
2:34.0,,,55-48,,Defensive rebound by N. Young
2:18.0,,,55-48,,Turnover by T. Mozgov (lost ball; steal by K. Porzingis)
2:12.0,C. Lee misses 2-pt shot from 23 ft,,55-48,,
2:06.0,,,55-48,,Defensive rebound by J. Clarkson
2:01.0,,,55-48,,Shooting foul by C. Lee (drawn by N. Young)
2:01.0,,,55-48,,N. Young misses free throw 1 of 3
2:01.0,,,55-48,,Offensive rebound by Team
2:01.0,,,55-49,1,N. Young makes free throw 2 of 3
2:01.0,,,55-50,1,N. Young makes free throw 3 of 3
1:35.0,K. Porzingis misses 3-pt shot from 26 ft,,55-50,,
1:34.0,,,55-50,,Defensive rebound by J. Randle
1:30.0,,,55-50,,Turnover by J. Randle (bad pass)
1:30.0,,,55-50,,L. Williams enters the game for N. Young
1:18.0,C. Anthony misses 3-pt shot from 25 ft,,55-50,,
1:17.0,,,55-50,,Defensive rebound by J. Randle
1:07.0,,,55-52,2,J. Clarkson makes 2-pt shot from 17 ft (assist by J. Randle)
0:53.0,D. Rose makes 2-pt shot from 2 ft,2,57-52,,
0:45.0,,,57-52,,Shooting foul by C. Lee
0:45.0,,,57-53,1,L. Williams makes free throw 1 of 2
0:45.0,,,57-54,1,L. Williams makes free throw 2 of 2
0:31.0,D. Rose misses 2-pt shot from 17 ft,,57-54,,
0:29.0,,,57-54,,Defensive rebound by Team
0:11.0,Violation by K. Porzingis (kicked ball),,57-54,,
0:01.0,,,57-56,2,J. Randle makes 2-pt shot from 7 ft (assist by L. Williams)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,57-56,,Turnover by D. Russell (bad pass)
11:22.0,D. Rose makes 2-pt shot from 16 ft (assist by C. Anthony),2,59-56,,
11:05.0,,,59-58,2,T. Mozgov makes 2-pt shot from 8 ft
10:52.0,K. Porzingis makes 2-pt shot from 14 ft (assist by C. Lee),2,61-58,,
10:52.0,Shooting foul by J. Randle (drawn by K. Porzingis),,61-58,,
10:52.0,K. Porzingis makes free throw 1 of 1,1,62-58,,
10:42.0,,,62-60,2,L. Deng makes 2-pt shot from 20 ft
10:31.0,C. Anthony misses 2-pt shot from 17 ft,,62-60,,
10:27.0,Offensive rebound by K. Porzingis,,62-60,,
10:22.0,D. Rose misses 2-pt shot from 13 ft,,62-60,,
10:18.0,,,62-60,,Defensive rebound by L. Deng
10:13.0,,,62-60,,T. Mozgov misses 2-pt shot from 11 ft (block by J. Noah)
10:11.0,Defensive rebound by K. Porzingis,,62-60,,
10:07.0,,,62-60,,Personal foul by T. Mozgov (drawn by K. Porzingis)
10:01.0,C. Anthony makes 2-pt shot from 2 ft (assist by J. Noah),2,64-60,,
10:00.0,Violation by Team (jump ball),,64-60,,
9:45.0,,,64-60,,J. Randle misses 2-pt shot from 2 ft (block by K. Porzingis)
9:41.0,Defensive rebound by C. Anthony,,64-60,,
9:34.0,J. Noah misses 2-pt shot from 2 ft,,64-60,,
9:32.0,,,64-60,,Defensive rebound by T. Mozgov
9:24.0,,,64-63,3,L. Deng makes 3-pt shot from 24 ft (assist by D. Russell)
9:10.0,Turnover by D. Rose (traveling),,64-63,,
9:02.0,,,64-63,,Turnover by D. Russell (bad pass)
8:46.0,D. Rose misses 2-pt shot from 6 ft,,64-63,,
8:43.0,Offensive rebound by J. Noah,,64-63,,
8:43.0,J. Noah misses 2-pt shot from 2 ft,,64-63,,
8:40.0,,,64-63,,Defensive rebound by L. Deng
8:40.0,,,64-63,,Turnover by D. Russell (bad pass)
8:25.0,,,64-63,,Personal foul by L. Deng (drawn by J. Noah)
8:14.0,C. Anthony makes 2-pt shot from 14 ft,2,66-63,,
7:54.0,,,66-65,2,T. Mozgov makes 2-pt shot from 2 ft (assist by L. Deng)
7:30.0,K. Porzingis misses 2-pt shot from 17 ft,,66-65,,
7:29.0,,,66-65,,Defensive rebound by J. Randle
7:14.0,,,66-68,3,L. Deng makes 3-pt shot from 25 ft (assist by D. Russell)
6:50.0,Turnover by D. Rose (bad pass; steal by D. Russell),,66-68,,
6:45.0,,,66-68,,Turnover by D. Russell (bad pass)
6:31.0,C. Anthony misses 2-pt shot from 20 ft,,66-68,,
6:30.0,,,66-68,,Defensive rebound by T. Mozgov
6:18.0,,,66-68,,D. Russell misses 2-pt shot from 7 ft
6:16.0,Defensive rebound by D. Rose,,66-68,,
6:11.0,C. Lee makes 3-pt shot from 24 ft (assist by D. Rose),3,69-68,,
