time,Indiana,pts.away,score,pts.home,Charlotte
6:30.0,,,12-29,,Shooting foul by M. Ellis (drawn by C. Zeller)
6:30.0,,,12-30,1,C. Zeller makes free throw 1 of 1
6:30.0,C. Miles enters the game for M. Ellis,,12-29,,
6:10.0,Shooting foul by C. Zeller (drawn by J. Teague),,12-30,,
6:10.0,J. Teague makes free throw 1 of 2,1,13-30,,
6:10.0,J. Teague makes free throw 2 of 2,1,14-30,,
5:48.0,,,14-30,,M. Williams misses 2-pt shot from 16 ft
5:47.0,Defensive rebound by M. Turner,,14-30,,
5:24.0,M. Turner misses 3-pt shot from 28 ft,,14-30,,
5:22.0,,,14-30,,Defensive rebound by M. Williams
5:10.0,,,14-30,,C. Zeller misses 2-pt shot from 21 ft
5:09.0,Defensive rebound by T. Young,,14-30,,
4:57.0,J. Teague misses 2-pt shot at rim,,14-30,,
4:55.0,,,14-30,,Defensive rebound by N. Batum
4:54.0,,,14-32,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
4:54.0,,,14-32,,Shooting foul by T. Young (drawn by M. Kidd-Gilchrist)
4:54.0,,,14-33,1,M. Kidd-Gilchrist makes free throw 1 of 1
4:54.0,A. Jefferson enters the game for T. Young,,14-32,,
4:54.0,L. Allen enters the game for M. Turner,,14-32,,
4:54.0,,,14-32,,F. Kaminsky enters the game for M. Williams
4:45.0,C. Miles misses 3-pt shot from 25 ft,,14-33,,
4:43.0,Offensive rebound by L. Allen,,14-33,,
4:38.0,C. Miles makes 2-pt shot at rim (assist by A. Jefferson),2,16-33,,
4:25.0,,,16-35,2,N. Batum makes 2-pt shot from 19 ft (assist by K. Walker)
4:15.0,,,16-35,,Personal foul by M. Kidd-Gilchrist (drawn by J. Teague)
4:15.0,,,16-35,,M. Belinelli enters the game for M. Kidd-Gilchrist
4:09.0,P. George makes 2-pt shot from 20 ft (assist by J. Teague),2,18-35,,
3:56.0,,,18-38,3,K. Walker makes 3-pt shot from 24 ft
3:44.0,A. Jefferson makes 2-pt shot from 1 ft (assist by J. Teague),2,20-38,,
3:31.0,,,20-38,,F. Kaminsky misses 3-pt shot from 25 ft
3:30.0,Defensive rebound by A. Jefferson,,20-38,,
3:11.0,J. Teague misses 2-pt shot from 2 ft,,20-38,,
3:10.0,,,20-38,,Defensive rebound by K. Walker
3:04.0,,,20-40,2,K. Walker makes 2-pt shot from 1 ft
2:48.0,A. Jefferson makes 2-pt shot from 1 ft (assist by P. George),2,22-40,,
2:41.0,,,22-40,,Charlotte full timeout
2:41.0,A. Brooks enters the game for J. Teague,,22-40,,
2:41.0,,,22-40,,R. Sessions enters the game for C. Zeller
2:41.0,,,22-40,,S. Hawes enters the game for K. Walker
2:38.0,,,22-40,,N. Batum misses 2-pt shot from 18 ft
2:36.0,Defensive rebound by A. Jefferson,,22-40,,
2:30.0,Turnover by P. George (bad pass; steal by M. Belinelli),,22-40,,
2:25.0,,,22-43,3,M. Belinelli makes 3-pt shot from 25 ft
2:08.0,,,22-43,,Def 3 sec tech foul by R. Sessions
2:08.0,P. George makes technical free throw,1,23-43,,
1:53.0,A. Brooks misses 3-pt shot from 25 ft,,23-43,,
1:51.0,Offensive rebound by L. Allen,,23-43,,
1:51.0,L. Allen makes 2-pt shot from 1 ft,2,25-43,,
1:35.0,,,25-43,,F. Kaminsky misses 2-pt shot from 19 ft
1:33.0,Defensive rebound by P. George,,25-43,,
1:24.0,P. George makes 2-pt shot from 19 ft,2,27-43,,
1:05.0,,,27-43,,M. Belinelli misses 3-pt shot from 25 ft
1:04.0,Defensive rebound by L. Allen,,27-43,,
0:59.0,C. Miles makes 2-pt shot from 2 ft (assist by P. George),2,29-43,,
0:35.0,,,29-43,,S. Hawes misses 2-pt shot from 16 ft
0:34.0,Defensive rebound by A. Brooks,,29-43,,
0:15.0,A. Jefferson makes 2-pt shot from 7 ft (assist by A. Brooks),2,31-43,,
0:03.0,,,31-43,,Turnover by S. Hawes (lost ball; steal by C. Miles)
0:00.0,C. Miles makes 3-pt shot from 32 ft,3,34-43,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:46.0,,,34-43,,M. Belinelli misses 2-pt shot from 19 ft
11:45.0,Defensive rebound by A. Jefferson,,34-43,,
11:31.0,L. Allen makes 2-pt shot from 20 ft (assist by A. Brooks),2,36-43,,
11:19.0,,,36-45,2,S. Hawes makes 2-pt shot from 3 ft (assist by R. Sessions)
10:53.0,A. Jefferson misses 2-pt shot from 16 ft,,36-45,,
10:51.0,,,36-45,,Defensive rebound by M. Belinelli
10:42.0,,,36-45,,Shooting foul by A. Jefferson (drawn by M. Belinelli)
10:42.0,,,36-46,1,M. Belinelli makes free throw 1 of 2
10:42.0,,,36-47,1,M. Belinelli makes free throw 2 of 2
10:23.0,M. Ellis misses 3-pt shot from 23 ft,,36-47,,
10:22.0,,,36-47,,Defensive rebound by S. Hawes
10:14.0,,,36-47,,R. Sessions misses 3-pt shot from 25 ft
10:13.0,,,36-47,,Offensive rebound by S. Hawes
10:09.0,,,36-50,3,M. Belinelli makes 3-pt shot from 25 ft (assist by S. Hawes)
9:59.0,A. Jefferson makes 2-pt shot from 1 ft (assist by A. Brooks),2,38-50,,
9:59.0,Shooting foul by F. Kaminsky (drawn by A. Jefferson),,38-50,,
9:59.0,A. Jefferson misses free throw 1 of 1,,38-50,,
9:57.0,,,38-50,,Defensive rebound by F. Kaminsky
9:45.0,,,38-50,,Shooting foul by A. Brooks (drawn by R. Sessions)
9:45.0,,,38-52,2,R. Sessions makes 2-pt shot at rim (assist by M. Belinelli)
9:45.0,,,38-53,1,R. Sessions makes free throw 1 of 1
9:36.0,A. Brooks misses 2-pt shot from 3 ft (block by F. Kaminsky),,38-53,,
9:36.0,Offensive rebound by Team,,38-53,,
9:33.0,C. Miles misses 3-pt shot from 24 ft,,38-53,,
9:31.0,,,38-53,,Defensive rebound by M. Belinelli
9:23.0,,,38-53,,S. Hawes misses 3-pt shot from 25 ft
9:22.0,Defensive rebound by C. Miles,,38-53,,
9:15.0,A. Brooks misses 2-pt shot from 1 ft,,38-53,,
9:13.0,Offensive rebound by A. Jefferson,,38-53,,
9:13.0,A. Jefferson misses 2-pt shot at rim,,38-53,,
9:12.0,Offensive rebound by A. Jefferson,,38-53,,
9:12.0,A. Jefferson misses 2-pt shot from 1 ft,,38-53,,
9:12.0,Offensive rebound by Team,,38-53,,
8:59.0,Turnover by L. Allen (bad pass; steal by R. Sessions),,38-53,,
8:57.0,,,38-53,,Shooting foul by M. Ellis (drawn by R. Sessions)
8:57.0,Official timeout,,38-53,,
8:57.0,,,38-54,1,R. Sessions makes free throw 1 of 2
8:57.0,,,38-54,,R. Sessions misses free throw 2 of 2
8:57.0,P. George enters the game for M. Ellis,,38-53,,
8:56.0,Defensive rebound by A. Jefferson,,38-54,,
8:43.0,Turnover by P. George (bad pass),,38-54,,
8:26.0,,,38-54,,R. Sessions misses 3-pt shot from 25 ft
8:25.0,Defensive rebound by P. George,,38-54,,
8:12.0,C. Miles misses 3-pt shot from 25 ft,,38-54,,
8:11.0,,,38-54,,Defensive rebound by M. Kidd-Gilchrist
8:01.0,,,38-54,,S. Hawes misses 2-pt shot from 18 ft
7:59.0,,,38-54,,Offensive rebound by S. Hawes
7:48.0,,,38-56,2,F. Kaminsky makes 2-pt shot from 6 ft (assist by R. Sessions)
7:31.0,P. George misses 3-pt shot from 25 ft,,38-56,,
7:29.0,,,38-56,,Defensive rebound by R. Sessions
7:16.0,,,38-56,,F. Kaminsky misses 3-pt shot from 26 ft
7:15.0,Defensive rebound by A. Brooks,,38-56,,
7:03.0,C. Miles makes 2-pt shot from 1 ft (assist by P. George),2,40-56,,
6:45.0,,,40-58,2,F. Kaminsky makes 2-pt shot from 17 ft (assist by R. Sessions)
6:37.0,Indiana full timeout,,40-58,,
6:37.0,J. Teague enters the game for A. Jefferson,,40-58,,
6:37.0,M. Turner enters the game for A. Brooks,,40-58,,
6:23.0,C. Miles makes 3-pt shot from 24 ft (assist by P. George),3,43-58,,
6:09.0,,,43-58,,M. Belinelli misses 2-pt shot from 1 ft
6:08.0,Defensive rebound by L. Allen,,43-58,,
6:00.0,Turnover by J. Teague (bad pass; steal by M. Belinelli),,43-58,,
5:56.0,,,43-58,,Shooting foul by L. Allen (drawn by F. Kaminsky)
5:56.0,,,43-60,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by R. Sessions)
5:56.0,,,43-60,,F. Kaminsky misses free throw 1 of 1
5:56.0,,,43-60,,K. Walker enters the game for M. Kidd-Gilchrist
5:56.0,,,43-60,,N. Batum enters the game for M. Belinelli
5:55.0,Defensive rebound by L. Allen,,43-60,,
5:49.0,J. Teague makes 2-pt shot from 1 ft,2,45-60,,
5:40.0,,,45-62,2,S. Hawes makes 2-pt shot at rim (assist by R. Sessions)
5:27.0,P. George misses 3-pt shot from 24 ft,,45-62,,
5:26.0,,,45-62,,Defensive rebound by S. Hawes
5:04.0,,,45-62,,F. Kaminsky misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by C. Miles,,45-62,,
4:52.0,J. Teague misses 2-pt shot from 13 ft,,45-62,,
4:51.0,,,45-62,,Defensive rebound by S. Hawes
4:43.0,,,45-62,,Turnover by N. Batum (bad pass)
4:43.0,,,45-62,,M. Williams enters the game for S. Hawes
4:43.0,G. Robinson enters the game for C. Miles,,45-62,,
4:27.0,G. Robinson misses 3-pt shot from 23 ft,,45-62,,
4:26.0,Offensive rebound by P. George,,45-62,,
4:22.0,P. George makes 2-pt shot from 1 ft,2,47-62,,
4:07.0,,,47-62,,Turnover by F. Kaminsky (bad pass; steal by P. George)
4:03.0,M. Turner makes 2-pt shot at rim (assist by J. Teague),2,49-62,,
4:03.0,,,49-62,,Charlotte full timeout
4:03.0,,,49-62,,C. Zeller enters the game for F. Kaminsky
4:03.0,,,49-62,,T. Graham enters the game for R. Sessions
3:47.0,,,49-62,,Shooting foul by L. Allen (drawn by M. Williams)
3:47.0,,,49-63,1,M. Williams makes free throw 1 of 2
3:47.0,,,49-63,,M. Williams misses free throw 2 of 2
3:45.0,Defensive rebound by M. Turner,,49-63,,
3:34.0,Shooting foul by T. Graham (drawn by M. Turner),,49-63,,
3:34.0,M. Turner makes free throw 1 of 2,1,50-63,,
3:34.0,M. Turner makes free throw 2 of 2,1,51-63,,
3:34.0,T. Young enters the game for L. Allen,,50-63,,
3:28.0,,,51-63,,Turnover by K. Walker (bad pass; steal by P. George)
3:23.0,P. George misses 2-pt shot from 1 ft (block by K. Walker),,51-63,,
3:21.0,,,51-63,,Defensive rebound by C. Zeller
3:14.0,,,51-63,,M. Williams misses 3-pt shot from 25 ft
3:13.0,Defensive rebound by T. Young,,51-63,,
3:09.0,,,51-63,,Personal foul by T. Graham (drawn by P. George)
3:00.0,T. Young misses 2-pt shot from 17 ft,,51-63,,
2:58.0,Offensive rebound by P. George,,51-63,,
2:58.0,P. George misses 2-pt shot from 1 ft,,51-63,,
2:57.0,,,51-63,,Defensive rebound by C. Zeller
2:44.0,,,51-63,,K. Walker misses 2-pt shot from 7 ft (block by J. Teague)
2:43.0,Defensive rebound by M. Turner,,51-63,,
2:38.0,J. Teague misses 3-pt shot from 25 ft,,51-63,,
2:37.0,,,51-63,,Defensive rebound by T. Graham
2:23.0,,,51-66,3,T. Graham makes 3-pt shot from 26 ft (assist by K. Walker)
2:05.0,J. Teague misses 3-pt shot from 24 ft,,51-66,,
2:03.0,,,51-66,,Defensive rebound by K. Walker
2:02.0,Personal foul by T. Young (drawn by K. Walker),,51-66,,
2:02.0,,,51-67,1,K. Walker makes free throw 1 of 2
2:02.0,,,51-68,1,K. Walker makes free throw 2 of 2
2:02.0,L. Allen enters the game for T. Young,,51-67,,
1:53.0,,,51-68,,Personal foul by T. Graham (drawn by P. George)
1:53.0,,,51-68,,M. Belinelli enters the game for T. Graham
1:45.0,Turnover by M. Turner (bad pass; steal by M. Belinelli),,51-68,,
1:40.0,,,51-70,2,M. Williams makes 2-pt shot from 1 ft (assist by M. Belinelli)
1:40.0,,,51-70,,Shooting foul by L. Allen (drawn by M. Williams)
1:40.0,,,51-71,1,M. Williams makes free throw 1 of 1
1:40.0,G. Niang enters the game for L. Allen,,51-70,,
1:22.0,J. Teague makes 2-pt shot from 17 ft,2,53-71,,
0:58.0,,,53-71,,N. Batum misses 2-pt shot from 22 ft
0:57.0,,,53-71,,Offensive rebound by M. Belinelli
0:48.0,,,53-71,,Turnover by M. Williams (lost ball; steal by G. Robinson)
0:44.0,G. Robinson makes 2-pt shot at rim,2,55-71,,
0:44.0,Shooting foul by C. Zeller (drawn by G. Robinson),,55-71,,
0:44.0,G. Robinson misses free throw 1 of 1,,55-71,,
0:44.0,,,55-71,,S. Hawes enters the game for C. Zeller
0:43.0,,,55-71,,Defensive rebound by M. Williams
0:33.0,,,55-74,3,K. Walker makes 3-pt shot from 28 ft
0:32.0,Turnover by P. George (traveling),,55-74,,
0:20.0,,,55-74,,Shooting foul by M. Turner (drawn by K. Walker)
0:20.0,,,55-74,,K. Walker misses free throw 1 of 2
0:20.0,,,55-74,,Offensive rebound by Team
0:20.0,Indiana full timeout,,55-74,,
0:20.0,,,55-75,1,K. Walker makes free throw 2 of 2
0:03.0,G. Robinson misses 3-pt shot from 24 ft,,55-75,,
0:00.0,Offensive rebound by J. Teague,,55-75,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,55-77,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
11:32.0,M. Turner makes 2-pt shot from 20 ft (assist by J. Teague),2,57-77,,
11:20.0,,,57-77,,K. Walker misses 3-pt shot from 25 ft
11:18.0,Defensive rebound by P. George,,57-77,,
11:07.0,T. Young misses 2-pt shot from 6 ft,,57-77,,
11:06.0,,,57-77,,Defensive rebound by M. Williams
10:52.0,,,57-77,,M. Williams misses 2-pt shot from 19 ft
10:51.0,Defensive rebound by M. Turner,,57-77,,
10:34.0,M. Turner misses 3-pt shot from 25 ft,,57-77,,
10:33.0,,,57-77,,Defensive rebound by N. Batum
10:28.0,Personal foul by M. Turner (drawn by C. Zeller),,57-77,,
10:15.0,,,57-77,,M. Williams misses 3-pt shot from 25 ft
10:14.0,Defensive rebound by Team,,57-77,,
10:04.0,M. Ellis makes 2-pt shot from 19 ft,2,59-77,,
9:50.0,,,59-79,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
9:35.0,T. Young misses 2-pt shot from 14 ft,,59-79,,
9:34.0,,,59-79,,Defensive rebound by N. Batum
9:25.0,,,59-79,,K. Walker misses 2-pt shot from 19 ft
9:24.0,Defensive rebound by P. George,,59-79,,
9:03.0,Turnover by J. Teague (bad pass; steal by N. Batum),,59-79,,
9:02.0,Personal foul by J. Teague (drawn by M. Kidd-Gilchrist),,59-79,,
8:48.0,,,59-79,,N. Batum misses 3-pt shot from 25 ft
8:46.0,Defensive rebound by T. Young,,59-79,,
8:42.0,Turnover by J. Teague (bad pass; steal by K. Walker),,59-79,,
8:31.0,,,59-82,3,M. Williams makes 3-pt shot from 24 ft (assist by K. Walker)
8:31.0,Indiana full timeout,,59-82,,
8:31.0,L. Allen enters the game for T. Young,,59-82,,
8:31.0,A. Brooks enters the game for J. Teague,,59-82,,
8:16.0,P. George makes 3-pt shot from 25 ft (assist by A. Brooks),3,62-82,,
7:52.0,,,62-82,,M. Williams misses 3-pt shot from 26 ft
7:51.0,Defensive rebound by L. Allen,,62-82,,
7:30.0,M. Turner misses 2-pt shot from 9 ft,,62-82,,
7:29.0,,,62-82,,Defensive rebound by C. Zeller
7:19.0,Personal foul by M. Ellis (drawn by N. Batum),,62-82,,
7:19.0,,,62-82,,M. Belinelli enters the game for M. Kidd-Gilchrist
7:19.0,C. Miles enters the game for M. Ellis,,62-82,,
7:07.0,,,62-82,,C. Zeller misses 2-pt shot from 18 ft
7:06.0,Defensive rebound by L. Allen,,62-82,,
6:50.0,Turnover by A. Brooks (lost ball),,62-82,,
6:38.0,,,62-82,,N. Batum misses 2-pt shot from 22 ft
6:37.0,Defensive rebound by C. Miles,,62-82,,
6:26.0,A. Brooks makes 2-pt shot from 11 ft,2,64-82,,
6:18.0,Personal foul by A. Brooks (drawn by K. Walker),,64-82,,
6:11.0,,,64-85,3,K. Walker makes 3-pt shot from 25 ft
5:45.0,M. Turner makes 2-pt shot at rim (assist by A. Brooks),2,66-85,,
5:18.0,,,66-85,,M. Belinelli misses 3-pt shot from 29 ft
5:17.0,Defensive rebound by M. Turner,,66-85,,
5:11.0,,,66-85,,Personal foul by M. Williams (drawn by L. Allen)
5:11.0,,,66-85,,F. Kaminsky enters the game for M. Williams
5:08.0,,,66-85,,Personal foul by N. Batum (drawn by P. George)
5:02.0,P. George misses 3-pt shot from 26 ft,,66-85,,
5:01.0,,,66-85,,Defensive rebound by C. Zeller
4:55.0,,,66-85,,Shooting foul by A. Brooks (drawn by K. Walker)
4:55.0,,,66-86,1,K. Walker makes free throw 1 of 2
4:55.0,,,66-87,1,K. Walker makes free throw 2 of 2
4:55.0,A. Jefferson enters the game for M. Turner,,66-86,,
4:41.0,C. Miles makes 3-pt shot from 25 ft (assist by A. Brooks),3,69-87,,
4:25.0,,,69-87,,M. Belinelli misses 2-pt shot from 1 ft
4:24.0,Defensive rebound by A. Jefferson,,69-87,,
4:06.0,A. Brooks misses 3-pt shot from 25 ft,,69-87,,
4:05.0,,,69-87,,Defensive rebound by C. Zeller
4:04.0,,,69-87,,Shooting foul by A. Brooks (drawn by C. Zeller)
4:04.0,,,69-88,1,C. Zeller makes free throw 1 of 2
4:04.0,,,69-89,1,C. Zeller makes free throw 2 of 2
3:46.0,Turnover by P. George (bad pass; steal by K. Walker),,69-89,,
3:36.0,,,69-92,3,K. Walker makes 3-pt shot from 25 ft (assist by F. Kaminsky)
3:36.0,Loose ball foul by A. Brooks (drawn by N. Batum),,69-92,,
3:36.0,Technical foul by A. Brooks (drawn by N. Batum),,69-92,,
3:36.0,,,69-93,1,N. Batum makes technical free throw
3:36.0,,,69-94,1,N. Batum makes free throw 1 of 1
3:36.0,J. Young enters the game for A. Brooks,,69-93,,
3:13.0,J. Young misses 2-pt shot from 17 ft,,69-94,,
3:11.0,,,69-94,,Defensive rebound by N. Batum
3:02.0,,,69-94,,Turnover by F. Kaminsky (traveling)
2:47.0,A. Jefferson makes 2-pt shot from 7 ft,2,71-94,,
2:23.0,,,71-94,,F. Kaminsky misses 3-pt shot from 26 ft
2:22.0,Defensive rebound by J. Young,,71-94,,
2:08.0,A. Jefferson misses 2-pt shot from 9 ft,,71-94,,
2:06.0,Offensive rebound by C. Miles,,71-94,,
2:03.0,C. Miles makes 3-pt shot from 24 ft,3,74-94,,
2:03.0,,,74-94,,Charlotte full timeout
2:03.0,,,74-94,,S. Hawes enters the game for C. Zeller
2:03.0,,,74-94,,R. Sessions enters the game for K. Walker
1:49.0,,,74-94,,Turnover by F. Kaminsky (lost ball; steal by A. Jefferson)
1:44.0,J. Young makes 2-pt shot at rim,2,76-94,,
1:37.0,Personal foul by P. George (drawn by N. Batum),,76-94,,
1:37.0,,,76-95,1,N. Batum makes free throw 1 of 2
1:37.0,,,76-96,1,N. Batum makes free throw 2 of 2
1:22.0,A. Jefferson makes 2-pt shot from 1 ft,2,78-96,,
0:59.0,,,78-99,3,S. Hawes makes 3-pt shot from 23 ft (assist by M. Belinelli)
0:46.0,C. Miles misses 3-pt shot from 23 ft,,78-99,,
0:44.0,,,78-99,,Defensive rebound by S. Hawes
0:38.0,,,78-99,,S. Hawes misses 3-pt shot from 25 ft
0:37.0,Defensive rebound by P. George,,78-99,,
0:27.0,Turnover by C. Miles (bad pass),,78-99,,
0:08.0,,,78-99,,S. Hawes misses 2-pt shot from 1 ft
0:07.0,Defensive rebound by A. Jefferson,,78-99,,
0:00.0,P. George misses 3-pt shot from 26 ft,,78-99,,
0:00.0,Offensive rebound by Team,,78-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,C. Miles makes 3-pt shot from 25 ft,3,81-99,,
11:40.0,,,81-99,,Turnover by F. Kaminsky (bad pass; steal by J. Young)
11:38.0,J. Young makes 2-pt shot at rim,2,83-99,,
11:24.0,Personal foul by M. Ellis (drawn by M. Belinelli),,83-99,,
11:16.0,,,83-101,2,R. Sessions makes 2-pt shot from 16 ft
11:07.0,C. Miles misses 2-pt shot from 22 ft,,83-101,,
11:05.0,,,83-101,,Defensive rebound by S. Hawes
10:55.0,,,83-101,,Shooting foul by C. Miles (drawn by M. Belinelli)
10:55.0,,,83-102,1,M. Belinelli makes free throw 1 of 2
10:55.0,,,83-103,1,M. Belinelli makes free throw 2 of 2
10:42.0,J. Young misses 3-pt shot from 23 ft,,83-103,,
10:41.0,,,83-103,,Defensive rebound by T. Graham
10:31.0,,,83-103,,F. Kaminsky misses 3-pt shot from 23 ft
10:29.0,Defensive rebound by J. Young,,83-103,,
10:24.0,Shooting foul by S. Hawes (drawn by C. Miles),,83-103,,
10:24.0,C. Miles makes free throw 1 of 2,1,84-103,,
10:24.0,C. Miles makes free throw 2 of 2,1,85-103,,
10:10.0,,,85-105,2,S. Hawes makes 2-pt shot from 5 ft (assist by R. Sessions)
9:54.0,C. Miles misses 3-pt shot from 25 ft,,85-105,,
9:49.0,,,85-105,,Defensive rebound by S. Hawes
9:37.0,,,85-105,,Shooting foul by A. Jefferson (drawn by R. Sessions)
9:37.0,,,85-106,1,R. Sessions makes free throw 1 of 2
9:37.0,,,85-107,1,R. Sessions makes free throw 2 of 2
9:16.0,J. Young misses 2-pt shot from 16 ft,,85-107,,
9:14.0,Offensive rebound by A. Jefferson,,85-107,,
9:14.0,A. Jefferson misses 2-pt shot from 15 ft,,85-107,,
9:14.0,Offensive rebound by Team,,85-107,,
9:14.0,,,85-107,,Loose ball foul by M. Belinelli (drawn by T. Young)
9:12.0,Turnover by C. Miles (bad pass; steal by S. Hawes),,85-107,,
8:53.0,,,85-109,2,S. Hawes makes 2-pt shot from 18 ft (assist by F. Kaminsky)
8:38.0,J. Young misses 2-pt shot from 18 ft,,85-109,,
8:37.0,,,85-109,,Defensive rebound by S. Hawes
8:25.0,,,85-109,,R. Sessions misses 2-pt shot from 18 ft
8:24.0,Defensive rebound by T. Young,,85-109,,
8:05.0,C. Miles misses 3-pt shot from 25 ft,,85-109,,
8:03.0,,,85-109,,Defensive rebound by S. Hawes
7:51.0,,,85-109,,F. Kaminsky misses 3-pt shot from 25 ft
7:49.0,Defensive rebound by T. Young,,85-109,,
7:48.0,Indiana full timeout,,85-109,,
7:48.0,G. Niang enters the game for T. Young,,85-109,,
7:48.0,G. Robinson enters the game for M. Ellis,,85-109,,
7:48.0,A. Brooks enters the game for C. Miles,,85-109,,
7:48.0,K. Seraphin enters the game for A. Jefferson,,85-109,,
7:30.0,G. Robinson makes 3-pt shot from 24 ft (assist by J. Young),3,88-109,,
7:03.0,,,88-109,,R. Sessions misses 2-pt shot from 12 ft
7:02.0,Defensive rebound by K. Seraphin,,88-109,,
6:55.0,Turnover by G. Niang (bad pass; steal by S. Hawes),,88-109,,
6:40.0,,,88-109,,Shooting foul by G. Niang (drawn by F. Kaminsky)
6:40.0,,,88-111,2,F. Kaminsky makes 2-pt shot from 9 ft (assist by R. Sessions)
6:40.0,,,88-112,1,F. Kaminsky makes free throw 1 of 1
6:22.0,K. Seraphin misses 2-pt shot from 9 ft,,88-112,,
6:21.0,,,88-112,,Defensive rebound by F. Kaminsky
6:12.0,,,88-112,,F. Kaminsky misses 2-pt shot at rim
6:11.0,Defensive rebound by K. Seraphin,,88-112,,
6:06.0,Turnover by A. Brooks (step out of bounds),,88-112,,
5:54.0,,,88-114,2,M. Belinelli makes 2-pt shot from 18 ft
5:39.0,K. Seraphin makes 2-pt shot from 18 ft (assist by A. Brooks),2,90-114,,
5:21.0,,,90-114,,Turnover by M. Belinelli (bad pass)
5:21.0,Official timeout,,90-114,,
5:04.0,G. Niang misses 2-pt shot from 11 ft,,90-114,,
5:01.0,Offensive rebound by G. Niang,,90-114,,
4:57.0,A. Brooks misses 3-pt shot from 26 ft,,90-114,,
4:56.0,,,90-114,,Defensive rebound by S. Hawes
4:42.0,,,90-116,2,S. Hawes makes 2-pt shot at rim (assist by M. Belinelli)
4:31.0,K. Seraphin misses 2-pt shot from 7 ft,,90-116,,
4:30.0,,,90-116,,Defensive rebound by S. Hawes
