time,LA Clippers,pts.away,score,pts.home,Dallas
9:25.0,,,54-54,,H. Barnes misses 2-pt shot from 2 ft (block by D. Jordan)
9:24.0,Defensive rebound by D. Jordan,,54-54,,
9:06.0,J. Redick makes 2-pt shot from 3 ft (assist by C. Paul),2,56-54,,
8:40.0,,,56-56,2,H. Barnes makes 2-pt shot from 20 ft (assist by S. Curry)
8:25.0,Turnover by C. Paul (bad pass; steal by H. Barnes),,56-56,,
8:19.0,,,56-56,,Shooting foul by C. Paul (drawn by H. Barnes)
8:19.0,,,56-57,1,H. Barnes makes free throw 1 of 2
8:19.0,,,56-58,1,H. Barnes makes free throw 2 of 2
8:03.0,L. Mbah a Moute misses 3-pt shot from 23 ft,,56-58,,
8:02.0,,,56-58,,Defensive rebound by D. Nowitzki
7:50.0,,,56-61,3,S. Curry makes 3-pt shot from 25 ft (assist by W. Matthews)
7:50.0,LA Clippers full timeout,,56-61,,
7:32.0,B. Griffin misses 2-pt shot from 7 ft,,56-61,,
7:31.0,,,56-61,,Defensive rebound by N. Noel
7:20.0,,,56-61,,Turnover by N. Noel (traveling)
7:07.0,Turnover by L. Mbah a Moute (bad pass; steal by N. Noel),,56-61,,
7:01.0,,,56-61,,W. Matthews misses 3-pt shot from 24 ft
7:00.0,,,56-61,,Offensive rebound by N. Noel
6:59.0,,,56-61,,N. Noel misses 2-pt shot from 1 ft
6:58.0,,,56-61,,Offensive rebound by N. Noel
6:58.0,,,56-61,,Shooting foul by D. Jordan (drawn by N. Noel)
6:58.0,,,56-61,,N. Noel misses free throw 1 of 2
6:58.0,,,56-61,,Offensive rebound by Team
6:58.0,,,56-61,,N. Noel misses free throw 2 of 2
6:58.0,,,56-61,,J. Barea enters the game for D. Nowitzki
6:58.0,A. Rivers enters the game for L. Mbah a Moute,,56-61,,
6:56.0,Defensive rebound by B. Griffin,,56-61,,
6:46.0,C. Paul misses 3-pt shot from 25 ft,,56-61,,
6:45.0,,,56-61,,Defensive rebound by W. Matthews
6:35.0,,,56-61,,S. Curry misses 2-pt shot from 20 ft
6:35.0,Defensive rebound by D. Jordan,,56-61,,
6:17.0,B. Griffin misses 2-pt shot from 4 ft (block by N. Noel),,56-61,,
6:16.0,,,56-61,,Defensive rebound by S. Curry
6:09.0,,,56-61,,H. Barnes misses 3-pt shot from 22 ft
6:08.0,Defensive rebound by A. Rivers,,56-61,,
5:52.0,B. Griffin makes 2-pt shot from 3 ft,2,58-61,,
5:41.0,,,58-63,2,S. Curry makes 2-pt shot from 4 ft (assist by W. Matthews)
5:29.0,,,58-63,,Flagrant foul type 1 by J. Barea
5:29.0,B. Griffin makes flagrant free throw 1 of 2,1,59-63,,
5:29.0,B. Griffin misses flagrant free throw 2 of 2,,59-63,,
5:29.0,Offensive rebound by Team,,59-63,,
5:29.0,,,58-63,,Y. Ferrell enters the game for J. Barea
5:15.0,J. Redick misses 2-pt shot from 21 ft,,59-63,,
5:14.0,Offensive rebound by D. Jordan,,59-63,,
5:14.0,D. Jordan makes 2-pt shot at rim,2,61-63,,
4:57.0,,,61-66,3,S. Curry makes 3-pt shot from 25 ft (assist by N. Noel)
4:43.0,Turnover by C. Paul (traveling),,61-66,,
4:29.0,,,61-66,,Shooting foul by D. Jordan (drawn by N. Noel)
4:29.0,,,61-68,2,N. Noel makes 2-pt shot from 1 ft (assist by S. Curry)
4:29.0,,,61-68,,N. Noel misses free throw 1 of 1
4:29.0,J. Crawford enters the game for J. Redick,,61-68,,
4:28.0,Defensive rebound by B. Griffin,,61-68,,
4:13.0,A. Rivers makes 2-pt shot from 1 ft (assist by J. Crawford),2,63-68,,
3:48.0,,,63-68,,H. Barnes misses 2-pt shot from 20 ft
3:47.0,Defensive rebound by Team,,63-68,,
3:32.0,A. Rivers makes 3-pt shot from 25 ft (assist by C. Paul),3,66-68,,
3:30.0,,,66-68,,Dallas full timeout
3:30.0,M. Speights enters the game for D. Jordan,,66-68,,
3:30.0,,,66-68,,D. Powell enters the game for N. Noel
3:11.0,,,66-70,2,H. Barnes makes 2-pt shot from 2 ft
2:42.0,J. Crawford makes 3-pt shot from 23 ft (assist by M. Speights),3,69-70,,
2:21.0,,,69-72,2,H. Barnes makes 2-pt shot from 3 ft
2:04.0,M. Speights misses 3-pt shot from 24 ft,,69-72,,
2:03.0,,,69-72,,Defensive rebound by S. Curry
1:50.0,Personal foul by M. Speights (drawn by D. Powell),,69-72,,
1:50.0,,,69-73,1,D. Powell makes free throw 1 of 2
1:50.0,,,69-74,1,D. Powell makes free throw 2 of 2
1:50.0,,,69-73,,D. Harris enters the game for S. Curry
1:50.0,,,69-73,,D. Nowitzki enters the game for H. Barnes
1:50.0,R. Felton enters the game for C. Paul,,69-73,,
1:50.0,P. Pierce enters the game for B. Griffin,,69-73,,
1:34.0,M. Speights makes 3-pt shot from 24 ft (assist by P. Pierce),3,72-74,,
1:13.0,,,72-77,3,W. Matthews makes 3-pt shot from 25 ft (assist by D. Harris)
0:56.0,J. Crawford misses 2-pt shot from 16 ft,,72-77,,
0:56.0,,,72-77,,Defensive rebound by D. Powell
0:47.0,,,72-77,,Turnover by D. Nowitzki (bad pass)
0:47.0,,,72-77,,D. Finney-Smith enters the game for W. Matthews
0:38.0,,,72-77,,Personal foul by D. Harris (drawn by A. Rivers)
0:30.0,A. Rivers makes 2-pt shot from 4 ft,2,74-77,,
0:16.0,,,74-77,,D. Nowitzki misses 3-pt shot from 27 ft
0:15.0,Defensive rebound by Team,,74-77,,
0:15.0,,,74-77,,Loose ball foul by D. Powell (drawn by A. Rivers)
0:15.0,A. Rivers misses free throw 1 of 2,,74-77,,
0:15.0,Offensive rebound by Team,,74-77,,
0:15.0,A. Rivers makes free throw 2 of 2,1,75-77,,
0:15.0,L. Mbah a Moute enters the game for M. Speights,,74-77,,
0:15.0,,,74-77,,N. Brussino enters the game for D. Powell
0:04.0,,,75-77,,Y. Ferrell misses 3-pt shot from 26 ft
0:03.0,Defensive rebound by R. Felton,,75-77,,
0:01.0,R. Felton misses 3-pt shot from 63 ft,,75-77,,
0:00.0,Offensive rebound by Team,,75-77,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,A. Rivers misses 3-pt shot from 24 ft,,75-77,,
11:42.0,Offensive rebound by Team,,75-77,,
11:42.0,,,75-77,,Loose ball foul by Y. Ferrell (drawn by M. Speights)
11:38.0,Turnover by P. Pierce (traveling),,75-77,,
11:23.0,,,75-79,2,D. Powell makes 2-pt shot at rim (assist by D. Harris)
11:01.0,M. Speights makes 2-pt shot from 1 ft (assist by R. Felton),2,77-79,,
10:43.0,,,77-79,,D. Nowitzki misses 2-pt shot from 20 ft
10:42.0,Defensive rebound by M. Speights,,77-79,,
10:33.0,J. Crawford makes 3-pt shot from 24 ft,3,80-79,,
10:26.0,,,80-79,,Dallas full timeout
10:18.0,,,80-79,,D. Powell misses 2-pt shot from 19 ft
10:17.0,Defensive rebound by R. Felton,,80-79,,
10:10.0,M. Speights makes 2-pt shot from 3 ft (assist by R. Felton),2,82-79,,
9:45.0,,,82-82,3,D. Harris makes 3-pt shot from 24 ft (assist by D. Finney-Smith)
9:29.0,R. Felton misses 3-pt shot from 23 ft,,82-82,,
9:28.0,,,82-82,,Defensive rebound by D. Powell
9:21.0,,,82-82,,D. Powell misses 2-pt shot from 2 ft
9:20.0,Defensive rebound by R. Felton,,82-82,,
9:17.0,Shooting foul by D. Harris (drawn by R. Felton),,82-82,,
9:17.0,R. Felton misses free throw 1 of 2,,82-82,,
9:17.0,Offensive rebound by Team,,82-82,,
9:17.0,R. Felton misses free throw 2 of 2,,82-82,,
9:17.0,,,82-82,,H. Barnes enters the game for D. Powell
9:16.0,,,82-82,,Defensive rebound by H. Barnes
9:03.0,,,82-82,,D. Harris misses 3-pt shot from 25 ft
9:02.0,Defensive rebound by A. Rivers,,82-82,,
8:54.0,Turnover by P. Pierce (lost ball; steal by D. Harris),,82-82,,
8:49.0,,,82-82,,D. Harris misses 2-pt shot from 4 ft
8:48.0,Defensive rebound by J. Crawford,,82-82,,
8:40.0,J. Crawford misses 3-pt shot from 24 ft,,82-82,,
8:39.0,,,82-82,,Defensive rebound by H. Barnes
8:25.0,,,82-82,,Shooting foul by J. Crawford (drawn by D. Harris)
8:25.0,,,82-83,1,D. Harris makes free throw 1 of 2
8:25.0,,,82-84,1,D. Harris makes free throw 2 of 2
8:25.0,B. Griffin enters the game for P. Pierce,,82-83,,
8:25.0,,,82-83,,S. Curry enters the game for D. Finney-Smith
8:25.0,,,82-83,,W. Matthews enters the game for Y. Ferrell
8:10.0,B. Griffin makes 2-pt shot from 20 ft (assist by A. Rivers),2,84-84,,
7:57.0,,,84-84,,D. Nowitzki misses 2-pt shot from 15 ft
7:57.0,,,84-84,,Offensive rebound by Team
7:57.0,D. Jordan enters the game for M. Speights,,84-84,,
7:57.0,,,84-84,,N. Noel enters the game for D. Nowitzki
7:51.0,,,84-84,,S. Curry misses 3-pt shot from 24 ft
7:49.0,Defensive rebound by R. Felton,,84-84,,
7:46.0,A. Rivers misses 2-pt shot from 2 ft (block by W. Matthews),,84-84,,
7:45.0,Offensive rebound by Team,,84-84,,
7:45.0,C. Paul enters the game for R. Felton,,84-84,,
7:43.0,J. Crawford misses 2-pt shot from 18 ft,,84-84,,
7:42.0,,,84-84,,Defensive rebound by S. Curry
7:27.0,,,84-86,2,N. Noel makes 2-pt shot at rim (assist by D. Harris)
7:25.0,LA Clippers full timeout,,84-86,,
7:07.0,B. Griffin makes 2-pt shot from 5 ft,2,86-86,,
6:46.0,,,86-86,,S. Curry misses 2-pt shot from 10 ft
6:45.0,Defensive rebound by B. Griffin,,86-86,,
6:26.0,C. Paul misses 2-pt shot from 18 ft,,86-86,,
6:26.0,,,86-86,,Defensive rebound by Team
6:26.0,Loose ball foul by D. Jordan (drawn by W. Matthews),,86-86,,
6:26.0,J. Redick enters the game for A. Rivers,,86-86,,
6:14.0,,,86-86,,H. Barnes misses 2-pt shot from 9 ft
6:13.0,Defensive rebound by D. Jordan,,86-86,,
6:02.0,B. Griffin makes 2-pt shot from 2 ft,2,88-86,,
6:02.0,,,88-86,,Dallas full timeout
5:48.0,,,88-86,,S. Curry misses 3-pt shot from 25 ft
5:47.0,Defensive rebound by D. Jordan,,88-86,,
5:38.0,Turnover by J. Redick (step out of bounds),,88-86,,
5:20.0,Technical foul by C. Paul,,88-86,,
5:20.0,,,88-87,1,S. Curry makes technical free throw
5:20.0,Inbound foul by J. Crawford,,88-87,,
5:20.0,,,88-88,1,W. Matthews makes free throw 1 of 1
5:17.0,,,88-88,,H. Barnes misses 2-pt shot from 18 ft
5:16.0,Defensive rebound by J. Redick,,88-88,,
5:02.0,B. Griffin makes 3-pt shot from 23 ft (assist by C. Paul),3,91-88,,
4:44.0,,,91-90,2,S. Curry makes 2-pt shot from 11 ft
4:16.0,B. Griffin misses 2-pt shot from 9 ft,,91-90,,
4:14.0,Offensive rebound by C. Paul,,91-90,,
4:05.0,C. Paul makes 2-pt shot from 18 ft,2,93-90,,
3:38.0,,,93-90,,Turnover by S. Curry (traveling)
3:38.0,,,93-90,,D. Nowitzki enters the game for D. Harris
3:26.0,B. Griffin misses 3-pt shot from 24 ft,,93-90,,
3:24.0,,,93-90,,Defensive rebound by N. Noel
3:08.0,,,93-90,,W. Matthews misses 3-pt shot from 24 ft
3:07.0,,,93-90,,Offensive rebound by N. Noel
2:53.0,,,93-92,2,N. Noel makes 2-pt shot at rim (assist by D. Nowitzki)
2:30.0,D. Jordan makes 2-pt shot at rim (assist by C. Paul),2,95-92,,
2:20.0,,,95-94,2,S. Curry makes 2-pt shot from 18 ft (assist by D. Nowitzki)
2:00.0,B. Griffin misses 2-pt shot from 15 ft,,95-94,,
1:59.0,,,95-94,,Defensive rebound by W. Matthews
1:49.0,,,95-94,,W. Matthews misses 2-pt shot from 2 ft
1:48.0,Defensive rebound by Team,,95-94,,
1:48.0,A. Rivers enters the game for J. Crawford,,95-94,,
1:28.0,Turnover by C. Paul (lost ball),,95-94,,
