time,San Antonio,pts.away,score,pts.home,Milwaukee
10:14.0,,,26-26,,M. Brogdon misses 2-pt shot from 7 ft
10:13.0,Defensive rebound by P. Gasol,,26-26,,
10:05.0,Turnover by M. Ginobili (bad pass),,26-26,,
9:51.0,,,26-29,3,M. Teletovic makes 3-pt shot from 27 ft (assist by G. Monroe)
9:50.0,San Antonio full timeout,,26-29,,
9:32.0,K. Anderson makes 2-pt shot from 11 ft (assist by P. Mills),2,28-29,,
9:18.0,,,28-29,,Turnover by G. Monroe (bad pass; steal by M. Ginobili)
9:07.0,P. Mills misses 2-pt shot from 18 ft,,28-29,,
9:05.0,,,28-29,,Defensive rebound by G. Monroe
8:56.0,,,28-31,2,G. Monroe makes 2-pt shot at rim
8:56.0,,,28-31,,Shooting foul by D. Lee (drawn by G. Monroe)
8:56.0,,,28-31,,G. Monroe misses free throw 1 of 1
8:56.0,T. Parker enters the game for P. Mills,,28-31,,
8:56.0,D. Green enters the game for M. Ginobili,,28-31,,
8:56.0,,,28-31,,M. Dellavedova enters the game for M. Brogdon
8:53.0,Defensive rebound by D. Green,,28-31,,
8:34.0,,,28-31,,Personal block foul by M. Dellavedova (drawn by T. Parker)
8:27.0,K. Anderson misses 3-pt shot from 25 ft,,28-31,,
8:26.0,,,28-31,,Defensive rebound by G. Monroe
8:20.0,,,28-31,,Turnover by M. Teletovic (bad pass)
8:20.0,L. Aldridge enters the game for D. Lee,,28-31,,
8:00.0,D. Green misses 3-pt shot from 24 ft,,28-31,,
8:00.0,Offensive rebound by Team,,28-31,,
8:00.0,,,28-31,,G. Antetokounmpo enters the game for M. Beasley
8:00.0,,,28-31,,J. Henson enters the game for G. Monroe
7:55.0,L. Aldridge misses 2-pt shot from 16 ft (block by M. Teletovic),,28-31,,
7:54.0,,,28-31,,Defensive rebound by G. Antetokounmpo
7:48.0,Personal foul by K. Anderson (drawn by G. Antetokounmpo),,28-31,,
7:48.0,,,28-32,1,G. Antetokounmpo makes free throw 1 of 2
7:48.0,,,28-33,1,G. Antetokounmpo makes free throw 2 of 2
7:34.0,Turnover by D. Green (bad pass; steal by G. Antetokounmpo),,28-33,,
7:30.0,K. Leonard enters the game for K. Anderson,,28-33,,
7:30.0,,,28-33,,T. Snell enters the game for J. Terry
7:30.0,,,28-33,,J. Parker enters the game for M. Teletovic
7:21.0,,,28-33,,G. Antetokounmpo misses 2-pt shot from 5 ft
7:19.0,Defensive rebound by K. Leonard,,28-33,,
7:13.0,K. Leonard misses 2-pt shot from 1 ft,,28-33,,
7:11.0,,,28-33,,Defensive rebound by J. Henson
7:04.0,,,28-33,,J. Henson misses 2-pt shot from 5 ft
7:03.0,,,28-33,,Offensive rebound by G. Antetokounmpo
7:03.0,,,28-33,,G. Antetokounmpo misses 2-pt shot from 2 ft
7:01.0,Defensive rebound by P. Gasol,,28-33,,
6:42.0,P. Gasol misses 2-pt shot from 17 ft,,28-33,,
6:40.0,Offensive rebound by L. Aldridge,,28-33,,
6:39.0,L. Aldridge misses 2-pt shot from 9 ft,,28-33,,
6:39.0,Offensive rebound by Team,,28-33,,
6:39.0,Turnover by Team (shot clock),,28-33,,
6:26.0,,,28-33,,Turnover by J. Henson (lost ball)
6:08.0,D. Green misses 3-pt shot from 26 ft,,28-33,,
6:07.0,,,28-33,,Defensive rebound by J. Henson
5:59.0,,,28-35,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
5:40.0,Turnover by P. Gasol (3 sec),,28-35,,
5:40.0,Official timeout,,28-35,,
5:40.0,D. Bertans enters the game for P. Gasol,,28-35,,
5:28.0,,,28-37,2,M. Dellavedova makes 2-pt shot from 16 ft (assist by G. Antetokounmpo)
5:18.0,,,28-37,,Personal foul by J. Henson (drawn by L. Aldridge)
5:09.0,D. Bertans misses 3-pt shot from 27 ft,,28-37,,
5:07.0,Offensive rebound by T. Parker,,28-37,,
5:00.0,Turnover by K. Leonard (bad pass),,28-37,,
4:47.0,,,28-37,,J. Parker misses 3-pt shot from 27 ft
4:46.0,Defensive rebound by K. Leonard,,28-37,,
4:33.0,L. Aldridge misses 2-pt shot from 18 ft,,28-37,,
4:32.0,,,28-37,,Defensive rebound by J. Parker
4:27.0,,,28-37,,J. Parker misses 2-pt shot from 2 ft
4:25.0,,,28-37,,Offensive rebound by G. Antetokounmpo
4:25.0,,,28-39,2,G. Antetokounmpo makes 2-pt shot at rim
4:07.0,T. Parker makes 2-pt shot from 1 ft (assist by D. Green),2,30-39,,
3:53.0,,,30-39,,T. Snell misses 3-pt shot from 23 ft
3:52.0,Defensive rebound by D. Bertans,,30-39,,
3:45.0,T. Parker makes 2-pt shot from 19 ft,2,32-39,,
3:45.0,,,32-39,,Milwaukee full timeout
3:45.0,D. Dedmon enters the game for L. Aldridge,,32-39,,
3:45.0,J. Simmons enters the game for D. Green,,32-39,,
3:34.0,,,32-41,2,J. Parker makes 2-pt shot at rim (assist by M. Dellavedova)
3:16.0,D. Bertans misses 3-pt shot from 29 ft,,32-41,,
3:14.0,Offensive rebound by D. Dedmon,,32-41,,
3:12.0,Turnover by D. Dedmon (traveling),,32-41,,
3:03.0,,,32-41,,Shooting foul by D. Bertans (drawn by J. Parker)
3:03.0,,,32-42,1,J. Parker makes free throw 1 of 2
3:03.0,,,32-43,1,J. Parker makes free throw 2 of 2
2:47.0,Turnover by T. Parker (bad pass),,32-43,,
2:34.0,,,32-43,,J. Parker misses 2-pt shot from 9 ft
2:33.0,Defensive rebound by K. Leonard,,32-43,,
2:26.0,K. Leonard misses 2-pt shot from 19 ft,,32-43,,
2:25.0,,,32-43,,Defensive rebound by J. Henson
2:16.0,,,32-43,,G. Antetokounmpo misses 2-pt shot from 2 ft
2:14.0,Defensive rebound by K. Leonard,,32-43,,
2:04.0,K. Leonard misses 2-pt shot from 15 ft,,32-43,,
2:02.0,,,32-43,,Defensive rebound by J. Henson
1:52.0,,,32-43,,Shooting foul by D. Bertans (drawn by G. Antetokounmpo)
1:52.0,,,32-43,,G. Antetokounmpo misses free throw 1 of 2
1:52.0,,,32-43,,Offensive rebound by Team
1:52.0,,,32-44,1,G. Antetokounmpo makes free throw 2 of 2
1:52.0,P. Mills enters the game for T. Parker,,32-43,,
1:43.0,K. Leonard misses 2-pt shot from 9 ft (block by G. Antetokounmpo),,32-44,,
1:43.0,Offensive rebound by Team,,32-44,,
1:34.0,J. Simmons makes 2-pt shot from 20 ft (assist by P. Mills),2,34-44,,
1:16.0,,,34-44,,J. Parker misses 2-pt shot at rim (block by D. Dedmon)
1:14.0,Defensive rebound by K. Leonard,,34-44,,
1:09.0,Shooting foul by G. Antetokounmpo (drawn by D. Bertans),,34-44,,
1:09.0,D. Bertans makes free throw 1 of 2,1,35-44,,
1:09.0,D. Bertans misses free throw 2 of 2,,35-44,,
1:09.0,D. Green enters the game for K. Leonard,,35-44,,
1:06.0,,,35-44,,Defensive rebound by J. Parker
0:58.0,Personal foul by D. Bertans (drawn by J. Henson),,35-44,,
0:58.0,,,35-44,,J. Henson misses free throw 1 of 2
0:58.0,,,35-44,,Offensive rebound by Team
0:58.0,,,35-45,1,J. Henson makes free throw 2 of 2
0:37.0,P. Mills misses 2-pt shot from 20 ft,,35-45,,
0:35.0,,,35-45,,Defensive rebound by Team
0:30.0,,,35-48,3,G. Antetokounmpo makes 3-pt shot from 29 ft
0:14.0,Turnover by D. Bertans (bad pass; steal by J. Henson),,35-48,,
0:00.0,,,35-48,,Turnover by G. Antetokounmpo (lost ball; steal by J. Simmons)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,T. Parker makes 2-pt shot from 18 ft,2,37-48,,
11:25.0,,,37-48,,Turnover by J. Henson (bad pass)
11:12.0,D. Green makes 3-pt shot from 24 ft (assist by T. Parker),3,40-48,,
10:54.0,Personal foul by T. Parker (drawn by M. Dellavedova),,40-48,,
10:50.0,,,40-50,2,J. Parker makes 2-pt shot from 18 ft (assist by J. Henson)
10:35.0,T. Parker misses 2-pt shot from 4 ft,,40-50,,
10:34.0,Offensive rebound by Team,,40-50,,
10:12.0,T. Parker misses 3-pt shot from 25 ft,,40-50,,
10:12.0,,,40-50,,Defensive rebound by Team
10:02.0,,,40-50,,G. Antetokounmpo misses 2-pt shot from 5 ft
10:00.0,Defensive rebound by P. Gasol,,40-50,,
9:54.0,T. Parker misses 2-pt shot from 2 ft,,40-50,,
9:53.0,,,40-50,,Defensive rebound by G. Antetokounmpo
9:40.0,,,40-50,,M. Dellavedova misses 2-pt shot from 8 ft (block by K. Leonard)
9:40.0,,,40-50,,Offensive rebound by Team
9:40.0,Inbound foul by T. Parker,,40-50,,
9:40.0,,,40-51,1,M. Dellavedova makes free throw 1 of 1
9:36.0,,,40-51,,M. Dellavedova misses 2-pt shot from 3 ft (block by K. Leonard)
9:33.0,Defensive rebound by K. Leonard,,40-51,,
9:26.0,K. Leonard misses 2-pt shot from 1 ft (block by J. Henson),,40-51,,
9:24.0,,,40-51,,Defensive rebound by J. Parker
9:22.0,,,40-51,,Shooting foul by T. Parker (drawn by J. Henson)
9:22.0,,,40-52,1,G. Antetokounmpo makes free throw 1 of 2
9:22.0,,,40-53,1,G. Antetokounmpo makes free throw 2 of 2
9:06.0,L. Aldridge makes 2-pt shot from 2 ft (assist by P. Gasol),2,42-53,,
8:53.0,,,42-53,,M. Dellavedova misses 3-pt shot from 25 ft
8:52.0,Defensive rebound by L. Aldridge,,42-53,,
8:46.0,T. Parker misses 2-pt shot from 1 ft (block by J. Parker),,42-53,,
8:44.0,,,42-53,,Defensive rebound by G. Antetokounmpo
8:44.0,Personal foul by P. Gasol (drawn by G. Antetokounmpo),,42-53,,
8:44.0,San Antonio full timeout,,42-53,,
8:44.0,N. Laprovittola enters the game for T. Parker,,42-53,,
8:44.0,M. Ginobili enters the game for D. Green,,42-53,,
8:44.0,J. Simmons enters the game for K. Leonard,,42-53,,
8:24.0,,,42-53,,J. Parker misses 3-pt shot from 27 ft
8:22.0,Defensive rebound by J. Simmons,,42-53,,
8:11.0,L. Aldridge misses 2-pt shot from 18 ft,,42-53,,
8:09.0,,,42-53,,Defensive rebound by G. Antetokounmpo
8:05.0,Personal foul by N. Laprovittola (drawn by G. Antetokounmpo),,42-53,,
8:05.0,,,42-54,1,G. Antetokounmpo makes free throw 1 of 2
8:05.0,,,42-55,1,G. Antetokounmpo makes free throw 2 of 2
7:45.0,N. Laprovittola misses 2-pt shot from 6 ft,,42-55,,
7:44.0,,,42-55,,Defensive rebound by G. Antetokounmpo
7:27.0,,,42-55,,Shooting foul by L. Aldridge (drawn by J. Parker)
7:27.0,,,42-56,1,J. Parker makes free throw 1 of 2
7:27.0,,,42-57,1,J. Parker makes free throw 2 of 2
7:12.0,P. Gasol makes 3-pt shot from 27 ft (assist by J. Simmons),3,45-57,,
6:55.0,,,45-57,,Shooting foul by J. Simmons (drawn by J. Henson)
6:55.0,,,45-58,1,J. Henson makes free throw 1 of 2
6:55.0,,,45-58,,J. Henson misses free throw 2 of 2
6:52.0,Defensive rebound by L. Aldridge,,45-58,,
6:45.0,,,45-58,,Personal foul by G. Antetokounmpo (drawn by P. Gasol)
6:35.0,P. Gasol makes 2-pt shot from 7 ft,2,47-58,,
6:35.0,Shooting foul by G. Antetokounmpo (drawn by P. Gasol),,47-58,,
6:35.0,P. Gasol makes free throw 1 of 1,1,48-58,,
6:19.0,,,48-58,,M. Dellavedova misses 3-pt shot from 28 ft
6:18.0,Defensive rebound by L. Aldridge,,48-58,,
6:09.0,P. Gasol makes 2-pt shot from 1 ft (assist by N. Laprovittola),2,50-58,,
5:48.0,,,50-58,,J. Parker misses 2-pt shot from 4 ft
5:47.0,Defensive rebound by J. Simmons,,50-58,,
5:28.0,N. Laprovittola makes 3-pt shot from 23 ft (assist by L. Aldridge),3,53-58,,
5:28.0,,,53-58,,Milwaukee full timeout
5:28.0,,,53-58,,G. Monroe enters the game for G. Antetokounmpo
5:28.0,,,53-58,,M. Brogdon enters the game for J. Henson
5:28.0,,,53-58,,M. Beasley enters the game for M. Dellavedova
5:20.0,Personal foul by J. Simmons (drawn by T. Snell),,53-58,,
5:20.0,,,53-59,1,T. Snell makes free throw 1 of 2
5:20.0,,,53-60,1,T. Snell makes free throw 2 of 2
5:00.0,J. Simmons makes 2-pt shot from 3 ft,2,55-60,,
4:43.0,,,55-62,2,M. Brogdon makes 2-pt shot from 3 ft (assist by G. Monroe)
4:26.0,Turnover by N. Laprovittola (bad pass; steal by J. Parker),,55-62,,
4:25.0,Personal foul by N. Laprovittola (drawn by J. Parker),,55-62,,
4:25.0,,,55-63,1,J. Parker makes free throw 1 of 2
4:25.0,,,55-64,1,J. Parker makes free throw 2 of 2
4:25.0,D. Dedmon enters the game for L. Aldridge,,55-63,,
4:11.0,M. Ginobili makes 3-pt shot from 25 ft (assist by N. Laprovittola),3,58-64,,
3:53.0,,,58-66,2,G. Monroe makes 2-pt shot from 1 ft (assist by M. Brogdon)
3:42.0,M. Ginobili misses 3-pt shot from 26 ft,,58-66,,
3:42.0,Offensive rebound by Team,,58-66,,
3:42.0,D. Bertans enters the game for P. Gasol,,58-66,,
3:40.0,J. Simmons makes 2-pt shot at rim (assist by N. Laprovittola),2,60-66,,
3:19.0,,,60-66,,G. Monroe misses 2-pt shot from 6 ft
3:18.0,Defensive rebound by J. Simmons,,60-66,,
3:09.0,,,60-66,,Personal foul by M. Brogdon (drawn by D. Dedmon)
3:09.0,,,60-66,,J. Terry enters the game for T. Snell
3:09.0,,,60-66,,G. Antetokounmpo enters the game for J. Parker
3:03.0,D. Dedmon makes 2-pt shot from 1 ft (assist by N. Laprovittola),2,62-66,,
2:47.0,,,62-66,,Shooting foul by M. Ginobili (drawn by G. Antetokounmpo)
2:47.0,San Antonio full timeout,,62-66,,
2:47.0,,,62-67,1,G. Antetokounmpo makes free throw 1 of 2
2:47.0,,,62-68,1,G. Antetokounmpo makes free throw 2 of 2
2:35.0,D. Dedmon makes 2-pt shot at rim (assist by D. Bertans),2,64-68,,
2:21.0,Personal block foul by D. Bertans (drawn by M. Beasley),,64-68,,
2:21.0,,,64-69,1,M. Beasley makes free throw 1 of 2
2:21.0,,,64-70,1,M. Beasley makes free throw 2 of 2
2:11.0,D. Bertans misses 3-pt shot from 27 ft,,64-70,,
2:10.0,,,64-70,,Defensive rebound by G. Monroe
2:05.0,,,64-70,,Offensive charge foul by M. Beasley
2:05.0,,,64-70,,Turnover by M. Beasley (offensive foul)
1:44.0,D. Dedmon makes 2-pt shot from 2 ft (assist by N. Laprovittola),2,66-70,,
1:19.0,,,66-70,,M. Brogdon misses 2-pt shot from 8 ft
1:19.0,Defensive rebound by D. Dedmon,,66-70,,
1:19.0,,,66-70,,Technical foul by M. Beasley
1:19.0,Technical foul by D. Bertans,,66-70,,
1:19.0,Technical foul by D. Dedmon,,66-70,,
1:19.0,,,66-70,,Technical foul by G. Monroe
1:19.0,L. Aldridge enters the game for D. Bertans,,66-70,,
1:19.0,,,66-70,,M. Teletovic enters the game for M. Beasley
1:18.0,Jump ball: D. Dedmon vs. G. Monroe (L. Aldridge gains possession),,,,Jump ball: D. Dedmon vs. G. Monroe (L. Aldridge gains possession)
1:02.0,L. Aldridge makes 2-pt shot from 10 ft,2,68-70,,
0:42.0,,,68-73,3,M. Teletovic makes 3-pt shot from 29 ft (assist by M. Brogdon)
0:33.0,Shooting foul by G. Monroe (drawn by M. Ginobili),,68-73,,
0:33.0,M. Ginobili makes free throw 1 of 2,1,69-73,,
0:33.0,M. Ginobili misses free throw 2 of 2,,69-73,,
0:32.0,,,69-73,,Defensive rebound by G. Monroe
0:23.0,,,69-73,,Turnover by M. Teletovic (bad pass)
0:03.0,N. Laprovittola misses 3-pt shot from 27 ft,,69-73,,
0:02.0,Offensive rebound by D. Dedmon,,69-73,,
0:02.0,D. Dedmon makes 2-pt shot from 1 ft,2,71-73,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,71-73,,M. Teletovic misses 3-pt shot from 25 ft
11:43.0,Defensive rebound by D. Dedmon,,71-73,,
11:32.0,L. Aldridge misses 2-pt shot from 2 ft (block by J. Henson),,71-73,,
11:32.0,Offensive rebound by Team,,71-73,,
11:22.0,D. Green misses 2-pt shot from 14 ft (block by J. Henson),,71-73,,
11:19.0,,,71-73,,Defensive rebound by G. Antetokounmpo
11:13.0,,,71-73,,Shooting foul by L. Aldridge (drawn by J. Henson)
11:13.0,,,71-74,1,J. Henson makes free throw 1 of 2
11:13.0,,,71-75,1,J. Henson makes free throw 2 of 2
11:13.0,J. Simmons enters the game for D. Green,,71-74,,
10:54.0,,,71-75,,Personal foul by G. Antetokounmpo
10:49.0,Turnover by K. Leonard (traveling),,71-75,,
10:38.0,,,71-75,,M. Brogdon misses 3-pt shot from 27 ft
10:30.0,Defensive rebound by J. Simmons,,71-75,,
10:19.0,Shooting foul by J. Henson (drawn by L. Aldridge),,71-75,,
10:19.0,L. Aldridge makes free throw 1 of 2,1,72-75,,
10:19.0,L. Aldridge misses free throw 2 of 2,,72-75,,
10:18.0,Offensive rebound by D. Dedmon,,72-75,,
10:11.0,K. Leonard makes 2-pt shot at rim,2,74-75,,
9:54.0,,,74-75,,J. Terry misses 3-pt shot from 24 ft
9:52.0,Defensive rebound by K. Leonard,,74-75,,
9:37.0,J. Simmons misses 2-pt shot from 5 ft,,74-75,,
9:36.0,Offensive rebound by D. Dedmon,,74-75,,
9:36.0,D. Dedmon makes 2-pt shot at rim,2,76-75,,
9:36.0,Shooting foul by J. Henson (drawn by D. Dedmon),,76-75,,
9:36.0,D. Dedmon misses free throw 1 of 1,,76-75,,
9:36.0,,,76-75,,T. Snell enters the game for J. Terry
9:36.0,,,76-75,,M. Dellavedova enters the game for M. Brogdon
9:34.0,,,76-75,,Defensive rebound by G. Antetokounmpo
9:19.0,,,76-75,,M. Teletovic misses 3-pt shot from 25 ft
9:18.0,Defensive rebound by P. Mills,,76-75,,
9:10.0,K. Leonard misses 3-pt shot from 25 ft,,76-75,,
9:09.0,,,76-75,,Defensive rebound by J. Henson
8:57.0,,,76-78,3,M. Teletovic makes 3-pt shot from 24 ft (assist by G. Antetokounmpo)
8:41.0,,,76-78,,Personal foul by G. Antetokounmpo (drawn by K. Leonard)
8:41.0,Official timeout,,76-78,,
8:41.0,,,76-78,,J. Parker enters the game for G. Antetokounmpo
8:24.0,L. Aldridge makes 2-pt shot from 11 ft (assist by P. Mills),2,78-78,,
8:09.0,,,78-78,,J. Henson misses 2-pt shot from 4 ft
8:08.0,Defensive rebound by Team,,78-78,,
7:52.0,K. Leonard makes 2-pt shot from 17 ft (assist by L. Aldridge),2,80-78,,
7:37.0,,,80-78,,Turnover by J. Henson (lost ball)
7:37.0,,,80-78,,G. Monroe enters the game for J. Henson
7:15.0,K. Leonard makes 2-pt shot from 14 ft (assist by L. Aldridge),2,82-78,,
6:57.0,,,82-78,,M. Teletovic misses 3-pt shot from 30 ft
6:57.0,,,82-78,,Offensive rebound by J. Parker
6:57.0,,,82-78,,Shooting foul by D. Dedmon (drawn by J. Parker)
6:57.0,,,82-79,1,J. Parker makes free throw 1 of 2
6:57.0,,,82-80,1,J. Parker makes free throw 2 of 2
6:41.0,K. Leonard makes 2-pt shot at rim,2,84-80,,
6:26.0,Personal foul by D. Dedmon (drawn by G. Monroe),,84-80,,
6:11.0,,,84-82,2,T. Snell makes 2-pt shot from 1 ft
5:57.0,,,84-82,,Personal foul by M. Dellavedova
5:57.0,,,84-82,,Milwaukee full timeout
5:57.0,P. Mills makes free throw 1 of 2,1,85-82,,
5:57.0,P. Mills misses free throw 2 of 2,,85-82,,
5:57.0,D. Lee enters the game for L. Aldridge,,84-82,,
5:57.0,P. Gasol enters the game for D. Dedmon,,84-82,,
