time,Orlando,pts.away,score,pts.home,Portland
3:41.0,,,103-97,,D. Lillard misses 3-pt shot from 26 ft
3:40.0,Defensive rebound by E. Payton,,103-97,,
3:31.0,E. Payton misses 2-pt shot from 17 ft,,103-97,,
3:29.0,,,103-97,,Defensive rebound by M. Plumlee
3:18.0,,,103-97,,C. McCollum misses 2-pt shot from 16 ft
3:18.0,Defensive rebound by A. Gordon,,103-97,,
3:03.0,Turnover by E. Payton (bad pass; steal by M. Plumlee),,103-97,,
3:02.0,Personal take foul by E. Payton (drawn by D. Lillard),,103-97,,
2:50.0,,,103-99,2,D. Lillard makes 2-pt shot from 2 ft
2:50.0,Violation by N. Vucevic (def goaltending),,103-99,,
2:50.0,Orlando full timeout,,103-99,,
2:29.0,E. Payton misses 2-pt shot from 3 ft (block by A. Aminu),,103-99,,
2:27.0,,,103-99,,Defensive rebound by M. Plumlee
2:24.0,,,103-99,,Shooting foul by A. Gordon (drawn by D. Lillard)
2:24.0,,,103-99,,D. Lillard misses free throw 1 of 2
2:24.0,,,103-99,,Offensive rebound by Team
2:24.0,,,103-100,1,D. Lillard makes free throw 2 of 2
2:13.0,E. Fournier misses 2-pt shot from 2 ft,,103-100,,
2:11.0,,,103-100,,Defensive rebound by A. Aminu
1:59.0,,,103-100,,Shooting foul by S. Ibaka (drawn by A. Aminu)
1:59.0,,,103-100,,A. Aminu misses free throw 1 of 2
1:59.0,,,103-100,,Offensive rebound by Team
1:59.0,,,103-101,1,A. Aminu makes free throw 2 of 2
1:43.0,N. Vucevic makes 2-pt shot from 17 ft (assist by E. Fournier),2,105-101,,
1:35.0,,,105-101,,Shooting foul by E. Payton (drawn by D. Lillard)
1:35.0,,,105-102,1,D. Lillard makes free throw 1 of 2
1:35.0,,,105-103,1,D. Lillard makes free throw 2 of 2
1:17.0,E. Payton makes 3-pt shot from 24 ft (assist by N. Vucevic),3,108-103,,
1:01.0,,,108-103,,C. McCollum misses 3-pt shot from 26 ft (block by E. Payton)
1:00.0,Defensive rebound by N. Vucevic,,108-103,,
1:00.0,Orlando full timeout,,108-103,,
0:45.0,E. Fournier misses 2-pt shot from 3 ft (block by C. McCollum),,108-103,,
0:43.0,Offensive rebound by E. Fournier,,108-103,,
0:41.0,N. Vucevic makes 2-pt shot from 18 ft,2,110-103,,
0:41.0,,,110-103,,Portland full timeout
0:41.0,Away from play foul by E. Payton (drawn by D. Lillard),,110-103,,
0:41.0,,,110-104,1,D. Lillard makes free throw 1 of 1
0:41.0,,,110-103,,M. Leonard enters the game for A. Aminu
0:41.0,D. Augustin enters the game for E. Payton,,110-103,,
0:37.0,,,110-104,,M. Leonard misses 2-pt shot from 12 ft
0:36.0,Defensive rebound by Team,,110-104,,
0:36.0,,,110-104,,Loose ball foul by M. Leonard (drawn by S. Ibaka)
0:36.0,,,110-104,,A. Aminu enters the game for M. Leonard
0:36.0,Orlando full timeout,,110-104,,
0:31.0,,,110-104,,Personal take foul by C. McCollum (drawn by A. Gordon)
0:31.0,A. Gordon makes free throw 1 of 2,1,111-104,,
0:31.0,A. Gordon makes free throw 2 of 2,1,112-104,,
0:31.0,,,112-104,,Portland full timeout
0:31.0,,,112-104,,M. Leonard enters the game for A. Crabbe
0:22.0,,,112-107,3,D. Lillard makes 3-pt shot from 26 ft
0:22.0,Orlando full timeout,,112-107,,
0:22.0,,,112-107,,A. Crabbe enters the game for M. Leonard
0:22.0,J. Green enters the game for A. Gordon,,112-107,,
0:22.0,J. Meeks enters the game for N. Vucevic,,112-107,,
0:21.0,Turnover by S. Ibaka (lost ball),,112-107,,
0:21.0,A. Gordon enters the game for J. Meeks,,112-107,,
0:21.0,,,112-107,,M. Leonard enters the game for A. Aminu
0:16.0,,,112-109,2,C. McCollum makes 2-pt shot from 2 ft
0:14.0,,,112-109,,Personal take foul by M. Leonard (drawn by E. Fournier)
0:14.0,E. Fournier misses free throw 1 of 2,,112-109,,
0:14.0,Offensive rebound by Team,,112-109,,
0:14.0,E. Fournier makes free throw 2 of 2,1,113-109,,
0:07.0,,,113-109,,D. Lillard misses 3-pt shot from 30 ft
0:07.0,Defensive rebound by Team,,113-109,,
0:03.0,,,113-109,,Personal take foul by C. McCollum (drawn by D. Augustin)
0:03.0,D. Augustin makes free throw 1 of 2,1,114-109,,
0:03.0,D. Augustin makes free throw 2 of 2,1,115-109,,
0:03.0,,,115-109,,Portland full timeout
0:01.0,,,115-109,,M. Leonard misses 3-pt shot from 27 ft
0:00.0,,,115-109,,Offensive rebound by C. McCollum
0:00.0,End of 4th quarter,,,,End of 4th quarter
