time,Houston,pts.away,score,pts.home,Charlotte
7:49.0,Defensive rebound by Team,,8-10,,
7:35.0,R. Anderson makes 2-pt shot from 9 ft,2,10-10,,
7:17.0,,,10-10,,C. Zeller misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by T. Ariza,,10-10,,
7:07.0,J. Harden misses 2-pt shot from 3 ft,,10-10,,
7:03.0,Offensive rebound by C. Capela,,10-10,,
7:03.0,C. Capela makes 2-pt shot from 1 ft,2,12-10,,
6:47.0,,,12-12,2,M. Kidd-Gilchrist makes 2-pt shot at rim (assist by N. Batum)
6:33.0,P. Beverley misses 2-pt shot at rim,,12-12,,
6:31.0,,,12-12,,Defensive rebound by M. Kidd-Gilchrist
6:25.0,,,12-15,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
6:03.0,J. Harden misses 2-pt shot from 13 ft,,12-15,,
6:02.0,,,12-15,,Defensive rebound by K. Walker
5:54.0,,,12-17,2,C. Zeller makes 2-pt shot from 1 ft (assist by K. Walker)
5:54.0,,,12-17,,Shooting foul by C. Capela (drawn by C. Zeller)
5:54.0,,,12-17,,Charlotte full timeout
5:54.0,,,12-18,1,C. Zeller makes free throw 1 of 1
5:54.0,C. Brewer enters the game for P. Beverley,,12-17,,
5:54.0,,,12-17,,J. Lamb enters the game for N. Batum
5:33.0,J. Harden misses 2-pt shot from 15 ft,,12-18,,
5:32.0,,,12-18,,Defensive rebound by J. Lamb
5:23.0,,,12-18,,Turnover by K. Walker (bad pass; steal by J. Harden)
5:18.0,Turnover by C. Capela (bad pass),,12-18,,
5:07.0,,,12-18,,Turnover by K. Walker (bad pass; steal by C. Brewer)
4:59.0,J. Harden misses 2-pt shot from 1 ft,,12-18,,
4:57.0,,,12-18,,Defensive rebound by M. Kidd-Gilchrist
4:53.0,,,12-20,2,J. Lamb makes 2-pt shot from 12 ft (assist by M. Kidd-Gilchrist)
4:38.0,C. Capela makes 2-pt shot at rim (assist by J. Harden),2,14-20,,
4:16.0,,,14-20,,M. Kidd-Gilchrist misses 2-pt shot from 10 ft
4:14.0,,,14-20,,Offensive rebound by C. Zeller
4:14.0,,,14-20,,C. Zeller misses 2-pt shot from 1 ft
4:12.0,,,14-20,,Offensive rebound by C. Zeller
4:08.0,,,14-23,3,K. Walker makes 3-pt shot from 24 ft (assist by C. Zeller)
3:41.0,C. Brewer makes 3-pt shot from 23 ft (assist by T. Ariza),3,17-23,,
3:28.0,,,17-23,,M. Williams misses 3-pt shot from 26 ft
3:27.0,Defensive rebound by J. Harden,,17-23,,
3:21.0,,,17-23,,Violation by M. Williams (def goaltending)
3:21.0,J. Harden makes 2-pt shot from 2 ft,2,19-23,,
3:00.0,,,19-23,,M. Williams misses 3-pt shot from 22 ft
2:59.0,,,19-23,,Offensive rebound by M. Kidd-Gilchrist
2:54.0,,,19-23,,J. Lamb misses 2-pt shot from 19 ft
2:53.0,Defensive rebound by C. Capela,,19-23,,
2:45.0,R. Anderson misses 3-pt shot from 25 ft,,19-23,,
2:43.0,,,19-23,,Defensive rebound by M. Williams
2:41.0,Personal block foul by C. Capela (drawn by K. Walker),,19-23,,
2:41.0,Houston full timeout,,19-23,,
2:41.0,M. Harrell enters the game for T. Ariza,,19-23,,
2:41.0,S. Dekker enters the game for C. Capela,,19-23,,
2:41.0,,,19-23,,B. Roberts enters the game for M. Williams
2:41.0,,,19-23,,F. Kaminsky enters the game for C. Zeller
2:41.0,,,19-23,,M. Plumlee enters the game for K. Walker
2:35.0,,,19-23,,Turnover by M. Plumlee (lost ball)
2:16.0,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden),2,21-23,,
1:53.0,,,21-25,2,J. Lamb makes 2-pt shot from 2 ft (assist by F. Kaminsky)
1:43.0,R. Anderson makes 2-pt shot from 11 ft (assist by J. Harden),2,23-25,,
1:26.0,,,23-25,,J. Lamb misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by J. Harden,,23-25,,
1:16.0,R. Anderson misses 2-pt shot from 20 ft,,23-25,,
1:15.0,,,23-25,,Defensive rebound by M. Plumlee
1:02.0,,,23-27,2,M. Plumlee makes 2-pt shot from 1 ft (assist by J. Lamb)
0:52.0,Turnover by J. Harden (offensive foul),,23-27,,
0:52.0,Offensive charge foul by J. Harden,,23-27,,
0:52.0,,,23-27,,M. Belinelli enters the game for M. Kidd-Gilchrist
0:29.0,,,23-27,,J. Lamb misses 2-pt shot from 1 ft
0:28.0,Defensive rebound by J. Harden,,23-27,,
0:07.0,J. Harden misses 2-pt shot from 22 ft,,23-27,,
0:06.0,,,23-27,,Defensive rebound by Team
0:04.0,Personal foul by C. Brewer (drawn by B. Roberts),,23-27,,
0:03.0,Personal foul by C. Brewer (drawn by B. Roberts),,23-27,,
0:03.0,,,23-28,1,F. Kaminsky makes free throw 1 of 2
0:03.0,,,23-29,1,F. Kaminsky makes free throw 2 of 2
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:55.0,Turnover by M. Harrell (bad pass; steal by N. Batum),,23-29,,
11:51.0,,,23-29,,Shooting foul by M. Harrell (drawn by N. Batum)
11:51.0,,,23-30,1,N. Batum makes free throw 1 of 2
11:51.0,,,23-31,1,N. Batum makes free throw 2 of 2
11:38.0,S. Dekker misses 3-pt shot from 22 ft,,23-31,,
11:37.0,,,23-31,,Defensive rebound by F. Kaminsky
11:35.0,,,23-31,,Turnover by F. Kaminsky (bad pass; steal by C. Brewer)
11:29.0,T. Ariza makes 3-pt shot from 25 ft (assist by S. Dekker),3,26-31,,
11:08.0,,,26-33,2,M. Belinelli makes 2-pt shot from 21 ft
10:59.0,C. Brewer misses 3-pt shot from 24 ft,,26-33,,
10:58.0,,,26-33,,Defensive rebound by F. Kaminsky
10:49.0,Personal foul by T. Ariza (drawn by M. Plumlee),,26-33,,
10:39.0,,,26-33,,Turnover by B. Roberts (bad pass; steal by M. Harrell)
10:34.0,S. Dekker makes 2-pt shot at rim (assist by P. Beverley),2,28-33,,
10:15.0,,,28-35,2,F. Kaminsky makes 2-pt shot from 2 ft
10:15.0,,,28-35,,Shooting foul by M. Harrell (drawn by F. Kaminsky)
10:15.0,,,28-36,1,F. Kaminsky makes free throw 1 of 1
9:59.0,S. Dekker misses 2-pt shot at rim (block by M. Plumlee),,28-36,,
9:55.0,Offensive rebound by S. Dekker,,28-36,,
9:55.0,S. Dekker misses 2-pt shot from 1 ft,,28-36,,
9:52.0,Offensive rebound by M. Harrell,,28-36,,
9:52.0,M. Harrell makes 2-pt shot at rim,2,30-36,,
9:37.0,,,30-38,2,M. Belinelli makes 2-pt shot from 18 ft (assist by B. Roberts)
9:16.0,S. Dekker makes 2-pt shot from 7 ft (assist by C. Brewer),2,32-38,,
8:59.0,,,32-38,,M. Belinelli misses 2-pt shot from 1 ft
8:58.0,Defensive rebound by C. Brewer,,32-38,,
8:53.0,P. Beverley misses 3-pt shot from 25 ft,,32-38,,
8:51.0,,,32-38,,Defensive rebound by F. Kaminsky
8:47.0,,,32-38,,Charlotte full timeout
8:47.0,J. Harden enters the game for C. Brewer,,32-38,,
8:47.0,,,32-38,,K. Walker enters the game for M. Plumlee
8:47.0,,,32-38,,M. Williams enters the game for B. Roberts
8:40.0,,,32-38,,Offensive foul by K. Walker
8:40.0,,,32-38,,Turnover by K. Walker (offensive foul)
8:24.0,P. Beverley makes 3-pt shot from 25 ft (assist by M. Harrell),3,35-38,,
8:00.0,,,35-38,,K. Walker misses 3-pt shot from 25 ft
7:58.0,Defensive rebound by J. Harden,,35-38,,
7:49.0,P. Beverley misses 3-pt shot from 25 ft,,35-38,,
7:49.0,,,35-38,,Defensive rebound by N. Batum
7:38.0,,,35-40,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
7:26.0,,,35-40,,Personal foul by M. Belinelli (drawn by T. Ariza)
7:12.0,T. Ariza makes 2-pt shot at rim,2,37-40,,
6:45.0,,,37-40,,M. Belinelli misses 2-pt shot from 17 ft
6:42.0,Defensive rebound by T. Ariza,,37-40,,
6:39.0,Shooting foul by N. Batum (drawn by J. Harden),,37-40,,
6:39.0,J. Harden makes free throw 1 of 3,1,38-40,,
6:39.0,J. Harden makes free throw 2 of 3,1,39-40,,
6:39.0,J. Harden makes free throw 3 of 3,1,40-40,,
6:17.0,,,40-42,2,F. Kaminsky makes 2-pt shot from 1 ft (assist by N. Batum)
6:07.0,Turnover by J. Harden (lost ball; steal by K. Walker),,40-42,,
6:04.0,,,40-42,,K. Walker misses 2-pt shot from 2 ft (block by S. Dekker)
6:04.0,,,40-42,,Offensive rebound by Team
6:04.0,,,40-42,,C. Zeller enters the game for F. Kaminsky
5:54.0,,,40-42,,Turnover by C. Zeller (bad pass; steal by P. Beverley)
5:50.0,P. Beverley makes 2-pt shot from 1 ft,2,42-42,,
5:48.0,,,42-42,,Turnover by K. Walker (lost ball)
5:48.0,,,42-42,,Technical foul by K. Walker
5:48.0,Official timeout,,42-42,,
5:48.0,J. Harden misses technical free throw,,42-42,,
5:48.0,Offensive rebound by Team,,42-42,,
5:48.0,,,42-42,,M. Kidd-Gilchrist enters the game for M. Belinelli
5:42.0,S. Dekker misses 3-pt shot from 25 ft,,42-42,,
5:41.0,,,42-42,,Defensive rebound by C. Zeller
5:35.0,,,42-42,,Turnover by K. Walker (lost ball)
5:12.0,M. Harrell misses 2-pt shot from 16 ft,,42-42,,
5:11.0,,,42-42,,Defensive rebound by M. Kidd-Gilchrist
5:04.0,Personal block foul by M. Harrell (drawn by M. Williams),,42-42,,
5:04.0,R. Anderson enters the game for S. Dekker,,42-42,,
5:04.0,C. Capela enters the game for M. Harrell,,42-42,,
4:52.0,,,42-45,3,K. Walker makes 3-pt shot from 25 ft (assist by N. Batum)
4:38.0,C. Capela makes 2-pt shot from 1 ft (assist by J. Harden),2,44-45,,
4:38.0,Shooting foul by N. Batum (drawn by C. Capela),,44-45,,
4:38.0,C. Capela misses free throw 1 of 1,,44-45,,
4:38.0,C. Brewer enters the game for P. Beverley,,44-45,,
4:35.0,,,44-45,,Defensive rebound by M. Kidd-Gilchrist
4:14.0,,,44-45,,K. Walker misses 2-pt shot from 1 ft (block by C. Capela)
4:12.0,Defensive rebound by C. Brewer,,44-45,,
4:06.0,,,44-45,,Def 3 sec tech foul by C. Zeller
4:06.0,J. Harden makes technical free throw,1,45-45,,
4:00.0,J. Harden misses 3-pt shot from 25 ft,,45-45,,
3:59.0,,,45-45,,Defensive rebound by N. Batum
3:39.0,,,45-48,3,N. Batum makes 3-pt shot from 25 ft (assist by M. Kidd-Gilchrist)
3:28.0,J. Harden makes 2-pt shot from 1 ft,2,47-48,,
3:13.0,,,47-48,,M. Williams misses 2-pt shot from 22 ft
3:11.0,Defensive rebound by R. Anderson,,47-48,,
3:06.0,Turnover by J. Harden (bad pass; steal by C. Zeller),,47-48,,
3:02.0,,,47-48,,Offensive charge foul by C. Zeller
3:02.0,,,47-48,,Turnover by C. Zeller (offensive foul)
2:38.0,J. Harden misses 3-pt shot from 25 ft,,47-48,,
2:37.0,Offensive rebound by R. Anderson,,47-48,,
2:37.0,R. Anderson misses 2-pt shot from 1 ft,,47-48,,
2:35.0,,,47-48,,Defensive rebound by C. Zeller
2:20.0,,,47-50,2,C. Zeller makes 2-pt shot from 2 ft (assist by N. Batum)
2:06.0,T. Ariza misses 3-pt shot from 25 ft,,47-50,,
2:06.0,,,47-50,,Defensive rebound by Team
2:06.0,Loose ball foul by C. Brewer (drawn by M. Williams),,47-50,,
2:06.0,Houston full timeout,,47-50,,
2:06.0,,,47-51,1,M. Williams makes free throw 1 of 2
2:06.0,,,47-52,1,M. Williams makes free throw 2 of 2
2:06.0,P. Beverley enters the game for C. Brewer,,47-50,,
2:06.0,,,47-50,,M. Belinelli enters the game for C. Zeller
2:06.0,,,47-50,,F. Kaminsky enters the game for N. Batum
1:47.0,J. Harden misses 3-pt shot from 28 ft,,47-52,,
1:46.0,,,47-52,,Defensive rebound by M. Belinelli
1:32.0,,,47-52,,F. Kaminsky misses 2-pt shot from 3 ft
1:31.0,Defensive rebound by C. Capela,,47-52,,
1:27.0,Turnover by C. Capela (offensive foul),,47-52,,
1:27.0,Offensive charge foul by C. Capela,,47-52,,
1:27.0,M. Harrell enters the game for C. Capela,,47-52,,
1:07.0,,,47-52,,K. Walker misses 2-pt shot from 19 ft
1:05.0,,,47-52,,Offensive rebound by M. Kidd-Gilchrist
1:01.0,,,47-52,,K. Walker misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by J. Harden,,47-52,,
0:53.0,Turnover by J. Harden (bad pass; steal by M. Williams),,47-52,,
0:47.0,,,47-52,,Turnover by M. Belinelli (bad pass; steal by T. Ariza)
0:43.0,Turnover by J. Harden (offensive foul),,47-52,,
0:43.0,Offensive charge foul by J. Harden,,47-52,,
0:29.0,,,47-54,2,K. Walker makes 2-pt shot from 16 ft
0:07.0,J. Harden makes 3-pt shot from 25 ft,3,50-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by P. Beverley (bad pass),,50-54,,
11:35.0,,,50-54,,Shooting foul by R. Anderson (drawn by M. Williams)
11:35.0,,,50-55,1,M. Williams makes free throw 1 of 2
11:35.0,,,50-56,1,M. Williams makes free throw 2 of 2
11:12.0,P. Beverley makes 3-pt shot from 23 ft (assist by C. Capela),3,53-56,,
10:51.0,,,53-58,2,C. Zeller makes 2-pt shot at rim (assist by M. Kidd-Gilchrist)
10:42.0,R. Anderson misses 3-pt shot from 25 ft,,53-58,,
10:41.0,,,53-58,,Defensive rebound by N. Batum
10:32.0,,,53-58,,N. Batum misses 2-pt shot from 17 ft
10:31.0,Defensive rebound by J. Harden,,53-58,,
10:23.0,P. Beverley misses 3-pt shot from 25 ft,,53-58,,
10:22.0,,,53-58,,Defensive rebound by M. Kidd-Gilchrist
10:04.0,,,53-60,2,K. Walker makes 2-pt shot from 19 ft
9:43.0,,,53-60,,Personal block foul by C. Zeller (drawn by P. Beverley)
9:38.0,J. Harden misses 3-pt shot from 26 ft,,53-60,,
9:38.0,Offensive rebound by Team,,53-60,,
9:34.0,C. Capela makes 2-pt shot from 6 ft (assist by T. Ariza),2,55-60,,
9:16.0,,,55-62,2,N. Batum makes 2-pt shot from 20 ft (assist by M. Kidd-Gilchrist)
9:04.0,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden),3,58-62,,
8:49.0,Def 3 sec tech foul by C. Capela,,58-62,,
8:49.0,,,58-63,1,N. Batum makes technical free throw
8:33.0,,,58-63,,N. Batum misses 3-pt shot from 27 ft
8:33.0,,,58-63,,Offensive rebound by Team
8:33.0,,,58-63,,Turnover by Team (shot clock)
8:25.0,Shooting foul by M. Kidd-Gilchrist (drawn by J. Harden),,58-63,,
8:25.0,J. Harden misses free throw 1 of 3,,58-63,,
8:25.0,Offensive rebound by Team,,58-63,,
8:25.0,J. Harden makes free throw 2 of 3,1,59-63,,
8:25.0,J. Harden makes free throw 3 of 3,1,60-63,,
8:06.0,,,60-63,,Turnover by N. Batum (bad pass; steal by C. Capela)
8:00.0,P. Beverley makes 3-pt shot from 23 ft (assist by T. Ariza),3,63-63,,
7:46.0,,,63-63,,Turnover by K. Walker (bad pass; steal by C. Capela)
7:39.0,J. Harden misses 2-pt shot from 1 ft,,63-63,,
7:38.0,,,63-63,,Defensive rebound by K. Walker
7:26.0,,,63-63,,M. Williams misses 3-pt shot from 26 ft
7:25.0,Defensive rebound by T. Ariza,,63-63,,
7:14.0,R. Anderson makes 3-pt shot from 24 ft (assist by J. Harden),3,66-63,,
7:14.0,,,66-63,,Charlotte full timeout
6:55.0,,,66-63,,Turnover by N. Batum (bad pass; steal by P. Beverley)
6:40.0,P. Beverley misses 2-pt shot from 19 ft,,66-63,,
6:39.0,,,66-63,,Defensive rebound by N. Batum
6:22.0,,,66-65,2,K. Walker makes 2-pt shot from 18 ft
5:53.0,J. Harden makes 3-pt shot from 24 ft (assist by C. Capela),3,69-65,,
5:31.0,,,69-65,,C. Zeller misses 2-pt shot from 20 ft
5:30.0,Defensive rebound by J. Harden,,69-65,,
5:25.0,Shooting foul by M. Williams (drawn by C. Capela),,69-65,,
5:25.0,,,69-65,,Charlotte full timeout
5:25.0,C. Capela makes free throw 1 of 2,1,70-65,,
5:25.0,C. Capela misses free throw 2 of 2,,70-65,,
5:25.0,C. Brewer enters the game for P. Beverley,,69-65,,
5:25.0,,,69-65,,J. Lamb enters the game for N. Batum
5:22.0,,,70-65,,Defensive rebound by M. Williams
5:08.0,Personal foul by T. Ariza (drawn by J. Lamb),,70-65,,
4:57.0,,,70-65,,M. Kidd-Gilchrist misses 2-pt shot from 18 ft
4:56.0,Defensive rebound by T. Ariza,,70-65,,
4:44.0,J. Harden makes 3-pt shot from 24 ft,3,73-65,,
4:23.0,,,73-67,2,M. Kidd-Gilchrist makes 2-pt shot from 18 ft (assist by K. Walker)
4:11.0,Turnover by J. Harden (bad pass; steal by C. Zeller),,73-67,,
4:05.0,,,73-67,,J. Lamb misses 3-pt shot from 25 ft
4:02.0,Defensive rebound by J. Harden,,73-67,,
3:59.0,T. Ariza misses 3-pt shot from 25 ft,,73-67,,
3:57.0,,,73-67,,Defensive rebound by M. Williams
3:47.0,,,73-67,,Shooting foul by R. Anderson (drawn by M. Williams)
3:47.0,,,73-67,,M. Williams misses free throw 1 of 2
3:47.0,,,73-67,,Offensive rebound by Team
3:47.0,,,73-68,1,M. Williams makes free throw 2 of 2
3:47.0,M. Harrell enters the game for C. Capela,,73-67,,
3:47.0,S. Dekker enters the game for T. Ariza,,73-67,,
3:47.0,,,73-67,,M. Plumlee enters the game for C. Zeller
3:38.0,Offensive foul by J. Harden,,73-68,,
3:38.0,Turnover by J. Harden (offensive foul),,73-68,,
3:38.0,,,73-68,,F. Kaminsky enters the game for M. Williams
3:25.0,,,73-68,,F. Kaminsky misses 2-pt shot from 8 ft
3:24.0,Defensive rebound by J. Harden,,73-68,,
3:08.0,J. Harden makes 2-pt shot from 7 ft,2,75-68,,
2:52.0,,,75-68,,F. Kaminsky misses 3-pt shot from 26 ft
2:51.0,Defensive rebound by C. Brewer,,75-68,,
2:48.0,Shooting foul by J. Lamb (drawn by R. Anderson),,75-68,,
2:48.0,Houston full timeout,,75-68,,
2:48.0,R. Anderson makes free throw 1 of 2,1,76-68,,
2:48.0,R. Anderson makes free throw 2 of 2,1,77-68,,
2:48.0,,,75-68,,B. Roberts enters the game for K. Walker
2:35.0,,,77-71,3,J. Lamb makes 3-pt shot from 25 ft (assist by B. Roberts)
2:21.0,R. Anderson makes 3-pt shot from 23 ft (assist by S. Dekker),3,80-71,,
2:05.0,,,80-71,,Turnover by J. Lamb (lost ball)
1:54.0,J. Harden makes 2-pt shot from 1 ft,2,82-71,,
1:27.0,,,82-71,,J. Lamb misses 2-pt shot from 16 ft
1:26.0,,,82-71,,Offensive rebound by M. Plumlee
1:22.0,,,82-73,2,M. Plumlee makes 2-pt shot at rim
1:07.0,R. Anderson misses 3-pt shot from 25 ft,,82-73,,
1:06.0,,,82-73,,Defensive rebound by J. Lamb
0:50.0,,,82-73,,M. Kidd-Gilchrist misses 2-pt shot from 6 ft
0:50.0,,,82-73,,Offensive rebound by M. Kidd-Gilchrist
0:50.0,,,82-75,2,M. Kidd-Gilchrist makes 2-pt shot from 6 ft
0:34.0,M. Harrell misses 2-pt shot from 1 ft,,82-75,,
0:32.0,,,82-75,,Defensive rebound by J. Lamb
0:25.0,,,82-75,,Turnover by J. Lamb (bad pass; steal by C. Brewer)
0:21.0,M. Harrell makes 2-pt shot from 2 ft (assist by C. Brewer),2,84-75,,
0:21.0,Technical foul by M. Harrell,,84-75,,
0:21.0,,,84-76,1,J. Lamb makes technical free throw
0:05.0,,,84-76,,Turnover by J. Lamb (traveling)
0:02.0,,,84-76,,Personal foul by M. Plumlee (drawn by J. Harden)
0:02.0,J. Harden makes free throw 1 of 2,1,85-76,,
0:02.0,J. Harden makes free throw 2 of 2,1,86-76,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,86-76,,M. Belinelli misses 2-pt shot from 1 ft
11:46.0,,,86-76,,Offensive rebound by Team
11:46.0,Loose ball foul by C. Brewer (drawn by M. Plumlee),,86-76,,
11:38.0,,,86-78,2,M. Belinelli makes 2-pt shot from 1 ft (assist by N. Batum)
11:22.0,T. Ariza misses 3-pt shot from 25 ft,,86-78,,
11:21.0,,,86-78,,Defensive rebound by M. Plumlee
11:14.0,,,86-78,,M. Belinelli misses 3-pt shot from 25 ft
11:13.0,Defensive rebound by T. Ariza,,86-78,,
11:09.0,Shooting foul by F. Kaminsky (drawn by C. Brewer),,86-78,,
11:09.0,C. Brewer makes free throw 1 of 2,1,87-78,,
11:09.0,C. Brewer makes free throw 2 of 2,1,88-78,,
10:50.0,,,88-81,3,B. Roberts makes 3-pt shot from 27 ft (assist by M. Belinelli)
10:34.0,S. Dekker misses 3-pt shot from 25 ft,,88-81,,
10:33.0,,,88-81,,Defensive rebound by M. Belinelli
10:28.0,,,88-81,,Turnover by M. Belinelli (lost ball; steal by P. Beverley)
10:23.0,M. Harrell makes 2-pt shot at rim (assist by P. Beverley),2,90-81,,
10:01.0,,,90-81,,F. Kaminsky misses 3-pt shot from 26 ft
9:59.0,Defensive rebound by C. Brewer,,90-81,,
9:35.0,Turnover by M. Harrell (bad pass),,90-81,,
9:29.0,,,90-81,,B. Roberts misses 3-pt shot from 24 ft
9:27.0,Defensive rebound by S. Dekker,,90-81,,
9:17.0,T. Ariza makes 3-pt shot from 25 ft (assist by P. Beverley),3,93-81,,
8:52.0,,,93-84,3,B. Roberts makes 3-pt shot from 23 ft (assist by M. Plumlee)
8:43.0,T. Ariza misses 3-pt shot from 25 ft,,93-84,,
8:42.0,,,93-84,,Defensive rebound by M. Plumlee
8:32.0,,,93-84,,B. Roberts misses 2-pt shot from 2 ft (block by T. Ariza)
8:30.0,Defensive rebound by M. Harrell,,93-84,,
8:25.0,C. Brewer misses 3-pt shot from 23 ft,,93-84,,
8:24.0,,,93-84,,Defensive rebound by N. Batum
8:23.0,Official timeout,,93-84,,
8:23.0,C. Capela enters the game for M. Harrell,,93-84,,
8:23.0,,,93-84,,M. Williams enters the game for M. Plumlee
8:23.0,,,93-84,,K. Walker enters the game for B. Roberts
8:02.0,,,93-84,,M. Belinelli misses 2-pt shot from 18 ft
8:01.0,Defensive rebound by P. Beverley,,93-84,,
7:45.0,C. Capela misses 2-pt shot from 2 ft (block by K. Walker),,93-84,,
7:43.0,,,93-84,,Defensive rebound by K. Walker
7:37.0,,,93-84,,F. Kaminsky misses 3-pt shot from 25 ft
7:35.0,Defensive rebound by P. Beverley,,93-84,,
7:20.0,P. Beverley makes 2-pt shot from 3 ft,2,95-84,,
6:56.0,,,95-86,2,M. Belinelli makes 2-pt shot from 1 ft (assist by N. Batum)
6:40.0,,,95-86,,Personal foul by M. Belinelli (drawn by C. Brewer)
6:40.0,J. Harden enters the game for P. Beverley,,95-86,,
6:34.0,Offensive foul by C. Capela,,95-86,,
6:34.0,Turnover by C. Capela (offensive foul),,95-86,,
6:24.0,,,95-86,,Turnover by N. Batum (bad pass; steal by C. Capela)
6:17.0,T. Ariza misses 3-pt shot from 25 ft,,95-86,,
6:15.0,,,95-86,,Defensive rebound by K. Walker
6:04.0,,,95-86,,F. Kaminsky misses 2-pt shot from 1 ft
6:02.0,Defensive rebound by C. Capela,,95-86,,
5:55.0,Turnover by J. Harden (bad pass; steal by F. Kaminsky),,95-86,,
5:54.0,Personal foul by J. Harden (drawn by K. Walker),,95-86,,
5:54.0,,,95-86,,Charlotte full timeout
5:54.0,,,95-86,,M. Kidd-Gilchrist enters the game for F. Kaminsky
5:54.0,R. Anderson enters the game for S. Dekker,,95-86,,
5:43.0,,,95-86,,K. Walker misses 3-pt shot from 26 ft
5:40.0,Defensive rebound by T. Ariza,,95-86,,
5:29.0,T. Ariza misses 3-pt shot from 24 ft,,95-86,,
5:28.0,Offensive rebound by J. Harden,,95-86,,
5:24.0,J. Harden makes 3-pt shot from 24 ft,3,98-86,,
5:09.0,,,98-89,3,N. Batum makes 3-pt shot from 25 ft (assist by K. Walker)
4:51.0,C. Brewer misses 3-pt shot from 23 ft,,98-89,,
4:50.0,,,98-89,,Defensive rebound by M. Williams
4:40.0,,,98-89,,N. Batum misses 2-pt shot from 14 ft
4:39.0,Defensive rebound by J. Harden,,98-89,,
4:27.0,Turnover by R. Anderson (lost ball; steal by M. Kidd-Gilchrist),,98-89,,
4:24.0,P. Beverley enters the game for C. Brewer,,98-89,,
4:16.0,,,98-89,,M. Belinelli misses 3-pt shot from 25 ft
4:15.0,Defensive rebound by R. Anderson,,98-89,,
3:59.0,P. Beverley misses 2-pt shot from 5 ft (block by M. Kidd-Gilchrist),,98-89,,
3:57.0,,,98-89,,Defensive rebound by M. Belinelli
3:51.0,,,98-89,,M. Belinelli misses 2-pt shot from 1 ft
3:49.0,,,98-89,,Offensive rebound by M. Kidd-Gilchrist
3:42.0,,,98-89,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft (block by T. Ariza)
3:40.0,Defensive rebound by C. Capela,,98-89,,
3:32.0,,,98-89,,Personal foul by N. Batum (drawn by J. Harden)
