time,Memphis,pts.away,score,pts.home,Sacramento
4:24.0,,,11-16,,Turnover by K. Koufos (bad pass; steal by T. Allen)
4:14.0,Z. Randolph makes 2-pt shot from 4 ft,2,13-16,,
3:59.0,Personal foul by M. Gasol (drawn by D. Cousins),,13-16,,
3:59.0,V. Carter enters the game for T. Allen,,13-16,,
3:43.0,,,13-16,,D. Collison misses 2-pt shot from 18 ft
3:43.0,Defensive rebound by J. Ennis,,13-16,,
3:24.0,,,13-16,,G. Temple enters the game for B. McLemore
3:19.0,Z. Randolph makes 2-pt shot from 18 ft (assist by J. Ennis),2,15-16,,
3:14.0,,,15-16,,Sacramento full timeout
3:14.0,,,15-16,,O. Casspi enters the game for M. Barnes
3:05.0,,,15-16,,D. Collison misses 2-pt shot from 10 ft
3:05.0,Defensive rebound by Z. Randolph,,15-16,,
2:53.0,A. Harrison makes 2-pt shot from 14 ft,2,17-16,,
2:30.0,,,17-18,2,O. Casspi makes 2-pt shot from 3 ft (assist by D. Cousins)
2:12.0,Z. Randolph misses 2-pt shot from 6 ft (block by K. Koufos),,17-18,,
2:10.0,,,17-18,,Defensive rebound by K. Koufos
1:50.0,,,17-18,,G. Temple misses 2-pt shot from 20 ft
1:48.0,,,17-18,,Offensive rebound by O. Casspi
1:48.0,,,17-18,,O. Casspi misses 2-pt shot from 1 ft
1:47.0,Defensive rebound by J. Ennis,,17-18,,
1:33.0,V. Carter misses 3-pt shot from 25 ft,,17-18,,
1:33.0,,,17-18,,Defensive rebound by Team
1:33.0,J. Green enters the game for M. Gasol,,17-18,,
1:33.0,,,17-18,,T. Lawson enters the game for K. Koufos
1:33.0,,,17-18,,A. Tolliver enters the game for D. Collison
1:11.0,,,17-18,,O. Casspi misses 3-pt shot from 23 ft
1:11.0,Defensive rebound by Z. Randolph,,17-18,,
0:51.0,Z. Randolph misses 2-pt shot from 16 ft,,17-18,,
0:49.0,,,17-18,,Defensive rebound by A. Tolliver
0:44.0,,,17-18,,Shooting foul by Z. Randolph (drawn by D. Cousins)
0:44.0,,,17-19,1,D. Cousins makes free throw 1 of 2
0:44.0,,,17-20,1,D. Cousins makes free throw 2 of 2
0:34.0,A. Harrison makes 2-pt shot from 3 ft,2,19-20,,
0:28.0,,,19-20,,D. Cousins misses 2-pt shot from 2 ft
0:27.0,Defensive rebound by Z. Randolph,,19-20,,
0:05.0,J. Ennis makes 2-pt shot from 19 ft (assist by A. Harrison),2,21-20,,
0:00.0,,,21-20,,D. Cousins misses 3-pt shot from 27 ft
0:00.0,,,21-20,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,21-20,,G. Temple misses 3-pt shot from 24 ft
11:41.0,Defensive rebound by V. Carter,,21-20,,
11:25.0,V. Carter makes 3-pt shot from 24 ft (assist by Z. Randolph),3,24-20,,
11:00.0,,,24-20,,T. Lawson misses 2-pt shot from 2 ft (block by V. Carter)
10:59.0,Defensive rebound by A. Harrison,,24-20,,
10:36.0,Z. Randolph misses 2-pt shot from 21 ft,,24-20,,
10:34.0,,,24-20,,Defensive rebound by T. Lawson
10:25.0,,,24-20,,O. Casspi misses 2-pt shot from 4 ft
10:23.0,Defensive rebound by V. Carter,,24-20,,
10:18.0,Z. Randolph makes 2-pt shot from 2 ft (assist by J. Green),2,26-20,,
10:06.0,Personal foul by A. Harrison (drawn by T. Lawson),,26-20,,
10:06.0,T. Daniels enters the game for J. Ennis,,26-20,,
9:55.0,,,26-20,,A. Tolliver misses 3-pt shot from 25 ft
9:55.0,Defensive rebound by V. Carter,,26-20,,
9:36.0,Z. Randolph makes 2-pt shot from 3 ft,2,28-20,,
9:22.0,,,28-20,,T. Lawson misses 3-pt shot from 25 ft
9:21.0,,,28-20,,Offensive rebound by G. Temple
9:20.0,,,28-20,,Turnover by W. Cauley-Stein (traveling)
9:20.0,,,28-20,,D. Collison enters the game for O. Casspi
9:20.0,M. Conley enters the game for A. Harrison,,28-20,,
8:59.0,Z. Randolph makes 2-pt shot from 4 ft,2,30-20,,
8:55.0,,,30-20,,Sacramento full timeout
8:55.0,,,30-20,,K. Koufos enters the game for W. Cauley-Stein
8:46.0,,,30-20,,K. Koufos misses 2-pt shot from 11 ft
8:45.0,Defensive rebound by T. Daniels,,30-20,,
8:33.0,T. Daniels misses 3-pt shot from 25 ft,,30-20,,
8:32.0,Offensive rebound by J. Green,,30-20,,
8:32.0,J. Green makes 2-pt shot at rim,2,32-20,,
8:14.0,,,32-20,,T. Lawson misses 2-pt shot from 3 ft (block by M. Conley)
8:13.0,,,32-20,,Offensive rebound by T. Lawson
8:06.0,,,32-22,2,D. Collison makes 2-pt shot from 5 ft
7:43.0,Z. Randolph misses 2-pt shot from 15 ft,,32-22,,
7:42.0,Offensive rebound by M. Conley,,32-22,,
7:42.0,Memphis full timeout,,32-22,,
7:42.0,C. Parsons enters the game for Z. Randolph,,32-22,,
7:42.0,M. Gasol enters the game for V. Carter,,32-22,,
7:33.0,C. Parsons misses 2-pt shot from 16 ft,,32-22,,
7:33.0,Offensive rebound by Team,,32-22,,
7:33.0,,,32-22,,Loose ball foul by T. Lawson (drawn by T. Daniels)
7:20.0,M. Gasol misses 2-pt shot from 6 ft,,32-22,,
7:19.0,,,32-22,,Defensive rebound by G. Temple
7:12.0,,,32-22,,G. Temple misses 3-pt shot from 25 ft
7:11.0,Defensive rebound by M. Conley,,32-22,,
7:03.0,Shooting foul by D. Collison (drawn by M. Conley),,32-22,,
7:03.0,M. Conley makes 2-pt shot from 4 ft,2,34-22,,
7:03.0,M. Conley makes free throw 1 of 1,1,35-22,,
6:48.0,,,35-25,3,A. Tolliver makes 3-pt shot from 24 ft (assist by T. Lawson)
6:24.0,T. Daniels makes 3-pt shot from 25 ft (assist by M. Conley),3,38-25,,
6:12.0,,,38-27,2,D. Collison makes 2-pt shot from 12 ft
5:59.0,T. Daniels misses 2-pt shot from 15 ft,,38-27,,
5:58.0,,,38-27,,Defensive rebound by A. Tolliver
5:41.0,,,38-27,,K. Koufos misses 2-pt shot from 2 ft
5:40.0,,,38-27,,Offensive rebound by K. Koufos
5:35.0,,,38-27,,Shooting foul by T. Daniels (drawn by T. Lawson)
5:35.0,,,38-28,1,T. Lawson makes free throw 1 of 2
5:35.0,,,38-29,1,T. Lawson makes free throw 2 of 2
5:35.0,T. Allen enters the game for T. Daniels,,38-28,,
5:35.0,,,38-28,,D. Cousins enters the game for K. Koufos
5:35.0,,,38-28,,M. Barnes enters the game for G. Temple
5:16.0,J. Green makes 3-pt shot from 23 ft (assist by C. Parsons),3,41-29,,
4:55.0,,,41-31,2,D. Cousins makes 2-pt shot from 3 ft (assist by M. Barnes)
4:43.0,M. Conley misses 2-pt shot from 6 ft,,41-31,,
4:43.0,,,41-31,,Defensive rebound by M. Barnes
4:34.0,,,41-31,,D. Collison misses 3-pt shot from 24 ft
4:34.0,Defensive rebound by M. Gasol,,41-31,,
4:24.0,Turnover by M. Gasol (lost ball; steal by D. Cousins),,41-31,,
4:20.0,,,41-33,2,D. Cousins makes 2-pt shot at rim
4:07.0,Memphis full timeout,,41-33,,
3:59.0,T. Allen misses 2-pt shot from 3 ft,,41-33,,
3:58.0,,,41-33,,Defensive rebound by M. Barnes
3:43.0,,,41-36,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Cousins)
3:35.0,,,41-36,,Personal foul by T. Lawson (drawn by M. Conley)
3:35.0,,,41-36,,G. Temple enters the game for T. Lawson
3:35.0,Z. Randolph enters the game for J. Green,,41-36,,
3:20.0,Turnover by M. Conley (bad pass; steal by D. Cousins),,41-36,,
3:08.0,Def 3 sec tech foul by T. Allen,,41-36,,
3:08.0,,,41-37,1,D. Cousins makes technical free throw
3:08.0,J. Ennis enters the game for C. Parsons,,41-37,,
2:58.0,,,41-37,,Shooting foul by T. Allen (drawn by D. Cousins)
2:58.0,,,41-38,1,D. Cousins makes free throw 1 of 2
2:58.0,,,41-39,1,D. Cousins makes free throw 2 of 2
2:40.0,M. Gasol misses 2-pt shot from 13 ft,,41-39,,
2:40.0,Offensive rebound by T. Allen,,41-39,,
2:36.0,,,41-39,,Personal foul by D. Cousins (drawn by M. Gasol)
2:33.0,M. Gasol misses 3-pt shot from 24 ft,,41-39,,
2:32.0,,,41-39,,Defensive rebound by G. Temple
2:14.0,,,41-42,3,M. Barnes makes 3-pt shot from 23 ft (assist by A. Tolliver)
1:54.0,,,41-42,,Personal foul by D. Cousins (drawn by M. Gasol)
1:54.0,M. Gasol makes free throw 1 of 2,1,42-42,,
1:54.0,M. Gasol makes free throw 2 of 2,1,43-42,,
1:54.0,A. Harrison enters the game for M. Conley,,42-42,,
1:45.0,,,43-42,,M. Barnes misses 2-pt shot from 10 ft (block by J. Ennis)
1:44.0,,,43-42,,Offensive rebound by M. Barnes
1:44.0,,,43-42,,Shooting foul by J. Ennis (drawn by M. Barnes)
1:44.0,,,43-43,1,M. Barnes makes free throw 1 of 2
1:44.0,,,43-43,,M. Barnes misses free throw 2 of 2
1:44.0,,,43-43,,K. Koufos enters the game for A. Tolliver
1:42.0,Defensive rebound by T. Allen,,43-43,,
1:29.0,J. Ennis misses 3-pt shot from 25 ft,,43-43,,
1:27.0,Offensive rebound by A. Harrison,,43-43,,
1:19.0,A. Harrison makes 2-pt shot from 3 ft,2,45-43,,
1:07.0,,,45-45,2,D. Collison makes 2-pt shot from 4 ft
0:48.0,T. Allen makes 3-pt shot from 23 ft (assist by J. Ennis),3,48-45,,
0:34.0,,,48-45,,D. Collison misses 2-pt shot from 3 ft
0:33.0,Defensive rebound by Z. Randolph,,48-45,,
0:30.0,Memphis full timeout,,48-45,,
0:30.0,,,48-45,,A. Tolliver enters the game for D. Cousins
0:14.0,,,48-45,,Personal foul by G. Temple (drawn by J. Ennis)
0:14.0,J. Ennis makes free throw 1 of 2,1,49-45,,
0:14.0,J. Ennis makes free throw 2 of 2,1,50-45,,
0:14.0,,,49-45,,D. Cousins enters the game for K. Koufos
0:14.0,J. Green enters the game for Z. Randolph,,49-45,,
0:02.0,,,50-45,,D. Cousins misses 2-pt shot from 2 ft
0:01.0,,,50-45,,Offensive rebound by D. Collison
0:00.0,,,50-45,,D. Collison misses 2-pt shot from 20 ft
0:00.0,,,50-45,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,50-45,,B. McLemore misses 3-pt shot from 25 ft
11:41.0,Defensive rebound by M. Conley,,50-45,,
11:40.0,,,50-45,,Personal foul by D. Cousins (drawn by M. Conley)
11:21.0,M. Conley makes 3-pt shot from 27 ft (assist by M. Gasol),3,53-45,,
11:07.0,Personal foul by C. Parsons (drawn by D. Cousins),,53-45,,
11:01.0,,,53-45,,M. Barnes misses 3-pt shot from 26 ft
10:59.0,,,53-45,,Offensive rebound by Team
10:49.0,,,53-47,2,D. Collison makes 2-pt shot from 17 ft
10:31.0,T. Allen makes 2-pt shot from 2 ft (assist by M. Gasol),2,55-47,,
10:08.0,,,55-49,2,B. McLemore makes 2-pt shot from 4 ft (assist by D. Collison)
9:56.0,Turnover by M. Conley (bad pass; steal by D. Cousins),,55-49,,
9:48.0,,,55-49,,D. Cousins misses 2-pt shot from 2 ft
9:48.0,,,55-49,,Offensive rebound by K. Koufos
9:48.0,,,55-49,,K. Koufos misses 2-pt shot from 2 ft
9:47.0,Defensive rebound by M. Gasol,,55-49,,
9:30.0,M. Conley makes 2-pt shot from 3 ft,2,57-49,,
9:16.0,,,57-49,,Offensive foul by D. Cousins
9:16.0,,,57-49,,Turnover by D. Cousins (offensive foul)
9:16.0,,,57-49,,Violation by Team (jump ball)
9:16.0,Z. Randolph enters the game for M. Gasol,,57-49,,
8:55.0,Z. Randolph misses 3-pt shot from 25 ft,,57-49,,
8:55.0,Offensive rebound by Z. Randolph,,57-49,,
8:45.0,M. Conley makes 3-pt shot from 25 ft (assist by C. Parsons),3,60-49,,
8:31.0,Personal foul by Z. Randolph (drawn by D. Cousins),,60-49,,
8:22.0,,,60-49,,Turnover by M. Barnes (lost ball; steal by C. Parsons)
8:16.0,C. Parsons makes 2-pt shot from 3 ft (assist by J. Green),2,62-49,,
8:03.0,,,62-49,,Sacramento full timeout
8:00.0,,,62-49,,Offensive foul by B. McLemore
8:00.0,,,62-49,,Turnover by B. McLemore (offensive foul)
7:51.0,C. Parsons makes 2-pt shot from 2 ft (assist by Z. Randolph),2,64-49,,
7:29.0,,,64-49,,D. Cousins misses 3-pt shot from 25 ft
7:29.0,Defensive rebound by M. Conley,,64-49,,
7:23.0,Offensive foul by Z. Randolph,,64-49,,
7:23.0,Turnover by Z. Randolph (offensive foul),,64-49,,
7:23.0,,,64-49,,A. Tolliver enters the game for K. Koufos
7:23.0,,,64-49,,G. Temple enters the game for B. McLemore
7:13.0,,,64-49,,G. Temple misses 3-pt shot from 23 ft
7:12.0,Defensive rebound by J. Green,,64-49,,
6:58.0,C. Parsons misses 3-pt shot from 26 ft,,64-49,,
6:57.0,,,64-49,,Defensive rebound by A. Tolliver
6:42.0,,,64-49,,D. Cousins misses 2-pt shot from 7 ft
6:41.0,,,64-49,,Offensive rebound by D. Cousins
6:40.0,,,64-51,2,D. Cousins makes 2-pt shot from 2 ft
6:19.0,C. Parsons makes 3-pt shot from 24 ft (assist by Z. Randolph),3,67-51,,
6:09.0,,,67-51,,Turnover by D. Cousins (bad pass)
6:09.0,J. Ennis enters the game for C. Parsons,,67-51,,
5:58.0,M. Conley makes 3-pt shot from 25 ft,3,70-51,,
5:32.0,,,70-54,3,A. Tolliver makes 3-pt shot from 24 ft (assist by M. Barnes)
5:09.0,T. Allen makes 2-pt shot from 6 ft,2,72-54,,
4:45.0,,,72-54,,D. Collison misses 3-pt shot from 25 ft
4:45.0,Defensive rebound by J. Green,,72-54,,
4:30.0,Z. Randolph misses 2-pt shot from 17 ft,,72-54,,
4:30.0,,,72-54,,Defensive rebound by M. Barnes
4:27.0,J. Martin enters the game for J. Green,,72-54,,
4:27.0,V. Carter enters the game for T. Allen,,72-54,,
4:21.0,Personal foul by Z. Randolph (drawn by D. Cousins),,72-54,,
4:21.0,J. Green enters the game for Z. Randolph,,72-54,,
4:17.0,Def 3 sec tech foul by J. Ennis,,72-54,,
4:17.0,,,72-55,1,D. Cousins makes technical free throw
4:08.0,,,72-55,,Shooting foul by J. Green (drawn by D. Cousins)
4:08.0,,,72-55,,Technical foul by D. Cousins
4:08.0,M. Conley misses technical free throw,,72-55,,
4:08.0,,,72-55,,Offensive rebound by Team
4:08.0,,,72-56,1,D. Cousins makes free throw 1 of 2
4:08.0,,,72-57,1,D. Cousins makes free throw 2 of 2
3:54.0,J. Martin misses 2-pt shot from 2 ft,,72-57,,
3:53.0,,,72-57,,Defensive rebound by M. Barnes
3:51.0,Personal foul by J. Martin (drawn by M. Barnes),,72-57,,
3:51.0,,,72-58,1,M. Barnes makes free throw 1 of 2
3:51.0,,,72-59,1,M. Barnes makes free throw 2 of 2
3:34.0,V. Carter makes 2-pt shot from 8 ft,2,74-59,,
3:19.0,,,74-59,,D. Cousins misses 2-pt shot from 10 ft
3:17.0,Defensive rebound by J. Green,,74-59,,
3:12.0,J. Martin misses 2-pt shot from 2 ft (block by G. Temple),,74-59,,
3:10.0,,,74-59,,Defensive rebound by M. Barnes
3:04.0,,,74-61,2,D. Collison makes 2-pt shot from 4 ft
2:56.0,Memphis full timeout,,74-61,,
2:56.0,A. Harrison enters the game for M. Conley,,74-61,,
2:56.0,,,74-61,,M. Richardson enters the game for M. Barnes
2:39.0,J. Green makes 2-pt shot from 20 ft (assist by J. Ennis),2,76-61,,
2:19.0,Personal foul by J. Ennis (drawn by A. Tolliver),,76-61,,
2:19.0,,,76-62,1,A. Tolliver makes free throw 1 of 2
2:19.0,,,76-63,1,A. Tolliver makes free throw 2 of 2
1:56.0,V. Carter misses 2-pt shot from 22 ft,,76-63,,
1:56.0,,,76-63,,Defensive rebound by D. Collison
1:44.0,,,76-63,,Turnover by D. Cousins (lost ball)
1:20.0,J. Green makes 3-pt shot from 23 ft (assist by A. Harrison),3,79-63,,
1:11.0,Personal foul by A. Harrison (drawn by D. Cousins),,79-63,,
1:11.0,,,79-63,,D. Cousins misses free throw 1 of 2
1:11.0,,,79-63,,Offensive rebound by Team
1:11.0,,,79-64,1,D. Cousins makes free throw 2 of 2
1:11.0,,,79-63,,M. Barnes enters the game for D. Collison
0:55.0,A. Harrison misses 3-pt shot from 25 ft,,79-64,,
0:53.0,,,79-64,,Defensive rebound by D. Cousins
0:38.0,,,79-64,,M. Barnes misses 3-pt shot from 24 ft
0:34.0,,,79-64,,Offensive rebound by A. Tolliver
0:34.0,,,79-64,,Turnover by A. Tolliver (bad pass; steal by V. Carter)
0:30.0,Turnover by V. Carter (bad pass; steal by G. Temple),,79-64,,
0:21.0,,,79-64,,M. Richardson misses 3-pt shot from 25 ft
0:21.0,,,79-64,,Offensive rebound by A. Tolliver
0:18.0,,,79-67,3,M. Barnes makes 3-pt shot from 24 ft (assist by D. Cousins)
0:02.0,J. Green makes 3-pt shot from 23 ft (assist by A. Harrison),3,82-67,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,V. Carter makes 3-pt shot from 24 ft (assist by J. Green),3,85-67,,
11:24.0,,,85-67,,Shooting foul by J. Green (drawn by D. Cousins)
11:24.0,,,85-68,1,D. Cousins makes free throw 1 of 2
11:24.0,,,85-69,1,D. Cousins makes free throw 2 of 2
11:06.0,T. Daniels makes 3-pt shot from 25 ft (assist by A. Harrison),3,88-69,,
10:49.0,,,88-69,,Shooting foul by J. Martin (drawn by A. Tolliver)
10:49.0,,,88-70,1,A. Tolliver makes free throw 1 of 2
10:49.0,,,88-71,1,A. Tolliver makes free throw 2 of 2
10:38.0,T. Daniels makes 2-pt shot from 18 ft (assist by A. Harrison),2,90-71,,
10:24.0,,,90-71,,D. Cousins misses 2-pt shot from 18 ft
10:24.0,Defensive rebound by J. Martin,,90-71,,
10:13.0,A. Harrison makes 3-pt shot from 25 ft (assist by T. Daniels),3,93-71,,
9:59.0,,,93-71,,Turnover by G. Temple (bad pass; steal by J. Martin)
9:56.0,Turnover by J. Martin (bad pass; steal by D. Cousins),,93-71,,
9:50.0,,,93-74,3,G. Temple makes 3-pt shot from 25 ft (assist by D. Cousins)
9:26.0,V. Carter makes 3-pt shot from 24 ft (assist by A. Harrison),3,96-74,,
9:06.0,,,96-77,3,M. Barnes makes 3-pt shot from 25 ft (assist by A. Tolliver)
8:50.0,T. Daniels makes 3-pt shot from 25 ft,3,99-77,,
8:50.0,,,99-77,,Sacramento full timeout
8:50.0,Z. Randolph enters the game for J. Green,,99-77,,
8:50.0,J. Ennis enters the game for V. Carter,,99-77,,
8:39.0,,,99-79,2,D. Cousins makes 2-pt shot at rim (assist by G. Temple)
8:09.0,Z. Randolph misses 2-pt shot from 13 ft,,99-79,,
8:08.0,,,99-79,,Defensive rebound by M. Barnes
8:04.0,,,99-81,2,D. Cousins makes 2-pt shot from 2 ft (assist by M. Barnes)
8:04.0,,,99-81,,Shooting foul by T. Daniels (drawn by D. Cousins)
8:04.0,,,99-82,1,D. Cousins makes free throw 1 of 1
8:04.0,M. Conley enters the game for A. Harrison,,99-81,,
8:04.0,,,99-81,,D. Collison enters the game for M. Richardson
7:38.0,J. Ennis misses 3-pt shot from 25 ft,,99-82,,
7:37.0,,,99-82,,Defensive rebound by Team
7:13.0,,,99-82,,D. Cousins misses 2-pt shot from 16 ft
7:12.0,Defensive rebound by J. Martin,,99-82,,
7:05.0,T. Daniels misses 3-pt shot from 25 ft,,99-82,,
7:04.0,Offensive rebound by Z. Randolph,,99-82,,
6:43.0,Z. Randolph makes 2-pt shot from 4 ft,2,101-82,,
6:26.0,,,101-82,,Shooting foul by J. Ennis (drawn by M. Barnes)
6:26.0,,,101-83,1,M. Barnes makes free throw 1 of 3
6:26.0,,,101-84,1,M. Barnes makes free throw 2 of 3
6:26.0,,,101-84,,M. Barnes misses free throw 3 of 3
6:25.0,Defensive rebound by J. Ennis,,101-84,,
6:10.0,Z. Randolph misses 2-pt shot from 15 ft,,101-84,,
6:10.0,,,101-84,,Defensive rebound by M. Barnes
6:01.0,,,101-84,,D. Cousins misses 3-pt shot from 24 ft
6:00.0,Defensive rebound by M. Conley,,101-84,,
5:43.0,M. Conley misses 2-pt shot from 4 ft,,101-84,,
5:41.0,Offensive rebound by J. Ennis,,101-84,,
5:37.0,M. Conley misses 3-pt shot from 24 ft,,101-84,,
5:36.0,Offensive rebound by M. Conley,,101-84,,
5:36.0,Shooting foul by M. Barnes (drawn by M. Conley),,101-84,,
5:36.0,Official timeout,,101-84,,
5:36.0,M. Conley makes free throw 1 of 2,1,102-84,,
5:36.0,M. Conley misses free throw 2 of 2,,102-84,,
5:36.0,J. Green enters the game for J. Martin,,101-84,,
5:35.0,,,102-84,,Defensive rebound by A. Tolliver
5:10.0,,,102-84,,D. Collison misses 2-pt shot from 18 ft
5:09.0,,,102-84,,Offensive rebound by D. Cousins
5:06.0,,,102-86,2,D. Cousins makes 2-pt shot from 3 ft
4:47.0,T. Daniels misses 2-pt shot from 21 ft,,102-86,,
4:46.0,Offensive rebound by J. Green,,102-86,,
4:42.0,J. Ennis misses 3-pt shot from 24 ft,,102-86,,
4:41.0,Offensive rebound by M. Conley,,102-86,,
4:41.0,M. Conley makes 2-pt shot from 3 ft,2,104-86,,
4:41.0,Shooting foul by A. Tolliver (drawn by M. Conley),,104-86,,
4:41.0,M. Conley makes free throw 1 of 1,1,105-86,,
4:41.0,V. Carter enters the game for T. Daniels,,104-86,,
4:27.0,,,105-86,,Turnover by D. Cousins (lost ball; steal by J. Green)
4:02.0,Z. Randolph makes 2-pt shot from 18 ft,2,107-86,,
3:49.0,,,107-89,3,A. Tolliver makes 3-pt shot from 25 ft (assist by D. Cousins)
3:27.0,V. Carter misses 3-pt shot from 25 ft,,107-89,,
3:27.0,Offensive rebound by J. Green,,107-89,,
3:16.0,,,107-89,,Personal foul by A. Tolliver (drawn by M. Conley)
3:16.0,,,107-89,,S. Labissiere enters the game for A. Tolliver
3:16.0,,,107-89,,G. Papagiannis enters the game for M. Barnes
3:16.0,,,107-89,,M. Richardson enters the game for D. Cousins
3:00.0,J. Green makes 2-pt shot from 21 ft (assist by M. Conley),2,109-89,,
2:46.0,,,109-91,2,M. Richardson makes 2-pt shot from 16 ft
2:23.0,Z. Randolph misses 3-pt shot from 25 ft,,109-91,,
2:22.0,,,109-91,,Defensive rebound by D. Collison
2:14.0,,,109-91,,Shooting foul by J. Ennis (drawn by M. Richardson)
2:14.0,Memphis full timeout,,109-91,,
2:14.0,,,109-92,1,M. Richardson makes free throw 1 of 2
2:14.0,,,109-93,1,M. Richardson makes free throw 2 of 2
2:14.0,A. Harrison enters the game for M. Conley,,109-91,,
2:14.0,J. Martin enters the game for J. Ennis,,109-91,,
2:14.0,W. Baldwin enters the game for Z. Randolph,,109-91,,
2:14.0,,,109-91,,B. McLemore enters the game for G. Temple
1:51.0,A. Harrison misses 3-pt shot from 25 ft,,109-93,,
1:51.0,,,109-93,,Defensive rebound by S. Labissiere
1:48.0,,,109-93,,Turnover by S. Labissiere (bad pass; steal by J. Martin)
1:25.0,J. Martin misses 2-pt shot from 23 ft,,109-93,,
1:25.0,,,109-93,,Defensive rebound by S. Labissiere
1:01.0,,,109-96,3,M. Richardson makes 3-pt shot from 25 ft
0:43.0,V. Carter makes 3-pt shot from 25 ft (assist by J. Green),3,112-96,,
0:30.0,,,112-98,2,S. Labissiere makes 2-pt shot from 7 ft
0:06.0,W. Baldwin misses 3-pt shot from 23 ft,,112-98,,
0:05.0,,,112-98,,Defensive rebound by M. Richardson
0:00.0,,,112-98,,M. Richardson misses 3-pt shot from 34 ft
0:00.0,,,112-98,,Offensive rebound by Team
0:00.0,End of 4th quarter,,,,End of 4th quarter
