time,Boston,pts.away,score,pts.home,Charlotte
4:30.0,Defensive rebound by J. Jerebko,,12-16,,
4:20.0,I. Thomas makes 3-pt shot from 25 ft,3,15-16,,
4:05.0,,,15-18,2,F. Kaminsky makes 2-pt shot from 15 ft (assist by K. Walker)
3:55.0,Shooting foul by F. Kaminsky (drawn by I. Thomas),,15-18,,
3:55.0,I. Thomas misses free throw 1 of 2,,15-18,,
3:55.0,Offensive rebound by Team,,15-18,,
3:55.0,I. Thomas makes free throw 2 of 2,1,16-18,,
3:55.0,,,15-18,,J. Lamb enters the game for M. Kidd-Gilchrist
3:55.0,J. Brown enters the game for A. Bradley,,15-18,,
3:44.0,,,16-20,2,N. Batum makes 2-pt shot from 16 ft
3:18.0,K. Olynyk makes 2-pt shot from 3 ft,2,18-20,,
3:02.0,,,18-20,,K. Walker misses 2-pt shot from 18 ft
3:01.0,Defensive rebound by J. Brown,,18-20,,
2:50.0,I. Thomas makes 2-pt shot from 1 ft (assist by K. Olynyk),2,20-20,,
2:38.0,,,20-22,2,J. Lamb makes 2-pt shot from 18 ft (assist by K. Walker)
2:14.0,J. Brown makes 3-pt shot from 24 ft (assist by K. Olynyk),3,23-22,,
1:56.0,,,23-24,2,F. Kaminsky makes 2-pt shot from 5 ft
1:49.0,Boston full timeout,,23-24,,
1:49.0,A. Horford enters the game for K. Olynyk,,23-24,,
1:49.0,J. Crowder enters the game for I. Thomas,,23-24,,
1:49.0,,,23-24,,M. Plumlee enters the game for C. Zeller
1:49.0,,,23-24,,B. Roberts enters the game for K. Walker
1:32.0,J. Crowder makes 3-pt shot from 26 ft (assist by J. Jerebko),3,26-24,,
1:14.0,,,26-26,2,F. Kaminsky makes 2-pt shot from 14 ft (assist by N. Batum)
0:56.0,A. Horford makes 3-pt shot from 25 ft (assist by J. Crowder),3,29-26,,
0:39.0,,,29-26,,Shooting foul by J. Brown (drawn by J. Lamb)
0:39.0,,,29-27,1,J. Lamb makes free throw 1 of 2
0:39.0,,,29-28,1,J. Lamb makes free throw 2 of 2
0:22.0,J. Jerebko misses 2-pt shot from 7 ft,,29-28,,
0:21.0,Offensive rebound by A. Horford,,29-28,,
0:18.0,J. Brown makes 3-pt shot from 25 ft (assist by J. Crowder),3,32-28,,
0:01.0,,,32-28,,B. Roberts misses 2-pt shot from 17 ft
0:00.0,Defensive rebound by M. Smart,,32-28,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,A. Horford makes 2-pt shot from 11 ft,2,34-28,,
11:35.0,,,34-28,,Offensive foul by M. Plumlee
11:35.0,,,34-28,,Turnover by M. Plumlee (offensive foul)
11:16.0,A. Horford misses 2-pt shot from 15 ft,,34-28,,
11:15.0,Offensive rebound by J. Brown,,34-28,,
11:12.0,J. Jerebko makes 3-pt shot from 25 ft (assist by A. Horford),3,37-28,,
11:12.0,,,37-28,,Charlotte full timeout
10:59.0,,,37-28,,F. Kaminsky misses 2-pt shot from 19 ft
10:58.0,Defensive rebound by J. Crowder,,37-28,,
10:51.0,J. Jerebko makes 3-pt shot from 24 ft (assist by M. Smart),3,40-28,,
10:28.0,,,40-28,,J. Lamb misses 3-pt shot from 26 ft
10:26.0,,,40-28,,Offensive rebound by T. Graham
10:22.0,,,40-28,,F. Kaminsky misses 3-pt shot from 24 ft
10:21.0,Defensive rebound by A. Horford,,40-28,,
10:12.0,A. Horford makes 2-pt shot from 1 ft (assist by M. Smart),2,42-28,,
9:54.0,,,42-30,2,J. Lamb makes 2-pt shot from 1 ft
9:29.0,A. Horford misses 3-pt shot from 25 ft,,42-30,,
9:28.0,,,42-30,,Defensive rebound by J. Lamb
9:18.0,,,42-30,,F. Kaminsky misses 2-pt shot from 11 ft
9:17.0,Defensive rebound by J. Jerebko,,42-30,,
9:08.0,,,42-30,,Personal foul by T. Graham (drawn by J. Crowder)
9:08.0,T. Zeller enters the game for J. Jerebko,,42-30,,
9:01.0,M. Smart misses 3-pt shot from 25 ft,,42-30,,
9:00.0,,,42-30,,Defensive rebound by F. Kaminsky
8:45.0,,,42-32,2,B. Roberts makes 2-pt shot from 1 ft (assist by F. Kaminsky)
8:20.0,J. Brown misses 3-pt shot from 25 ft,,42-32,,
8:19.0,,,42-32,,Defensive rebound by F. Kaminsky
8:05.0,,,42-35,3,T. Graham makes 3-pt shot from 25 ft (assist by F. Kaminsky)
7:50.0,,,42-35,,M. Williams enters the game for M. Plumlee
7:50.0,A. Bradley enters the game for J. Brown,,42-35,,
7:50.0,K. Olynyk enters the game for A. Horford,,42-35,,
7:47.0,M. Smart makes 2-pt shot from 17 ft (assist by J. Crowder),2,44-35,,
7:24.0,,,44-35,,F. Kaminsky misses 2-pt shot from 11 ft
7:22.0,Defensive rebound by T. Zeller,,44-35,,
7:13.0,M. Smart misses 3-pt shot from 24 ft,,44-35,,
7:11.0,,,44-35,,Defensive rebound by M. Williams
6:54.0,,,44-35,,B. Roberts misses 2-pt shot from 1 ft
6:53.0,Defensive rebound by K. Olynyk,,44-35,,
6:51.0,Shooting foul by T. Graham (drawn by J. Crowder),,44-35,,
6:51.0,J. Crowder makes free throw 1 of 2,1,45-35,,
6:51.0,J. Crowder makes free throw 2 of 2,1,46-35,,
6:51.0,,,45-35,,K. Walker enters the game for B. Roberts
6:35.0,,,46-37,2,J. Lamb makes 2-pt shot from 18 ft
6:35.0,,,46-37,,Shooting foul by A. Bradley (drawn by J. Lamb)
6:35.0,,,46-38,1,J. Lamb makes free throw 1 of 1
6:24.0,J. Crowder misses 2-pt shot from 17 ft,,46-38,,
6:23.0,,,46-38,,Defensive rebound by J. Lamb
6:20.0,Personal foul by J. Crowder (drawn by J. Lamb),,46-38,,
6:06.0,,,46-38,,K. Walker misses 3-pt shot from 26 ft
6:05.0,,,46-38,,Offensive rebound by T. Graham
5:57.0,,,46-38,,F. Kaminsky misses 3-pt shot from 24 ft
5:56.0,Defensive rebound by T. Zeller,,46-38,,
5:41.0,A. Bradley misses 3-pt shot from 23 ft (block by J. Lamb),,46-38,,
5:41.0,Offensive rebound by Team,,46-38,,
5:41.0,Official timeout,,46-38,,
5:41.0,I. Thomas enters the game for M. Smart,,46-38,,
5:41.0,,,46-38,,N. Batum enters the game for J. Lamb
5:41.0,,,46-38,,M. Kidd-Gilchrist enters the game for T. Graham
5:33.0,J. Crowder makes 2-pt shot from 15 ft (assist by T. Zeller),2,48-38,,
5:13.0,,,48-38,,F. Kaminsky misses 3-pt shot from 26 ft
5:12.0,Defensive rebound by K. Olynyk,,48-38,,
4:57.0,Turnover by I. Thomas (bad pass; steal by M. Williams),,48-38,,
4:49.0,,,48-41,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
4:30.0,T. Zeller makes 2-pt shot from 5 ft (assist by A. Bradley),2,50-41,,
4:13.0,,,50-41,,M. Williams misses 2-pt shot from 23 ft
4:11.0,Defensive rebound by J. Crowder,,50-41,,
4:06.0,K. Olynyk makes 2-pt shot from 7 ft,2,52-41,,
4:06.0,Shooting foul by M. Williams (drawn by K. Olynyk),,52-41,,
4:06.0,K. Olynyk makes free throw 1 of 1,1,53-41,,
4:06.0,M. Smart enters the game for J. Crowder,,52-41,,
4:06.0,,,52-41,,C. Zeller enters the game for F. Kaminsky
3:52.0,,,53-43,2,N. Batum makes 2-pt shot from 18 ft (assist by K. Walker)
3:46.0,,,53-43,,Personal foul by K. Walker (drawn by I. Thomas)
3:40.0,I. Thomas makes 3-pt shot from 25 ft (assist by T. Zeller),3,56-43,,
3:29.0,,,56-43,,K. Walker misses 3-pt shot from 30 ft
3:29.0,Defensive rebound by Team,,56-43,,
3:20.0,I. Thomas misses 3-pt shot from 25 ft,,56-43,,
3:20.0,,,56-43,,Defensive rebound by N. Batum
3:20.0,,,56-43,,Technical foul by Team
3:20.0,I. Thomas makes technical free throw,1,57-43,,
3:08.0,,,57-45,2,K. Walker makes 2-pt shot from 15 ft
2:50.0,K. Olynyk misses 3-pt shot from 26 ft,,57-45,,
2:49.0,,,57-45,,Defensive rebound by C. Zeller
2:45.0,,,57-45,,Shooting foul by K. Olynyk (drawn by M. Kidd-Gilchrist)
2:45.0,Boston full timeout,,57-45,,
2:45.0,,,57-46,1,M. Kidd-Gilchrist makes free throw 1 of 2
2:45.0,,,57-47,1,M. Kidd-Gilchrist makes free throw 2 of 2
2:45.0,A. Horford enters the game for T. Zeller,,57-45,,
2:32.0,Turnover by M. Smart (bad pass),,57-47,,
2:32.0,,,57-47,,J. Lamb enters the game for M. Kidd-Gilchrist
2:22.0,,,57-47,,Shooting foul by A. Horford (drawn by C. Zeller)
2:22.0,,,57-48,1,C. Zeller makes free throw 1 of 2
2:22.0,,,57-49,1,C. Zeller makes free throw 2 of 2
2:02.0,A. Horford makes 2-pt shot from 18 ft (assist by I. Thomas),2,59-49,,
1:48.0,,,59-49,,K. Walker misses 3-pt shot from 26 ft
1:47.0,Defensive rebound by A. Bradley,,59-49,,
1:35.0,I. Thomas makes 3-pt shot from 23 ft (assist by A. Horford),3,62-49,,
1:21.0,,,62-51,2,K. Walker makes 2-pt shot from 9 ft
1:09.0,,,62-51,,Technical foul by Team
1:09.0,I. Thomas makes technical free throw,1,63-51,,
0:59.0,A. Horford makes 2-pt shot from 7 ft,2,65-51,,
0:49.0,,,65-54,3,K. Walker makes 3-pt shot from 25 ft
0:34.0,A. Horford makes 3-pt shot from 24 ft (assist by M. Smart),3,68-54,,
0:24.0,,,68-54,,M. Williams misses 3-pt shot from 25 ft
0:23.0,Defensive rebound by K. Olynyk,,68-54,,
0:04.0,I. Thomas makes 3-pt shot from 24 ft,3,71-54,,
0:00.0,,,71-54,,K. Walker misses 3-pt shot from 27 ft
0:00.0,,,71-54,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,I. Thomas misses 3-pt shot from 24 ft,,71-54,,
11:42.0,,,71-54,,Defensive rebound by M. Williams
11:35.0,,,71-54,,K. Walker misses 3-pt shot from 24 ft
11:34.0,Defensive rebound by I. Thomas,,71-54,,
11:31.0,Turnover by I. Thomas (bad pass),,71-54,,
11:18.0,,,71-54,,K. Walker misses 3-pt shot from 24 ft
11:17.0,Defensive rebound by J. Crowder,,71-54,,
11:06.0,K. Olynyk makes 2-pt shot from 1 ft (assist by A. Horford),2,73-54,,
10:53.0,,,73-56,2,N. Batum makes 2-pt shot from 18 ft (assist by K. Walker)
10:36.0,J. Crowder misses 3-pt shot from 25 ft,,73-56,,
10:35.0,,,73-56,,Defensive rebound by C. Zeller
10:29.0,,,73-56,,M. Kidd-Gilchrist misses 2-pt shot from 15 ft
10:28.0,Defensive rebound by J. Crowder,,73-56,,
10:19.0,K. Olynyk makes 2-pt shot at rim (assist by A. Horford),2,75-56,,
10:00.0,,,75-58,2,C. Zeller makes 2-pt shot from 20 ft
9:44.0,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford),2,77-58,,
9:27.0,,,77-58,,M. Williams misses 3-pt shot from 26 ft
9:26.0,Defensive rebound by K. Olynyk,,77-58,,
9:07.0,A. Bradley misses 3-pt shot from 25 ft,,77-58,,
9:06.0,,,77-58,,Defensive rebound by C. Zeller
9:01.0,,,77-58,,Turnover by M. Williams (step out of bounds)
8:49.0,Turnover by I. Thomas (bad pass; steal by C. Zeller),,77-58,,
8:36.0,,,77-60,2,N. Batum makes 2-pt shot from 18 ft
8:10.0,A. Bradley misses 2-pt shot from 20 ft,,77-60,,
8:09.0,,,77-60,,Defensive rebound by N. Batum
8:02.0,,,77-60,,N. Batum misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by K. Olynyk,,77-60,,
7:56.0,Turnover by J. Crowder (lost ball),,77-60,,
7:43.0,Personal foul by J. Crowder (drawn by N. Batum),,77-60,,
7:38.0,,,77-60,,N. Batum misses 3-pt shot from 25 ft
7:37.0,Defensive rebound by K. Olynyk,,77-60,,
7:29.0,A. Horford misses 3-pt shot from 23 ft,,77-60,,
7:27.0,,,77-60,,Defensive rebound by M. Williams
7:22.0,,,77-60,,Shooting foul by K. Olynyk (drawn by M. Williams)
7:22.0,,,77-61,1,M. Williams makes free throw 1 of 2
7:22.0,,,77-62,1,M. Williams makes free throw 2 of 2
7:12.0,Shooting foul by N. Batum (drawn by J. Crowder),,77-62,,
7:12.0,J. Crowder makes 2-pt shot from 11 ft (assist by I. Thomas),2,79-62,,
7:12.0,J. Crowder misses free throw 1 of 1,,79-62,,
7:10.0,,,79-62,,Defensive rebound by M. Williams
7:02.0,,,79-62,,Shooting foul by A. Bradley (drawn by N. Batum)
7:02.0,,,79-63,1,N. Batum makes free throw 1 of 2
7:02.0,,,79-64,1,N. Batum makes free throw 2 of 2
6:49.0,Jump ball: I. Thomas vs. C. Zeller (A. Bradley gains possession),,,,Jump ball: I. Thomas vs. C. Zeller (A. Bradley gains possession)
6:46.0,A. Bradley misses 2-pt shot from 2 ft (block by M. Williams),,79-64,,
6:44.0,Offensive rebound by A. Bradley,,79-64,,
6:35.0,A. Horford misses 3-pt shot from 24 ft,,79-64,,
6:34.0,,,79-64,,Defensive rebound by N. Batum
6:33.0,,,79-66,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
6:33.0,Boston full timeout,,79-66,,
6:15.0,A. Horford misses 2-pt shot from 5 ft,,79-66,,
6:14.0,,,79-66,,Defensive rebound by N. Batum
5:56.0,,,79-66,,N. Batum misses 2-pt shot from 17 ft
5:54.0,Defensive rebound by J. Crowder,,79-66,,
5:41.0,,,79-66,,Personal foul by C. Zeller (drawn by A. Bradley)
5:41.0,,,79-66,,F. Kaminsky enters the game for M. Williams
5:41.0,J. Jerebko enters the game for J. Crowder,,79-66,,
5:41.0,M. Smart enters the game for A. Horford,,79-66,,
5:35.0,K. Olynyk misses 2-pt shot from 18 ft,,79-66,,
5:34.0,,,79-66,,Defensive rebound by N. Batum
5:23.0,,,79-68,2,M. Kidd-Gilchrist makes 2-pt shot from 10 ft (assist by F. Kaminsky)
5:23.0,,,79-68,,Shooting foul by A. Bradley (drawn by M. Kidd-Gilchrist)
5:23.0,,,79-69,1,M. Kidd-Gilchrist makes free throw 1 of 1
5:00.0,K. Olynyk misses 2-pt shot from 8 ft (block by M. Kidd-Gilchrist),,79-69,,
4:56.0,,,79-69,,Defensive rebound by F. Kaminsky
4:52.0,,,79-69,,K. Walker misses 3-pt shot from 24 ft
4:52.0,,,79-69,,Offensive rebound by M. Kidd-Gilchrist
4:52.0,,,79-69,,Shooting foul by K. Olynyk (drawn by M. Kidd-Gilchrist)
4:52.0,,,79-69,,M. Kidd-Gilchrist misses free throw 1 of 2
4:52.0,,,79-69,,Offensive rebound by Team
4:52.0,,,79-70,1,M. Kidd-Gilchrist makes free throw 2 of 2
4:52.0,J. Brown enters the game for A. Bradley,,79-69,,
4:29.0,J. Jerebko misses 3-pt shot from 24 ft,,79-70,,
4:27.0,Offensive rebound by K. Olynyk,,79-70,,
4:20.0,J. Brown misses 2-pt shot from 10 ft,,79-70,,
4:19.0,,,79-70,,Defensive rebound by M. Kidd-Gilchrist
4:11.0,,,79-70,,C. Zeller misses 2-pt shot from 3 ft (block by M. Smart)
4:09.0,Defensive rebound by M. Smart,,79-70,,
4:04.0,K. Olynyk makes 2-pt shot from 1 ft (assist by J. Jerebko),2,81-70,,
3:53.0,Personal foul by K. Olynyk (drawn by K. Walker),,81-70,,
3:53.0,,,81-71,1,K. Walker makes free throw 1 of 2
3:53.0,,,81-72,1,K. Walker makes free throw 2 of 2
3:53.0,,,81-71,,J. Lamb enters the game for M. Kidd-Gilchrist
3:53.0,T. Zeller enters the game for K. Olynyk,,81-71,,
3:39.0,I. Thomas misses 2-pt shot from 1 ft (block by J. Lamb),,81-72,,
3:37.0,,,81-72,,Defensive rebound by J. Lamb
3:22.0,,,81-72,,K. Walker misses 2-pt shot from 11 ft
3:19.0,,,81-72,,Offensive rebound by C. Zeller
3:07.0,,,81-74,2,K. Walker makes 2-pt shot from 17 ft
2:50.0,J. Jerebko makes 3-pt shot from 25 ft (assist by I. Thomas),3,84-74,,
2:30.0,,,84-76,2,C. Zeller makes 2-pt shot at rim (assist by F. Kaminsky)
2:15.0,I. Thomas makes 2-pt shot from 1 ft,2,86-76,,
2:01.0,,,86-79,3,N. Batum makes 3-pt shot from 26 ft (assist by J. Lamb)
1:46.0,I. Thomas makes 2-pt shot from 1 ft,2,88-79,,
1:28.0,,,88-81,2,K. Walker makes 2-pt shot from 2 ft (assist by C. Zeller)
1:18.0,I. Thomas misses 3-pt shot from 25 ft,,88-81,,
1:17.0,,,88-81,,Defensive rebound by C. Zeller
1:06.0,,,88-81,,N. Batum misses 2-pt shot from 19 ft
1:05.0,Defensive rebound by J. Brown,,88-81,,
1:01.0,J. Brown makes 2-pt shot at rim (assist by I. Thomas),2,90-81,,
0:57.0,,,90-81,,Charlotte full timeout
0:57.0,A. Horford enters the game for I. Thomas,,90-81,,
0:57.0,J. Crowder enters the game for T. Zeller,,90-81,,
0:57.0,,,90-81,,M. Plumlee enters the game for C. Zeller
0:47.0,,,90-83,2,N. Batum makes 2-pt shot from 11 ft
0:37.0,J. Brown makes 2-pt shot at rim (assist by A. Horford),2,92-83,,
0:22.0,,,92-86,3,J. Lamb makes 3-pt shot from 25 ft (assist by K. Walker)
0:01.0,M. Smart misses 2-pt shot from 5 ft,,92-86,,
0:01.0,,,92-86,,Defensive rebound by F. Kaminsky
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:42.0,,,92-88,2,N. Batum makes 2-pt shot from 17 ft
11:17.0,M. Smart makes 3-pt shot from 25 ft (assist by A. Horford),3,95-88,,
11:04.0,,,95-88,,Shooting foul by J. Jerebko (drawn by J. Lamb)
11:04.0,,,95-90,2,J. Lamb makes 2-pt shot from 8 ft (assist by F. Kaminsky)
11:04.0,,,95-91,1,J. Lamb makes free throw 1 of 1
11:04.0,A. Bradley enters the game for J. Jerebko,,95-90,,
10:39.0,J. Brown misses 2-pt shot from 1 ft,,95-91,,
10:38.0,,,95-91,,Defensive rebound by F. Kaminsky
10:28.0,,,95-91,,Shooting foul by A. Bradley (drawn by N. Batum)
10:28.0,,,95-92,1,N. Batum makes free throw 1 of 2
10:28.0,,,95-92,,N. Batum misses free throw 2 of 2
10:27.0,Defensive rebound by J. Crowder,,95-92,,
10:15.0,M. Smart misses 3-pt shot from 27 ft,,95-92,,
10:15.0,,,95-92,,Defensive rebound by Team
9:50.0,,,95-94,2,F. Kaminsky makes 2-pt shot from 1 ft
9:50.0,Boston full timeout,,95-94,,
9:34.0,A. Bradley makes 2-pt shot from 18 ft (assist by M. Smart),2,97-94,,
9:17.0,,,97-97,3,N. Batum makes 3-pt shot from 26 ft (assist by F. Kaminsky)
8:55.0,,,97-97,,Personal foul by J. Lamb (drawn by J. Crowder)
8:46.0,A. Horford misses 2-pt shot from 22 ft,,97-97,,
8:45.0,,,97-97,,Defensive rebound by J. Lamb
8:27.0,,,97-99,2,J. Lamb makes 2-pt shot from 1 ft
8:08.0,M. Smart misses 2-pt shot from 14 ft,,97-99,,
8:07.0,,,97-99,,Defensive rebound by M. Plumlee
7:52.0,,,97-101,2,B. Roberts makes 2-pt shot from 19 ft (assist by F. Kaminsky)
7:30.0,,,97-101,,M. Williams enters the game for M. Plumlee
7:30.0,,,97-101,,K. Walker enters the game for B. Roberts
7:30.0,I. Thomas enters the game for J. Brown,,97-101,,
7:23.0,A. Bradley misses 3-pt shot from 23 ft,,97-101,,
7:22.0,,,97-101,,Defensive rebound by N. Batum
7:09.0,,,97-101,,N. Batum misses 2-pt shot from 18 ft
7:08.0,Defensive rebound by A. Bradley,,97-101,,
6:56.0,A. Horford misses 2-pt shot from 2 ft,,97-101,,
6:54.0,,,97-101,,Defensive rebound by J. Lamb
6:37.0,,,97-104,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
6:37.0,Boston full timeout,,97-104,,
6:37.0,K. Olynyk enters the game for J. Crowder,,97-104,,
6:37.0,,,97-104,,M. Kidd-Gilchrist enters the game for N. Batum
6:23.0,A. Bradley makes 3-pt shot from 25 ft (assist by M. Smart),3,100-104,,
5:55.0,,,100-104,,J. Lamb misses 2-pt shot from 9 ft
5:54.0,Defensive rebound by K. Olynyk,,100-104,,
5:42.0,Shooting foul by M. Williams (drawn by I. Thomas),,100-104,,
5:42.0,I. Thomas makes free throw 1 of 2,1,101-104,,
5:42.0,I. Thomas makes free throw 2 of 2,1,102-104,,
5:42.0,,,101-104,,N. Batum enters the game for J. Lamb
5:29.0,,,102-104,,K. Walker misses 2-pt shot from 1 ft
5:28.0,Defensive rebound by M. Smart,,102-104,,
5:24.0,I. Thomas misses 3-pt shot from 29 ft,,102-104,,
5:23.0,Offensive rebound by A. Bradley,,102-104,,
5:17.0,M. Smart misses 3-pt shot from 27 ft,,102-104,,
5:15.0,,,102-104,,Defensive rebound by Team
5:05.0,,,102-104,,Turnover by M. Williams (bad pass)
4:51.0,A. Horford makes 2-pt shot from 16 ft (assist by A. Bradley),2,104-104,,
4:35.0,Personal foul by K. Olynyk (drawn by M. Kidd-Gilchrist),,104-104,,
4:35.0,,,104-104,,C. Zeller enters the game for F. Kaminsky
4:35.0,J. Crowder enters the game for K. Olynyk,,104-104,,
4:23.0,,,104-104,,N. Batum misses 3-pt shot from 27 ft
4:22.0,Defensive rebound by A. Bradley,,104-104,,
4:02.0,Shooting foul by M. Kidd-Gilchrist (drawn by M. Smart),,104-104,,
4:02.0,M. Smart makes free throw 1 of 2,1,105-104,,
4:02.0,M. Smart makes free throw 2 of 2,1,106-104,,
3:59.0,,,106-104,,Charlotte full timeout
3:48.0,,,106-104,,Shooting foul by M. Smart (drawn by K. Walker)
3:48.0,,,106-105,1,K. Walker makes free throw 1 of 3
3:48.0,,,106-106,1,K. Walker makes free throw 2 of 3
3:48.0,,,106-107,1,K. Walker makes free throw 3 of 3
3:35.0,A. Bradley makes 3-pt shot from 25 ft (assist by M. Smart),3,109-107,,
3:13.0,,,109-107,,M. Kidd-Gilchrist misses 2-pt shot from 15 ft
3:12.0,Defensive rebound by J. Crowder,,109-107,,
2:55.0,A. Bradley misses 2-pt shot from 2 ft (block by M. Williams),,109-107,,
2:53.0,,,109-107,,Defensive rebound by M. Kidd-Gilchrist
2:49.0,,,109-109,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft
2:31.0,I. Thomas misses 2-pt shot from 12 ft,,109-109,,
2:30.0,,,109-109,,Defensive rebound by M. Williams
2:21.0,,,109-109,,K. Walker misses 2-pt shot from 11 ft
2:20.0,Defensive rebound by J. Crowder,,109-109,,
2:13.0,I. Thomas makes 2-pt shot at rim,2,111-109,,
1:52.0,,,111-109,,M. Kidd-Gilchrist misses 2-pt shot from 3 ft (block by M. Smart)
1:52.0,Defensive rebound by M. Smart,,111-109,,
1:52.0,,,111-109,,Personal foul by M. Kidd-Gilchrist (drawn by M. Smart)
