time,Cleveland,pts.away,score,pts.home,Utah
11:37.0,,,29-29,,J. Ingles misses 3-pt shot from 25 ft
11:37.0,,,29-29,,Offensive rebound by J. Johnson
11:37.0,,,29-29,,Shooting foul by R. Jefferson (drawn by J. Johnson)
11:37.0,,,29-29,,J. Johnson misses free throw 1 of 2
11:37.0,,,29-29,,Offensive rebound by Team
11:37.0,,,29-30,1,J. Johnson makes free throw 2 of 2
11:23.0,K. Korver misses 2-pt shot from 22 ft,,29-30,,
11:23.0,Offensive rebound by R. Jefferson,,29-30,,
11:09.0,K. Felder makes 2-pt shot from 1 ft,2,31-30,,
10:51.0,,,31-30,,S. Mack misses 3-pt shot from 25 ft
10:50.0,Defensive rebound by T. Thompson,,31-30,,
10:43.0,K. Felder makes 2-pt shot from 1 ft,2,33-30,,
10:21.0,,,33-30,,T. Lyles misses 3-pt shot from 25 ft
10:21.0,Defensive rebound by K. Korver,,33-30,,
10:10.0,R. Jefferson misses 2-pt shot from 23 ft,,33-30,,
10:09.0,Offensive rebound by T. Thompson,,33-30,,
10:06.0,T. Thompson misses 2-pt shot from 2 ft (block by D. Favors),,33-30,,
10:05.0,,,33-30,,Defensive rebound by S. Mack
9:58.0,,,33-30,,T. Lyles misses 3-pt shot from 25 ft
9:57.0,Defensive rebound by Team,,33-30,,
9:57.0,,,33-30,,R. Hood enters the game for J. Ingles
9:41.0,R. Jefferson misses 3-pt shot from 25 ft,,33-30,,
9:40.0,,,33-30,,Defensive rebound by T. Lyles
9:25.0,,,33-30,,T. Lyles misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by K. Korver,,33-30,,
9:14.0,Turnover by R. Jefferson (bad pass; steal by D. Favors),,33-30,,
9:08.0,,,33-30,,R. Hood misses 2-pt shot from 5 ft
9:07.0,,,33-30,,Offensive rebound by T. Lyles
9:05.0,,,33-32,2,T. Lyles makes 2-pt shot from 2 ft
8:50.0,K. Felder misses 2-pt shot from 6 ft,,33-32,,
8:50.0,Offensive rebound by Team,,33-32,,
8:50.0,,,33-32,,Personal foul by S. Mack (drawn by T. Thompson)
8:50.0,Official timeout,,33-32,,
8:50.0,K. Irving enters the game for K. Felder,,33-32,,
8:50.0,,,33-32,,G. Hill enters the game for S. Mack
8:50.0,,,33-32,,B. Diaw enters the game for T. Lyles
8:35.0,Turnover by K. Irving (lost ball),,33-32,,
8:19.0,,,33-32,,Turnover by J. Johnson (traveling)
8:03.0,T. Thompson misses 2-pt shot from 9 ft,,33-32,,
8:02.0,,,33-32,,Defensive rebound by D. Favors
7:49.0,,,33-32,,Turnover by B. Diaw (bad pass)
7:35.0,K. Irving misses 3-pt shot from 27 ft,,33-32,,
7:35.0,,,33-32,,Defensive rebound by D. Favors
7:20.0,,,33-32,,B. Diaw misses 2-pt shot from 19 ft
7:19.0,Defensive rebound by K. Korver,,33-32,,
7:11.0,C. Frye misses 2-pt shot from 5 ft,,33-32,,
7:11.0,Offensive rebound by Team,,33-32,,
7:11.0,,,33-32,,Loose ball foul by J. Johnson (drawn by T. Thompson)
7:11.0,L. James enters the game for R. Jefferson,,33-32,,
7:11.0,,,33-32,,R. Gobert enters the game for D. Favors
7:11.0,,,33-32,,G. Hayward enters the game for J. Johnson
6:59.0,K. Korver misses 3-pt shot from 24 ft,,33-32,,
6:58.0,,,33-32,,Defensive rebound by G. Hayward
6:50.0,,,33-34,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
6:50.0,,,33-34,,Shooting foul by C. Frye (drawn by R. Gobert)
6:50.0,,,33-35,1,R. Gobert makes free throw 1 of 1
6:35.0,C. Frye misses 3-pt shot from 25 ft,,33-35,,
6:34.0,,,33-35,,Defensive rebound by G. Hill
6:22.0,,,33-35,,Offensive foul by B. Diaw
6:22.0,,,33-35,,Turnover by B. Diaw (offensive foul)
6:22.0,,,33-35,,J. Ingles enters the game for B. Diaw
6:22.0,K. Love enters the game for C. Frye,,33-35,,
6:11.0,K. Love misses 2-pt shot from 7 ft,,33-35,,
6:10.0,,,33-35,,Defensive rebound by R. Hood
6:03.0,,,33-35,,J. Ingles misses 3-pt shot from 24 ft
6:03.0,,,33-35,,Offensive rebound by R. Gobert
6:02.0,Personal foul by K. Love (drawn by R. Gobert),,33-35,,
6:02.0,,,33-35,,Utah full timeout
6:02.0,I. Shumpert enters the game for K. Korver,,33-35,,
5:43.0,,,33-35,,R. Hood misses 3-pt shot from 24 ft
5:42.0,,,33-35,,Offensive rebound by R. Gobert
5:41.0,,,33-37,2,R. Gobert makes 2-pt shot at rim
5:25.0,,,33-37,,Personal foul by G. Hayward (drawn by K. Love)
5:13.0,L. James makes 2-pt shot from 8 ft,2,35-37,,
5:11.0,Technical foul by Team,,35-37,,
5:11.0,,,35-38,1,G. Hayward makes technical free throw
5:04.0,,,35-38,,Offensive foul by R. Gobert
5:04.0,,,35-38,,Turnover by R. Gobert (offensive foul)
4:53.0,Turnover by L. James (lost ball; steal by J. Ingles),,35-38,,
4:44.0,,,35-38,,Turnover by R. Hood (bad pass; steal by L. James)
4:40.0,K. Irving misses 2-pt shot from 4 ft (block by G. Hayward),,35-38,,
4:38.0,Offensive rebound by K. Irving,,35-38,,
4:36.0,Turnover by K. Love (bad pass),,35-38,,
4:27.0,,,35-38,,G. Hill misses 2-pt shot from 2 ft
4:26.0,,,35-38,,Offensive rebound by G. Hill
4:23.0,,,35-41,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hill)
4:04.0,I. Shumpert misses 3-pt shot from 23 ft,,35-41,,
4:03.0,,,35-41,,Defensive rebound by Team
3:48.0,,,35-41,,R. Hood misses 3-pt shot from 25 ft
3:48.0,Defensive rebound by K. Love,,35-41,,
3:41.0,Turnover by L. James (bad pass; steal by R. Gobert),,35-41,,
3:40.0,,,35-41,,Turnover by R. Gobert (bad pass)
3:40.0,C. Frye enters the game for T. Thompson,,35-41,,
3:34.0,Turnover by L. James (lost ball),,35-41,,
3:26.0,,,35-44,3,J. Ingles makes 3-pt shot from 24 ft (assist by G. Hill)
3:25.0,Cleveland full timeout,,35-44,,
3:12.0,K. Love makes 2-pt shot at rim,2,37-44,,
2:43.0,,,37-46,2,R. Gobert makes 2-pt shot from 5 ft
2:40.0,,,37-46,,Technical foul by Team
2:40.0,K. Irving makes technical free throw,1,38-46,,
2:24.0,,,38-46,,Personal foul by R. Gobert (drawn by K. Irving)
2:24.0,,,38-46,,D. Favors enters the game for R. Gobert
2:10.0,I. Shumpert misses 2-pt shot from 4 ft,,38-46,,
2:10.0,Offensive rebound by C. Frye,,38-46,,
2:10.0,C. Frye makes 2-pt shot from 2 ft,2,40-46,,
2:10.0,Shooting foul by D. Favors (drawn by C. Frye),,40-46,,
2:10.0,C. Frye makes free throw 1 of 1,1,41-46,,
2:01.0,,,41-48,2,G. Hayward makes 2-pt shot at rim (assist by J. Ingles)
1:34.0,C. Frye misses 2-pt shot from 11 ft,,41-48,,
1:33.0,,,41-48,,Defensive rebound by D. Favors
1:15.0,,,41-51,3,G. Hill makes 3-pt shot from 26 ft
1:04.0,I. Shumpert misses 2-pt shot from 21 ft,,41-51,,
1:04.0,,,41-51,,Defensive rebound by G. Hayward
0:49.0,,,41-54,3,R. Hood makes 3-pt shot from 24 ft (assist by J. Ingles)
0:33.0,K. Love misses 3-pt shot from 25 ft,,41-54,,
0:32.0,,,41-54,,Defensive rebound by Team
0:32.0,D. Liggins enters the game for I. Shumpert,,41-54,,
0:19.0,Shooting block foul by D. Liggins (drawn by D. Favors),,41-54,,
0:19.0,,,41-55,1,D. Favors makes free throw 1 of 2
0:19.0,,,41-56,1,D. Favors makes free throw 2 of 2
0:19.0,K. Korver enters the game for D. Liggins,,41-55,,
0:01.0,L. James misses 2-pt shot from 8 ft,,41-56,,
0:00.0,,,41-56,,Defensive rebound by D. Favors
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,43-56,,
11:46.0,Shooting foul by R. Hood (drawn by T. Thompson),,43-56,,
11:46.0,T. Thompson misses free throw 1 of 1,,43-56,,
11:44.0,,,43-56,,Defensive rebound by Team
11:26.0,Personal foul by T. Thompson (drawn by G. Hayward),,43-56,,
11:13.0,,,43-58,2,R. Gobert makes 2-pt shot at rim (assist by G. Hill)
11:01.0,L. James makes 3-pt shot from 25 ft,3,46-58,,
10:45.0,,,46-58,,D. Favors misses 2-pt shot from 18 ft
10:45.0,Defensive rebound by T. Thompson,,46-58,,
10:35.0,L. James misses 2-pt shot from 12 ft,,46-58,,
10:34.0,,,46-58,,Defensive rebound by R. Hood
10:25.0,,,46-58,,Turnover by R. Hood (bad pass)
10:16.0,K. Irving misses 2-pt shot from 15 ft (block by R. Gobert),,46-58,,
10:14.0,Offensive rebound by T. Thompson,,46-58,,
10:11.0,K. Irving misses 2-pt shot from 13 ft,,46-58,,
10:10.0,Offensive rebound by K. Irving,,46-58,,
10:02.0,K. Irving makes 2-pt shot from 17 ft,2,48-58,,
9:46.0,Personal foul by K. Irving (drawn by G. Hill),,48-58,,
9:34.0,,,48-58,,G. Hill misses 2-pt shot from 14 ft
9:34.0,Defensive rebound by T. Thompson,,48-58,,
9:28.0,T. Thompson makes 2-pt shot at rim (assist by L. James),2,50-58,,
9:08.0,,,50-58,,R. Hood misses 3-pt shot from 26 ft
9:08.0,Defensive rebound by Team,,50-58,,
8:53.0,Turnover by K. Irving (lost ball; steal by R. Gobert),,50-58,,
8:41.0,,,50-58,,Turnover by G. Hill (bad pass; steal by D. Liggins)
8:36.0,L. James makes 2-pt shot from 2 ft (assist by D. Liggins),2,52-58,,
8:36.0,,,52-58,,Utah full timeout
8:22.0,,,52-58,,Turnover by R. Gobert (bad pass)
8:06.0,K. Love misses 3-pt shot from 25 ft,,52-58,,
8:05.0,,,52-58,,Defensive rebound by R. Gobert
7:56.0,,,52-58,,D. Favors misses 2-pt shot from 16 ft
7:56.0,Defensive rebound by Team,,52-58,,
7:42.0,L. James makes 3-pt shot from 27 ft,3,55-58,,
7:16.0,,,55-58,,D. Favors misses 2-pt shot from 1 ft
7:16.0,Defensive rebound by K. Love,,55-58,,
7:11.0,L. James makes 2-pt shot at rim (assist by K. Love),2,57-58,,
7:11.0,,,57-58,,Utah full timeout
7:11.0,,,57-58,,J. Ingles enters the game for D. Favors
6:54.0,,,57-58,,Turnover by J. Ingles (bad pass; steal by L. James)
6:48.0,L. James makes 3-pt shot from 29 ft,3,60-58,,
6:27.0,Violation by T. Thompson (def goaltending),,60-58,,
6:27.0,,,60-60,2,R. Hood makes 2-pt shot from 2 ft
6:13.0,L. James misses 2-pt shot from 10 ft,,60-60,,
6:12.0,,,60-60,,Defensive rebound by J. Ingles
6:02.0,,,60-60,,R. Hood misses 3-pt shot from 23 ft
6:02.0,Defensive rebound by T. Thompson,,60-60,,
5:51.0,Turnover by K. Irving (bad pass; steal by R. Hood),,60-60,,
5:47.0,,,60-62,2,G. Hayward makes 2-pt shot at rim (assist by R. Hood)
5:46.0,Cleveland full timeout,,60-62,,
5:46.0,K. Korver enters the game for K. Irving,,60-62,,
5:29.0,K. Love misses 2-pt shot from 2 ft,,60-62,,
5:28.0,Offensive rebound by T. Thompson,,60-62,,
5:22.0,K. Love misses 2-pt shot from 16 ft,,60-62,,
5:20.0,Offensive rebound by D. Liggins,,60-62,,
5:17.0,L. James misses 3-pt shot from 30 ft,,60-62,,
5:15.0,,,60-62,,Defensive rebound by R. Hood
5:02.0,,,60-65,3,G. Hayward makes 3-pt shot from 25 ft
4:46.0,Turnover by K. Love (offensive foul),,60-65,,
4:46.0,Offensive foul by K. Love,,60-65,,
4:46.0,,,60-65,,T. Lyles enters the game for R. Hood
4:46.0,R. Jefferson enters the game for K. Love,,60-65,,
4:31.0,,,60-68,3,G. Hayward makes 3-pt shot from 24 ft
4:14.0,Shooting foul by G. Hill (drawn by T. Thompson),,60-68,,
4:14.0,T. Thompson misses free throw 1 of 2,,60-68,,
4:14.0,Offensive rebound by Team,,60-68,,
4:14.0,T. Thompson misses free throw 2 of 2,,60-68,,
4:14.0,,,60-68,,Defensive rebound by G. Hayward
3:52.0,,,60-70,2,G. Hill makes 2-pt shot from 21 ft
3:29.0,K. Korver misses 3-pt shot from 25 ft,,60-70,,
3:29.0,,,60-70,,Defensive rebound by G. Hayward
3:14.0,,,60-72,2,R. Gobert makes 2-pt shot at rim (assist by J. Ingles)
2:47.0,L. James misses 3-pt shot from 26 ft,,60-72,,
2:46.0,,,60-72,,Defensive rebound by R. Gobert
2:32.0,,,60-72,,Turnover by J. Ingles (bad pass)
2:32.0,,,60-72,,S. Mack enters the game for G. Hill
2:32.0,K. Irving enters the game for D. Liggins,,60-72,,
2:23.0,Turnover by K. Korver (bad pass; steal by R. Gobert),,60-72,,
2:14.0,,,60-74,2,G. Hayward makes 2-pt shot from 6 ft
2:03.0,K. Irving makes 2-pt shot from 1 ft,2,62-74,,
1:37.0,,,62-74,,T. Lyles misses 3-pt shot from 25 ft
1:37.0,Defensive rebound by K. Irving,,62-74,,
1:29.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,64-74,,
1:05.0,,,64-74,,Turnover by G. Hayward (traveling)
1:05.0,,,64-74,,D. Favors enters the game for R. Gobert
1:05.0,C. Frye enters the game for T. Thompson,,64-74,,
0:55.0,Shooting foul by D. Favors (drawn by K. Irving),,64-74,,
0:55.0,K. Irving makes free throw 1 of 2,1,65-74,,
0:55.0,K. Irving makes free throw 2 of 2,1,66-74,,
0:55.0,I. Shumpert enters the game for L. James,,65-74,,
0:33.0,,,66-74,,D. Favors misses 2-pt shot from 2 ft (block by C. Frye)
0:32.0,Defensive rebound by C. Frye,,66-74,,
0:27.0,Turnover by R. Jefferson (traveling),,66-74,,
0:27.0,Technical foul by R. Jefferson,,66-74,,
0:27.0,,,66-75,1,G. Hayward makes technical free throw
0:02.0,,,66-75,,S. Mack misses 2-pt shot from 16 ft
0:02.0,,,66-75,,Offensive rebound by Team
0:02.0,,,66-75,,Turnover by Team (shot clock)
0:01.0,K. Irving misses 3-pt shot from 40 ft,,66-75,,
0:00.0,Offensive rebound by Team,,66-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:48.0,,,66-77,2,J. Ingles makes 2-pt shot from 2 ft (assist by D. Favors)
11:37.0,Shooting foul by D. Favors (drawn by K. Love),,66-77,,
11:37.0,K. Love makes free throw 1 of 2,1,67-77,,
11:37.0,K. Love makes free throw 2 of 2,1,68-77,,
11:23.0,,,68-77,,J. Johnson misses 3-pt shot from 24 ft
11:23.0,Defensive rebound by K. Love,,68-77,,
11:16.0,K. Irving misses 3-pt shot from 26 ft,,68-77,,
11:15.0,,,68-77,,Defensive rebound by J. Johnson
11:06.0,,,68-77,,J. Johnson misses 2-pt shot from 9 ft
11:06.0,,,68-77,,Offensive rebound by R. Hood
11:00.0,,,68-79,2,D. Favors makes 2-pt shot at rim (assist by J. Johnson)
10:43.0,K. Irving misses 3-pt shot from 24 ft,,68-79,,
10:43.0,Offensive rebound by Team,,68-79,,
10:43.0,,,68-79,,Loose ball foul by R. Hood (drawn by K. Love)
10:40.0,Shooting foul by R. Hood (drawn by K. Irving),,68-79,,
10:40.0,K. Irving makes free throw 1 of 3,1,69-79,,
10:40.0,K. Irving makes free throw 2 of 3,1,70-79,,
10:40.0,K. Irving makes free throw 3 of 3,1,71-79,,
10:23.0,,,71-81,2,R. Hood makes 2-pt shot from 16 ft
10:10.0,K. Love makes 3-pt shot from 25 ft (assist by K. Irving),3,74-81,,
9:53.0,,,74-81,,Turnover by D. Favors (traveling)
9:41.0,K. Irving misses 2-pt shot from 13 ft,,74-81,,
9:41.0,,,74-81,,Defensive rebound by J. Ingles
9:32.0,,,74-84,3,T. Lyles makes 3-pt shot from 24 ft (assist by J. Ingles)
9:31.0,Cleveland full timeout,,74-84,,
9:31.0,,,74-84,,R. Gobert enters the game for D. Favors
9:31.0,,,74-84,,G. Hill enters the game for J. Ingles
9:17.0,K. Love misses 3-pt shot from 25 ft,,74-84,,
9:16.0,,,74-84,,Defensive rebound by T. Lyles
9:06.0,,,74-84,,Shooting foul by K. Korver (drawn by T. Lyles)
9:06.0,,,74-84,,T. Lyles misses free throw 1 of 3
9:06.0,,,74-84,,Offensive rebound by Team
9:06.0,,,74-85,1,T. Lyles makes free throw 2 of 3
9:06.0,,,74-86,1,T. Lyles makes free throw 3 of 3
8:51.0,C. Frye misses 3-pt shot from 24 ft,,74-86,,
8:50.0,,,74-86,,Defensive rebound by R. Gobert
8:38.0,,,74-89,3,T. Lyles makes 3-pt shot from 25 ft (assist by R. Hood)
8:25.0,Shooting foul by T. Lyles (drawn by K. Irving),,74-89,,
8:25.0,K. Irving makes free throw 1 of 2,1,75-89,,
8:25.0,K. Irving makes free throw 2 of 2,1,76-89,,
8:25.0,,,75-89,,G. Hayward enters the game for R. Hood
8:25.0,L. James enters the game for K. Korver,,75-89,,
8:25.0,T. Thompson enters the game for C. Frye,,75-89,,
8:10.0,Personal foul by K. Love (drawn by T. Lyles),,76-89,,
8:02.0,,,76-89,,T. Lyles misses 2-pt shot from 7 ft
8:01.0,Defensive rebound by T. Thompson,,76-89,,
7:52.0,I. Shumpert misses 3-pt shot from 25 ft,,76-89,,
7:52.0,Offensive rebound by T. Thompson,,76-89,,
7:38.0,K. Irving misses 2-pt shot from 2 ft (block by T. Lyles),,76-89,,
7:37.0,Offensive rebound by T. Thompson,,76-89,,
7:36.0,Turnover by Team (shot clock),,76-89,,
7:04.0,,,76-92,3,G. Hayward makes 3-pt shot from 24 ft (assist by T. Lyles)
6:40.0,L. James makes 2-pt shot from 8 ft,2,78-92,,
6:24.0,,,78-92,,J. Johnson misses 3-pt shot from 23 ft
6:24.0,Defensive rebound by L. James,,78-92,,
6:09.0,T. Thompson misses 2-pt shot from 2 ft,,78-92,,
6:08.0,,,78-92,,Defensive rebound by G. Hayward
5:50.0,,,78-92,,G. Hayward misses 2-pt shot from 2 ft
5:49.0,Defensive rebound by K. Love,,78-92,,
5:38.0,K. Irving makes 3-pt shot from 25 ft,3,81-92,,
5:38.0,,,81-92,,Utah full timeout
5:38.0,,,81-92,,J. Ingles enters the game for T. Lyles
5:38.0,,,81-92,,R. Hood enters the game for J. Johnson
5:25.0,,,81-95,3,R. Hood makes 3-pt shot from 24 ft (assist by G. Hill)
5:03.0,L. James makes 2-pt shot from 14 ft,2,83-95,,
4:43.0,Shooting block foul by K. Love (drawn by G. Hayward),,83-95,,
4:43.0,,,83-96,1,G. Hayward makes free throw 1 of 2
4:43.0,,,83-96,,G. Hayward misses free throw 2 of 2
4:43.0,Defensive rebound by K. Love,,83-96,,
4:32.0,L. James misses 3-pt shot from 25 ft,,83-96,,
4:31.0,Offensive rebound by L. James,,83-96,,
4:28.0,L. James misses 2-pt shot from 3 ft,,83-96,,
4:28.0,Offensive rebound by Team,,83-96,,
4:28.0,,,83-96,,Loose ball foul by G. Hill (drawn by T. Thompson)
4:28.0,T. Thompson makes free throw 1 of 2,1,84-96,,
4:28.0,T. Thompson makes free throw 2 of 2,1,85-96,,
4:05.0,,,85-96,,G. Hill misses 2-pt shot from 6 ft
4:05.0,Defensive rebound by T. Thompson,,85-96,,
3:54.0,K. Love makes 3-pt shot from 25 ft (assist by L. James),3,88-96,,
3:31.0,,,88-96,,G. Hill misses 3-pt shot from 24 ft
3:31.0,Defensive rebound by L. James,,88-96,,
3:15.0,K. Irving misses 3-pt shot from 25 ft,,88-96,,
3:14.0,,,88-96,,Defensive rebound by R. Gobert
3:04.0,Personal foul by I. Shumpert (drawn by G. Hill),,88-96,,
2:49.0,,,88-96,,Turnover by Team (shot clock)
2:49.0,Cleveland full timeout,,88-96,,
