time,Portland,pts.away,score,pts.home,Orlando
6:35.0,,,6-9,2,N. Vucevic makes 2-pt shot from 5 ft (assist by E. Payton)
6:29.0,Turnover by M. Harkless (bad pass),,6-9,,
6:17.0,,,6-9,,Shooting foul by J. Nurkic (drawn by N. Vucevic)
6:17.0,,,6-10,1,N. Vucevic makes free throw 1 of 2
6:17.0,,,6-11,1,N. Vucevic makes free throw 2 of 2
6:00.0,C. McCollum makes 2-pt shot from 14 ft,2,8-11,,
5:45.0,,,8-11,,Turnover by E. Payton (bad pass)
5:45.0,,,8-11,,Orlando full timeout
5:45.0,A. Crabbe enters the game for C. McCollum,,8-11,,
5:25.0,A. Crabbe makes 2-pt shot from 3 ft (assist by J. Nurkic),2,10-11,,
5:05.0,,,10-13,2,A. Gordon makes 2-pt shot from 1 ft
4:55.0,D. Lillard makes 2-pt shot from 5 ft,2,12-13,,
4:44.0,,,12-13,,T. Ross misses 2-pt shot from 8 ft (block by J. Nurkic)
4:41.0,Defensive rebound by D. Lillard,,12-13,,
4:39.0,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard),2,14-13,,
4:19.0,,,14-13,,E. Fournier misses 2-pt shot from 16 ft
4:18.0,,,14-13,,Offensive rebound by Team
4:18.0,M. Leonard enters the game for J. Nurkic,,14-13,,
4:18.0,E. Davis enters the game for N. Vonleh,,14-13,,
4:18.0,,,14-13,,M. Hezonja enters the game for T. Ross
4:02.0,,,14-13,,A. Gordon misses 3-pt shot from 26 ft
3:59.0,,,14-13,,Offensive rebound by E. Payton
3:55.0,Def 3 sec tech foul by A. Crabbe,,14-13,,
3:55.0,,,14-14,1,E. Fournier makes technical free throw
3:55.0,,,14-14,,J. Green enters the game for A. Gordon
3:55.0,,,14-14,,D. Augustin enters the game for E. Payton
3:46.0,,,14-16,2,N. Vucevic makes 2-pt shot from 7 ft
3:30.0,D. Lillard makes 2-pt shot from 17 ft,2,16-16,,
3:14.0,,,16-16,,N. Vucevic misses 2-pt shot from 16 ft
3:13.0,Defensive rebound by E. Davis,,16-16,,
3:00.0,D. Lillard makes 2-pt shot from 6 ft,2,18-16,,
3:00.0,Shooting foul by D. Augustin (drawn by D. Lillard),,18-16,,
3:00.0,D. Lillard makes free throw 1 of 1,1,19-16,,
3:00.0,,,18-16,,B. Biyombo enters the game for N. Vucevic
3:00.0,J. Layman enters the game for M. Harkless,,18-16,,
2:49.0,,,19-16,,E. Fournier misses 2-pt shot from 8 ft
2:47.0,,,19-16,,Offensive rebound by E. Fournier
2:46.0,,,19-18,2,E. Fournier makes 2-pt shot from 1 ft
2:43.0,Portland full timeout,,19-18,,
2:43.0,C. McCollum enters the game for D. Lillard,,19-18,,
2:27.0,C. McCollum misses 2-pt shot from 20 ft,,19-18,,
2:25.0,,,19-18,,Defensive rebound by E. Fournier
2:04.0,,,19-20,2,M. Hezonja makes 2-pt shot from 12 ft
1:52.0,E. Davis makes 2-pt shot from 2 ft (assist by C. McCollum),2,21-20,,
1:38.0,,,21-22,2,E. Fournier makes 2-pt shot from 5 ft (assist by J. Green)
1:15.0,Shooting foul by B. Biyombo (drawn by E. Davis),,21-22,,
1:15.0,E. Davis misses free throw 1 of 2,,21-22,,
1:15.0,Offensive rebound by Team,,21-22,,
1:15.0,E. Davis misses free throw 2 of 2,,21-22,,
1:13.0,,,21-22,,Defensive rebound by B. Biyombo
1:00.0,,,21-22,,Shooting foul by C. McCollum (drawn by D. Augustin)
1:00.0,,,21-23,1,D. Augustin makes free throw 1 of 2
1:00.0,,,21-24,1,D. Augustin makes free throw 2 of 2
0:48.0,Turnover by A. Crabbe (step out of bounds),,21-24,,
0:39.0,,,21-24,,D. Augustin misses 2-pt shot from 23 ft
0:37.0,Defensive rebound by C. McCollum,,21-24,,
0:29.0,C. McCollum makes 2-pt shot from 1 ft,2,23-24,,
0:10.0,,,23-24,,Shooting foul by E. Davis (drawn by E. Fournier)
0:10.0,,,23-24,,E. Fournier misses free throw 1 of 2
0:10.0,,,23-24,,Offensive rebound by Team
0:10.0,,,23-25,1,E. Fournier makes free throw 2 of 2
0:01.0,M. Leonard misses 3-pt shot from 28 ft,,23-25,,
0:00.0,Offensive rebound by Team,,23-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:35.0,C. McCollum misses 2-pt shot from 20 ft,,23-25,,
11:34.0,Offensive rebound by M. Leonard,,23-25,,
11:33.0,Offensive charge foul by J. Layman,,23-25,,
11:33.0,Turnover by J. Layman (offensive foul),,23-25,,
11:22.0,,,23-28,3,M. Hezonja makes 3-pt shot from 26 ft (assist by D. Augustin)
11:05.0,J. Layman makes 3-pt shot from 25 ft (assist by C. McCollum),3,26-28,,
10:52.0,Personal foul by M. Leonard (drawn by M. Hezonja),,26-28,,
10:41.0,,,26-28,,D. Augustin misses 2-pt shot from 19 ft
10:40.0,Defensive rebound by E. Davis,,26-28,,
10:33.0,Offensive foul by E. Davis,,26-28,,
10:33.0,Turnover by E. Davis (offensive foul),,26-28,,
10:22.0,,,26-28,,Shooting foul by A. Crabbe (drawn by T. Ross)
10:22.0,,,26-29,1,T. Ross makes free throw 1 of 3
10:22.0,,,26-30,1,T. Ross makes free throw 2 of 3
10:22.0,,,26-31,1,T. Ross makes free throw 3 of 3
10:08.0,Turnover by C. McCollum (traveling),,26-31,,
9:55.0,,,26-31,,T. Ross misses 2-pt shot from 20 ft
9:54.0,Defensive rebound by M. Leonard,,26-31,,
9:44.0,C. McCollum misses 2-pt shot from 11 ft,,26-31,,
9:43.0,,,26-31,,Defensive rebound by J. Green
9:37.0,,,26-33,2,J. Green makes 2-pt shot from 1 ft
9:36.0,Portland full timeout,,26-33,,
9:36.0,J. Nurkic enters the game for M. Leonard,,26-33,,
9:36.0,M. Harkless enters the game for E. Davis,,26-33,,
9:23.0,Turnover by A. Crabbe (bad pass; steal by T. Ross),,26-33,,
9:19.0,,,26-33,,Shooting foul by J. Layman (drawn by J. Green)
9:19.0,,,26-33,,J. Green misses free throw 1 of 2
9:19.0,,,26-33,,Offensive rebound by Team
9:19.0,,,26-34,1,J. Green makes free throw 2 of 2
9:19.0,D. Lillard enters the game for J. Layman,,26-33,,
9:05.0,D. Lillard misses 2-pt shot from 14 ft,,26-34,,
9:04.0,,,26-34,,Defensive rebound by B. Biyombo
8:41.0,,,26-34,,J. Green misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by A. Crabbe,,26-34,,
8:33.0,Offensive charge foul by D. Lillard,,26-34,,
8:33.0,Turnover by D. Lillard (offensive foul),,26-34,,
8:22.0,,,26-37,3,T. Ross makes 3-pt shot from 25 ft (assist by M. Hezonja)
8:01.0,Turnover by J. Nurkic (lost ball; steal by M. Hezonja),,26-37,,
7:57.0,,,26-37,,Turnover by D. Augustin (bad pass; steal by C. McCollum)
7:54.0,Turnover by C. McCollum (step out of bounds),,26-37,,
7:49.0,,,26-37,,T. Ross misses 2-pt shot from 3 ft
7:48.0,,,26-37,,Offensive rebound by B. Biyombo
7:44.0,,,26-37,,T. Ross misses 3-pt shot from 25 ft
7:41.0,,,26-37,,Offensive rebound by B. Biyombo
7:33.0,,,26-37,,Turnover by B. Biyombo (offensive foul)
7:33.0,,,26-37,,Offensive foul by B. Biyombo
7:23.0,,,26-37,,Personal foul by T. Ross (drawn by C. McCollum)
7:23.0,C. McCollum makes free throw 1 of 2,1,27-37,,
7:23.0,C. McCollum makes free throw 2 of 2,1,28-37,,
7:23.0,,,27-37,,E. Fournier enters the game for B. Biyombo
7:23.0,,,27-37,,N. Vucevic enters the game for M. Hezonja
7:04.0,,,28-37,,E. Fournier misses 3-pt shot from 25 ft
7:03.0,Defensive rebound by J. Nurkic,,28-37,,
6:55.0,D. Lillard misses 2-pt shot from 5 ft,,28-37,,
6:51.0,Offensive rebound by J. Nurkic,,28-37,,
6:51.0,J. Nurkic makes 2-pt shot from 3 ft,2,30-37,,
6:37.0,Personal foul by D. Lillard (drawn by N. Vucevic),,30-37,,
6:37.0,S. Napier enters the game for D. Lillard,,30-37,,
6:23.0,,,30-37,,N. Vucevic misses 2-pt shot from 17 ft
6:22.0,Defensive rebound by M. Harkless,,30-37,,
6:12.0,J. Nurkic misses 2-pt shot from 18 ft,,30-37,,
6:11.0,,,30-37,,Defensive rebound by J. Green
6:05.0,,,30-39,2,E. Fournier makes 2-pt shot from 2 ft (assist by J. Green)
5:58.0,Portland full timeout,,30-39,,
5:58.0,Official timeout,,30-39,,
5:58.0,N. Vonleh enters the game for A. Crabbe,,30-39,,
5:58.0,,,30-39,,A. Gordon enters the game for J. Green
5:43.0,J. Nurkic makes 2-pt shot from 6 ft,2,32-39,,
5:29.0,,,32-39,,E. Fournier misses 2-pt shot from 7 ft (block by M. Harkless)
5:28.0,Defensive rebound by S. Napier,,32-39,,
5:27.0,Turnover by S. Napier (bad pass; steal by D. Augustin),,32-39,,
5:20.0,,,32-41,2,A. Gordon makes 2-pt shot at rim (assist by T. Ross)
4:54.0,N. Vonleh makes 2-pt shot from 6 ft,2,34-41,,
4:44.0,,,34-41,,N. Vucevic misses 2-pt shot from 17 ft
4:42.0,Defensive rebound by N. Vonleh,,34-41,,
4:32.0,S. Napier misses 3-pt shot from 27 ft,,34-41,,
4:30.0,,,34-41,,Defensive rebound by E. Fournier
4:27.0,,,34-41,,D. Augustin misses 2-pt shot from 2 ft
4:23.0,,,34-41,,Offensive rebound by E. Fournier
4:22.0,,,34-41,,E. Fournier misses 2-pt shot from 2 ft (block by C. McCollum)
4:19.0,Defensive rebound by J. Nurkic,,34-41,,
4:13.0,C. McCollum makes 2-pt shot from 3 ft (assist by M. Harkless),2,36-41,,
4:13.0,,,36-41,,Orlando full timeout
4:13.0,,,36-41,,E. Payton enters the game for T. Ross
4:13.0,,,36-41,,M. Hezonja enters the game for D. Augustin
4:04.0,,,36-43,2,E. Fournier makes 2-pt shot from 8 ft (assist by E. Payton)
4:04.0,,,36-43,,Shooting foul by C. McCollum (drawn by E. Fournier)
4:04.0,,,36-44,1,E. Fournier makes free throw 1 of 1
3:50.0,C. McCollum makes 3-pt shot from 28 ft (assist by J. Nurkic),3,39-44,,
3:33.0,,,39-44,,N. Vucevic misses 2-pt shot from 5 ft
3:31.0,Defensive rebound by N. Vonleh,,39-44,,
3:25.0,Shooting foul by N. Vucevic (drawn by N. Vonleh),,39-44,,
3:25.0,,,39-44,,Technical foul by N. Vucevic (drawn by N. Vonleh)
3:25.0,C. McCollum makes technical free throw,1,40-44,,
3:25.0,N. Vonleh misses free throw 1 of 2,,40-44,,
3:25.0,Offensive rebound by Team,,40-44,,
3:25.0,N. Vonleh makes free throw 2 of 2,1,41-44,,
3:10.0,,,41-46,2,M. Hezonja makes 2-pt shot from 18 ft
2:48.0,Turnover by N. Vonleh (bad pass),,41-46,,
2:28.0,,,41-46,,N. Vucevic misses 2-pt shot from 11 ft
2:27.0,,,41-46,,Offensive rebound by Team
2:27.0,,,41-46,,Orlando full timeout
2:22.0,,,41-46,,E. Fournier misses 3-pt shot from 23 ft
2:21.0,Defensive rebound by S. Napier,,41-46,,
2:05.0,C. McCollum misses 3-pt shot from 26 ft,,41-46,,
2:05.0,Offensive rebound by Team,,41-46,,
2:05.0,,,41-46,,Loose ball foul by A. Gordon (drawn by N. Vonleh)
1:58.0,C. McCollum misses 2-pt shot from 12 ft,,41-46,,
1:57.0,,,41-46,,Defensive rebound by N. Vucevic
1:57.0,Personal foul by J. Nurkic (drawn by N. Vucevic),,41-46,,
1:57.0,,,41-47,1,N. Vucevic makes free throw 1 of 2
1:57.0,,,41-48,1,N. Vucevic makes free throw 2 of 2
1:57.0,A. Crabbe enters the game for N. Vonleh,,41-47,,
1:44.0,S. Napier makes 3-pt shot from 26 ft (assist by C. McCollum),3,44-48,,
1:27.0,,,44-50,2,N. Vucevic makes 2-pt shot from 15 ft (assist by M. Hezonja)
1:09.0,A. Crabbe misses 2-pt shot from 19 ft,,44-50,,
1:06.0,,,44-50,,Defensive rebound by E. Fournier
1:00.0,,,44-52,2,A. Gordon makes 2-pt shot at rim
0:44.0,J. Nurkic misses 2-pt shot from 2 ft,,44-52,,
0:43.0,,,44-52,,Defensive rebound by N. Vucevic
0:31.0,,,44-55,3,M. Hezonja makes 3-pt shot from 24 ft (assist by N. Vucevic)
0:08.0,S. Napier makes 2-pt shot from 1 ft,2,46-55,,
0:01.0,,,46-55,,A. Gordon misses 3-pt shot from 25 ft
0:00.0,,,46-55,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,D. Lillard misses 2-pt shot from 20 ft,,46-55,,
11:46.0,,,46-55,,Defensive rebound by T. Ross
11:37.0,,,46-57,2,T. Ross makes 2-pt shot from 5 ft
11:18.0,N. Vonleh makes 2-pt shot from 2 ft,2,48-57,,
10:59.0,,,48-57,,Turnover by E. Payton (bad pass; steal by J. Nurkic)
10:49.0,D. Lillard makes 3-pt shot from 27 ft (assist by C. McCollum),3,51-57,,
10:29.0,,,51-59,2,E. Fournier makes 2-pt shot from 2 ft (assist by E. Payton)
10:16.0,,,51-59,,Personal foul by E. Payton (drawn by M. Harkless)
10:13.0,D. Lillard misses 3-pt shot from 28 ft,,51-59,,
10:12.0,,,51-59,,Defensive rebound by N. Vucevic
10:04.0,,,51-61,2,E. Payton makes 2-pt shot from 2 ft
9:42.0,D. Lillard misses 2-pt shot from 11 ft,,51-61,,
9:40.0,,,51-61,,Defensive rebound by A. Gordon
9:31.0,,,51-61,,Turnover by T. Ross (bad pass; steal by J. Nurkic)
9:22.0,C. McCollum misses 2-pt shot from 4 ft,,51-61,,
9:21.0,,,51-61,,Defensive rebound by N. Vucevic
9:14.0,,,51-61,,E. Payton misses 3-pt shot from 25 ft
9:13.0,,,51-61,,Offensive rebound by A. Gordon
9:11.0,,,51-61,,Shooting foul by M. Harkless (drawn by A. Gordon)
9:11.0,,,51-61,,A. Gordon misses free throw 1 of 2
9:11.0,,,51-61,,Offensive rebound by Team
9:11.0,,,51-62,1,A. Gordon makes free throw 2 of 2
9:01.0,M. Harkless misses 2-pt shot from 3 ft,,51-62,,
8:59.0,,,51-62,,Defensive rebound by T. Ross
8:56.0,,,51-62,,Shooting foul by J. Nurkic (drawn by N. Vucevic)
8:56.0,,,51-63,1,N. Vucevic makes free throw 1 of 2
8:56.0,,,51-64,1,N. Vucevic makes free throw 2 of 2
8:40.0,M. Harkless misses 2-pt shot from 1 ft,,51-64,,
8:38.0,Offensive rebound by Team,,51-64,,
8:24.0,J. Nurkic makes 2-pt shot from 2 ft,2,53-64,,
8:10.0,,,53-66,2,E. Payton makes 2-pt shot at rim
7:53.0,N. Vonleh makes 2-pt shot from 5 ft,2,55-66,,
7:47.0,,,55-68,2,E. Payton makes 2-pt shot from 2 ft
7:44.0,Portland full timeout,,55-68,,
7:44.0,S. Napier enters the game for N. Vonleh,,55-68,,
7:31.0,C. McCollum makes 2-pt shot from 1 ft (assist by S. Napier),2,57-68,,
7:04.0,,,57-71,3,N. Vucevic makes 3-pt shot from 25 ft (assist by E. Fournier)
6:46.0,D. Lillard makes 2-pt shot from 2 ft (assist by C. McCollum),2,59-71,,
6:34.0,,,59-71,,E. Payton misses 2-pt shot from 3 ft
6:33.0,,,59-71,,Offensive rebound by Team
6:33.0,,,59-71,,Turnover by E. Payton (traveling)
6:20.0,,,59-71,,Personal foul by T. Ross (drawn by C. McCollum)
6:20.0,C. McCollum makes free throw 1 of 2,1,60-71,,
6:20.0,C. McCollum makes free throw 2 of 2,1,61-71,,
6:07.0,,,61-71,,T. Ross misses 2-pt shot from 6 ft
6:05.0,,,61-71,,Offensive rebound by T. Ross
6:03.0,,,61-71,,N. Vucevic misses 2-pt shot from 17 ft
6:01.0,Defensive rebound by J. Nurkic,,61-71,,
5:49.0,S. Napier makes 2-pt shot from 1 ft,2,63-71,,
5:38.0,,,63-71,,E. Payton misses 2-pt shot from 16 ft
5:36.0,Defensive rebound by J. Nurkic,,63-71,,
5:31.0,C. McCollum makes 2-pt shot from 2 ft (assist by S. Napier),2,65-71,,
5:31.0,,,65-71,,Orlando full timeout
5:31.0,A. Crabbe enters the game for C. McCollum,,65-71,,
5:31.0,,,65-71,,D. Augustin enters the game for E. Payton
5:08.0,,,65-71,,N. Vucevic misses 3-pt shot from 27 ft
5:07.0,Defensive rebound by D. Lillard,,65-71,,
4:59.0,Shooting foul by E. Fournier (drawn by D. Lillard),,65-71,,
4:59.0,D. Lillard makes 2-pt shot from 1 ft,2,67-71,,
4:59.0,D. Lillard misses free throw 1 of 1,,67-71,,
4:59.0,,,67-71,,M. Hezonja enters the game for T. Ross
4:57.0,,,67-71,,Defensive rebound by A. Gordon
4:42.0,,,67-71,,Turnover by E. Fournier (lost ball; steal by S. Napier)
4:39.0,Shooting foul by D. Augustin (drawn by M. Harkless),,67-71,,
4:39.0,M. Harkless makes free throw 1 of 2,1,68-71,,
4:39.0,M. Harkless misses free throw 2 of 2,,68-71,,
4:39.0,E. Davis enters the game for J. Nurkic,,68-71,,
4:37.0,,,68-71,,Defensive rebound by N. Vucevic
4:17.0,,,68-71,,N. Vucevic misses 2-pt shot from 10 ft
4:16.0,Defensive rebound by M. Harkless,,68-71,,
4:02.0,S. Napier misses 3-pt shot from 30 ft,,68-71,,
4:00.0,,,68-71,,Defensive rebound by A. Gordon
3:47.0,,,68-73,2,N. Vucevic makes 2-pt shot from 8 ft
3:27.0,E. Davis misses 2-pt shot from 7 ft,,68-73,,
3:26.0,,,68-73,,Defensive rebound by M. Hezonja
3:12.0,,,68-75,2,N. Vucevic makes 2-pt shot from 6 ft (assist by D. Augustin)
2:58.0,D. Lillard makes 2-pt shot at rim,2,70-75,,
2:43.0,,,70-77,2,D. Augustin makes 2-pt shot from 1 ft (assist by N. Vucevic)
2:27.0,M. Harkless misses 2-pt shot from 2 ft (block by N. Vucevic),,70-77,,
2:25.0,Offensive rebound by E. Davis,,70-77,,
2:25.0,Shooting foul by M. Hezonja (drawn by E. Davis),,70-77,,
2:25.0,E. Davis makes free throw 1 of 2,1,71-77,,
2:25.0,E. Davis misses free throw 2 of 2,,71-77,,
2:25.0,,,71-77,,B. Biyombo enters the game for N. Vucevic
2:25.0,,,71-77,,J. Green enters the game for A. Gordon
2:25.0,M. Leonard enters the game for M. Harkless,,71-77,,
2:24.0,,,71-77,,Defensive rebound by J. Green
2:07.0,,,71-77,,Offensive foul by B. Biyombo
2:07.0,,,71-77,,Turnover by B. Biyombo (offensive foul)
1:54.0,,,71-77,,Personal foul by E. Fournier (drawn by M. Leonard)
1:54.0,M. Leonard makes free throw 1 of 2,1,72-77,,
1:54.0,M. Leonard makes free throw 2 of 2,1,73-77,,
1:54.0,C. McCollum enters the game for D. Lillard,,72-77,,
1:41.0,,,73-79,2,E. Fournier makes 2-pt shot from 4 ft
1:19.0,M. Leonard makes 2-pt shot at rim (assist by S. Napier),2,75-79,,
1:06.0,,,75-79,,M. Hezonja misses 2-pt shot from 13 ft
1:05.0,Defensive rebound by M. Leonard,,75-79,,
0:57.0,Turnover by C. McCollum (bad pass; steal by J. Green),,75-79,,
0:55.0,,,75-79,,Shooting foul by M. Leonard (drawn by J. Green)
0:55.0,,,75-80,1,J. Green makes free throw 1 of 2
0:55.0,,,75-81,1,J. Green makes free throw 2 of 2
0:32.0,C. McCollum misses 2-pt shot from 20 ft,,75-81,,
0:32.0,Offensive rebound by E. Davis,,75-81,,
0:32.0,,,75-81,,Personal foul by J. Green (drawn by E. Davis)
0:32.0,E. Davis makes free throw 1 of 2,1,76-81,,
0:32.0,E. Davis makes free throw 2 of 2,1,77-81,,
0:32.0,M. Harkless enters the game for M. Leonard,,76-81,,
0:22.0,,,77-81,,Shooting foul by C. McCollum (drawn by E. Fournier)
0:22.0,,,77-81,,E. Fournier misses free throw 1 of 2
0:22.0,,,77-81,,Offensive rebound by Team
0:22.0,,,77-82,1,E. Fournier makes free throw 2 of 2
0:22.0,M. Leonard enters the game for M. Harkless,,77-81,,
0:07.0,Turnover by C. McCollum (bad pass; steal by E. Fournier),,77-82,,
0:02.0,,,77-85,3,D. Augustin makes 3-pt shot from 25 ft (assist by J. Green)
0:00.0,S. Napier misses 3-pt shot from 28 ft,,77-85,,
0:00.0,Offensive rebound by Team,,77-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,77-85,,T. Ross misses 2-pt shot from 15 ft
11:42.0,Defensive rebound by E. Davis,,77-85,,
11:26.0,S. Napier misses 3-pt shot from 26 ft,,77-85,,
11:25.0,,,77-85,,Defensive rebound by Team
11:05.0,,,77-85,,D. Augustin misses 2-pt shot from 18 ft
11:04.0,Defensive rebound by S. Napier,,77-85,,
10:55.0,E. Davis misses 2-pt shot at rim,,77-85,,
10:52.0,,,77-85,,Defensive rebound by T. Ross
10:46.0,,,77-85,,T. Ross misses 3-pt shot from 26 ft
10:45.0,Defensive rebound by M. Leonard,,77-85,,
10:32.0,Turnover by C. McCollum (bad pass; steal by B. Biyombo),,77-85,,
10:23.0,,,77-85,,J. Green misses 3-pt shot from 27 ft
10:20.0,,,77-85,,Offensive rebound by T. Ross
10:17.0,,,77-85,,Shooting foul by M. Leonard (drawn by B. Biyombo)
10:17.0,,,77-86,1,B. Biyombo makes free throw 1 of 2
10:17.0,,,77-87,1,B. Biyombo makes free throw 2 of 2
10:17.0,D. Lillard enters the game for A. Crabbe,,77-86,,
9:59.0,C. McCollum misses 2-pt shot from 5 ft,,77-87,,
9:58.0,,,77-87,,Defensive rebound by J. Green
9:52.0,,,77-87,,Shooting foul by E. Davis (drawn by J. Green)
9:52.0,,,77-87,,J. Green misses free throw 1 of 2
9:52.0,,,77-87,,Offensive rebound by Team
9:52.0,,,77-88,1,J. Green makes free throw 2 of 2
9:52.0,A. Crabbe enters the game for C. McCollum,,77-87,,
9:52.0,J. Nurkic enters the game for M. Leonard,,77-87,,
9:52.0,M. Harkless enters the game for E. Davis,,77-87,,
9:40.0,D. Lillard makes 3-pt shot from 29 ft (assist by S. Napier),3,80-88,,
9:24.0,,,80-88,,D. Augustin misses 2-pt shot from 13 ft
9:23.0,Defensive rebound by M. Harkless,,80-88,,
9:16.0,D. Lillard misses 3-pt shot from 30 ft,,80-88,,
9:15.0,,,80-88,,Defensive rebound by B. Biyombo
9:07.0,,,80-91,3,T. Ross makes 3-pt shot from 26 ft
8:53.0,Shooting foul by M. Hezonja (drawn by D. Lillard),,80-91,,
8:53.0,Official timeout,,80-91,,
8:53.0,D. Lillard makes free throw 1 of 2,1,81-91,,
8:53.0,D. Lillard makes free throw 2 of 2,1,82-91,,
8:41.0,Personal foul by S. Napier (drawn by B. Biyombo),,82-91,,
8:35.0,,,82-91,,T. Ross misses 3-pt shot from 26 ft
8:34.0,Defensive rebound by D. Lillard,,82-91,,
8:27.0,S. Napier makes 3-pt shot from 24 ft (assist by D. Lillard),3,85-91,,
8:08.0,,,85-91,,Turnover by D. Augustin (bad pass; steal by S. Napier)
8:07.0,Shooting foul by M. Hezonja (drawn by M. Harkless),,85-91,,
8:07.0,M. Harkless makes free throw 1 of 2,1,86-91,,
8:07.0,M. Harkless makes free throw 2 of 2,1,87-91,,
7:51.0,,,87-93,2,T. Ross makes 2-pt shot from 13 ft (assist by J. Green)
7:41.0,D. Lillard makes 2-pt shot from 2 ft,2,89-93,,
7:28.0,,,89-93,,Shooting foul by M. Harkless (drawn by J. Green)
7:28.0,,,89-94,1,J. Green makes free throw 1 of 2
7:28.0,,,89-95,1,J. Green makes free throw 2 of 2
7:28.0,,,89-94,,E. Payton enters the game for D. Augustin
7:05.0,S. Napier misses 2-pt shot from 17 ft,,89-95,,
