time,Detroit,pts.away,score,pts.home,Denver
7:41.0,,,44-33,2,G. Harris makes 2-pt shot from 5 ft
7:21.0,J. Leuer misses 2-pt shot from 9 ft,,44-33,,
7:20.0,,,44-33,,Defensive rebound by W. Chandler
7:11.0,,,44-35,2,W. Chandler makes 2-pt shot from 6 ft
6:53.0,J. Leuer misses 3-pt shot from 25 ft,,44-35,,
6:52.0,,,44-35,,Defensive rebound by W. Chandler
6:38.0,,,44-35,,G. Harris misses 2-pt shot from 2 ft
6:37.0,,,44-35,,Offensive rebound by Team
6:37.0,,,44-35,,D. Gallinari enters the game for W. Chandler
6:27.0,,,44-38,3,J. Hernangomez makes 3-pt shot from 26 ft (assist by G. Harris)
6:19.0,Detroit full timeout,,44-38,,
6:19.0,I. Smith enters the game for B. Udrih,,44-38,,
6:19.0,K. Caldwell-Pope enters the game for S. Johnson,,44-38,,
6:05.0,I. Smith misses 2-pt shot from 21 ft,,44-38,,
6:03.0,,,44-38,,Defensive rebound by G. Harris
5:57.0,,,44-40,2,G. Harris makes 2-pt shot from 3 ft
5:35.0,K. Caldwell-Pope misses 2-pt shot from 17 ft,,44-40,,
5:35.0,,,44-40,,Defensive rebound by J. Hernangomez
5:21.0,,,44-40,,D. Gallinari misses 3-pt shot from 24 ft
5:20.0,Defensive rebound by A. Drummond,,44-40,,
5:10.0,A. Drummond makes 2-pt shot from 4 ft (assist by K. Caldwell-Pope),2,46-40,,
4:58.0,,,46-40,,Offensive foul by J. Nelson
4:58.0,,,46-40,,Turnover by J. Nelson (offensive foul)
4:58.0,T. Harris enters the game for M. Morris,,46-40,,
4:58.0,,,46-40,,E. Mudiay enters the game for J. Nelson
4:43.0,A. Drummond misses 2-pt shot from 7 ft,,46-40,,
4:42.0,,,46-40,,Defensive rebound by D. Gallinari
4:32.0,,,46-40,,G. Harris misses 3-pt shot from 24 ft
4:31.0,,,46-40,,Offensive rebound by Team
4:16.0,,,46-43,3,D. Gallinari makes 3-pt shot from 25 ft (assist by E. Mudiay)
3:59.0,J. Leuer makes 2-pt shot from 12 ft (assist by I. Smith),2,48-43,,
3:42.0,,,48-43,,J. Hernangomez misses 2-pt shot from 6 ft
3:41.0,Defensive rebound by I. Smith,,48-43,,
3:35.0,T. Harris makes 2-pt shot at rim (assist by I. Smith),2,50-43,,
3:27.0,Personal foul by A. Drummond,,50-43,,
3:27.0,,,50-43,,W. Chandler enters the game for J. Hernangomez
3:19.0,,,50-45,2,E. Mudiay makes 2-pt shot from 1 ft
3:04.0,Turnover by T. Harris (lost ball; steal by E. Mudiay),,50-45,,
2:58.0,,,50-47,2,G. Harris makes 2-pt shot from 3 ft
2:52.0,Detroit full timeout,,50-47,,
2:32.0,K. Caldwell-Pope misses 3-pt shot from 27 ft,,50-47,,
2:28.0,Offensive rebound by J. Leuer,,50-47,,
2:21.0,T. Harris misses 3-pt shot from 24 ft,,50-47,,
2:20.0,Offensive rebound by J. Leuer,,50-47,,
2:14.0,K. Caldwell-Pope makes 3-pt shot from 26 ft (assist by I. Smith),3,53-47,,
1:58.0,,,53-47,,G. Harris misses 2-pt shot from 2 ft
1:57.0,,,53-47,,Offensive rebound by J. Nurkic
1:55.0,,,53-47,,J. Nurkic misses 2-pt shot from 1 ft (block by T. Harris)
1:54.0,,,53-47,,Offensive rebound by Team
1:54.0,,,53-47,,K. Faried enters the game for J. Nurkic
1:39.0,,,53-49,2,G. Harris makes 2-pt shot from 23 ft
1:29.0,Shooting foul by G. Harris (drawn by K. Caldwell-Pope),,53-49,,
1:29.0,K. Caldwell-Pope makes free throw 1 of 2,1,54-49,,
1:29.0,K. Caldwell-Pope makes free throw 2 of 2,1,55-49,,
1:15.0,,,55-49,,W. Chandler misses 2-pt shot from 20 ft
1:15.0,,,55-49,,Offensive rebound by K. Faried
1:04.0,,,55-49,,E. Mudiay misses 2-pt shot from 5 ft
1:03.0,Defensive rebound by A. Drummond,,55-49,,
0:59.0,I. Smith misses 2-pt shot from 6 ft,,55-49,,
0:57.0,Offensive rebound by A. Drummond,,55-49,,
0:56.0,A. Drummond misses 2-pt shot from 3 ft (block by K. Faried),,55-49,,
0:55.0,Offensive rebound by Team,,55-49,,
0:50.0,,,55-49,,Personal foul by K. Faried (drawn by A. Drummond)
0:50.0,A. Drummond misses free throw 1 of 2,,55-49,,
0:50.0,Offensive rebound by Team,,55-49,,
0:50.0,A. Drummond misses free throw 2 of 2,,55-49,,
0:48.0,,,55-49,,Defensive rebound by G. Harris
0:43.0,,,55-49,,Turnover by E. Mudiay (bad pass; steal by A. Drummond)
0:29.0,T. Harris makes 2-pt shot from 4 ft (assist by I. Smith),2,57-49,,
0:04.0,,,57-49,,W. Chandler misses 2-pt shot from 6 ft
0:03.0,,,57-49,,Offensive rebound by W. Chandler
0:03.0,,,57-49,,W. Chandler misses 2-pt shot from 6 ft
0:02.0,,,57-49,,Offensive rebound by W. Chandler
0:02.0,,,57-49,,K. Faried misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by J. Leuer,,57-49,,
0:00.0,K. Caldwell-Pope misses 3-pt shot from 48 ft,,57-49,,
0:00.0,Offensive rebound by Team,,57-49,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,,,57-49,,Turnover by J. Nurkic (lost ball; steal by T. Harris)
11:39.0,M. Morris misses 3-pt shot from 25 ft,,57-49,,
11:38.0,,,57-49,,Defensive rebound by Team
11:38.0,Loose ball foul by A. Drummond (drawn by J. Nurkic),,57-49,,
11:38.0,Violation by Team (jump ball),,57-49,,
11:25.0,,,57-51,2,G. Harris makes 2-pt shot from 4 ft
11:25.0,,,57-51,,Shooting foul by K. Caldwell-Pope (drawn by G. Harris)
11:25.0,,,57-52,1,G. Harris makes free throw 1 of 1
10:59.0,I. Smith misses 2-pt shot from 2 ft,,57-52,,
10:57.0,Offensive rebound by A. Drummond,,57-52,,
10:56.0,A. Drummond makes 2-pt shot from 1 ft,2,59-52,,
10:42.0,,,59-55,3,E. Mudiay makes 3-pt shot from 25 ft (assist by G. Harris)
10:20.0,T. Harris misses 2-pt shot from 3 ft (block by E. Mudiay),,59-55,,
10:18.0,Offensive rebound by A. Drummond,,59-55,,
10:14.0,A. Drummond misses 2-pt shot from 6 ft,,59-55,,
10:12.0,Offensive rebound by A. Drummond,,59-55,,
10:08.0,M. Morris makes 3-pt shot from 26 ft,3,62-55,,
9:56.0,,,62-55,,G. Harris misses 2-pt shot from 12 ft
9:55.0,Defensive rebound by Team,,62-55,,
9:48.0,Loose ball foul by I. Smith (drawn by J. Nurkic),,62-55,,
9:48.0,Turnover by I. Smith (offensive foul),,62-55,,
9:36.0,,,62-55,,Shooting foul by A. Drummond (drawn by K. Faried)
9:36.0,,,62-55,,K. Faried misses free throw 1 of 2
9:36.0,,,62-55,,Offensive rebound by Team
9:36.0,,,62-55,,K. Faried misses free throw 2 of 2
9:35.0,,,62-55,,Offensive rebound by K. Faried
9:27.0,,,62-55,,E. Mudiay misses 2-pt shot from 2 ft
9:26.0,,,62-55,,Offensive rebound by K. Faried
9:25.0,,,62-57,2,K. Faried makes 2-pt shot from 2 ft
9:06.0,K. Caldwell-Pope misses 2-pt shot from 4 ft,,62-57,,
9:05.0,,,62-57,,Defensive rebound by G. Harris
8:53.0,,,62-57,,J. Nurkic misses 2-pt shot from 20 ft
8:52.0,Defensive rebound by A. Drummond,,62-57,,
8:44.0,M. Morris makes 2-pt shot from 18 ft (assist by T. Harris),2,64-57,,
8:29.0,Personal foul by I. Smith (drawn by E. Mudiay),,64-57,,
8:29.0,,,64-58,1,E. Mudiay makes free throw 1 of 2
8:29.0,,,64-59,1,E. Mudiay makes free throw 2 of 2
8:14.0,M. Morris makes 2-pt shot from 17 ft (assist by I. Smith),2,66-59,,
8:00.0,,,66-59,,E. Mudiay misses 2-pt shot from 2 ft
7:58.0,Defensive rebound by I. Smith,,66-59,,
7:54.0,T. Harris misses 2-pt shot from 3 ft,,66-59,,
7:52.0,Offensive rebound by A. Drummond,,66-59,,
7:52.0,A. Drummond makes 2-pt shot at rim,2,68-59,,
7:30.0,Personal foul by A. Drummond (drawn by D. Gallinari),,68-59,,
7:30.0,,,68-60,1,D. Gallinari makes free throw 1 of 2
7:30.0,,,68-61,1,D. Gallinari makes free throw 2 of 2
7:30.0,A. Baynes enters the game for A. Drummond,,68-60,,
7:30.0,,,68-60,,N. Jokic enters the game for J. Nurkic
7:12.0,M. Morris makes 2-pt shot from 16 ft,2,70-61,,
6:53.0,,,70-61,,E. Mudiay misses 2-pt shot from 1 ft
6:51.0,,,70-61,,Offensive rebound by E. Mudiay
6:43.0,,,70-63,2,D. Gallinari makes 2-pt shot at rim (assist by G. Harris)
6:28.0,Turnover by I. Smith (bad pass; steal by E. Mudiay),,70-63,,
6:21.0,Personal foul by I. Smith (drawn by N. Jokic),,70-63,,
6:21.0,,,70-64,1,N. Jokic makes free throw 1 of 2
6:21.0,,,70-65,1,N. Jokic makes free throw 2 of 2
6:21.0,,,70-64,,W. Chandler enters the game for K. Faried
5:55.0,K. Caldwell-Pope misses 3-pt shot from 26 ft,,70-65,,
5:54.0,,,70-65,,Defensive rebound by W. Chandler
5:47.0,,,70-65,,Turnover by E. Mudiay (lost ball; steal by T. Harris)
5:40.0,I. Smith misses 2-pt shot from 2 ft,,70-65,,
5:40.0,,,70-65,,Defensive rebound by G. Harris
5:38.0,,,70-65,,Turnover by E. Mudiay (lost ball)
5:38.0,,,70-65,,Denver full timeout
5:38.0,J. Leuer enters the game for T. Harris,,70-65,,
5:28.0,,,70-65,,Personal foul by W. Chandler (drawn by M. Morris)
5:17.0,I. Smith misses 2-pt shot from 5 ft,,70-65,,
5:16.0,,,70-65,,Defensive rebound by N. Jokic
5:07.0,,,70-65,,Turnover by W. Chandler (bad pass)
4:45.0,M. Morris misses 2-pt shot from 22 ft,,70-65,,
4:44.0,,,70-65,,Defensive rebound by E. Mudiay
4:33.0,,,70-65,,Turnover by G. Harris (bad pass; steal by M. Morris)
4:28.0,I. Smith makes 2-pt shot from 3 ft (assist by M. Morris),2,72-65,,
4:05.0,,,72-68,3,E. Mudiay makes 3-pt shot from 26 ft (assist by G. Harris)
3:45.0,J. Leuer misses 2-pt shot from 19 ft,,72-68,,
3:42.0,Offensive rebound by J. Leuer,,72-68,,
3:39.0,J. Leuer misses 2-pt shot from 6 ft,,72-68,,
3:39.0,,,72-68,,Defensive rebound by D. Gallinari
3:29.0,,,72-68,,E. Mudiay misses 3-pt shot from 25 ft
3:28.0,Defensive rebound by K. Caldwell-Pope,,72-68,,
3:18.0,J. Leuer makes 2-pt shot from 11 ft (assist by I. Smith),2,74-68,,
3:03.0,,,74-68,,G. Harris misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by J. Leuer,,74-68,,
2:51.0,Turnover by I. Smith (lost ball; steal by N. Jokic),,74-68,,
2:50.0,Personal take foul by J. Leuer (drawn by G. Harris),,74-68,,
2:50.0,Detroit full timeout,,74-68,,
2:50.0,,,74-69,1,G. Harris makes free throw 1 of 2
2:50.0,,,74-70,1,G. Harris makes free throw 2 of 2
2:50.0,B. Udrih enters the game for M. Morris,,74-68,,
2:50.0,T. Harris enters the game for I. Smith,,74-68,,
2:50.0,,,74-68,,J. Nelson enters the game for E. Mudiay
2:48.0,,,74-70,,Personal take foul by J. Nelson (drawn by B. Udrih)
2:48.0,,,74-70,,J. Murray enters the game for G. Harris
2:33.0,T. Harris makes 2-pt shot from 5 ft (assist by B. Udrih),2,76-70,,
2:21.0,Personal block foul by J. Leuer (drawn by D. Gallinari),,76-70,,
2:21.0,,,76-71,1,D. Gallinari makes free throw 1 of 2
2:21.0,,,76-71,,D. Gallinari misses free throw 2 of 2
2:20.0,,,76-71,,Offensive rebound by Team
2:03.0,,,76-71,,D. Gallinari misses 2-pt shot from 17 ft
2:02.0,Defensive rebound by Team,,76-71,,
1:39.0,B. Udrih misses 3-pt shot from 26 ft,,76-71,,
1:37.0,,,76-71,,Defensive rebound by J. Murray
1:28.0,,,76-71,,J. Murray misses 3-pt shot from 25 ft
1:27.0,Defensive rebound by J. Leuer,,76-71,,
1:17.0,B. Udrih makes 2-pt shot from 17 ft,2,78-71,,
0:59.0,,,78-71,,N. Jokic misses 2-pt shot from 13 ft
0:58.0,Defensive rebound by T. Harris,,78-71,,
0:45.0,J. Leuer misses 2-pt shot from 18 ft,,78-71,,
0:44.0,,,78-71,,Defensive rebound by W. Chandler
0:38.0,,,78-71,,W. Chandler misses 2-pt shot from 21 ft
0:35.0,Defensive rebound by J. Leuer,,78-71,,
0:24.0,J. Leuer makes 2-pt shot from 1 ft (assist by B. Udrih),2,80-71,,
0:02.0,,,80-71,,Turnover by N. Jokic (traveling)
0:02.0,,,80-71,,J. Hernangomez enters the game for D. Gallinari
0:00.0,B. Udrih misses 3-pt shot from 60 ft,,80-71,,
0:00.0,Offensive rebound by Team,,80-71,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,T. Harris misses 2-pt shot from 15 ft,,80-71,,
11:42.0,,,80-71,,Defensive rebound by W. Chandler
11:34.0,,,80-71,,W. Chandler misses 2-pt shot from 6 ft
11:32.0,,,80-71,,Offensive rebound by N. Jokic
11:32.0,,,80-73,2,N. Jokic makes 2-pt shot from 1 ft
11:05.0,T. Harris makes 3-pt shot from 25 ft (assist by S. Johnson),3,83-73,,
10:50.0,,,83-73,,N. Jokic misses 2-pt shot from 17 ft
10:50.0,Defensive rebound by J. Leuer,,83-73,,
10:38.0,S. Johnson misses 3-pt shot from 26 ft,,83-73,,
10:37.0,,,83-73,,Defensive rebound by J. Hernangomez
10:29.0,,,83-76,3,J. Nelson makes 3-pt shot from 25 ft
10:09.0,T. Harris misses 2-pt shot from 8 ft,,83-76,,
10:08.0,,,83-76,,Defensive rebound by W. Chandler
10:02.0,,,83-76,,J. Nelson misses 3-pt shot from 25 ft
10:01.0,Defensive rebound by Team,,83-76,,
10:01.0,,,83-76,,Loose ball foul by J. Hernangomez
9:47.0,J. Leuer makes 2-pt shot from 2 ft (assist by B. Udrih),2,85-76,,
9:21.0,,,85-78,2,J. Nelson makes 2-pt shot from 19 ft
9:01.0,Turnover by T. Harris (bad pass; steal by J. Murray),,85-78,,
8:48.0,,,85-78,,N. Jokic misses 2-pt shot from 3 ft
8:48.0,,,85-78,,Offensive rebound by J. Hernangomez
8:48.0,,,85-80,2,J. Hernangomez makes 2-pt shot from 1 ft
8:48.0,Detroit full timeout,,85-80,,
8:48.0,M. Morris enters the game for J. Leuer,,85-80,,
8:48.0,,,85-80,,K. Faried enters the game for N. Jokic
8:26.0,M. Morris makes 2-pt shot from 16 ft,2,87-80,,
8:08.0,,,87-80,,J. Hernangomez misses 3-pt shot from 24 ft
8:07.0,Defensive rebound by S. Johnson,,87-80,,
7:53.0,S. Johnson makes 2-pt shot from 16 ft (assist by A. Baynes),2,89-80,,
7:53.0,,,89-80,,Denver full timeout
7:41.0,,,89-82,2,K. Faried makes 2-pt shot from 2 ft (assist by W. Chandler)
7:16.0,M. Morris misses 3-pt shot from 25 ft,,89-82,,
7:15.0,,,89-82,,Defensive rebound by K. Faried
7:04.0,,,89-82,,J. Murray misses 2-pt shot from 5 ft
7:04.0,,,89-82,,Offensive rebound by K. Faried
7:03.0,,,89-82,,K. Faried misses 2-pt shot from 4 ft
7:02.0,Defensive rebound by Team,,89-82,,
7:02.0,,,89-82,,D. Gallinari enters the game for W. Chandler
6:48.0,A. Baynes misses 2-pt shot from 5 ft,,89-82,,
6:47.0,Offensive rebound by S. Johnson,,89-82,,
6:47.0,S. Johnson misses 2-pt shot from 1 ft,,89-82,,
6:46.0,,,89-82,,Defensive rebound by J. Hernangomez
6:27.0,,,89-84,2,J. Nelson makes 2-pt shot from 2 ft (assist by K. Faried)
5:58.0,M. Morris makes 2-pt shot from 21 ft,2,91-84,,
5:43.0,,,91-84,,J. Nelson misses 2-pt shot from 21 ft
5:42.0,Defensive rebound by S. Johnson,,91-84,,
5:28.0,M. Morris makes 2-pt shot from 18 ft,2,93-84,,
5:10.0,,,93-86,2,J. Murray makes 2-pt shot from 8 ft (assist by J. Nelson)
4:56.0,,,93-86,,Personal foul by J. Nelson (drawn by M. Morris)
4:56.0,I. Smith enters the game for A. Baynes,,93-86,,
4:56.0,K. Caldwell-Pope enters the game for B. Udrih,,93-86,,
4:56.0,A. Drummond enters the game for S. Johnson,,93-86,,
4:56.0,,,93-86,,G. Harris enters the game for J. Murray
4:56.0,,,93-86,,E. Mudiay enters the game for J. Nelson
4:40.0,I. Smith misses 2-pt shot from 3 ft (block by E. Mudiay),,93-86,,
4:38.0,,,93-86,,Defensive rebound by E. Mudiay
4:25.0,,,93-89,3,D. Gallinari makes 3-pt shot from 22 ft (assist by J. Hernangomez)
4:04.0,T. Harris makes 2-pt shot from 4 ft,2,95-89,,
3:45.0,,,95-91,2,K. Faried makes 2-pt shot from 6 ft (assist by E. Mudiay)
3:24.0,A. Drummond makes 2-pt shot at rim (assist by K. Caldwell-Pope),2,97-91,,
3:02.0,,,97-93,2,D. Gallinari makes 2-pt shot from 19 ft
2:39.0,A. Drummond makes 2-pt shot from 11 ft,2,99-93,,
2:27.0,,,99-93,,Shooting foul by I. Smith (drawn by E. Mudiay)
2:27.0,Official timeout,,99-93,,
2:27.0,,,99-93,,E. Mudiay misses free throw 1 of 2
2:27.0,,,99-93,,Offensive rebound by Team
2:27.0,,,99-94,1,E. Mudiay makes free throw 2 of 2
2:27.0,,,99-93,,W. Chandler enters the game for J. Hernangomez
2:04.0,I. Smith makes 2-pt shot from 19 ft,2,101-94,,
1:37.0,,,101-94,,W. Chandler misses 3-pt shot from 25 ft
1:36.0,,,101-94,,Offensive rebound by E. Mudiay
1:29.0,,,101-94,,Shooting foul by M. Morris (drawn by D. Gallinari)
1:29.0,,,101-94,,D. Gallinari misses free throw 1 of 2
1:29.0,,,101-94,,Offensive rebound by Team
1:29.0,,,101-95,1,D. Gallinari makes free throw 2 of 2
1:29.0,,,101-94,,J. Murray enters the game for G. Harris
1:07.0,T. Harris makes 2-pt shot from 12 ft (assist by I. Smith),2,103-95,,
1:07.0,,,103-95,,Denver full timeout
1:07.0,S. Johnson enters the game for I. Smith,,103-95,,
0:59.0,,,103-95,,D. Gallinari misses 3-pt shot from 26 ft
0:59.0,Defensive rebound by A. Drummond,,103-95,,
0:55.0,,,103-95,,Personal take foul by E. Mudiay (drawn by S. Johnson)
0:55.0,I. Smith enters the game for S. Johnson,,103-95,,
0:55.0,Detroit full timeout,,103-95,,
0:55.0,J. Leuer enters the game for A. Drummond,,103-95,,
0:55.0,B. Udrih enters the game for I. Smith,,103-95,,
