time,Golden State,pts.away,score,pts.home,Phoenix
4:42.0,Turnover by Z. Pachulia (bad pass; steal by D. Booker),,47-36,,
4:32.0,,,47-38,2,A. Williams makes 2-pt shot from 2 ft (assist by J. Dudley)
4:18.0,Turnover by Z. Pachulia (bad pass; steal by J. Dudley),,47-38,,
4:14.0,,,47-38,,Shooting foul by Z. Pachulia (drawn by D. Jones)
4:14.0,,,47-38,,D. Jones misses free throw 1 of 2
4:14.0,,,47-38,,Offensive rebound by Team
4:14.0,,,47-39,1,D. Jones makes free throw 2 of 2
3:59.0,J. McAdoo misses 2-pt shot from 4 ft,,47-39,,
3:59.0,Offensive rebound by Team,,47-39,,
3:59.0,,,47-39,,Loose ball foul by J. Dudley (drawn by Z. Pachulia)
3:52.0,Z. Pachulia makes 2-pt shot from 9 ft,2,49-39,,
3:32.0,,,49-41,2,D. Booker makes 2-pt shot from 22 ft (assist by J. Dudley)
3:14.0,S. Curry makes 3-pt shot from 26 ft (assist by P. McCaw),3,52-41,,
3:04.0,,,52-43,2,T. Ulis makes 2-pt shot from 18 ft
2:52.0,S. Curry makes 2-pt shot from 2 ft,2,54-43,,
2:38.0,,,54-43,,J. Dudley misses 3-pt shot from 25 ft
2:38.0,Defensive rebound by Z. Pachulia,,54-43,,
2:28.0,S. Livingston misses 2-pt shot from 12 ft,,54-43,,
2:26.0,,,54-43,,Defensive rebound by A. Williams
2:10.0,,,54-43,,T. Ulis misses 2-pt shot from 20 ft
2:09.0,,,54-43,,Offensive rebound by A. Williams
2:05.0,,,54-43,,A. Williams misses 2-pt shot from 2 ft
2:04.0,,,54-43,,Offensive rebound by D. Jones
2:04.0,,,54-45,2,D. Jones makes 2-pt shot from 4 ft
1:55.0,Golden State full timeout,,54-45,,
1:55.0,,,54-45,,Phoenix full timeout
1:55.0,K. Thompson enters the game for P. McCaw,,54-45,,
1:44.0,S. Curry misses 2-pt shot from 1 ft,,54-45,,
1:42.0,Offensive rebound by K. Thompson,,54-45,,
1:39.0,K. Thompson misses 2-pt shot from 17 ft,,54-45,,
1:39.0,Offensive rebound by Team,,54-45,,
1:35.0,K. Thompson makes 2-pt shot from 2 ft (assist by S. Curry),2,56-45,,
1:18.0,,,56-45,,Turnover by T. Ulis (bad pass; steal by J. McAdoo)
1:12.0,J. McAdoo misses 2-pt shot from 1 ft,,56-45,,
1:11.0,,,56-45,,Defensive rebound by J. Dudley
1:07.0,,,56-47,2,T. Ulis makes 2-pt shot from 10 ft (assist by J. Dudley)
0:56.0,J. McAdoo misses 2-pt shot from 1 ft,,56-47,,
0:54.0,,,56-47,,Defensive rebound by A. Williams
0:47.0,,,56-50,3,T. Ulis makes 3-pt shot from 25 ft (assist by D. Booker)
0:42.0,,,56-50,,Personal foul by T. Ulis (drawn by J. McAdoo)
0:42.0,J. McAdoo makes free throw 1 of 2,1,57-50,,
0:42.0,J. McAdoo makes free throw 2 of 2,1,58-50,,
0:29.0,,,58-50,,D. Booker misses 2-pt shot from 11 ft
0:29.0,Defensive rebound by J. McAdoo,,58-50,,
0:23.0,K. Thompson misses 3-pt shot from 25 ft,,58-50,,
0:22.0,,,58-50,,Defensive rebound by J. Dudley
0:01.0,Violation by Z. Pachulia (def goaltending),,58-50,,
0:01.0,,,58-52,2,D. Booker makes 2-pt shot from 9 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,58-52,,T. Warren misses 2-pt shot from 13 ft
11:46.0,,,58-52,,Offensive rebound by T. Warren
11:43.0,,,58-52,,T. Warren misses 2-pt shot from 2 ft
11:43.0,Defensive rebound by P. McCaw,,58-52,,
11:33.0,Turnover by S. Curry (lost ball; steal by T. Warren),,58-52,,
11:23.0,Personal foul by J. McAdoo (drawn by M. Chriss),,58-52,,
11:08.0,,,58-54,2,M. Chriss makes 2-pt shot from 1 ft
11:07.0,,,58-54,,Violation by Team (jump ball)
10:55.0,Shooting foul by A. Len (drawn by K. Thompson),,58-54,,
10:55.0,K. Thompson makes 2-pt shot from 1 ft (assist by P. McCaw),2,60-54,,
10:55.0,K. Thompson misses free throw 1 of 1,,60-54,,
10:54.0,,,60-54,,Defensive rebound by M. Chriss
10:35.0,,,60-56,2,A. Len makes 2-pt shot from 2 ft (assist by T. Warren)
10:24.0,,,60-56,,Violation by M. Chriss (def goaltending)
10:24.0,S. Curry makes 2-pt shot from 2 ft (assist by Z. Pachulia),2,62-56,,
10:12.0,,,62-56,,Turnover by T. Warren (lost ball; steal by P. McCaw)
10:06.0,P. McCaw makes 2-pt shot from 1 ft,2,64-56,,
10:02.0,,,64-56,,D. Booker misses 2-pt shot from 2 ft (block by S. Curry)
10:02.0,,,64-56,,Offensive rebound by Team
9:56.0,,,64-58,2,T. Warren makes 2-pt shot from 12 ft (assist by M. Chriss)
9:42.0,P. McCaw makes 3-pt shot from 25 ft (assist by S. Curry),3,67-58,,
9:36.0,Personal block foul by K. Thompson (drawn by D. Booker),,67-58,,
9:28.0,,,67-58,,D. Booker misses 2-pt shot from 17 ft
9:26.0,Defensive rebound by P. McCaw,,67-58,,
9:20.0,J. McAdoo makes 2-pt shot at rim (assist by P. McCaw),2,69-58,,
9:12.0,,,69-58,,T. Ulis misses 2-pt shot from 13 ft
9:11.0,Defensive rebound by Z. Pachulia,,69-58,,
9:01.0,P. McCaw makes 2-pt shot from 1 ft,2,71-58,,
9:01.0,,,71-58,,Phoenix full timeout
9:01.0,,,71-58,,D. Jones enters the game for T. Warren
8:37.0,,,71-58,,M. Chriss misses 2-pt shot from 3 ft (block by S. Curry)
8:36.0,,,71-58,,Offensive rebound by T. Ulis
8:34.0,,,71-60,2,T. Ulis makes 2-pt shot from 9 ft
8:34.0,Technical foul by Team,,71-60,,
8:34.0,,,71-61,1,D. Booker makes technical free throw
8:20.0,J. McAdoo misses 2-pt shot from 2 ft,,71-61,,
8:18.0,,,71-61,,Defensive rebound by A. Len
8:10.0,,,71-61,,D. Booker misses 2-pt shot from 24 ft
8:10.0,Defensive rebound by Team,,71-61,,
8:10.0,,,71-61,,Loose ball foul by M. Chriss (drawn by J. McAdoo)
8:10.0,,,71-61,,Technical foul by M. Chriss (drawn by J. McAdoo)
8:10.0,S. Curry misses technical free throw,,71-61,,
8:10.0,Offensive rebound by Team,,71-61,,
8:00.0,S. Curry misses 3-pt shot from 26 ft,,71-61,,
8:00.0,,,71-61,,Defensive rebound by M. Chriss
7:46.0,,,71-63,2,D. Jones makes 2-pt shot at rim (assist by T. Ulis)
7:36.0,K. Thompson misses 2-pt shot from 20 ft,,71-63,,
7:35.0,,,71-63,,Defensive rebound by A. Len
7:25.0,,,71-63,,T. Ulis misses 2-pt shot from 19 ft
7:24.0,Defensive rebound by K. Thompson,,71-63,,
7:20.0,,,71-63,,Personal foul by D. Booker (drawn by K. Thompson)
7:15.0,Turnover by Z. Pachulia (bad pass),,71-63,,
7:03.0,,,71-63,,A. Len misses 2-pt shot from 2 ft (block by Z. Pachulia)
7:02.0,,,71-63,,Offensive rebound by T. Ulis
7:00.0,,,71-63,,T. Ulis misses 2-pt shot from 11 ft
6:59.0,Defensive rebound by P. McCaw,,71-63,,
6:47.0,J. McAdoo makes 2-pt shot at rim (assist by S. Curry),2,73-63,,
6:35.0,Personal foul by Z. Pachulia (drawn by A. Len),,73-63,,
6:27.0,,,73-63,,D. Jones misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by S. Curry,,73-63,,
6:15.0,Z. Pachulia misses 2-pt shot from 19 ft,,73-63,,
6:15.0,,,73-63,,Defensive rebound by M. Chriss
6:06.0,,,73-63,,A. Len misses 2-pt shot from 5 ft (block by J. McAdoo)
6:03.0,,,73-63,,Offensive rebound by A. Len
5:51.0,,,73-65,2,M. Chriss makes 2-pt shot at rim (assist by T. Ulis)
5:48.0,Golden State full timeout,,73-65,,
5:48.0,J. McGee enters the game for J. McAdoo,,73-65,,
5:48.0,M. Barnes enters the game for Z. Pachulia,,73-65,,
5:48.0,,,73-65,,J. Dudley enters the game for A. Len
5:29.0,S. Curry misses 2-pt shot from 3 ft,,73-65,,
5:29.0,Offensive rebound by Team,,73-65,,
5:19.0,K. Thompson misses 2-pt shot from 2 ft,,73-65,,
5:17.0,,,73-65,,Defensive rebound by M. Chriss
5:12.0,,,73-68,3,T. Ulis makes 3-pt shot from 26 ft (assist by D. Booker)
5:00.0,Shooting foul by J. Dudley (drawn by J. McGee),,73-68,,
5:00.0,J. McGee makes free throw 1 of 2,1,74-68,,
5:00.0,J. McGee misses free throw 2 of 2,,74-68,,
4:59.0,,,74-68,,Defensive rebound by M. Chriss
4:42.0,,,74-68,,D. Jones misses 2-pt shot from 4 ft (block by J. McGee)
4:41.0,Defensive rebound by S. Curry,,74-68,,
4:32.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,76-68,,
4:14.0,,,76-68,,Turnover by M. Chriss (bad pass; steal by S. Curry)
4:08.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,78-68,,
4:00.0,,,78-68,,D. Booker misses 2-pt shot from 2 ft
4:00.0,,,78-68,,Offensive rebound by D. Booker
3:57.0,,,78-68,,Shooting foul by P. McCaw (drawn by D. Booker)
3:57.0,,,78-70,2,D. Booker makes 2-pt shot from 8 ft
3:57.0,,,78-70,,D. Booker misses free throw 1 of 1
3:56.0,Defensive rebound by M. Barnes,,78-70,,
3:50.0,K. Thompson makes 2-pt shot from 1 ft (assist by S. Curry),2,80-70,,
3:39.0,,,80-72,2,T. Ulis makes 2-pt shot from 17 ft
3:26.0,M. Barnes makes 2-pt shot from 1 ft (assist by S. Curry),2,82-72,,
3:12.0,,,82-74,2,J. Dudley makes 2-pt shot from 16 ft (assist by M. Chriss)
2:58.0,S. Curry misses 2-pt shot from 1 ft,,82-74,,
2:56.0,,,82-74,,Defensive rebound by T. Ulis
2:50.0,,,82-74,,D. Booker misses 3-pt shot from 24 ft
2:49.0,,,82-74,,Offensive rebound by D. Jones
2:45.0,,,82-74,,D. Booker misses 3-pt shot from 23 ft
2:44.0,Defensive rebound by K. Thompson,,82-74,,
2:39.0,Golden State full timeout,,82-74,,
2:39.0,,,82-74,,R. Price enters the game for D. Booker
2:39.0,,,82-74,,D. Bender enters the game for M. Chriss
2:39.0,,,82-74,,A. Williams enters the game for D. Jones
2:39.0,S. Livingston enters the game for P. McCaw,,82-74,,
2:39.0,I. Clark enters the game for K. Thompson,,82-74,,
2:22.0,J. McGee misses 2-pt shot from 6 ft,,82-74,,
2:21.0,,,82-74,,Defensive rebound by J. Dudley
2:13.0,,,82-74,,J. Dudley misses 3-pt shot from 26 ft
2:12.0,Defensive rebound by M. Barnes,,82-74,,
1:56.0,Turnover by I. Clark (bad pass; steal by A. Williams),,82-74,,
1:51.0,,,82-74,,Shooting foul by I. Clark (drawn by R. Price)
1:51.0,,,82-75,1,R. Price makes free throw 1 of 2
1:51.0,,,82-76,1,R. Price makes free throw 2 of 2
1:32.0,S. Curry makes 3-pt shot from 25 ft (assist by M. Barnes),3,85-76,,
1:22.0,,,85-76,,T. Ulis misses 3-pt shot from 26 ft
1:22.0,Defensive rebound by I. Clark,,85-76,,
1:08.0,S. Curry makes 2-pt shot from 19 ft (assist by I. Clark),2,87-76,,
0:44.0,,,87-76,,A. Williams misses 2-pt shot from 3 ft
0:42.0,,,87-76,,Offensive rebound by A. Williams
0:42.0,,,87-76,,A. Williams misses 2-pt shot from 2 ft
0:42.0,Defensive rebound by Team,,87-76,,
0:31.0,I. Clark makes 2-pt shot from 19 ft,2,89-76,,
0:22.0,,,89-78,2,J. Dudley makes 2-pt shot from 20 ft
0:03.0,S. Curry misses 3-pt shot from 26 ft,,89-78,,
0:02.0,Offensive rebound by Team,,89-78,,
0:02.0,,,89-78,,Loose ball foul by A. Williams (drawn by J. McGee)
0:02.0,J. McGee makes free throw 1 of 2,1,90-78,,
0:02.0,J. McGee makes free throw 2 of 2,1,91-78,,
0:02.0,P. McCaw enters the game for S. Curry,,90-78,,
0:00.0,,,91-78,,T. Ulis misses 3-pt shot from 41 ft
0:00.0,,,91-78,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Turnover by I. Clark (bad pass; steal by R. Price),,91-78,,
11:40.0,,,91-81,3,J. Dudley makes 3-pt shot from 25 ft (assist by R. Price)
11:13.0,M. Barnes makes 3-pt shot from 25 ft (assist by D. West),3,94-81,,
10:57.0,Personal foul by D. West (drawn by D. Booker),,94-81,,
10:50.0,,,94-81,,Turnover by J. Dudley (bad pass; steal by M. Barnes)
10:38.0,Shooting foul by A. Williams (drawn by D. West),,94-81,,
10:38.0,D. West makes free throw 1 of 2,1,95-81,,
10:38.0,D. West makes free throw 2 of 2,1,96-81,,
10:29.0,,,96-81,,Shooting foul by K. Thompson (drawn by D. Booker)
10:29.0,,,96-82,1,D. Booker makes free throw 1 of 2
10:29.0,,,96-83,1,D. Booker makes free throw 2 of 2
10:10.0,K. Thompson misses 2-pt shot from 16 ft,,96-83,,
10:10.0,Offensive rebound by D. West,,96-83,,
10:09.0,,,96-83,,Personal foul by T. Warren
10:01.0,I. Clark misses 3-pt shot from 23 ft,,96-83,,
10:01.0,,,96-83,,Defensive rebound by D. Booker
9:52.0,,,96-83,,Turnover by J. Dudley (bad pass; steal by D. West)
9:46.0,K. Thompson misses 3-pt shot from 24 ft,,96-83,,
9:45.0,,,96-83,,Defensive rebound by A. Williams
9:21.0,,,96-85,2,T. Warren makes 2-pt shot from 1 ft (assist by J. Dudley)
8:55.0,D. West makes 2-pt shot from 8 ft,2,98-85,,
8:42.0,,,98-85,,Shooting foul by D. West (drawn by A. Williams)
8:42.0,Official timeout,,98-85,,
8:42.0,,,98-86,1,A. Williams makes free throw 1 of 2
8:42.0,,,98-87,1,A. Williams makes free throw 2 of 2
8:42.0,,,98-85,,T. Ulis enters the game for R. Price
8:20.0,D. West makes 2-pt shot from 18 ft (assist by K. Thompson),2,100-87,,
8:00.0,,,100-89,2,A. Williams makes 2-pt shot from 1 ft (assist by J. Dudley)
7:43.0,M. Barnes misses 3-pt shot from 26 ft,,100-89,,
7:43.0,Offensive rebound by D. West,,100-89,,
7:35.0,K. Thompson makes 3-pt shot from 25 ft (assist by D. West),3,103-89,,
7:19.0,,,103-91,2,J. Dudley makes 2-pt shot from 9 ft
7:03.0,Shooting foul by A. Williams (drawn by M. Barnes),,103-91,,
7:03.0,M. Barnes makes free throw 1 of 2,1,104-91,,
7:03.0,M. Barnes misses free throw 2 of 2,,104-91,,
7:03.0,,,104-91,,M. Chriss enters the game for T. Warren
7:03.0,P. McCaw enters the game for S. Livingston,,104-91,,
