time,Minnesota,pts.away,score,pts.home,Indiana
7:56.0,,,7-13,1,P. George makes free throw 1 of 1
7:43.0,A. Wiggins misses 2-pt shot from 12 ft,,7-13,,
7:42.0,,,7-13,,Defensive rebound by M. Turner
7:35.0,,,7-13,,T. Young misses 2-pt shot from 1 ft (block by G. Dieng)
7:34.0,Defensive rebound by G. Dieng,,7-13,,
7:24.0,,,7-13,,Def 3 sec tech foul by M. Turner
7:24.0,R. Rubio makes technical free throw,1,8-13,,
7:11.0,K. Towns makes 3-pt shot from 27 ft (assist by R. Rubio),3,11-13,,
6:53.0,,,11-13,,P. George misses 2-pt shot from 3 ft (block by K. Towns)
6:52.0,,,11-13,,Offensive rebound by M. Turner
6:49.0,,,11-13,,T. Young misses 3-pt shot from 24 ft
6:49.0,,,11-13,,Offensive rebound by P. George
6:40.0,,,11-13,,Turnover by T. Young (lost ball; steal by K. Towns)
6:28.0,K. Towns misses 2-pt shot from 17 ft,,11-13,,
6:27.0,Offensive rebound by G. Dieng,,11-13,,
6:27.0,G. Dieng misses 2-pt shot from 2 ft,,11-13,,
6:27.0,,,11-13,,Defensive rebound by T. Young
6:20.0,,,11-13,,M. Ellis misses 3-pt shot from 25 ft
6:19.0,Defensive rebound by K. Towns,,11-13,,
6:03.0,A. Wiggins makes 2-pt shot from 19 ft,2,13-13,,
5:47.0,Violation by G. Dieng (kicked ball),,13-13,,
5:47.0,,,13-13,,Indiana full timeout
5:37.0,,,13-15,2,P. George makes 2-pt shot from 19 ft (assist by J. Teague)
5:15.0,K. Towns makes 2-pt shot from 7 ft,2,15-15,,
4:53.0,,,15-17,2,T. Young makes 2-pt shot from 2 ft (assist by J. Teague)
4:34.0,A. Wiggins misses 2-pt shot from 20 ft,,15-17,,
4:33.0,,,15-17,,Defensive rebound by T. Young
4:26.0,,,15-20,3,P. George makes 3-pt shot from 27 ft (assist by J. Teague)
4:10.0,Turnover by R. Rubio (bad pass; steal by P. George),,15-20,,
4:03.0,,,15-20,,M. Ellis misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by R. Rubio,,15-20,,
3:49.0,G. Dieng makes 2-pt shot from 15 ft (assist by R. Rubio),2,17-20,,
3:43.0,,,17-22,2,M. Ellis makes 2-pt shot at rim (assist by J. Teague)
3:34.0,Minnesota full timeout,,17-22,,
3:34.0,,,17-22,,A. Brooks enters the game for T. Young
3:34.0,,,17-22,,L. Allen enters the game for M. Ellis
3:34.0,,,17-22,,C. Miles enters the game for J. Teague
3:24.0,O. Casspi enters the game for K. Towns,,17-22,,
3:23.0,A. Wiggins misses 2-pt shot from 6 ft (block by L. Allen),,17-22,,
3:23.0,Offensive rebound by Team,,17-22,,
3:20.0,G. Dieng misses 2-pt shot from 16 ft,,17-22,,
3:20.0,,,17-22,,Defensive rebound by P. George
3:11.0,,,17-22,,Shooting foul by A. Wiggins (drawn by P. George)
3:11.0,,,17-23,1,P. George makes free throw 1 of 2
3:11.0,,,17-24,1,P. George makes free throw 2 of 2
3:11.0,K. Dunn enters the game for B. Rush,,17-23,,
3:02.0,R. Rubio makes 2-pt shot from 18 ft,2,19-24,,
2:46.0,,,19-24,,M. Turner misses 2-pt shot from 19 ft
2:45.0,,,19-24,,Offensive rebound by L. Allen
2:42.0,,,19-24,,Turnover by L. Allen (lost ball; steal by K. Dunn)
2:42.0,,,19-24,,Personal foul by L. Allen (drawn by K. Dunn)
2:27.0,Turnover by R. Rubio (bad pass; steal by P. George),,19-24,,
2:18.0,,,19-24,,Turnover by A. Brooks (bad pass)
2:03.0,R. Rubio makes 2-pt shot from 17 ft,2,21-24,,
1:45.0,,,21-24,,M. Turner misses 2-pt shot from 16 ft
1:45.0,,,21-24,,Offensive rebound by L. Allen
1:45.0,Loose ball foul by O. Casspi (drawn by L. Allen),,21-24,,
1:45.0,,,21-24,,L. Allen misses free throw 1 of 2
1:45.0,,,21-24,,Offensive rebound by Team
1:45.0,,,21-25,1,L. Allen makes free throw 2 of 2
1:45.0,,,21-24,,R. Christmas enters the game for M. Turner
1:36.0,,,21-25,,Personal foul by P. George (drawn by A. Wiggins)
1:30.0,,,21-25,,Personal foul by C. Miles
1:30.0,K. Dunn misses free throw 1 of 2,,21-25,,
1:30.0,Offensive rebound by Team,,21-25,,
1:30.0,K. Dunn makes free throw 2 of 2,1,22-25,,
1:17.0,,,22-25,,C. Miles misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by A. Wiggins,,22-25,,
1:04.0,A. Wiggins misses 2-pt shot from 1 ft,,22-25,,
1:03.0,Offensive rebound by G. Dieng,,22-25,,
1:03.0,G. Dieng makes 2-pt shot at rim,2,24-25,,
0:47.0,,,24-25,,Turnover by C. Miles (bad pass; steal by O. Casspi)
0:37.0,Shooting foul by A. Brooks (drawn by R. Rubio),,24-25,,
0:37.0,R. Rubio makes free throw 1 of 2,1,25-25,,
0:37.0,R. Rubio makes free throw 2 of 2,1,26-25,,
0:27.0,,,26-25,,P. George misses 3-pt shot from 27 ft
0:24.0,Defensive rebound by G. Dieng,,26-25,,
0:03.0,R. Rubio misses 2-pt shot from 18 ft,,26-25,,
0:00.0,Offensive rebound by Team,,26-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,,,26-27,2,C. Miles makes 2-pt shot from 1 ft (assist by A. Brooks)
11:28.0,K. Towns misses 2-pt shot from 10 ft,,26-27,,
11:28.0,,,26-27,,Defensive rebound by R. Christmas
11:23.0,,,26-27,,Shooting foul by O. Casspi (drawn by R. Christmas)
11:23.0,,,26-28,1,R. Christmas makes free throw 1 of 2
11:23.0,,,26-29,1,R. Christmas makes free throw 2 of 2
11:13.0,K. Towns makes 2-pt shot from 16 ft (assist by T. Jones),2,28-29,,
11:02.0,,,28-29,,L. Allen misses 2-pt shot from 19 ft
11:01.0,Defensive rebound by T. Jones,,28-29,,
10:54.0,K. Dunn makes 2-pt shot at rim (assist by T. Jones),2,30-29,,
10:46.0,,,30-29,,Turnover by A. Brooks (bad pass; steal by K. Dunn)
10:43.0,Shooting foul by J. Teague (drawn by K. Dunn),,30-29,,
10:43.0,K. Dunn makes free throw 1 of 2,1,31-29,,
10:43.0,K. Dunn makes free throw 2 of 2,1,32-29,,
10:18.0,,,32-29,,R. Christmas misses 2-pt shot from 13 ft
10:18.0,,,32-29,,Offensive rebound by L. Allen
10:18.0,,,32-29,,Turnover by Team (shot clock)
10:05.0,K. Towns misses 3-pt shot from 25 ft,,32-29,,
10:04.0,Offensive rebound by S. Muhammad,,32-29,,
9:59.0,,,32-29,,Personal foul by R. Christmas (drawn by K. Towns)
9:56.0,Turnover by O. Casspi (bad pass),,32-29,,
9:44.0,,,32-29,,Turnover by A. Brooks (lost ball; steal by O. Casspi)
9:38.0,S. Muhammad makes 2-pt shot from 3 ft (assist by T. Jones),2,34-29,,
9:32.0,,,34-29,,Indiana full timeout
9:19.0,,,34-29,,Turnover by C. Miles (bad pass; steal by T. Jones)
9:15.0,K. Dunn makes 2-pt shot from 2 ft (assist by T. Jones),2,36-29,,
9:08.0,,,36-29,,Shooting foul by T. Jones (drawn by J. Teague)
9:08.0,,,36-30,1,J. Teague makes free throw 1 of 3
9:08.0,,,36-31,1,J. Teague makes free throw 2 of 3
9:08.0,,,36-32,1,J. Teague makes free throw 3 of 3
9:08.0,G. Dieng enters the game for O. Casspi,,36-31,,
9:08.0,,,36-31,,M. Ellis enters the game for L. Allen
9:08.0,,,36-31,,T. Young enters the game for A. Brooks
8:46.0,K. Dunn makes 2-pt shot from 1 ft,2,38-32,,
8:32.0,Personal foul by K. Dunn (drawn by J. Teague),,38-32,,
8:22.0,,,38-32,,J. Teague misses 3-pt shot from 33 ft
8:22.0,Defensive rebound by Team,,38-32,,
8:06.0,K. Towns makes 2-pt shot from 4 ft (assist by T. Jones),2,40-32,,
7:47.0,,,40-34,2,M. Ellis makes 2-pt shot from 2 ft (assist by J. Teague)
7:33.0,Turnover by T. Jones (bad pass; steal by M. Ellis),,40-34,,
7:29.0,,,40-36,2,M. Ellis makes 2-pt shot from 1 ft
7:11.0,S. Muhammad misses 3-pt shot from 26 ft,,40-36,,
7:10.0,,,40-36,,Defensive rebound by R. Christmas
6:58.0,,,40-38,2,J. Teague makes 2-pt shot from 11 ft
6:51.0,Minnesota full timeout,,40-38,,
6:51.0,R. Rubio enters the game for K. Dunn,,40-38,,
6:51.0,A. Wiggins enters the game for S. Muhammad,,40-38,,
6:51.0,,,40-38,,M. Turner enters the game for C. Miles
6:51.0,,,40-38,,P. George enters the game for R. Christmas
6:39.0,Shooting foul by M. Ellis (drawn by R. Rubio),,40-38,,
6:39.0,R. Rubio makes free throw 1 of 2,1,41-38,,
6:39.0,R. Rubio makes free throw 2 of 2,1,42-38,,
6:29.0,Violation by G. Dieng (kicked ball),,42-38,,
6:19.0,,,42-38,,M. Turner misses 2-pt shot from 19 ft
6:19.0,Defensive rebound by K. Towns,,42-38,,
6:02.0,R. Rubio makes 2-pt shot from 19 ft (assist by T. Jones),2,44-38,,
6:02.0,Shooting foul by M. Ellis (drawn by R. Rubio),,44-38,,
6:02.0,R. Rubio makes free throw 1 of 1,1,45-38,,
5:50.0,,,45-38,,P. George misses 2-pt shot from 9 ft
5:49.0,,,45-38,,Offensive rebound by Team
5:47.0,,,45-40,2,P. George makes 2-pt shot from 14 ft (assist by M. Ellis)
5:31.0,,,45-40,,Personal foul by M. Turner (drawn by R. Rubio)
5:31.0,R. Rubio makes free throw 1 of 2,1,46-40,,
5:31.0,R. Rubio makes free throw 2 of 2,1,47-40,,
5:15.0,,,47-40,,T. Young misses 2-pt shot from 3 ft
5:14.0,Defensive rebound by K. Towns,,47-40,,
5:05.0,Turnover by A. Wiggins (lost ball; steal by T. Young),,47-40,,
5:00.0,,,47-42,2,M. Ellis makes 2-pt shot from 2 ft (assist by P. George)
4:41.0,K. Towns misses 3-pt shot from 26 ft,,47-42,,
4:41.0,Offensive rebound by R. Rubio,,47-42,,
4:35.0,R. Rubio misses 2-pt shot from 8 ft,,47-42,,
4:34.0,,,47-42,,Defensive rebound by P. George
4:29.0,Shooting block foul by A. Wiggins (drawn by P. George),,47-42,,
4:29.0,,,47-43,1,P. George makes free throw 1 of 2
4:29.0,,,47-44,1,P. George makes free throw 2 of 2
4:18.0,T. Jones misses 3-pt shot from 28 ft,,47-44,,
4:17.0,,,47-44,,Defensive rebound by P. George
4:03.0,,,47-44,,Turnover by M. Turner (lost ball; steal by T. Jones)
3:59.0,T. Jones misses 2-pt shot from 1 ft,,47-44,,
3:58.0,Offensive rebound by R. Rubio,,47-44,,
3:57.0,R. Rubio misses 2-pt shot at rim (block by M. Ellis),,47-44,,
3:55.0,,,47-44,,Defensive rebound by M. Ellis
3:42.0,,,47-46,2,J. Teague makes 2-pt shot from 5 ft
3:33.0,Minnesota full timeout,,47-46,,
3:33.0,K. Dunn enters the game for T. Jones,,47-46,,
3:15.0,G. Dieng makes 2-pt shot from 12 ft (assist by R. Rubio),2,49-46,,
2:51.0,,,49-48,2,J. Teague makes 2-pt shot from 1 ft
2:32.0,Official timeout,,49-48,,
2:26.0,K. Towns makes 2-pt shot from 10 ft,2,51-48,,
2:11.0,,,51-48,,Shooting foul by G. Dieng (drawn by M. Ellis)
2:11.0,,,51-48,,M. Ellis misses free throw 1 of 2
2:11.0,,,51-48,,Offensive rebound by Team
2:11.0,,,51-49,1,M. Ellis makes free throw 2 of 2
2:02.0,,,51-49,,Personal foul by M. Turner (drawn by A. Wiggins)
2:02.0,A. Wiggins misses free throw 1 of 2,,51-49,,
2:02.0,Offensive rebound by Team,,51-49,,
2:02.0,A. Wiggins makes free throw 2 of 2,1,52-49,,
1:51.0,,,52-52,3,P. George makes 3-pt shot from 28 ft (assist by M. Ellis)
1:33.0,Turnover by G. Dieng (lost ball; steal by J. Teague),,52-52,,
1:29.0,,,52-52,,T. Young misses 2-pt shot from 4 ft
1:28.0,,,52-52,,Offensive rebound by T. Young
1:28.0,,,52-52,,T. Young misses 2-pt shot from 4 ft (block by K. Dunn)
1:28.0,,,52-52,,Offensive rebound by Team
1:26.0,,,52-52,,Turnover by T. Young (bad pass; steal by K. Dunn)
1:25.0,Turnover by K. Dunn (bad pass),,52-52,,
1:17.0,,,52-52,,Turnover by J. Teague (bad pass; steal by K. Dunn)
1:12.0,A. Wiggins misses 2-pt shot from 1 ft,,52-52,,
1:10.0,Offensive rebound by G. Dieng,,52-52,,
1:09.0,G. Dieng misses 2-pt shot from 1 ft,,52-52,,
1:08.0,Offensive rebound by A. Wiggins,,52-52,,
1:05.0,A. Wiggins makes 2-pt shot from 1 ft,2,54-52,,
0:51.0,,,54-55,3,P. George makes 3-pt shot from 23 ft (assist by T. Young)
0:40.0,K. Towns makes 2-pt shot from 12 ft,2,56-55,,
0:36.0,,,56-55,,Indiana full timeout
0:36.0,,,56-55,,R. Christmas enters the game for M. Turner
0:36.0,,,56-55,,C. Miles enters the game for M. Ellis
0:25.0,,,56-55,,P. George misses 2-pt shot from 8 ft (block by A. Wiggins)
0:24.0,,,56-55,,Offensive rebound by P. George
0:22.0,,,56-57,2,P. George makes 2-pt shot from 10 ft
0:02.0,G. Dieng makes 3-pt shot from 25 ft (assist by R. Rubio),3,59-57,,
0:00.0,,,59-57,,J. Teague misses 3-pt shot from 62 ft
0:00.0,,,59-57,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,,,59-57,,J. Teague misses 3-pt shot from 24 ft
11:37.0,,,59-57,,Offensive rebound by M. Turner
11:29.0,,,59-57,,Turnover by M. Turner (lost ball; steal by G. Dieng)
11:18.0,K. Towns makes 2-pt shot from 7 ft,2,61-57,,
11:09.0,,,61-57,,Turnover by P. George (step out of bounds)
11:09.0,,,61-57,,Violation by Team (jump ball)
10:57.0,Shooting foul by M. Turner (drawn by K. Towns),,61-57,,
10:57.0,K. Towns makes free throw 1 of 2,1,62-57,,
10:57.0,K. Towns makes free throw 2 of 2,1,63-57,,
10:42.0,,,63-57,,Shooting foul by R. Rubio (drawn by P. George)
10:42.0,,,63-58,1,P. George makes free throw 1 of 2
10:42.0,,,63-59,1,P. George makes free throw 2 of 2
10:35.0,R. Rubio misses 2-pt shot from 11 ft,,63-59,,
10:34.0,,,63-59,,Defensive rebound by M. Ellis
10:28.0,,,63-59,,M. Turner misses 2-pt shot from 1 ft (block by B. Rush)
10:24.0,,,63-59,,Offensive rebound by M. Ellis
10:24.0,,,63-61,2,M. Ellis makes 2-pt shot from 3 ft
10:09.0,K. Towns makes 2-pt shot from 5 ft,2,65-61,,
9:59.0,,,65-61,,Shooting foul by R. Rubio (drawn by J. Teague)
9:59.0,,,65-62,1,J. Teague makes free throw 1 of 2
9:59.0,,,65-63,1,J. Teague makes free throw 2 of 2
9:46.0,A. Wiggins misses 2-pt shot from 19 ft,,65-63,,
9:44.0,Offensive rebound by B. Rush,,65-63,,
9:39.0,A. Wiggins makes 3-pt shot from 27 ft (assist by R. Rubio),3,68-63,,
9:25.0,,,68-63,,J. Teague misses 3-pt shot from 27 ft
9:23.0,Defensive rebound by K. Towns,,68-63,,
9:12.0,B. Rush misses 3-pt shot from 23 ft,,68-63,,
9:11.0,,,68-63,,Defensive rebound by P. George
9:04.0,,,68-63,,P. George misses 2-pt shot from 20 ft
9:03.0,Defensive rebound by R. Rubio,,68-63,,
8:46.0,K. Towns makes 2-pt shot from 2 ft,2,70-63,,
8:28.0,,,70-65,2,M. Turner makes 2-pt shot from 2 ft (assist by M. Ellis)
8:06.0,A. Wiggins misses 3-pt shot from 27 ft,,70-65,,
8:05.0,,,70-65,,Defensive rebound by M. Turner
7:54.0,,,70-67,2,T. Young makes 2-pt shot from 2 ft (assist by J. Teague)
7:33.0,B. Rush makes 3-pt shot from 25 ft (assist by R. Rubio),3,73-67,,
7:24.0,,,73-67,,Shooting foul by G. Dieng (drawn by P. George)
7:24.0,,,73-68,1,P. George makes free throw 1 of 2
7:24.0,,,73-69,1,P. George makes free throw 2 of 2
7:09.0,R. Rubio makes 2-pt shot from 19 ft (assist by G. Dieng),2,75-69,,
6:56.0,,,75-71,2,T. Young makes 2-pt shot from 3 ft (assist by J. Teague)
6:38.0,Shooting foul by M. Ellis (drawn by G. Dieng),,75-71,,
6:38.0,G. Dieng misses free throw 1 of 2,,75-71,,
6:38.0,Offensive rebound by Team,,75-71,,
6:38.0,G. Dieng makes free throw 2 of 2,1,76-71,,
6:27.0,,,76-71,,Shooting foul by K. Towns (drawn by M. Ellis)
6:27.0,,,76-72,1,M. Ellis makes free throw 1 of 2
6:27.0,,,76-73,1,M. Ellis makes free throw 2 of 2
6:19.0,B. Rush makes 3-pt shot from 24 ft (assist by A. Wiggins),3,79-73,,
5:57.0,,,79-73,,M. Turner misses 2-pt shot from 18 ft
5:56.0,Defensive rebound by A. Wiggins,,79-73,,
5:40.0,G. Dieng makes 3-pt shot from 24 ft (assist by R. Rubio),3,82-73,,
5:36.0,,,82-73,,Indiana full timeout
5:17.0,,,82-76,3,M. Turner makes 3-pt shot from 25 ft (assist by J. Teague)
4:57.0,A. Wiggins makes 3-pt shot from 26 ft (assist by R. Rubio),3,85-76,,
4:38.0,,,85-78,2,T. Young makes 2-pt shot from 1 ft (assist by M. Turner)
4:19.0,K. Towns misses 2-pt shot from 2 ft,,85-78,,
4:18.0,,,85-78,,Defensive rebound by M. Turner
4:11.0,,,85-78,,Turnover by M. Ellis (bad pass)
4:11.0,,,85-78,,C. Miles enters the game for M. Ellis
3:57.0,Turnover by K. Towns (lost ball; steal by P. George),,85-78,,
3:53.0,,,85-78,,T. Young misses 2-pt shot from 2 ft (block by B. Rush)
3:53.0,,,85-78,,Offensive rebound by Team
3:53.0,O. Casspi enters the game for K. Towns,,85-78,,
3:48.0,Violation by G. Dieng (kicked ball),,85-78,,
3:37.0,,,85-78,,P. George misses 2-pt shot from 20 ft
3:36.0,Defensive rebound by R. Rubio,,85-78,,
3:15.0,,,85-78,,Violation by M. Turner (def goaltending)
3:15.0,O. Casspi makes 2-pt shot from 3 ft,2,87-78,,
3:05.0,,,87-80,2,J. Teague makes 2-pt shot from 6 ft
2:45.0,Turnover by G. Dieng (bad pass; steal by P. George),,87-80,,
2:34.0,,,87-82,2,T. Young makes 2-pt shot from 1 ft (assist by M. Turner)
2:16.0,Turnover by A. Wiggins (lost ball),,87-82,,
2:16.0,Minnesota full timeout,,87-82,,
2:16.0,,,87-82,,L. Allen enters the game for T. Young
2:16.0,K. Dunn enters the game for B. Rush,,87-82,,
1:58.0,,,87-84,2,P. George makes 2-pt shot from 1 ft
1:39.0,Turnover by A. Wiggins (lost ball; steal by C. Miles),,87-84,,
1:34.0,,,87-86,2,P. George makes 2-pt shot from 2 ft (assist by C. Miles)
1:16.0,R. Rubio misses 2-pt shot from 18 ft,,87-86,,
1:15.0,,,87-86,,Defensive rebound by J. Teague
1:09.0,,,87-88,2,J. Teague makes 2-pt shot from 1 ft
0:49.0,A. Wiggins misses 2-pt shot from 7 ft,,87-88,,
0:47.0,,,87-88,,Defensive rebound by L. Allen
0:41.0,,,87-88,,Shooting foul by K. Dunn (drawn by M. Turner)
0:41.0,,,87-89,1,M. Turner makes free throw 1 of 2
0:41.0,,,87-90,1,M. Turner makes free throw 2 of 2
0:41.0,,,87-89,,A. Brooks enters the game for J. Teague
0:34.0,R. Rubio misses 2-pt shot from 1 ft,,87-90,,
0:32.0,Offensive rebound by Team,,87-90,,
0:32.0,,,87-90,,R. Christmas enters the game for M. Turner
0:20.0,Turnover by R. Rubio (offensive foul),,87-90,,
0:20.0,Offensive charge foul by R. Rubio,,87-90,,
0:05.0,,,87-90,,A. Brooks misses 2-pt shot from 13 ft
0:05.0,,,87-90,,Offensive rebound by Team
0:05.0,Loose ball foul by O. Casspi (drawn by R. Christmas),,87-90,,
0:05.0,,,87-90,,R. Christmas misses free throw 1 of 2
0:05.0,,,87-90,,Offensive rebound by Team
0:05.0,,,87-90,,R. Christmas misses free throw 2 of 2
0:05.0,Defensive rebound by A. Wiggins,,87-90,,
0:05.0,K. Towns enters the game for O. Casspi,,87-90,,
0:00.0,A. Wiggins misses 3-pt shot from 26 ft,,87-90,,
0:00.0,Offensive rebound by Team,,87-90,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:38.0,O. Casspi misses 2-pt shot from 6 ft,,87-90,,
11:36.0,Offensive rebound by K. Towns,,87-90,,
11:34.0,K. Towns misses 2-pt shot from 12 ft,,87-90,,
11:33.0,,,87-90,,Defensive rebound by C. Miles
11:27.0,,,87-90,,C. Miles misses 3-pt shot from 25 ft
11:27.0,,,87-90,,Offensive rebound by Team
11:27.0,Loose ball foul by O. Casspi (drawn by R. Christmas),,87-90,,
11:20.0,Technical foul by Team,,87-90,,
11:20.0,,,87-91,1,C. Miles makes technical free throw
11:05.0,,,87-91,,C. Miles misses 2-pt shot from 21 ft
11:04.0,,,87-91,,Offensive rebound by R. Christmas
11:02.0,Loose ball foul by O. Casspi (drawn by R. Christmas),,87-91,,
11:02.0,G. Dieng enters the game for O. Casspi,,87-91,,
10:50.0,,,87-91,,A. Brooks misses 2-pt shot from 16 ft (block by G. Dieng)
10:49.0,Defensive rebound by T. Jones,,87-91,,
10:25.0,G. Dieng misses 3-pt shot from 24 ft,,87-91,,
10:24.0,,,87-91,,Defensive rebound by M. Ellis
10:14.0,Shooting block foul by G. Dieng,,87-91,,
10:14.0,,,87-92,1,C. Miles makes free throw 1 of 2
10:14.0,,,87-92,,C. Miles misses free throw 2 of 2
10:14.0,Defensive rebound by S. Muhammad,,87-92,,
10:12.0,,,87-92,,Loose ball foul by L. Allen (drawn by S. Muhammad)
10:01.0,K. Towns makes 3-pt shot from 26 ft (assist by T. Jones),3,90-92,,
9:46.0,,,90-94,2,M. Ellis makes 2-pt shot from 19 ft
9:35.0,Shooting foul by A. Brooks (drawn by T. Jones),,90-94,,
9:35.0,T. Jones makes free throw 1 of 2,1,91-94,,
9:35.0,T. Jones makes free throw 2 of 2,1,92-94,,
9:35.0,,,91-94,,J. Teague enters the game for A. Brooks
9:18.0,Violation by G. Dieng (def goaltending),,92-94,,
9:18.0,,,92-96,2,M. Ellis makes 2-pt shot from 2 ft
9:04.0,S. Muhammad misses 3-pt shot from 26 ft,,92-96,,
9:03.0,,,92-96,,Defensive rebound by J. Teague
8:54.0,,,92-98,2,J. Teague makes 2-pt shot from 14 ft
8:38.0,,,92-98,,Shooting block foul by C. Miles (drawn by S. Muhammad)
8:38.0,Official timeout,,92-98,,
8:38.0,S. Muhammad misses free throw 1 of 2,,92-98,,
8:38.0,Offensive rebound by Team,,92-98,,
8:38.0,S. Muhammad misses free throw 2 of 2,,92-98,,
8:38.0,,,92-98,,Defensive rebound by L. Allen
8:38.0,,,92-98,,M. Turner enters the game for R. Christmas
8:38.0,,,92-98,,P. George enters the game for M. Ellis
8:24.0,,,92-100,2,C. Miles makes 2-pt shot from 2 ft (assist by J. Teague)
8:06.0,K. Towns misses 2-pt shot from 12 ft,,92-100,,
8:06.0,,,92-100,,Defensive rebound by M. Turner
7:56.0,,,92-100,,J. Teague misses 2-pt shot from 7 ft
7:53.0,Defensive rebound by K. Dunn,,92-100,,
7:45.0,Shooting foul by L. Allen (drawn by K. Towns),,92-100,,
7:45.0,K. Towns makes free throw 1 of 3,1,93-100,,
7:45.0,K. Towns makes free throw 2 of 3,1,94-100,,
7:45.0,K. Towns makes free throw 3 of 3,1,95-100,,
7:45.0,A. Wiggins enters the game for S. Muhammad,,94-100,,
7:28.0,,,95-100,,Shooting foul by T. Jones (drawn by J. Teague)
7:28.0,,,95-101,1,J. Teague makes free throw 1 of 2
7:28.0,,,95-102,1,J. Teague makes free throw 2 of 2
7:28.0,R. Rubio enters the game for T. Jones,,95-101,,
7:18.0,K. Towns misses 3-pt shot from 28 ft,,95-102,,
7:17.0,,,95-102,,Defensive rebound by L. Allen
7:10.0,,,95-102,,C. Miles misses 2-pt shot from 1 ft (block by K. Dunn)
7:08.0,,,95-102,,Offensive rebound by M. Turner
7:08.0,,,95-104,2,M. Turner makes 2-pt shot at rim
6:44.0,K. Towns misses 2-pt shot from 11 ft,,95-104,,
6:43.0,,,95-104,,Defensive rebound by Team
6:31.0,,,95-104,,P. George misses 3-pt shot from 25 ft
6:30.0,,,95-104,,Offensive rebound by L. Allen
6:20.0,,,95-104,,P. George misses 2-pt shot from 18 ft
6:19.0,Defensive rebound by K. Towns,,95-104,,
5:57.0,Shooting foul by J. Teague (drawn by R. Rubio),,95-104,,
5:57.0,,,95-104,,Indiana full timeout
5:57.0,R. Rubio makes free throw 1 of 2,1,96-104,,
5:57.0,R. Rubio makes free throw 2 of 2,1,97-104,,
5:57.0,,,95-104,,M. Ellis enters the game for C. Miles
5:41.0,,,97-106,2,M. Turner makes 2-pt shot at rim (assist by P. George)
5:22.0,Shooting foul by P. George (drawn by A. Wiggins),,97-106,,
5:22.0,A. Wiggins makes free throw 1 of 2,1,98-106,,
5:22.0,A. Wiggins makes free throw 2 of 2,1,99-106,,
5:07.0,,,99-106,,M. Turner misses 2-pt shot from 18 ft
5:07.0,Defensive rebound by K. Dunn,,99-106,,
4:52.0,,,99-106,,Personal foul by L. Allen (drawn by K. Towns)
