time,Orlando,pts.away,score,pts.home,Milwaukee
2:18.0,E. Payton makes 2-pt shot at rim,2,26-12,,
2:05.0,,,26-14,2,M. Plumlee makes 2-pt shot from 4 ft (assist by M. Beasley)
1:53.0,Turnover by A. Gordon (step out of bounds),,26-14,,
1:53.0,,,26-14,,J. Parker enters the game for M. Teletovic
1:53.0,,,26-14,,G. Antetokounmpo enters the game for T. Snell
1:42.0,,,26-14,,M. Beasley misses 2-pt shot at rim (block by B. Biyombo)
1:39.0,Defensive rebound by E. Fournier,,26-14,,
1:35.0,Turnover by E. Fournier (bad pass; steal by J. Parker),,26-14,,
1:31.0,,,26-16,2,M. Beasley makes 2-pt shot at rim (assist by J. Parker)
1:29.0,Orlando full timeout,,26-16,,
1:29.0,D. Rudez enters the game for S. Ibaka,,26-16,,
1:29.0,D. Augustin enters the game for E. Payton,,26-16,,
1:14.0,Offensive foul by D. Rudez,,26-16,,
1:14.0,Turnover by D. Rudez (offensive foul),,26-16,,
1:07.0,,,26-16,,Turnover by M. Dellavedova (bad pass; steal by A. Gordon)
1:06.0,Shooting foul by M. Plumlee (drawn by A. Gordon),,26-16,,
1:06.0,A. Gordon makes free throw 1 of 2,1,27-16,,
1:06.0,A. Gordon misses free throw 2 of 2,,27-16,,
1:05.0,,,27-16,,Defensive rebound by M. Beasley
0:48.0,,,27-18,2,M. Beasley makes 2-pt shot from 1 ft (assist by J. Parker)
0:30.0,Turnover by E. Fournier (lost ball; steal by M. Plumlee),,27-18,,
0:23.0,,,27-20,2,G. Antetokounmpo makes 2-pt shot at rim (assist by J. Parker)
0:01.0,D. Augustin misses 2-pt shot from 14 ft,,27-20,,
0:00.0,,,27-20,,Defensive rebound by J. Parker
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:43.0,Shooting foul by M. Plumlee (drawn by A. Gordon),,27-20,,
11:43.0,A. Gordon misses free throw 1 of 2,,27-20,,
11:43.0,Offensive rebound by Team,,27-20,,
11:43.0,A. Gordon makes free throw 2 of 2,1,28-20,,
11:33.0,,,28-22,2,M. Dellavedova makes 2-pt shot from 15 ft
11:12.0,D. Augustin misses 2-pt shot from 6 ft,,28-22,,
11:11.0,,,28-22,,Defensive rebound by M. Plumlee
10:46.0,,,28-22,,M. Beasley misses 2-pt shot from 10 ft
10:45.0,Defensive rebound by D. Augustin,,28-22,,
10:45.0,,,28-22,,Personal foul by M. Dellavedova (drawn by D. Augustin)
10:45.0,,,28-22,,J. Terry enters the game for M. Plumlee
10:45.0,C. Watson enters the game for J. Green,,28-22,,
10:22.0,A. Gordon misses 2-pt shot from 17 ft,,28-22,,
10:21.0,Offensive rebound by Team,,28-22,,
10:21.0,,,28-22,,Loose ball foul by J. Terry (drawn by B. Biyombo)
10:06.0,D. Rudez misses 3-pt shot from 25 ft,,28-22,,
10:05.0,,,28-22,,Defensive rebound by J. Parker
10:01.0,,,28-22,,Shooting foul by B. Biyombo (drawn by G. Antetokounmpo)
10:01.0,,,28-23,1,G. Antetokounmpo makes free throw 1 of 2
10:01.0,,,28-24,1,G. Antetokounmpo makes free throw 2 of 2
10:01.0,,,28-23,,J. Henson enters the game for M. Beasley
9:54.0,,,28-24,,Personal foul by G. Antetokounmpo (drawn by C. Watson)
9:40.0,Turnover by D. Rudez (bad pass; steal by M. Dellavedova),,28-24,,
9:37.0,,,28-24,,Shooting foul by C. Watson (drawn by G. Antetokounmpo)
9:37.0,,,28-25,1,G. Antetokounmpo makes free throw 1 of 2
9:37.0,Orlando full timeout,,28-25,,
9:37.0,,,28-26,1,G. Antetokounmpo makes free throw 2 of 2
9:20.0,D. Rudez misses 3-pt shot from 26 ft,,28-26,,
9:19.0,Offensive rebound by Team,,28-26,,
9:19.0,,,28-26,,Loose ball foul by J. Henson (drawn by B. Biyombo)
9:19.0,B. Biyombo misses free throw 1 of 2,,28-26,,
9:19.0,Offensive rebound by Team,,28-26,,
9:19.0,B. Biyombo makes free throw 2 of 2,1,29-26,,
9:10.0,,,29-26,,Turnover by M. Dellavedova (bad pass; steal by C. Watson)
9:04.0,D. Augustin misses 3-pt shot from 26 ft,,29-26,,
9:03.0,Offensive rebound by B. Biyombo,,29-26,,
9:01.0,B. Biyombo misses 2-pt shot from 1 ft (block by G. Antetokounmpo),,29-26,,
8:58.0,Offensive rebound by D. Augustin,,29-26,,
8:50.0,C. Watson makes 3-pt shot from 25 ft (assist by D. Augustin),3,32-26,,
8:39.0,,,32-28,2,J. Henson makes 2-pt shot from 5 ft (assist by G. Antetokounmpo)
8:27.0,Turnover by D. Rudez (bad pass; steal by G. Antetokounmpo),,32-28,,
8:26.0,Personal take foul by D. Augustin (drawn by G. Antetokounmpo),,32-28,,
8:26.0,,,32-28,,G. Monroe enters the game for J. Henson
8:26.0,S. Ibaka enters the game for D. Rudez,,32-28,,
8:20.0,,,32-28,,Turnover by G. Antetokounmpo (palming)
8:06.0,A. Gordon misses 3-pt shot from 26 ft,,32-28,,
8:04.0,Offensive rebound by B. Biyombo,,32-28,,
8:04.0,B. Biyombo makes 2-pt shot at rim,2,34-28,,
7:48.0,,,34-28,,J. Parker misses 2-pt shot from 16 ft
7:47.0,Defensive rebound by A. Gordon,,34-28,,
7:39.0,B. Biyombo makes 2-pt shot at rim (assist by D. Augustin),2,36-28,,
7:20.0,,,36-30,2,M. Dellavedova makes 2-pt shot from 20 ft
6:52.0,Turnover by A. Gordon (bad pass; steal by J. Terry),,36-30,,
6:47.0,,,36-32,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by J. Terry)
6:32.0,S. Ibaka makes 2-pt shot from 11 ft (assist by C. Watson),2,38-32,,
6:19.0,,,38-34,2,J. Parker makes 2-pt shot at rim (assist by G. Antetokounmpo)
5:56.0,S. Ibaka makes 2-pt shot from 1 ft,2,40-34,,
5:36.0,,,40-34,,G. Antetokounmpo misses 2-pt shot from 4 ft (block by S. Ibaka)
5:35.0,Defensive rebound by B. Biyombo,,40-34,,
5:29.0,A. Gordon misses 3-pt shot from 24 ft,,40-34,,
5:28.0,,,40-34,,Defensive rebound by J. Terry
5:11.0,,,40-34,,G. Monroe misses 2-pt shot from 1 ft
5:09.0,Defensive rebound by B. Biyombo,,40-34,,
5:04.0,Turnover by D. Augustin (bad pass; steal by G. Antetokounmpo),,40-34,,
4:58.0,,,40-36,2,J. Terry makes 2-pt shot from 20 ft (assist by M. Dellavedova)
4:58.0,Orlando full timeout,,40-36,,
4:58.0,Official timeout,,40-36,,
4:58.0,E. Fournier enters the game for B. Biyombo,,40-36,,
4:58.0,N. Vucevic enters the game for D. Augustin,,40-36,,
4:58.0,E. Payton enters the game for C. Watson,,40-36,,
4:39.0,Turnover by E. Fournier (traveling),,40-36,,
4:39.0,,,40-36,,M. Brogdon enters the game for M. Dellavedova
4:24.0,,,40-36,,G. Monroe misses 2-pt shot from 3 ft
4:23.0,Defensive rebound by N. Vucevic,,40-36,,
4:11.0,Offensive charge foul by E. Fournier,,40-36,,
4:11.0,Turnover by E. Fournier (offensive foul),,40-36,,
4:11.0,J. Green enters the game for A. Gordon,,40-36,,
4:01.0,,,40-36,,J. Parker misses 2-pt shot from 14 ft
3:59.0,Defensive rebound by E. Fournier,,40-36,,
3:53.0,,,40-36,,Personal foul by G. Monroe (drawn by S. Ibaka)
3:53.0,S. Ibaka makes free throw 1 of 2,1,41-36,,
3:53.0,S. Ibaka makes free throw 2 of 2,1,42-36,,
3:38.0,,,42-36,,M. Brogdon misses 3-pt shot from 26 ft
3:37.0,Defensive rebound by J. Green,,42-36,,
3:27.0,N. Vucevic misses 2-pt shot from 5 ft (block by G. Monroe),,42-36,,
3:26.0,,,42-36,,Defensive rebound by J. Terry
3:21.0,,,42-36,,J. Parker misses 2-pt shot from 2 ft
3:20.0,Defensive rebound by S. Ibaka,,42-36,,
3:09.0,E. Fournier misses 3-pt shot from 25 ft,,42-36,,
3:08.0,,,42-36,,Defensive rebound by G. Monroe
2:53.0,,,42-36,,G. Monroe misses 2-pt shot from 4 ft
2:52.0,Defensive rebound by N. Vucevic,,42-36,,
2:46.0,J. Green misses 3-pt shot from 24 ft,,42-36,,
2:45.0,,,42-36,,Defensive rebound by G. Antetokounmpo
2:35.0,,,42-39,3,J. Parker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
2:21.0,S. Ibaka misses 2-pt shot from 14 ft,,42-39,,
2:20.0,,,42-39,,Defensive rebound by M. Brogdon
2:16.0,,,42-41,2,G. Monroe makes 2-pt shot at rim (assist by M. Brogdon)
1:56.0,Turnover by E. Payton (bad pass; steal by G. Monroe),,42-41,,
1:51.0,,,42-41,,J. Parker misses 2-pt shot from 4 ft (block by S. Ibaka)
1:48.0,,,42-41,,Offensive rebound by G. Antetokounmpo
1:48.0,,,42-43,2,G. Antetokounmpo makes 2-pt shot from 1 ft
1:48.0,Orlando full timeout,,42-43,,
1:25.0,Turnover by S. Ibaka (lost ball; steal by J. Terry),,42-43,,
1:23.0,,,42-43,,Shooting foul by S. Ibaka (drawn by G. Antetokounmpo)
1:23.0,,,42-44,1,G. Antetokounmpo makes free throw 1 of 2
1:23.0,,,42-45,1,G. Antetokounmpo makes free throw 2 of 2
1:12.0,S. Ibaka misses 2-pt shot at rim (block by J. Terry),,42-45,,
1:12.0,Offensive rebound by Team,,42-45,,
1:09.0,E. Fournier misses 2-pt shot from 16 ft,,42-45,,
1:08.0,,,42-45,,Defensive rebound by G. Monroe
0:55.0,,,42-45,,J. Terry misses 3-pt shot from 25 ft
0:54.0,Defensive rebound by N. Vucevic,,42-45,,
0:42.0,N. Vucevic misses 2-pt shot from 5 ft,,42-45,,
0:40.0,Offensive rebound by N. Vucevic,,42-45,,
0:39.0,N. Vucevic makes 2-pt shot from 1 ft,2,44-45,,
0:27.0,Shooting block foul by N. Vucevic (drawn by G. Antetokounmpo),,44-45,,
0:27.0,,,44-46,1,G. Antetokounmpo makes free throw 1 of 2
0:27.0,,,44-47,1,G. Antetokounmpo makes free throw 2 of 2
0:27.0,,,44-46,,T. Snell enters the game for J. Terry
0:03.0,Turnover by E. Fournier (lost ball; steal by T. Snell),,44-47,,
0:00.0,,,44-49,2,J. Parker makes 2-pt shot from 1 ft (assist by G. Antetokounmpo)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,J. Green misses 2-pt shot at rim,,44-49,,
11:42.0,,,44-49,,Defensive rebound by G. Antetokounmpo
11:26.0,,,44-49,,G. Antetokounmpo misses 3-pt shot from 24 ft
11:24.0,Defensive rebound by N. Vucevic,,44-49,,
11:13.0,N. Vucevic makes 2-pt shot from 17 ft (assist by J. Green),2,46-49,,
10:57.0,,,46-49,,J. Parker misses 3-pt shot from 24 ft
10:55.0,Defensive rebound by J. Green,,46-49,,
10:53.0,Shooting foul by M. Dellavedova (drawn by S. Ibaka),,46-49,,
10:53.0,S. Ibaka makes free throw 1 of 2,1,47-49,,
10:53.0,S. Ibaka makes free throw 2 of 2,1,48-49,,
10:32.0,,,48-49,,M. Dellavedova misses 3-pt shot from 25 ft
10:31.0,Defensive rebound by S. Ibaka,,48-49,,
10:20.0,Turnover by J. Green (lost ball; steal by G. Antetokounmpo),,48-49,,
10:12.0,,,48-49,,T. Snell misses 3-pt shot from 25 ft
10:11.0,Defensive rebound by S. Ibaka,,48-49,,
10:11.0,,,48-49,,Personal foul by G. Antetokounmpo (drawn by S. Ibaka)
9:53.0,S. Ibaka makes 3-pt shot from 25 ft (assist by E. Payton),3,51-49,,
9:40.0,,,51-52,3,J. Parker makes 3-pt shot from 25 ft (assist by G. Antetokounmpo)
9:26.0,E. Payton makes 2-pt shot at rim,2,53-52,,
9:05.0,,,53-52,,J. Henson misses 2-pt shot from 10 ft
9:04.0,Defensive rebound by E. Payton,,53-52,,
8:57.0,,,53-52,,Personal block foul by M. Dellavedova (drawn by S. Ibaka)
8:51.0,E. Payton misses 3-pt shot from 27 ft,,53-52,,
8:48.0,,,53-52,,Defensive rebound by G. Antetokounmpo
8:41.0,,,53-52,,Turnover by G. Antetokounmpo (bad pass)
8:28.0,N. Vucevic misses 2-pt shot from 18 ft,,53-52,,
8:27.0,,,53-52,,Defensive rebound by G. Antetokounmpo
8:14.0,,,53-55,3,J. Parker makes 3-pt shot from 25 ft (assist by M. Dellavedova)
7:51.0,E. Fournier makes 2-pt shot from 4 ft,2,55-55,,
7:41.0,,,55-58,3,J. Parker makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
7:21.0,N. Vucevic misses 2-pt shot from 6 ft (block by J. Henson),,55-58,,
7:20.0,,,55-58,,Defensive rebound by J. Parker
7:14.0,,,55-60,2,G. Antetokounmpo makes 2-pt shot at rim
7:14.0,Orlando full timeout,,55-60,,
7:03.0,Shooting foul by M. Dellavedova (drawn by E. Fournier),,55-60,,
7:03.0,E. Fournier makes free throw 1 of 2,1,56-60,,
7:03.0,E. Fournier makes free throw 2 of 2,1,57-60,,
7:03.0,,,56-60,,M. Brogdon enters the game for M. Dellavedova
6:54.0,Def 3 sec tech foul by N. Vucevic,,57-60,,
6:54.0,,,57-61,1,G. Antetokounmpo makes technical free throw
6:38.0,,,57-61,,G. Antetokounmpo misses 2-pt shot from 4 ft
6:38.0,,,57-61,,Offensive rebound by Team
6:38.0,,,57-61,,Turnover by Team (shot clock)
6:30.0,E. Payton makes 2-pt shot at rim (assist by J. Green),2,59-61,,
6:02.0,,,59-64,3,J. Parker makes 3-pt shot from 25 ft (assist by T. Snell)
5:50.0,J. Green makes 3-pt shot from 26 ft (assist by N. Vucevic),3,62-64,,
5:26.0,,,62-64,,J. Parker misses 3-pt shot from 25 ft
5:24.0,Defensive rebound by N. Vucevic,,62-64,,
5:19.0,Turnover by J. Green (traveling),,62-64,,
5:07.0,,,62-64,,M. Brogdon misses 3-pt shot from 24 ft
5:04.0,Defensive rebound by J. Green,,62-64,,
4:55.0,S. Ibaka misses 2-pt shot from 6 ft,,62-64,,
4:54.0,,,62-64,,Defensive rebound by G. Antetokounmpo
4:43.0,,,62-67,3,T. Snell makes 3-pt shot from 26 ft (assist by G. Antetokounmpo)
4:23.0,E. Fournier misses 2-pt shot at rim (block by J. Henson),,62-67,,
4:19.0,Offensive rebound by N. Vucevic,,62-67,,
4:16.0,Turnover by S. Ibaka (lost ball; steal by G. Antetokounmpo),,62-67,,
4:07.0,Violation by N. Vucevic (kicked ball),,62-67,,
4:07.0,,,62-67,,M. Plumlee enters the game for J. Henson
4:07.0,,,62-67,,M. Beasley enters the game for G. Antetokounmpo
4:07.0,A. Gordon enters the game for J. Green,,62-67,,
4:07.0,B. Biyombo enters the game for N. Vucevic,,62-67,,
3:53.0,,,62-67,,M. Brogdon misses 2-pt shot from 18 ft
3:52.0,,,62-67,,Offensive rebound by M. Beasley
3:49.0,,,62-67,,M. Beasley misses 2-pt shot from 14 ft
3:48.0,Defensive rebound by E. Payton,,62-67,,
3:32.0,,,62-67,,Personal block foul by M. Beasley (drawn by E. Payton)
3:32.0,E. Payton misses free throw 1 of 2,,62-67,,
3:32.0,Offensive rebound by Team,,62-67,,
3:32.0,E. Payton misses free throw 2 of 2,,62-67,,
3:31.0,,,62-67,,Defensive rebound by T. Snell
3:14.0,,,62-69,2,M. Beasley makes 2-pt shot from 1 ft
2:57.0,E. Fournier makes 3-pt shot from 27 ft (assist by B. Biyombo),3,65-69,,
2:42.0,,,65-69,,Turnover by M. Plumlee (lost ball)
2:42.0,,,65-69,,Milwaukee full timeout
2:42.0,,,65-69,,J. Terry enters the game for T. Snell
2:23.0,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier),2,67-69,,
2:02.0,,,67-69,,M. Beasley misses 2-pt shot from 3 ft
2:00.0,,,67-69,,Offensive rebound by M. Plumlee
2:00.0,,,67-69,,M. Plumlee misses 2-pt shot from 1 ft
1:58.0,Defensive rebound by A. Gordon,,67-69,,
1:45.0,B. Biyombo makes 2-pt shot from 1 ft (assist by E. Payton),2,69-69,,
1:23.0,,,69-69,,J. Parker misses 2-pt shot from 16 ft
1:21.0,Defensive rebound by E. Payton,,69-69,,
1:13.0,S. Ibaka makes 2-pt shot from 11 ft (assist by E. Payton),2,71-69,,
0:56.0,,,71-69,,M. Beasley misses 3-pt shot from 23 ft
0:54.0,Defensive rebound by B. Biyombo,,71-69,,
0:50.0,Shooting foul by M. Plumlee (drawn by A. Gordon),,71-69,,
0:50.0,A. Gordon misses free throw 1 of 2,,71-69,,
0:50.0,Offensive rebound by Team,,71-69,,
0:50.0,A. Gordon makes free throw 2 of 2,1,72-69,,
0:50.0,,,71-69,,M. Teletovic enters the game for J. Parker
0:50.0,D. Augustin enters the game for E. Payton,,71-69,,
0:33.0,,,72-69,,M. Plumlee misses 2-pt shot from 7 ft
0:31.0,Defensive rebound by A. Gordon,,72-69,,
0:16.0,,,72-69,,Personal foul by M. Brogdon (drawn by D. Augustin)
0:16.0,D. Augustin makes free throw 1 of 2,1,73-69,,
0:16.0,D. Augustin makes free throw 2 of 2,1,74-69,,
0:05.0,Personal foul by D. Augustin (drawn by M. Brogdon),,74-69,,
0:01.0,,,74-69,,M. Brogdon misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by D. Augustin,,74-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,74-71,2,M. Brogdon makes 2-pt shot from 1 ft
11:52.0,,,74-71,,Shooting foul by A. Gordon (drawn by M. Brogdon)
11:52.0,,,74-72,1,M. Brogdon makes free throw 1 of 1
11:39.0,D. Augustin misses 3-pt shot from 23 ft,,74-72,,
11:38.0,,,74-72,,Defensive rebound by M. Teletovic
11:32.0,,,74-72,,M. Teletovic misses 3-pt shot from 25 ft
11:30.0,,,74-72,,Offensive rebound by M. Brogdon
11:26.0,,,74-74,2,M. Beasley makes 2-pt shot from 1 ft (assist by M. Brogdon)
10:57.0,A. Gordon makes 2-pt shot from 9 ft (assist by D. Augustin),2,76-74,,
10:42.0,,,76-74,,G. Antetokounmpo misses 2-pt shot at rim
10:40.0,Defensive rebound by B. Biyombo,,76-74,,
10:35.0,D. Augustin misses 2-pt shot from 2 ft,,76-74,,
10:33.0,,,76-74,,Defensive rebound by M. Teletovic
10:20.0,,,76-74,,M. Beasley misses 2-pt shot from 1 ft
10:18.0,Defensive rebound by A. Gordon,,76-74,,
10:04.0,Turnover by D. Augustin (bad pass; steal by G. Antetokounmpo),,76-74,,
10:00.0,,,76-76,2,G. Antetokounmpo makes 2-pt shot at rim
9:37.0,A. Gordon misses 3-pt shot from 24 ft,,76-76,,
9:37.0,Offensive rebound by Team,,76-76,,
9:37.0,,,76-76,,Loose ball foul by M. Teletovic (drawn by B. Biyombo)
9:22.0,J. Green misses 3-pt shot from 26 ft,,76-76,,
9:20.0,,,76-76,,Defensive rebound by M. Beasley
9:16.0,,,76-78,2,M. Teletovic makes 2-pt shot at rim (assist by G. Antetokounmpo)
8:52.0,D. Augustin misses 2-pt shot from 6 ft,,76-78,,
8:51.0,Offensive rebound by B. Biyombo,,76-78,,
8:49.0,B. Biyombo misses 2-pt shot from 2 ft,,76-78,,
8:48.0,,,76-78,,Defensive rebound by M. Teletovic
8:42.0,,,76-81,3,M. Teletovic makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
8:42.0,Orlando full timeout,,76-81,,
8:42.0,N. Vucevic enters the game for J. Green,,76-81,,
8:42.0,E. Payton enters the game for D. Augustin,,76-81,,
8:34.0,Offensive foul by B. Biyombo,,76-81,,
8:34.0,Turnover by B. Biyombo (offensive foul),,76-81,,
8:22.0,,,76-83,2,J. Terry makes 2-pt shot from 1 ft (assist by M. Brogdon)
8:12.0,,,76-83,,Personal foul by M. Beasley (drawn by E. Payton)
8:04.0,C. Watson misses 2-pt shot from 16 ft,,76-83,,
8:02.0,,,76-83,,Defensive rebound by M. Teletovic
7:52.0,,,76-83,,Shooting foul by C. Watson (drawn by M. Brogdon)
7:52.0,,,76-84,1,M. Brogdon makes free throw 1 of 2
7:52.0,,,76-85,1,M. Brogdon makes free throw 2 of 2
7:52.0,E. Fournier enters the game for C. Watson,,76-84,,
7:41.0,E. Payton misses 2-pt shot from 4 ft,,76-85,,
7:39.0,Offensive rebound by N. Vucevic,,76-85,,
7:39.0,N. Vucevic makes 2-pt shot from 1 ft,2,78-85,,
7:16.0,,,78-85,,M. Beasley misses 2-pt shot from 14 ft
7:15.0,,,78-85,,Offensive rebound by G. Antetokounmpo
7:15.0,Personal foul by E. Payton (drawn by G. Antetokounmpo),,78-85,,
6:54.0,,,78-85,,M. Teletovic misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by E. Payton,,78-85,,
6:40.0,B. Biyombo makes 2-pt shot at rim,2,80-85,,
6:19.0,,,80-85,,J. Terry misses 3-pt shot from 24 ft
6:19.0,,,80-85,,Offensive rebound by Team
6:19.0,Loose ball foul by N. Vucevic (drawn by M. Beasley),,80-85,,
6:19.0,S. Ibaka enters the game for A. Gordon,,80-85,,
6:19.0,J. Green enters the game for B. Biyombo,,80-85,,
6:09.0,,,80-85,,G. Antetokounmpo misses 2-pt shot from 19 ft
6:06.0,Defensive rebound by E. Payton,,80-85,,
5:42.0,N. Vucevic misses 3-pt shot from 25 ft,,80-85,,
5:41.0,Offensive rebound by J. Green,,80-85,,
5:17.0,E. Fournier makes 3-pt shot from 25 ft (assist by S. Ibaka),3,83-85,,
5:17.0,,,83-85,,Milwaukee full timeout
5:17.0,,,83-85,,T. Snell enters the game for M. Beasley
5:17.0,,,83-85,,J. Henson enters the game for M. Teletovic
5:17.0,,,83-85,,J. Parker enters the game for J. Terry
5:04.0,,,83-85,,J. Henson misses 2-pt shot from 6 ft
