time,Sacramento,pts.away,score,pts.home,LA Clippers
9:32.0,,,31-36,,Personal take foul by M. Speights (drawn by L. Galloway)
9:32.0,,,31-36,,C. Paul enters the game for W. Johnson
9:32.0,,,31-36,,B. Griffin enters the game for M. Speights
9:12.0,L. Galloway misses 2-pt shot from 15 ft,,31-36,,
9:10.0,Offensive rebound by L. Galloway,,31-36,,
9:10.0,Shooting foul by B. Bass (drawn by L. Galloway),,31-36,,
9:10.0,L. Galloway makes free throw 1 of 2,1,32-36,,
9:10.0,L. Galloway makes free throw 2 of 2,1,33-36,,
8:59.0,,,33-38,2,R. Felton makes 2-pt shot from 1 ft
8:48.0,B. McLemore makes 2-pt shot from 2 ft (assist by L. Galloway),2,35-38,,
8:33.0,,,35-38,,R. Felton misses 2-pt shot from 1 ft
8:33.0,Defensive rebound by B. Hield,,35-38,,
8:33.0,Sacramento full timeout,,35-38,,
8:12.0,B. Hield misses 2-pt shot from 14 ft,,35-38,,
8:08.0,,,35-38,,Defensive rebound by B. Bass
7:56.0,,,35-38,,B. Griffin misses 2-pt shot from 19 ft
7:54.0,Defensive rebound by B. Hield,,35-38,,
7:46.0,Turnover by B. Hield (lost ball),,35-38,,
7:46.0,W. Cauley-Stein enters the game for G. Papagiannis,,35-38,,
7:33.0,,,35-38,,Shooting foul by W. Cauley-Stein (drawn by B. Bass)
7:33.0,,,35-38,,B. Bass misses free throw 1 of 2
7:33.0,,,35-38,,Offensive rebound by Team
7:33.0,,,35-39,1,B. Bass makes free throw 2 of 2
7:20.0,L. Galloway makes 2-pt shot from 16 ft,2,37-39,,
7:03.0,,,37-39,,B. Griffin misses 3-pt shot from 26 ft
7:01.0,Defensive rebound by B. McLemore,,37-39,,
6:45.0,L. Galloway misses 2-pt shot from 17 ft,,37-39,,
6:44.0,,,37-39,,Defensive rebound by B. Griffin
6:41.0,,,37-39,,Shooting foul by L. Galloway (drawn by B. Bass)
6:41.0,,,37-40,1,B. Bass makes free throw 1 of 2
6:41.0,,,37-41,1,B. Bass makes free throw 2 of 2
6:41.0,,,37-40,,J. Redick enters the game for J. Crawford
6:41.0,,,37-40,,L. Mbah a Moute enters the game for R. Felton
6:29.0,B. McLemore makes 2-pt shot from 18 ft,2,39-41,,
6:11.0,,,39-41,,J. Redick misses 2-pt shot from 19 ft
6:09.0,Defensive rebound by B. McLemore,,39-41,,
6:01.0,B. McLemore misses 2-pt shot from 19 ft,,39-41,,
5:58.0,,,39-41,,Defensive rebound by B. Griffin
5:49.0,,,39-43,2,B. Griffin makes 2-pt shot from 2 ft (assist by J. Redick)
5:31.0,B. Hield misses 3-pt shot from 27 ft,,39-43,,
5:30.0,,,39-43,,Defensive rebound by Team
5:30.0,Official timeout,,39-43,,
5:30.0,,,39-43,,D. Jordan enters the game for B. Bass
5:30.0,G. Papagiannis enters the game for S. Labissiere,,39-43,,
5:03.0,,,39-43,,C. Paul misses 3-pt shot from 26 ft
5:02.0,Defensive rebound by W. Cauley-Stein,,39-43,,
4:47.0,Turnover by W. Cauley-Stein (lost ball; steal by B. Griffin),,39-43,,
4:33.0,,,39-45,2,L. Mbah a Moute makes 2-pt shot from 2 ft (assist by D. Jordan)
4:33.0,,,39-45,,Shooting foul by G. Papagiannis (drawn by L. Mbah a Moute)
4:33.0,,,39-45,,L. Mbah a Moute misses free throw 1 of 1
4:33.0,A. Afflalo enters the game for B. McLemore,,39-45,,
4:30.0,Defensive rebound by W. Cauley-Stein,,39-45,,
4:20.0,Turnover by G. Papagiannis (lost ball; steal by C. Paul),,39-45,,
4:14.0,,,39-48,3,J. Redick makes 3-pt shot from 26 ft (assist by C. Paul)
3:58.0,W. Cauley-Stein makes 2-pt shot from 14 ft (assist by L. Galloway),2,41-48,,
3:44.0,,,41-48,,Turnover by L. Mbah a Moute (lost ball)
3:38.0,W. Cauley-Stein misses 2-pt shot from 16 ft,,41-48,,
3:37.0,Jump ball: W. Cauley-Stein vs. D. Jordan (L. Galloway gains possession),,,,Jump ball: W. Cauley-Stein vs. D. Jordan (L. Galloway gains possession)
3:37.0,Offensive rebound by Team,,41-48,,
3:18.0,A. Afflalo makes 2-pt shot from 10 ft (assist by W. Cauley-Stein),2,43-48,,
3:02.0,,,43-48,,J. Redick misses 2-pt shot from 20 ft
2:57.0,,,43-48,,Offensive rebound by D. Jordan
2:57.0,,,43-50,2,D. Jordan makes 2-pt shot from 1 ft
2:44.0,L. Galloway misses 2-pt shot from 14 ft,,43-50,,
2:40.0,,,43-50,,Defensive rebound by J. Redick
2:37.0,,,43-53,3,L. Mbah a Moute makes 3-pt shot from 25 ft (assist by B. Griffin)
2:19.0,W. Cauley-Stein misses 2-pt shot from 18 ft,,43-53,,
2:16.0,,,43-53,,Defensive rebound by D. Jordan
2:06.0,,,43-53,,C. Paul misses 2-pt shot from 18 ft
2:04.0,Defensive rebound by W. Cauley-Stein,,43-53,,
1:44.0,L. Galloway misses 2-pt shot from 5 ft (block by D. Jordan),,43-53,,
1:39.0,Offensive rebound by G. Papagiannis,,43-53,,
1:39.0,G. Papagiannis makes 2-pt shot from 1 ft,2,45-53,,
1:20.0,,,45-53,,J. Redick misses 3-pt shot from 25 ft
1:18.0,Defensive rebound by L. Galloway,,45-53,,
1:18.0,Turnover by B. Hield (lost ball),,45-53,,
1:18.0,,,45-53,,LA Clippers full timeout
1:18.0,S. Labissiere enters the game for G. Papagiannis,,45-53,,
1:18.0,B. McLemore enters the game for B. Hield,,45-53,,
1:03.0,,,45-53,,B. Griffin misses 2-pt shot from 18 ft
1:00.0,,,45-53,,Offensive rebound by C. Paul
0:55.0,,,45-53,,C. Paul misses 2-pt shot from 19 ft
0:52.0,Defensive rebound by W. Cauley-Stein,,45-53,,
0:35.0,W. Cauley-Stein makes 2-pt shot from 22 ft,2,47-53,,
0:18.0,,,47-53,,B. Griffin misses 2-pt shot from 20 ft
0:16.0,Defensive rebound by W. Cauley-Stein,,47-53,,
0:03.0,L. Galloway misses 2-pt shot from 20 ft,,47-53,,
0:01.0,,,47-53,,Defensive rebound by C. Paul
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,W. Cauley-Stein makes 2-pt shot from 18 ft (assist by A. Afflalo),2,49-53,,
11:05.0,,,49-53,,B. Griffin misses 3-pt shot from 26 ft
11:03.0,,,49-53,,Offensive rebound by D. Jordan
10:57.0,,,49-56,3,C. Paul makes 3-pt shot from 26 ft (assist by J. Redick)
10:37.0,A. Afflalo makes 2-pt shot from 18 ft,2,51-56,,
10:24.0,,,51-56,,J. Redick misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by B. Hield,,51-56,,
10:19.0,S. Labissiere makes 2-pt shot at rim (assist by B. Hield),2,53-56,,
10:00.0,,,53-56,,Shooting foul by S. Labissiere (drawn by D. Jordan)
10:00.0,,,53-56,,D. Jordan misses free throw 1 of 2
10:00.0,,,53-56,,Offensive rebound by Team
10:00.0,,,53-57,1,D. Jordan makes free throw 2 of 2
9:43.0,Shooting foul by L. Mbah a Moute (drawn by S. Labissiere),,53-57,,
9:43.0,S. Labissiere makes free throw 1 of 2,1,54-57,,
9:43.0,S. Labissiere misses free throw 2 of 2,,54-57,,
9:39.0,,,54-57,,Defensive rebound by L. Mbah a Moute
9:27.0,,,54-59,2,J. Redick makes 2-pt shot from 20 ft (assist by C. Paul)
9:09.0,B. Hield makes 2-pt shot from 3 ft (assist by W. Cauley-Stein),2,56-59,,
8:46.0,,,56-61,2,D. Jordan makes 2-pt shot at rim (assist by C. Paul)
8:22.0,L. Galloway makes 3-pt shot from 25 ft (assist by A. Afflalo),3,59-61,,
8:04.0,,,59-63,2,J. Redick makes 2-pt shot from 18 ft (assist by B. Griffin)
7:55.0,Turnover by L. Galloway (bad pass),,59-63,,
7:36.0,,,59-65,2,D. Jordan makes 2-pt shot at rim (assist by B. Griffin)
7:12.0,S. Labissiere makes 2-pt shot from 17 ft,2,61-65,,
6:47.0,,,61-67,2,L. Mbah a Moute makes 2-pt shot at rim (assist by J. Redick)
6:22.0,A. Afflalo misses 2-pt shot from 15 ft (block by J. Redick),,61-67,,
6:22.0,Offensive rebound by Team,,61-67,,
6:21.0,Turnover by Team (shot clock),,61-67,,
5:59.0,,,61-69,2,B. Griffin makes 2-pt shot from 19 ft (assist by C. Paul)
5:47.0,,,61-69,,Personal foul by B. Griffin (drawn by S. Labissiere)
5:47.0,,,61-69,,LA Clippers full timeout
5:47.0,G. Papagiannis enters the game for W. Cauley-Stein,,61-69,,
5:47.0,B. McLemore enters the game for B. Hield,,61-69,,
5:32.0,S. Labissiere misses 2-pt shot from 2 ft (block by D. Jordan),,61-69,,
5:30.0,,,61-69,,Defensive rebound by J. Redick
5:26.0,,,61-69,,B. Griffin misses 2-pt shot from 1 ft
5:25.0,,,61-69,,Offensive rebound by Team
5:17.0,,,61-72,3,J. Redick makes 3-pt shot from 27 ft (assist by C. Paul)
5:00.0,Shooting foul by D. Jordan (drawn by L. Galloway),,61-72,,
5:00.0,L. Galloway makes free throw 1 of 2,1,62-72,,
5:00.0,L. Galloway makes free throw 2 of 2,1,63-72,,
4:50.0,,,63-72,,Shooting foul by B. McLemore (drawn by B. Griffin)
4:50.0,,,63-73,1,B. Griffin makes free throw 1 of 2
4:50.0,,,63-74,1,B. Griffin makes free throw 2 of 2
4:34.0,A. Afflalo misses 2-pt shot from 13 ft,,63-74,,
4:29.0,,,63-74,,Defensive rebound by D. Jordan
4:22.0,,,63-76,2,B. Griffin makes 2-pt shot from 2 ft (assist by C. Paul)
4:07.0,A. Afflalo makes 2-pt shot from 16 ft,2,65-76,,
3:50.0,,,65-76,,J. Redick misses 2-pt shot from 20 ft
3:48.0,Defensive rebound by S. Labissiere,,65-76,,
3:40.0,Shooting foul by D. Jordan (drawn by B. McLemore),,65-76,,
3:40.0,B. McLemore makes free throw 1 of 2,1,66-76,,
3:40.0,B. McLemore makes free throw 2 of 2,1,67-76,,
3:40.0,B. Hield enters the game for L. Galloway,,66-76,,
3:40.0,,,66-76,,J. Crawford enters the game for L. Mbah a Moute
3:30.0,,,67-76,,Turnover by C. Paul (bad pass; steal by B. McLemore)
3:25.0,B. McLemore misses 2-pt shot at rim,,67-76,,
3:20.0,Offensive rebound by B. Hield,,67-76,,
3:19.0,B. Hield misses 2-pt shot from 18 ft,,67-76,,
3:17.0,Offensive rebound by B. McLemore,,67-76,,
3:02.0,S. Labissiere misses 2-pt shot from 18 ft,,67-76,,
3:02.0,,,67-76,,Defensive rebound by C. Paul
3:02.0,Personal take foul by B. Hield (drawn by C. Paul),,67-76,,
3:02.0,,,67-76,,M. Speights enters the game for D. Jordan
2:47.0,,,67-76,,B. Griffin misses 2-pt shot from 2 ft
2:42.0,,,67-76,,Offensive rebound by B. Griffin
2:42.0,,,67-78,2,B. Griffin makes 2-pt shot from 1 ft
2:41.0,Sacramento full timeout,,67-78,,
2:41.0,W. Cauley-Stein enters the game for S. Labissiere,,67-78,,
2:31.0,B. McLemore misses 2-pt shot from 11 ft,,67-78,,
2:29.0,Offensive rebound by W. Cauley-Stein,,67-78,,
2:29.0,W. Cauley-Stein misses 2-pt shot from 1 ft,,67-78,,
2:26.0,,,67-78,,Defensive rebound by B. Griffin
2:20.0,,,67-81,3,C. Paul makes 3-pt shot from 24 ft (assist by B. Griffin)
1:53.0,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by B. Hield),2,69-81,,
1:30.0,,,69-83,2,C. Paul makes 2-pt shot from 14 ft (assist by B. Griffin)
1:10.0,W. Cauley-Stein makes 2-pt shot from 1 ft (assist by B. Hield),2,71-83,,
0:48.0,,,71-83,,Shooting foul by B. Hield (drawn by C. Paul)
0:48.0,,,71-84,1,C. Paul makes free throw 1 of 2
0:48.0,,,71-85,1,C. Paul makes free throw 2 of 2
0:48.0,,,71-84,,R. Felton enters the game for J. Redick
0:29.0,Shooting foul by M. Speights (drawn by A. Afflalo),,71-85,,
0:29.0,A. Afflalo makes free throw 1 of 2,1,72-85,,
0:29.0,A. Afflalo makes free throw 2 of 2,1,73-85,,
0:29.0,L. Galloway enters the game for G. Papagiannis,,72-85,,
0:08.0,,,73-85,,Shooting foul by B. McLemore (drawn by J. Crawford)
0:08.0,,,73-86,1,J. Crawford makes free throw 1 of 2
0:08.0,,,73-87,1,J. Crawford makes free throw 2 of 2
0:08.0,,,73-86,,L. Mbah a Moute enters the game for C. Paul
0:02.0,L. Galloway misses 2-pt shot from 16 ft,,73-87,,
0:00.0,Offensive rebound by Team,,73-87,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,73-89,2,J. Crawford makes 2-pt shot from 15 ft
11:20.0,W. Cauley-Stein misses 2-pt shot from 16 ft,,73-89,,
11:19.0,,,73-89,,Defensive rebound by L. Mbah a Moute
11:10.0,,,73-89,,R. Felton misses 2-pt shot from 20 ft
11:07.0,Defensive rebound by W. Cauley-Stein,,73-89,,
10:50.0,G. Papagiannis misses 2-pt shot from 17 ft,,73-89,,
10:49.0,,,73-89,,Defensive rebound by M. Speights
10:32.0,,,73-91,2,D. Jordan makes 2-pt shot at rim (assist by J. Crawford)
10:18.0,B. Hield makes 2-pt shot from 5 ft,2,75-91,,
10:18.0,,,75-91,,Shooting block foul by M. Speights (drawn by B. Hield)
10:18.0,B. Hield misses free throw 1 of 1,,75-91,,
10:16.0,,,75-91,,Defensive rebound by D. Jordan
10:05.0,,,75-91,,J. Crawford misses 2-pt shot from 2 ft
10:03.0,Defensive rebound by W. Cauley-Stein,,75-91,,
10:03.0,,,75-91,,Loose ball foul by M. Speights (drawn by W. Cauley-Stein)
9:45.0,L. Galloway makes 2-pt shot from 19 ft (assist by G. Papagiannis),2,77-91,,
9:31.0,,,77-91,,Turnover by M. Speights (bad pass)
9:17.0,Turnover by G. Papagiannis (bad pass),,77-91,,
9:03.0,,,77-94,3,J. Crawford makes 3-pt shot from 24 ft (assist by M. Speights)
8:51.0,W. Cauley-Stein makes 2-pt shot from 17 ft (assist by L. Galloway),2,79-94,,
8:32.0,,,79-94,,J. Crawford misses 2-pt shot from 2 ft
8:29.0,,,79-94,,Offensive rebound by D. Jordan
8:28.0,,,79-96,2,D. Jordan makes 2-pt shot from 2 ft
8:21.0,Offensive foul by W. Cauley-Stein,,79-96,,
8:21.0,Turnover by W. Cauley-Stein (offensive foul),,79-96,,
8:21.0,Official timeout,,79-96,,
8:21.0,A. Afflalo enters the game for B. Hield,,79-96,,
8:02.0,,,79-96,,M. Speights misses 3-pt shot from 25 ft
8:01.0,Defensive rebound by B. McLemore,,79-96,,
7:51.0,B. McLemore makes 2-pt shot from 3 ft (assist by W. Cauley-Stein),2,81-96,,
7:35.0,,,81-98,2,J. Crawford makes 2-pt shot from 19 ft
7:11.0,G. Papagiannis makes 2-pt shot from 2 ft,2,83-98,,
6:54.0,,,83-98,,Turnover by L. Mbah a Moute (lost ball; steal by L. Galloway)
6:54.0,,,83-98,,Personal take foul by D. Jordan (drawn by L. Galloway)
6:54.0,S. Labissiere enters the game for G. Papagiannis,,83-98,,
6:42.0,B. McLemore misses 2-pt shot from 20 ft,,83-98,,
6:40.0,,,83-98,,Defensive rebound by D. Jordan
6:26.0,,,83-100,2,M. Speights makes 2-pt shot from 3 ft (assist by J. Crawford)
6:17.0,Turnover by L. Galloway (bad pass; steal by R. Felton),,83-100,,
6:11.0,,,83-100,,M. Speights misses 3-pt shot from 26 ft
6:10.0,,,83-100,,Offensive rebound by D. Jordan
6:07.0,,,83-100,,Turnover by M. Speights (lost ball)
6:07.0,,,83-100,,C. Paul enters the game for R. Felton
6:07.0,,,83-100,,B. Griffin enters the game for M. Speights
5:55.0,S. Labissiere misses 3-pt shot from 27 ft,,83-100,,
5:54.0,,,83-100,,Defensive rebound by D. Jordan
5:52.0,Personal foul by S. Labissiere (drawn by B. Griffin),,83-100,,
5:52.0,,,83-100,,LA Clippers full timeout
5:43.0,,,83-102,2,J. Crawford makes 2-pt shot from 11 ft
5:18.0,W. Cauley-Stein misses 2-pt shot from 9 ft,,83-102,,
5:15.0,,,83-102,,Defensive rebound by B. Griffin
5:10.0,,,83-104,2,L. Mbah a Moute makes 2-pt shot from 20 ft (assist by C. Paul)
4:52.0,B. McLemore misses 3-pt shot from 27 ft,,83-104,,
4:50.0,Offensive rebound by W. Cauley-Stein,,83-104,,
4:45.0,W. Cauley-Stein makes 2-pt shot from 13 ft,2,85-104,,
4:28.0,,,85-104,,Shooting foul by B. McLemore (drawn by J. Crawford)
4:28.0,,,85-105,1,J. Crawford makes free throw 1 of 2
4:28.0,,,85-106,1,J. Crawford makes free throw 2 of 2
4:28.0,B. Hield enters the game for A. Afflalo,,85-105,,
4:28.0,G. Papagiannis enters the game for W. Cauley-Stein,,85-105,,
4:12.0,B. McLemore misses 3-pt shot from 27 ft,,85-106,,
4:07.0,,,85-106,,Defensive rebound by D. Jordan
3:54.0,,,85-106,,C. Paul misses 2-pt shot from 16 ft
3:51.0,Defensive rebound by B. McLemore,,85-106,,
3:37.0,B. Hield makes 2-pt shot from 2 ft (assist by B. McLemore),2,87-106,,
3:13.0,,,87-108,2,C. Paul makes 2-pt shot from 11 ft
2:46.0,L. Galloway makes 3-pt shot from 27 ft (assist by G. Papagiannis),3,90-108,,
2:24.0,,,90-110,2,B. Griffin makes 2-pt shot from 7 ft
2:24.0,,,90-110,,Shooting foul by G. Papagiannis (drawn by B. Griffin)
2:24.0,Sacramento full timeout,,90-110,,
2:24.0,,,90-111,1,B. Griffin makes free throw 1 of 1
2:24.0,,,90-110,,R. Felton enters the game for D. Jordan
2:24.0,,,90-110,,M. Speights enters the game for C. Paul
2:24.0,,,90-110,,W. Johnson enters the game for L. Mbah a Moute
2:23.0,,,90-111,,Personal take foul by R. Felton (drawn by L. Galloway)
2:23.0,,,90-111,,B. Bass enters the game for B. Griffin
2:23.0,,,90-111,,P. Pierce enters the game for J. Crawford
2:02.0,B. Hield misses 3-pt shot from 25 ft,,90-111,,
2:02.0,,,90-111,,Defensive rebound by Team
1:51.0,,,90-111,,P. Pierce misses 3-pt shot from 25 ft
1:49.0,Defensive rebound by B. McLemore,,90-111,,
1:37.0,B. McLemore makes 3-pt shot from 24 ft (assist by L. Galloway),3,93-111,,
1:17.0,,,93-111,,B. Bass misses 2-pt shot from 12 ft
1:16.0,,,93-111,,Offensive rebound by M. Speights
1:16.0,,,93-113,2,M. Speights makes 2-pt shot from 1 ft
1:03.0,S. Labissiere misses 2-pt shot from 16 ft,,93-113,,
1:02.0,Offensive rebound by B. Hield,,93-113,,
0:59.0,B. Hield makes 2-pt shot from 3 ft,2,95-113,,
0:47.0,,,95-113,,P. Pierce misses 3-pt shot from 28 ft
0:46.0,Defensive rebound by L. Galloway,,95-113,,
0:40.0,,,95-113,,Personal take foul by R. Felton (drawn by B. McLemore)
0:40.0,B. McLemore misses free throw 1 of 2,,95-113,,
0:40.0,Offensive rebound by Team,,95-113,,
0:40.0,B. McLemore misses free throw 2 of 2,,95-113,,
0:40.0,,,95-113,,J. Crawford enters the game for P. Pierce
