time,Milwaukee,pts.away,score,pts.home,Dallas
5:01.0,J. Parker makes 2-pt shot from 9 ft,2,39-33,,
4:47.0,Shooting block foul by J. Parker (drawn by H. Barnes),,39-33,,
4:47.0,,,39-34,1,H. Barnes makes free throw 1 of 2
4:47.0,,,39-35,1,H. Barnes makes free throw 2 of 2
4:26.0,J. Parker misses 2-pt shot from 20 ft,,39-35,,
4:25.0,,,39-35,,Defensive rebound by H. Barnes
4:15.0,,,39-35,,W. Matthews misses 3-pt shot from 22 ft
4:14.0,,,39-35,,Offensive rebound by H. Barnes
3:57.0,,,39-37,2,H. Barnes makes 2-pt shot from 20 ft
3:44.0,Turnover by J. Henson (traveling),,39-37,,
3:30.0,Violation by J. Parker (def goaltending),,39-37,,
3:30.0,,,39-39,2,H. Barnes makes 2-pt shot from 5 ft
3:21.0,Offensive charge foul by T. Snell,,39-39,,
3:21.0,Turnover by T. Snell (offensive foul),,39-39,,
3:06.0,,,39-42,3,J. Barea makes 3-pt shot from 25 ft (assist by H. Barnes)
3:05.0,Milwaukee full timeout,,39-42,,
2:50.0,Turnover by M. Teletovic (bad pass; steal by H. Barnes),,39-42,,
2:38.0,,,39-44,2,A. Bogut makes 2-pt shot at rim (assist by J. Barea)
2:19.0,M. Dellavedova misses 2-pt shot from 16 ft,,39-44,,
2:18.0,,,39-44,,Defensive rebound by J. Barea
2:00.0,,,39-44,,D. Finney-Smith misses 3-pt shot from 22 ft
1:59.0,Defensive rebound by M. Teletovic,,39-44,,
1:45.0,Offensive foul by J. Parker,,39-44,,
1:45.0,Turnover by J. Parker (offensive foul),,39-44,,
1:32.0,,,39-44,,W. Matthews misses 3-pt shot from 24 ft
1:31.0,Defensive rebound by M. Teletovic,,39-44,,
1:20.0,T. Snell misses 3-pt shot from 25 ft,,39-44,,
1:19.0,,,39-44,,Defensive rebound by A. Bogut
1:07.0,,,39-46,2,H. Barnes makes 2-pt shot from 19 ft (assist by J. Barea)
0:49.0,J. Parker misses 3-pt shot from 25 ft,,39-46,,
0:48.0,Offensive rebound by Team,,39-46,,
0:39.0,J. Parker misses 2-pt shot from 8 ft,,39-46,,
0:38.0,,,39-46,,Defensive rebound by W. Matthews
0:31.0,,,39-46,,J. Barea misses 3-pt shot from 26 ft
0:31.0,,,39-46,,Offensive rebound by H. Barnes
0:31.0,,,39-46,,Shooting foul by J. Parker (drawn by H. Barnes)
0:31.0,,,39-47,1,H. Barnes makes free throw 1 of 2
0:31.0,,,39-47,,H. Barnes misses free throw 2 of 2
0:30.0,Defensive rebound by J. Henson,,39-47,,
0:11.0,Offensive foul by T. Snell,,39-47,,
0:11.0,Turnover by T. Snell (offensive foul),,39-47,,
0:06.0,,,39-47,,Offensive foul by A. Bogut
0:06.0,,,39-47,,Turnover by A. Bogut (offensive foul)
0:01.0,,,39-47,,Personal foul by A. Bogut (drawn by M. Dellavedova)
0:00.0,M. Teletovic misses 3-pt shot from 30 ft,,39-47,,
0:00.0,Offensive rebound by Team,,39-47,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,39-49,2,H. Barnes makes 2-pt shot from 6 ft
11:30.0,J. Parker misses 2-pt shot from 2 ft,,39-49,,
11:29.0,Offensive rebound by J. Parker,,39-49,,
11:27.0,G. Antetokounmpo makes 3-pt shot from 26 ft,3,42-49,,
11:04.0,,,42-49,,J. Barea misses 3-pt shot from 24 ft
11:03.0,Defensive rebound by G. Antetokounmpo,,42-49,,
10:52.0,T. Snell misses 3-pt shot from 23 ft,,42-49,,
10:51.0,,,42-49,,Defensive rebound by J. Barea
10:34.0,,,42-49,,H. Barnes misses 2-pt shot from 19 ft
10:33.0,Defensive rebound by M. Dellavedova,,42-49,,
10:19.0,Turnover by M. Dellavedova (bad pass; steal by D. Finney-Smith),,42-49,,
10:13.0,Personal foul by M. Dellavedova (drawn by H. Barnes),,42-49,,
10:02.0,,,42-49,,H. Barnes misses 2-pt shot from 12 ft
10:01.0,Defensive rebound by G. Antetokounmpo,,42-49,,
9:47.0,T. Snell makes 2-pt shot from 9 ft (assist by M. Dellavedova),2,44-49,,
9:19.0,,,44-49,,W. Matthews misses 2-pt shot from 19 ft
9:18.0,,,44-49,,Offensive rebound by D. Finney-Smith
8:56.0,,,44-49,,Turnover by H. Barnes (bad pass; steal by G. Antetokounmpo)
8:55.0,,,44-49,,Personal take foul by J. Barea
8:45.0,J. Parker misses 2-pt shot from 18 ft,,44-49,,
8:44.0,,,44-49,,Defensive rebound by A. Bogut
8:21.0,,,44-49,,Shooting foul by T. Snell
8:21.0,,,44-50,1,J. Barea makes free throw 1 of 2
8:21.0,,,44-51,1,J. Barea makes free throw 2 of 2
8:21.0,,,44-50,,D. Powell enters the game for A. Bogut
8:13.0,Shooting foul by D. Powell (drawn by G. Antetokounmpo),,44-51,,
8:13.0,G. Antetokounmpo makes free throw 1 of 2,1,45-51,,
8:13.0,G. Antetokounmpo misses free throw 2 of 2,,45-51,,
8:11.0,,,45-51,,Defensive rebound by D. Powell
7:48.0,,,45-51,,W. Matthews misses 2-pt shot from 19 ft
7:47.0,Defensive rebound by J. Parker,,45-51,,
7:39.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,45-51,,
7:38.0,,,45-51,,Defensive rebound by H. Barnes
7:29.0,,,45-53,2,J. Barea makes 2-pt shot from 11 ft
7:13.0,Turnover by M. Dellavedova (bad pass; steal by W. Matthews),,45-53,,
7:06.0,,,45-53,,W. Matthews misses 3-pt shot from 24 ft
7:05.0,Defensive rebound by T. Snell,,45-53,,
7:04.0,,,45-53,,Personal foul by D. Powell (drawn by T. Snell)
6:56.0,,,45-53,,Personal foul by D. Finney-Smith (drawn by M. Plumlee)
6:44.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,47-53,,
6:33.0,,,47-53,,Offensive charge foul by J. Barea
6:33.0,,,47-53,,Turnover by J. Barea (offensive foul)
6:33.0,,,47-53,,S. Curry enters the game for J. Barea
6:27.0,Turnover by J. Parker (step out of bounds),,47-53,,
6:06.0,,,47-53,,S. Curry misses 3-pt shot from 24 ft
6:05.0,Defensive rebound by M. Plumlee,,47-53,,
6:01.0,Turnover by T. Snell (offensive foul),,47-53,,
6:01.0,Offensive charge foul by T. Snell,,47-53,,
5:48.0,,,47-53,,Dallas full timeout
5:48.0,,,47-53,,A. Bogut enters the game for H. Barnes
5:47.0,M. Brogdon enters the game for M. Dellavedova,,47-53,,
5:42.0,,,47-55,2,S. Curry makes 2-pt shot from 6 ft
5:21.0,Shooting foul by A. Bogut (drawn by M. Brogdon),,47-55,,
5:21.0,M. Brogdon makes free throw 1 of 2,1,48-55,,
5:21.0,M. Brogdon makes free throw 2 of 2,1,49-55,,
5:21.0,,,48-55,,S. Mejri enters the game for A. Bogut
5:21.0,,,48-55,,J. Barea enters the game for D. Finney-Smith
5:03.0,,,49-55,,S. Mejri misses 2-pt shot from 21 ft
5:02.0,Defensive rebound by J. Parker,,49-55,,
4:50.0,M. Plumlee makes 2-pt shot at rim (assist by T. Snell),2,51-55,,
4:29.0,,,51-55,,Turnover by D. Powell (bad pass)
4:18.0,M. Brogdon makes 2-pt shot from 14 ft,2,53-55,,
4:05.0,,,53-55,,H. Barnes enters the game for D. Powell
4:04.0,,,53-55,,H. Barnes misses 2-pt shot from 6 ft
4:03.0,Defensive rebound by T. Snell,,53-55,,
3:57.0,Turnover by J. Parker (lost ball),,53-55,,
3:57.0,G. Monroe enters the game for M. Plumlee,,53-55,,
3:57.0,J. Terry enters the game for T. Snell,,53-55,,
3:42.0,,,53-55,,Turnover by J. Barea (bad pass; steal by G. Antetokounmpo)
3:25.0,Turnover by G. Antetokounmpo (lost ball; steal by S. Mejri),,53-55,,
3:17.0,,,53-55,,W. Matthews misses 3-pt shot from 23 ft
3:16.0,,,53-55,,Offensive rebound by S. Mejri
3:13.0,,,53-55,,S. Mejri misses 2-pt shot at rim (block by G. Antetokounmpo)
3:13.0,Defensive rebound by Team,,53-55,,
3:13.0,,,53-55,,Loose ball foul by S. Mejri (drawn by M. Brogdon)
3:13.0,M. Brogdon misses free throw 1 of 2,,53-55,,
3:13.0,Offensive rebound by Team,,53-55,,
3:13.0,M. Brogdon makes free throw 2 of 2,1,54-55,,
2:51.0,,,54-57,2,S. Mejri makes 2-pt shot at rim (assist by J. Barea)
2:28.0,J. Parker makes 2-pt shot from 1 ft,2,56-57,,
2:15.0,,,56-57,,J. Barea misses 2-pt shot from 10 ft
2:14.0,Defensive rebound by G. Antetokounmpo,,56-57,,
2:00.0,Turnover by G. Monroe (bad pass; steal by J. Barea),,56-57,,
1:43.0,,,56-59,2,H. Barnes makes 2-pt shot from 17 ft
1:29.0,J. Parker misses 2-pt shot from 2 ft,,56-59,,
1:27.0,,,56-59,,Defensive rebound by S. Mejri
1:16.0,,,56-59,,Turnover by S. Mejri (lost ball; steal by M. Brogdon)
1:00.0,J. Terry misses 3-pt shot from 23 ft,,56-59,,
0:59.0,,,56-59,,Defensive rebound by S. Mejri
0:34.0,,,56-59,,J. Barea misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by J. Parker,,56-59,,
0:32.0,Milwaukee full timeout,,56-59,,
0:32.0,,,56-59,,D. Finney-Smith enters the game for S. Curry
0:32.0,M. Teletovic enters the game for J. Parker,,56-59,,
0:25.0,Offensive charge foul by G. Antetokounmpo,,56-59,,
0:25.0,Turnover by G. Antetokounmpo (offensive foul),,56-59,,
0:25.0,T. Snell enters the game for G. Antetokounmpo,,56-59,,
0:06.0,,,56-59,,J. Barea misses 2-pt shot from 7 ft
0:05.0,Defensive rebound by G. Monroe,,56-59,,
0:00.0,M. Brogdon misses 2-pt shot from 21 ft,,56-59,,
0:00.0,Offensive rebound by Team,,56-59,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,Shooting foul by D. Powell (drawn by G. Monroe),,56-59,,
11:41.0,G. Monroe makes free throw 1 of 2,1,57-59,,
11:41.0,G. Monroe makes free throw 2 of 2,1,58-59,,
11:24.0,,,58-59,,D. Finney-Smith misses 2-pt shot from 4 ft
11:23.0,,,58-59,,Offensive rebound by D. Powell
11:16.0,,,58-59,,H. Barnes misses 2-pt shot from 21 ft
11:15.0,Defensive rebound by G. Monroe,,58-59,,
10:54.0,Turnover by G. Monroe (traveling),,58-59,,
10:54.0,,,58-59,,A. Bogut enters the game for D. Powell
10:44.0,,,58-59,,H. Barnes misses 2-pt shot at rim
10:43.0,Defensive rebound by J. Terry,,58-59,,
10:37.0,M. Teletovic makes 3-pt shot from 25 ft (assist by J. Terry),3,61-59,,
10:10.0,,,61-59,,Turnover by A. Bogut (lost ball; steal by G. Monroe)
10:10.0,,,61-59,,Personal take foul by A. Bogut (drawn by G. Monroe)
9:55.0,J. Terry misses 2-pt shot from 5 ft,,61-59,,
9:54.0,Offensive rebound by Team,,61-59,,
9:51.0,M. Teletovic misses 2-pt shot from 6 ft (block by D. Finney-Smith),,61-59,,
9:49.0,Offensive rebound by M. Teletovic,,61-59,,
9:47.0,M. Teletovic misses 3-pt shot from 22 ft,,61-59,,
9:45.0,,,61-59,,Defensive rebound by J. Barea
9:33.0,,,61-59,,D. Finney-Smith misses 3-pt shot from 23 ft
9:31.0,Defensive rebound by G. Monroe,,61-59,,
9:13.0,J. Terry misses 2-pt shot from 16 ft,,61-59,,
9:12.0,,,61-59,,Defensive rebound by J. Barea
9:01.0,,,61-59,,Turnover by D. Finney-Smith (lost ball; steal by G. Monroe)
8:56.0,M. Teletovic makes 3-pt shot from 24 ft (assist by J. Terry),3,64-59,,
8:55.0,,,64-59,,Dallas full timeout
8:54.0,,,64-59,,W. Matthews enters the game for S. Curry
8:41.0,,,64-62,3,H. Barnes makes 3-pt shot from 23 ft (assist by A. Bogut)
8:20.0,M. Teletovic misses 3-pt shot from 25 ft,,64-62,,
8:19.0,,,64-62,,Defensive rebound by A. Bogut
8:06.0,,,64-62,,H. Barnes misses 2-pt shot from 11 ft
8:05.0,Defensive rebound by G. Monroe,,64-62,,
7:51.0,M. Brogdon makes 2-pt shot from 11 ft,2,66-62,,
7:32.0,,,66-62,,W. Matthews misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by G. Monroe,,66-62,,
7:10.0,T. Snell misses 3-pt shot from 24 ft,,66-62,,
7:09.0,,,66-62,,Defensive rebound by A. Bogut
7:03.0,,,66-62,,J. Barea misses 2-pt shot from 14 ft
7:00.0,Defensive rebound by J. Terry,,66-62,,
6:57.0,Turnover by M. Brogdon (bad pass; steal by W. Matthews),,66-62,,
6:55.0,,,66-62,,W. Matthews misses 3-pt shot from 23 ft
6:55.0,,,66-62,,Offensive rebound by D. Finney-Smith
6:55.0,Loose ball foul by M. Teletovic (drawn by D. Finney-Smith),,66-62,,
6:55.0,M. Dellavedova enters the game for M. Brogdon,,66-62,,
6:48.0,,,66-62,,A. Bogut misses 2-pt shot from 6 ft
6:47.0,Defensive rebound by G. Monroe,,66-62,,
6:39.0,Offensive foul by G. Monroe,,66-62,,
6:39.0,Turnover by G. Monroe (offensive foul),,66-62,,
6:24.0,,,66-62,,J. Barea misses 3-pt shot from 25 ft
6:22.0,Defensive rebound by J. Terry,,66-62,,
6:16.0,G. Monroe makes 2-pt shot from 1 ft (assist by J. Terry),2,68-62,,
6:15.0,,,68-62,,Dallas full timeout
6:01.0,,,68-62,,W. Matthews misses 3-pt shot from 25 ft
6:00.0,Defensive rebound by M. Teletovic,,68-62,,
5:44.0,J. Terry misses 3-pt shot from 24 ft,,68-62,,
5:43.0,,,68-62,,Defensive rebound by A. Bogut
5:28.0,,,68-62,,H. Barnes misses 2-pt shot from 17 ft
5:27.0,Defensive rebound by Team,,68-62,,
5:15.0,G. Monroe misses 2-pt shot from 18 ft,,68-62,,
5:14.0,,,68-62,,Defensive rebound by A. Bogut
4:57.0,,,68-62,,J. Barea misses 2-pt shot from 1 ft
4:55.0,Defensive rebound by G. Monroe,,68-62,,
4:45.0,T. Snell misses 3-pt shot from 24 ft,,68-62,,
4:44.0,Offensive rebound by M. Teletovic,,68-62,,
4:28.0,M. Dellavedova misses 2-pt shot from 13 ft,,68-62,,
4:27.0,Offensive rebound by Team,,68-62,,
4:27.0,,,68-62,,S. Curry enters the game for D. Finney-Smith
4:19.0,M. Teletovic misses 2-pt shot from 18 ft,,68-62,,
4:18.0,,,68-62,,Defensive rebound by A. Bogut
4:12.0,G. Antetokounmpo enters the game for M. Teletovic,,68-62,,
4:12.0,J. Parker enters the game for T. Snell,,68-62,,
3:59.0,,,68-65,3,W. Matthews makes 3-pt shot from 24 ft (assist by H. Barnes)
3:36.0,M. Dellavedova misses 2-pt shot from 8 ft,,68-65,,
3:35.0,,,68-65,,Defensive rebound by A. Bogut
3:23.0,,,68-65,,W. Matthews misses 3-pt shot from 25 ft
3:22.0,Defensive rebound by G. Antetokounmpo,,68-65,,
3:22.0,Milwaukee full timeout,,68-65,,
2:58.0,G. Antetokounmpo misses 3-pt shot from 24 ft,,68-65,,
2:57.0,,,68-65,,Defensive rebound by A. Bogut
2:43.0,,,68-67,2,H. Barnes makes 2-pt shot from 18 ft
2:26.0,G. Monroe makes 2-pt shot from 1 ft (assist by G. Antetokounmpo),2,70-67,,
2:08.0,,,70-69,2,H. Barnes makes 2-pt shot from 1 ft
1:56.0,G. Antetokounmpo misses 2-pt shot from 1 ft,,70-69,,
1:55.0,Offensive rebound by G. Antetokounmpo,,70-69,,
1:54.0,G. Antetokounmpo makes 2-pt shot from 2 ft,2,72-69,,
1:37.0,,,72-69,,H. Barnes misses 2-pt shot from 10 ft
1:36.0,,,72-69,,Offensive rebound by A. Bogut
1:34.0,,,72-69,,A. Bogut misses 2-pt shot from 3 ft
1:33.0,,,72-69,,Offensive rebound by A. Bogut
1:31.0,,,72-69,,Turnover by A. Bogut (bad pass; steal by J. Parker)
1:16.0,G. Antetokounmpo misses 2-pt shot from 20 ft,,72-69,,
1:15.0,,,72-69,,Defensive rebound by J. Barea
1:07.0,,,72-71,2,J. Barea makes 2-pt shot from 3 ft
1:07.0,,,72-71,,Shooting foul by J. Parker
1:07.0,,,72-72,1,J. Barea makes free throw 1 of 1
0:49.0,J. Terry misses 2-pt shot from 19 ft,,72-72,,
0:48.0,Offensive rebound by G. Antetokounmpo,,72-72,,
0:37.0,,,72-72,,Personal foul by W. Matthews (drawn by J. Parker)
0:37.0,Milwaukee full timeout,,72-72,,
0:36.0,,,72-72,,D. Finney-Smith enters the game for S. Curry
0:28.0,G. Antetokounmpo makes 2-pt shot at rim,2,74-72,,
