time,Atlanta,pts.away,score,pts.home,Washington
8:06.0,Defensive rebound by P. Millsap,,11-9,,
7:57.0,Offensive foul by P. Millsap,,11-9,,
7:57.0,Turnover by P. Millsap (offensive foul),,11-9,,
7:45.0,,,11-11,2,B. Beal makes 2-pt shot from 6 ft
7:24.0,D. Schroder misses 2-pt shot from 12 ft,,11-11,,
7:23.0,Offensive rebound by D. Howard,,11-11,,
7:18.0,D. Howard makes 2-pt shot from 1 ft,2,13-11,,
7:12.0,,,13-11,,Turnover by J. Wall (bad pass; steal by D. Schroder)
7:06.0,T. Hardaway misses 3-pt shot from 25 ft,,13-11,,
7:05.0,,,13-11,,Defensive rebound by M. Morris
6:50.0,,,13-13,2,M. Morris makes 2-pt shot from 18 ft (assist by J. Wall)
6:31.0,Shooting foul by B. Beal (drawn by T. Hardaway),,13-13,,
6:31.0,T. Hardaway misses free throw 1 of 2,,13-13,,
6:31.0,Offensive rebound by Team,,13-13,,
6:31.0,T. Hardaway misses free throw 2 of 2,,13-13,,
6:31.0,,,13-13,,Defensive rebound by O. Porter
6:15.0,,,13-15,2,M. Morris makes 2-pt shot from 5 ft (assist by J. Wall)
6:15.0,Atlanta full timeout,,13-15,,
5:55.0,P. Millsap makes 2-pt shot from 16 ft (assist by D. Schroder),2,15-15,,
5:34.0,,,15-15,,M. Morris misses 2-pt shot from 2 ft
5:33.0,Defensive rebound by D. Howard,,15-15,,
5:28.0,D. Schroder makes 3-pt shot from 25 ft (assist by D. Howard),3,18-15,,
5:14.0,,,18-15,,J. Wall misses 2-pt shot from 16 ft
5:13.0,Defensive rebound by P. Millsap,,18-15,,
5:02.0,P. Millsap misses 3-pt shot from 26 ft,,18-15,,
5:02.0,Offensive rebound by Team,,18-15,,
5:02.0,,,18-15,,Loose ball foul by M. Gortat (drawn by D. Howard)
5:02.0,,,18-15,,J. Smith enters the game for M. Morris
5:02.0,K. Bazemore enters the game for T. Hardaway,,18-15,,
5:02.0,M. Dunleavy enters the game for T. Waller-Prince,,18-15,,
5:00.0,Turnover by K. Bazemore (bad pass; steal by O. Porter),,18-15,,
4:54.0,,,18-15,,B. Beal misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by D. Howard,,18-15,,
4:37.0,P. Millsap misses 2-pt shot from 18 ft,,18-15,,
4:36.0,,,18-15,,Defensive rebound by O. Porter
4:17.0,,,18-15,,J. Smith misses 2-pt shot from 11 ft (block by D. Howard)
4:16.0,Defensive rebound by D. Howard,,18-15,,
4:04.0,D. Howard misses 2-pt shot from 8 ft,,18-15,,
4:02.0,,,18-15,,Defensive rebound by M. Gortat
4:00.0,,,18-15,,Offensive foul by J. Wall
4:00.0,,,18-15,,Turnover by J. Wall (offensive foul)
4:00.0,,,18-15,,K. Oubre enters the game for O. Porter
4:00.0,E. Ilyasova enters the game for P. Millsap,,18-15,,
3:50.0,D. Schroder makes 3-pt shot from 27 ft,3,21-15,,
3:39.0,,,21-15,,B. Beal misses 2-pt shot from 20 ft
3:38.0,,,21-15,,Offensive rebound by K. Oubre
3:33.0,,,21-15,,J. Smith misses 3-pt shot from 22 ft
3:32.0,Defensive rebound by E. Ilyasova,,21-15,,
3:17.0,D. Schroder misses 2-pt shot from 2 ft,,21-15,,
3:16.0,Offensive rebound by E. Ilyasova,,21-15,,
3:15.0,E. Ilyasova misses 2-pt shot from 2 ft,,21-15,,
3:14.0,,,21-15,,Defensive rebound by K. Oubre
3:07.0,Personal foul by D. Schroder (drawn by J. Wall),,21-15,,
3:07.0,M. Muscala enters the game for D. Howard,,21-15,,
3:07.0,,,21-15,,B. Bogdanovic enters the game for M. Gortat
3:07.0,J. Calderon enters the game for D. Schroder,,21-15,,
3:01.0,,,21-17,2,B. Beal makes 2-pt shot from 1 ft
2:44.0,K. Bazemore misses 2-pt shot from 18 ft,,21-17,,
2:43.0,,,21-17,,Defensive rebound by J. Smith
2:36.0,,,21-17,,J. Wall misses 3-pt shot from 27 ft
2:35.0,,,21-17,,Offensive rebound by B. Bogdanovic
2:30.0,,,21-17,,K. Oubre misses 3-pt shot from 25 ft
2:30.0,Defensive rebound by J. Calderon,,21-17,,
2:13.0,E. Ilyasova misses 2-pt shot from 3 ft (block by K. Oubre),,21-17,,
2:12.0,Offensive rebound by Team,,21-17,,
2:12.0,,,21-17,,Washington full timeout
2:12.0,,,21-17,,B. Jennings enters the game for J. Wall
2:08.0,K. Bazemore makes 2-pt shot from 14 ft (assist by E. Ilyasova),2,23-17,,
1:49.0,,,23-17,,Shooting foul by M. Muscala (drawn by J. Smith)
1:49.0,,,23-17,,J. Smith misses free throw 1 of 2
1:49.0,,,23-17,,Offensive rebound by Team
1:49.0,,,23-18,1,J. Smith makes free throw 2 of 2
1:34.0,E. Ilyasova misses 2-pt shot at rim,,23-18,,
1:34.0,Offensive rebound by E. Ilyasova,,23-18,,
1:33.0,E. Ilyasova makes 2-pt shot from 2 ft,2,25-18,,
1:20.0,,,25-20,2,B. Bogdanovic makes 2-pt shot from 20 ft (assist by K. Oubre)
1:04.0,Turnover by K. Bazemore (bad pass; steal by B. Beal),,25-20,,
0:54.0,,,25-20,,B. Beal misses 2-pt shot from 21 ft
0:53.0,Defensive rebound by M. Dunleavy,,25-20,,
0:46.0,K. Bazemore misses 2-pt shot from 1 ft (block by B. Beal),,25-20,,
0:46.0,Offensive rebound by Team,,25-20,,
0:37.0,,,25-20,,Personal foul by B. Jennings (drawn by J. Calderon)
0:29.0,K. Bazemore misses 3-pt shot from 26 ft,,25-20,,
0:28.0,,,25-20,,Defensive rebound by B. Beal
0:09.0,,,25-23,3,K. Oubre makes 3-pt shot from 22 ft (assist by B. Beal)
0:03.0,E. Ilyasova misses 3-pt shot from 28 ft,,25-23,,
0:02.0,,,25-23,,Defensive rebound by B. Bogdanovic
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:48.0,M. Dunleavy makes 3-pt shot from 27 ft (assist by J. Calderon),3,28-23,,
11:21.0,,,28-23,,J. Smith misses 3-pt shot from 31 ft
11:20.0,Defensive rebound by P. Millsap,,28-23,,
11:10.0,Turnover by P. Millsap (bad pass; steal by B. Beal),,28-23,,
11:06.0,,,28-23,,Shooting foul by K. Bazemore (drawn by B. Beal)
11:06.0,,,28-23,,B. Beal misses free throw 1 of 2
11:06.0,,,28-23,,Offensive rebound by Team
11:06.0,,,28-24,1,B. Beal makes free throw 2 of 2
10:47.0,K. Bazemore misses 2-pt shot from 3 ft (block by J. Smith),,28-24,,
10:45.0,,,28-24,,Defensive rebound by Team
10:29.0,,,28-24,,J. Smith misses 2-pt shot from 20 ft
10:28.0,Defensive rebound by M. Muscala,,28-24,,
10:20.0,,,28-24,,Personal foul by B. Jennings (drawn by J. Calderon)
10:20.0,T. Hardaway enters the game for M. Dunleavy,,28-24,,
10:20.0,,,28-24,,M. Morris enters the game for J. Smith
10:20.0,,,28-24,,J. Wall enters the game for B. Beal
10:04.0,T. Hardaway misses 3-pt shot from 24 ft,,28-24,,
10:03.0,,,28-24,,Defensive rebound by J. Wall
9:56.0,,,28-24,,Turnover by B. Jennings (bad pass)
9:45.0,J. Calderon misses 3-pt shot from 25 ft,,28-24,,
9:44.0,Offensive rebound by Team,,28-24,,
9:36.0,M. Muscala makes 2-pt shot from 2 ft (assist by K. Bazemore),2,30-24,,
9:20.0,,,30-26,2,J. Wall makes 2-pt shot from 1 ft
9:20.0,,,30-26,,Shooting foul by P. Millsap (drawn by J. Wall)
9:20.0,,,30-27,1,J. Wall makes free throw 1 of 1
9:20.0,T. Waller-Prince enters the game for K. Bazemore,,30-26,,
9:20.0,,,30-26,,O. Porter enters the game for K. Oubre
9:09.0,,,30-27,,Shooting block foul by M. Morris (drawn by P. Millsap)
9:09.0,P. Millsap misses free throw 1 of 2,,30-27,,
9:09.0,Offensive rebound by Team,,30-27,,
9:09.0,P. Millsap makes free throw 2 of 2,1,31-27,,
8:58.0,,,31-27,,M. Morris misses 2-pt shot from 14 ft
8:57.0,Defensive rebound by T. Hardaway,,31-27,,
8:50.0,T. Hardaway makes 3-pt shot from 26 ft (assist by P. Millsap),3,34-27,,
8:49.0,,,34-27,,Washington full timeout
8:35.0,,,34-27,,B. Bogdanovic misses 2-pt shot from 19 ft
8:34.0,,,34-27,,Offensive rebound by O. Porter
8:30.0,,,34-29,2,O. Porter makes 2-pt shot from 23 ft
8:10.0,Turnover by T. Waller-Prince (bad pass; steal by B. Bogdanovic),,34-29,,
7:54.0,,,34-32,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by B. Jennings)
7:46.0,,,34-32,,Personal foul by M. Morris (drawn by P. Millsap)
7:46.0,D. Howard enters the game for M. Muscala,,34-32,,
7:46.0,D. Schroder enters the game for J. Calderon,,34-32,,
7:30.0,T. Waller-Prince misses 2-pt shot from 1 ft,,34-32,,
7:29.0,,,34-32,,Defensive rebound by M. Morris
7:25.0,,,34-32,,Shooting foul by D. Howard (drawn by O. Porter)
7:25.0,,,34-33,1,O. Porter makes free throw 1 of 2
7:25.0,,,34-34,1,O. Porter makes free throw 2 of 2
7:11.0,,,34-34,,Personal foul by O. Porter (drawn by P. Millsap)
6:58.0,Turnover by D. Howard (bad pass),,34-34,,
6:47.0,,,34-34,,M. Morris misses 2-pt shot from 16 ft
6:46.0,Defensive rebound by P. Millsap,,34-34,,
6:33.0,P. Millsap makes 2-pt shot from 15 ft (assist by D. Schroder),2,36-34,,
6:15.0,,,36-34,,B. Bogdanovic misses 2-pt shot from 11 ft
6:14.0,,,36-34,,Offensive rebound by B. Bogdanovic
6:14.0,Personal foul by D. Howard (drawn by B. Bogdanovic),,36-34,,
6:14.0,E. Ilyasova enters the game for P. Millsap,,36-34,,
6:14.0,,,36-34,,M. Gortat enters the game for B. Bogdanovic
6:06.0,,,36-36,2,J. Wall makes 2-pt shot from 16 ft
5:48.0,D. Schroder misses 2-pt shot from 14 ft,,36-36,,
5:47.0,Offensive rebound by E. Ilyasova,,36-36,,
5:46.0,E. Ilyasova misses 2-pt shot from 2 ft (block by O. Porter),,36-36,,
5:44.0,Offensive rebound by E. Ilyasova,,36-36,,
5:40.0,Turnover by E. Ilyasova (bad pass; steal by O. Porter),,36-36,,
5:36.0,,,36-38,2,M. Morris makes 2-pt shot at rim (assist by J. Wall)
5:36.0,Atlanta full timeout,,36-38,,
5:36.0,,,36-38,,B. Beal enters the game for B. Jennings
5:18.0,Shooting foul by M. Morris (drawn by D. Howard),,36-38,,
5:18.0,D. Howard misses free throw 1 of 2,,36-38,,
5:18.0,Offensive rebound by Team,,36-38,,
5:18.0,D. Howard misses free throw 2 of 2,,36-38,,
5:18.0,,,36-38,,B. Bogdanovic enters the game for M. Morris
5:17.0,,,36-38,,Defensive rebound by M. Gortat
4:56.0,,,36-38,,J. Wall misses 2-pt shot from 12 ft
4:56.0,,,36-38,,Offensive rebound by J. Wall
4:55.0,Violation by D. Howard (def goaltending),,36-38,,
4:55.0,,,36-40,2,J. Wall makes 2-pt shot from 4 ft
4:33.0,D. Schroder makes 3-pt shot from 27 ft,3,39-40,,
4:13.0,,,39-42,2,B. Beal makes 2-pt shot from 9 ft (assist by J. Wall)
3:49.0,T. Hardaway misses 3-pt shot from 29 ft,,39-42,,
3:48.0,,,39-42,,Defensive rebound by J. Wall
3:42.0,,,39-42,,Shooting foul by T. Waller-Prince (drawn by O. Porter)
3:42.0,,,39-42,,O. Porter misses free throw 1 of 2
3:42.0,,,39-42,,Offensive rebound by Team
3:42.0,,,39-43,1,O. Porter makes free throw 2 of 2
3:42.0,P. Millsap enters the game for T. Waller-Prince,,39-42,,
3:42.0,K. Bazemore enters the game for E. Ilyasova,,39-42,,
3:28.0,D. Schroder makes 2-pt shot from 2 ft,2,41-43,,
3:02.0,,,41-43,,J. Wall misses 3-pt shot from 27 ft
3:01.0,Defensive rebound by P. Millsap,,41-43,,
2:53.0,,,41-43,,Personal foul by O. Porter (drawn by D. Schroder)
2:53.0,Official timeout,,41-43,,
2:53.0,D. Schroder makes free throw 1 of 2,1,42-43,,
2:53.0,D. Schroder makes free throw 2 of 2,1,43-43,,
2:53.0,T. Waller-Prince enters the game for T. Hardaway,,41-43,,
2:31.0,,,43-45,2,J. Wall makes 2-pt shot from 4 ft
2:19.0,K. Bazemore misses 3-pt shot from 26 ft,,43-45,,
2:18.0,,,43-45,,Defensive rebound by O. Porter
2:13.0,,,43-48,3,B. Bogdanovic makes 3-pt shot from 26 ft (assist by O. Porter)
2:00.0,,,43-48,,Personal foul by J. Wall (drawn by T. Waller-Prince)
2:00.0,T. Waller-Prince makes free throw 1 of 2,1,44-48,,
2:00.0,T. Waller-Prince makes free throw 2 of 2,1,45-48,,
1:45.0,,,45-48,,B. Beal misses 3-pt shot from 24 ft
1:44.0,,,45-48,,Offensive rebound by Team
1:44.0,Loose ball foul by P. Millsap (drawn by O. Porter),,45-48,,
1:44.0,,,45-49,1,O. Porter makes free throw 1 of 2
1:44.0,,,45-50,1,O. Porter makes free throw 2 of 2
1:44.0,T. Hardaway enters the game for P. Millsap,,45-49,,
1:29.0,D. Howard makes 2-pt shot at rim (assist by T. Waller-Prince),2,47-50,,
1:11.0,,,47-50,,Turnover by J. Wall (bad pass; steal by D. Howard)
1:06.0,K. Bazemore makes 2-pt shot at rim (assist by T. Waller-Prince),2,49-50,,
0:43.0,,,49-50,,O. Porter misses 3-pt shot from 26 ft
0:42.0,Defensive rebound by D. Howard,,49-50,,
0:31.0,K. Bazemore misses 2-pt shot from 14 ft,,49-50,,
0:30.0,,,49-50,,Defensive rebound by M. Gortat
0:08.0,T. Sefolosha enters the game for D. Schroder,,49-50,,
0:08.0,,,49-50,,Washington full timeout
0:05.0,,,49-50,,Turnover by Team (shot clock)
0:05.0,,,49-50,,K. Oubre enters the game for J. Wall
0:05.0,,,49-50,,T. Satoransky enters the game for O. Porter
0:01.0,K. Bazemore misses 3-pt shot from 31 ft,,49-50,,
0:00.0,,,49-50,,Defensive rebound by K. Oubre
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:51.0,P. Millsap misses 2-pt shot from 16 ft,,49-50,,
11:50.0,,,49-50,,Defensive rebound by M. Gortat
11:32.0,,,49-50,,J. Wall misses 2-pt shot from 10 ft
11:31.0,Defensive rebound by P. Millsap,,49-50,,
11:19.0,T. Waller-Prince misses 3-pt shot from 24 ft,,49-50,,
11:18.0,,,49-50,,Defensive rebound by J. Wall
11:12.0,,,49-53,3,O. Porter makes 3-pt shot from 24 ft (assist by J. Wall)
10:50.0,D. Schroder misses 3-pt shot from 25 ft,,49-53,,
10:48.0,,,49-53,,Defensive rebound by O. Porter
10:34.0,,,49-56,3,O. Porter makes 3-pt shot from 27 ft (assist by J. Wall)
10:15.0,P. Millsap makes 2-pt shot from 15 ft (assist by D. Schroder),2,51-56,,
10:08.0,,,51-58,2,J. Wall makes 2-pt shot from 1 ft
9:55.0,D. Schroder misses 2-pt shot from 17 ft,,51-58,,
9:54.0,,,51-58,,Defensive rebound by M. Gortat
9:51.0,,,51-58,,Shooting foul by D. Howard (drawn by O. Porter)
9:51.0,,,51-59,1,O. Porter makes free throw 1 of 2
9:51.0,,,51-60,1,O. Porter makes free throw 2 of 2
9:38.0,T. Hardaway misses 2-pt shot from 13 ft,,51-60,,
9:38.0,Offensive rebound by Team,,51-60,,
9:38.0,,,51-60,,Loose ball foul by J. Wall (drawn by P. Millsap)
9:27.0,Shooting foul by M. Morris (drawn by P. Millsap),,51-60,,
9:27.0,P. Millsap makes free throw 1 of 2,1,52-60,,
9:27.0,P. Millsap makes free throw 2 of 2,1,53-60,,
9:27.0,,,52-60,,J. Smith enters the game for M. Morris
9:12.0,,,53-62,2,J. Wall makes 2-pt shot from 11 ft
8:56.0,T. Waller-Prince misses 3-pt shot from 26 ft,,53-62,,
8:55.0,Offensive rebound by D. Howard,,53-62,,
8:55.0,Shooting foul by M. Gortat (drawn by D. Howard),,53-62,,
8:55.0,D. Howard misses free throw 1 of 2,,53-62,,
8:55.0,Offensive rebound by Team,,53-62,,
8:55.0,D. Howard makes free throw 2 of 2,1,54-62,,
8:40.0,,,54-62,,J. Smith misses 3-pt shot from 26 ft
8:39.0,Defensive rebound by T. Waller-Prince,,54-62,,
8:32.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by D. Schroder),2,56-62,,
8:24.0,,,56-62,,B. Beal misses 2-pt shot from 2 ft
8:23.0,,,56-62,,Offensive rebound by J. Smith
8:22.0,,,56-64,2,J. Smith makes 2-pt shot from 2 ft
8:07.0,T. Waller-Prince makes 2-pt shot at rim (assist by P. Millsap),2,58-64,,
7:50.0,,,58-66,2,B. Beal makes 2-pt shot from 8 ft (assist by J. Wall)
7:37.0,P. Millsap misses 3-pt shot from 27 ft,,58-66,,
7:36.0,,,58-66,,Defensive rebound by M. Gortat
7:29.0,,,58-69,3,J. Wall makes 3-pt shot from 25 ft
7:29.0,Atlanta full timeout,,58-69,,
7:09.0,T. Hardaway makes 3-pt shot from 28 ft (assist by T. Waller-Prince),3,61-69,,
6:50.0,,,61-69,,M. Gortat misses 2-pt shot from 7 ft
6:49.0,Defensive rebound by D. Howard,,61-69,,
6:35.0,P. Millsap makes 2-pt shot from 8 ft (assist by D. Schroder),2,63-69,,
6:19.0,,,63-69,,J. Smith misses 2-pt shot from 4 ft
6:18.0,Defensive rebound by T. Waller-Prince,,63-69,,
6:12.0,T. Hardaway makes 3-pt shot from 29 ft (assist by D. Schroder),3,66-69,,
5:54.0,,,66-69,,B. Beal misses 3-pt shot from 24 ft
5:53.0,Defensive rebound by Team,,66-69,,
5:46.0,Shooting foul by B. Beal (drawn by D. Schroder),,66-69,,
5:46.0,D. Schroder misses free throw 1 of 2,,66-69,,
5:46.0,Offensive rebound by Team,,66-69,,
5:46.0,D. Schroder makes free throw 2 of 2,1,67-69,,
5:43.0,,,67-69,,Washington full timeout
5:43.0,K. Bazemore enters the game for T. Waller-Prince,,67-69,,
5:28.0,,,67-69,,J. Wall misses 2-pt shot from 12 ft
5:27.0,Defensive rebound by D. Howard,,67-69,,
5:14.0,Atlanta full timeout,,67-69,,
5:05.0,T. Hardaway makes 2-pt shot from 17 ft,2,69-69,,
4:48.0,,,69-71,2,B. Beal makes 2-pt shot from 11 ft (assist by J. Wall)
4:27.0,K. Bazemore misses 3-pt shot from 25 ft,,69-71,,
4:26.0,,,69-71,,Defensive rebound by J. Wall
4:21.0,,,69-71,,Shooting foul by T. Hardaway (drawn by O. Porter)
4:21.0,,,69-72,1,O. Porter makes free throw 1 of 2
4:21.0,,,69-73,1,O. Porter makes free throw 2 of 2
4:08.0,T. Hardaway misses 3-pt shot from 26 ft,,69-73,,
4:07.0,Offensive rebound by D. Schroder,,69-73,,
4:01.0,T. Hardaway makes 2-pt shot from 3 ft (assist by D. Schroder),2,71-73,,
3:46.0,,,71-75,2,B. Beal makes 2-pt shot from 12 ft (assist by J. Wall)
3:25.0,D. Schroder makes 2-pt shot from 16 ft,2,73-75,,
3:11.0,,,73-77,2,J. Smith makes 2-pt shot at rim (assist by J. Wall)
2:51.0,T. Hardaway misses 2-pt shot from 4 ft,,73-77,,
2:50.0,,,73-77,,Defensive rebound by Team
2:50.0,,,73-77,,B. Bogdanovic enters the game for O. Porter
2:50.0,E. Ilyasova enters the game for P. Millsap,,73-77,,
2:34.0,,,73-77,,Shooting foul by D. Howard (drawn by B. Beal)
2:34.0,,,73-78,1,B. Beal makes free throw 1 of 2
2:34.0,,,73-79,1,B. Beal makes free throw 2 of 2
2:34.0,M. Dunleavy enters the game for T. Hardaway,,73-78,,
2:34.0,M. Muscala enters the game for D. Howard,,73-78,,
2:21.0,K. Bazemore makes 2-pt shot from 2 ft,2,75-79,,
2:02.0,,,75-81,2,J. Wall makes 2-pt shot at rim
1:45.0,K. Bazemore misses 3-pt shot from 28 ft,,75-81,,
1:44.0,,,75-81,,Defensive rebound by J. Wall
1:38.0,,,75-81,,Shooting foul by E. Ilyasova (drawn by B. Bogdanovic)
1:38.0,,,75-82,1,B. Bogdanovic makes free throw 1 of 2
1:38.0,,,75-83,1,B. Bogdanovic makes free throw 2 of 2
1:38.0,,,75-82,,B. Jennings enters the game for J. Wall
1:22.0,Turnover by D. Schroder (lost ball; steal by B. Beal),,75-83,,
1:14.0,,,75-83,,J. Smith misses 2-pt shot from 15 ft
1:13.0,,,75-83,,Offensive rebound by M. Gortat
1:11.0,,,75-83,,M. Gortat misses 2-pt shot from 6 ft
1:10.0,Defensive rebound by E. Ilyasova,,75-83,,
1:01.0,D. Schroder makes 2-pt shot from 1 ft,2,77-83,,
0:49.0,,,77-83,,B. Beal misses 3-pt shot from 26 ft
0:48.0,Defensive rebound by Team,,77-83,,
0:33.0,D. Schroder misses 2-pt shot from 1 ft,,77-83,,
0:32.0,Offensive rebound by Team,,77-83,,
0:30.0,Shooting foul by B. Bogdanovic (drawn by M. Dunleavy),,77-83,,
0:30.0,M. Dunleavy makes free throw 1 of 2,1,78-83,,
0:30.0,M. Dunleavy makes free throw 2 of 2,1,79-83,,
0:30.0,J. Calderon enters the game for D. Schroder,,78-83,,
0:30.0,,,78-83,,J. Wall enters the game for J. Smith
0:30.0,T. Waller-Prince enters the game for E. Ilyasova,,78-83,,
0:07.0,,,79-83,,B. Beal misses 3-pt shot from 26 ft (block by T. Waller-Prince)
0:06.0,Defensive rebound by J. Calderon,,79-83,,
0:00.0,T. Waller-Prince misses 3-pt shot from 24 ft,,79-83,,
0:00.0,Offensive rebound by Team,,79-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,Shooting block foul by M. Dunleavy (drawn by B. Beal),,79-83,,
11:46.0,,,79-84,1,B. Beal makes free throw 1 of 2
11:46.0,,,79-84,,B. Beal misses free throw 2 of 2
11:45.0,Defensive rebound by K. Bazemore,,79-84,,
11:24.0,J. Calderon makes 2-pt shot from 2 ft,2,81-84,,
11:12.0,Personal foul by J. Calderon (drawn by M. Gortat),,81-84,,
11:00.0,,,81-84,,K. Oubre misses 3-pt shot from 26 ft
10:59.0,,,81-84,,Offensive rebound by B. Bogdanovic
10:58.0,,,81-84,,Shooting foul by M. Muscala (drawn by B. Bogdanovic)
10:58.0,,,81-85,1,B. Bogdanovic makes free throw 1 of 2
10:58.0,,,81-86,1,B. Bogdanovic makes free throw 2 of 2
10:37.0,M. Dunleavy misses 3-pt shot from 26 ft,,81-86,,
10:36.0,Offensive rebound by K. Bazemore,,81-86,,
10:32.0,M. Muscala makes 2-pt shot from 13 ft (assist by K. Bazemore),2,83-86,,
10:20.0,,,83-86,,Turnover by M. Gortat (lost ball)
10:20.0,P. Millsap enters the game for M. Muscala,,83-86,,
10:11.0,Turnover by J. Calderon (lost ball; steal by B. Jennings),,83-86,,
10:07.0,,,83-88,2,B. Jennings makes 2-pt shot from 1 ft
9:48.0,P. Millsap misses 2-pt shot from 7 ft (block by M. Gortat),,83-88,,
9:47.0,,,83-88,,Defensive rebound by B. Beal
9:35.0,,,83-90,2,B. Bogdanovic makes 2-pt shot from 1 ft (assist by B. Jennings)
9:34.0,Atlanta full timeout,,83-90,,
9:34.0,D. Schroder enters the game for J. Calderon,,83-90,,
9:34.0,D. Howard enters the game for K. Bazemore,,83-90,,
9:34.0,T. Waller-Prince enters the game for M. Dunleavy,,83-90,,
9:22.0,,,83-90,,Personal foul by B. Bogdanovic (drawn by P. Millsap)
9:15.0,D. Schroder misses 2-pt shot from 5 ft,,83-90,,
9:15.0,Offensive rebound by P. Millsap,,83-90,,
9:12.0,P. Millsap misses 2-pt shot from 4 ft,,83-90,,
9:11.0,,,83-90,,Defensive rebound by B. Beal
9:01.0,,,83-90,,B. Beal misses 3-pt shot from 28 ft
9:00.0,Defensive rebound by T. Waller-Prince,,83-90,,
8:49.0,P. Millsap misses 2-pt shot from 5 ft (block by B. Beal),,83-90,,
8:46.0,,,83-90,,Defensive rebound by B. Bogdanovic
8:37.0,,,83-92,2,K. Oubre makes 2-pt shot at rim (assist by B. Jennings)
8:21.0,Offensive foul by D. Howard,,83-92,,
8:21.0,Turnover by D. Howard (offensive foul),,83-92,,
8:21.0,,,83-92,,J. Wall enters the game for B. Beal
7:59.0,,,83-92,,J. Wall misses 2-pt shot from 17 ft
7:58.0,Defensive rebound by D. Howard,,83-92,,
7:39.0,M. Muscala enters the game for D. Howard,,83-92,,
7:35.0,P. Millsap makes 2-pt shot from 10 ft,2,85-92,,
7:17.0,,,85-92,,B. Bogdanovic misses 3-pt shot from 27 ft
7:17.0,,,85-92,,Offensive rebound by Team
7:17.0,Loose ball foul by M. Muscala (drawn by M. Gortat),,85-92,,
7:07.0,,,85-92,,M. Gortat misses 2-pt shot from 8 ft
7:07.0,Defensive rebound by Team,,85-92,,
6:52.0,Shooting foul by K. Oubre (drawn by P. Millsap),,85-92,,
6:52.0,P. Millsap makes free throw 1 of 2,1,86-92,,
6:52.0,P. Millsap makes free throw 2 of 2,1,87-92,,
6:46.0,,,87-92,,Turnover by J. Wall (lost ball; steal by D. Schroder)
6:20.0,D. Schroder makes 2-pt shot from 17 ft,2,89-92,,
6:09.0,Shooting block foul by D. Schroder (drawn by M. Gortat),,89-92,,
6:09.0,,,89-93,1,M. Gortat makes free throw 1 of 2
6:09.0,,,89-94,1,M. Gortat makes free throw 2 of 2
6:09.0,,,89-93,,B. Beal enters the game for B. Jennings
5:52.0,P. Millsap makes 2-pt shot from 2 ft (assist by D. Schroder),2,91-94,,
