time,Boston,pts.away,score,pts.home,Houston
8:34.0,,,5-5,2,C. Capela makes 2-pt shot from 2 ft (assist by J. Harden)
8:13.0,A. Horford makes 2-pt shot from 16 ft (assist by I. Thomas),2,7-5,,
7:54.0,,,7-7,2,T. Ariza makes 2-pt shot from 5 ft (assist by R. Anderson)
7:38.0,A. Horford misses 3-pt shot from 24 ft,,7-7,,
7:37.0,Offensive rebound by J. Jerebko,,7-7,,
7:21.0,I. Thomas makes 2-pt shot from 2 ft,2,9-7,,
7:08.0,,,9-7,,Shooting foul by A. Horford (drawn by J. Harden)
7:08.0,,,9-9,2,J. Harden makes 2-pt shot from 2 ft
7:08.0,,,9-10,1,J. Harden makes free throw 1 of 1
6:46.0,J. Crowder misses 2-pt shot from 22 ft,,9-10,,
6:45.0,,,9-10,,Defensive rebound by T. Ariza
6:40.0,,,9-12,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
6:20.0,J. Jerebko misses 3-pt shot from 25 ft,,9-12,,
6:19.0,,,9-12,,Defensive rebound by C. Capela
6:13.0,,,9-15,3,T. Ariza makes 3-pt shot from 25 ft (assist by R. Anderson)
5:56.0,A. Bradley misses 3-pt shot from 26 ft,,9-15,,
5:55.0,Offensive rebound by Team,,9-15,,
5:50.0,A. Johnson enters the game for A. Horford,,9-15,,
5:50.0,M. Smart enters the game for A. Bradley,,9-15,,
5:50.0,,,9-15,,E. Gordon enters the game for P. Beverley
5:43.0,J. Jerebko misses 2-pt shot from 11 ft,,9-15,,
5:42.0,,,9-15,,Defensive rebound by R. Anderson
5:32.0,,,9-15,,R. Anderson misses 3-pt shot from 25 ft
5:31.0,,,9-15,,Offensive rebound by C. Capela
5:24.0,,,9-15,,J. Harden misses 2-pt shot from 6 ft
5:23.0,,,9-15,,Offensive rebound by J. Harden
5:19.0,,,9-15,,Turnover by J. Harden (traveling)
5:03.0,M. Smart misses 2-pt shot from 20 ft,,9-15,,
5:02.0,Offensive rebound by Team,,9-15,,
4:51.0,,,9-15,,Personal foul by J. Harden (drawn by I. Thomas)
4:47.0,I. Thomas misses 3-pt shot from 25 ft,,9-15,,
4:46.0,,,9-15,,Defensive rebound by C. Capela
4:38.0,Personal foul by J. Jerebko (drawn by C. Capela),,9-15,,
4:38.0,K. Olynyk enters the game for J. Jerebko,,9-15,,
4:29.0,,,9-15,,Shooting foul by K. Olynyk (drawn by J. Harden)
4:29.0,,,9-16,1,J. Harden makes free throw 1 of 2
4:29.0,,,9-17,1,J. Harden makes free throw 2 of 2
4:29.0,,,9-16,,S. Dekker enters the game for R. Anderson
4:29.0,,,9-16,,N. Hilario enters the game for C. Capela
4:14.0,Turnover by K. Olynyk (traveling),,9-17,,
4:00.0,,,9-17,,T. Ariza misses 3-pt shot from 24 ft
3:59.0,Defensive rebound by J. Crowder,,9-17,,
3:51.0,J. Crowder misses 3-pt shot from 26 ft,,9-17,,
3:50.0,,,9-17,,Defensive rebound by T. Ariza
3:42.0,,,9-20,3,J. Harden makes 3-pt shot from 28 ft
3:39.0,Boston full timeout,,9-20,,
3:22.0,M. Smart makes 2-pt shot from 18 ft,2,11-20,,
2:54.0,,,11-20,,E. Gordon misses 3-pt shot from 32 ft
2:53.0,Defensive rebound by A. Johnson,,11-20,,
2:44.0,M. Smart misses 3-pt shot from 26 ft,,11-20,,
2:42.0,,,11-20,,Defensive rebound by T. Ariza
2:35.0,,,11-20,,T. Ariza misses 3-pt shot from 26 ft
2:33.0,,,11-20,,Offensive rebound by S. Dekker
2:33.0,,,11-20,,Offensive charge foul by S. Dekker
2:33.0,,,11-20,,Turnover by S. Dekker (offensive foul)
2:33.0,,,11-20,,C. Brewer enters the game for T. Ariza
2:23.0,J. Brown enters the game for I. Thomas,,11-20,,
2:23.0,,,11-20,,P. Beverley enters the game for J. Harden
2:13.0,J. Crowder makes 2-pt shot from 22 ft,2,13-20,,
1:59.0,,,13-20,,P. Beverley misses 3-pt shot from 25 ft
1:57.0,Defensive rebound by K. Olynyk,,13-20,,
1:55.0,,,13-20,,Personal foul by C. Brewer (drawn by K. Olynyk)
1:47.0,K. Olynyk misses 2-pt shot from 1 ft,,13-20,,
1:45.0,Offensive rebound by A. Johnson,,13-20,,
1:43.0,A. Johnson misses 2-pt shot from 4 ft,,13-20,,
1:42.0,,,13-20,,Defensive rebound by N. Hilario
1:38.0,,,13-20,,S. Dekker misses 2-pt shot from 6 ft
1:37.0,Defensive rebound by K. Olynyk,,13-20,,
1:25.0,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Crowder),2,15-20,,
1:18.0,,,15-20,,Shooting foul by A. Johnson (drawn by E. Gordon)
1:18.0,,,15-21,1,E. Gordon makes free throw 1 of 2
1:18.0,,,15-22,1,E. Gordon makes free throw 2 of 2
1:05.0,Turnover by A. Johnson (lost ball; steal by N. Hilario),,15-22,,
1:05.0,Personal foul by A. Johnson (drawn by N. Hilario),,15-22,,
1:05.0,,,15-23,1,N. Hilario makes free throw 1 of 2
1:05.0,,,15-23,,N. Hilario misses free throw 2 of 2
1:05.0,A. Horford enters the game for A. Johnson,,15-23,,
1:05.0,T. Rozier enters the game for J. Crowder,,15-23,,
1:04.0,Defensive rebound by K. Olynyk,,15-23,,
0:42.0,A. Horford misses 2-pt shot from 22 ft,,15-23,,
0:41.0,,,15-23,,Defensive rebound by S. Dekker
0:34.0,,,15-26,3,E. Gordon makes 3-pt shot from 27 ft
0:25.0,A. Horford makes 2-pt shot from 2 ft (assist by K. Olynyk),2,17-26,,
0:02.0,,,17-26,,N. Hilario misses 3-pt shot from 26 ft
0:01.0,Defensive rebound by K. Olynyk,,17-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:42.0,J. Brown makes 3-pt shot from 26 ft (assist by A. Horford),3,20-26,,
11:36.0,Personal block foul by M. Smart (drawn by E. Gordon),,20-26,,
11:13.0,,,20-26,,N. Hilario misses 2-pt shot from 2 ft (block by A. Horford)
11:11.0,Defensive rebound by T. Rozier,,20-26,,
11:07.0,J. Brown makes 2-pt shot from 2 ft (assist by T. Rozier),2,22-26,,
10:54.0,,,22-26,,E. Gordon misses 3-pt shot from 25 ft
10:53.0,Defensive rebound by J. Brown,,22-26,,
10:29.0,M. Smart misses 3-pt shot from 24 ft,,22-26,,
10:29.0,,,22-26,,Defensive rebound by Team
10:15.0,,,22-29,3,S. Dekker makes 3-pt shot from 25 ft (assist by E. Gordon)
9:59.0,,,22-29,,Violation by N. Hilario (kicked ball)
9:53.0,A. Horford misses 3-pt shot from 26 ft,,22-29,,
9:51.0,Offensive rebound by K. Olynyk,,22-29,,
9:49.0,K. Olynyk misses 2-pt shot from 2 ft,,22-29,,
9:47.0,,,22-29,,Defensive rebound by S. Dekker
9:43.0,,,22-29,,Shooting foul by K. Olynyk (drawn by E. Gordon)
9:43.0,,,22-29,,E. Gordon misses free throw 1 of 2
9:43.0,,,22-29,,Offensive rebound by Team
9:43.0,,,22-30,1,E. Gordon makes free throw 2 of 2
9:43.0,A. Bradley enters the game for K. Olynyk,,22-29,,
9:28.0,T. Rozier misses 3-pt shot from 25 ft,,22-30,,
9:27.0,,,22-30,,Defensive rebound by C. Brewer
9:21.0,,,22-30,,E. Gordon misses 3-pt shot from 26 ft
9:20.0,Defensive rebound by A. Horford,,22-30,,
9:07.0,M. Smart makes 2-pt shot from 11 ft,2,24-30,,
9:07.0,Shooting foul by E. Gordon (drawn by M. Smart),,24-30,,
9:07.0,M. Smart misses free throw 1 of 1,,24-30,,
9:07.0,,,24-30,,Defensive rebound by S. Dekker
8:44.0,,,24-30,,C. Brewer misses 3-pt shot from 27 ft
8:44.0,Defensive rebound by Team,,24-30,,
8:44.0,Official timeout,,24-30,,
8:44.0,,,24-30,,R. Anderson enters the game for E. Gordon
8:44.0,,,24-30,,C. Capela enters the game for N. Hilario
8:44.0,,,24-30,,J. Harden enters the game for C. Brewer
8:30.0,J. Brown misses 3-pt shot from 26 ft,,24-30,,
8:29.0,,,24-30,,Defensive rebound by J. Harden
8:21.0,,,24-30,,Shooting foul by J. Brown (drawn by R. Anderson)
8:21.0,,,24-31,1,R. Anderson makes free throw 1 of 2
8:21.0,,,24-32,1,R. Anderson makes free throw 2 of 2
7:56.0,T. Rozier makes 2-pt shot from 4 ft (assist by A. Horford),2,26-32,,
7:44.0,,,26-32,,J. Harden misses 2-pt shot from 4 ft
7:43.0,Defensive rebound by T. Rozier,,26-32,,
7:38.0,T. Rozier makes 2-pt shot from 2 ft,2,28-32,,
7:23.0,,,28-32,,S. Dekker misses 2-pt shot from 18 ft
7:22.0,Defensive rebound by A. Horford,,28-32,,
7:12.0,A. Bradley misses 2-pt shot from 4 ft,,28-32,,
7:11.0,Offensive rebound by A. Bradley,,28-32,,
7:11.0,A. Bradley makes 2-pt shot from 3 ft,2,30-32,,
7:02.0,Personal foul by A. Bradley (drawn by J. Harden),,30-32,,
7:02.0,,,30-32,,T. Ariza enters the game for S. Dekker
7:02.0,K. Olynyk enters the game for A. Horford,,30-32,,
7:02.0,I. Thomas enters the game for M. Smart,,30-32,,
6:55.0,,,30-32,,R. Anderson misses 3-pt shot from 28 ft
6:54.0,Defensive rebound by A. Bradley,,30-32,,
6:41.0,A. Bradley misses 3-pt shot from 25 ft,,30-32,,
6:39.0,,,30-32,,Defensive rebound by C. Capela
6:34.0,,,30-32,,T. Ariza misses 2-pt shot at rim
6:33.0,,,30-32,,Offensive rebound by T. Ariza
6:33.0,,,30-34,2,T. Ariza makes 2-pt shot from 2 ft
6:33.0,Boston full timeout,,30-34,,
6:33.0,J. Crowder enters the game for T. Rozier,,30-34,,
6:19.0,A. Bradley misses 2-pt shot from 21 ft,,30-34,,
6:18.0,,,30-34,,Defensive rebound by R. Anderson
5:59.0,,,30-34,,J. Harden misses 3-pt shot from 29 ft
5:58.0,Defensive rebound by A. Bradley,,30-34,,
5:48.0,K. Olynyk makes 3-pt shot from 26 ft,3,33-34,,
5:33.0,,,33-36,2,C. Capela makes 2-pt shot at rim (assist by J. Harden)
5:19.0,J. Crowder misses 2-pt shot from 17 ft,,33-36,,
5:18.0,,,33-36,,Defensive rebound by J. Harden
5:10.0,,,33-36,,Turnover by C. Capela (traveling)
5:10.0,,,33-36,,E. Gordon enters the game for P. Beverley
4:56.0,K. Olynyk makes 2-pt shot from 2 ft (assist by J. Crowder),2,35-36,,
4:43.0,,,35-36,,Turnover by J. Harden (lost ball; steal by I. Thomas)
4:39.0,J. Brown makes 2-pt shot from 2 ft (assist by I. Thomas),2,37-36,,
4:25.0,,,37-36,,Turnover by J. Harden (bad pass)
4:15.0,J. Brown misses 2-pt shot from 3 ft (block by R. Anderson),,37-36,,
4:15.0,Offensive rebound by Team,,37-36,,
4:15.0,,,37-36,,M. Harrell enters the game for C. Capela
4:11.0,I. Thomas misses 2-pt shot from 7 ft,,37-36,,
4:09.0,,,37-36,,Defensive rebound by J. Harden
4:07.0,,,37-36,,Turnover by J. Harden (bad pass; steal by K. Olynyk)
4:05.0,I. Thomas makes 2-pt shot from 3 ft,2,39-36,,
4:05.0,Shooting foul by M. Harrell (drawn by I. Thomas),,39-36,,
4:05.0,I. Thomas makes free throw 1 of 1,1,40-36,,
4:05.0,A. Horford enters the game for K. Olynyk,,39-36,,
3:52.0,,,40-39,3,E. Gordon makes 3-pt shot from 27 ft (assist by J. Harden)
3:32.0,A. Horford misses 3-pt shot from 26 ft,,40-39,,
3:30.0,,,40-39,,Defensive rebound by T. Ariza
3:23.0,,,40-42,3,J. Harden makes 3-pt shot from 26 ft
3:02.0,Turnover by A. Bradley (bad pass; steal by J. Harden),,40-42,,
2:53.0,,,40-42,,Shooting foul by A. Bradley (drawn by J. Harden)
2:53.0,,,40-42,,Houston full timeout
2:53.0,,,40-43,1,J. Harden makes free throw 1 of 2
2:53.0,,,40-44,1,J. Harden makes free throw 2 of 2
2:53.0,M. Smart enters the game for J. Brown,,40-42,,
2:40.0,J. Crowder makes 3-pt shot from 25 ft (assist by M. Smart),3,43-44,,
2:24.0,,,43-46,2,J. Harden makes 2-pt shot from 1 ft
2:06.0,A. Horford misses 2-pt shot from 23 ft,,43-46,,
2:04.0,,,43-46,,Defensive rebound by T. Ariza
2:00.0,,,43-46,,Shooting foul by M. Smart (drawn by J. Harden)
2:00.0,,,43-47,1,J. Harden makes free throw 1 of 3
2:00.0,,,43-48,1,J. Harden makes free throw 2 of 3
2:00.0,,,43-49,1,J. Harden makes free throw 3 of 3
1:37.0,A. Horford misses 2-pt shot from 9 ft,,43-49,,
1:36.0,,,43-49,,Defensive rebound by R. Anderson
1:26.0,,,43-49,,Turnover by J. Harden (bad pass; steal by A. Horford)
1:23.0,Offensive foul by I. Thomas,,43-49,,
1:23.0,Turnover by I. Thomas (offensive foul),,43-49,,
1:15.0,,,43-51,2,M. Harrell makes 2-pt shot from 2 ft (assist by E. Gordon)
1:15.0,,,43-51,,Shooting foul by I. Thomas (drawn by M. Harrell)
1:15.0,,,43-52,1,M. Harrell makes free throw 1 of 1
1:06.0,,,43-52,,Personal foul by R. Anderson (drawn by I. Thomas)
1:00.0,I. Thomas misses 2-pt shot from 16 ft,,43-52,,
0:58.0,,,43-52,,Defensive rebound by R. Anderson
0:54.0,,,43-52,,Turnover by J. Harden (bad pass; steal by I. Thomas)
0:49.0,A. Horford makes 2-pt shot from 1 ft (assist by J. Crowder),2,45-52,,
0:37.0,,,45-55,3,T. Ariza makes 3-pt shot from 27 ft (assist by J. Harden)
0:31.0,I. Thomas makes 3-pt shot from 25 ft,3,48-55,,
0:07.0,,,48-55,,Shooting foul by M. Smart (drawn by J. Harden)
0:07.0,,,48-56,1,J. Harden makes free throw 1 of 3
0:07.0,,,48-57,1,J. Harden makes free throw 2 of 3
0:07.0,,,48-58,1,J. Harden makes free throw 3 of 3
0:07.0,,,48-57,,P. Beverley enters the game for R. Anderson
0:01.0,I. Thomas misses 3-pt shot from 25 ft (block by E. Gordon),,48-58,,
0:00.0,,,48-58,,Defensive rebound by P. Beverley
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
12:00.0,Technical foul by I. Thomas,,48-58,,
12:00.0,,,48-59,1,J. Harden makes technical free throw
11:48.0,J. Crowder makes 2-pt shot at rim (assist by A. Horford),2,50-59,,
11:30.0,,,50-61,2,J. Harden makes 2-pt shot from 2 ft (assist by C. Capela)
11:14.0,I. Thomas makes 3-pt shot from 25 ft (assist by J. Crowder),3,53-61,,
10:59.0,,,53-63,2,C. Capela makes 2-pt shot from 2 ft (assist by R. Anderson)
10:46.0,I. Thomas misses 2-pt shot from 2 ft (block by C. Capela),,53-63,,
10:45.0,,,53-63,,Defensive rebound by C. Capela
10:34.0,,,53-65,2,C. Capela makes 2-pt shot from 8 ft (assist by P. Beverley)
10:09.0,A. Horford misses 2-pt shot from 14 ft,,53-65,,
10:08.0,Offensive rebound by J. Jerebko,,53-65,,
10:03.0,J. Crowder makes 3-pt shot from 25 ft (assist by A. Horford),3,56-65,,
9:52.0,,,56-65,,T. Ariza misses 3-pt shot from 24 ft
9:50.0,Defensive rebound by A. Bradley,,56-65,,
9:39.0,A. Bradley makes 2-pt shot from 2 ft (assist by A. Horford),2,58-65,,
9:17.0,,,58-65,,T. Ariza misses 3-pt shot from 25 ft
9:16.0,Defensive rebound by I. Thomas,,58-65,,
9:09.0,A. Bradley misses 2-pt shot from 7 ft (block by T. Ariza),,58-65,,
9:08.0,,,58-65,,Defensive rebound by P. Beverley
8:58.0,,,58-65,,R. Anderson misses 3-pt shot from 28 ft
8:57.0,Defensive rebound by A. Bradley,,58-65,,
8:45.0,I. Thomas makes 2-pt shot from 2 ft,2,60-65,,
8:32.0,,,60-65,,Turnover by J. Harden (traveling)
8:19.0,A. Bradley misses 2-pt shot from 7 ft (block by T. Ariza),,60-65,,
8:16.0,,,60-65,,Defensive rebound by C. Capela
8:09.0,,,60-65,,Turnover by P. Beverley (bad pass; steal by J. Jerebko)
8:07.0,,,60-65,,Personal block foul by T. Ariza (drawn by I. Thomas)
7:56.0,Shooting foul by C. Capela (drawn by A. Horford),,60-65,,
7:56.0,A. Horford makes free throw 1 of 2,1,61-65,,
7:56.0,A. Horford makes free throw 2 of 2,1,62-65,,
7:36.0,,,62-67,2,P. Beverley makes 2-pt shot from 22 ft (assist by J. Harden)
7:17.0,J. Jerebko makes 3-pt shot from 27 ft (assist by A. Horford),3,65-67,,
6:54.0,,,65-67,,R. Anderson misses 2-pt shot from 21 ft
6:53.0,Defensive rebound by A. Bradley,,65-67,,
6:43.0,A. Horford makes 3-pt shot from 26 ft (assist by A. Bradley),3,68-67,,
6:42.0,,,68-67,,Houston full timeout
6:42.0,,,68-67,,M. Harrell enters the game for C. Capela
6:42.0,,,68-67,,E. Gordon enters the game for P. Beverley
6:21.0,,,68-67,,R. Anderson misses 3-pt shot from 28 ft
6:19.0,Defensive rebound by J. Crowder,,68-67,,
6:11.0,Shooting foul by T. Ariza (drawn by J. Crowder),,68-67,,
6:11.0,J. Crowder makes free throw 1 of 2,1,69-67,,
6:11.0,J. Crowder makes free throw 2 of 2,1,70-67,,
5:58.0,,,70-67,,Turnover by E. Gordon (bad pass; steal by A. Bradley)
5:50.0,A. Horford makes 2-pt shot from 20 ft (assist by I. Thomas),2,72-67,,
5:41.0,,,72-69,2,T. Ariza makes 2-pt shot from 2 ft
5:21.0,A. Bradley makes 2-pt shot from 18 ft,2,74-69,,
5:02.0,,,74-69,,E. Gordon misses 3-pt shot from 27 ft
5:01.0,Defensive rebound by J. Jerebko,,74-69,,
4:47.0,Turnover by J. Crowder (lost ball; steal by J. Harden),,74-69,,
4:39.0,,,74-72,3,T. Ariza makes 3-pt shot from 24 ft (assist by J. Harden)
4:39.0,Boston full timeout,,74-72,,
4:39.0,,,74-72,,S. Dekker enters the game for R. Anderson
4:39.0,K. Olynyk enters the game for A. Horford,,74-72,,
4:39.0,M. Smart enters the game for A. Bradley,,74-72,,
4:22.0,I. Thomas misses 3-pt shot from 25 ft,,74-72,,
4:20.0,Offensive rebound by J. Jerebko,,74-72,,
4:03.0,I. Thomas misses 2-pt shot from 2 ft,,74-72,,
4:02.0,,,74-72,,Defensive rebound by T. Ariza
3:40.0,,,74-72,,M. Harrell misses 2-pt shot from 7 ft (block by J. Jerebko)
3:37.0,Defensive rebound by I. Thomas,,74-72,,
3:24.0,J. Jerebko makes 3-pt shot from 25 ft (assist by K. Olynyk),3,77-72,,
2:59.0,,,77-72,,T. Ariza misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by J. Crowder,,77-72,,
2:44.0,Shooting foul by M. Harrell (drawn by I. Thomas),,77-72,,
2:44.0,I. Thomas makes free throw 1 of 2,1,78-72,,
2:44.0,I. Thomas makes free throw 2 of 2,1,79-72,,
2:44.0,,,78-72,,C. Brewer enters the game for T. Ariza
2:44.0,,,78-72,,P. Beverley enters the game for J. Harden
2:20.0,,,79-74,2,E. Gordon makes 2-pt shot from 19 ft
1:54.0,M. Smart misses 3-pt shot from 24 ft,,79-74,,
1:53.0,,,79-74,,Defensive rebound by M. Harrell
1:44.0,,,79-74,,E. Gordon misses 3-pt shot from 28 ft
1:43.0,Defensive rebound by M. Smart,,79-74,,
1:39.0,J. Brown enters the game for I. Thomas,,79-74,,
1:39.0,T. Rozier enters the game for J. Crowder,,79-74,,
1:28.0,J. Brown misses 2-pt shot from 21 ft,,79-74,,
1:27.0,,,79-74,,Defensive rebound by P. Beverley
1:14.0,,,79-74,,Shooting foul by J. Brown (drawn by C. Brewer)
1:14.0,,,79-74,,C. Brewer misses free throw 1 of 2
1:14.0,,,79-74,,Offensive rebound by Team
1:14.0,,,79-75,1,C. Brewer makes free throw 2 of 2
1:14.0,A. Bradley enters the game for J. Jerebko,,79-74,,
1:14.0,A. Horford enters the game for K. Olynyk,,79-74,,
0:59.0,Turnover by A. Horford (bad pass; steal by S. Dekker),,79-75,,
0:43.0,,,79-75,,P. Beverley misses 3-pt shot from 26 ft
0:42.0,,,79-75,,Offensive rebound by Team
0:37.0,,,79-75,,Turnover by S. Dekker (bad pass; steal by T. Rozier)
0:34.0,,,79-75,,Violation by C. Brewer (def goaltending)
0:34.0,A. Bradley makes 2-pt shot from 3 ft (assist by T. Rozier),2,81-75,,
0:18.0,,,81-77,2,P. Beverley makes 2-pt shot from 4 ft
0:03.0,Shooting foul by C. Brewer (drawn by M. Smart),,81-77,,
0:03.0,M. Smart makes free throw 1 of 2,1,82-77,,
0:03.0,M. Smart makes free throw 2 of 2,1,83-77,,
0:00.0,,,83-77,,C. Brewer misses 3-pt shot from 40 ft
0:00.0,,,83-77,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,,,83-77,,S. Dekker misses 3-pt shot from 25 ft
11:39.0,Defensive rebound by M. Smart,,83-77,,
11:22.0,T. Rozier misses 2-pt shot from 17 ft,,83-77,,
11:21.0,,,83-77,,Defensive rebound by C. Capela
11:14.0,,,83-80,3,E. Gordon makes 3-pt shot from 27 ft (assist by P. Beverley)
10:53.0,A. Bradley makes 2-pt shot from 21 ft (assist by A. Horford),2,85-80,,
10:38.0,,,85-80,,C. Capela misses 2-pt shot from 2 ft
10:36.0,Defensive rebound by A. Bradley,,85-80,,
10:36.0,,,85-80,,Personal foul by P. Beverley (drawn by A. Bradley)
10:18.0,A. Horford misses 3-pt shot from 25 ft,,85-80,,
10:18.0,,,85-80,,Defensive rebound by Team
10:18.0,Loose ball foul by A. Bradley (drawn by E. Gordon),,85-80,,
10:12.0,,,85-80,,Shooting foul by A. Horford (drawn by C. Capela)
10:12.0,,,85-80,,C. Capela misses free throw 1 of 2
10:12.0,,,85-80,,Offensive rebound by Team
10:12.0,,,85-81,1,C. Capela makes free throw 2 of 2
9:52.0,A. Horford makes 2-pt shot from 10 ft,2,87-81,,
9:42.0,Violation by A. Horford (kicked ball),,87-81,,
9:33.0,,,87-84,3,E. Gordon makes 3-pt shot from 28 ft (assist by P. Beverley)
9:15.0,A. Horford misses 2-pt shot from 3 ft,,87-84,,
9:13.0,Offensive rebound by M. Smart,,87-84,,
9:08.0,T. Rozier misses 3-pt shot from 26 ft,,87-84,,
9:07.0,,,87-84,,Defensive rebound by C. Brewer
9:01.0,,,87-86,2,S. Dekker makes 2-pt shot from 2 ft (assist by C. Brewer)
8:50.0,M. Smart makes 2-pt shot from 2 ft (assist by T. Rozier),2,89-86,,
8:39.0,,,89-88,2,E. Gordon makes 2-pt shot from 8 ft (assist by P. Beverley)
8:22.0,M. Smart makes 3-pt shot from 26 ft,3,92-88,,
8:01.0,,,92-88,,C. Brewer misses 3-pt shot from 26 ft
8:00.0,Defensive rebound by A. Horford,,92-88,,
7:42.0,A. Horford makes 2-pt shot from 20 ft (assist by T. Rozier),2,94-88,,
7:42.0,,,94-88,,Houston full timeout
7:42.0,,,94-88,,T. Ariza enters the game for C. Capela
7:42.0,,,94-88,,R. Anderson enters the game for P. Beverley
7:42.0,,,94-88,,J. Harden enters the game for S. Dekker
7:42.0,,,94-88,,M. Harrell enters the game for C. Brewer
7:42.0,J. Crowder enters the game for A. Bradley,,94-88,,
7:22.0,,,94-88,,M. Harrell misses 2-pt shot at rim (block by M. Smart)
7:18.0,Defensive rebound by M. Smart,,94-88,,
7:14.0,T. Rozier misses 2-pt shot from 14 ft,,94-88,,
7:13.0,,,94-88,,Defensive rebound by T. Ariza
7:01.0,,,94-88,,T. Ariza misses 3-pt shot from 25 ft
7:00.0,Defensive rebound by T. Rozier,,94-88,,
6:56.0,A. Horford makes 2-pt shot at rim (assist by T. Rozier),2,96-88,,
6:43.0,,,96-90,2,J. Harden makes 2-pt shot from 2 ft
6:24.0,Turnover by A. Horford (bad pass; steal by R. Anderson),,96-90,,
6:17.0,,,96-92,2,J. Harden makes 2-pt shot from 7 ft
6:17.0,Boston full timeout,,96-92,,
6:17.0,J. Jerebko enters the game for A. Horford,,96-92,,
6:17.0,A. Bradley enters the game for M. Smart,,96-92,,
6:17.0,I. Thomas enters the game for J. Brown,,96-92,,
6:17.0,K. Olynyk enters the game for T. Rozier,,96-92,,
6:01.0,A. Bradley makes 2-pt shot from 20 ft (assist by J. Crowder),2,98-92,,
5:38.0,,,98-92,,T. Ariza misses 2-pt shot from 2 ft
5:35.0,,,98-92,,Offensive rebound by M. Harrell
5:33.0,,,98-94,2,M. Harrell makes 2-pt shot from 3 ft
5:17.0,K. Olynyk misses 3-pt shot from 25 ft,,98-94,,
5:16.0,,,98-94,,Defensive rebound by J. Harden
5:15.0,,,98-94,,Turnover by J. Harden (bad pass)
5:00.0,I. Thomas makes 2-pt shot from 3 ft,2,100-94,,
4:36.0,,,100-94,,Turnover by Team (shot clock)
4:36.0,,,100-94,,P. Beverley enters the game for E. Gordon
4:21.0,I. Thomas misses 3-pt shot from 25 ft,,100-94,,
4:20.0,,,100-94,,Defensive rebound by Team
4:13.0,,,100-94,,Shooting foul by A. Bradley (drawn by J. Harden)
4:13.0,,,100-95,1,J. Harden makes free throw 1 of 2
4:13.0,,,100-96,1,J. Harden makes free throw 2 of 2
4:13.0,A. Horford enters the game for K. Olynyk,,100-95,,
4:01.0,Turnover by I. Thomas (bad pass),,100-96,,
3:56.0,,,100-96,,Shooting foul by A. Horford (drawn by J. Harden)
3:56.0,,,100-97,1,J. Harden makes free throw 1 of 2
3:56.0,,,100-98,1,J. Harden makes free throw 2 of 2
3:48.0,Turnover by J. Jerebko (bad pass; steal by P. Beverley),,100-98,,
3:44.0,,,100-100,2,P. Beverley makes 2-pt shot from 3 ft
