time,Washington,pts.away,score,pts.home,Miami
6:15.0,,,36-36,,Defensive rebound by J. Johnson
6:07.0,,,36-36,,G. Dragic misses 2-pt shot from 14 ft
6:06.0,,,36-36,,Offensive rebound by J. Johnson
5:59.0,,,36-38,2,H. Whiteside makes 2-pt shot from 5 ft (assist by W. Ellington)
5:42.0,S. Mac misses 2-pt shot from 1 ft,,36-38,,
5:41.0,,,36-38,,Defensive rebound by W. Ellington
5:29.0,,,36-40,2,H. Whiteside makes 2-pt shot from 15 ft (assist by G. Dragic)
5:21.0,Washington full timeout,,36-40,,
5:21.0,B. Jennings enters the game for S. Mac,,36-40,,
5:21.0,,,36-40,,T. Johnson enters the game for G. Dragic
5:16.0,Shooting foul by T. Johnson (drawn by T. Burke),,36-40,,
5:16.0,T. Burke makes free throw 1 of 2,1,37-40,,
5:16.0,T. Burke makes free throw 2 of 2,1,38-40,,
4:58.0,,,38-40,,W. Ellington misses 3-pt shot from 24 ft
4:57.0,,,38-40,,Offensive rebound by H. Whiteside
4:56.0,,,38-42,2,H. Whiteside makes 2-pt shot at rim
4:43.0,T. Burke makes 2-pt shot from 18 ft,2,40-42,,
4:14.0,,,40-45,3,J. Richardson makes 3-pt shot from 24 ft (assist by J. Johnson)
3:57.0,B. Bogdanovic makes 3-pt shot from 26 ft (assist by T. Burke),3,43-45,,
3:43.0,,,43-47,2,J. Johnson makes 2-pt shot from 2 ft
3:29.0,O. Porter misses 3-pt shot from 23 ft,,43-47,,
3:28.0,Offensive rebound by M. Gortat,,43-47,,
3:25.0,T. Burke misses 3-pt shot from 24 ft,,43-47,,
3:24.0,,,43-47,,Defensive rebound by T. Johnson
3:06.0,,,43-49,2,J. Richardson makes 2-pt shot from 15 ft
2:50.0,B. Bogdanovic misses 2-pt shot from 20 ft,,43-49,,
2:49.0,,,43-49,,Defensive rebound by J. Johnson
2:42.0,,,43-51,2,J. Johnson makes 2-pt shot from 3 ft
2:42.0,Shooting block foul by M. Gortat (drawn by J. Johnson),,43-51,,
2:42.0,,,43-51,,Miami full timeout
2:42.0,,,43-52,1,J. Johnson makes free throw 1 of 1
2:42.0,K. Oubre enters the game for T. Burke,,43-51,,
2:27.0,O. Porter misses 2-pt shot from 16 ft,,43-52,,
2:26.0,,,43-52,,Defensive rebound by H. Whiteside
2:06.0,,,43-54,2,T. Johnson makes 2-pt shot from 5 ft
2:00.0,O. Porter makes 2-pt shot from 2 ft (assist by B. Bogdanovic),2,45-54,,
2:00.0,Shooting foul by J. Richardson (drawn by O. Porter),,45-54,,
2:00.0,O. Porter makes free throw 1 of 1,1,46-54,,
2:00.0,,,45-54,,G. Dragic enters the game for W. Ellington
1:36.0,,,46-54,,J. Johnson misses 2-pt shot from 1 ft
1:35.0,Defensive rebound by M. Gortat,,46-54,,
1:22.0,B. Jennings misses 3-pt shot from 25 ft,,46-54,,
1:21.0,Offensive rebound by B. Bogdanovic,,46-54,,
1:20.0,B. Bogdanovic misses 2-pt shot from 11 ft,,46-54,,
1:19.0,,,46-54,,Defensive rebound by H. Whiteside
1:13.0,,,46-54,,J. Richardson misses 2-pt shot from 16 ft
1:12.0,,,46-54,,Offensive rebound by H. Whiteside
1:11.0,,,46-54,,H. Whiteside misses 2-pt shot at rim
1:10.0,Defensive rebound by O. Porter,,46-54,,
1:06.0,O. Porter misses 2-pt shot from 17 ft,,46-54,,
1:05.0,,,46-54,,Defensive rebound by H. Whiteside
0:49.0,,,46-54,,J. Johnson misses 3-pt shot from 24 ft
0:48.0,Defensive rebound by K. Oubre,,46-54,,
0:34.0,M. Gortat makes 2-pt shot from 6 ft (assist by B. Jennings),2,48-54,,
0:19.0,,,48-56,2,H. Whiteside makes 2-pt shot from 20 ft
0:04.0,Shooting foul by J. Johnson (drawn by O. Porter),,48-56,,
0:04.0,O. Porter makes free throw 1 of 2,1,49-56,,
0:04.0,,,49-56,,Miami full timeout
0:04.0,O. Porter makes free throw 2 of 2,1,50-56,,
0:00.0,,,50-56,,J. Johnson misses 2-pt shot from 9 ft
0:00.0,,,50-56,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,,,50-58,2,H. Whiteside makes 2-pt shot at rim (assist by G. Dragic)
11:49.0,,,50-58,,Shooting foul by K. Oubre (drawn by H. Whiteside)
11:49.0,,,50-59,1,H. Whiteside makes free throw 1 of 1
11:26.0,B. Jennings misses 3-pt shot from 25 ft,,50-59,,
11:25.0,,,50-59,,Defensive rebound by J. Johnson
11:12.0,,,50-62,3,J. Richardson makes 3-pt shot from 24 ft (assist by J. Johnson)
