time,Phoenix,pts.away,score,pts.home,Boston
0:01.0,,,16-29,2,T. Rozier makes 2-pt shot from 12 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,16-29,,G. Green misses 2-pt shot from 18 ft
11:40.0,Defensive rebound by D. Jones,,16-29,,
11:23.0,L. Barbosa makes 2-pt shot from 19 ft (assist by M. Chriss),2,18-29,,
11:12.0,,,18-32,3,M. Smart makes 3-pt shot from 26 ft (assist by A. Horford)
10:57.0,M. Chriss misses 2-pt shot from 21 ft,,18-32,,
10:56.0,,,18-32,,Defensive rebound by T. Rozier
10:41.0,,,18-35,3,T. Rozier makes 3-pt shot from 25 ft (assist by A. Horford)
10:32.0,Shooting foul by K. Olynyk (drawn by A. Len),,18-35,,
10:32.0,A. Len misses free throw 1 of 2,,18-35,,
10:32.0,Offensive rebound by Team,,18-35,,
10:32.0,A. Len makes free throw 2 of 2,1,19-35,,
10:20.0,,,19-35,,Turnover by T. Rozier (bad pass; steal by M. Chriss)
10:19.0,,,19-35,,Personal foul by G. Green (drawn by M. Chriss)
10:07.0,Turnover by L. Barbosa (bad pass; steal by A. Horford),,19-35,,
9:47.0,,,19-35,,Turnover by K. Olynyk (traveling)
9:40.0,,,19-35,,Personal foul by K. Olynyk (drawn by M. Chriss)
9:30.0,Loose ball foul by M. Chriss (drawn by M. Smart),,19-35,,
9:30.0,Turnover by M. Chriss (offensive foul),,19-35,,
9:18.0,,,19-38,3,K. Olynyk makes 3-pt shot from 23 ft (assist by A. Horford)
9:04.0,D. Jones makes 2-pt shot from 7 ft (assist by J. Dudley),2,21-38,,
8:58.0,Official timeout,,21-38,,
8:58.0,T. Ulis enters the game for D. Jones,,21-38,,
8:58.0,D. Booker enters the game for J. Dudley,,21-38,,
8:42.0,,,21-38,,K. Olynyk misses 3-pt shot from 26 ft
8:41.0,,,21-38,,Offensive rebound by A. Horford
8:37.0,,,21-38,,M. Smart misses 3-pt shot from 26 ft
8:36.0,Defensive rebound by T. Ulis,,21-38,,
8:32.0,,,21-38,,Violation by M. Smart (kicked ball)
8:32.0,,,21-38,,J. Brown enters the game for T. Rozier
8:17.0,M. Chriss misses 2-pt shot from 13 ft,,21-38,,
8:16.0,,,21-38,,Defensive rebound by A. Horford
8:07.0,,,21-41,3,G. Green makes 3-pt shot from 23 ft (assist by A. Horford)
7:55.0,L. Barbosa misses 2-pt shot from 20 ft,,21-41,,
7:55.0,,,21-41,,Defensive rebound by K. Olynyk
7:43.0,,,21-41,,Turnover by G. Green (bad pass; steal by T. Ulis)
7:38.0,D. Booker makes 2-pt shot from 23 ft (assist by T. Ulis),2,23-41,,
7:15.0,,,23-41,,M. Smart misses 2-pt shot from 10 ft
7:14.0,Defensive rebound by A. Len,,23-41,,
7:07.0,D. Booker makes 2-pt shot from 10 ft,2,25-41,,
7:07.0,,,25-41,,Boston full timeout
7:07.0,,,25-41,,I. Thomas enters the game for A. Horford
7:07.0,,,25-41,,A. Johnson enters the game for M. Smart
6:53.0,Personal foul by M. Chriss (drawn by K. Olynyk),,25-41,,
6:40.0,,,25-41,,Shooting foul by A. Len (drawn by G. Green)
6:40.0,,,25-44,3,G. Green makes 3-pt shot from 23 ft (assist by J. Brown)
6:40.0,,,25-45,1,G. Green makes free throw 1 of 1
6:20.0,D. Booker makes 2-pt shot from 20 ft,2,27-45,,
6:04.0,Shooting block foul by M. Chriss (drawn by K. Olynyk),,27-45,,
6:04.0,,,27-46,1,K. Olynyk makes free throw 1 of 2
6:04.0,,,27-47,1,K. Olynyk makes free throw 2 of 2
6:04.0,A. Williams enters the game for M. Chriss,,27-46,,
5:56.0,D. Booker makes 2-pt shot from 14 ft (assist by T. Ulis),2,29-47,,
5:56.0,Shooting foul by J. Brown (drawn by D. Booker),,29-47,,
5:56.0,D. Booker makes free throw 1 of 1,1,30-47,,
5:40.0,,,30-47,,J. Brown misses 2-pt shot from 5 ft (block by A. Len)
5:39.0,,,30-47,,Offensive rebound by J. Brown
5:36.0,,,30-47,,Turnover by A. Johnson (lost ball; steal by A. Williams)
5:30.0,A. Williams misses 2-pt shot from 2 ft (block by A. Johnson),,30-47,,
5:29.0,,,30-47,,Defensive rebound by G. Green
5:18.0,,,30-50,3,G. Green makes 3-pt shot from 25 ft (assist by K. Olynyk)
5:06.0,Shooting foul by G. Green (drawn by A. Len),,30-50,,
5:06.0,A. Len misses free throw 1 of 2,,30-50,,
5:06.0,Offensive rebound by Team,,30-50,,
5:06.0,A. Len makes free throw 2 of 2,1,31-50,,
4:53.0,,,31-52,2,K. Olynyk makes 2-pt shot from 2 ft (assist by I. Thomas)
4:43.0,T. Ulis makes 2-pt shot from 16 ft,2,33-52,,
4:26.0,,,33-54,2,I. Thomas makes 2-pt shot from 1 ft (assist by K. Olynyk)
4:18.0,D. Booker misses 2-pt shot from 1 ft,,33-54,,
4:17.0,,,33-54,,Defensive rebound by J. Brown
4:13.0,,,33-57,3,G. Green makes 3-pt shot from 25 ft (assist by J. Brown)
4:13.0,Phoenix full timeout,,33-57,,
4:13.0,,,33-57,,A. Horford enters the game for K. Olynyk
4:13.0,D. Jones enters the game for A. Williams,,33-57,,
4:13.0,J. Dudley enters the game for L. Barbosa,,33-57,,
3:56.0,D. Booker misses 2-pt shot from 14 ft,,33-57,,
3:55.0,,,33-57,,Defensive rebound by I. Thomas
3:45.0,Personal foul by D. Jones (drawn by G. Green),,33-57,,
3:45.0,,,33-58,1,G. Green makes free throw 1 of 2
3:45.0,,,33-59,1,G. Green makes free throw 2 of 2
3:45.0,,,33-58,,M. Smart enters the game for J. Brown
3:31.0,,,33-59,,Personal foul by G. Green (drawn by A. Len)
3:31.0,A. Len makes free throw 1 of 2,1,34-59,,
3:31.0,A. Len misses free throw 2 of 2,,34-59,,
3:31.0,,,34-59,,Defensive rebound by A. Horford
3:31.0,,,34-59,,J. Crowder enters the game for G. Green
3:12.0,,,34-59,,A. Horford misses 3-pt shot from 26 ft
3:11.0,,,34-59,,Offensive rebound by A. Johnson
3:05.0,,,34-59,,M. Smart misses 3-pt shot from 24 ft
3:03.0,,,34-59,,Offensive rebound by A. Horford
3:00.0,,,34-59,,M. Smart misses 3-pt shot from 24 ft
2:59.0,Defensive rebound by D. Booker,,34-59,,
2:38.0,A. Len makes 2-pt shot from 7 ft (assist by J. Dudley),2,36-59,,
2:16.0,,,36-59,,I. Thomas misses 2-pt shot from 2 ft
2:15.0,Defensive rebound by D. Booker,,36-59,,
2:09.0,D. Booker misses 2-pt shot from 1 ft,,36-59,,
2:08.0,,,36-59,,Defensive rebound by A. Horford
2:04.0,,,36-61,2,I. Thomas makes 2-pt shot from 1 ft (assist by A. Horford)
1:48.0,Offensive charge foul by D. Booker,,36-61,,
1:48.0,Turnover by D. Booker (offensive foul),,36-61,,
1:34.0,,,36-61,,J. Crowder misses 3-pt shot from 26 ft
1:33.0,Defensive rebound by A. Len,,36-61,,
1:19.0,J. Dudley makes 2-pt shot from 2 ft (assist by A. Len),2,38-61,,
1:11.0,,,38-64,3,I. Thomas makes 3-pt shot from 25 ft
0:57.0,D. Jones makes 2-pt shot at rim (assist by J. Dudley),2,40-64,,
0:35.0,,,40-64,,A. Horford misses 2-pt shot from 15 ft
0:33.0,,,40-64,,Offensive rebound by Team
0:33.0,,,40-64,,Boston full timeout
0:33.0,,,40-64,,K. Olynyk enters the game for A. Johnson
0:30.0,,,40-66,2,A. Horford makes 2-pt shot at rim (assist by M. Smart)
0:17.0,J. Dudley makes 3-pt shot from 26 ft (assist by D. Booker),3,43-66,,
0:01.0,,,43-66,,I. Thomas misses 3-pt shot from 24 ft
0:00.0,,,43-66,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,43-66,,I. Thomas misses 3-pt shot from 25 ft
11:45.0,Defensive rebound by Team,,43-66,,
11:30.0,A. Len makes 2-pt shot from 15 ft (assist by D. Booker),2,45-66,,
11:15.0,,,45-69,3,J. Crowder makes 3-pt shot from 25 ft (assist by J. Brown)
11:09.0,D. Booker makes 2-pt shot from 8 ft (assist by T. Ulis),2,47-69,,
11:09.0,Shooting foul by A. Horford (drawn by D. Booker),,47-69,,
11:09.0,D. Booker makes free throw 1 of 1,1,48-69,,
10:54.0,,,48-71,2,A. Horford makes 2-pt shot from 7 ft (assist by I. Thomas)
10:38.0,D. Booker misses 2-pt shot from 20 ft,,48-71,,
10:37.0,Offensive rebound by A. Len,,48-71,,
10:36.0,A. Len makes 2-pt shot from 1 ft,2,50-71,,
10:36.0,Shooting foul by A. Johnson (drawn by A. Len),,50-71,,
10:36.0,A. Len misses free throw 1 of 1,,50-71,,
10:36.0,Offensive rebound by Team,,50-71,,
10:36.0,,,50-71,,M. Smart enters the game for J. Brown
10:31.0,Shooting foul by M. Smart (drawn by D. Booker),,50-71,,
10:31.0,D. Booker makes free throw 1 of 2,1,51-71,,
10:31.0,D. Booker makes free throw 2 of 2,1,52-71,,
10:23.0,Personal foul by A. Len (drawn by A. Johnson),,52-71,,
10:05.0,,,52-71,,M. Smart misses 2-pt shot from 2 ft
10:04.0,,,52-71,,Offensive rebound by M. Smart
9:58.0,,,52-71,,Shooting foul by A. Len (drawn by J. Crowder)
9:58.0,,,52-72,1,J. Crowder makes free throw 1 of 2
9:58.0,,,52-73,1,J. Crowder makes free throw 2 of 2
9:44.0,Turnover by A. Len (lost ball; steal by A. Johnson),,52-73,,
9:39.0,Personal foul by D. Jones (drawn by J. Crowder),,52-73,,
9:39.0,,,52-73,,Technical foul by J. Crowder
9:39.0,Technical foul by D. Jones (drawn by J. Crowder),,52-73,,
9:36.0,Personal foul by T. Ulis (drawn by I. Thomas),,52-73,,
9:25.0,,,52-73,,I. Thomas misses 3-pt shot from 25 ft
9:24.0,Defensive rebound by M. Chriss,,52-73,,
9:13.0,M. Chriss misses 2-pt shot from 6 ft (block by A. Johnson),,52-73,,
9:12.0,,,52-73,,Defensive rebound by A. Johnson
9:09.0,,,52-73,,Turnover by J. Crowder (bad pass)
8:52.0,Shooting foul by M. Smart (drawn by D. Booker),,52-73,,
8:52.0,D. Booker makes 2-pt shot from 7 ft,2,54-73,,
8:52.0,D. Booker makes free throw 1 of 1,1,55-73,,
8:41.0,,,55-73,,Turnover by I. Thomas (lost ball)
8:35.0,T. Ulis misses 2-pt shot from 18 ft,,55-73,,
8:34.0,Offensive rebound by D. Jones,,55-73,,
8:31.0,,,55-73,,Loose ball foul by A. Johnson (drawn by M. Chriss)
8:31.0,M. Chriss misses free throw 1 of 2,,55-73,,
8:31.0,Offensive rebound by Team,,55-73,,
8:31.0,M. Chriss makes free throw 2 of 2,1,56-73,,
8:09.0,,,56-75,2,A. Horford makes 2-pt shot from 6 ft
8:09.0,,,56-75,,Shooting foul by M. Chriss (drawn by A. Horford)
8:09.0,,,56-76,1,A. Horford makes free throw 1 of 1
7:49.0,D. Booker misses 3-pt shot from 24 ft,,56-76,,
7:47.0,,,56-76,,Defensive rebound by A. Horford
7:39.0,,,56-76,,I. Thomas misses 2-pt shot from 13 ft
7:37.0,,,56-76,,Offensive rebound by A. Johnson
7:37.0,,,56-76,,A. Johnson misses 2-pt shot from 1 ft
7:36.0,Defensive rebound by M. Chriss,,56-76,,
7:28.0,T. Ulis misses 2-pt shot from 8 ft,,56-76,,
7:26.0,,,56-76,,Defensive rebound by A. Johnson
7:15.0,,,56-76,,J. Crowder misses 3-pt shot from 27 ft
7:15.0,Defensive rebound by A. Len,,56-76,,
7:00.0,D. Booker misses 2-pt shot from 16 ft,,56-76,,
6:59.0,,,56-76,,Defensive rebound by J. Crowder
6:53.0,,,56-78,2,A. Johnson makes 2-pt shot from 1 ft (assist by J. Crowder)
6:40.0,A. Len makes 2-pt shot from 17 ft (assist by D. Booker),2,58-78,,
6:28.0,,,58-80,2,A. Horford makes 2-pt shot from 1 ft (assist by M. Smart)
6:08.0,M. Chriss makes 2-pt shot at rim (assist by D. Booker),2,60-80,,
5:51.0,,,60-80,,A. Johnson misses 3-pt shot from 25 ft
5:50.0,Defensive rebound by D. Booker,,60-80,,
5:41.0,,,60-80,,Personal foul by A. Johnson (drawn by D. Booker)
5:41.0,,,60-80,,Boston full timeout
5:41.0,D. Booker makes free throw 1 of 2,1,61-80,,
5:41.0,D. Booker makes free throw 2 of 2,1,62-80,,
5:41.0,,,60-80,,T. Zeller enters the game for A. Horford
5:28.0,,,62-82,2,A. Johnson makes 2-pt shot at rim (assist by M. Smart)
5:15.0,M. Chriss misses 3-pt shot from 25 ft,,62-82,,
5:14.0,,,62-82,,Defensive rebound by J. Crowder
5:05.0,Loose ball foul by D. Booker (drawn by T. Zeller),,62-82,,
5:05.0,,,62-82,,T. Zeller misses free throw 1 of 2
5:05.0,,,62-82,,Offensive rebound by Team
5:05.0,,,62-82,,T. Zeller misses free throw 2 of 2
5:05.0,Defensive rebound by M. Chriss,,62-82,,
4:47.0,Turnover by D. Booker (lost ball; steal by M. Smart),,62-82,,
4:43.0,,,62-84,2,I. Thomas makes 2-pt shot from 1 ft (assist by M. Smart)
4:32.0,,,62-84,,Personal foul by T. Zeller (drawn by D. Booker)
4:32.0,D. Booker makes free throw 1 of 2,1,63-84,,
4:32.0,D. Booker makes free throw 2 of 2,1,64-84,,
4:20.0,,,64-84,,Shooting foul by M. Chriss (drawn by M. Smart)
4:20.0,,,64-85,1,M. Smart makes free throw 1 of 2
4:20.0,,,64-86,1,M. Smart makes free throw 2 of 2
4:20.0,J. Dudley enters the game for M. Chriss,,64-85,,
4:20.0,,,64-85,,J. Brown enters the game for I. Thomas
4:20.0,L. Barbosa enters the game for T. Ulis,,64-85,,
4:13.0,Turnover by D. Booker (lost ball; steal by M. Smart),,64-86,,
4:06.0,,,64-86,,M. Smart misses 2-pt shot from 1 ft
4:05.0,,,64-86,,Offensive rebound by A. Johnson
4:05.0,,,64-88,2,A. Johnson makes 2-pt shot from 1 ft
3:45.0,D. Booker makes 3-pt shot from 26 ft (assist by A. Len),3,67-88,,
3:31.0,,,67-88,,Turnover by T. Zeller (bad pass; steal by D. Jones)
3:27.0,Shooting foul by M. Smart (drawn by D. Booker),,67-88,,
3:27.0,D. Booker makes free throw 1 of 2,1,68-88,,
3:27.0,D. Booker makes free throw 2 of 2,1,69-88,,
3:27.0,,,68-88,,K. Olynyk enters the game for A. Johnson
3:27.0,A. Williams enters the game for A. Len,,68-88,,
3:15.0,,,69-88,,M. Smart misses 3-pt shot from 26 ft
3:14.0,Defensive rebound by L. Barbosa,,69-88,,
3:05.0,Shooting foul by K. Olynyk (drawn by A. Williams),,69-88,,
3:05.0,A. Williams misses free throw 1 of 2,,69-88,,
3:05.0,Offensive rebound by Team,,69-88,,
3:05.0,A. Williams makes free throw 2 of 2,1,70-88,,
2:59.0,,,70-90,2,J. Crowder makes 2-pt shot from 11 ft
2:59.0,,,70-90,,Shooting foul by L. Barbosa (drawn by J. Crowder)
2:59.0,Phoenix full timeout,,70-90,,
2:59.0,,,70-91,1,J. Crowder makes free throw 1 of 1
2:46.0,L. Barbosa misses 2-pt shot from 23 ft,,70-91,,
2:45.0,,,70-91,,Defensive rebound by J. Crowder
2:31.0,,,70-91,,Shooting foul by A. Williams (drawn by M. Smart)
2:31.0,,,70-92,1,M. Smart makes free throw 1 of 2
2:31.0,,,70-93,1,M. Smart makes free throw 2 of 2
2:12.0,D. Booker makes 2-pt shot from 16 ft (assist by J. Dudley),2,72-93,,
2:04.0,,,72-93,,Turnover by J. Crowder (bad pass; steal by D. Booker)
1:59.0,D. Booker makes 2-pt shot from 1 ft,2,74-93,,
1:35.0,,,74-93,,M. Smart misses 3-pt shot from 26 ft
1:34.0,Defensive rebound by J. Dudley,,74-93,,
1:29.0,Shooting foul by K. Olynyk (drawn by A. Williams),,74-93,,
1:29.0,A. Williams misses free throw 1 of 2,,74-93,,
1:29.0,Offensive rebound by Team,,74-93,,
1:29.0,A. Williams makes free throw 2 of 2,1,75-93,,
1:29.0,,,74-93,,A. Horford enters the game for T. Zeller
1:29.0,,,74-93,,G. Green enters the game for J. Crowder
1:21.0,,,75-93,,K. Olynyk misses 3-pt shot from 25 ft
1:21.0,,,75-93,,Offensive rebound by A. Horford
1:17.0,,,75-93,,Turnover by M. Smart (bad pass; steal by D. Booker)
1:11.0,,,75-93,,Shooting block foul by J. Brown (drawn by A. Williams)
1:11.0,A. Williams misses free throw 1 of 2,,75-93,,
1:11.0,Offensive rebound by Team,,75-93,,
1:11.0,A. Williams makes free throw 2 of 2,1,76-93,,
0:55.0,,,76-95,2,K. Olynyk makes 2-pt shot from 2 ft (assist by A. Horford)
0:40.0,D. Booker misses 3-pt shot from 26 ft,,76-95,,
0:40.0,Offensive rebound by Team,,76-95,,
0:40.0,,,76-95,,Loose ball foul by J. Brown (drawn by D. Jones)
0:40.0,D. Jones makes free throw 1 of 2,1,77-95,,
0:40.0,D. Jones makes free throw 2 of 2,1,78-95,,
0:32.0,,,78-97,2,K. Olynyk makes 2-pt shot from 2 ft (assist by M. Smart)
0:32.0,,,78-97,,Shooting foul by J. Dudley (drawn by K. Olynyk)
0:32.0,,,78-97,,K. Olynyk misses free throw 1 of 1
0:32.0,Defensive rebound by A. Williams,,78-97,,
0:13.0,D. Booker makes 2-pt shot from 14 ft,2,80-97,,
0:01.0,,,80-97,,K. Olynyk misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by L. Barbosa,,80-97,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,D. Booker misses 3-pt shot from 26 ft,,80-97,,
11:46.0,,,80-97,,Defensive rebound by M. Smart
11:33.0,,,80-97,,A. Horford misses 2-pt shot from 20 ft
11:32.0,Defensive rebound by D. Booker,,80-97,,
11:26.0,A. Williams makes 2-pt shot from 1 ft (assist by J. Dudley),2,82-97,,
11:06.0,,,82-97,,M. Smart misses 3-pt shot from 25 ft
11:05.0,Defensive rebound by A. Williams,,82-97,,
10:57.0,D. Booker misses 2-pt shot from 2 ft,,82-97,,
10:57.0,,,82-97,,Defensive rebound by Team
10:57.0,Loose ball foul by A. Williams (drawn by M. Smart),,82-97,,
10:33.0,,,82-99,2,A. Horford makes 2-pt shot from 10 ft
10:19.0,L. Barbosa makes 3-pt shot from 25 ft (assist by J. Dudley),3,85-99,,
10:03.0,Personal foul by J. Dudley (drawn by I. Thomas),,85-99,,
10:03.0,,,85-99,,J. Jerebko enters the game for K. Olynyk
9:55.0,,,85-99,,Turnover by A. Horford (bad pass; steal by L. Barbosa)
9:40.0,L. Barbosa makes 2-pt shot from 21 ft (assist by D. Booker),2,87-99,,
9:26.0,,,87-99,,Shooting foul by D. Jones (drawn by J. Jerebko)
9:26.0,,,87-100,1,I. Thomas makes free throw 1 of 2
9:26.0,,,87-101,1,I. Thomas makes free throw 2 of 2
9:26.0,,,87-100,,T. Rozier enters the game for M. Smart
9:26.0,,,87-100,,J. Brown enters the game for G. Green
9:12.0,L. Barbosa misses 2-pt shot from 7 ft,,87-101,,
9:12.0,,,87-101,,Defensive rebound by J. Jerebko
9:06.0,,,87-101,,Turnover by T. Rozier (bad pass; steal by D. Booker)
9:03.0,D. Booker makes 2-pt shot from 1 ft,2,89-101,,
9:03.0,Shooting foul by T. Rozier (drawn by D. Booker),,89-101,,
9:03.0,D. Booker makes free throw 1 of 1,1,90-101,,
