time,Philadelphia,pts.away,score,pts.home,New Orleans
7:03.0,,,10-8,,A. Davis misses 2-pt shot from 20 ft
7:03.0,Defensive rebound by S. Rodriguez,,10-8,,
6:58.0,E. Ilyasova makes 2-pt shot at rim (assist by S. Rodriguez),2,12-8,,
6:43.0,,,12-8,,B. Hield misses 2-pt shot from 15 ft
6:42.0,Defensive rebound by S. Rodriguez,,12-8,,
6:36.0,Turnover by E. Ilyasova (3 sec),,12-8,,
6:36.0,D. Saric enters the game for R. Covington,,12-8,,
6:27.0,,,12-8,,B. Hield misses 2-pt shot from 2 ft
6:27.0,,,12-8,,Offensive rebound by Team
6:27.0,Loose ball foul by S. Rodriguez (drawn by O. Asik),,12-8,,
6:21.0,Personal foul by G. Henderson (drawn by A. Davis),,12-8,,
6:13.0,,,12-8,,Shooting foul by J. Embiid (drawn by A. Davis)
6:13.0,,,12-8,,A. Davis misses free throw 1 of 2
6:13.0,,,12-8,,Offensive rebound by Team
6:13.0,,,12-9,1,A. Davis makes free throw 2 of 2
6:06.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,14-9,,
5:55.0,,,14-9,,Shooting foul by E. Ilyasova (drawn by A. Davis)
5:55.0,,,14-9,,New Orleans full timeout
5:55.0,,,14-10,1,A. Davis makes free throw 1 of 2
5:55.0,,,14-11,1,A. Davis makes free throw 2 of 2
5:55.0,N. Stauskas enters the game for G. Henderson,,14-9,,
5:48.0,,,14-11,,Personal foul by O. Asik (drawn by J. Embiid)
5:48.0,J. Embiid makes free throw 1 of 2,1,15-11,,
5:48.0,J. Embiid makes free throw 2 of 2,1,16-11,,
5:35.0,R. Holmes enters the game for J. Embiid,,16-11,,
5:28.0,,,16-13,2,L. Galloway makes 2-pt shot from 17 ft
5:16.0,E. Ilyasova makes 2-pt shot from 22 ft (assist by N. Stauskas),2,18-13,,
5:08.0,,,18-13,,L. Galloway misses 2-pt shot from 3 ft
5:08.0,Defensive rebound by R. Holmes,,18-13,,
5:01.0,E. Ilyasova makes 2-pt shot from 16 ft (assist by S. Rodriguez),2,20-13,,
4:43.0,,,20-13,,S. Hill misses 2-pt shot from 2 ft
4:40.0,,,20-13,,Offensive rebound by O. Asik
4:39.0,,,20-15,2,O. Asik makes 2-pt shot from 2 ft
4:39.0,,,20-15,,Shooting foul by R. Holmes (drawn by O. Asik)
4:39.0,,,20-16,1,O. Asik makes free throw 1 of 1
4:39.0,,,20-15,,A. Brown enters the game for S. Hill
4:29.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,22-16,,
4:13.0,,,22-16,,A. Brown misses 3-pt shot from 26 ft
4:11.0,Defensive rebound by E. Ilyasova,,22-16,,
3:59.0,D. Saric misses 2-pt shot from 7 ft,,22-16,,
3:58.0,,,22-16,,Defensive rebound by O. Asik
3:53.0,,,22-19,3,B. Hield makes 3-pt shot from 26 ft (assist by A. Brown)
3:26.0,D. Saric misses 2-pt shot from 3 ft,,22-19,,
3:25.0,,,22-19,,Defensive rebound by O. Asik
3:21.0,,,22-19,,Shooting foul by S. Rodriguez (drawn by A. Davis)
3:21.0,,,22-20,1,A. Davis makes free throw 1 of 2
3:21.0,,,22-21,1,A. Davis makes free throw 2 of 2
3:21.0,T. Luwawu-Cabarrot enters the game for E. Ilyasova,,22-20,,
3:21.0,T. McConnell enters the game for S. Rodriguez,,22-20,,
3:03.0,T. Luwawu-Cabarrot misses 3-pt shot from 23 ft,,22-21,,
3:02.0,,,22-21,,Defensive rebound by B. Hield
2:54.0,,,22-21,,B. Hield misses 2-pt shot from 11 ft
2:53.0,,,22-21,,Offensive rebound by O. Asik
2:50.0,,,22-24,3,L. Galloway makes 3-pt shot from 26 ft (assist by O. Asik)
2:34.0,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas),2,24-24,,
2:23.0,,,24-26,2,A. Davis makes 2-pt shot from 2 ft
2:03.0,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft,,24-26,,
2:03.0,,,24-26,,Defensive rebound by B. Hield
1:54.0,,,24-26,,B. Hield misses 2-pt shot from 3 ft
1:54.0,,,24-26,,Offensive rebound by O. Asik
1:53.0,,,24-28,2,O. Asik makes 2-pt shot from 2 ft
1:47.0,Philadelphia full timeout,,24-28,,
1:47.0,,,24-28,,S. Hill enters the game for B. Hield
1:25.0,T. McConnell misses 2-pt shot from 15 ft,,24-28,,
1:24.0,,,24-28,,Defensive rebound by A. Davis
1:08.0,,,24-28,,L. Galloway misses 2-pt shot from 22 ft
1:07.0,,,24-28,,Offensive rebound by S. Hill
0:57.0,,,24-28,,Shooting foul by T. Luwawu-Cabarrot (drawn by A. Davis)
0:57.0,,,24-29,1,A. Davis makes free throw 1 of 2
0:57.0,,,24-30,1,A. Davis makes free throw 2 of 2
0:50.0,T. McConnell misses 2-pt shot from 3 ft,,24-30,,
0:48.0,,,24-30,,Defensive rebound by Team
0:31.0,,,24-30,,A. Davis misses 2-pt shot from 10 ft
0:29.0,,,24-30,,Offensive rebound by O. Asik
0:29.0,Personal foul by T. Luwawu-Cabarrot (drawn by O. Asik),,24-30,,
0:29.0,,,24-30,,O. Asik misses free throw 1 of 2
0:29.0,,,24-30,,Offensive rebound by Team
0:29.0,,,24-31,1,O. Asik makes free throw 2 of 2
0:29.0,,,24-30,,T. Jones enters the game for A. Davis
0:06.0,D. Saric misses 3-pt shot from 26 ft,,24-31,,
0:06.0,Offensive rebound by T. McConnell,,24-31,,
0:00.0,T. McConnell makes 2-pt shot from 11 ft,2,26-31,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:38.0,,,26-31,,L. Galloway misses 2-pt shot from 19 ft
11:37.0,Defensive rebound by R. Holmes,,26-31,,
11:30.0,R. Covington makes 2-pt shot from 3 ft,2,28-31,,
11:14.0,,,28-31,,S. Hill misses 2-pt shot from 17 ft
11:14.0,Defensive rebound by R. Holmes,,28-31,,
11:08.0,Turnover by T. McConnell (bad pass; steal by A. Brown),,28-31,,
11:05.0,,,28-31,,A. Brown misses 2-pt shot from 2 ft
11:05.0,,,28-31,,Offensive rebound by L. Galloway
11:04.0,,,28-33,2,L. Galloway makes 2-pt shot from 2 ft
10:47.0,E. Ilyasova misses 3-pt shot from 25 ft,,28-33,,
10:45.0,,,28-33,,Defensive rebound by S. Hill
10:40.0,,,28-35,2,L. Galloway makes 2-pt shot from 1 ft (assist by S. Hill)
10:39.0,Philadelphia full timeout,,28-35,,
10:39.0,S. Rodriguez enters the game for N. Stauskas,,28-35,,
10:39.0,J. Embiid enters the game for R. Holmes,,28-35,,
10:39.0,G. Henderson enters the game for T. McConnell,,28-35,,
10:24.0,Turnover by J. Embiid (bad pass; steal by L. Galloway),,28-35,,
10:21.0,,,28-35,,Shooting foul by J. Embiid (drawn by T. Jones)
10:21.0,,,28-35,,T. Jones misses free throw 1 of 2
10:21.0,,,28-35,,Offensive rebound by Team
10:21.0,,,28-36,1,T. Jones makes free throw 2 of 2
10:10.0,R. Covington misses 3-pt shot from 27 ft,,28-36,,
10:10.0,,,28-36,,Defensive rebound by A. Brown
10:00.0,,,28-36,,A. Brown misses 2-pt shot from 19 ft
9:59.0,Defensive rebound by J. Embiid,,28-36,,
9:42.0,J. Embiid misses 3-pt shot from 26 ft,,28-36,,
9:39.0,Offensive rebound by R. Covington,,28-36,,
9:37.0,S. Rodriguez makes 2-pt shot from 2 ft (assist by R. Covington),2,30-36,,
9:23.0,,,30-38,2,A. Ajinca makes 2-pt shot at rim (assist by L. Galloway)
9:16.0,,,30-38,,Personal foul by T. Jones (drawn by S. Rodriguez)
9:16.0,,,30-38,,T. Frazier enters the game for L. Galloway
9:12.0,,,30-38,,Personal foul by A. Ajinca (drawn by J. Embiid)
9:12.0,,,30-38,,O. Asik enters the game for A. Ajinca
9:00.0,G. Henderson misses 2-pt shot from 11 ft,,30-38,,
8:58.0,Offensive rebound by J. Embiid,,30-38,,
8:52.0,J. Embiid makes 2-pt shot from 15 ft (assist by E. Ilyasova),2,32-38,,
8:37.0,,,32-38,,A. Brown misses 2-pt shot from 15 ft
8:36.0,Defensive rebound by R. Covington,,32-38,,
8:20.0,J. Embiid misses 3-pt shot from 24 ft,,32-38,,
8:19.0,,,32-38,,Defensive rebound by O. Asik
8:05.0,,,32-38,,Turnover by T. Frazier (bad pass; steal by J. Embiid)
7:57.0,J. Embiid makes 2-pt shot at rim (assist by S. Rodriguez),2,34-38,,
7:34.0,,,34-38,,T. Jones misses 3-pt shot from 24 ft
7:32.0,Defensive rebound by G. Henderson,,34-38,,
7:27.0,Turnover by S. Rodriguez (traveling),,34-38,,
7:15.0,,,34-38,,T. Frazier misses 2-pt shot from 3 ft (block by J. Embiid)
7:14.0,,,34-38,,Offensive rebound by O. Asik
7:13.0,,,34-38,,O. Asik misses 2-pt shot from 2 ft (block by R. Covington)
7:11.0,Defensive rebound by E. Ilyasova,,34-38,,
7:06.0,G. Henderson misses 3-pt shot from 27 ft,,34-38,,
7:04.0,,,34-38,,Defensive rebound by T. Frazier
6:48.0,Violation by J. Embiid (def goaltending),,34-38,,
6:48.0,,,34-40,2,S. Hill makes 2-pt shot from 2 ft
6:31.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by J. Embiid),3,37-40,,
6:25.0,,,37-40,,New Orleans full timeout
6:25.0,,,37-40,,A. Davis enters the game for O. Asik
6:25.0,,,37-40,,B. Hield enters the game for A. Brown
6:11.0,,,37-42,2,T. Jones makes 2-pt shot from 2 ft (assist by B. Hield)
5:51.0,R. Covington misses 2-pt shot from 2 ft,,37-42,,
5:49.0,,,37-42,,Defensive rebound by T. Jones
5:49.0,Loose ball foul by R. Covington (drawn by T. Jones),,37-42,,
5:49.0,R. Holmes enters the game for J. Embiid,,37-42,,
5:33.0,,,37-44,2,A. Davis makes 2-pt shot from 2 ft
5:19.0,,,37-44,,Personal foul by S. Hill (drawn by E. Ilyasova)
5:05.0,S. Rodriguez misses 2-pt shot from 21 ft,,37-44,,
5:04.0,,,37-44,,Defensive rebound by A. Davis
4:41.0,,,37-44,,B. Hield misses 2-pt shot from 3 ft (block by R. Holmes)
4:41.0,Defensive rebound by R. Holmes,,37-44,,
4:41.0,D. Saric enters the game for E. Ilyasova,,37-44,,
4:41.0,Jump ball: R. Holmes vs. T. Jones (D. Saric gains possession),,,,Jump ball: R. Holmes vs. T. Jones (D. Saric gains possession)
4:19.0,D. Saric misses 3-pt shot from 23 ft,,37-44,,
4:19.0,,,37-44,,Defensive rebound by T. Jones
4:12.0,,,37-44,,B. Hield misses 3-pt shot from 26 ft
4:10.0,Defensive rebound by D. Saric,,37-44,,
3:57.0,,,37-44,,Personal foul by B. Hield (drawn by R. Covington)
3:57.0,H. Thompson enters the game for R. Covington,,37-44,,
3:49.0,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez),2,39-44,,
3:33.0,,,39-46,2,T. Jones makes 2-pt shot from 2 ft (assist by T. Frazier)
3:12.0,G. Henderson misses 2-pt shot from 15 ft,,39-46,,
3:11.0,,,39-46,,Defensive rebound by T. Jones
3:07.0,Personal foul by R. Holmes (drawn by S. Hill),,39-46,,
3:07.0,T. McConnell enters the game for S. Rodriguez,,39-46,,
3:07.0,N. Stauskas enters the game for G. Henderson,,39-46,,
3:04.0,,,39-48,2,A. Davis makes 2-pt shot at rim (assist by T. Frazier)
2:44.0,D. Saric makes 3-pt shot from 26 ft (assist by T. McConnell),3,42-48,,
2:31.0,,,42-48,,Shooting foul by R. Holmes (drawn by T. Jones)
2:31.0,Official timeout,,42-48,,
2:31.0,,,42-48,,T. Jones misses free throw 1 of 2
2:31.0,,,42-48,,Offensive rebound by Team
2:31.0,,,42-49,1,T. Jones makes free throw 2 of 2
2:31.0,J. Embiid enters the game for R. Holmes,,42-48,,
2:31.0,,,42-48,,L. Galloway enters the game for T. Frazier
2:15.0,J. Embiid makes 2-pt shot from 2 ft,2,44-49,,
1:50.0,,,44-49,,A. Davis misses 2-pt shot from 2 ft
1:46.0,,,44-49,,Offensive rebound by A. Davis
1:46.0,,,44-51,2,A. Davis makes 2-pt shot at rim
1:20.0,N. Stauskas makes 3-pt shot from 26 ft (assist by T. McConnell),3,47-51,,
1:01.0,,,47-54,3,B. Hield makes 3-pt shot from 26 ft (assist by A. Davis)
0:40.0,D. Saric makes 2-pt shot from 6 ft,2,49-54,,
0:29.0,,,49-57,3,L. Galloway makes 3-pt shot from 23 ft (assist by S. Hill)
0:07.0,N. Stauskas makes 3-pt shot from 27 ft,3,52-57,,
0:03.0,,,52-57,,Turnover by S. Hill (bad pass)
0:03.0,Philadelphia full timeout,,52-57,,
0:00.0,J. Embiid misses 3-pt shot from 38 ft,,52-57,,
0:00.0,Offensive rebound by Team,,52-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,52-57,,S. Hill misses 3-pt shot from 26 ft
11:40.0,Defensive rebound by R. Covington,,52-57,,
11:30.0,E. Ilyasova misses 3-pt shot from 25 ft,,52-57,,
11:28.0,,,52-57,,Defensive rebound by A. Davis
11:14.0,,,52-57,,A. Davis misses 2-pt shot from 22 ft
11:13.0,Defensive rebound by J. Embiid,,52-57,,
11:03.0,S. Rodriguez makes 2-pt shot from 2 ft,2,54-57,,
10:53.0,,,54-57,,Turnover by B. Hield (step out of bounds)
10:33.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,57-57,,
10:06.0,,,57-57,,S. Hill misses 3-pt shot from 26 ft
10:05.0,,,57-57,,Offensive rebound by T. Frazier
9:58.0,,,57-57,,B. Hield misses 3-pt shot from 24 ft
9:57.0,,,57-57,,Offensive rebound by T. Frazier
9:55.0,,,57-57,,A. Davis misses 2-pt shot from 2 ft (block by J. Embiid)
9:55.0,Defensive rebound by Team,,57-57,,
9:30.0,G. Henderson makes 2-pt shot from 17 ft,2,59-57,,
9:11.0,,,59-60,3,S. Hill makes 3-pt shot from 25 ft (assist by A. Davis)
8:46.0,J. Embiid misses 2-pt shot from 7 ft,,59-60,,
8:43.0,,,59-60,,Defensive rebound by S. Hill
8:27.0,,,59-63,3,T. Frazier makes 3-pt shot from 25 ft (assist by O. Asik)
8:13.0,J. Embiid makes 2-pt shot from 2 ft,2,61-63,,
8:13.0,Shooting foul by O. Asik (drawn by J. Embiid),,61-63,,
8:13.0,J. Embiid misses free throw 1 of 1,,61-63,,
8:12.0,,,61-63,,Defensive rebound by T. Frazier
7:50.0,,,61-65,2,A. Davis makes 2-pt shot from 13 ft
7:36.0,G. Henderson misses 2-pt shot from 17 ft,,61-65,,
7:35.0,Offensive rebound by J. Embiid,,61-65,,
7:23.0,S. Rodriguez misses 3-pt shot from 26 ft,,61-65,,
7:22.0,,,61-65,,Defensive rebound by Team
7:13.0,,,61-65,,T. Frazier misses 3-pt shot from 27 ft
7:11.0,Defensive rebound by E. Ilyasova,,61-65,,
7:07.0,Philadelphia full timeout,,61-65,,
6:51.0,Turnover by J. Embiid (bad pass),,61-65,,
6:40.0,,,61-65,,B. Hield misses 3-pt shot from 26 ft
6:40.0,Defensive rebound by E. Ilyasova,,61-65,,
6:33.0,,,61-65,,Personal foul by O. Asik (drawn by J. Embiid)
6:33.0,R. Holmes enters the game for J. Embiid,,61-65,,
6:33.0,,,61-65,,A. Ajinca enters the game for O. Asik
6:24.0,E. Ilyasova misses 3-pt shot from 25 ft,,61-65,,
6:23.0,,,61-65,,Defensive rebound by A. Ajinca
6:07.0,,,61-65,,B. Hield misses 3-pt shot from 26 ft
6:06.0,Defensive rebound by G. Henderson,,61-65,,
5:52.0,E. Ilyasova misses 2-pt shot from 2 ft,,61-65,,
5:51.0,,,61-65,,Defensive rebound by A. Davis
5:44.0,,,61-65,,Turnover by T. Frazier (bad pass; steal by S. Rodriguez)
5:38.0,S. Rodriguez makes 3-pt shot from 26 ft,3,64-65,,
5:25.0,,,64-65,,Turnover by S. Hill (lost ball; steal by R. Covington)
5:20.0,Turnover by R. Covington (traveling),,64-65,,
5:20.0,D. Saric enters the game for E. Ilyasova,,64-65,,
5:19.0,N. Stauskas enters the game for G. Henderson,,64-65,,
5:02.0,,,64-65,,A. Davis misses 2-pt shot from 8 ft
5:01.0,Defensive rebound by N. Stauskas,,64-65,,
4:55.0,Turnover by R. Covington (bad pass),,64-65,,
4:44.0,,,64-65,,B. Hield misses 2-pt shot from 2 ft (block by R. Holmes)
4:44.0,,,64-65,,Offensive rebound by A. Ajinca
4:38.0,Loose ball foul by D. Saric (drawn by A. Ajinca),,64-65,,
4:38.0,,,64-65,,T. Frazier misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by Team,,64-65,,
4:25.0,R. Covington makes 3-pt shot from 25 ft (assist by R. Holmes),3,67-65,,
4:16.0,,,67-67,2,T. Frazier makes 2-pt shot from 2 ft
3:54.0,R. Covington misses 3-pt shot from 26 ft,,67-67,,
3:54.0,,,67-67,,Defensive rebound by Team
3:54.0,,,67-67,,L. Galloway enters the game for B. Hield
3:54.0,T. McConnell enters the game for S. Rodriguez,,67-67,,
3:54.0,,,67-67,,New Orleans full timeout
3:42.0,,,67-67,,L. Galloway misses 3-pt shot from 26 ft
3:42.0,,,67-67,,Offensive rebound by Team
3:42.0,,,67-67,,A. Brown enters the game for S. Hill
3:33.0,,,67-67,,A. Brown misses 3-pt shot from 26 ft
3:32.0,Defensive rebound by T. McConnell,,67-67,,
3:19.0,R. Covington misses 3-pt shot from 27 ft,,67-67,,
3:19.0,,,67-67,,Defensive rebound by A. Davis
3:07.0,,,67-67,,A. Brown misses 2-pt shot from 17 ft
3:06.0,Defensive rebound by R. Holmes,,67-67,,
2:59.0,R. Covington makes 2-pt shot from 2 ft (assist by N. Stauskas),2,69-67,,
2:46.0,,,69-67,,A. Davis misses 2-pt shot from 1 ft
2:45.0,Defensive rebound by R. Covington,,69-67,,
2:38.0,,,69-67,,Personal foul by T. Frazier (drawn by D. Saric)
2:38.0,H. Thompson enters the game for R. Covington,,69-67,,
2:23.0,R. Holmes misses 2-pt shot from 6 ft,,69-67,,
2:21.0,,,69-67,,Defensive rebound by A. Brown
2:16.0,,,69-67,,L. Galloway misses 2-pt shot from 16 ft
2:16.0,Defensive rebound by H. Thompson,,69-67,,
2:05.0,R. Holmes makes 2-pt shot from 19 ft (assist by T. McConnell),2,71-67,,
1:48.0,,,71-67,,L. Galloway misses 2-pt shot from 16 ft
1:47.0,Defensive rebound by R. Holmes,,71-67,,
1:34.0,R. Holmes misses 2-pt shot from 2 ft,,71-67,,
1:33.0,Offensive rebound by D. Saric,,71-67,,
1:27.0,H. Thompson misses 3-pt shot from 24 ft,,71-67,,
1:26.0,,,71-67,,Defensive rebound by T. Frazier
1:20.0,,,71-67,,A. Brown misses 3-pt shot from 25 ft
1:19.0,Defensive rebound by D. Saric,,71-67,,
1:02.0,D. Saric misses 3-pt shot from 27 ft,,71-67,,
1:00.0,,,71-67,,Defensive rebound by A. Ajinca
0:53.0,,,71-67,,A. Ajinca misses 2-pt shot from 21 ft
0:52.0,Defensive rebound by R. Holmes,,71-67,,
0:33.0,T. McConnell misses 2-pt shot from 3 ft,,71-67,,
0:32.0,,,71-67,,Defensive rebound by A. Davis
0:17.0,Personal foul by T. McConnell (drawn by T. Frazier),,71-67,,
0:05.0,,,71-67,,T. Frazier misses 2-pt shot from 4 ft
0:05.0,,,71-67,,Offensive rebound by Team
0:02.0,,,71-69,2,A. Davis makes 2-pt shot from 19 ft (assist by T. Frazier)
0:00.0,T. McConnell misses 3-pt shot from 41 ft,,71-69,,
0:00.0,Offensive rebound by Team,,71-69,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,N. Stauskas makes 2-pt shot from 2 ft,2,73-69,,
11:45.0,Shooting foul by A. Ajinca (drawn by N. Stauskas),,73-69,,
11:45.0,N. Stauskas makes free throw 1 of 1,1,74-69,,
11:33.0,,,74-71,2,A. Ajinca makes 2-pt shot from 2 ft (assist by L. Galloway)
11:17.0,Turnover by D. Saric (bad pass),,74-71,,
11:17.0,,,74-71,,T. Jones enters the game for A. Ajinca
11:01.0,,,74-71,,A. Davis misses 3-pt shot from 26 ft
11:00.0,Defensive rebound by D. Saric,,74-71,,
10:51.0,J. Embiid misses 3-pt shot from 27 ft,,74-71,,
10:51.0,,,74-71,,Defensive rebound by L. Galloway
10:47.0,,,74-71,,Turnover by T. Jones (lost ball; steal by J. Embiid)
10:28.0,E. Ilyasova makes 2-pt shot from 12 ft (assist by D. Saric),2,76-71,,
10:07.0,,,76-71,,T. Jones misses 3-pt shot from 25 ft
10:05.0,Defensive rebound by E. Ilyasova,,76-71,,
9:47.0,Turnover by J. Embiid (traveling),,76-71,,
9:42.0,,,76-71,,Turnover by L. Galloway (bad pass; steal by T. McConnell)
9:35.0,E. Ilyasova misses 2-pt shot from 19 ft,,76-71,,
9:33.0,Offensive rebound by N. Stauskas,,76-71,,
9:15.0,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell),3,79-71,,
8:55.0,,,79-73,2,A. Davis makes 2-pt shot from 15 ft
8:31.0,J. Embiid makes 2-pt shot from 3 ft,2,81-73,,
8:22.0,Personal foul by J. Embiid (drawn by A. Davis),,81-73,,
8:22.0,Official timeout,,81-73,,
8:22.0,R. Holmes enters the game for J. Embiid,,81-73,,
8:22.0,R. Covington enters the game for D. Saric,,81-73,,
8:11.0,,,81-73,,Shooting foul by E. Ilyasova (drawn by A. Davis)
8:11.0,,,81-74,1,A. Davis makes free throw 1 of 2
8:11.0,,,81-75,1,A. Davis makes free throw 2 of 2
8:11.0,,,81-74,,S. Hill enters the game for A. Brown
7:57.0,N. Stauskas makes 2-pt shot from 5 ft,2,83-75,,
7:39.0,,,83-77,2,S. Hill makes 2-pt shot from 2 ft
7:23.0,E. Ilyasova makes 2-pt shot from 2 ft (assist by N. Stauskas),2,85-77,,
7:11.0,,,85-79,2,L. Galloway makes 2-pt shot from 2 ft
7:11.0,,,85-79,,Shooting foul by T. McConnell (drawn by L. Galloway)
7:11.0,,,85-79,,L. Galloway misses free throw 1 of 1
7:09.0,Defensive rebound by E. Ilyasova,,85-79,,
6:54.0,N. Stauskas misses 3-pt shot from 25 ft,,85-79,,
6:54.0,,,85-79,,Defensive rebound by A. Davis
6:42.0,,,85-79,,A. Davis misses 2-pt shot from 10 ft
6:42.0,Defensive rebound by R. Covington,,85-79,,
6:35.0,N. Stauskas misses 3-pt shot from 24 ft,,85-79,,
6:33.0,,,85-79,,Defensive rebound by L. Galloway
6:21.0,Personal foul by R. Holmes (drawn by B. Hield),,85-79,,
6:21.0,D. Saric enters the game for E. Ilyasova,,85-79,,
6:15.0,,,85-82,3,L. Galloway makes 3-pt shot from 25 ft
6:02.0,R. Covington misses 2-pt shot from 3 ft (block by A. Davis),,85-82,,
5:58.0,,,85-82,,Defensive rebound by B. Hield
5:53.0,,,85-82,,L. Galloway misses 3-pt shot from 27 ft
5:51.0,Defensive rebound by T. McConnell,,85-82,,
5:49.0,,,85-82,,Shooting block foul by L. Galloway (drawn by R. Holmes)
5:49.0,,,85-82,,New Orleans full timeout
5:49.0,R. Holmes misses free throw 1 of 2,,85-82,,
5:49.0,Offensive rebound by Team,,85-82,,
5:49.0,R. Holmes misses free throw 2 of 2,,85-82,,
5:49.0,S. Rodriguez enters the game for N. Stauskas,,85-82,,
5:49.0,G. Henderson enters the game for T. McConnell,,85-82,,
5:49.0,,,85-82,,T. Frazier enters the game for B. Hield
5:48.0,,,85-82,,Defensive rebound by A. Davis
5:29.0,,,85-82,,A. Davis misses 2-pt shot from 1 ft (block by D. Saric)
5:28.0,Defensive rebound by R. Covington,,85-82,,
5:21.0,D. Saric makes 2-pt shot from 8 ft (assist by G. Henderson),2,87-82,,
5:06.0,Personal foul by D. Saric (drawn by A. Davis),,87-82,,
5:06.0,,,87-82,,A. Davis misses free throw 1 of 2
5:06.0,,,87-82,,Offensive rebound by Team
5:06.0,,,87-83,1,A. Davis makes free throw 2 of 2
5:06.0,J. Embiid enters the game for R. Holmes,,87-82,,
5:06.0,,,87-82,,O. Asik enters the game for T. Jones
4:41.0,J. Embiid misses 2-pt shot from 15 ft,,87-83,,
4:40.0,,,87-83,,Defensive rebound by A. Davis
4:23.0,,,87-83,,Turnover by S. Hill (bad pass; steal by G. Henderson)
4:18.0,D. Saric makes 2-pt shot from 3 ft (assist by S. Rodriguez),2,89-83,,
4:18.0,Shooting foul by L. Galloway (drawn by D. Saric),,89-83,,
4:18.0,D. Saric makes free throw 1 of 1,1,90-83,,
