time,Phoenix,pts.away,score,pts.home,Brooklyn
11:16.0,,,32-27,2,Q. Acy makes 2-pt shot from 18 ft (assist by K. McDaniels)
11:11.0,Turnover by A. Williams (bad pass; steal by I. Whitehead),,32-27,,
11:08.0,,,32-29,2,I. Whitehead makes 2-pt shot from 2 ft
11:08.0,,,32-29,,Shooting foul by A. Williams (drawn by I. Whitehead)
11:08.0,,,32-30,1,I. Whitehead makes free throw 1 of 1
11:08.0,Phoenix full timeout,,32-30,,
10:46.0,A. Williams misses 2-pt shot from 19 ft,,32-30,,
10:45.0,Offensive rebound by Team,,32-30,,
10:44.0,Turnover by Team (shot clock),,32-30,,
10:28.0,,,32-30,,Q. Acy misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by L. Barbosa,,32-30,,
10:16.0,Shooting foul by I. Whitehead (drawn by A. Williams),,32-30,,
10:16.0,A. Williams misses free throw 1 of 2,,32-30,,
10:16.0,Offensive rebound by Team,,32-30,,
10:16.0,A. Williams misses free throw 2 of 2,,32-30,,
10:15.0,,,32-30,,Defensive rebound by T. Booker
9:57.0,,,32-30,,I. Whitehead misses 3-pt shot from 26 ft
9:56.0,Defensive rebound by J. Eddie,,32-30,,
9:49.0,Turnover by A. Williams (offensive foul),,32-30,,
9:49.0,Offensive foul by A. Williams,,32-30,,
9:49.0,A. Len enters the game for A. Williams,,32-30,,
9:32.0,,,32-30,,S. Dinwiddie misses 3-pt shot from 26 ft
9:30.0,Defensive rebound by L. Barbosa,,32-30,,
9:24.0,L. Barbosa misses 2-pt shot from 8 ft,,32-30,,
9:23.0,,,32-30,,Defensive rebound by K. McDaniels
9:14.0,,,32-30,,Turnover by K. McDaniels (lost ball; steal by J. Dudley)
9:03.0,Turnover by T. Ulis (bad pass; steal by K. McDaniels),,32-30,,
8:58.0,,,32-30,,T. Booker misses 2-pt shot at rim
8:57.0,,,32-30,,Offensive rebound by I. Whitehead
8:55.0,,,32-32,2,I. Whitehead makes 2-pt shot from 2 ft
8:34.0,A. Len makes 2-pt shot from 1 ft (assist by J. Dudley),2,34-32,,
8:19.0,,,34-35,3,T. Booker makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
8:11.0,J. Dudley misses 3-pt shot from 27 ft,,34-35,,
8:10.0,,,34-35,,Defensive rebound by Q. Acy
7:59.0,,,34-37,2,T. Booker makes 2-pt shot from 2 ft
7:36.0,A. Len makes 2-pt shot from 2 ft,2,36-37,,
7:36.0,Shooting foul by T. Booker (drawn by A. Len),,36-37,,
7:36.0,A. Len misses free throw 1 of 1,,36-37,,
7:36.0,,,36-37,,R. Hollis-Jefferson enters the game for Q. Acy
7:36.0,D. Booker enters the game for J. Eddie,,36-37,,
7:36.0,,,36-37,,B. Lopez enters the game for T. Booker
7:35.0,,,36-37,,Defensive rebound by R. Hollis-Jefferson
7:26.0,,,36-37,,B. Lopez misses 3-pt shot from 25 ft
7:25.0,,,36-37,,Offensive rebound by Team
7:25.0,Loose ball foul by D. Booker,,36-37,,
7:08.0,,,36-37,,R. Hollis-Jefferson misses 2-pt shot from 8 ft
7:07.0,,,36-37,,Offensive rebound by K. McDaniels
7:04.0,,,36-37,,K. McDaniels misses 2-pt shot from 3 ft
7:03.0,,,36-37,,Offensive rebound by R. Hollis-Jefferson
6:51.0,,,36-37,,Turnover by B. Lopez (traveling)
6:51.0,,,36-37,,J. Lin enters the game for I. Whitehead
6:39.0,D. Booker makes 2-pt shot from 12 ft,2,38-37,,
6:28.0,,,38-37,,J. Lin misses 2-pt shot from 11 ft
6:27.0,Defensive rebound by L. Barbosa,,38-37,,
6:19.0,L. Barbosa misses 2-pt shot from 22 ft,,38-37,,
6:17.0,,,38-37,,Defensive rebound by R. Hollis-Jefferson
6:11.0,,,38-37,,R. Hollis-Jefferson misses 2-pt shot from 19 ft
6:10.0,Defensive rebound by A. Len,,38-37,,
5:58.0,A. Len misses 2-pt shot from 19 ft,,38-37,,
5:57.0,,,38-37,,Defensive rebound by J. Lin
5:54.0,Personal foul by A. Len (drawn by B. Lopez),,38-37,,
5:54.0,Official timeout,,38-37,,
5:54.0,,,38-37,,B. Lopez misses free throw 1 of 2
5:54.0,,,38-37,,Offensive rebound by Team
5:54.0,,,38-37,,B. Lopez misses free throw 2 of 2
5:54.0,M. Chriss enters the game for A. Len,,38-37,,
5:54.0,,,38-37,,R. Foye enters the game for S. Dinwiddie
5:54.0,,,38-37,,C. LeVert enters the game for K. McDaniels
5:52.0,Defensive rebound by M. Chriss,,38-37,,
5:40.0,J. Dudley makes 2-pt shot from 20 ft (assist by T. Ulis),2,40-37,,
5:29.0,,,40-37,,Shooting foul by J. Dudley (drawn by B. Lopez)
5:29.0,,,40-38,1,B. Lopez makes free throw 1 of 2
5:29.0,,,40-39,1,B. Lopez makes free throw 2 of 2
5:09.0,L. Barbosa misses 2-pt shot from 4 ft (block by B. Lopez),,40-39,,
5:07.0,,,40-39,,Defensive rebound by B. Lopez
5:02.0,Personal foul by L. Barbosa (drawn by J. Lin),,40-39,,
5:02.0,,,40-39,,J. Lin misses free throw 1 of 2
5:02.0,,,40-39,,Offensive rebound by Team
5:02.0,,,40-40,1,J. Lin makes free throw 2 of 2
4:50.0,,,40-40,,Personal foul by C. LeVert (drawn by D. Booker)
4:37.0,T. Ulis misses 2-pt shot from 20 ft,,40-40,,
4:36.0,Offensive rebound by J. Dudley,,40-40,,
4:33.0,Turnover by J. Dudley (lost ball; steal by R. Hollis-Jefferson),,40-40,,
4:26.0,,,40-40,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
4:25.0,Defensive rebound by D. Booker,,40-40,,
4:15.0,M. Chriss misses 3-pt shot from 26 ft,,40-40,,
4:14.0,,,40-40,,Defensive rebound by R. Hollis-Jefferson
4:06.0,,,40-40,,Turnover by B. Lopez (lost ball; steal by M. Chriss)
4:05.0,,,40-40,,Personal block foul by R. Foye (drawn by L. Barbosa)
4:01.0,D. Booker makes 2-pt shot from 9 ft (assist by J. Dudley),2,42-40,,
4:01.0,Shooting foul by J. Lin (drawn by D. Booker),,42-40,,
4:01.0,D. Booker makes free throw 1 of 1,1,43-40,,
3:54.0,,,43-40,,Shooting foul by T. Ulis (drawn by J. Lin)
3:54.0,,,43-41,1,J. Lin makes free throw 1 of 3
3:54.0,,,43-42,1,J. Lin makes free throw 2 of 3
3:54.0,,,43-43,1,J. Lin makes free throw 3 of 3
3:42.0,,,43-43,,Def 3 sec tech foul by B. Lopez
3:42.0,D. Booker makes technical free throw,1,44-43,,
3:35.0,L. Barbosa misses 3-pt shot from 24 ft,,44-43,,
3:33.0,Offensive rebound by J. Dudley,,44-43,,
3:28.0,M. Chriss misses 2-pt shot from 2 ft,,44-43,,
3:25.0,Offensive rebound by M. Chriss,,44-43,,
3:23.0,Shooting foul by J. Lin (drawn by M. Chriss),,44-43,,
3:23.0,M. Chriss misses free throw 1 of 2,,44-43,,
3:23.0,Offensive rebound by Team,,44-43,,
3:23.0,M. Chriss makes free throw 2 of 2,1,45-43,,
3:23.0,,,44-43,,Q. Acy enters the game for R. Hollis-Jefferson
3:13.0,,,45-43,,Turnover by J. Lin (lost ball; steal by T. Ulis)
2:57.0,M. Chriss misses 3-pt shot from 24 ft,,45-43,,
2:56.0,,,45-43,,Defensive rebound by R. Foye
2:46.0,,,45-43,,R. Foye misses 3-pt shot from 24 ft
2:45.0,Defensive rebound by T. Ulis,,45-43,,
2:37.0,M. Chriss makes 2-pt shot at rim (assist by L. Barbosa),2,47-43,,
2:34.0,,,47-43,,Brooklyn full timeout
2:34.0,,,47-43,,I. Whitehead enters the game for R. Foye
2:17.0,,,47-43,,C. LeVert misses 2-pt shot from 2 ft
2:15.0,,,47-43,,Offensive rebound by C. LeVert
2:10.0,,,47-46,3,J. Lin makes 3-pt shot from 25 ft (assist by C. LeVert)
1:58.0,Shooting foul by Q. Acy (drawn by J. Dudley),,47-46,,
1:58.0,J. Dudley misses free throw 1 of 3,,47-46,,
1:58.0,Offensive rebound by Team,,47-46,,
1:58.0,J. Dudley misses free throw 2 of 3,,47-46,,
1:58.0,Offensive rebound by Team,,47-46,,
1:58.0,J. Dudley makes free throw 3 of 3,1,48-46,,
1:43.0,,,48-46,,Turnover by C. LeVert (bad pass; steal by M. Chriss)
1:30.0,Turnover by D. Booker (lost ball; steal by Q. Acy),,48-46,,
1:30.0,Personal foul by M. Chriss (drawn by Q. Acy),,48-46,,
1:30.0,,,48-47,1,Q. Acy makes free throw 1 of 2
1:30.0,,,48-48,1,Q. Acy makes free throw 2 of 2
1:20.0,L. Barbosa misses 2-pt shot from 17 ft,,48-48,,
1:19.0,,,48-48,,Defensive rebound by C. LeVert
1:14.0,,,48-50,2,J. Lin makes 2-pt shot from 23 ft (assist by C. LeVert)
1:01.0,D. Booker makes 2-pt shot from 22 ft,2,50-50,,
0:54.0,,,50-50,,Turnover by J. Lin (bad pass; steal by J. Dudley)
0:50.0,Turnover by D. Booker (bad pass),,50-50,,
0:30.0,,,50-50,,Shooting foul by J. Dudley (drawn by J. Lin)
0:30.0,,,50-51,1,J. Lin makes free throw 1 of 2
0:30.0,,,50-52,1,J. Lin makes free throw 2 of 2
0:10.0,D. Booker misses 2-pt shot from 15 ft,,50-52,,
0:09.0,,,50-52,,Defensive rebound by I. Whitehead
0:02.0,,,50-52,,Q. Acy misses 3-pt shot from 23 ft
0:00.0,,,50-52,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,50-52,,B. Lopez misses 3-pt shot from 25 ft
11:46.0,Defensive rebound by M. Chriss,,50-52,,
11:34.0,D. Booker misses 2-pt shot from 15 ft,,50-52,,
11:33.0,,,50-52,,Defensive rebound by Team
11:33.0,Loose ball foul by M. Chriss (drawn by R. Hollis-Jefferson),,50-52,,
11:24.0,Violation by D. Booker (kicked ball),,50-52,,
11:22.0,Personal foul by M. Chriss (drawn by J. Lin),,50-52,,
11:16.0,,,50-54,2,R. Hollis-Jefferson makes 2-pt shot at rim (assist by J. Lin)
11:02.0,,,50-54,,Personal foul by R. Hollis-Jefferson (drawn by M. Chriss)
10:59.0,T. Ulis misses 2-pt shot from 19 ft,,50-54,,
10:56.0,,,50-54,,Defensive rebound by R. Hollis-Jefferson
10:51.0,Shooting block foul by M. Chriss (drawn by R. Hollis-Jefferson),,50-54,,
10:51.0,,,50-55,1,R. Hollis-Jefferson makes free throw 1 of 2
10:51.0,,,50-55,,R. Hollis-Jefferson misses free throw 2 of 2
10:51.0,L. Barbosa enters the game for M. Chriss,,50-55,,
10:50.0,,,50-55,,Offensive rebound by R. Hollis-Jefferson
10:47.0,,,50-55,,R. Hollis-Jefferson misses 2-pt shot from 4 ft
10:46.0,,,50-55,,Offensive rebound by B. Lopez
10:45.0,,,50-57,2,B. Lopez makes 2-pt shot from 4 ft
10:28.0,D. Booker makes 2-pt shot from 15 ft (assist by T. Ulis),2,52-57,,
10:15.0,,,52-57,,J. Lin misses 2-pt shot from 13 ft
10:13.0,Defensive rebound by A. Len,,52-57,,
10:05.0,D. Jones misses 2-pt shot from 16 ft,,52-57,,
10:04.0,Offensive rebound by Team,,52-57,,
10:04.0,,,52-57,,Loose ball foul by B. Lopez (drawn by A. Len)
9:58.0,D. Booker makes 3-pt shot from 25 ft (assist by T. Ulis),3,55-57,,
9:43.0,,,55-57,,Turnover by B. Lopez (lost ball; steal by L. Barbosa)
9:39.0,L. Barbosa misses 2-pt shot from 1 ft,,55-57,,
9:37.0,,,55-57,,Defensive rebound by R. Hollis-Jefferson
9:30.0,,,55-57,,Shooting foul by A. Len (drawn by C. LeVert)
9:30.0,,,55-57,,C. LeVert misses free throw 1 of 2
9:30.0,,,55-57,,Offensive rebound by Team
9:30.0,,,55-57,,C. LeVert misses free throw 2 of 2
9:29.0,Defensive rebound by A. Len,,55-57,,
9:22.0,T. Ulis makes 2-pt shot from 3 ft,2,57-57,,
9:13.0,,,57-57,,B. Lopez misses 2-pt shot from 2 ft
9:12.0,Defensive rebound by T. Ulis,,57-57,,
9:05.0,T. Ulis misses 3-pt shot from 24 ft,,57-57,,
9:01.0,,,57-57,,Defensive rebound by Team
8:52.0,,,57-57,,B. Lopez misses 3-pt shot from 24 ft
8:49.0,Defensive rebound by L. Barbosa,,57-57,,
8:45.0,D. Booker misses 3-pt shot from 25 ft,,57-57,,
8:42.0,,,57-57,,Defensive rebound by B. Lopez
8:34.0,,,57-59,2,B. Lopez makes 2-pt shot at rim (assist by R. Hollis-Jefferson)
8:18.0,D. Jones misses 3-pt shot from 23 ft,,57-59,,
8:17.0,,,57-59,,Defensive rebound by R. Hollis-Jefferson
8:12.0,,,57-59,,Shooting foul by D. Jones (drawn by C. LeVert)
8:12.0,,,57-61,2,C. LeVert makes 2-pt shot from 5 ft (assist by R. Hollis-Jefferson)
8:12.0,,,57-62,1,C. LeVert makes free throw 1 of 1
7:59.0,L. Barbosa misses 2-pt shot from 20 ft,,57-62,,
7:58.0,,,57-62,,Defensive rebound by R. Hollis-Jefferson
7:45.0,,,57-64,2,R. Hollis-Jefferson makes 2-pt shot from 10 ft
7:40.0,,,57-64,,Personal foul by R. Hollis-Jefferson (drawn by D. Booker)
7:30.0,A. Len misses 2-pt shot from 13 ft,,57-64,,
7:29.0,,,57-64,,Defensive rebound by J. Lin
7:20.0,,,57-66,2,B. Lopez makes 2-pt shot from 14 ft (assist by J. Lin)
7:20.0,Phoenix full timeout,,57-66,,
7:20.0,,,57-66,,S. Dinwiddie enters the game for R. Foye
7:20.0,J. Dudley enters the game for L. Barbosa,,57-66,,
7:05.0,J. Dudley makes 2-pt shot from 18 ft (assist by T. Ulis),2,59-66,,
6:47.0,,,59-66,,B. Lopez misses 2-pt shot from 2 ft
6:46.0,,,59-66,,Offensive rebound by R. Hollis-Jefferson
6:44.0,,,59-66,,R. Hollis-Jefferson misses 2-pt shot from 1 ft
6:43.0,Defensive rebound by A. Len,,59-66,,
6:35.0,T. Ulis misses 2-pt shot from 17 ft,,59-66,,
6:33.0,,,59-66,,Defensive rebound by R. Hollis-Jefferson
6:28.0,,,59-68,2,B. Lopez makes 2-pt shot from 1 ft (assist by J. Lin)
6:12.0,D. Booker misses 2-pt shot from 9 ft,,59-68,,
6:11.0,Offensive rebound by A. Len,,59-68,,
6:10.0,A. Len makes 2-pt shot at rim,2,61-68,,
5:55.0,,,61-68,,R. Hollis-Jefferson misses 2-pt shot from 18 ft
5:54.0,,,61-68,,Offensive rebound by B. Lopez
5:51.0,,,61-68,,B. Lopez misses 2-pt shot from 8 ft
5:50.0,,,61-68,,Offensive rebound by B. Lopez
5:49.0,,,61-68,,Shooting foul by J. Dudley (drawn by B. Lopez)
5:49.0,,,61-68,,B. Lopez misses free throw 1 of 2
5:49.0,,,61-68,,Offensive rebound by Team
5:49.0,,,61-69,1,B. Lopez makes free throw 2 of 2
5:49.0,,,61-68,,I. Whitehead enters the game for C. LeVert
5:43.0,D. Booker misses 3-pt shot from 24 ft,,61-69,,
5:42.0,,,61-69,,Defensive rebound by S. Dinwiddie
5:33.0,,,61-69,,I. Whitehead misses 3-pt shot from 26 ft
5:33.0,Defensive rebound by A. Len,,61-69,,
5:26.0,J. Dudley misses 3-pt shot from 25 ft,,61-69,,
5:25.0,,,61-69,,Defensive rebound by I. Whitehead
5:20.0,,,61-69,,Turnover by I. Whitehead (lost ball; steal by J. Dudley)
5:16.0,Offensive charge foul by D. Jones,,61-69,,
5:16.0,Turnover by D. Jones (offensive foul),,61-69,,
5:16.0,Technical foul by Team,,61-69,,
5:16.0,,,61-70,1,B. Lopez makes technical free throw
5:16.0,,,61-69,,Q. Acy enters the game for R. Hollis-Jefferson
5:07.0,,,61-70,,Offensive foul by Q. Acy
5:07.0,,,61-70,,Turnover by Q. Acy (offensive foul)
4:58.0,T. Ulis makes 2-pt shot from 15 ft,2,63-70,,
4:47.0,,,63-70,,Q. Acy misses 3-pt shot from 26 ft
4:46.0,Defensive rebound by Team,,63-70,,
4:33.0,D. Booker misses 2-pt shot from 20 ft,,63-70,,
4:32.0,,,63-70,,Defensive rebound by S. Dinwiddie
4:25.0,,,63-72,2,J. Lin makes 2-pt shot from 2 ft
4:19.0,Turnover by A. Len (bad pass),,63-72,,
4:19.0,,,63-72,,K. McDaniels enters the game for J. Lin
4:04.0,A. Williams enters the game for A. Len,,63-72,,
4:04.0,,,63-72,,Brooklyn full timeout
4:02.0,,,63-74,2,B. Lopez makes 2-pt shot at rim (assist by I. Whitehead)
3:46.0,T. Ulis misses 2-pt shot from 17 ft,,63-74,,
3:45.0,Offensive rebound by A. Williams,,63-74,,
3:41.0,A. Williams misses 2-pt shot from 6 ft,,63-74,,
3:40.0,,,63-74,,Defensive rebound by S. Dinwiddie
3:27.0,,,63-76,2,S. Dinwiddie makes 2-pt shot from 21 ft (assist by Q. Acy)
3:09.0,Turnover by A. Williams (lost ball; steal by I. Whitehead),,63-76,,
3:07.0,Personal foul by D. Booker (drawn by I. Whitehead),,63-76,,
3:07.0,,,63-77,1,I. Whitehead makes free throw 1 of 2
3:07.0,,,63-78,1,I. Whitehead makes free throw 2 of 2
3:07.0,,,63-77,,T. Booker enters the game for B. Lopez
3:00.0,,,63-78,,Personal foul by I. Whitehead (drawn by D. Jones)
2:43.0,D. Booker misses 3-pt shot from 26 ft,,63-78,,
2:42.0,,,63-78,,Defensive rebound by S. Dinwiddie
2:33.0,,,63-78,,T. Booker misses 2-pt shot from 10 ft
2:32.0,,,63-78,,Offensive rebound by T. Booker
2:31.0,,,63-80,2,T. Booker makes 2-pt shot from 2 ft
2:20.0,Offensive charge foul by D. Jones,,63-80,,
2:20.0,Turnover by D. Jones (offensive foul),,63-80,,
2:20.0,L. Barbosa enters the game for D. Jones,,63-80,,
2:09.0,,,63-80,,I. Whitehead misses 2-pt shot from 3 ft
2:07.0,,,63-80,,Offensive rebound by T. Booker
2:03.0,,,63-82,2,T. Booker makes 2-pt shot from 2 ft
1:56.0,Turnover by T. Ulis (bad pass; steal by S. Dinwiddie),,63-82,,
1:37.0,,,63-82,,S. Dinwiddie misses 2-pt shot from 7 ft
1:36.0,,,63-82,,Offensive rebound by T. Booker
1:35.0,,,63-82,,T. Booker misses 2-pt shot from 2 ft
1:34.0,Defensive rebound by D. Booker,,63-82,,
1:33.0,Shooting foul by I. Whitehead (drawn by D. Booker),,63-82,,
1:33.0,D. Booker makes free throw 1 of 2,1,64-82,,
1:33.0,D. Booker makes free throw 2 of 2,1,65-82,,
1:21.0,,,65-82,,K. McDaniels misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by L. Barbosa,,65-82,,
1:00.0,T. Ulis misses 2-pt shot from 20 ft,,65-82,,
0:58.0,,,65-82,,Defensive rebound by T. Booker
0:54.0,,,65-84,2,K. McDaniels makes 2-pt shot at rim (assist by T. Booker)
0:34.0,D. Booker misses 2-pt shot from 20 ft,,65-84,,
0:33.0,,,65-84,,Defensive rebound by K. McDaniels
0:25.0,,,65-84,,Turnover by I. Whitehead (lost ball; steal by D. Booker)
