time,Denver,pts.away,score,pts.home,Atlanta
8:31.0,,,7-10,,D. Howard misses 2-pt shot from 2 ft
8:29.0,Defensive rebound by N. Jokic,,7-10,,
8:23.0,Turnover by J. Nelson (bad pass; steal by D. Schroder),,7-10,,
8:16.0,,,7-10,,K. Bazemore misses 2-pt shot from 21 ft
8:14.0,,,7-10,,Offensive rebound by D. Howard
8:14.0,,,7-10,,Shooting foul by K. Faried (drawn by D. Howard)
8:14.0,,,7-10,,D. Howard misses free throw 1 of 2
8:14.0,,,7-10,,Offensive rebound by Team
8:14.0,,,7-11,1,D. Howard makes free throw 2 of 2
8:02.0,G. Harris misses 3-pt shot from 25 ft,,7-11,,
7:59.0,,,7-11,,Defensive rebound by D. Schroder
7:46.0,,,7-13,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
7:23.0,K. Faried misses 2-pt shot from 5 ft,,7-13,,
7:22.0,Offensive rebound by N. Jokic,,7-13,,
7:22.0,N. Jokic misses 2-pt shot from 1 ft,,7-13,,
7:20.0,Offensive rebound by N. Jokic,,7-13,,
7:20.0,N. Jokic makes 2-pt shot at rim,2,9-13,,
7:01.0,,,9-15,2,D. Howard makes 2-pt shot at rim (assist by K. Bazemore)
6:48.0,G. Harris misses 3-pt shot from 23 ft,,9-15,,
6:47.0,Offensive rebound by K. Faried,,9-15,,
6:42.0,K. Faried misses 2-pt shot from 9 ft,,9-15,,
6:39.0,Offensive rebound by N. Jokic,,9-15,,
6:39.0,N. Jokic misses 2-pt shot at rim,,9-15,,
6:38.0,Offensive rebound by N. Jokic,,9-15,,
6:38.0,N. Jokic misses 2-pt shot from 1 ft,,9-15,,
6:37.0,Offensive rebound by N. Jokic,,9-15,,
6:37.0,N. Jokic makes 2-pt shot from 1 ft,2,11-15,,
6:23.0,,,11-15,,T. Hardaway misses 2-pt shot from 12 ft
6:20.0,,,11-15,,Offensive rebound by T. Hardaway
6:18.0,,,11-18,3,P. Millsap makes 3-pt shot from 23 ft (assist by T. Hardaway)
6:07.0,G. Harris misses 2-pt shot at rim,,11-18,,
6:04.0,Offensive rebound by W. Chandler,,11-18,,
6:04.0,W. Chandler makes 2-pt shot from 1 ft,2,13-18,,
6:04.0,,,13-18,,Atlanta full timeout
6:04.0,,,13-18,,D. Bembry enters the game for K. Bazemore
6:04.0,W. Barton enters the game for K. Faried,,13-18,,
6:04.0,,,13-18,,Violation by Team (jump ball)
5:45.0,,,13-20,2,P. Millsap makes 2-pt shot from 7 ft
5:33.0,W. Barton misses 3-pt shot from 26 ft,,13-20,,
5:29.0,Offensive rebound by N. Jokic,,13-20,,
5:22.0,W. Chandler makes 3-pt shot from 26 ft (assist by J. Nelson),3,16-20,,
5:09.0,,,16-23,3,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Bembry)
4:53.0,,,16-23,,Violation by T. Hardaway (kicked ball)
4:47.0,J. Nelson makes 3-pt shot from 26 ft (assist by N. Jokic),3,19-23,,
4:32.0,,,19-25,2,P. Millsap makes 2-pt shot from 8 ft
4:20.0,W. Chandler misses 3-pt shot from 24 ft,,19-25,,
4:18.0,,,19-25,,Defensive rebound by D. Schroder
4:14.0,,,19-27,2,D. Bembry makes 2-pt shot at rim (assist by D. Schroder)
4:14.0,Denver full timeout,,19-27,,
4:14.0,,,19-27,,K. Humphries enters the game for D. Howard
3:54.0,G. Harris makes 2-pt shot from 20 ft,2,21-27,,
3:39.0,,,21-27,,Shooting foul by W. Chandler (drawn by D. Schroder)
3:39.0,,,21-28,1,D. Schroder makes free throw 1 of 2
3:39.0,,,21-29,1,D. Schroder makes free throw 2 of 2
3:39.0,D. Arthur enters the game for G. Harris,,21-28,,
3:29.0,,,21-29,,Personal foul by K. Humphries (drawn by N. Jokic)
3:25.0,Turnover by D. Arthur (bad pass; steal by D. Schroder),,21-29,,
3:25.0,Personal foul by J. Nelson (drawn by D. Schroder),,21-29,,
3:13.0,,,21-31,2,D. Schroder makes 2-pt shot from 19 ft
2:57.0,J. Nelson misses 3-pt shot from 24 ft,,21-31,,
2:56.0,,,21-31,,Defensive rebound by D. Bembry
2:48.0,,,21-31,,T. Hardaway misses 3-pt shot from 25 ft
2:46.0,Defensive rebound by D. Arthur,,21-31,,
2:36.0,D. Arthur makes 2-pt shot from 21 ft (assist by W. Barton),2,23-31,,
2:21.0,,,23-33,2,K. Humphries makes 2-pt shot from 18 ft (assist by D. Schroder)
2:03.0,D. Arthur misses 2-pt shot from 18 ft,,23-33,,
2:01.0,,,23-33,,Defensive rebound by D. Schroder
1:57.0,,,23-35,2,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder)
1:57.0,Denver full timeout,,23-35,,
1:57.0,,,23-35,,M. Dunleavy enters the game for T. Hardaway
1:57.0,,,23-35,,M. Muscala enters the game for P. Millsap
1:57.0,J. Murray enters the game for N. Jokic,,23-35,,
1:57.0,K. Faried enters the game for J. Nelson,,23-35,,
1:57.0,Violation by Team (jump ball),,23-35,,
1:52.0,Shooting foul by M. Dunleavy (drawn by W. Barton),,23-35,,
1:52.0,W. Barton makes free throw 1 of 2,1,24-35,,
1:52.0,W. Barton makes free throw 2 of 2,1,25-35,,
1:39.0,,,25-37,2,D. Schroder makes 2-pt shot from 1 ft
1:29.0,W. Barton makes 2-pt shot from 10 ft,2,27-37,,
1:04.0,,,27-37,,D. Schroder misses 3-pt shot from 26 ft (block by D. Arthur)
0:57.0,,,27-37,,Offensive rebound by M. Muscala
0:56.0,,,27-37,,M. Muscala misses 2-pt shot from 11 ft
0:53.0,Defensive rebound by W. Barton,,27-37,,
0:48.0,W. Chandler makes 2-pt shot from 20 ft,2,29-37,,
0:34.0,Personal foul by J. Murray (drawn by D. Schroder),,29-37,,
0:30.0,,,29-39,2,D. Schroder makes 2-pt shot from 22 ft (assist by K. Humphries)
0:10.0,Shooting foul by K. Humphries (drawn by K. Faried),,29-39,,
0:10.0,K. Faried makes free throw 1 of 2,1,30-39,,
0:10.0,K. Faried misses free throw 2 of 2,,30-39,,
0:10.0,J. Hernangomez enters the game for W. Chandler,,30-39,,
0:10.0,,,30-39,,T. Hardaway enters the game for D. Bembry
0:09.0,,,30-39,,Defensive rebound by K. Humphries
0:01.0,,,30-39,,D. Schroder misses 2-pt shot from 3 ft
0:00.0,Defensive rebound by J. Murray,,30-39,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,,,30-39,,M. Dunleavy misses 3-pt shot from 26 ft
11:43.0,Defensive rebound by G. Harris,,30-39,,
11:24.0,D. Arthur misses 2-pt shot from 2 ft,,30-39,,
11:23.0,,,30-39,,Defensive rebound by K. Humphries
10:59.0,,,30-39,,D. Bembry misses 2-pt shot from 10 ft
10:57.0,Defensive rebound by K. Faried,,30-39,,
10:36.0,D. Arthur makes 3-pt shot from 24 ft (assist by W. Barton),3,33-39,,
10:24.0,,,33-41,2,M. Muscala makes 2-pt shot from 14 ft (assist by M. Delaney)
10:07.0,J. Murray misses 2-pt shot from 5 ft,,33-41,,
10:06.0,,,33-41,,Defensive rebound by K. Humphries
10:01.0,,,33-43,2,D. Bembry makes 2-pt shot from 1 ft
10:01.0,Denver full timeout,,33-43,,
10:01.0,N. Jokic enters the game for K. Faried,,33-43,,
10:00.0,,,33-43,,K. Bazemore enters the game for M. Dunleavy
9:45.0,D. Arthur makes 3-pt shot from 25 ft (assist by W. Barton),3,36-43,,
9:29.0,,,36-43,,M. Muscala misses 3-pt shot from 24 ft
9:29.0,,,36-43,,Offensive rebound by Team
9:29.0,Loose ball foul by N. Jokic (drawn by K. Humphries),,36-43,,
9:26.0,,,36-43,,D. Bembry misses 2-pt shot at rim (block by W. Barton)
9:25.0,Defensive rebound by N. Jokic,,36-43,,
9:19.0,W. Barton misses 3-pt shot from 25 ft,,36-43,,
9:17.0,,,36-43,,Defensive rebound by K. Humphries
9:13.0,,,36-43,,Shooting foul by G. Harris (drawn by K. Bazemore)
9:13.0,,,36-44,1,K. Bazemore makes free throw 1 of 2
9:13.0,,,36-45,1,K. Bazemore makes free throw 2 of 2
9:13.0,,,36-44,,D. Howard enters the game for K. Humphries
9:00.0,W. Barton misses 3-pt shot from 24 ft,,36-45,,
8:59.0,,,36-45,,Defensive rebound by M. Muscala
8:52.0,,,36-47,2,K. Bazemore makes 2-pt shot from 21 ft
8:35.0,Turnover by G. Harris (bad pass; steal by K. Bazemore),,36-47,,
8:29.0,,,36-50,3,K. Bazemore makes 3-pt shot from 24 ft (assist by D. Bembry)
8:16.0,J. Murray makes 2-pt shot from 2 ft (assist by N. Jokic),2,38-50,,
8:00.0,,,38-52,2,D. Bembry makes 2-pt shot from 12 ft (assist by K. Bazemore)
7:50.0,Offensive foul by D. Arthur,,38-52,,
7:50.0,Turnover by D. Arthur (offensive foul),,38-52,,
7:50.0,Technical foul by Team,,38-52,,
7:50.0,,,38-52,,M. Muscala misses technical free throw
7:50.0,,,38-52,,Offensive rebound by Team
7:50.0,,,38-52,,P. Millsap enters the game for M. Muscala
7:40.0,,,38-52,,M. Delaney misses 2-pt shot from 17 ft
7:39.0,,,38-52,,Offensive rebound by D. Howard
7:35.0,,,38-52,,Turnover by K. Bazemore (bad pass)
7:26.0,W. Barton misses 3-pt shot from 23 ft,,38-52,,
7:24.0,,,38-52,,Defensive rebound by D. Howard
7:18.0,Personal foul by N. Jokic (drawn by D. Howard),,38-52,,
7:18.0,,,38-52,,T. Hardaway enters the game for D. Bembry
7:05.0,,,38-52,,M. Delaney misses 2-pt shot from 18 ft
7:03.0,Defensive rebound by J. Murray,,38-52,,
6:48.0,,,38-52,,Personal foul by K. Bazemore (drawn by W. Barton)
6:48.0,W. Chandler enters the game for D. Arthur,,38-52,,
6:33.0,W. Barton misses 3-pt shot from 25 ft,,38-52,,
6:32.0,,,38-52,,Defensive rebound by M. Delaney
6:21.0,,,38-52,,M. Delaney misses 2-pt shot from 12 ft
6:21.0,,,38-52,,Offensive rebound by Team
6:21.0,Loose ball foul by N. Jokic (drawn by D. Howard),,38-52,,
6:21.0,D. Arthur enters the game for N. Jokic,,38-52,,
6:09.0,,,38-52,,P. Millsap misses 3-pt shot from 26 ft
6:07.0,Defensive rebound by D. Arthur,,38-52,,
6:00.0,D. Arthur misses 3-pt shot from 24 ft,,38-52,,
5:59.0,Offensive rebound by Team,,38-52,,
5:59.0,Official timeout,,38-52,,
5:59.0,,,38-52,,D. Schroder enters the game for K. Bazemore
5:59.0,J. Nelson enters the game for G. Harris,,38-52,,
5:40.0,J. Murray misses 3-pt shot from 26 ft,,38-52,,
5:38.0,Offensive rebound by D. Arthur,,38-52,,
5:33.0,W. Barton makes 2-pt shot from 11 ft (assist by J. Nelson),2,40-52,,
5:20.0,,,40-54,2,D. Schroder makes 2-pt shot from 18 ft
5:07.0,,,40-54,,Def 3 sec tech foul by D. Howard
5:07.0,J. Murray makes technical free throw,1,41-54,,
5:00.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson),3,44-54,,
4:39.0,,,44-54,,P. Millsap misses 2-pt shot from 14 ft
4:39.0,Defensive rebound by Team,,44-54,,
4:39.0,,,44-54,,Loose ball foul by D. Howard (drawn by D. Arthur)
4:17.0,W. Barton misses 2-pt shot from 11 ft,,44-54,,
4:14.0,,,44-54,,Defensive rebound by D. Howard
4:06.0,,,44-57,3,T. Hardaway makes 3-pt shot from 25 ft (assist by D. Schroder)
3:55.0,Shooting foul by D. Howard (drawn by W. Barton),,44-57,,
3:55.0,,,44-57,,Technical foul by D. Howard (drawn by W. Barton)
3:55.0,J. Murray makes technical free throw,1,45-57,,
3:55.0,W. Barton misses free throw 1 of 2,,45-57,,
3:55.0,Offensive rebound by Team,,45-57,,
3:55.0,W. Barton makes free throw 2 of 2,1,46-57,,
3:55.0,,,45-57,,M. Muscala enters the game for D. Howard
3:55.0,J. Hernangomez enters the game for D. Arthur,,45-57,,
3:50.0,,,46-59,2,D. Schroder makes 2-pt shot from 1 ft
3:34.0,J. Hernangomez makes 3-pt shot from 23 ft (assist by W. Chandler),3,49-59,,
3:12.0,,,49-61,2,M. Delaney makes 2-pt shot from 20 ft (assist by P. Millsap)
3:00.0,J. Murray misses 3-pt shot from 23 ft,,49-61,,
2:58.0,,,49-61,,Defensive rebound by M. Muscala
2:44.0,,,49-61,,T. Hardaway misses 3-pt shot from 24 ft
2:44.0,,,49-61,,Offensive rebound by Team
2:44.0,Loose ball foul by J. Hernangomez,,49-61,,
2:44.0,,,49-61,,Atlanta full timeout
2:44.0,,,49-62,1,M. Muscala makes free throw 1 of 2
2:44.0,,,49-63,1,M. Muscala makes free throw 2 of 2
2:44.0,G. Harris enters the game for J. Murray,,49-61,,
2:24.0,W. Chandler misses 2-pt shot from 16 ft,,49-63,,
2:20.0,Offensive rebound by W. Barton,,49-63,,
2:20.0,W. Barton makes 2-pt shot at rim,2,51-63,,
2:02.0,,,51-63,,M. Delaney misses 3-pt shot from 25 ft
2:01.0,Defensive rebound by J. Hernangomez,,51-63,,
1:54.0,G. Harris misses 3-pt shot from 25 ft,,51-63,,
1:52.0,,,51-63,,Defensive rebound by M. Muscala
1:48.0,,,51-63,,Shooting foul by J. Nelson (drawn by M. Muscala)
1:48.0,,,51-64,1,M. Muscala makes free throw 1 of 2
1:48.0,,,51-65,1,M. Muscala makes free throw 2 of 2
1:30.0,Offensive foul by W. Chandler,,51-65,,
1:30.0,Turnover by W. Chandler (offensive foul),,51-65,,
1:16.0,,,51-67,2,D. Schroder makes 2-pt shot from 2 ft
0:59.0,W. Barton misses 3-pt shot from 24 ft,,51-67,,
0:57.0,,,51-67,,Defensive rebound by M. Delaney
0:53.0,,,51-67,,T. Hardaway misses 2-pt shot from 2 ft (block by W. Barton)
0:51.0,Defensive rebound by J. Hernangomez,,51-67,,
0:43.0,W. Chandler misses 2-pt shot from 22 ft,,51-67,,
0:40.0,Offensive rebound by W. Chandler,,51-67,,
0:37.0,Turnover by W. Chandler (lost ball; steal by D. Schroder),,51-67,,
0:35.0,,,51-69,2,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder)
0:31.0,W. Barton makes 2-pt shot from 1 ft,2,53-69,,
0:31.0,Shooting foul by M. Delaney (drawn by W. Barton),,53-69,,
0:31.0,W. Barton makes free throw 1 of 1,1,54-69,,
0:25.0,,,54-72,3,P. Millsap makes 3-pt shot from 25 ft (assist by D. Schroder)
0:04.0,,,54-72,,Personal foul by M. Muscala (drawn by W. Barton)
0:04.0,W. Barton makes free throw 1 of 2,1,55-72,,
0:04.0,,,55-72,,Atlanta full timeout
0:04.0,W. Barton misses free throw 2 of 2,,55-72,,
0:04.0,M. Beasley enters the game for J. Nelson,,55-72,,
0:04.0,J. O'Bryant enters the game for W. Chandler,,55-72,,
0:04.0,,,55-72,,M. Dunleavy enters the game for M. Delaney
0:03.0,,,55-72,,Defensive rebound by P. Millsap
0:00.0,,,55-72,,P. Millsap misses 3-pt shot from 42 ft
0:00.0,,,55-72,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:52.0,,,55-74,2,T. Hardaway makes 2-pt shot from 2 ft (assist by D. Howard)
11:39.0,G. Harris makes 2-pt shot from 5 ft (assist by W. Barton),2,57-74,,
11:39.0,Shooting foul by K. Bazemore (drawn by G. Harris),,57-74,,
11:39.0,G. Harris makes free throw 1 of 1,1,58-74,,
11:28.0,,,58-76,2,P. Millsap makes 2-pt shot from 16 ft (assist by D. Schroder)
11:10.0,G. Harris misses 3-pt shot from 23 ft,,58-76,,
11:07.0,,,58-76,,Defensive rebound by Team
10:53.0,,,58-78,2,D. Howard makes 2-pt shot at rim (assist by P. Millsap)
10:29.0,N. Jokic makes 2-pt shot from 5 ft,2,60-78,,
10:11.0,,,60-80,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
9:59.0,N. Jokic makes 3-pt shot from 24 ft (assist by J. Nelson),3,63-80,,
9:47.0,,,63-80,,Turnover by D. Schroder (bad pass; steal by W. Barton)
9:40.0,J. Nelson makes 3-pt shot from 24 ft (assist by W. Barton),3,66-80,,
9:22.0,,,66-80,,Turnover by K. Bazemore (bad pass; steal by J. Nelson)
9:14.0,W. Chandler misses 3-pt shot from 24 ft,,66-80,,
9:12.0,Offensive rebound by N. Jokic,,66-80,,
9:08.0,W. Chandler misses 2-pt shot from 3 ft,,66-80,,
9:07.0,,,66-80,,Defensive rebound by D. Howard
8:53.0,,,66-82,2,D. Schroder makes 2-pt shot from 2 ft (assist by P. Millsap)
8:52.0,Denver full timeout,,66-82,,
8:52.0,,,66-82,,M. Delaney enters the game for K. Bazemore
8:36.0,N. Jokic makes 2-pt shot from 2 ft (assist by J. Nelson),2,68-82,,
8:15.0,,,68-84,2,P. Millsap makes 2-pt shot from 15 ft
8:03.0,J. Nelson misses 2-pt shot from 3 ft,,68-84,,
7:59.0,Offensive rebound by W. Barton,,68-84,,
7:59.0,W. Barton makes 2-pt shot at rim,2,70-84,,
7:51.0,Personal block foul by J. Nelson (drawn by D. Schroder),,70-84,,
7:44.0,,,70-86,2,P. Millsap makes 2-pt shot from 18 ft (assist by D. Schroder)
7:17.0,W. Chandler makes 2-pt shot at rim (assist by J. Nelson),2,72-86,,
6:59.0,,,72-86,,Turnover by D. Schroder (bad pass; steal by W. Barton)
6:55.0,,,72-86,,Shooting block foul by M. Delaney (drawn by G. Harris)
6:55.0,G. Harris misses free throw 1 of 2,,72-86,,
6:55.0,Offensive rebound by Team,,72-86,,
6:55.0,G. Harris makes free throw 2 of 2,1,73-86,,
6:42.0,,,73-86,,Turnover by D. Schroder (bad pass; steal by W. Chandler)
6:32.0,N. Jokic misses 2-pt shot from 11 ft,,73-86,,
6:30.0,,,73-86,,Defensive rebound by D. Howard
6:28.0,,,73-86,,Turnover by D. Howard (lost ball; steal by G. Harris)
6:24.0,G. Harris misses 3-pt shot from 24 ft,,73-86,,
6:22.0,Offensive rebound by W. Barton,,73-86,,
6:12.0,W. Chandler makes 3-pt shot from 24 ft (assist by G. Harris),3,76-86,,
5:51.0,,,76-88,2,D. Howard makes 2-pt shot at rim (assist by T. Hardaway)
5:37.0,W. Chandler makes 3-pt shot from 25 ft (assist by J. Nelson),3,79-88,,
5:37.0,,,79-88,,Atlanta full timeout
5:37.0,,,79-88,,M. Muscala enters the game for D. Howard
5:23.0,,,79-88,,T. Hardaway misses 3-pt shot from 24 ft
5:21.0,,,79-88,,Offensive rebound by P. Millsap
5:05.0,,,79-90,2,M. Muscala makes 2-pt shot from 14 ft (assist by D. Schroder)
4:40.0,W. Barton misses 3-pt shot from 24 ft,,79-90,,
4:39.0,,,79-90,,Defensive rebound by M. Muscala
4:33.0,,,79-90,,D. Schroder misses 2-pt shot from 22 ft
4:32.0,Defensive rebound by N. Jokic,,79-90,,
4:23.0,Turnover by W. Barton (step out of bounds),,79-90,,
4:08.0,,,79-90,,Turnover by M. Muscala (lost ball; steal by G. Harris)
4:03.0,G. Harris makes 2-pt shot from 1 ft,2,81-90,,
3:38.0,,,81-90,,D. Schroder misses 3-pt shot from 26 ft
3:36.0,Defensive rebound by W. Chandler,,81-90,,
3:29.0,J. Nelson misses 3-pt shot from 25 ft,,81-90,,
3:25.0,,,81-90,,Defensive rebound by D. Schroder
3:21.0,,,81-92,2,T. Hardaway makes 2-pt shot at rim (assist by D. Schroder)
3:01.0,J. Nelson misses 2-pt shot from 4 ft (block by P. Millsap),,81-92,,
2:59.0,,,81-92,,Defensive rebound by T. Hardaway
2:55.0,,,81-94,2,M. Delaney makes 2-pt shot from 1 ft (assist by T. Hardaway)
2:55.0,Denver full timeout,,81-94,,
2:55.0,,,81-94,,D. Bembry enters the game for D. Schroder
2:55.0,J. Murray enters the game for N. Jokic,,81-94,,
2:55.0,D. Arthur enters the game for G. Harris,,81-94,,
2:37.0,W. Chandler misses 2-pt shot from 2 ft (block by M. Muscala),,81-94,,
2:35.0,,,81-94,,Defensive rebound by D. Bembry
2:16.0,,,81-96,2,M. Muscala makes 2-pt shot from 12 ft (assist by M. Delaney)
2:05.0,D. Arthur makes 2-pt shot from 15 ft (assist by J. Nelson),2,83-96,,
1:57.0,,,83-96,,T. Hardaway misses 3-pt shot from 26 ft
1:55.0,Defensive rebound by W. Chandler,,83-96,,
1:45.0,W. Barton makes 2-pt shot from 6 ft,2,85-96,,
1:32.0,,,85-96,,Turnover by M. Delaney (bad pass)
1:32.0,J. Hernangomez enters the game for J. Nelson,,85-96,,
1:22.0,D. Arthur misses 2-pt shot from 11 ft,,85-96,,
1:20.0,,,85-96,,Defensive rebound by M. Muscala
1:09.0,,,85-96,,M. Muscala misses 2-pt shot from 14 ft
1:07.0,Defensive rebound by W. Barton,,85-96,,
1:01.0,W. Barton misses 2-pt shot from 2 ft (block by D. Bembry),,85-96,,
1:00.0,,,85-96,,Defensive rebound by P. Millsap
0:56.0,,,85-96,,T. Hardaway misses 2-pt shot from 1 ft
0:56.0,,,85-96,,Offensive rebound by D. Bembry
0:56.0,,,85-98,2,D. Bembry makes 2-pt shot at rim
0:36.0,J. Murray makes 2-pt shot from 18 ft,2,87-98,,
0:31.0,,,87-98,,P. Millsap misses 3-pt shot from 25 ft
0:29.0,,,87-98,,Offensive rebound by M. Delaney
0:12.0,Personal take foul by J. Murray (drawn by M. Delaney),,87-98,,
0:12.0,,,87-98,,M. Dunleavy enters the game for D. Bembry
0:01.0,,,87-98,,T. Hardaway misses 3-pt shot from 24 ft
0:00.0,Defensive rebound by J. Hernangomez,,87-98,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,G. Harris misses 2-pt shot from 2 ft,,87-98,,
11:43.0,Offensive rebound by D. Arthur,,87-98,,
11:42.0,Turnover by J. Hernangomez (traveling),,87-98,,
11:27.0,,,87-100,2,K. Humphries makes 2-pt shot from 3 ft (assist by M. Delaney)
11:15.0,G. Harris makes 3-pt shot from 25 ft (assist by N. Jokic),3,90-100,,
10:58.0,,,90-103,3,K. Humphries makes 3-pt shot from 25 ft (assist by M. Delaney)
10:49.0,,,90-103,,Personal foul by K. Humphries (drawn by N. Jokic)
10:44.0,N. Jokic makes 3-pt shot from 24 ft (assist by G. Harris),3,93-103,,
10:23.0,,,93-105,2,D. Bembry makes 2-pt shot at rim
10:07.0,G. Harris misses 3-pt shot from 23 ft,,93-105,,
10:04.0,,,93-105,,Defensive rebound by M. Delaney
9:50.0,,,93-105,,M. Delaney misses 3-pt shot from 25 ft
9:49.0,Defensive rebound by J. Hernangomez,,93-105,,
9:43.0,J. Hernangomez misses 3-pt shot from 26 ft,,93-105,,
9:42.0,,,93-105,,Defensive rebound by M. Delaney
9:27.0,,,93-105,,M. Muscala misses 3-pt shot from 25 ft
9:26.0,Defensive rebound by N. Jokic,,93-105,,
9:13.0,D. Arthur misses 3-pt shot from 25 ft,,93-105,,
9:11.0,,,93-105,,Defensive rebound by D. Bembry
8:54.0,,,93-105,,M. Delaney misses 2-pt shot from 19 ft
8:53.0,Defensive rebound by N. Jokic,,93-105,,
8:39.0,D. Arthur misses 2-pt shot from 16 ft,,93-105,,
8:38.0,,,93-105,,Defensive rebound by M. Dunleavy
8:23.0,,,93-105,,K. Humphries misses 3-pt shot from 25 ft
8:21.0,Defensive rebound by J. Murray,,93-105,,
8:12.0,J. Murray makes 2-pt shot from 4 ft,2,95-105,,
8:12.0,,,95-105,,Atlanta full timeout
8:12.0,,,95-105,,K. Bazemore enters the game for D. Bembry
8:12.0,,,95-105,,P. Millsap enters the game for M. Dunleavy
8:12.0,,,95-105,,T. Hardaway enters the game for M. Muscala
8:12.0,,,95-105,,D. Schroder enters the game for M. Delaney
8:12.0,W. Barton enters the game for G. Harris,,95-105,,
7:55.0,,,95-107,2,P. Millsap makes 2-pt shot from 19 ft (assist by T. Hardaway)
7:36.0,J. Murray makes 3-pt shot from 23 ft (assist by D. Arthur),3,98-107,,
7:17.0,,,98-107,,K. Bazemore misses 3-pt shot from 26 ft
7:14.0,Defensive rebound by N. Jokic,,98-107,,
7:05.0,J. Hernangomez makes 2-pt shot from 3 ft (assist by W. Barton),2,100-107,,
6:44.0,,,100-107,,D. Schroder misses 2-pt shot from 10 ft (block by J. Murray)
6:42.0,Defensive rebound by J. Murray,,100-107,,
6:29.0,N. Jokic misses 2-pt shot from 7 ft,,100-107,,
6:27.0,Offensive rebound by J. Hernangomez,,100-107,,
6:27.0,Shooting foul by P. Millsap,,100-107,,
6:27.0,J. Hernangomez misses free throw 1 of 2,,100-107,,
6:27.0,Offensive rebound by Team,,100-107,,
6:27.0,J. Hernangomez makes free throw 2 of 2,1,101-107,,
6:27.0,,,100-107,,D. Howard enters the game for K. Humphries
6:16.0,,,101-107,,P. Millsap misses 2-pt shot from 12 ft
6:14.0,,,101-107,,Offensive rebound by Team
6:14.0,W. Chandler enters the game for N. Jokic,,101-107,,
6:08.0,,,101-107,,Turnover by K. Bazemore (lost ball; steal by W. Chandler)
5:50.0,J. Hernangomez misses 3-pt shot from 23 ft,,101-107,,
5:47.0,Offensive rebound by J. Murray,,101-107,,
5:42.0,J. Murray misses 3-pt shot from 24 ft,,101-107,,
5:42.0,Offensive rebound by Team,,101-107,,
5:42.0,,,101-107,,Loose ball foul by D. Schroder
5:42.0,Official timeout,,101-107,,
5:42.0,N. Jokic enters the game for D. Arthur,,101-107,,
5:32.0,J. Murray misses 3-pt shot from 25 ft,,101-107,,
5:31.0,,,101-107,,Defensive rebound by D. Howard
5:16.0,,,101-107,,D. Howard misses 2-pt shot from 1 ft
5:14.0,,,101-107,,Offensive rebound by D. Howard
5:13.0,,,101-107,,D. Howard misses 2-pt shot from 1 ft
5:12.0,Defensive rebound by J. Hernangomez,,101-107,,
