time,New York,pts.away,score,pts.home,Houston
6:24.0,,,17-9,,Offensive rebound by J. Harden
6:13.0,,,17-11,2,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden)
5:58.0,B. Jennings makes 2-pt shot from 14 ft,2,19-11,,
5:49.0,,,19-13,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
5:41.0,New York full timeout,,19-13,,
5:41.0,,,19-13,,E. Gordon enters the game for C. Brewer
5:32.0,D. Rose misses 2-pt shot from 15 ft,,19-13,,
5:32.0,,,19-13,,Defensive rebound by T. Ariza
5:27.0,,,19-13,,Turnover by J. Harden (bad pass)
5:11.0,B. Jennings makes 2-pt shot from 19 ft,2,21-13,,
4:49.0,,,21-13,,E. Gordon misses 3-pt shot from 24 ft
4:47.0,Defensive rebound by D. Rose,,21-13,,
4:44.0,Shooting foul by T. Ariza (drawn by D. Rose),,21-13,,
4:44.0,D. Rose makes free throw 1 of 2,1,22-13,,
4:44.0,D. Rose makes free throw 2 of 2,1,23-13,,
4:44.0,,,22-13,,N. Hilario enters the game for M. Harrell
4:44.0,,,22-13,,S. Dekker enters the game for R. Anderson
4:44.0,W. Hernangomez enters the game for J. Noah,,22-13,,
4:32.0,,,23-13,,S. Dekker misses 3-pt shot from 23 ft
4:31.0,,,23-13,,Offensive rebound by J. Harden
4:27.0,,,23-16,3,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden)
4:04.0,L. Thomas misses 2-pt shot from 1 ft,,23-16,,
4:03.0,,,23-16,,Defensive rebound by J. Harden
3:59.0,,,23-19,3,T. Ariza makes 3-pt shot from 25 ft (assist by J. Harden)
3:38.0,C. Anthony makes 2-pt shot from 2 ft,2,25-19,,
3:13.0,,,25-19,,E. Gordon misses 3-pt shot from 25 ft
3:11.0,Defensive rebound by W. Hernangomez,,25-19,,
3:04.0,B. Jennings misses 3-pt shot from 25 ft,,25-19,,
3:03.0,,,25-19,,Defensive rebound by J. Harden
2:59.0,,,25-19,,Turnover by E. Gordon (step out of bounds)
2:59.0,,,25-19,,Houston full timeout
2:59.0,J. Holiday enters the game for C. Anthony,,25-19,,
2:59.0,M. Kuzminskas enters the game for D. Rose,,25-19,,
2:45.0,M. Kuzminskas makes 2-pt shot at rim (assist by L. Thomas),2,27-19,,
2:20.0,,,27-19,,T. Ariza misses 3-pt shot from 25 ft
2:19.0,Defensive rebound by B. Jennings,,27-19,,
2:13.0,L. Thomas makes 3-pt shot from 24 ft (assist by B. Jennings),3,30-19,,
1:51.0,,,30-19,,E. Gordon misses 2-pt shot from 18 ft
1:50.0,,,30-19,,Offensive rebound by S. Dekker
1:46.0,,,30-22,3,E. Gordon makes 3-pt shot from 25 ft (assist by S. Dekker)
1:36.0,B. Jennings misses 2-pt shot from 16 ft,,30-22,,
1:34.0,,,30-22,,Defensive rebound by T. Ariza
1:27.0,,,30-22,,J. Harden misses 3-pt shot from 25 ft
1:25.0,Defensive rebound by J. Holiday,,30-22,,
1:20.0,L. Thomas misses 3-pt shot from 25 ft,,30-22,,
1:18.0,,,30-22,,Defensive rebound by Team
1:07.0,,,30-22,,S. Dekker misses 2-pt shot from 2 ft
1:07.0,Defensive rebound by M. Kuzminskas,,30-22,,
0:58.0,W. Hernangomez misses 2-pt shot from 18 ft,,30-22,,
0:57.0,,,30-22,,Defensive rebound by J. Harden
0:50.0,,,30-25,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
0:28.0,M. Kuzminskas misses 2-pt shot from 7 ft,,30-25,,
0:28.0,,,30-25,,Defensive rebound by J. Harden
0:08.0,,,30-25,,Shooting foul by M. Kuzminskas (drawn by J. Harden)
0:08.0,,,30-26,1,J. Harden makes free throw 1 of 2
0:08.0,,,30-27,1,J. Harden makes free throw 2 of 2
0:08.0,C. Anthony enters the game for M. Kuzminskas,,30-26,,
0:08.0,D. Rose enters the game for L. Thomas,,30-26,,
0:03.0,,,30-27,,Personal foul by E. Gordon (drawn by D. Rose)
0:00.0,D. Rose makes 2-pt shot from 1 ft (assist by C. Anthony),2,32-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,,,32-29,2,C. Brewer makes 2-pt shot at rim
11:17.0,C. Anthony misses 2-pt shot from 12 ft,,32-29,,
11:16.0,,,32-29,,Defensive rebound by S. Dekker
11:05.0,,,32-29,,E. Gordon misses 3-pt shot from 25 ft
11:03.0,Defensive rebound by W. Hernangomez,,32-29,,
10:52.0,J. Holiday makes 3-pt shot from 23 ft (assist by C. Anthony),3,35-29,,
10:37.0,,,35-29,,N. Hilario misses 2-pt shot from 7 ft
10:36.0,Defensive rebound by W. Hernangomez,,35-29,,
10:26.0,D. Rose misses 3-pt shot from 25 ft,,35-29,,
10:24.0,,,35-29,,Defensive rebound by C. Brewer
10:17.0,,,35-31,2,N. Hilario makes 2-pt shot from 14 ft (assist by C. Brewer)
10:09.0,New York full timeout,,35-31,,
10:09.0,,,35-31,,M. Harrell enters the game for N. Hilario
9:57.0,J. Holiday makes 3-pt shot from 24 ft (assist by D. Rose),3,38-31,,
9:36.0,,,38-31,,E. Gordon misses 2-pt shot from 16 ft
9:35.0,Defensive rebound by D. Rose,,38-31,,
9:25.0,J. Holiday misses 2-pt shot from 5 ft,,38-31,,
9:24.0,Offensive rebound by C. Anthony,,38-31,,
9:20.0,S. Vujacic misses 3-pt shot from 25 ft,,38-31,,
9:19.0,,,38-31,,Defensive rebound by S. Dekker
9:12.0,,,38-31,,S. Dekker misses 3-pt shot from 24 ft
9:11.0,,,38-31,,Offensive rebound by C. Brewer
9:07.0,,,38-31,,E. Gordon misses 3-pt shot from 25 ft
9:05.0,Defensive rebound by W. Hernangomez,,38-31,,
8:54.0,C. Anthony makes 2-pt shot from 2 ft (assist by D. Rose),2,40-31,,
8:37.0,,,40-31,,Turnover by E. Gordon (step out of bounds)
8:37.0,,,40-31,,R. Anderson enters the game for S. Dekker
8:25.0,D. Rose misses 2-pt shot from 6 ft,,40-31,,
8:23.0,Offensive rebound by W. Hernangomez,,40-31,,
8:22.0,W. Hernangomez misses 2-pt shot from 1 ft,,40-31,,
8:21.0,,,40-31,,Defensive rebound by E. Gordon
8:12.0,,,40-34,3,R. Anderson makes 3-pt shot from 26 ft (assist by E. Gordon)
7:55.0,C. Anthony misses 2-pt shot from 20 ft,,40-34,,
7:53.0,Offensive rebound by W. Hernangomez,,40-34,,
7:52.0,W. Hernangomez misses 2-pt shot from 1 ft (block by R. Anderson),,40-34,,
7:51.0,Offensive rebound by W. Hernangomez,,40-34,,
7:51.0,Shooting foul by T. Ennis (drawn by W. Hernangomez),,40-34,,
7:51.0,W. Hernangomez makes free throw 1 of 2,1,41-34,,
7:51.0,W. Hernangomez misses free throw 2 of 2,,41-34,,
7:51.0,,,41-34,,Defensive rebound by R. Anderson
7:51.0,,,41-34,,J. Harden enters the game for T. Ennis
7:51.0,L. Thomas enters the game for J. Holiday,,41-34,,
7:51.0,B. Jennings enters the game for S. Vujacic,,41-34,,
7:35.0,Personal foul by C. Anthony (drawn by R. Anderson),,41-34,,
7:35.0,J. Noah enters the game for W. Hernangomez,,41-34,,
7:31.0,,,41-37,3,J. Harden makes 3-pt shot from 25 ft (assist by M. Harrell)
7:16.0,L. Thomas misses 2-pt shot from 20 ft,,41-37,,
7:14.0,,,41-37,,Defensive rebound by J. Harden
7:07.0,,,41-37,,Turnover by J. Harden (bad pass; steal by D. Rose)
7:02.0,D. Rose misses 2-pt shot from 2 ft,,41-37,,
7:01.0,Offensive rebound by D. Rose,,41-37,,
7:01.0,D. Rose makes 2-pt shot from 1 ft,2,43-37,,
7:01.0,Shooting foul by C. Brewer (drawn by D. Rose),,43-37,,
7:01.0,D. Rose makes free throw 1 of 1,1,44-37,,
6:48.0,,,44-40,3,R. Anderson makes 3-pt shot from 25 ft (assist by J. Harden)
6:39.0,,,44-40,,Shooting block foul by M. Harrell (drawn by B. Jennings)
6:39.0,B. Jennings misses free throw 1 of 2,,44-40,,
6:39.0,Offensive rebound by Team,,44-40,,
6:39.0,B. Jennings misses free throw 2 of 2,,44-40,,
6:39.0,,,44-40,,Defensive rebound by M. Harrell
6:38.0,Personal foul by C. Anthony (drawn by M. Harrell),,44-40,,
6:18.0,,,44-40,,J. Harden misses 2-pt shot from 15 ft
6:16.0,Defensive rebound by J. Noah,,44-40,,
6:06.0,C. Anthony misses 2-pt shot from 2 ft,,44-40,,
6:05.0,Offensive rebound by J. Noah,,44-40,,
6:05.0,J. Noah makes 2-pt shot from 1 ft,2,46-40,,
5:49.0,,,46-40,,Shooting foul by L. Thomas (drawn by J. Harden)
5:49.0,Official timeout,,46-40,,
5:49.0,,,46-41,1,J. Harden makes free throw 1 of 2
5:49.0,,,46-42,1,J. Harden makes free throw 2 of 2
5:49.0,,,46-40,,T. Ariza enters the game for E. Gordon
5:27.0,Turnover by C. Anthony (3 sec),,46-42,,
5:13.0,,,46-45,3,R. Anderson makes 3-pt shot from 26 ft (assist by J. Harden)
5:01.0,C. Anthony misses 2-pt shot from 2 ft,,46-45,,
4:59.0,,,46-45,,Defensive rebound by J. Harden
4:53.0,,,46-45,,J. Harden misses 2-pt shot from 2 ft (block by J. Noah)
4:51.0,,,46-45,,Offensive rebound by R. Anderson
4:50.0,,,46-47,2,R. Anderson makes 2-pt shot from 1 ft
4:28.0,D. Rose misses 2-pt shot from 12 ft,,46-47,,
4:27.0,,,46-47,,Defensive rebound by C. Brewer
4:20.0,,,46-49,2,C. Brewer makes 2-pt shot at rim (assist by J. Harden)
4:20.0,New York full timeout,,46-49,,
4:20.0,J. Holiday enters the game for C. Anthony,,46-49,,
4:08.0,B. Jennings misses 2-pt shot from 22 ft,,46-49,,
4:08.0,Offensive rebound by Team,,46-49,,
4:08.0,,,46-49,,Loose ball foul by J. Harden (drawn by J. Noah)
4:01.0,J. Holiday makes 2-pt shot from 1 ft (assist by D. Rose),2,48-49,,
3:44.0,,,48-52,3,J. Harden makes 3-pt shot from 24 ft
3:25.0,L. Thomas misses 3-pt shot from 24 ft,,48-52,,
3:23.0,,,48-52,,Defensive rebound by T. Ariza
3:23.0,Loose ball foul by J. Noah (drawn by T. Ariza),,48-52,,
3:11.0,,,48-55,3,J. Harden makes 3-pt shot from 26 ft
2:58.0,D. Rose makes 2-pt shot from 1 ft,2,50-55,,
2:40.0,,,50-58,3,C. Brewer makes 3-pt shot from 25 ft (assist by T. Ariza)
2:33.0,Turnover by L. Thomas (lost ball),,50-58,,
2:33.0,,,50-58,,Houston full timeout
2:33.0,,,50-58,,E. Gordon enters the game for C. Brewer
2:33.0,C. Anthony enters the game for L. Thomas,,50-58,,
2:22.0,,,50-60,2,M. Harrell makes 2-pt shot from 1 ft (assist by J. Harden)
2:06.0,C. Anthony makes 2-pt shot from 18 ft (assist by J. Noah),2,52-60,,
1:37.0,,,52-62,2,R. Anderson makes 2-pt shot from 22 ft
1:22.0,,,52-62,,Personal foul by T. Ariza (drawn by C. Anthony)
1:22.0,C. Anthony misses free throw 1 of 2,,52-62,,
1:22.0,Offensive rebound by Team,,52-62,,
1:22.0,C. Anthony makes free throw 2 of 2,1,53-62,,
1:09.0,,,53-62,,J. Harden misses 2-pt shot from 6 ft
1:08.0,,,53-62,,Offensive rebound by J. Harden
1:08.0,,,53-64,2,J. Harden makes 2-pt shot from 1 ft
0:56.0,C. Anthony misses 2-pt shot from 7 ft,,53-64,,
0:56.0,,,53-64,,Defensive rebound by E. Gordon
0:52.0,,,53-64,,Turnover by J. Harden (bad pass; steal by J. Holiday)
0:48.0,C. Anthony misses 3-pt shot from 25 ft,,53-64,,
0:48.0,,,53-64,,Defensive rebound by Team
0:32.0,,,53-64,,J. Harden misses 3-pt shot from 26 ft
0:32.0,,,53-64,,Offensive rebound by Team
0:32.0,Loose ball foul by C. Anthony (drawn by R. Anderson),,53-64,,
0:32.0,,,53-65,1,R. Anderson makes free throw 1 of 2
0:32.0,,,53-66,1,R. Anderson makes free throw 2 of 2
0:32.0,L. Thomas enters the game for C. Anthony,,53-65,,
0:15.0,D. Rose makes 2-pt shot from 20 ft,2,55-66,,
0:04.0,,,55-69,3,J. Harden makes 3-pt shot from 26 ft
0:00.0,D. Rose misses 2-pt shot from 16 ft,,55-69,,
0:00.0,Offensive rebound by Team,,55-69,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,55-71,2,R. Anderson makes 2-pt shot from 2 ft (assist by M. Harrell)
11:35.0,,,55-71,,Personal foul by J. Harden (drawn by J. Noah)
11:29.0,J. Noah misses 2-pt shot from 4 ft,,55-71,,
11:29.0,Offensive rebound by Team,,55-71,,
11:25.0,M. Kuzminskas makes 2-pt shot at rim (assist by J. Noah),2,57-71,,
10:59.0,,,57-73,2,T. Ariza makes 2-pt shot from 1 ft (assist by J. Harden)
10:47.0,B. Jennings makes 2-pt shot from 16 ft,2,59-73,,
10:28.0,,,59-73,,C. Brewer misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by J. Noah,,59-73,,
10:19.0,B. Jennings makes 2-pt shot from 14 ft,2,61-73,,
10:01.0,,,61-76,3,J. Harden makes 3-pt shot from 25 ft (assist by M. Harrell)
9:47.0,D. Rose misses 2-pt shot from 21 ft,,61-76,,
9:46.0,,,61-76,,Defensive rebound by J. Harden
9:40.0,,,61-76,,T. Ariza misses 2-pt shot from 1 ft
9:40.0,,,61-76,,Offensive rebound by Team
9:40.0,Loose ball foul by L. Thomas (drawn by C. Brewer),,61-76,,
9:37.0,,,61-76,,Shooting foul by L. Thomas (drawn by J. Harden)
9:37.0,,,61-76,,J. Harden misses free throw 1 of 3
9:37.0,,,61-76,,Offensive rebound by Team
9:37.0,,,61-77,1,J. Harden makes free throw 2 of 3
9:37.0,,,61-78,1,J. Harden makes free throw 3 of 3
9:24.0,D. Rose misses 2-pt shot from 1 ft,,61-78,,
9:22.0,Offensive rebound by J. Noah,,61-78,,
9:22.0,J. Noah misses 2-pt shot from 1 ft,,61-78,,
9:21.0,,,61-78,,Defensive rebound by T. Ariza
9:17.0,,,61-80,2,T. Ariza makes 2-pt shot at rim (assist by J. Harden)
8:57.0,B. Jennings misses 3-pt shot from 25 ft,,61-80,,
8:55.0,,,61-80,,Defensive rebound by J. Harden
8:50.0,,,61-80,,Turnover by J. Harden (bad pass)
8:35.0,J. Noah makes 2-pt shot from 2 ft (assist by B. Jennings),2,63-80,,
8:20.0,,,63-80,,T. Ariza misses 3-pt shot from 24 ft
8:19.0,Defensive rebound by J. Noah,,63-80,,
8:13.0,,,63-80,,Personal foul by C. Brewer (drawn by M. Kuzminskas)
8:09.0,M. Kuzminskas misses 3-pt shot from 25 ft,,63-80,,
8:08.0,,,63-80,,Defensive rebound by T. Ariza
8:04.0,,,63-80,,C. Brewer misses 2-pt shot from 2 ft (block by B. Jennings)
8:04.0,,,63-80,,Offensive rebound by Team
7:53.0,,,63-80,,R. Anderson misses 3-pt shot from 24 ft
7:51.0,Defensive rebound by J. Noah,,63-80,,
7:44.0,B. Jennings makes 2-pt shot from 13 ft,2,65-80,,
7:25.0,Personal foul by L. Thomas (drawn by M. Harrell),,65-80,,
7:09.0,,,65-83,3,J. Harden makes 3-pt shot from 26 ft
6:59.0,D. Rose makes 2-pt shot from 1 ft,2,67-83,,
6:48.0,,,67-83,,T. Ariza misses 3-pt shot from 25 ft
6:46.0,Defensive rebound by B. Jennings,,67-83,,
6:39.0,Shooting foul by C. Brewer (drawn by B. Jennings),,67-83,,
6:39.0,B. Jennings makes free throw 1 of 3,1,68-83,,
6:39.0,B. Jennings makes free throw 2 of 3,1,69-83,,
6:39.0,B. Jennings makes free throw 3 of 3,1,70-83,,
6:39.0,J. Holiday enters the game for D. Rose,,69-83,,
6:39.0,M. Ndour enters the game for L. Thomas,,69-83,,
6:28.0,,,70-83,,Turnover by J. Harden (bad pass; steal by M. Kuzminskas)
6:23.0,J. Noah makes 2-pt shot from 2 ft (assist by B. Jennings),2,72-83,,
6:15.0,,,72-85,2,M. Harrell makes 2-pt shot at rim (assist by J. Harden)
6:15.0,,,72-85,,Shooting foul by M. Kuzminskas (drawn by M. Harrell)
6:15.0,,,72-86,1,M. Harrell makes free throw 1 of 1
6:03.0,M. Kuzminskas misses 3-pt shot from 24 ft,,72-86,,
6:02.0,Offensive rebound by Team,,72-86,,
6:02.0,,,72-86,,Loose ball foul by R. Anderson (drawn by M. Ndour)
5:55.0,J. Holiday makes 2-pt shot from 10 ft (assist by B. Jennings),2,74-86,,
5:32.0,,,74-86,,R. Anderson misses 3-pt shot from 25 ft
5:32.0,Defensive rebound by J. Noah,,74-86,,
5:22.0,M. Kuzminskas misses 3-pt shot from 24 ft,,74-86,,
5:21.0,,,74-86,,Defensive rebound by J. Harden
5:16.0,,,74-86,,Turnover by C. Brewer (traveling)
5:16.0,,,74-86,,Houston full timeout
5:16.0,,,74-86,,E. Gordon enters the game for M. Harrell
5:16.0,,,74-86,,N. Hilario enters the game for C. Brewer
5:16.0,W. Hernangomez enters the game for J. Noah,,74-86,,
5:09.0,Turnover by M. Ndour (bad pass; steal by E. Gordon),,74-86,,
4:47.0,,,74-88,2,J. Harden makes 2-pt shot from 18 ft
4:35.0,,,74-88,,S. Dekker enters the game for R. Anderson
4:28.0,B. Jennings makes 3-pt shot from 25 ft,3,77-88,,
4:10.0,,,77-88,,E. Gordon misses 3-pt shot from 25 ft
4:10.0,Defensive rebound by M. Ndour,,77-88,,
3:52.0,B. Jennings makes 3-pt shot from 25 ft,3,80-88,,
3:38.0,,,80-90,2,J. Harden makes 2-pt shot from 1 ft
3:26.0,Turnover by B. Jennings (bad pass; steal by T. Ariza),,80-90,,
3:18.0,,,80-90,,E. Gordon misses 3-pt shot from 25 ft
3:18.0,,,80-90,,Offensive rebound by N. Hilario
3:18.0,Personal foul by M. Kuzminskas (drawn by N. Hilario),,80-90,,
3:18.0,,,80-90,,N. Hilario misses free throw 1 of 2
3:18.0,,,80-90,,Offensive rebound by Team
3:18.0,,,80-90,,N. Hilario misses free throw 2 of 2
3:18.0,Defensive rebound by W. Hernangomez,,80-90,,
3:02.0,B. Jennings misses 3-pt shot from 23 ft,,80-90,,
3:00.0,Offensive rebound by M. Ndour,,80-90,,
3:00.0,M. Ndour misses 2-pt shot from 2 ft,,80-90,,
2:59.0,,,80-90,,Defensive rebound by N. Hilario
2:51.0,,,80-92,2,J. Harden makes 2-pt shot from 18 ft
2:34.0,M. Ndour makes 2-pt shot from 18 ft (assist by M. Kuzminskas),2,82-92,,
2:18.0,,,82-92,,T. Ariza misses 2-pt shot from 1 ft (block by W. Hernangomez)
2:17.0,Defensive rebound by J. Holiday,,82-92,,
2:13.0,B. Jennings misses 2-pt shot from 3 ft,,82-92,,
2:13.0,Offensive rebound by Team,,82-92,,
2:13.0,,,82-92,,Loose ball foul by N. Hilario (drawn by M. Kuzminskas)
2:13.0,New York full timeout,,82-92,,
2:13.0,M. Kuzminskas makes free throw 1 of 2,1,83-92,,
2:13.0,M. Kuzminskas makes free throw 2 of 2,1,84-92,,
2:13.0,D. Rose enters the game for B. Jennings,,82-92,,
2:05.0,,,84-92,,Turnover by J. Harden (bad pass; steal by J. Holiday)
1:55.0,W. Hernangomez misses 3-pt shot from 24 ft,,84-92,,
1:54.0,,,84-92,,Defensive rebound by J. Harden
1:48.0,,,84-92,,T. Ariza misses 3-pt shot from 25 ft
1:46.0,,,84-92,,Offensive rebound by S. Dekker
1:39.0,,,84-95,3,E. Gordon makes 3-pt shot from 25 ft (assist by T. Ariza)
1:27.0,Turnover by J. Holiday (lost ball),,84-95,,
1:19.0,,,84-95,,S. Dekker misses 3-pt shot from 25 ft
1:17.0,Defensive rebound by M. Kuzminskas,,84-95,,
1:14.0,M. Kuzminskas makes 2-pt shot at rim,2,86-95,,
1:01.0,Personal foul by M. Ndour (drawn by T. Ariza),,86-95,,
1:01.0,,,86-96,1,T. Ariza makes free throw 1 of 2
1:01.0,,,86-97,1,T. Ariza makes free throw 2 of 2
0:43.0,M. Kuzminskas makes 3-pt shot from 26 ft (assist by D. Rose),3,89-97,,
0:28.0,,,89-97,,J. Harden misses 3-pt shot from 26 ft
0:26.0,,,89-97,,Offensive rebound by S. Dekker
0:22.0,,,89-97,,Turnover by S. Dekker (bad pass; steal by J. Holiday)
0:17.0,M. Kuzminskas makes 3-pt shot from 25 ft (assist by D. Rose),3,92-97,,
0:02.0,,,92-97,,Shooting foul by J. Holiday (drawn by J. Harden)
0:02.0,,,92-98,1,J. Harden makes free throw 1 of 3
0:02.0,,,92-98,,J. Harden misses free throw 2 of 3
0:02.0,,,92-98,,Offensive rebound by Team
0:02.0,,,92-99,1,J. Harden makes free throw 3 of 3
0:00.0,D. Rose misses 3-pt shot from 56 ft,,92-99,,
0:00.0,Offensive rebound by Team,,92-99,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:39.0,D. Rose misses 2-pt shot from 12 ft,,92-99,,
11:38.0,Offensive rebound by Team,,92-99,,
11:36.0,D. Rose misses 2-pt shot from 11 ft,,92-99,,
11:36.0,,,92-99,,Defensive rebound by Team
11:36.0,Loose ball foul by M. Ndour (drawn by R. Anderson),,92-99,,
11:26.0,,,92-99,,E. Gordon misses 3-pt shot from 25 ft
11:24.0,Defensive rebound by D. Rose,,92-99,,
11:15.0,J. Holiday misses 3-pt shot from 25 ft,,92-99,,
11:14.0,,,92-99,,Defensive rebound by R. Anderson
11:02.0,,,92-99,,T. Ennis misses 2-pt shot from 12 ft
11:02.0,Defensive rebound by Team,,92-99,,
11:02.0,B. Jennings enters the game for M. Kuzminskas,,92-99,,
10:49.0,J. Holiday misses 3-pt shot from 24 ft,,92-99,,
10:47.0,Offensive rebound by J. Holiday,,92-99,,
10:45.0,J. Holiday makes 2-pt shot at rim,2,94-99,,
10:25.0,,,94-99,,E. Gordon misses 2-pt shot from 12 ft
10:23.0,Defensive rebound by W. Hernangomez,,94-99,,
10:14.0,W. Hernangomez makes 2-pt shot from 16 ft (assist by B. Jennings),2,96-99,,
10:14.0,,,96-99,,Houston full timeout
10:14.0,,,96-99,,J. Harden enters the game for T. Ennis
9:59.0,,,96-99,,Shooting foul by J. Holiday (drawn by J. Harden)
9:59.0,,,96-100,1,J. Harden makes free throw 1 of 3
9:59.0,,,96-101,1,J. Harden makes free throw 2 of 3
9:59.0,,,96-102,1,J. Harden makes free throw 3 of 3
9:49.0,M. Ndour makes 2-pt shot at rim (assist by B. Jennings),2,98-102,,
9:30.0,,,98-102,,Shooting foul by M. Ndour (drawn by R. Anderson)
9:30.0,,,98-102,,R. Anderson misses free throw 1 of 2
9:30.0,,,98-102,,Offensive rebound by Team
9:30.0,,,98-103,1,R. Anderson makes free throw 2 of 2
9:30.0,L. Thomas enters the game for M. Ndour,,98-102,,
9:20.0,D. Rose makes 2-pt shot from 1 ft,2,100-103,,
9:10.0,,,100-106,3,E. Gordon makes 3-pt shot from 25 ft (assist by J. Harden)
8:58.0,Shooting foul by M. Harrell (drawn by L. Thomas),,100-106,,
8:58.0,L. Thomas makes free throw 1 of 2,1,101-106,,
8:58.0,L. Thomas makes free throw 2 of 2,1,102-106,,
8:58.0,,,101-106,,T. Ariza enters the game for M. Harrell
8:49.0,,,102-106,,E. Gordon misses 3-pt shot from 26 ft
8:48.0,Defensive rebound by W. Hernangomez,,102-106,,
8:34.0,,,102-106,,Shooting block foul by C. Brewer (drawn by D. Rose)
8:34.0,D. Rose makes free throw 1 of 2,1,103-106,,
8:34.0,D. Rose misses free throw 2 of 2,,103-106,,
8:33.0,,,103-106,,Defensive rebound by Team
8:10.0,,,103-106,,T. Ariza misses 3-pt shot from 26 ft
8:10.0,,,103-106,,Offensive rebound by Team
8:10.0,Loose ball foul by J. Holiday (drawn by J. Harden),,103-106,,
7:58.0,,,103-108,2,J. Harden makes 2-pt shot from 1 ft
7:48.0,Flagrant foul type 1 by W. Hernangomez (drawn by R. Anderson),,103-108,,
7:48.0,Turnover by W. Hernangomez (offensive foul),,103-108,,
7:48.0,,,103-109,1,R. Anderson makes flagrant free throw 1 of 2
7:48.0,,,103-110,1,R. Anderson makes flagrant free throw 2 of 2
7:35.0,,,103-110,,J. Harden misses 2-pt shot at rim
7:34.0,Defensive rebound by B. Jennings,,103-110,,
7:25.0,B. Jennings misses 3-pt shot from 24 ft,,103-110,,
7:24.0,,,103-110,,Defensive rebound by R. Anderson
7:12.0,,,103-110,,J. Harden misses 3-pt shot from 26 ft
7:10.0,Defensive rebound by J. Holiday,,103-110,,
6:56.0,Shooting foul by R. Anderson (drawn by B. Jennings),,103-110,,
6:56.0,B. Jennings makes free throw 1 of 2,1,104-110,,
6:56.0,B. Jennings makes free throw 2 of 2,1,105-110,,
