time,LA Clippers,pts.away,score,pts.home,Philadelphia
8:55.0,,,40-36,,Defensive rebound by N. Noel
8:48.0,,,40-36,,R. Covington misses 3-pt shot from 25 ft
8:47.0,Defensive rebound by Team,,40-36,,
8:36.0,J. Crawford makes 3-pt shot from 25 ft,3,43-36,,
8:24.0,,,43-38,2,R. Covington makes 2-pt shot from 2 ft (assist by N. Noel)
8:13.0,J. Crawford makes 3-pt shot from 25 ft,3,46-38,,
7:58.0,,,46-38,,Shooting foul by M. Speights (drawn by N. Noel)
7:58.0,,,46-40,2,N. Noel makes 2-pt shot from 8 ft (assist by E. Ilyasova)
7:58.0,,,46-41,1,N. Noel makes free throw 1 of 1
7:58.0,D. Jordan enters the game for M. Speights,,46-40,,
7:58.0,B. Griffin enters the game for B. Bass,,46-40,,
7:49.0,,,46-41,,Personal foul by R. Covington (drawn by J. Crawford)
7:44.0,J. Crawford misses 3-pt shot from 25 ft,,46-41,,
7:43.0,,,46-41,,Defensive rebound by N. Noel
7:35.0,,,46-41,,E. Ilyasova misses 3-pt shot from 24 ft
7:34.0,Defensive rebound by B. Griffin,,46-41,,
7:18.0,B. Griffin makes 2-pt shot from 17 ft,2,48-41,,
6:57.0,,,48-41,,N. Stauskas misses 2-pt shot from 15 ft
6:56.0,Defensive rebound by B. Griffin,,48-41,,
6:51.0,Turnover by B. Griffin (lost ball),,48-41,,
6:41.0,,,48-41,,E. Ilyasova misses 3-pt shot from 24 ft
6:40.0,Defensive rebound by D. Jordan,,48-41,,
6:30.0,Shooting foul by N. Noel (drawn by B. Griffin),,48-41,,
6:30.0,B. Griffin makes free throw 1 of 2,1,49-41,,
6:30.0,B. Griffin misses free throw 2 of 2,,49-41,,
6:30.0,,,49-41,,G. Henderson enters the game for N. Stauskas
6:29.0,,,49-41,,Defensive rebound by N. Noel
6:19.0,,,49-41,,G. Henderson misses 3-pt shot from 24 ft
6:18.0,Defensive rebound by D. Jordan,,49-41,,
6:08.0,Shooting foul by E. Ilyasova (drawn by J. Redick),,49-41,,
6:08.0,J. Redick makes free throw 1 of 2,1,50-41,,
6:08.0,J. Redick makes free throw 2 of 2,1,51-41,,
6:08.0,L. Mbah a Moute enters the game for J. Crawford,,49-41,,
6:08.0,,,50-41,,R. Holmes enters the game for N. Noel
5:48.0,,,51-41,,R. Covington misses 3-pt shot from 26 ft
5:47.0,Defensive rebound by D. Jordan,,51-41,,
5:41.0,Official timeout,,51-41,,
5:41.0,,,51-41,,D. Saric enters the game for E. Ilyasova
5:32.0,Turnover by J. Redick (bad pass),,51-41,,
5:19.0,,,51-44,3,R. Covington makes 3-pt shot from 25 ft (assist by D. Saric)
4:55.0,B. Griffin misses 2-pt shot from 2 ft (block by R. Covington),,51-44,,
4:54.0,Offensive rebound by D. Jordan,,51-44,,
4:49.0,Shooting foul by G. Henderson (drawn by A. Rivers),,51-44,,
4:49.0,A. Rivers misses free throw 1 of 2,,51-44,,
4:49.0,Offensive rebound by Team,,51-44,,
4:49.0,A. Rivers misses free throw 2 of 2,,51-44,,
4:48.0,,,51-44,,Defensive rebound by D. Saric
4:35.0,,,51-46,2,T. McConnell makes 2-pt shot from 9 ft
4:22.0,A. Rivers makes 3-pt shot from 25 ft,3,54-46,,
4:07.0,,,54-46,,R. Covington misses 3-pt shot from 26 ft (block by L. Mbah a Moute)
4:05.0,,,54-46,,Offensive rebound by R. Covington
4:01.0,,,54-48,2,R. Covington makes 2-pt shot from 2 ft (assist by T. McConnell)
3:49.0,B. Griffin misses 2-pt shot from 1 ft (block by R. Holmes),,54-48,,
3:48.0,Offensive rebound by Team,,54-48,,
3:45.0,J. Redick misses 3-pt shot from 24 ft,,54-48,,
3:44.0,,,54-48,,Defensive rebound by R. Holmes
3:38.0,Personal foul by A. Rivers (drawn by T. McConnell),,54-48,,
3:38.0,J. Crawford enters the game for L. Mbah a Moute,,54-48,,
3:27.0,,,54-48,,G. Henderson misses 2-pt shot from 14 ft
3:26.0,Defensive rebound by B. Griffin,,54-48,,
3:22.0,Shooting foul by D. Saric (drawn by B. Griffin),,54-48,,
3:22.0,B. Griffin makes free throw 1 of 2,1,55-48,,
3:22.0,B. Griffin makes free throw 2 of 2,1,56-48,,
3:12.0,,,56-48,,Turnover by R. Covington (lost ball; steal by A. Rivers)
3:07.0,J. Redick makes 3-pt shot from 25 ft (assist by A. Rivers),3,59-48,,
2:51.0,,,59-51,3,R. Holmes makes 3-pt shot from 24 ft (assist by T. McConnell)
2:41.0,LA Clippers full timeout,,59-51,,
2:41.0,,,59-51,,S. Rodriguez enters the game for T. McConnell
2:41.0,,,59-51,,T. Luwawu-Cabarrot enters the game for R. Covington
2:21.0,J. Crawford makes 2-pt shot from 15 ft,2,61-51,,
1:59.0,,,61-51,,D. Saric misses 2-pt shot from 2 ft
1:58.0,Defensive rebound by B. Griffin,,61-51,,
1:54.0,Turnover by B. Griffin (bad pass),,61-51,,
1:46.0,,,61-54,3,S. Rodriguez makes 3-pt shot from 25 ft
1:28.0,A. Rivers makes 3-pt shot from 25 ft,3,64-54,,
1:17.0,,,64-54,,S. Rodriguez misses 3-pt shot from 24 ft
1:16.0,Defensive rebound by D. Jordan,,64-54,,
1:09.0,J. Redick misses 3-pt shot from 25 ft,,64-54,,
1:08.0,,,64-54,,Defensive rebound by D. Saric
0:58.0,,,64-54,,Shooting foul by A. Rivers (drawn by D. Saric)
0:58.0,,,64-55,1,D. Saric makes free throw 1 of 2
0:58.0,,,64-56,1,D. Saric makes free throw 2 of 2
0:58.0,W. Johnson enters the game for D. Jordan,,64-55,,
0:52.0,,,64-56,,Personal foul by G. Henderson (drawn by J. Redick)
0:52.0,J. Redick makes free throw 1 of 2,1,65-56,,
0:52.0,J. Redick makes free throw 2 of 2,1,66-56,,
0:52.0,,,65-56,,R. Covington enters the game for G. Henderson
0:52.0,L. Mbah a Moute enters the game for A. Rivers,,65-56,,
0:47.0,,,66-56,,Philadelphia full timeout
0:44.0,Personal foul by J. Redick (drawn by D. Saric),,66-56,,
0:44.0,,,66-57,1,D. Saric makes free throw 1 of 2
0:44.0,,,66-57,,D. Saric misses free throw 2 of 2
0:43.0,Defensive rebound by B. Griffin,,66-57,,
0:32.0,Turnover by J. Crawford (bad pass; steal by R. Covington),,66-57,,
0:30.0,,,66-59,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft
0:10.0,J. Redick misses 2-pt shot from 9 ft,,66-59,,
0:09.0,Offensive rebound by B. Griffin,,66-59,,
0:08.0,B. Griffin makes 2-pt shot at rim,2,68-59,,
0:01.0,,,68-59,,S. Rodriguez misses 2-pt shot from 23 ft
0:00.0,,,68-59,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,68-59,,Turnover by N. Stauskas (lost ball)
11:34.0,,,68-59,,Personal foul by R. Covington (drawn by B. Griffin)
11:20.0,B. Griffin misses 2-pt shot from 20 ft,,68-59,,
11:19.0,Offensive rebound by D. Jordan,,68-59,,
11:13.0,J. Redick makes 3-pt shot from 26 ft (assist by D. Jordan),3,71-59,,
10:55.0,,,71-59,,R. Covington misses 3-pt shot from 26 ft
10:54.0,Defensive rebound by B. Griffin,,71-59,,
10:45.0,D. Jordan makes 2-pt shot at rim (assist by B. Griffin),2,73-59,,
10:44.0,,,73-59,,Philadelphia full timeout
10:32.0,,,73-59,,E. Ilyasova misses 3-pt shot from 26 ft
10:30.0,Defensive rebound by B. Griffin,,73-59,,
10:20.0,A. Rivers makes 3-pt shot from 26 ft (assist by D. Jordan),3,76-59,,
10:04.0,,,76-59,,R. Covington misses 2-pt shot from 10 ft
10:02.0,Defensive rebound by L. Mbah a Moute,,76-59,,
9:51.0,A. Rivers makes 2-pt shot from 2 ft,2,78-59,,
9:33.0,,,78-61,2,N. Noel makes 2-pt shot from 9 ft (assist by T. McConnell)
9:17.0,Turnover by B. Griffin (bad pass),,78-61,,
9:03.0,,,78-63,2,T. McConnell makes 2-pt shot from 2 ft
8:50.0,J. Redick misses 2-pt shot from 19 ft,,78-63,,
8:49.0,,,78-63,,Defensive rebound by N. Noel
8:29.0,,,78-63,,E. Ilyasova misses 2-pt shot from 21 ft
8:28.0,,,78-63,,Offensive rebound by R. Covington
8:25.0,,,78-63,,R. Covington misses 2-pt shot from 1 ft
8:24.0,Defensive rebound by D. Jordan,,78-63,,
8:16.0,Turnover by B. Griffin (lost ball; steal by E. Ilyasova),,78-63,,
8:16.0,Personal foul by L. Mbah a Moute (drawn by E. Ilyasova),,78-63,,
8:16.0,,,78-63,,R. Holmes enters the game for N. Noel
8:01.0,,,78-63,,Shooting foul by A. Rivers (drawn by E. Ilyasova)
8:01.0,,,78-64,1,E. Ilyasova makes free throw 1 of 2
8:01.0,,,78-65,1,E. Ilyasova makes free throw 2 of 2
7:48.0,A. Rivers misses 3-pt shot from 26 ft,,78-65,,
7:46.0,,,78-65,,Defensive rebound by E. Ilyasova
7:40.0,,,78-67,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
7:22.0,,,78-67,,D. Saric enters the game for E. Ilyasova
7:22.0,,,78-67,,G. Henderson enters the game for N. Stauskas
7:22.0,J. Crawford enters the game for L. Mbah a Moute,,78-67,,
7:10.0,B. Griffin misses 2-pt shot from 18 ft,,78-67,,
7:08.0,Offensive rebound by D. Jordan,,78-67,,
7:07.0,D. Jordan misses 2-pt shot from 4 ft (block by R. Covington),,78-67,,
7:04.0,,,78-67,,Defensive rebound by R. Covington
7:03.0,,,78-69,2,R. Holmes makes 2-pt shot from 1 ft (assist by G. Henderson)
6:46.0,,,78-69,,Personal foul by R. Holmes (drawn by B. Griffin)
6:37.0,Turnover by J. Redick (bad pass),,78-69,,
6:22.0,,,78-71,2,G. Henderson makes 2-pt shot at rim (assist by T. McConnell)
6:21.0,LA Clippers full timeout,,78-71,,
6:21.0,R. Felton enters the game for A. Rivers,,78-71,,
6:07.0,R. Felton makes 2-pt shot from 20 ft (assist by B. Griffin),2,80-71,,
5:53.0,,,80-71,,D. Saric misses 3-pt shot from 25 ft
5:52.0,Defensive rebound by D. Jordan,,80-71,,
5:31.0,R. Felton misses 3-pt shot from 25 ft,,80-71,,
5:30.0,,,80-71,,Defensive rebound by R. Holmes
5:20.0,,,80-71,,Turnover by T. McConnell (bad pass; steal by R. Felton)
5:09.0,J. Redick misses 3-pt shot from 24 ft,,80-71,,
5:07.0,,,80-71,,Defensive rebound by R. Holmes
5:00.0,,,80-74,3,G. Henderson makes 3-pt shot from 24 ft (assist by T. McConnell)
4:41.0,Shooting foul by R. Covington (drawn by J. Crawford),,80-74,,
4:41.0,J. Crawford makes free throw 1 of 3,1,81-74,,
4:41.0,J. Crawford makes free throw 2 of 3,1,82-74,,
4:41.0,J. Crawford makes free throw 3 of 3,1,83-74,,
4:41.0,,,82-74,,S. Rodriguez enters the game for T. McConnell
4:41.0,W. Johnson enters the game for B. Griffin,,82-74,,
4:31.0,,,83-74,,R. Covington misses 3-pt shot from 26 ft
4:30.0,,,83-74,,Offensive rebound by Team
4:30.0,Loose ball foul by W. Johnson (drawn by R. Holmes),,83-74,,
4:17.0,,,83-76,2,D. Saric makes 2-pt shot from 5 ft (assist by R. Covington)
4:02.0,J. Crawford misses 2-pt shot from 19 ft,,83-76,,
4:01.0,,,83-76,,Defensive rebound by D. Saric
3:47.0,,,83-76,,S. Rodriguez misses 2-pt shot from 8 ft
3:46.0,,,83-76,,Offensive rebound by D. Saric
3:46.0,,,83-78,2,D. Saric makes 2-pt shot from 1 ft
3:46.0,,,83-78,,Shooting foul by W. Johnson (drawn by D. Saric)
3:46.0,,,83-79,1,D. Saric makes free throw 1 of 1
3:46.0,,,83-78,,T. Luwawu-Cabarrot enters the game for R. Covington
3:30.0,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Jordan),,83-79,,
3:30.0,D. Jordan makes free throw 1 of 2,1,84-79,,
3:30.0,D. Jordan misses free throw 2 of 2,,84-79,,
3:29.0,,,84-79,,Defensive rebound by G. Henderson
3:15.0,,,84-81,2,D. Saric makes 2-pt shot from 1 ft (assist by S. Rodriguez)
3:02.0,J. Redick misses 3-pt shot from 26 ft,,84-81,,
3:01.0,,,84-81,,Defensive rebound by S. Rodriguez
2:52.0,,,84-81,,R. Holmes misses 2-pt shot from 8 ft
2:51.0,Defensive rebound by W. Johnson,,84-81,,
2:33.0,Shooting foul by G. Henderson (drawn by D. Jordan),,84-81,,
2:33.0,D. Jordan misses free throw 1 of 2,,84-81,,
2:33.0,Offensive rebound by Team,,84-81,,
2:33.0,D. Jordan misses free throw 2 of 2,,84-81,,
2:33.0,A. Rivers enters the game for J. Redick,,84-81,,
2:33.0,B. Bass enters the game for W. Johnson,,84-81,,
2:33.0,,,84-81,,R. Covington enters the game for G. Henderson
2:32.0,,,84-81,,Defensive rebound by D. Saric
2:17.0,,,84-81,,R. Covington misses 2-pt shot from 4 ft
2:15.0,,,84-81,,Offensive rebound by R. Covington
2:14.0,,,84-83,2,R. Covington makes 2-pt shot from 1 ft
2:07.0,,,84-83,,Personal take foul by R. Holmes (drawn by D. Jordan)
2:07.0,D. Jordan misses free throw 1 of 2,,84-83,,
2:07.0,Offensive rebound by Team,,84-83,,
2:07.0,D. Jordan misses free throw 2 of 2,,84-83,,
2:07.0,,,84-83,,Defensive rebound by Team
2:07.0,M. Speights enters the game for D. Jordan,,84-83,,
1:57.0,,,84-83,,D. Saric misses 2-pt shot from 20 ft
1:55.0,Defensive rebound by J. Crawford,,84-83,,
1:47.0,M. Speights misses 2-pt shot from 20 ft,,84-83,,
1:45.0,,,84-83,,Defensive rebound by D. Saric
1:40.0,,,84-83,,Turnover by S. Rodriguez (bad pass; steal by J. Crawford)
1:21.0,,,84-83,,Personal foul by R. Covington (drawn by A. Rivers)
1:21.0,A. Rivers makes free throw 1 of 2,1,85-83,,
1:21.0,A. Rivers makes free throw 2 of 2,1,86-83,,
1:21.0,,,85-83,,N. Noel enters the game for R. Holmes
1:21.0,,,85-83,,N. Stauskas enters the game for R. Covington
1:10.0,,,86-85,2,N. Noel makes 2-pt shot at rim (assist by N. Stauskas)
0:52.0,A. Rivers misses 3-pt shot from 27 ft,,86-85,,
0:49.0,,,86-85,,Defensive rebound by T. Luwawu-Cabarrot
0:36.0,,,86-87,2,S. Rodriguez makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot)
0:32.0,J. Crawford makes 3-pt shot from 27 ft,3,89-87,,
0:15.0,,,89-87,,Shooting foul by M. Speights (drawn by D. Saric)
0:15.0,,,89-88,1,D. Saric makes free throw 1 of 2
0:15.0,,,89-89,1,D. Saric makes free throw 2 of 2
0:15.0,,,89-88,,T. McConnell enters the game for S. Rodriguez
0:02.0,J. Crawford misses 3-pt shot from 27 ft,,89-89,,
0:00.0,Offensive rebound by Team,,89-89,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,J. Crawford makes 2-pt shot from 18 ft,2,91-89,,
11:22.0,,,91-92,3,R. Covington makes 3-pt shot from 26 ft (assist by S. Rodriguez)
10:53.0,Turnover by Team (shot clock),,91-92,,
10:39.0,,,91-94,2,S. Rodriguez makes 2-pt shot from 1 ft
10:23.0,M. Speights makes 3-pt shot from 26 ft (assist by R. Felton),3,94-94,,
10:06.0,,,94-94,,D. Saric misses 2-pt shot from 5 ft
10:04.0,Defensive rebound by B. Bass,,94-94,,
9:54.0,Turnover by J. Crawford (bad pass; steal by D. Saric),,94-94,,
9:49.0,,,94-96,2,R. Covington makes 2-pt shot from 2 ft (assist by S. Rodriguez)
9:37.0,Turnover by M. Speights (lost ball),,94-96,,
9:37.0,,,94-96,,E. Ilyasova enters the game for D. Saric
9:37.0,D. Jordan enters the game for B. Bass,,94-96,,
9:23.0,,,94-96,,G. Henderson misses 2-pt shot from 3 ft
9:22.0,,,94-96,,Offensive rebound by N. Noel
9:21.0,,,94-98,2,N. Noel makes 2-pt shot at rim
8:56.0,R. Felton misses 3-pt shot from 27 ft,,94-98,,
8:54.0,Offensive rebound by D. Jordan,,94-98,,
8:49.0,Turnover by M. Speights (lost ball; steal by R. Covington),,94-98,,
8:45.0,,,94-100,2,E. Ilyasova makes 2-pt shot from 2 ft (assist by R. Covington)
8:45.0,LA Clippers full timeout,,94-100,,
8:45.0,J. Redick enters the game for R. Felton,,94-100,,
8:45.0,B. Griffin enters the game for M. Speights,,94-100,,
8:26.0,,,94-100,,Personal foul by E. Ilyasova (drawn by B. Griffin)
8:21.0,Shooting foul by E. Ilyasova (drawn by B. Griffin),,94-100,,
8:21.0,B. Griffin misses free throw 1 of 2,,94-100,,
8:21.0,Offensive rebound by Team,,94-100,,
8:21.0,B. Griffin makes free throw 2 of 2,1,95-100,,
8:01.0,,,95-100,,S. Rodriguez misses 2-pt shot from 5 ft
8:00.0,Defensive rebound by D. Jordan,,95-100,,
7:45.0,D. Jordan makes 2-pt shot from 1 ft (assist by J. Crawford),2,97-100,,
7:32.0,,,97-100,,S. Rodriguez misses 3-pt shot from 24 ft
7:31.0,Defensive rebound by D. Jordan,,97-100,,
7:24.0,,,97-100,,Personal foul by G. Henderson (drawn by J. Crawford)
7:08.0,A. Rivers misses 2-pt shot from 5 ft,,97-100,,
7:07.0,Offensive rebound by D. Jordan,,97-100,,
7:07.0,Turnover by Team (shot clock),,97-100,,
6:53.0,,,97-102,2,G. Henderson makes 2-pt shot from 18 ft (assist by N. Noel)
6:41.0,,,97-102,,Personal foul by E. Ilyasova (drawn by B. Griffin)
6:41.0,,,97-102,,N. Stauskas enters the game for G. Henderson
6:34.0,J. Redick misses 2-pt shot from 3 ft (block by N. Noel),,97-102,,
6:32.0,,,97-102,,Defensive rebound by R. Covington
6:29.0,Personal foul by J. Redick (drawn by N. Stauskas),,97-102,,
6:21.0,,,97-104,2,N. Noel makes 2-pt shot at rim
6:13.0,,,97-104,,Personal take foul by N. Stauskas (drawn by D. Jordan)
6:13.0,D. Jordan makes free throw 1 of 2,1,98-104,,
6:13.0,D. Jordan misses free throw 2 of 2,,98-104,,
6:12.0,,,98-104,,Defensive rebound by N. Stauskas
6:02.0,,,98-106,2,S. Rodriguez makes 2-pt shot from 17 ft
6:01.0,LA Clippers full timeout,,98-106,,
