time,Philadelphia,pts.away,score,pts.home,Chicago
1:41.0,S. Rodriguez enters the game for R. Holmes,,18-26,,
1:41.0,S. Long enters the game for R. Covington,,18-26,,
1:41.0,D. Saric enters the game for T. McConnell,,18-26,,
1:22.0,,,18-26,,M. Carter-Williams misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by S. Long,,18-26,,
1:14.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by S. Long),3,21-26,,
0:59.0,,,21-28,2,J. Butler makes 2-pt shot from 2 ft
0:50.0,G. Henderson makes 3-pt shot from 26 ft (assist by D. Saric),3,24-28,,
0:29.0,,,24-28,,J. Lauvergne misses 2-pt shot from 22 ft
0:28.0,Defensive rebound by N. Stauskas,,24-28,,
0:06.0,D. Saric misses 2-pt shot from 9 ft,,24-28,,
0:05.0,,,24-28,,Defensive rebound by B. Portis
0:01.0,,,24-28,,M. Carter-Williams misses 3-pt shot from 25 ft
0:00.0,,,24-28,,Offensive rebound by B. Portis
0:00.0,,,24-28,,B. Portis misses 2-pt shot from 3 ft
0:00.0,,,24-28,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,D. Saric makes 2-pt shot from 6 ft,2,26-28,,
11:27.0,,,26-30,2,M. Carter-Williams makes 2-pt shot from 2 ft
11:09.0,D. Saric makes 2-pt shot from 5 ft,2,28-30,,
10:52.0,,,28-30,,B. Portis misses 2-pt shot from 7 ft
10:51.0,,,28-30,,Offensive rebound by J. Lauvergne
10:38.0,,,28-30,,D. Valentine misses 3-pt shot from 23 ft
10:37.0,Defensive rebound by S. Rodriguez,,28-30,,
10:34.0,Offensive foul by S. Long,,28-30,,
10:34.0,Turnover by S. Long (offensive foul),,28-30,,
10:19.0,,,28-30,,M. Carter-Williams misses 2-pt shot from 13 ft
10:18.0,Defensive rebound by D. Saric,,28-30,,
10:14.0,Turnover by D. Saric (lost ball),,28-30,,
10:01.0,,,28-32,2,J. Lauvergne makes 2-pt shot from 2 ft (assist by P. Zipser)
10:01.0,,,28-32,,Shooting foul by S. Rodriguez (drawn by J. Lauvergne)
10:01.0,,,28-32,,J. Lauvergne misses free throw 1 of 1
9:59.0,Defensive rebound by S. Long,,28-32,,
9:46.0,Philadelphia full timeout,,28-32,,
9:40.0,G. Henderson makes 3-pt shot from 25 ft (assist by S. Rodriguez),3,31-32,,
9:20.0,,,31-32,,Turnover by J. Lauvergne (offensive goaltending)
9:01.0,D. Saric makes 2-pt shot from 2 ft,2,33-32,,
8:46.0,,,33-32,,Turnover by M. Carter-Williams (bad pass; steal by S. Long)
8:24.0,S. Rodriguez misses 3-pt shot from 25 ft,,33-32,,
8:23.0,Offensive rebound by N. Stauskas,,33-32,,
8:18.0,G. Henderson misses 3-pt shot from 25 ft,,33-32,,
8:17.0,,,33-32,,Defensive rebound by B. Portis
8:11.0,,,33-32,,J. Lauvergne misses 3-pt shot from 25 ft
8:09.0,Defensive rebound by G. Henderson,,33-32,,
8:02.0,S. Long makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,35-32,,
8:02.0,Shooting foul by B. Portis (drawn by S. Long),,35-32,,
8:02.0,S. Long makes free throw 1 of 1,1,36-32,,
8:02.0,,,36-32,,Turnover by N. Mirotic (bad pass)
8:02.0,J. Anderson enters the game for D. Saric,,35-32,,
8:02.0,,,35-32,,N. Mirotic enters the game for M. Carter-Williams
8:02.0,R. Covington enters the game for G. Henderson,,35-32,,
8:02.0,,,35-32,,R. Rondo enters the game for B. Portis
7:51.0,Turnover by N. Stauskas (lost ball; steal by J. Lauvergne),,36-32,,
7:45.0,,,36-32,,J. Lauvergne misses 2-pt shot from 8 ft
7:44.0,Defensive rebound by S. Rodriguez,,36-32,,
7:39.0,Turnover by S. Rodriguez (bad pass; steal by D. Valentine),,36-32,,
7:35.0,,,36-32,,Turnover by R. Rondo (bad pass; steal by S. Rodriguez)
7:28.0,S. Rodriguez misses 3-pt shot from 25 ft,,36-32,,
7:27.0,Offensive rebound by R. Covington,,36-32,,
7:16.0,S. Long makes 2-pt shot at rim (assist by S. Rodriguez),2,38-32,,
7:16.0,,,38-32,,Chicago full timeout
7:16.0,,,38-32,,R. Lopez enters the game for D. Valentine
7:16.0,,,38-32,,J. Butler enters the game for J. Lauvergne
6:57.0,,,38-34,2,P. Zipser makes 2-pt shot from 21 ft (assist by J. Butler)
6:41.0,S. Long misses 2-pt shot from 3 ft (block by R. Lopez),,38-34,,
6:39.0,Offensive rebound by S. Long,,38-34,,
6:38.0,S. Long makes 2-pt shot from 1 ft,2,40-34,,
6:27.0,,,40-34,,J. Butler misses 2-pt shot from 2 ft
6:26.0,Defensive rebound by R. Covington,,40-34,,
6:17.0,S. Rodriguez makes 2-pt shot from 2 ft,2,42-34,,
6:03.0,,,42-36,2,J. Butler makes 2-pt shot from 17 ft
5:50.0,J. Anderson misses 3-pt shot from 24 ft,,42-36,,
5:50.0,Offensive rebound by Team,,42-36,,
5:50.0,R. Holmes enters the game for S. Long,,42-36,,
5:40.0,Turnover by S. Rodriguez (bad pass; steal by R. Rondo),,42-36,,
5:28.0,,,42-36,,Shooting foul by R. Holmes (drawn by R. Lopez)
5:28.0,,,42-36,,R. Lopez misses free throw 1 of 2
5:28.0,,,42-36,,Offensive rebound by Team
5:28.0,,,42-37,1,R. Lopez makes free throw 2 of 2
5:07.0,S. Rodriguez makes 2-pt shot from 9 ft (assist by N. Stauskas),2,44-37,,
4:42.0,,,44-37,,P. Zipser misses 3-pt shot from 27 ft
4:41.0,Defensive rebound by J. Anderson,,44-37,,
4:32.0,J. Anderson misses 2-pt shot from 1 ft,,44-37,,
4:32.0,Offensive rebound by J. Anderson,,44-37,,
4:32.0,R. Covington misses 3-pt shot from 23 ft,,44-37,,
4:28.0,,,44-37,,Defensive rebound by R. Lopez
4:20.0,,,44-37,,R. Lopez misses 2-pt shot from 19 ft
4:18.0,Defensive rebound by J. Anderson,,44-37,,
4:10.0,S. Rodriguez makes 2-pt shot from 2 ft,2,46-37,,
4:10.0,,,46-37,,Chicago full timeout
3:58.0,,,46-37,,Shooting foul by J. Anderson (drawn by J. Butler)
3:58.0,,,46-38,1,J. Butler makes free throw 1 of 2
3:58.0,,,46-39,1,J. Butler makes free throw 2 of 2
3:38.0,R. Holmes makes 2-pt shot at rim (assist by S. Rodriguez),2,48-39,,
3:21.0,,,48-39,,Shooting foul by R. Holmes (drawn by J. Butler)
3:21.0,,,48-40,1,J. Butler makes free throw 1 of 2
3:21.0,,,48-41,1,J. Butler makes free throw 2 of 2
3:21.0,,,48-40,,M. Carter-Williams enters the game for R. Rondo
3:21.0,T. Luwawu-Cabarrot enters the game for R. Holmes,,48-40,,
3:21.0,S. Long enters the game for N. Stauskas,,48-40,,
3:06.0,S. Rodriguez makes 3-pt shot from 25 ft,3,51-41,,
2:51.0,,,51-41,,R. Lopez misses 2-pt shot from 2 ft
2:50.0,Defensive rebound by S. Rodriguez,,51-41,,
2:40.0,R. Covington misses 3-pt shot from 25 ft,,51-41,,
2:40.0,Offensive rebound by Team,,51-41,,
2:40.0,Philadelphia full timeout,,51-41,,
2:40.0,,,51-41,,J. Lauvergne enters the game for R. Lopez
2:40.0,D. Saric enters the game for R. Covington,,51-41,,
2:31.0,J. Anderson makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,53-41,,
2:13.0,Def 3 sec tech foul by S. Rodriguez,,53-41,,
2:13.0,,,53-42,1,J. Butler makes technical free throw
2:03.0,,,53-42,,J. Butler misses 2-pt shot from 13 ft
2:02.0,Defensive rebound by D. Saric,,53-42,,
1:52.0,D. Saric misses 3-pt shot from 25 ft,,53-42,,
1:51.0,Offensive rebound by S. Long,,53-42,,
1:50.0,S. Long makes 2-pt shot from 2 ft,2,55-42,,
1:37.0,,,55-42,,N. Mirotic misses 2-pt shot from 15 ft
1:36.0,Defensive rebound by S. Long,,55-42,,
1:16.0,S. Long makes 2-pt shot from 2 ft (assist by S. Rodriguez),2,57-42,,
1:02.0,,,57-42,,J. Butler misses 2-pt shot from 1 ft
1:01.0,,,57-42,,Offensive rebound by J. Butler
1:01.0,,,57-42,,J. Butler misses 2-pt shot from 3 ft
1:00.0,,,57-42,,Offensive rebound by J. Lauvergne
1:00.0,,,57-44,2,J. Lauvergne makes 2-pt shot from 2 ft
0:44.0,Turnover by J. Anderson (bad pass; steal by J. Butler),,57-44,,
0:37.0,,,57-44,,N. Mirotic misses 3-pt shot from 25 ft
0:36.0,Defensive rebound by D. Saric,,57-44,,
0:31.0,Philadelphia full timeout,,57-44,,
0:27.0,,,57-44,,Personal foul by M. Carter-Williams (drawn by S. Rodriguez)
0:19.0,D. Saric makes 2-pt shot from 15 ft,2,59-44,,
0:04.0,Personal foul by D. Saric (drawn by J. Butler),,59-44,,
0:04.0,,,59-45,1,J. Butler makes free throw 1 of 2
0:04.0,,,59-46,1,J. Butler makes free throw 2 of 2
0:00.0,J. Anderson misses 3-pt shot from 38 ft,,59-46,,
0:00.0,Offensive rebound by Team,,59-46,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:39.0,T. McConnell makes 2-pt shot from 3 ft,2,61-46,,
11:19.0,,,61-46,,Shooting foul by S. Long (drawn by J. Butler)
11:19.0,,,61-46,,J. Butler misses free throw 1 of 2
11:19.0,,,61-46,,Offensive rebound by Team
11:19.0,,,61-47,1,J. Butler makes free throw 2 of 2
11:05.0,,,61-47,,Personal foul by N. Mirotic (drawn by D. Saric)
10:59.0,T. McConnell makes 2-pt shot from 11 ft,2,63-47,,
10:42.0,,,63-47,,R. Rondo misses 3-pt shot from 23 ft
10:40.0,Defensive rebound by T. McConnell,,63-47,,
10:23.0,T. Luwawu-Cabarrot makes 2-pt shot at rim (assist by T. McConnell),2,65-47,,
10:18.0,,,65-47,,Turnover by P. Zipser (bad pass; steal by T. McConnell)
10:14.0,D. Saric makes 2-pt shot from 2 ft (assist by T. McConnell),2,67-47,,
10:13.0,,,67-47,,Chicago full timeout
10:00.0,,,67-47,,J. Butler misses 2-pt shot from 13 ft
9:59.0,Defensive rebound by T. Luwawu-Cabarrot,,67-47,,
9:54.0,Offensive charge foul by R. Covington,,67-47,,
9:54.0,Turnover by R. Covington (offensive foul),,67-47,,
9:36.0,,,67-49,2,N. Mirotic makes 2-pt shot from 3 ft (assist by R. Rondo)
9:24.0,,,67-49,,Personal foul by R. Rondo (drawn by T. Luwawu-Cabarrot)
9:24.0,G. Henderson enters the game for R. Covington,,67-49,,
9:07.0,D. Saric misses 2-pt shot from 19 ft,,67-49,,
9:06.0,Offensive rebound by S. Long,,67-49,,
9:06.0,S. Long makes 2-pt shot at rim,2,69-49,,
8:51.0,,,69-49,,Shooting foul by S. Long (drawn by J. Butler)
8:51.0,,,69-49,,J. Butler misses free throw 1 of 2
8:51.0,,,69-49,,Offensive rebound by Team
8:51.0,,,69-50,1,J. Butler makes free throw 2 of 2
8:51.0,,,69-49,,J. Lauvergne enters the game for R. Lopez
8:42.0,D. Saric makes 2-pt shot from 1 ft,2,71-50,,
8:27.0,,,71-53,3,N. Mirotic makes 3-pt shot from 25 ft (assist by J. Butler)
8:09.0,S. Long makes 2-pt shot at rim (assist by D. Saric),2,73-53,,
7:55.0,,,73-53,,Turnover by P. Zipser (bad pass; steal by T. McConnell)
7:51.0,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft (assist by T. McConnell),2,75-53,,
7:51.0,,,75-53,,Chicago full timeout
7:51.0,,,75-53,,D. Valentine enters the game for P. Zipser
7:35.0,,,75-53,,Turnover by J. Lauvergne (bad pass; steal by S. Long)
7:22.0,S. Long makes 2-pt shot from 2 ft,2,77-53,,
7:07.0,,,77-55,2,J. Butler makes 2-pt shot from 6 ft
7:07.0,,,77-55,,Shooting foul by S. Long (drawn by J. Butler)
7:07.0,,,77-55,,J. Butler misses free throw 1 of 1
7:06.0,Defensive rebound by D. Saric,,77-55,,
6:46.0,D. Saric makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot),2,79-55,,
6:29.0,,,79-55,,N. Mirotic misses 2-pt shot from 7 ft
6:27.0,,,79-55,,Offensive rebound by J. Lauvergne
6:27.0,,,79-55,,J. Lauvergne misses 2-pt shot from 2 ft
6:26.0,Defensive rebound by S. Long,,79-55,,
6:15.0,T. McConnell makes 2-pt shot from 12 ft,2,81-55,,
5:58.0,,,81-55,,Shooting foul by D. Saric (drawn by J. Butler)
5:58.0,,,81-56,1,J. Butler makes free throw 1 of 2
5:58.0,,,81-57,1,J. Butler makes free throw 2 of 2
5:58.0,Philadelphia full timeout,,81-57,,
5:58.0,,,81-56,,A. Morrow enters the game for R. Rondo
5:58.0,R. Holmes enters the game for S. Long,,81-56,,
5:32.0,G. Henderson misses 2-pt shot from 20 ft,,81-57,,
5:30.0,Offensive rebound by D. Saric,,81-57,,
5:30.0,D. Saric makes 2-pt shot from 1 ft,2,83-57,,
5:16.0,,,83-57,,Turnover by J. Lauvergne (lost ball; steal by D. Saric)
5:12.0,Turnover by D. Saric (lost ball; steal by J. Butler),,83-57,,
5:05.0,,,83-59,2,J. Butler makes 2-pt shot from 5 ft
5:05.0,,,83-59,,Shooting foul by G. Henderson (drawn by J. Butler)
5:05.0,,,83-60,1,J. Butler makes free throw 1 of 1
4:49.0,Shooting foul by J. Butler (drawn by D. Saric),,83-60,,
4:49.0,D. Saric makes free throw 1 of 2,1,84-60,,
4:49.0,D. Saric misses free throw 2 of 2,,84-60,,
4:49.0,N. Stauskas enters the game for T. Luwawu-Cabarrot,,84-60,,
4:47.0,,,84-60,,Defensive rebound by J. Butler
4:36.0,,,84-63,3,A. Morrow makes 3-pt shot from 25 ft (assist by J. Butler)
4:18.0,G. Henderson misses 2-pt shot from 8 ft,,84-63,,
4:17.0,,,84-63,,Defensive rebound by J. Lauvergne
4:11.0,,,84-63,,Turnover by N. Mirotic (bad pass; steal by G. Henderson)
4:02.0,N. Stauskas makes 3-pt shot from 27 ft (assist by G. Henderson),3,87-63,,
3:51.0,Personal foul by G. Henderson (drawn by J. Butler),,87-63,,
3:51.0,,,87-64,1,J. Butler makes free throw 1 of 2
3:51.0,,,87-65,1,J. Butler makes free throw 2 of 2
3:51.0,,,87-64,,B. Portis enters the game for N. Mirotic
3:51.0,R. Covington enters the game for D. Saric,,87-64,,
3:38.0,R. Covington misses 3-pt shot from 25 ft,,87-65,,
3:37.0,,,87-65,,Defensive rebound by J. Butler
3:23.0,,,87-65,,D. Valentine misses 3-pt shot from 23 ft
3:22.0,,,87-65,,Offensive rebound by B. Portis
3:20.0,,,87-65,,B. Portis misses 2-pt shot from 5 ft
3:19.0,Defensive rebound by Team,,87-65,,
3:06.0,R. Holmes makes 2-pt shot at rim (assist by T. McConnell),2,89-65,,
2:38.0,,,89-65,,J. Lauvergne misses 2-pt shot from 2 ft
2:37.0,,,89-65,,Offensive rebound by B. Portis
2:37.0,,,89-67,2,B. Portis makes 2-pt shot from 2 ft
2:25.0,Shooting foul by B. Portis (drawn by R. Covington),,89-67,,
2:25.0,R. Covington makes free throw 1 of 2,1,90-67,,
2:25.0,R. Covington makes free throw 2 of 2,1,91-67,,
2:25.0,,,90-67,,M. Carter-Williams enters the game for J. Lauvergne
2:25.0,J. Anderson enters the game for T. McConnell,,90-67,,
2:25.0,S. Rodriguez enters the game for G. Henderson,,90-67,,
2:12.0,,,91-67,,J. Butler misses 2-pt shot from 1 ft
2:11.0,Defensive rebound by R. Holmes,,91-67,,
2:05.0,R. Holmes misses 3-pt shot from 26 ft,,91-67,,
2:04.0,,,91-67,,Defensive rebound by M. Carter-Williams
2:02.0,,,91-67,,Turnover by M. Carter-Williams (bad pass)
1:46.0,Turnover by R. Covington (lost ball),,91-67,,
1:33.0,,,91-69,2,B. Portis makes 2-pt shot from 19 ft (assist by J. Butler)
1:15.0,Shooting foul by M. Carter-Williams (drawn by N. Stauskas),,91-69,,
1:15.0,N. Stauskas makes free throw 1 of 2,1,92-69,,
1:15.0,N. Stauskas misses free throw 2 of 2,,92-69,,
1:13.0,,,92-69,,Defensive rebound by B. Portis
1:00.0,,,92-69,,A. Morrow misses 2-pt shot from 3 ft (block by R. Holmes)
0:59.0,Defensive rebound by S. Rodriguez,,92-69,,
0:56.0,Shooting foul by M. Carter-Williams (drawn by R. Covington),,92-69,,
0:56.0,R. Covington makes free throw 1 of 2,1,93-69,,
0:56.0,R. Covington misses free throw 2 of 2,,93-69,,
0:55.0,,,93-69,,Defensive rebound by D. Valentine
0:42.0,,,93-69,,J. Butler misses 2-pt shot from 1 ft
0:42.0,,,93-69,,Offensive rebound by B. Portis
0:42.0,,,93-71,2,B. Portis makes 2-pt shot from 2 ft
0:27.0,N. Stauskas misses 2-pt shot from 7 ft,,93-71,,
0:26.0,,,93-71,,Defensive rebound by B. Portis
0:01.0,,,93-71,,J. Butler misses 2-pt shot from 21 ft
0:00.0,,,93-71,,Offensive rebound by D. Valentine
0:00.0,,,93-71,,M. Carter-Williams misses 3-pt shot from 25 ft
0:00.0,,,93-71,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,93-71,,Shooting foul by R. Covington (drawn by A. Morrow)
11:45.0,,,93-72,1,A. Morrow makes free throw 1 of 3
11:45.0,,,93-73,1,A. Morrow makes free throw 2 of 3
11:45.0,,,93-74,1,A. Morrow makes free throw 3 of 3
11:45.0,D. Saric enters the game for R. Covington,,93-73,,
11:33.0,R. Holmes misses 2-pt shot from 4 ft (block by B. Portis),,93-74,,
11:33.0,Offensive rebound by Team,,93-74,,
11:27.0,R. Holmes makes 2-pt shot from 12 ft,2,95-74,,
11:15.0,,,95-76,2,M. Carter-Williams makes 2-pt shot from 18 ft
10:59.0,N. Stauskas misses 2-pt shot from 1 ft,,95-76,,
10:58.0,,,95-76,,Defensive rebound by B. Portis
10:48.0,,,95-76,,A. Morrow misses 3-pt shot from 25 ft
10:47.0,,,95-76,,Offensive rebound by J. Butler
10:45.0,,,95-78,2,J. Butler makes 2-pt shot from 1 ft
10:21.0,S. Rodriguez misses 3-pt shot from 25 ft,,95-78,,
10:21.0,Offensive rebound by D. Saric,,95-78,,
10:21.0,Shooting foul by M. Carter-Williams (drawn by D. Saric),,95-78,,
10:21.0,D. Saric makes free throw 1 of 2,1,96-78,,
10:21.0,D. Saric makes free throw 2 of 2,1,97-78,,
10:21.0,G. Henderson enters the game for J. Anderson,,96-78,,
10:02.0,,,97-80,2,B. Portis makes 2-pt shot from 1 ft (assist by J. Butler)
9:38.0,D. Saric misses 3-pt shot from 26 ft,,97-80,,
9:37.0,,,97-80,,Defensive rebound by B. Portis
9:22.0,,,97-82,2,B. Portis makes 2-pt shot from 22 ft (assist by D. Valentine)
9:22.0,Philadelphia full timeout,,97-82,,
9:07.0,S. Rodriguez misses 2-pt shot from 2 ft (block by B. Portis),,97-82,,
9:05.0,Offensive rebound by G. Henderson,,97-82,,
9:02.0,N. Stauskas makes 2-pt shot from 1 ft (assist by G. Henderson),2,99-82,,
8:46.0,,,99-85,3,D. Valentine makes 3-pt shot from 25 ft (assist by B. Portis)
8:24.0,D. Saric makes 2-pt shot from 6 ft,2,101-85,,
8:13.0,,,101-88,3,B. Portis makes 3-pt shot from 25 ft (assist by J. Butler)
7:56.0,Offensive charge foul by D. Saric,,101-88,,
7:56.0,Turnover by D. Saric (offensive foul),,101-88,,
7:56.0,S. Long enters the game for R. Holmes,,101-88,,
7:42.0,,,101-90,2,A. Morrow makes 2-pt shot from 11 ft
7:29.0,Shooting foul by B. Portis (drawn by S. Long),,101-90,,
7:29.0,S. Long misses free throw 1 of 2,,101-90,,
7:29.0,Offensive rebound by Team,,101-90,,
7:29.0,S. Long makes free throw 2 of 2,1,102-90,,
7:29.0,R. Covington enters the game for N. Stauskas,,101-90,,
7:15.0,,,102-92,2,B. Portis makes 2-pt shot from 16 ft (assist by J. Butler)
6:51.0,S. Rodriguez misses 2-pt shot from 3 ft,,102-92,,
6:51.0,,,102-92,,Defensive rebound by Team
6:51.0,Personal foul by R. Covington (drawn by B. Portis),,102-92,,
6:31.0,,,102-92,,J. Butler misses 3-pt shot from 24 ft
6:30.0,Defensive rebound by G. Henderson,,102-92,,
6:17.0,S. Long misses 2-pt shot from 20 ft,,102-92,,
6:16.0,,,102-92,,Defensive rebound by J. Butler
6:07.0,,,102-92,,D. Valentine misses 3-pt shot from 24 ft
6:06.0,Defensive rebound by D. Saric,,102-92,,
5:56.0,D. Saric makes 3-pt shot from 26 ft (assist by S. Rodriguez),3,105-92,,
5:55.0,,,105-92,,Chicago full timeout
5:55.0,T. McConnell enters the game for R. Covington,,105-92,,
5:55.0,N. Stauskas enters the game for S. Rodriguez,,105-92,,
5:55.0,R. Holmes enters the game for S. Long,,105-92,,
5:42.0,,,105-92,,J. Butler misses 2-pt shot from 14 ft
