time,Orlando,pts.away,score,pts.home,Atlanta
10:04.0,,,26-37,,D. Bembry misses 2-pt shot from 1 ft (block by B. Biyombo)
10:04.0,,,26-37,,Offensive rebound by Team
10:04.0,,,26-37,,Turnover by Team (shot clock)
9:46.0,D. Augustin misses 2-pt shot from 11 ft,,26-37,,
9:45.0,,,26-37,,Defensive rebound by M. Dunleavy
9:38.0,,,26-37,,Offensive charge foul by M. Muscala
9:38.0,,,26-37,,Turnover by M. Muscala (offensive foul)
9:38.0,,,26-37,,K. Bazemore enters the game for M. Muscala
9:14.0,B. Biyombo misses 2-pt shot from 18 ft,,26-37,,
9:12.0,,,26-37,,Defensive rebound by M. Delaney
9:04.0,,,26-37,,Turnover by D. Howard (step out of bounds)
8:51.0,,,26-37,,Personal foul by D. Bembry
8:51.0,Official timeout,,26-37,,
8:46.0,Shooting foul by D. Bembry (drawn by E. Fournier),,26-37,,
8:46.0,E. Fournier makes free throw 1 of 3,1,27-37,,
8:46.0,E. Fournier makes free throw 2 of 3,1,28-37,,
8:46.0,E. Fournier makes free throw 3 of 3,1,29-37,,
8:37.0,Personal foul by C. Watson,,29-37,,
8:26.0,,,29-39,2,D. Howard makes 2-pt shot at rim (assist by M. Delaney)
8:10.0,Turnover by J. Green (bad pass; steal by D. Howard),,29-39,,
8:03.0,,,29-39,,M. Dunleavy misses 3-pt shot from 24 ft
8:02.0,,,29-39,,Offensive rebound by D. Howard
8:02.0,,,29-41,2,D. Howard makes 2-pt shot at rim
7:37.0,D. Augustin misses 2-pt shot from 4 ft,,29-41,,
7:35.0,,,29-41,,Defensive rebound by D. Howard
7:27.0,,,29-43,2,M. Delaney makes 2-pt shot from 21 ft
7:19.0,Orlando full timeout,,29-43,,
7:19.0,,,29-43,,D. Schroder enters the game for D. Bembry
7:09.0,Turnover by E. Fournier (bad pass; steal by K. Bazemore),,29-43,,
7:01.0,,,29-43,,M. Delaney misses 3-pt shot from 24 ft
6:59.0,Defensive rebound by J. Green,,29-43,,
6:53.0,J. Green makes 2-pt shot from 3 ft,2,31-43,,
6:38.0,,,31-43,,Turnover by D. Howard (bad pass)
6:38.0,S. Ibaka enters the game for J. Green,,31-43,,
6:38.0,E. Payton enters the game for D. Augustin,,31-43,,
6:29.0,E. Fournier misses 3-pt shot from 25 ft,,31-43,,
6:28.0,,,31-43,,Defensive rebound by D. Schroder
6:13.0,,,31-43,,D. Schroder misses 2-pt shot from 2 ft
6:13.0,,,31-43,,Offensive rebound by D. Howard
6:13.0,,,31-45,2,D. Howard makes 2-pt shot from 1 ft
6:13.0,,,31-45,,Shooting foul by B. Biyombo (drawn by D. Howard)
6:13.0,,,31-45,,D. Howard misses free throw 1 of 1
6:13.0,,,31-45,,M. Muscala enters the game for M. Dunleavy
6:13.0,N. Vucevic enters the game for B. Biyombo,,31-45,,
6:13.0,,,31-45,,T. Hardaway enters the game for M. Delaney
6:12.0,Defensive rebound by N. Vucevic,,31-45,,
5:52.0,E. Fournier misses 2-pt shot from 1 ft,,31-45,,
5:52.0,Offensive rebound by Team,,31-45,,
5:48.0,S. Ibaka misses 2-pt shot from 19 ft,,31-45,,
5:47.0,Offensive rebound by Team,,31-45,,
5:47.0,Turnover by Team (shot clock),,31-45,,
5:30.0,,,31-48,3,M. Muscala makes 3-pt shot from 23 ft (assist by D. Schroder)
5:12.0,S. Ibaka misses 2-pt shot from 17 ft,,31-48,,
5:11.0,,,31-48,,Defensive rebound by D. Howard
5:03.0,,,31-50,2,K. Bazemore makes 2-pt shot at rim (assist by D. Schroder)
4:43.0,C. Watson makes 3-pt shot from 24 ft (assist by S. Ibaka),3,34-50,,
4:30.0,,,34-52,2,D. Schroder makes 2-pt shot from 3 ft (assist by D. Howard)
4:27.0,Orlando full timeout,,34-52,,
4:27.0,,,34-52,,P. Millsap enters the game for D. Howard
4:27.0,A. Gordon enters the game for C. Watson,,34-52,,
4:08.0,Turnover by E. Fournier (lost ball; steal by K. Bazemore),,34-52,,
4:02.0,,,34-52,,K. Bazemore misses 3-pt shot from 26 ft
4:00.0,,,34-52,,Offensive rebound by M. Muscala
4:00.0,,,34-52,,Turnover by M. Muscala (bad pass)
3:49.0,N. Vucevic makes 2-pt shot from 11 ft,2,36-52,,
3:34.0,,,36-52,,T. Hardaway misses 3-pt shot from 25 ft
3:32.0,Defensive rebound by E. Fournier,,36-52,,
3:15.0,E. Payton misses 3-pt shot from 23 ft,,36-52,,
3:14.0,,,36-52,,Defensive rebound by M. Muscala
3:05.0,,,36-55,3,D. Schroder makes 3-pt shot from 25 ft
2:50.0,S. Ibaka misses 3-pt shot from 26 ft,,36-55,,
2:50.0,,,36-55,,Defensive rebound by Team
2:50.0,Loose ball foul by A. Gordon (drawn by K. Bazemore),,36-55,,
2:50.0,,,36-55,,M. Delaney enters the game for K. Bazemore
2:37.0,,,36-55,,Shooting foul by N. Vucevic (drawn by D. Schroder)
2:37.0,,,36-55,,D. Schroder misses free throw 1 of 2
2:37.0,,,36-55,,Offensive rebound by Team
2:37.0,,,36-56,1,D. Schroder makes free throw 2 of 2
2:12.0,A. Gordon makes 3-pt shot from 25 ft (assist by E. Fournier),3,39-56,,
1:56.0,,,39-56,,Shooting foul by S. Ibaka (drawn by P. Millsap)
1:56.0,,,39-57,1,P. Millsap makes free throw 1 of 2
1:56.0,,,39-57,,P. Millsap misses free throw 2 of 2
1:55.0,Defensive rebound by A. Gordon,,39-57,,
1:38.0,S. Ibaka misses 3-pt shot from 24 ft,,39-57,,
1:36.0,,,39-57,,Defensive rebound by T. Hardaway
1:31.0,,,39-59,2,M. Delaney makes 2-pt shot from 19 ft (assist by D. Schroder)
1:17.0,N. Vucevic misses 2-pt shot from 19 ft,,39-59,,
1:14.0,Offensive rebound by S. Ibaka,,39-59,,
1:03.0,Turnover by S. Ibaka (lost ball),,39-59,,
0:38.0,,,39-62,3,P. Millsap makes 3-pt shot from 25 ft (assist by M. Muscala)
0:28.0,N. Vucevic misses 2-pt shot from 12 ft,,39-62,,
0:26.0,,,39-62,,Defensive rebound by T. Hardaway
0:23.0,,,39-65,3,T. Hardaway makes 3-pt shot from 24 ft
0:01.0,E. Payton misses 2-pt shot from 3 ft (block by M. Muscala),,39-65,,
0:01.0,,,39-65,,Defensive rebound by M. Muscala
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,E. Fournier misses 3-pt shot from 23 ft,,39-65,,
11:42.0,,,39-65,,Defensive rebound by T. Hardaway
11:33.0,,,39-65,,P. Millsap misses 2-pt shot from 17 ft
11:30.0,,,39-65,,Offensive rebound by D. Howard
11:25.0,,,39-65,,P. Millsap misses 2-pt shot at rim
11:24.0,Defensive rebound by N. Vucevic,,39-65,,
11:13.0,A. Gordon makes 2-pt shot from 17 ft,2,41-65,,
10:55.0,,,41-65,,Turnover by K. Bazemore (lost ball; steal by E. Fournier)
10:47.0,E. Payton makes 2-pt shot from 10 ft,2,43-65,,
10:31.0,,,43-67,2,T. Hardaway makes 2-pt shot from 19 ft (assist by D. Howard)
10:17.0,E. Fournier makes 2-pt shot from 1 ft (assist by N. Vucevic),2,45-67,,
10:01.0,,,45-67,,Turnover by K. Bazemore (lost ball; steal by A. Gordon)
9:57.0,Shooting foul by K. Bazemore (drawn by A. Gordon),,45-67,,
9:57.0,A. Gordon makes free throw 1 of 2,1,46-67,,
9:57.0,A. Gordon misses free throw 2 of 2,,46-67,,
9:56.0,,,46-67,,Defensive rebound by D. Howard
9:42.0,,,46-67,,D. Schroder misses 3-pt shot from 25 ft
9:40.0,Defensive rebound by N. Vucevic,,46-67,,
9:25.0,,,46-67,,Personal foul by P. Millsap (drawn by S. Ibaka)
9:23.0,E. Fournier makes 2-pt shot from 18 ft (assist by A. Gordon),2,48-67,,
9:22.0,,,48-67,,Atlanta full timeout
9:06.0,,,48-67,,Shooting foul by E. Payton (drawn by P. Millsap)
9:06.0,,,48-69,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
9:06.0,,,48-70,1,P. Millsap makes free throw 1 of 1
8:55.0,Turnover by S. Ibaka (bad pass),,48-70,,
8:39.0,,,48-72,2,K. Bazemore makes 2-pt shot from 20 ft
8:17.0,N. Vucevic misses 2-pt shot from 17 ft,,48-72,,
8:14.0,,,48-72,,Defensive rebound by T. Hardaway
8:01.0,,,48-72,,P. Millsap misses 2-pt shot from 5 ft
7:59.0,,,48-72,,Offensive rebound by D. Howard
7:59.0,,,48-72,,Shooting foul by N. Vucevic (drawn by D. Howard)
7:59.0,,,48-73,1,D. Howard makes free throw 1 of 2
7:59.0,,,48-73,,D. Howard misses free throw 2 of 2
7:59.0,,,48-73,,Offensive rebound by K. Bazemore
7:54.0,,,48-73,,T. Hardaway misses 3-pt shot from 25 ft
7:53.0,Defensive rebound by N. Vucevic,,48-73,,
7:45.0,E. Payton misses 3-pt shot from 25 ft,,48-73,,
7:44.0,,,48-73,,Defensive rebound by D. Howard
7:30.0,,,48-73,,K. Bazemore misses 3-pt shot from 25 ft
7:28.0,Defensive rebound by E. Fournier,,48-73,,
7:21.0,E. Fournier misses 2-pt shot from 3 ft,,48-73,,
7:20.0,Offensive rebound by E. Payton,,48-73,,
7:20.0,E. Payton makes 2-pt shot from 1 ft,2,50-73,,
6:53.0,,,50-76,3,T. Hardaway makes 3-pt shot from 23 ft (assist by P. Millsap)
6:50.0,Orlando full timeout,,50-76,,
6:50.0,D. Augustin enters the game for E. Payton,,50-76,,
6:29.0,E. Fournier makes 2-pt shot from 10 ft,2,52-76,,
6:21.0,,,52-76,,Turnover by D. Schroder (bad pass; steal by A. Gordon)
6:11.0,E. Fournier misses 2-pt shot from 11 ft,,52-76,,
6:09.0,Offensive rebound by E. Fournier,,52-76,,
6:08.0,E. Fournier misses 2-pt shot from 1 ft,,52-76,,
6:07.0,,,52-76,,Defensive rebound by P. Millsap
5:53.0,,,52-76,,Shooting foul by A. Gordon (drawn by D. Schroder)
5:53.0,,,52-77,1,D. Schroder makes free throw 1 of 2
5:53.0,,,52-78,1,D. Schroder makes free throw 2 of 2
5:46.0,,,52-78,,Personal foul by D. Howard (drawn by N. Vucevic)
5:41.0,D. Augustin makes 3-pt shot from 25 ft (assist by E. Fournier),3,55-78,,
5:25.0,,,55-80,2,P. Millsap makes 2-pt shot at rim (assist by D. Schroder)
5:06.0,A. Gordon misses 2-pt shot at rim,,55-80,,
5:03.0,Offensive rebound by A. Gordon,,55-80,,
5:03.0,A. Gordon makes 2-pt shot at rim,2,57-80,,
4:45.0,,,57-82,2,D. Schroder makes 2-pt shot from 1 ft
4:26.0,N. Vucevic misses 2-pt shot from 18 ft,,57-82,,
4:25.0,,,57-82,,Defensive rebound by D. Schroder
4:10.0,,,57-82,,T. Hardaway misses 2-pt shot from 19 ft
4:07.0,Defensive rebound by N. Vucevic,,57-82,,
4:00.0,N. Vucevic makes 2-pt shot from 12 ft (assist by D. Augustin),2,59-82,,
3:38.0,,,59-82,,Shooting foul by N. Vucevic (drawn by P. Millsap)
3:38.0,,,59-83,1,P. Millsap makes free throw 1 of 2
3:38.0,,,59-84,1,P. Millsap makes free throw 2 of 2
3:38.0,,,59-83,,M. Muscala enters the game for D. Howard
3:38.0,,,59-83,,D. Bembry enters the game for K. Bazemore
3:23.0,A. Gordon misses 3-pt shot from 23 ft,,59-84,,
3:22.0,,,59-84,,Defensive rebound by D. Schroder
3:12.0,,,59-84,,Turnover by T. Hardaway (bad pass; steal by N. Vucevic)
2:59.0,E. Fournier misses 3-pt shot from 23 ft,,59-84,,
2:58.0,,,59-84,,Defensive rebound by P. Millsap
2:50.0,,,59-84,,D. Schroder misses 3-pt shot from 25 ft
2:49.0,,,59-84,,Offensive rebound by Team
2:49.0,Loose ball foul by D. Augustin (drawn by M. Muscala),,59-84,,
2:49.0,,,59-85,1,M. Muscala makes free throw 1 of 2
2:49.0,,,59-86,1,M. Muscala makes free throw 2 of 2
2:49.0,,,59-85,,M. Delaney enters the game for D. Schroder
2:49.0,,,59-85,,M. Dunleavy enters the game for T. Hardaway
2:49.0,J. Green enters the game for A. Gordon,,59-85,,
2:49.0,C. Watson enters the game for S. Ibaka,,59-85,,
2:49.0,B. Biyombo enters the game for N. Vucevic,,59-85,,
2:26.0,J. Green makes 3-pt shot from 25 ft (assist by C. Watson),3,62-86,,
1:58.0,,,62-86,,P. Millsap misses 2-pt shot from 19 ft
1:56.0,Defensive rebound by D. Augustin,,62-86,,
1:53.0,,,62-86,,Personal foul by P. Millsap (drawn by B. Biyombo)
1:43.0,E. Fournier misses 2-pt shot from 2 ft,,62-86,,
1:42.0,,,62-86,,Defensive rebound by D. Bembry
1:36.0,,,62-86,,M. Dunleavy misses 3-pt shot from 25 ft
1:33.0,,,62-86,,Offensive rebound by P. Millsap
1:23.0,,,62-88,2,M. Dunleavy makes 2-pt shot from 17 ft
1:09.0,Turnover by D. Augustin (bad pass; steal by D. Bembry),,62-88,,
1:02.0,,,62-88,,M. Dunleavy misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by B. Biyombo,,62-88,,
0:55.0,C. Watson makes 3-pt shot from 24 ft,3,65-88,,
0:40.0,,,65-91,3,M. Delaney makes 3-pt shot from 25 ft (assist by P. Millsap)
0:26.0,J. Green misses 3-pt shot from 25 ft,,65-91,,
0:25.0,,,65-91,,Defensive rebound by M. Dunleavy
0:01.0,,,65-91,,P. Millsap misses 3-pt shot from 22 ft
0:00.0,,,65-91,,Offensive rebound by D. Bembry
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,,,65-91,,Turnover by M. Dunleavy (bad pass)
11:24.0,C. Watson misses 3-pt shot from 23 ft,,65-91,,
11:23.0,,,65-91,,Defensive rebound by M. Dunleavy
11:09.0,Violation by J. Green (kicked ball),,65-91,,
10:52.0,,,65-91,,M. Delaney misses 3-pt shot from 24 ft
10:50.0,Defensive rebound by C. Watson,,65-91,,
10:45.0,D. Augustin makes 3-pt shot from 25 ft (assist by C. Watson),3,68-91,,
10:22.0,,,68-94,3,M. Dunleavy makes 3-pt shot from 25 ft (assist by K. Humphries)
10:06.0,J. Green makes 2-pt shot from 20 ft (assist by C. Watson),2,70-94,,
9:48.0,Personal foul by C. Watson,,70-94,,
9:41.0,,,70-94,,M. Dunleavy misses 2-pt shot from 20 ft
9:40.0,Defensive rebound by C. Watson,,70-94,,
9:26.0,D. Augustin misses 3-pt shot from 26 ft,,70-94,,
9:25.0,,,70-94,,Defensive rebound by M. Muscala
9:13.0,,,70-94,,K. Humphries misses 2-pt shot from 2 ft
9:12.0,Defensive rebound by J. Green,,70-94,,
9:09.0,Shooting foul by M. Delaney (drawn by J. Green),,70-94,,
9:09.0,J. Green makes free throw 1 of 2,1,71-94,,
9:09.0,J. Green makes free throw 2 of 2,1,72-94,,
8:54.0,,,72-94,,Turnover by M. Muscala (bad pass; steal by C. Watson)
8:48.0,D. Augustin misses 3-pt shot from 25 ft,,72-94,,
8:46.0,,,72-94,,Defensive rebound by D. Bembry
8:26.0,Official timeout,,72-94,,
8:26.0,,,72-94,,K. Bazemore enters the game for M. Muscala
8:24.0,,,72-96,2,K. Humphries makes 2-pt shot from 1 ft (assist by M. Dunleavy)
8:01.0,Shooting foul by M. Delaney (drawn by J. Green),,72-96,,
8:01.0,J. Green makes free throw 1 of 3,1,73-96,,
8:01.0,J. Green makes free throw 2 of 3,1,74-96,,
8:01.0,J. Green makes free throw 3 of 3,1,75-96,,
7:37.0,,,75-96,,M. Delaney misses 2-pt shot from 13 ft (block by D. Augustin)
7:35.0,,,75-96,,Offensive rebound by K. Humphries
7:33.0,,,75-96,,K. Humphries misses 2-pt shot from 17 ft
7:32.0,Defensive rebound by J. Green,,75-96,,
7:27.0,Turnover by J. Green (bad pass),,75-96,,
7:27.0,,,75-96,,T. Hardaway enters the game for M. Dunleavy
7:11.0,,,75-96,,D. Bembry misses 3-pt shot from 25 ft
7:08.0,Defensive rebound by M. Hezonja,,75-96,,
6:48.0,J. Green misses 3-pt shot from 26 ft,,75-96,,
6:48.0,,,75-96,,Defensive rebound by Team
6:26.0,,,75-96,,D. Bembry misses 2-pt shot at rim (block by B. Biyombo)
6:24.0,Defensive rebound by M. Hezonja,,75-96,,
6:23.0,,,75-96,,Shooting block foul by M. Delaney (drawn by M. Hezonja)
6:23.0,M. Hezonja makes free throw 1 of 2,1,76-96,,
6:23.0,M. Hezonja makes free throw 2 of 2,1,77-96,,
6:23.0,E. Payton enters the game for C. Watson,,76-96,,
6:23.0,D. Rudez enters the game for J. Green,,76-96,,
5:58.0,,,77-98,2,T. Hardaway makes 2-pt shot from 16 ft
5:36.0,M. Hezonja makes 2-pt shot from 20 ft (assist by B. Biyombo),2,79-98,,
5:23.0,,,79-98,,Shooting foul by B. Biyombo (drawn by T. Hardaway)
5:23.0,,,79-98,,Atlanta full timeout
5:23.0,,,79-99,1,T. Hardaway makes free throw 1 of 2
5:23.0,,,79-100,1,T. Hardaway makes free throw 2 of 2
5:23.0,,,79-98,,T. Waller-Prince enters the game for D. Bembry
5:23.0,,,79-98,,M. Scott enters the game for M. Delaney
5:07.0,Turnover by E. Payton (bad pass; steal by T. Hardaway),,79-100,,
5:02.0,,,79-102,2,K. Bazemore makes 2-pt shot from 1 ft (assist by T. Hardaway)
4:54.0,D. Rudez misses 3-pt shot from 22 ft,,79-102,,
4:53.0,,,79-102,,Defensive rebound by K. Bazemore
4:48.0,,,79-102,,T. Hardaway misses 3-pt shot from 26 ft
4:47.0,Defensive rebound by E. Payton,,79-102,,
4:41.0,E. Payton misses 2-pt shot from 8 ft,,79-102,,
4:40.0,,,79-102,,Defensive rebound by K. Humphries
4:38.0,,,79-102,,Turnover by K. Humphries (bad pass)
4:38.0,,,79-102,,L. Patterson enters the game for T. Hardaway
4:38.0,,,79-102,,D. Bembry enters the game for K. Bazemore
4:21.0,,,79-102,,Personal foul by L. Patterson (drawn by B. Biyombo)
4:07.0,E. Payton misses 2-pt shot from 21 ft,,79-102,,
4:05.0,,,79-102,,Defensive rebound by K. Humphries
3:49.0,,,79-104,2,K. Humphries makes 2-pt shot at rim (assist by D. Bembry)
3:37.0,Shooting foul by M. Scott (drawn by B. Biyombo),,79-104,,
3:37.0,B. Biyombo makes free throw 1 of 2,1,80-104,,
3:37.0,B. Biyombo makes free throw 2 of 2,1,81-104,,
3:27.0,Personal foul by M. Hezonja (drawn by T. Waller-Prince),,81-104,,
3:17.0,,,81-104,,D. Bembry misses 3-pt shot from 24 ft
3:15.0,Defensive rebound by M. Hezonja,,81-104,,
3:01.0,Shooting foul by L. Patterson (drawn by E. Payton),,81-104,,
3:01.0,E. Payton misses free throw 1 of 2,,81-104,,
3:01.0,Offensive rebound by Team,,81-104,,
3:01.0,E. Payton makes free throw 2 of 2,1,82-104,,
2:50.0,,,82-104,,Shooting foul by D. Rudez (drawn by T. Waller-Prince)
2:50.0,Orlando full timeout,,82-104,,
2:50.0,,,82-105,1,T. Waller-Prince makes free throw 1 of 2
2:50.0,,,82-106,1,T. Waller-Prince makes free throw 2 of 2
2:36.0,M. Hezonja misses 2-pt shot from 21 ft (block by T. Waller-Prince),,82-106,,
2:35.0,,,82-106,,Defensive rebound by D. Bembry
2:28.0,,,82-106,,Shooting foul by M. Hezonja (drawn by T. Waller-Prince)
2:28.0,,,82-107,1,T. Waller-Prince makes free throw 1 of 2
2:28.0,,,82-108,1,T. Waller-Prince makes free throw 2 of 2
2:20.0,Turnover by B. Biyombo (lost ball),,82-108,,
1:57.0,,,82-108,,M. Scott misses 2-pt shot from 11 ft
1:55.0,Defensive rebound by D. Rudez,,82-108,,
