time,New York,pts.away,score,pts.home,Philadelphia
3:18.0,,,29-21,,Turnover by J. Anderson (bad pass; steal by D. Rose)
3:14.0,Shooting foul by T. Luwawu-Cabarrot (drawn by C. Lee),,29-21,,
3:14.0,C. Lee makes free throw 1 of 2,1,30-21,,
3:14.0,C. Lee makes free throw 2 of 2,1,31-21,,
3:03.0,,,31-21,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
3:02.0,Defensive rebound by K. O'Quinn,,31-21,,
2:46.0,Turnover by D. Rose (lost ball; steal by S. Rodriguez),,31-21,,
2:42.0,,,31-23,2,J. Anderson makes 2-pt shot at rim (assist by R. Covington)
2:42.0,New York full timeout,,31-23,,
2:42.0,M. Kuzminskas enters the game for C. Lee,,31-23,,
2:29.0,Turnover by M. Kuzminskas (bad pass; steal by S. Rodriguez),,31-23,,
2:25.0,,,31-23,,Shooting foul by K. O'Quinn (drawn by R. Holmes)
2:25.0,,,31-24,1,R. Holmes makes free throw 1 of 2
2:25.0,,,31-25,1,R. Holmes makes free throw 2 of 2
2:01.0,,,31-25,,Personal foul by T. Luwawu-Cabarrot (drawn by K. O'Quinn)
2:01.0,K. O'Quinn makes free throw 1 of 2,1,32-25,,
2:01.0,K. O'Quinn makes free throw 2 of 2,1,33-25,,
1:51.0,,,33-25,,R. Covington misses 3-pt shot from 24 ft
1:50.0,Defensive rebound by C. Anthony,,33-25,,
1:34.0,C. Anthony misses 2-pt shot from 17 ft,,33-25,,
1:33.0,,,33-25,,Defensive rebound by R. Holmes
1:24.0,,,33-25,,S. Rodriguez misses 2-pt shot from 6 ft (block by K. O'Quinn)
1:21.0,Defensive rebound by C. Anthony,,33-25,,
1:18.0,C. Anthony misses 3-pt shot from 26 ft,,33-25,,
1:17.0,,,33-25,,Defensive rebound by T. Luwawu-Cabarrot
1:11.0,Personal foul by M. Kuzminskas (drawn by R. Covington),,33-25,,
1:11.0,,,33-26,1,R. Covington makes free throw 1 of 2
1:11.0,,,33-27,1,R. Covington makes free throw 2 of 2
1:11.0,R. Baker enters the game for D. Rose,,33-26,,
1:11.0,L. Thomas enters the game for C. Anthony,,33-26,,
1:03.0,Turnover by L. Thomas (bad pass),,33-27,,
0:50.0,,,33-27,,Turnover by S. Rodriguez (lost ball; steal by L. Thomas)
0:35.0,K. O'Quinn makes 2-pt shot at rim (assist by R. Baker),2,35-27,,
0:20.0,,,35-29,2,R. Holmes makes 2-pt shot from 13 ft (assist by J. Anderson)
0:01.0,L. Thomas misses 2-pt shot from 17 ft,,35-29,,
0:00.0,,,35-29,,Defensive rebound by T. Luwawu-Cabarrot
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:40.0,,,35-31,2,D. Saric makes 2-pt shot at rim (assist by S. Rodriguez)
11:21.0,L. Thomas makes 3-pt shot from 24 ft (assist by J. Holiday),3,38-31,,
11:09.0,,,38-34,3,R. Covington makes 3-pt shot from 27 ft (assist by D. Saric)
10:55.0,M. Kuzminskas misses 3-pt shot from 25 ft,,38-34,,
10:54.0,,,38-34,,Defensive rebound by D. Saric
10:49.0,,,38-34,,Shooting foul by J. Holiday (drawn by R. Covington)
10:49.0,,,38-35,1,R. Covington makes free throw 1 of 2
10:49.0,,,38-36,1,R. Covington makes free throw 2 of 2
10:49.0,,,38-35,,J. Anderson enters the game for R. Holmes
10:41.0,M. Kuzminskas misses 2-pt shot from 3 ft (block by J. Anderson),,38-36,,
10:40.0,,,38-36,,Defensive rebound by Team
10:40.0,K. Porzingis enters the game for K. O'Quinn,,38-36,,
10:21.0,,,38-36,,D. Saric misses 2-pt shot from 18 ft
10:19.0,Defensive rebound by M. Kuzminskas,,38-36,,
10:12.0,Shooting foul by D. Saric (drawn by K. Porzingis),,38-36,,
10:12.0,K. Porzingis makes free throw 1 of 2,1,39-36,,
10:12.0,K. Porzingis makes free throw 2 of 2,1,40-36,,
10:12.0,C. Lee enters the game for M. Kuzminskas,,39-36,,
10:01.0,,,40-36,,S. Rodriguez misses 2-pt shot from 3 ft
10:00.0,Defensive rebound by R. Baker,,40-36,,
9:48.0,Turnover by R. Baker (lost ball),,40-36,,
9:48.0,,,40-36,,Philadelphia full timeout
9:37.0,,,40-36,,D. Saric misses 3-pt shot from 25 ft
9:35.0,Defensive rebound by J. Holiday,,40-36,,
9:18.0,K. Porzingis misses 2-pt shot from 15 ft,,40-36,,
9:16.0,Offensive rebound by R. Baker,,40-36,,
9:16.0,R. Baker misses 2-pt shot from 1 ft,,40-36,,
9:14.0,,,40-36,,Defensive rebound by D. Saric
9:09.0,,,40-36,,Shooting foul by C. Lee (drawn by D. Saric)
9:09.0,,,40-36,,D. Saric misses free throw 1 of 2
9:09.0,,,40-36,,Offensive rebound by Team
9:09.0,,,40-36,,D. Saric misses free throw 2 of 2
9:05.0,,,40-36,,Offensive rebound by J. Anderson
9:03.0,,,40-38,2,J. Anderson makes 2-pt shot from 1 ft
8:49.0,R. Baker makes 2-pt shot from 1 ft,2,42-38,,
8:33.0,,,42-40,2,D. Saric makes 2-pt shot from 20 ft
8:09.0,K. Porzingis misses 2-pt shot from 5 ft,,42-40,,
8:08.0,,,42-40,,Defensive rebound by J. Anderson
7:55.0,,,42-40,,Turnover by S. Rodriguez (back court)
7:55.0,,,42-40,,R. Holmes enters the game for R. Covington
7:44.0,K. Porzingis misses 3-pt shot from 24 ft,,42-40,,
7:43.0,,,42-40,,Defensive rebound by N. Stauskas
7:25.0,,,42-40,,R. Holmes misses 2-pt shot from 18 ft
7:23.0,Defensive rebound by Team,,42-40,,
7:23.0,D. Rose enters the game for J. Holiday,,42-40,,
7:04.0,D. Rose makes 2-pt shot from 4 ft,2,44-40,,
6:49.0,,,44-40,,N. Stauskas misses 3-pt shot from 25 ft
6:47.0,,,44-40,,Offensive rebound by J. Anderson
6:47.0,,,44-42,2,J. Anderson makes 2-pt shot at rim
6:32.0,,,44-42,,Personal foul by D. Saric (drawn by L. Thomas)
6:32.0,C. Anthony enters the game for R. Baker,,44-42,,
6:32.0,,,44-42,,T. McConnell enters the game for S. Rodriguez
6:32.0,,,44-42,,R. Covington enters the game for D. Saric
6:26.0,L. Thomas makes 2-pt shot at rim,2,46-42,,
6:20.0,Personal foul by K. Porzingis (drawn by R. Holmes),,46-42,,
6:20.0,K. O'Quinn enters the game for K. Porzingis,,46-42,,
6:11.0,,,46-42,,R. Covington misses 2-pt shot from 1 ft
6:10.0,Defensive rebound by L. Thomas,,46-42,,
5:53.0,D. Rose misses 2-pt shot from 3 ft,,46-42,,
5:51.0,Offensive rebound by C. Lee,,46-42,,
5:51.0,C. Lee makes 2-pt shot at rim,2,48-42,,
5:41.0,,,48-42,,Shooting foul by K. O'Quinn (drawn by R. Holmes)
5:41.0,Official timeout,,48-42,,
5:41.0,,,48-43,1,R. Holmes makes free throw 1 of 2
5:41.0,,,48-44,1,R. Holmes makes free throw 2 of 2
5:15.0,K. O'Quinn makes 2-pt shot at rim (assist by C. Lee),2,50-44,,
5:01.0,,,50-47,3,N. Stauskas makes 3-pt shot from 27 ft (assist by R. Covington)
4:33.0,L. Thomas makes 2-pt shot at rim,2,52-47,,
4:20.0,,,52-49,2,R. Holmes makes 2-pt shot from 16 ft (assist by T. McConnell)
4:07.0,L. Thomas misses 2-pt shot from 3 ft (block by R. Covington),,52-49,,
4:07.0,,,52-49,,Defensive rebound by Team
4:07.0,,,52-49,,J. Okafor enters the game for R. Holmes
4:07.0,,,52-49,,T. Luwawu-Cabarrot enters the game for J. Anderson
3:50.0,,,52-51,2,J. Okafor makes 2-pt shot from 1 ft (assist by N. Stauskas)
3:29.0,D. Rose misses 2-pt shot from 10 ft,,52-51,,
3:27.0,,,52-51,,Defensive rebound by T. McConnell
3:24.0,Personal foul by C. Lee (drawn by N. Stauskas),,52-51,,
3:24.0,,,52-52,1,N. Stauskas makes free throw 1 of 2
3:24.0,,,52-53,1,N. Stauskas makes free throw 2 of 2
3:24.0,J. Holiday enters the game for C. Lee,,52-52,,
3:24.0,M. Plumlee enters the game for K. O'Quinn,,52-52,,
3:09.0,J. Holiday misses 3-pt shot from 25 ft,,52-53,,
3:08.0,,,52-53,,Defensive rebound by J. Okafor
2:55.0,,,52-53,,R. Covington misses 3-pt shot from 26 ft
2:54.0,Defensive rebound by C. Anthony,,52-53,,
2:43.0,L. Thomas misses 3-pt shot from 25 ft,,52-53,,
2:41.0,Offensive rebound by M. Plumlee,,52-53,,
2:40.0,M. Plumlee misses 2-pt shot from 2 ft (block by J. Okafor),,52-53,,
2:38.0,,,52-53,,Defensive rebound by J. Okafor
2:28.0,,,52-55,2,J. Okafor makes 2-pt shot from 1 ft (assist by T. Luwawu-Cabarrot)
2:27.0,New York full timeout,,52-55,,
2:03.0,C. Anthony misses 2-pt shot from 8 ft,,52-55,,
2:00.0,,,52-55,,Defensive rebound by N. Stauskas
1:53.0,,,52-55,,N. Stauskas misses 2-pt shot from 2 ft
1:51.0,,,52-55,,Offensive rebound by J. Okafor
1:47.0,,,52-57,2,T. Luwawu-Cabarrot makes 2-pt shot from 1 ft (assist by J. Okafor)
1:32.0,Offensive foul by C. Anthony,,52-57,,
1:32.0,Turnover by C. Anthony (offensive foul),,52-57,,
1:11.0,,,52-57,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
1:10.0,Defensive rebound by J. Holiday,,52-57,,
0:58.0,Turnover by C. Anthony (lost ball; steal by T. Luwawu-Cabarrot),,52-57,,
0:51.0,,,52-57,,N. Stauskas misses 3-pt shot from 27 ft
0:50.0,,,52-57,,Offensive rebound by R. Covington
0:50.0,,,52-59,2,R. Covington makes 2-pt shot from 1 ft
0:41.0,Shooting foul by J. Okafor (drawn by D. Rose),,52-59,,
0:41.0,D. Rose makes free throw 1 of 2,1,53-59,,
0:41.0,D. Rose misses free throw 2 of 2,,53-59,,
0:39.0,,,53-59,,Defensive rebound by N. Stauskas
0:33.0,,,53-59,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft
0:31.0,,,53-59,,Offensive rebound by J. Okafor
0:31.0,,,53-59,,J. Okafor misses 2-pt shot from 1 ft
0:31.0,,,53-59,,Offensive rebound by J. Okafor
0:31.0,,,53-61,2,J. Okafor makes 2-pt shot from 1 ft
0:21.0,M. Plumlee misses 2-pt shot from 19 ft,,53-61,,
0:19.0,,,53-61,,Defensive rebound by T. Luwawu-Cabarrot
0:14.0,,,53-61,,Shooting foul by J. Holiday (drawn by R. Covington)
0:14.0,,,53-62,1,R. Covington makes free throw 1 of 2
0:14.0,,,53-63,1,R. Covington makes free throw 2 of 2
0:14.0,K. Porzingis enters the game for M. Plumlee,,53-62,,
0:14.0,,,53-62,,J. Anderson enters the game for T. Luwawu-Cabarrot
0:14.0,,,53-62,,R. Holmes enters the game for J. Okafor
0:00.0,C. Anthony misses 3-pt shot from 28 ft,,53-63,,
0:00.0,Offensive rebound by Team,,53-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:46.0,,,53-63,,J. Okafor misses 2-pt shot from 15 ft
11:45.0,Defensive rebound by C. Anthony,,53-63,,
11:23.0,C. Lee makes 3-pt shot from 26 ft (assist by D. Rose),3,56-63,,
11:00.0,,,56-63,,Turnover by R. Covington (lost ball; steal by C. Anthony)
10:53.0,L. Thomas misses 3-pt shot from 24 ft,,56-63,,
10:52.0,,,56-63,,Defensive rebound by R. Covington
10:40.0,,,56-63,,J. Okafor misses 2-pt shot from 3 ft
10:39.0,Defensive rebound by D. Rose,,56-63,,
10:33.0,C. Anthony misses 3-pt shot from 26 ft,,56-63,,
10:32.0,,,56-63,,Defensive rebound by D. Saric
10:26.0,,,56-63,,Shooting foul by C. Anthony
10:26.0,,,56-64,1,T. McConnell makes free throw 1 of 2
10:26.0,,,56-64,,T. McConnell misses free throw 2 of 2
10:25.0,Defensive rebound by K. Porzingis,,56-64,,
10:09.0,L. Thomas misses 2-pt shot from 19 ft,,56-64,,
10:08.0,,,56-64,,Defensive rebound by N. Stauskas
9:47.0,,,56-64,,D. Saric misses 3-pt shot from 24 ft
9:46.0,Defensive rebound by C. Lee,,56-64,,
9:39.0,Shooting foul by D. Saric (drawn by K. Porzingis),,56-64,,
9:39.0,K. Porzingis makes free throw 1 of 2,1,57-64,,
9:39.0,,,57-64,,Technical foul by Team
9:39.0,K. Porzingis makes technical free throw,1,58-64,,
9:39.0,K. Porzingis makes free throw 2 of 2,1,59-64,,
9:39.0,,,57-64,,J. Anderson enters the game for D. Saric
9:24.0,,,59-66,2,T. McConnell makes 2-pt shot from 1 ft (assist by J. Anderson)
9:05.0,K. Porzingis makes 2-pt shot from 14 ft,2,61-66,,
8:47.0,,,61-69,3,J. Anderson makes 3-pt shot from 26 ft
8:32.0,Shooting foul by J. Anderson (drawn by C. Anthony),,61-69,,
8:32.0,C. Anthony makes free throw 1 of 2,1,62-69,,
8:32.0,C. Anthony makes free throw 2 of 2,1,63-69,,
8:22.0,,,63-69,,Turnover by R. Covington (bad pass; steal by D. Rose)
8:13.0,L. Thomas misses 2-pt shot from 2 ft (block by R. Covington),,63-69,,
8:13.0,Offensive rebound by Team,,63-69,,
8:11.0,C. Lee misses 2-pt shot from 17 ft,,63-69,,
8:10.0,,,63-69,,Defensive rebound by J. Okafor
8:04.0,,,63-69,,T. McConnell misses 2-pt shot from 8 ft
8:01.0,Defensive rebound by D. Rose,,63-69,,
7:58.0,D. Rose misses 2-pt shot from 3 ft (block by R. Covington),,63-69,,
7:55.0,,,63-69,,Defensive rebound by J. Okafor
7:44.0,,,63-72,3,J. Anderson makes 3-pt shot from 28 ft (assist by R. Covington)
7:26.0,C. Anthony misses 2-pt shot from 2 ft,,63-72,,
7:25.0,,,63-72,,Defensive rebound by N. Stauskas
7:17.0,,,63-72,,Turnover by T. McConnell (bad pass; steal by K. Porzingis)
7:13.0,Shooting foul by J. Okafor (drawn by C. Anthony),,63-72,,
7:13.0,,,63-72,,Technical foul by J. Anderson
7:13.0,Technical foul by C. Anthony,,63-72,,
7:13.0,C. Anthony makes free throw 1 of 2,1,64-72,,
7:13.0,C. Anthony makes free throw 2 of 2,1,65-72,,
7:13.0,,,64-72,,R. Holmes enters the game for J. Okafor
7:13.0,,,64-72,,T. Luwawu-Cabarrot enters the game for N. Stauskas
7:00.0,,,65-72,,Philadelphia full timeout
6:52.0,,,65-72,,R. Covington misses 3-pt shot from 27 ft
6:50.0,Defensive rebound by L. Thomas,,65-72,,
6:28.0,C. Anthony misses 2-pt shot from 12 ft,,65-72,,
6:27.0,,,65-72,,Defensive rebound by R. Holmes
6:19.0,,,65-72,,T. McConnell misses 2-pt shot from 17 ft
6:18.0,Defensive rebound by K. Porzingis,,65-72,,
6:12.0,C. Lee misses 2-pt shot from 4 ft (block by R. Covington),,65-72,,
6:10.0,Offensive rebound by D. Rose,,65-72,,
6:10.0,Shooting foul by T. Luwawu-Cabarrot (drawn by D. Rose),,65-72,,
6:10.0,D. Rose makes free throw 1 of 2,1,66-72,,
6:10.0,D. Rose makes free throw 2 of 2,1,67-72,,
5:59.0,,,67-74,2,J. Anderson makes 2-pt shot from 2 ft (assist by T. McConnell)
5:42.0,C. Lee makes 3-pt shot from 25 ft (assist by K. Porzingis),3,70-74,,
5:24.0,,,70-74,,R. Covington misses 2-pt shot from 1 ft
5:20.0,,,70-74,,Offensive rebound by J. Anderson
5:20.0,,,70-74,,J. Anderson misses 2-pt shot at rim
5:19.0,Defensive rebound by C. Lee,,70-74,,
5:14.0,K. Porzingis misses 3-pt shot from 25 ft,,70-74,,
5:12.0,,,70-74,,Defensive rebound by J. Anderson
4:47.0,,,70-74,,J. Anderson misses 3-pt shot from 25 ft
4:46.0,,,70-74,,Offensive rebound by Team
4:46.0,,,70-74,,Turnover by Team (shot clock)
4:46.0,,,70-74,,J. Harper enters the game for J. Anderson
4:32.0,K. Porzingis makes 2-pt shot from 12 ft,2,72-74,,
4:24.0,J. Holiday enters the game for L. Thomas,,72-74,,
4:11.0,,,72-74,,Turnover by R. Covington (lost ball; steal by C. Anthony)
4:06.0,,,72-74,,Personal foul by R. Covington (drawn by D. Rose)
4:06.0,D. Rose makes free throw 1 of 2,1,73-74,,
4:06.0,D. Rose makes free throw 2 of 2,1,74-74,,
3:43.0,,,74-74,,Turnover by T. Luwawu-Cabarrot (lost ball; steal by C. Anthony)
3:23.0,Turnover by C. Lee (bad pass; steal by R. Covington),,74-74,,
3:18.0,,,74-74,,T. McConnell misses 2-pt shot from 2 ft
3:17.0,Defensive rebound by K. Porzingis,,74-74,,
3:07.0,D. Rose makes 2-pt shot from 1 ft,2,76-74,,
2:49.0,,,76-76,2,T. McConnell makes 2-pt shot from 13 ft
2:29.0,C. Anthony makes 3-pt shot from 24 ft (assist by C. Lee),3,79-76,,
2:11.0,,,79-76,,J. Harper misses 3-pt shot from 27 ft
2:04.0,Defensive rebound by D. Rose,,79-76,,
2:02.0,D. Rose makes 2-pt shot from 4 ft,2,81-76,,
1:43.0,,,81-79,3,R. Covington makes 3-pt shot from 25 ft
1:42.0,New York full timeout,,81-79,,
1:42.0,L. Thomas enters the game for K. Porzingis,,81-79,,
1:42.0,K. O'Quinn enters the game for C. Anthony,,81-79,,
1:42.0,,,81-79,,S. Rodriguez enters the game for T. McConnell
1:42.0,,,81-79,,J. Anderson enters the game for R. Covington
1:23.0,D. Rose misses 2-pt shot from 16 ft,,81-79,,
1:20.0,,,81-79,,Defensive rebound by J. Harper
1:06.0,,,81-79,,S. Rodriguez misses 2-pt shot from 20 ft
1:04.0,,,81-79,,Offensive rebound by T. Luwawu-Cabarrot
1:00.0,,,81-79,,T. Luwawu-Cabarrot misses 2-pt shot from 17 ft
0:59.0,Defensive rebound by L. Thomas,,81-79,,
0:38.0,K. O'Quinn misses 2-pt shot from 18 ft,,81-79,,
0:37.0,Offensive rebound by K. O'Quinn,,81-79,,
0:34.0,Offensive foul by K. O'Quinn,,81-79,,
0:34.0,Turnover by K. O'Quinn (offensive foul),,81-79,,
0:26.0,,,81-79,,Turnover by J. Harper (bad pass)
0:06.0,D. Rose misses 2-pt shot from 1 ft,,81-79,,
0:03.0,Offensive rebound by K. O'Quinn,,81-79,,
0:02.0,K. O'Quinn misses 2-pt shot from 3 ft (block by R. Holmes),,81-79,,
0:02.0,Offensive rebound by Team,,81-79,,
0:01.0,Turnover by Team (shot clock),,81-79,,
0:00.0,,,81-79,,J. Anderson misses 3-pt shot from 30 ft
0:00.0,,,81-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,C. Lee misses 3-pt shot from 29 ft,,81-79,,
11:44.0,,,81-79,,Defensive rebound by R. Holmes
11:16.0,,,81-82,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by S. Rodriguez)
11:05.0,Turnover by Team (back court),,81-82,,
11:05.0,,,81-82,,J. Okafor enters the game for R. Holmes
11:05.0,K. Porzingis enters the game for J. Holiday,,81-82,,
10:48.0,,,81-82,,S. Rodriguez misses 3-pt shot from 27 ft
10:45.0,,,81-82,,Offensive rebound by T. Luwawu-Cabarrot
10:45.0,,,81-84,2,T. Luwawu-Cabarrot makes 2-pt shot from 2 ft
10:26.0,L. Thomas misses 2-pt shot from 1 ft,,81-84,,
10:25.0,,,81-84,,Defensive rebound by D. Saric
10:18.0,,,81-84,,Offensive foul by J. Okafor
10:18.0,,,81-84,,Turnover by J. Okafor (offensive foul)
10:00.0,Shooting foul by J. Okafor (drawn by K. O'Quinn),,81-84,,
10:00.0,K. O'Quinn misses free throw 1 of 2,,81-84,,
10:00.0,Offensive rebound by Team,,81-84,,
10:00.0,K. O'Quinn makes free throw 2 of 2,1,82-84,,
9:50.0,,,82-84,,Turnover by S. Rodriguez (bad pass; steal by R. Baker)
9:46.0,K. Porzingis makes 2-pt shot at rim (assist by R. Baker),2,84-84,,
9:41.0,,,84-84,,Philadelphia full timeout
9:29.0,,,84-84,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft
9:27.0,Defensive rebound by R. Baker,,84-84,,
9:14.0,K. Porzingis misses 2-pt shot from 13 ft,,84-84,,
9:13.0,,,84-84,,Defensive rebound by T. Luwawu-Cabarrot
9:06.0,,,84-84,,D. Saric misses 2-pt shot from 17 ft
9:05.0,Defensive rebound by L. Thomas,,84-84,,
8:49.0,C. Lee misses 3-pt shot from 26 ft,,84-84,,
8:48.0,,,84-84,,Defensive rebound by T. Luwawu-Cabarrot
8:42.0,,,84-84,,Shooting foul by K. O'Quinn (drawn by D. Saric)
8:42.0,,,84-85,1,D. Saric makes free throw 1 of 2
8:42.0,,,84-86,1,D. Saric makes free throw 2 of 2
8:18.0,C. Lee misses 3-pt shot from 26 ft,,84-86,,
8:16.0,,,84-86,,Defensive rebound by D. Saric
7:59.0,,,84-86,,S. Rodriguez misses 3-pt shot from 24 ft
7:57.0,,,84-86,,Offensive rebound by Team
7:57.0,C. Anthony enters the game for K. O'Quinn,,84-86,,
7:57.0,,,84-86,,J. Anderson enters the game for N. Stauskas
7:48.0,,,84-86,,Shooting foul by R. Baker (drawn by S. Rodriguez)
7:48.0,,,84-86,,S. Rodriguez misses free throw 1 of 2
7:48.0,,,84-86,,Offensive rebound by Team
7:48.0,,,84-87,1,S. Rodriguez makes free throw 2 of 2
7:48.0,D. Rose enters the game for C. Lee,,84-86,,
7:38.0,,,84-87,,Personal foul by J. Anderson (drawn by C. Anthony)
7:38.0,,,84-87,,T. McConnell enters the game for S. Rodriguez
7:29.0,K. Porzingis misses 2-pt shot at rim,,84-87,,
7:27.0,,,84-87,,Defensive rebound by T. Luwawu-Cabarrot
7:22.0,,,84-90,3,D. Saric makes 3-pt shot from 27 ft (assist by T. McConnell)
7:11.0,Shooting foul by J. Okafor (drawn by L. Thomas),,84-90,,
7:11.0,L. Thomas makes free throw 1 of 2,1,85-90,,
7:11.0,L. Thomas makes free throw 2 of 2,1,86-90,,
7:02.0,,,86-90,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft
7:00.0,Defensive rebound by K. Porzingis,,86-90,,
6:56.0,Turnover by D. Rose (bad pass; steal by T. McConnell),,86-90,,
6:34.0,,,86-90,,J. Anderson misses 3-pt shot from 26 ft
6:33.0,Defensive rebound by K. Porzingis,,86-90,,
6:20.0,C. Anthony makes 3-pt shot from 26 ft,3,89-90,,
6:05.0,,,89-90,,J. Okafor misses 2-pt shot from 1 ft
6:03.0,Defensive rebound by C. Anthony,,89-90,,
5:54.0,R. Baker misses 3-pt shot from 23 ft,,89-90,,
5:53.0,,,89-90,,Defensive rebound by D. Saric
