time,Golden State,pts.away,score,pts.home,New Orleans
8:49.0,K. Durant makes free throw 1 of 1,1,38-29,,
8:49.0,P. McCaw enters the game for A. Iguodala,,37-29,,
8:49.0,Z. Pachulia enters the game for D. West,,37-29,,
8:26.0,,,38-29,,T. Jones misses 2-pt shot from 2 ft
8:25.0,Defensive rebound by K. Durant,,38-29,,
8:20.0,P. McCaw makes 3-pt shot from 23 ft (assist by K. Durant),3,41-29,,
8:03.0,,,41-31,2,B. Hield makes 2-pt shot from 18 ft (assist by T. Jones)
7:39.0,Z. Pachulia misses 2-pt shot from 6 ft,,41-31,,
7:37.0,,,41-31,,Defensive rebound by L. Stephenson
7:34.0,,,41-31,,Shooting foul by K. Durant (drawn by L. Stephenson)
7:34.0,,,41-32,1,L. Stephenson makes free throw 1 of 2
7:34.0,,,41-32,,L. Stephenson misses free throw 2 of 2
7:34.0,D. Green enters the game for K. Durant,,41-32,,
7:34.0,S. Curry enters the game for K. Thompson,,41-32,,
7:34.0,,,41-32,,A. Davis enters the game for B. Hield
7:34.0,,,41-32,,E. Moore enters the game for T. Jones
7:32.0,Defensive rebound by Z. Pachulia,,41-32,,
7:18.0,Z. Pachulia makes 2-pt shot from 4 ft (assist by P. McCaw),2,43-32,,
7:01.0,,,43-34,2,D. Cunningham makes 2-pt shot from 3 ft (assist by E. Moore)
6:59.0,Golden State full timeout,,43-34,,
6:48.0,,,43-34,,Personal foul by E. Moore (drawn by D. Green)
6:36.0,S. Curry makes 3-pt shot from 26 ft (assist by D. Green),3,46-34,,
6:27.0,,,46-34,,L. Galloway misses 3-pt shot from 25 ft
6:26.0,Defensive rebound by Z. Pachulia,,46-34,,
6:16.0,Z. Pachulia misses 2-pt shot from 2 ft,,46-34,,
6:15.0,,,46-34,,Defensive rebound by A. Davis
6:06.0,,,46-37,3,D. Cunningham makes 3-pt shot from 25 ft (assist by A. Davis)
5:52.0,D. Green misses 2-pt shot from 4 ft,,46-37,,
5:51.0,Offensive rebound by D. Green,,46-37,,
5:51.0,D. Green misses 2-pt shot from 1 ft,,46-37,,
5:51.0,Offensive rebound by D. Green,,46-37,,
5:47.0,D. Green makes 2-pt shot from 2 ft,2,48-37,,
5:38.0,,,48-39,2,A. Davis makes 2-pt shot from 15 ft (assist by L. Stephenson)
5:25.0,Turnover by Z. Pachulia (bad pass; steal by E. Moore),,48-39,,
5:15.0,,,48-41,2,A. Davis makes 2-pt shot from 3 ft
5:15.0,,,48-41,,Shooting foul by Z. Pachulia (drawn by A. Davis)
5:15.0,Official timeout,,48-41,,
5:15.0,,,48-42,1,A. Davis makes free throw 1 of 1
5:15.0,K. Durant enters the game for P. McCaw,,48-41,,
5:15.0,A. Iguodala enters the game for S. Livingston,,48-41,,
4:56.0,D. Green misses 2-pt shot from 2 ft,,48-42,,
4:56.0,,,48-42,,Defensive rebound by A. Davis
4:53.0,,,48-42,,L. Stephenson misses 2-pt shot from 2 ft
4:53.0,,,48-42,,Offensive rebound by L. Stephenson
4:53.0,,,48-42,,L. Galloway misses 2-pt shot from 2 ft
4:52.0,,,48-42,,Offensive rebound by A. Davis
4:50.0,,,48-42,,A. Davis misses 2-pt shot from 3 ft
4:49.0,Defensive rebound by Z. Pachulia,,48-42,,
4:38.0,K. Durant misses 2-pt shot from 19 ft,,48-42,,
4:34.0,,,48-42,,Defensive rebound by L. Stephenson
4:25.0,,,48-42,,L. Galloway misses 3-pt shot from 23 ft
4:24.0,,,48-42,,Offensive rebound by Team
