time,Chicago,pts.away,score,pts.home,Minnesota
8:37.0,,,4-10,,R. Rubio misses 2-pt shot from 19 ft
8:36.0,Defensive rebound by M. Carter-Williams,,4-10,,
8:30.0,Shooting foul by A. Wiggins (drawn by M. Carter-Williams),,4-10,,
8:30.0,M. Carter-Williams misses free throw 1 of 2,,4-10,,
8:30.0,Offensive rebound by Team,,4-10,,
8:30.0,M. Carter-Williams makes free throw 2 of 2,1,5-10,,
8:20.0,,,5-12,2,G. Dieng makes 2-pt shot from 1 ft (assist by B. Rush)
8:08.0,R. Lopez misses 2-pt shot from 4 ft,,5-12,,
8:07.0,Offensive rebound by R. Lopez,,5-12,,
8:06.0,R. Lopez misses 2-pt shot from 2 ft,,5-12,,
8:05.0,,,5-12,,Defensive rebound by G. Dieng
7:57.0,,,5-14,2,B. Rush makes 2-pt shot from 21 ft
7:56.0,Chicago full timeout,,5-14,,
7:37.0,M. Carter-Williams misses 2-pt shot from 1 ft,,5-14,,
7:35.0,,,5-14,,Defensive rebound by A. Wiggins
7:30.0,,,5-14,,Shooting foul by J. Grant (drawn by B. Rush)
7:30.0,,,5-15,1,B. Rush makes free throw 1 of 2
7:30.0,,,5-15,,B. Rush misses free throw 2 of 2
7:30.0,Defensive rebound by T. Gibson,,5-15,,
7:12.0,Turnover by M. Carter-Williams (bad pass),,5-15,,
7:00.0,,,5-17,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
6:45.0,Turnover by D. McDermott (lost ball; steal by B. Rush),,5-17,,
6:42.0,,,5-19,2,R. Rubio makes 2-pt shot from 1 ft
6:41.0,Chicago full timeout,,5-19,,
6:41.0,R. Rondo enters the game for J. Grant,,5-19,,
6:22.0,R. Rondo makes 2-pt shot from 5 ft (assist by D. McDermott),2,7-19,,
6:03.0,,,7-19,,B. Rush misses 3-pt shot from 23 ft
6:02.0,,,7-19,,Offensive rebound by B. Rush
5:58.0,,,7-19,,Shooting foul by T. Gibson (drawn by R. Rubio)
5:58.0,,,7-20,1,R. Rubio makes free throw 1 of 2
5:58.0,,,7-21,1,R. Rubio makes free throw 2 of 2
5:44.0,R. Lopez makes 2-pt shot from 20 ft (assist by M. Carter-Williams),2,9-21,,
5:23.0,,,9-23,2,K. Towns makes 2-pt shot from 21 ft (assist by A. Wiggins)
5:06.0,Turnover by M. Carter-Williams (bad pass; steal by A. Wiggins),,9-23,,
4:53.0,,,9-23,,A. Wiggins misses 2-pt shot from 20 ft
4:52.0,Defensive rebound by Team,,9-23,,
4:52.0,B. Portis enters the game for T. Gibson,,9-23,,
4:52.0,D. Valentine enters the game for M. Carter-Williams,,9-23,,
4:38.0,B. Portis makes 3-pt shot from 23 ft (assist by R. Rondo),3,12-23,,
4:22.0,,,12-25,2,G. Dieng makes 2-pt shot from 3 ft (assist by R. Rubio)
4:04.0,R. Rondo misses 3-pt shot from 24 ft,,12-25,,
4:03.0,,,12-25,,Defensive rebound by G. Dieng
3:52.0,,,12-25,,K. Towns misses 2-pt shot from 1 ft
3:52.0,Defensive rebound by B. Portis,,12-25,,
3:47.0,Turnover by R. Rondo (lost ball; steal by R. Rubio),,12-25,,
3:41.0,,,12-27,2,A. Wiggins makes 2-pt shot from 15 ft (assist by R. Rubio)
3:21.0,R. Rondo misses 3-pt shot from 24 ft,,12-27,,
3:20.0,,,12-27,,Defensive rebound by K. Towns
3:06.0,,,12-29,2,K. Towns makes 2-pt shot from 2 ft (assist by A. Wiggins)
2:47.0,R. Lopez misses 2-pt shot at rim,,12-29,,
2:46.0,,,12-29,,Defensive rebound by K. Towns
2:40.0,,,12-31,2,A. Wiggins makes 2-pt shot at rim (assist by R. Rubio)
2:40.0,Chicago full timeout,,12-31,,
2:40.0,I. Canaan enters the game for D. McDermott,,12-31,,
2:40.0,C. Felicio enters the game for R. Lopez,,12-31,,
2:40.0,,,12-31,,K. Dunn enters the game for R. Rubio
2:26.0,I. Canaan makes 3-pt shot from 24 ft (assist by R. Rondo),3,15-31,,
2:16.0,,,15-31,,Turnover by K. Dunn (lost ball; steal by I. Canaan)
2:11.0,R. Rondo makes 2-pt shot from 1 ft (assist by I. Canaan),2,17-31,,
1:44.0,,,17-31,,B. Rush misses 3-pt shot from 26 ft
1:43.0,Defensive rebound by D. Valentine,,17-31,,
1:36.0,I. Canaan misses 3-pt shot from 25 ft,,17-31,,
1:35.0,,,17-31,,Defensive rebound by K. Towns
1:17.0,,,17-31,,Turnover by B. Rush (step out of bounds)
1:06.0,Turnover by R. Rondo (bad pass; steal by A. Wiggins),,17-31,,
1:03.0,,,17-33,2,A. Wiggins makes 2-pt shot from 4 ft
1:03.0,,,17-33,,Shooting foul by D. Valentine (drawn by A. Wiggins)
1:03.0,,,17-34,1,A. Wiggins makes free throw 1 of 1
1:03.0,,,17-33,,S. Muhammad enters the game for B. Rush
0:56.0,B. Portis misses 2-pt shot from 17 ft,,17-34,,
0:55.0,,,17-34,,Defensive rebound by G. Dieng
0:31.0,,,17-34,,A. Wiggins misses 3-pt shot from 25 ft
0:30.0,,,17-34,,Offensive rebound by G. Dieng
0:29.0,,,17-34,,G. Dieng misses 2-pt shot from 14 ft
0:27.0,Defensive rebound by C. Felicio,,17-34,,
0:03.0,R. Rondo misses 2-pt shot from 4 ft,,17-34,,
0:02.0,,,17-34,,Defensive rebound by G. Dieng
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:37.0,,,17-34,,K. Dunn misses 2-pt shot from 18 ft
11:35.0,,,17-34,,Offensive rebound by N. Bjelica
11:33.0,,,17-34,,Shooting foul by B. Portis (drawn by S. Muhammad)
11:33.0,,,17-34,,S. Muhammad misses free throw 1 of 2
11:33.0,,,17-34,,Offensive rebound by Team
11:33.0,,,17-35,1,S. Muhammad makes free throw 2 of 2
11:21.0,B. Portis misses 3-pt shot from 24 ft,,17-35,,
11:20.0,,,17-35,,Defensive rebound by K. Dunn
11:03.0,,,17-37,2,S. Muhammad makes 2-pt shot from 12 ft (assist by N. Bjelica)
10:48.0,Turnover by R. Rondo (bad pass; steal by N. Bjelica),,17-37,,
10:28.0,,,17-39,2,C. Aldrich makes 2-pt shot at rim (assist by L. Stephenson)
10:10.0,Shooting foul by N. Bjelica (drawn by B. Portis),,17-39,,
10:10.0,B. Portis makes free throw 1 of 2,1,18-39,,
10:10.0,B. Portis makes free throw 2 of 2,1,19-39,,
9:52.0,,,19-41,2,S. Muhammad makes 2-pt shot from 13 ft (assist by K. Dunn)
9:36.0,R. Rondo misses 3-pt shot from 24 ft,,19-41,,
9:35.0,,,19-41,,Defensive rebound by Team
9:17.0,,,19-43,2,N. Bjelica makes 2-pt shot from 6 ft
9:02.0,C. Felicio misses 2-pt shot from 18 ft,,19-43,,
9:01.0,,,19-43,,Defensive rebound by C. Aldrich
8:55.0,,,19-45,2,S. Muhammad makes 2-pt shot from 5 ft (assist by C. Aldrich)
8:55.0,Chicago full timeout,,19-45,,
8:43.0,C. Felicio makes 2-pt shot at rim (assist by R. Rondo),2,21-45,,
8:27.0,,,21-45,,N. Bjelica misses 3-pt shot from 25 ft
8:26.0,,,21-45,,Offensive rebound by Team
8:26.0,Loose ball foul by C. Felicio (drawn by C. Aldrich),,21-45,,
8:20.0,,,21-45,,Turnover by K. Dunn (bad pass; steal by D. Valentine)
8:08.0,I. Canaan misses 2-pt shot from 20 ft,,21-45,,
8:07.0,,,21-45,,Defensive rebound by N. Bjelica
7:59.0,,,21-45,,Offensive foul by S. Muhammad
7:59.0,,,21-45,,Turnover by S. Muhammad (offensive foul)
7:50.0,,,21-45,,Personal foul by S. Muhammad (drawn by C. Felicio)
7:39.0,C. Felicio misses 2-pt shot from 18 ft,,21-45,,
7:38.0,,,21-45,,Defensive rebound by N. Bjelica
7:20.0,,,21-45,,L. Stephenson misses 2-pt shot from 19 ft
7:19.0,Defensive rebound by C. Felicio,,21-45,,
7:03.0,B. Portis makes 2-pt shot from 1 ft (assist by R. Rondo),2,23-45,,
6:47.0,,,23-45,,L. Stephenson misses 2-pt shot from 1 ft
6:46.0,,,23-45,,Offensive rebound by C. Aldrich
6:43.0,,,23-45,,Turnover by K. Dunn (lost ball; steal by R. Rondo)
6:39.0,Turnover by D. Valentine (bad pass; steal by N. Bjelica),,23-45,,
6:32.0,,,23-45,,K. Dunn misses 3-pt shot from 24 ft
6:31.0,Defensive rebound by C. Felicio,,23-45,,
6:15.0,B. Portis misses 2-pt shot from 10 ft,,23-45,,
6:14.0,Offensive rebound by B. Portis,,23-45,,
6:11.0,B. Portis makes 2-pt shot from 13 ft,2,25-45,,
6:11.0,,,25-45,,Minnesota full timeout
6:11.0,,,25-45,,R. Rubio enters the game for K. Dunn
6:11.0,,,25-45,,G. Dieng enters the game for N. Bjelica
6:11.0,,,25-45,,K. Towns enters the game for C. Aldrich
6:11.0,J. Grant enters the game for I. Canaan,,25-45,,
6:11.0,R. Lopez enters the game for C. Felicio,,25-45,,
6:11.0,D. McDermott enters the game for D. Valentine,,25-45,,
6:09.0,T. Gibson enters the game for B. Portis,,25-45,,
5:51.0,,,25-45,,K. Towns misses 3-pt shot from 25 ft
5:49.0,,,25-45,,Offensive rebound by S. Muhammad
5:33.0,,,25-47,2,K. Towns makes 2-pt shot from 3 ft
5:15.0,D. McDermott misses 2-pt shot from 21 ft,,25-47,,
5:14.0,,,25-47,,Defensive rebound by G. Dieng
5:03.0,,,25-47,,G. Dieng misses 2-pt shot from 5 ft
5:02.0,Defensive rebound by R. Rondo,,25-47,,
4:52.0,Turnover by T. Gibson (lost ball; steal by R. Rubio),,25-47,,
4:41.0,,,25-49,2,K. Towns makes 2-pt shot from 7 ft (assist by R. Rubio)
4:20.0,Turnover by T. Gibson (lost ball; steal by G. Dieng),,25-49,,
4:19.0,Personal foul by T. Gibson (drawn by G. Dieng),,25-49,,
4:19.0,B. Portis enters the game for T. Gibson,,25-49,,
4:19.0,,,25-49,,B. Rush enters the game for S. Muhammad
4:19.0,,,25-49,,A. Wiggins enters the game for L. Stephenson
4:11.0,,,25-49,,Offensive foul by K. Towns
4:11.0,,,25-49,,Turnover by K. Towns (offensive foul)
3:59.0,R. Lopez misses 2-pt shot from 16 ft,,25-49,,
3:58.0,,,25-49,,Defensive rebound by K. Towns
3:46.0,Personal foul by R. Rondo (drawn by K. Towns),,25-49,,
3:46.0,M. Carter-Williams enters the game for R. Rondo,,25-49,,
3:34.0,,,25-49,,B. Rush misses 3-pt shot from 26 ft
3:33.0,,,25-49,,Offensive rebound by G. Dieng
3:31.0,,,25-51,2,G. Dieng makes 2-pt shot from 2 ft
3:13.0,J. Grant makes 2-pt shot from 5 ft,2,27-51,,
2:54.0,,,27-51,,Shooting foul by R. Lopez (drawn by K. Towns)
2:54.0,,,27-51,,Minnesota full timeout
2:54.0,,,27-52,1,K. Towns makes free throw 1 of 2
2:54.0,,,27-53,1,K. Towns makes free throw 2 of 2
2:38.0,R. Lopez makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,29-53,,
2:38.0,Shooting foul by G. Dieng (drawn by R. Lopez),,29-53,,
2:38.0,R. Lopez misses free throw 1 of 1,,29-53,,
2:38.0,,,29-53,,Defensive rebound by G. Dieng
2:30.0,,,29-55,2,A. Wiggins makes 2-pt shot from 14 ft
2:16.0,D. McDermott makes 2-pt shot from 3 ft (assist by M. Carter-Williams),2,31-55,,
1:58.0,,,31-55,,R. Rubio misses 3-pt shot from 24 ft
1:57.0,Defensive rebound by M. Carter-Williams,,31-55,,
1:48.0,D. McDermott makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,34-55,,
1:23.0,,,34-57,2,K. Towns makes 2-pt shot from 14 ft
1:04.0,M. Carter-Williams makes 2-pt shot from 4 ft,2,36-57,,
1:04.0,Shooting foul by G. Dieng (drawn by M. Carter-Williams),,36-57,,
1:04.0,M. Carter-Williams makes free throw 1 of 1,1,37-57,,
1:04.0,C. Felicio enters the game for R. Lopez,,36-57,,
1:00.0,,,37-57,,Turnover by R. Rubio (bad pass)
0:50.0,J. Grant makes 3-pt shot from 23 ft (assist by M. Carter-Williams),3,40-57,,
0:37.0,,,40-57,,K. Towns misses 3-pt shot from 25 ft
0:36.0,,,40-57,,Offensive rebound by G. Dieng
0:16.0,,,40-57,,Minnesota full timeout
0:13.0,,,40-57,,A. Wiggins misses 2-pt shot from 3 ft (block by J. Grant)
0:12.0,,,40-57,,Offensive rebound by Team
0:11.0,,,40-57,,Turnover by Team (shot clock)
0:00.0,D. McDermott misses 2-pt shot from 20 ft,,40-57,,
0:00.0,Offensive rebound by Team,,40-57,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,40-57,,B. Rush misses 3-pt shot from 24 ft
11:40.0,,,40-57,,Offensive rebound by K. Towns
11:32.0,,,40-57,,A. Wiggins misses 2-pt shot from 20 ft
11:32.0,Defensive rebound by J. Grant,,40-57,,
11:11.0,T. Gibson misses 2-pt shot from 15 ft,,40-57,,
11:10.0,,,40-57,,Defensive rebound by R. Rubio
10:51.0,,,40-57,,Turnover by R. Rubio (bad pass)
10:42.0,,,40-57,,Personal foul by B. Rush (drawn by M. Carter-Williams)
10:33.0,M. Carter-Williams misses 2-pt shot from 7 ft,,40-57,,
10:32.0,,,40-57,,Defensive rebound by G. Dieng
10:25.0,,,40-57,,Shooting foul by M. Carter-Williams (drawn by A. Wiggins)
10:25.0,,,40-58,1,A. Wiggins makes free throw 1 of 2
10:25.0,,,40-59,1,A. Wiggins makes free throw 2 of 2
10:05.0,Turnover by M. Carter-Williams (bad pass),,40-59,,
9:56.0,,,40-61,2,K. Towns makes 2-pt shot from 9 ft (assist by A. Wiggins)
9:35.0,T. Gibson misses 2-pt shot from 1 ft,,40-61,,
9:34.0,,,40-61,,Defensive rebound by K. Towns
9:24.0,,,40-61,,G. Dieng misses 2-pt shot from 21 ft
9:23.0,Defensive rebound by T. Gibson,,40-61,,
9:18.0,Shooting foul by A. Wiggins (drawn by M. Carter-Williams),,40-61,,
9:18.0,M. Carter-Williams makes free throw 1 of 2,1,41-61,,
9:18.0,M. Carter-Williams misses free throw 2 of 2,,41-61,,
9:18.0,,,41-61,,Defensive rebound by R. Rubio
9:10.0,,,41-63,2,G. Dieng makes 2-pt shot at rim (assist by K. Towns)
8:50.0,D. McDermott misses 2-pt shot from 8 ft,,41-63,,
8:50.0,Offensive rebound by Team,,41-63,,
8:48.0,D. McDermott misses 2-pt shot from 16 ft (block by B. Rush),,41-63,,
8:47.0,,,41-63,,Defensive rebound by B. Rush
8:30.0,,,41-63,,A. Wiggins misses 3-pt shot from 24 ft
8:29.0,Defensive rebound by T. Gibson,,41-63,,
8:21.0,M. Carter-Williams misses 2-pt shot from 6 ft (block by G. Dieng),,41-63,,
8:20.0,,,41-63,,Defensive rebound by R. Rubio
8:16.0,,,41-63,,Shooting foul by J. Grant (drawn by R. Rubio)
8:16.0,,,41-65,2,R. Rubio makes 2-pt shot from 6 ft
8:16.0,,,41-66,1,R. Rubio makes free throw 1 of 1
8:02.0,R. Lopez makes 2-pt shot from 20 ft (assist by J. Grant),2,43-66,,
7:45.0,,,43-66,,Turnover by G. Dieng (traveling)
7:33.0,J. Grant misses 2-pt shot from 6 ft,,43-66,,
7:32.0,Offensive rebound by T. Gibson,,43-66,,
7:27.0,D. McDermott makes 3-pt shot from 25 ft (assist by T. Gibson),3,46-66,,
7:08.0,,,46-66,,A. Wiggins misses 2-pt shot from 5 ft
7:07.0,Defensive rebound by R. Lopez,,46-66,,
7:01.0,M. Carter-Williams misses 2-pt shot from 6 ft,,46-66,,
6:59.0,Offensive rebound by T. Gibson,,46-66,,
6:58.0,T. Gibson makes 2-pt shot at rim,2,48-66,,
6:58.0,,,48-66,,Minnesota full timeout
6:44.0,,,48-66,,A. Wiggins misses 2-pt shot from 1 ft (block by R. Lopez)
6:43.0,Defensive rebound by M. Carter-Williams,,48-66,,
6:30.0,,,48-66,,Personal foul by B. Rush (drawn by D. McDermott)
6:25.0,D. McDermott makes 3-pt shot from 26 ft (assist by R. Lopez),3,51-66,,
6:08.0,,,51-68,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
5:51.0,Turnover by M. Carter-Williams (bad pass),,51-68,,
5:40.0,,,51-70,2,K. Towns makes 2-pt shot at rim (assist by R. Rubio)
5:11.0,R. Lopez misses 2-pt shot from 9 ft,,51-70,,
5:10.0,Offensive rebound by R. Lopez,,51-70,,
5:07.0,J. Grant makes 3-pt shot from 25 ft (assist by R. Lopez),3,54-70,,
4:48.0,,,54-73,3,A. Wiggins makes 3-pt shot from 23 ft (assist by R. Rubio)
4:35.0,Turnover by R. Lopez (lost ball; steal by G. Dieng),,54-73,,
4:30.0,,,54-73,,Turnover by A. Wiggins (lost ball; steal by M. Carter-Williams)
4:25.0,D. McDermott makes 3-pt shot from 24 ft (assist by M. Carter-Williams),3,57-73,,
3:59.0,,,57-73,,R. Rubio misses 3-pt shot from 23 ft
3:58.0,Defensive rebound by M. Carter-Williams,,57-73,,
3:53.0,Offensive foul by M. Carter-Williams,,57-73,,
3:53.0,Turnover by M. Carter-Williams (offensive foul),,57-73,,
3:35.0,,,57-73,,Shooting foul by R. Lopez (drawn by B. Rush)
3:35.0,,,57-74,1,B. Rush makes free throw 1 of 2
3:35.0,,,57-75,1,B. Rush makes free throw 2 of 2
3:35.0,B. Portis enters the game for T. Gibson,,57-74,,
3:35.0,R. Rondo enters the game for J. Grant,,57-74,,
3:22.0,D. McDermott makes 2-pt shot from 6 ft,2,59-75,,
2:59.0,,,59-75,,A. Wiggins misses 3-pt shot from 25 ft
2:58.0,Defensive rebound by R. Rondo,,59-75,,
2:51.0,M. Carter-Williams makes 3-pt shot from 24 ft (assist by R. Rondo),3,62-75,,
2:29.0,,,62-75,,Shooting foul by R. Rondo (drawn by R. Rubio)
2:29.0,Chicago full timeout,,62-75,,
2:29.0,,,62-76,1,R. Rubio makes free throw 1 of 2
2:29.0,,,62-77,1,R. Rubio makes free throw 2 of 2
2:29.0,C. Felicio enters the game for R. Lopez,,62-75,,
2:29.0,,,62-75,,S. Muhammad enters the game for B. Rush
2:16.0,D. McDermott misses 3-pt shot from 24 ft,,62-77,,
2:15.0,,,62-77,,Defensive rebound by G. Dieng
2:02.0,Personal foul by C. Felicio (drawn by K. Towns),,62-77,,
2:02.0,,,62-78,1,K. Towns makes free throw 1 of 2
2:02.0,,,62-79,1,K. Towns makes free throw 2 of 2
1:52.0,Shooting foul by G. Dieng (drawn by C. Felicio),,62-79,,
1:52.0,C. Felicio misses free throw 1 of 2,,62-79,,
1:52.0,Offensive rebound by Team,,62-79,,
1:52.0,C. Felicio makes free throw 2 of 2,1,63-79,,
1:39.0,,,63-82,3,R. Rubio makes 3-pt shot from 25 ft (assist by K. Towns)
1:18.0,M. Carter-Williams misses 2-pt shot at rim,,63-82,,
1:17.0,,,63-82,,Defensive rebound by G. Dieng
1:09.0,,,63-82,,S. Muhammad misses 3-pt shot from 23 ft
1:08.0,Defensive rebound by M. Carter-Williams,,63-82,,
1:02.0,Turnover by M. Carter-Williams (bad pass),,63-82,,
1:02.0,,,63-82,,N. Bjelica enters the game for K. Towns
0:48.0,,,63-82,,N. Bjelica misses 3-pt shot from 24 ft
0:47.0,,,63-82,,Offensive rebound by A. Wiggins
0:46.0,,,63-84,2,A. Wiggins makes 2-pt shot at rim
0:36.0,C. Felicio makes 2-pt shot at rim (assist by D. McDermott),2,65-84,,
0:19.0,,,65-84,,R. Rubio misses 2-pt shot from 20 ft
0:18.0,,,65-84,,Offensive rebound by A. Wiggins
0:03.0,,,65-84,,R. Rubio misses 2-pt shot from 2 ft
0:02.0,Defensive rebound by B. Portis,,65-84,,
0:00.0,B. Portis misses 3-pt shot from 78 ft,,65-84,,
0:00.0,Offensive rebound by Team,,65-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,Turnover by C. Felicio (3 sec),,65-84,,
11:40.0,I. Canaan enters the game for D. McDermott,,65-84,,
11:26.0,,,65-84,,Turnover by N. Bjelica (bad pass; steal by I. Canaan)
11:18.0,D. Valentine misses 3-pt shot from 23 ft,,65-84,,
11:17.0,,,65-84,,Defensive rebound by N. Bjelica
11:06.0,Personal foul by R. Rondo (drawn by S. Muhammad),,65-84,,
10:58.0,,,65-86,2,S. Muhammad makes 2-pt shot from 1 ft (assist by N. Bjelica)
10:36.0,B. Portis misses 3-pt shot from 24 ft,,65-86,,
10:34.0,,,65-86,,Defensive rebound by S. Muhammad
10:25.0,,,65-86,,S. Muhammad misses 3-pt shot from 25 ft
10:23.0,Defensive rebound by D. Valentine,,65-86,,
10:18.0,R. Rondo makes 2-pt shot from 1 ft (assist by D. Valentine),2,67-86,,
10:03.0,,,67-86,,N. Bjelica misses 2-pt shot from 3 ft
10:02.0,Defensive rebound by R. Rondo,,67-86,,
9:55.0,C. Felicio misses 2-pt shot at rim,,67-86,,
9:55.0,Offensive rebound by Team,,67-86,,
9:55.0,,,67-86,,Loose ball foul by L. Stephenson (drawn by R. Rondo)
9:47.0,R. Rondo makes 2-pt shot from 21 ft,2,69-86,,
9:28.0,,,69-88,2,L. Stephenson makes 2-pt shot from 20 ft
9:00.0,B. Portis makes 2-pt shot from 22 ft (assist by R. Rondo),2,71-88,,
8:37.0,,,71-90,2,L. Stephenson makes 2-pt shot from 3 ft
8:33.0,Turnover by R. Rondo (bad pass; steal by S. Muhammad),,71-90,,
8:28.0,,,71-92,2,G. Dieng makes 2-pt shot at rim (assist by N. Bjelica)
8:16.0,,,71-92,,Violation by G. Dieng (def goaltending)
8:16.0,R. Rondo makes 2-pt shot from 1 ft,2,73-92,,
8:07.0,Personal foul by D. Valentine (drawn by L. Stephenson),,73-92,,
8:07.0,,,73-92,,Minnesota full timeout
8:07.0,,,73-92,,R. Rubio enters the game for K. Dunn
8:07.0,,,73-92,,K. Towns enters the game for G. Dieng
7:55.0,,,73-94,2,N. Bjelica makes 2-pt shot from 1 ft (assist by K. Towns)
7:35.0,Turnover by R. Rondo (bad pass; steal by K. Towns),,73-94,,
7:32.0,,,73-96,2,S. Muhammad makes 2-pt shot from 1 ft (assist by R. Rubio)
7:32.0,,,73-96,,Shooting foul by I. Canaan (drawn by S. Muhammad)
7:32.0,,,73-97,1,S. Muhammad makes free throw 1 of 1
7:32.0,,,73-96,,A. Wiggins enters the game for L. Stephenson
7:32.0,D. McDermott enters the game for I. Canaan,,73-96,,
7:21.0,D. McDermott misses 3-pt shot from 25 ft,,73-97,,
7:20.0,,,73-97,,Defensive rebound by N. Bjelica
7:02.0,,,73-99,2,A. Wiggins makes 2-pt shot at rim
6:52.0,D. McDermott misses 2-pt shot from 3 ft (block by A. Wiggins),,73-99,,
6:51.0,,,73-99,,Defensive rebound by K. Towns
6:42.0,,,73-99,,Shooting foul by C. Felicio (drawn by A. Wiggins)
6:42.0,,,73-100,1,A. Wiggins makes free throw 1 of 2
6:42.0,,,73-101,1,A. Wiggins makes free throw 2 of 2
6:42.0,M. Carter-Williams enters the game for R. Rondo,,73-100,,
6:24.0,M. Carter-Williams misses 2-pt shot from 8 ft,,73-101,,
6:23.0,,,73-101,,Defensive rebound by R. Rubio
6:16.0,,,73-101,,Turnover by R. Rubio (bad pass; steal by D. Valentine)
6:11.0,D. McDermott misses 2-pt shot from 2 ft (block by N. Bjelica),,73-101,,
6:10.0,Offensive rebound by B. Portis,,73-101,,
6:09.0,B. Portis makes 2-pt shot from 1 ft,2,75-101,,
6:02.0,,,75-101,,Shooting foul by C. Felicio (drawn by K. Towns)
6:02.0,,,75-102,1,K. Towns makes free throw 1 of 2
6:02.0,,,75-103,1,K. Towns makes free throw 2 of 2
6:02.0,I. Canaan enters the game for D. McDermott,,75-102,,
5:50.0,I. Canaan misses 3-pt shot from 24 ft,,75-103,,
5:48.0,,,75-103,,Defensive rebound by A. Wiggins
5:29.0,,,75-103,,A. Wiggins misses 2-pt shot from 16 ft
5:28.0,Defensive rebound by B. Portis,,75-103,,
5:14.0,D. Valentine makes 3-pt shot from 25 ft,3,78-103,,
4:52.0,,,78-106,3,N. Bjelica makes 3-pt shot from 24 ft (assist by R. Rubio)
4:33.0,B. Portis makes 2-pt shot from 3 ft,2,80-106,,
4:33.0,Shooting foul by N. Bjelica (drawn by B. Portis),,80-106,,
4:33.0,,,80-106,,Minnesota full timeout
4:33.0,B. Portis makes free throw 1 of 1,1,81-106,,
4:33.0,,,80-106,,B. Rush enters the game for S. Muhammad
4:12.0,,,81-106,,N. Bjelica misses 2-pt shot from 20 ft
4:11.0,Defensive rebound by D. Valentine,,81-106,,
3:54.0,M. Carter-Williams makes 2-pt shot from 2 ft,2,83-106,,
3:37.0,,,83-109,3,N. Bjelica makes 3-pt shot from 24 ft (assist by R. Rubio)
3:21.0,D. Valentine misses 3-pt shot from 26 ft,,83-109,,
3:20.0,,,83-109,,Defensive rebound by A. Wiggins
2:59.0,,,83-111,2,N. Bjelica makes 2-pt shot from 2 ft (assist by R. Rubio)
2:59.0,,,83-111,,Shooting foul by B. Portis (drawn by N. Bjelica)
2:59.0,Chicago full timeout,,83-111,,
2:59.0,,,83-112,1,N. Bjelica makes free throw 1 of 1
2:59.0,,,83-111,,C. Aldrich enters the game for K. Towns
2:41.0,,,83-112,,Shooting block foul by C. Aldrich (drawn by I. Canaan)
2:41.0,I. Canaan makes free throw 1 of 2,1,84-112,,
2:41.0,I. Canaan makes free throw 2 of 2,1,85-112,,
2:41.0,,,84-112,,T. Jones enters the game for R. Rubio
