time,Atlanta,pts.away,score,pts.home,Philadelphia
7:36.0,,,9-6,,Offensive rebound by T. Luwawu-Cabarrot
7:30.0,,,9-8,2,D. Saric makes 2-pt shot from 3 ft (assist by T. Luwawu-Cabarrot)
7:16.0,Turnover by D. Schroder (bad pass; steal by T. McConnell),,9-8,,
7:13.0,,,9-8,,Turnover by T. McConnell (bad pass; steal by T. Waller-Prince)
6:58.0,E. Ilyasova makes 2-pt shot from 1 ft,2,11-8,,
6:42.0,,,11-8,,R. Holmes misses 2-pt shot at rim
6:40.0,Defensive rebound by T. Hardaway,,11-8,,
6:32.0,E. Ilyasova misses 2-pt shot from 2 ft,,11-8,,
6:31.0,Offensive rebound by E. Ilyasova,,11-8,,
6:30.0,E. Ilyasova makes 2-pt shot at rim,2,13-8,,
6:09.0,,,13-10,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
5:53.0,D. Schroder misses 2-pt shot from 13 ft,,13-10,,
5:52.0,Offensive rebound by D. Schroder,,13-10,,
5:49.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder),3,16-10,,
5:49.0,,,16-10,,Philadelphia full timeout
5:49.0,,,16-10,,N. Stauskas enters the game for T. Luwawu-Cabarrot
5:49.0,,,16-10,,G. Henderson enters the game for J. Anderson
5:49.0,K. Bazemore enters the game for T. Waller-Prince,,16-10,,
5:34.0,,,16-10,,G. Henderson misses 3-pt shot from 25 ft
5:33.0,Defensive rebound by K. Bazemore,,16-10,,
5:18.0,D. Howard misses 2-pt shot from 4 ft,,16-10,,
5:16.0,,,16-10,,Defensive rebound by G. Henderson
5:01.0,,,16-13,3,D. Saric makes 3-pt shot from 24 ft (assist by N. Stauskas)
4:43.0,D. Howard makes 2-pt shot at rim (assist by E. Ilyasova),2,18-13,,
4:17.0,,,18-13,,T. McConnell misses 3-pt shot from 26 ft
4:15.0,Defensive rebound by K. Bazemore,,18-13,,
4:04.0,E. Ilyasova makes 3-pt shot from 25 ft (assist by D. Schroder),3,21-13,,
3:46.0,,,21-15,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
3:44.0,Atlanta full timeout,,21-15,,
3:44.0,,,21-15,,S. Long enters the game for R. Holmes
3:44.0,T. Waller-Prince enters the game for E. Ilyasova,,21-15,,
3:44.0,K. Humphries enters the game for D. Howard,,21-15,,
3:44.0,M. Muscala enters the game for T. Hardaway,,21-15,,
3:44.0,,,21-15,,T. Luwawu-Cabarrot enters the game for D. Saric
3:44.0,,,21-15,,J. Anderson enters the game for T. McConnell
3:30.0,Shooting foul by T. Luwawu-Cabarrot (drawn by K. Bazemore),,21-15,,
3:30.0,K. Bazemore makes free throw 1 of 2,1,22-15,,
3:30.0,K. Bazemore misses free throw 2 of 2,,22-15,,
3:28.0,,,22-15,,Defensive rebound by G. Henderson
3:20.0,,,22-18,3,T. Luwawu-Cabarrot makes 3-pt shot from 25 ft (assist by G. Henderson)
3:10.0,Turnover by D. Schroder (bad pass; steal by N. Stauskas),,22-18,,
3:05.0,,,22-18,,T. Luwawu-Cabarrot misses 2-pt shot from 3 ft (block by K. Bazemore)
3:03.0,Defensive rebound by K. Humphries,,22-18,,
2:45.0,Offensive charge foul by D. Schroder,,22-18,,
2:45.0,Turnover by D. Schroder (offensive foul),,22-18,,
2:39.0,,,22-18,,Offensive charge foul by N. Stauskas
2:39.0,,,22-18,,Turnover by N. Stauskas (offensive foul)
2:13.0,T. Waller-Prince misses 3-pt shot from 26 ft,,22-18,,
2:11.0,,,22-18,,Defensive rebound by Team
1:51.0,,,22-18,,Turnover by G. Henderson (step out of bounds)
1:43.0,Turnover by D. Schroder (step out of bounds),,22-18,,
1:28.0,,,22-18,,G. Henderson misses 3-pt shot from 27 ft
1:27.0,Defensive rebound by M. Muscala,,22-18,,
1:16.0,Shooting foul by J. Anderson (drawn by K. Bazemore),,22-18,,
1:16.0,K. Bazemore misses free throw 1 of 2,,22-18,,
1:16.0,Offensive rebound by Team,,22-18,,
1:16.0,K. Bazemore makes free throw 2 of 2,1,23-18,,
1:16.0,J. Calderon enters the game for D. Schroder,,22-18,,
0:51.0,,,23-18,,N. Stauskas misses 3-pt shot from 25 ft
0:49.0,Defensive rebound by J. Calderon,,23-18,,
0:32.0,J. Calderon misses 2-pt shot from 19 ft,,23-18,,
0:32.0,Offensive rebound by Team,,23-18,,
0:32.0,,,23-18,,Loose ball foul by G. Henderson (drawn by K. Humphries)
0:32.0,K. Humphries makes free throw 1 of 2,1,24-18,,
0:32.0,K. Humphries makes free throw 2 of 2,1,25-18,,
0:18.0,,,25-18,,J. Anderson misses 3-pt shot from 27 ft
0:16.0,Defensive rebound by K. Bazemore,,25-18,,
0:02.0,K. Bazemore misses 2-pt shot from 18 ft,,25-18,,
0:00.0,Offensive rebound by J. Calderon,,25-18,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,25-18,,Turnover by G. Henderson (bad pass)
11:36.0,Turnover by T. Hardaway (bad pass),,25-18,,
11:18.0,,,25-18,,G. Henderson misses 2-pt shot from 3 ft
11:17.0,Defensive rebound by Team,,25-18,,
11:03.0,T. Hardaway misses 2-pt shot from 16 ft,,25-18,,
11:01.0,,,25-18,,Defensive rebound by T. Luwawu-Cabarrot
10:53.0,,,25-18,,G. Henderson misses 2-pt shot from 18 ft
10:51.0,Defensive rebound by M. Muscala,,25-18,,
10:37.0,T. Hardaway misses 3-pt shot from 26 ft,,25-18,,
10:35.0,Offensive rebound by K. Humphries,,25-18,,
10:21.0,T. Waller-Prince misses 2-pt shot from 3 ft (block by T. Luwawu-Cabarrot),,25-18,,
10:19.0,Offensive rebound by T. Waller-Prince,,25-18,,
10:16.0,Turnover by T. Waller-Prince (bad pass; steal by N. Stauskas),,25-18,,
10:07.0,,,25-18,,Shooting foul by T. Waller-Prince (drawn by N. Stauskas)
10:07.0,,,25-18,,N. Stauskas misses free throw 1 of 2
10:07.0,,,25-18,,Offensive rebound by Team
10:07.0,,,25-19,1,N. Stauskas makes free throw 2 of 2
10:07.0,D. Howard enters the game for K. Humphries,,25-18,,
10:07.0,,,25-18,,J. Anderson enters the game for G. Henderson
10:07.0,,,25-18,,R. Holmes enters the game for S. Long
9:48.0,T. Waller-Prince makes 2-pt shot from 2 ft (assist by J. Calderon),2,27-19,,
9:28.0,,,27-21,2,R. Holmes makes 2-pt shot from 2 ft (assist by J. Anderson)
9:10.0,T. Waller-Prince misses 2-pt shot from 16 ft,,27-21,,
9:09.0,,,27-21,,Defensive rebound by D. Saric
9:00.0,,,27-23,2,D. Saric makes 2-pt shot from 4 ft
8:46.0,T. Hardaway makes 2-pt shot from 1 ft,2,29-23,,
8:42.0,,,29-23,,Philadelphia full timeout
8:42.0,D. Bembry enters the game for T. Waller-Prince,,29-23,,
8:42.0,,,29-23,,T. McConnell enters the game for N. Stauskas
8:39.0,Personal foul by T. Hardaway (drawn by T. Luwawu-Cabarrot),,29-23,,
8:29.0,,,29-23,,D. Saric misses 3-pt shot from 25 ft
8:28.0,,,29-23,,Offensive rebound by T. Luwawu-Cabarrot
8:17.0,,,29-23,,T. Luwawu-Cabarrot misses 3-pt shot from 28 ft
8:15.0,,,29-23,,Offensive rebound by J. Anderson
8:04.0,,,29-25,2,J. Anderson makes 2-pt shot at rim (assist by T. Luwawu-Cabarrot)
7:39.0,Shooting foul by J. Anderson (drawn by D. Howard),,29-25,,
7:39.0,D. Howard makes free throw 1 of 2,1,30-25,,
7:39.0,D. Howard makes free throw 2 of 2,1,31-25,,
7:39.0,E. Ilyasova enters the game for M. Muscala,,30-25,,
7:22.0,,,31-25,,T. Luwawu-Cabarrot misses 3-pt shot from 24 ft
7:19.0,,,31-25,,Offensive rebound by R. Holmes
7:06.0,,,31-25,,J. Anderson misses 2-pt shot from 15 ft
7:04.0,,,31-25,,Offensive rebound by R. Holmes
7:02.0,D. Schroder enters the game for J. Calderon,,31-25,,
7:02.0,,,31-25,,N. Stauskas enters the game for J. Anderson
6:47.0,,,31-25,,D. Saric misses 2-pt shot from 8 ft
6:45.0,Defensive rebound by D. Howard,,31-25,,
6:25.0,Shooting foul by T. Luwawu-Cabarrot (drawn by E. Ilyasova),,31-25,,
6:25.0,E. Ilyasova makes free throw 1 of 2,1,32-25,,
6:25.0,E. Ilyasova makes free throw 2 of 2,1,33-25,,
6:08.0,,,33-27,2,T. McConnell makes 2-pt shot from 8 ft (assist by T. Luwawu-Cabarrot)
5:53.0,Turnover by D. Schroder (back court),,33-27,,
5:53.0,Official timeout,,33-27,,
5:53.0,,,33-27,,G. Henderson enters the game for T. Luwawu-Cabarrot
5:42.0,,,33-27,,G. Henderson misses 3-pt shot from 25 ft
5:41.0,,,33-27,,Offensive rebound by N. Stauskas
5:39.0,,,33-29,2,N. Stauskas makes 2-pt shot from 14 ft
5:20.0,D. Howard makes 2-pt shot from 2 ft,2,35-29,,
5:20.0,Shooting foul by R. Holmes (drawn by D. Howard),,35-29,,
5:20.0,D. Howard makes free throw 1 of 1,1,36-29,,
5:20.0,K. Bazemore enters the game for T. Hardaway,,35-29,,
4:59.0,,,36-29,,D. Saric misses 2-pt shot from 3 ft (block by E. Ilyasova)
4:58.0,,,36-29,,Offensive rebound by Team
4:56.0,,,36-31,2,R. Holmes makes 2-pt shot from 7 ft (assist by T. McConnell)
4:30.0,D. Howard makes 2-pt shot from 4 ft (assist by K. Bazemore),2,38-31,,
4:14.0,Personal foul by K. Bazemore (drawn by T. McConnell),,38-31,,
3:58.0,,,38-31,,R. Holmes misses 2-pt shot from 10 ft
3:57.0,Defensive rebound by D. Howard,,38-31,,
3:47.0,K. Bazemore makes 3-pt shot from 23 ft (assist by E. Ilyasova),3,41-31,,
3:33.0,,,41-34,3,D. Saric makes 3-pt shot from 25 ft (assist by G. Henderson)
3:26.0,Atlanta full timeout,,41-34,,
3:26.0,T. Waller-Prince enters the game for D. Bembry,,41-34,,
3:26.0,,,41-34,,T. Luwawu-Cabarrot enters the game for G. Henderson
3:10.0,D. Schroder makes 2-pt shot from 16 ft,2,43-34,,
2:54.0,,,43-36,2,R. Holmes makes 2-pt shot at rim (assist by T. McConnell)
2:38.0,Offensive foul by E. Ilyasova,,43-36,,
2:38.0,Turnover by E. Ilyasova (offensive foul),,43-36,,
2:38.0,,,43-36,,S. Long enters the game for R. Holmes
2:30.0,,,43-36,,S. Long misses 2-pt shot from 21 ft
2:28.0,Defensive rebound by E. Ilyasova,,43-36,,
2:11.0,T. Waller-Prince makes 3-pt shot from 24 ft (assist by D. Howard),3,46-36,,
1:48.0,,,46-39,3,S. Long makes 3-pt shot from 27 ft (assist by D. Saric)
1:33.0,D. Schroder misses 2-pt shot from 15 ft,,46-39,,
1:32.0,,,46-39,,Defensive rebound by T. Luwawu-Cabarrot
1:22.0,,,46-39,,T. Luwawu-Cabarrot misses 3-pt shot from 25 ft
1:21.0,,,46-39,,Offensive rebound by D. Saric
1:18.0,,,46-39,,D. Saric misses 2-pt shot from 3 ft
1:17.0,Defensive rebound by D. Howard,,46-39,,
1:07.0,E. Ilyasova misses 2-pt shot from 1 ft,,46-39,,
1:05.0,,,46-39,,Defensive rebound by D. Saric
1:01.0,,,46-39,,D. Saric misses 2-pt shot from 16 ft
1:00.0,Defensive rebound by D. Howard,,46-39,,
0:43.0,K. Bazemore makes 3-pt shot from 26 ft (assist by D. Schroder),3,49-39,,
0:43.0,,,49-39,,Philadelphia full timeout
0:43.0,M. Muscala enters the game for D. Howard,,49-39,,
0:43.0,T. Hardaway enters the game for E. Ilyasova,,49-39,,
0:28.0,,,49-41,2,S. Long makes 2-pt shot at rim (assist by T. McConnell)
0:12.0,K. Bazemore makes 3-pt shot from 26 ft (assist by D. Schroder),3,52-41,,
0:03.0,,,52-43,2,T. McConnell makes 2-pt shot from 2 ft
0:02.0,Atlanta full timeout,,52-43,,
0:02.0,D. Howard enters the game for T. Waller-Prince,,52-43,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:37.0,,,52-43,,J. Anderson misses 2-pt shot from 15 ft
11:36.0,Defensive rebound by T. Waller-Prince,,52-43,,
11:19.0,D. Schroder makes 2-pt shot from 16 ft,2,54-43,,
11:07.0,Violation by D. Howard (def goaltending),,54-43,,
11:07.0,,,54-45,2,T. Luwawu-Cabarrot makes 2-pt shot from 3 ft (assist by R. Holmes)
10:56.0,Turnover by T. Waller-Prince (bad pass),,54-45,,
10:39.0,,,54-45,,R. Holmes misses 3-pt shot from 24 ft
10:38.0,Defensive rebound by T. Waller-Prince,,54-45,,
10:31.0,,,54-45,,Shooting block foul by T. Luwawu-Cabarrot (drawn by T. Hardaway)
10:31.0,T. Hardaway misses free throw 1 of 2,,54-45,,
10:31.0,Offensive rebound by Team,,54-45,,
10:31.0,T. Hardaway makes free throw 2 of 2,1,55-45,,
10:22.0,,,55-45,,D. Saric misses 2-pt shot from 4 ft (block by D. Howard)
10:21.0,,,55-45,,Offensive rebound by T. Luwawu-Cabarrot
10:19.0,,,55-47,2,R. Holmes makes 2-pt shot at rim (assist by D. Saric)
10:02.0,Turnover by D. Schroder (bad pass),,55-47,,
9:51.0,,,55-49,2,T. McConnell makes 2-pt shot from 4 ft (assist by T. Luwawu-Cabarrot)
9:40.0,T. Hardaway makes 2-pt shot from 10 ft (assist by D. Howard),2,57-49,,
9:24.0,,,57-49,,Turnover by D. Saric (step out of bounds)
9:17.0,D. Schroder misses 2-pt shot from 2 ft,,57-49,,
9:16.0,Offensive rebound by D. Howard,,57-49,,
9:14.0,D. Howard misses 2-pt shot from 2 ft,,57-49,,
9:13.0,,,57-49,,Defensive rebound by R. Holmes
9:10.0,,,57-49,,Shooting foul by E. Ilyasova (drawn by D. Saric)
9:10.0,,,57-50,1,D. Saric makes free throw 1 of 2
9:10.0,,,57-51,1,D. Saric makes free throw 2 of 2
9:10.0,,,57-50,,N. Stauskas enters the game for J. Anderson
8:57.0,T. Hardaway misses 2-pt shot from 1 ft,,57-51,,
8:57.0,Offensive rebound by T. Hardaway,,57-51,,
8:56.0,Shooting foul by T. Luwawu-Cabarrot (drawn by T. Hardaway),,57-51,,
8:56.0,T. Hardaway makes free throw 1 of 2,1,58-51,,
8:56.0,T. Hardaway makes free throw 2 of 2,1,59-51,,
8:56.0,,,58-51,,G. Henderson enters the game for T. Luwawu-Cabarrot
8:45.0,Personal foul by D. Howard (drawn by D. Saric),,59-51,,
8:45.0,,,59-51,,Philadelphia full timeout
8:31.0,,,59-51,,R. Holmes misses 2-pt shot from 16 ft
8:30.0,Defensive rebound by D. Howard,,59-51,,
8:16.0,Turnover by T. Waller-Prince (dbl dribble),,59-51,,
7:54.0,,,59-51,,N. Stauskas misses 2-pt shot from 9 ft
7:53.0,Defensive rebound by D. Howard,,59-51,,
7:45.0,D. Schroder makes 2-pt shot from 2 ft,2,61-51,,
7:24.0,,,61-53,2,R. Holmes makes 2-pt shot from 1 ft (assist by D. Saric)
7:10.0,D. Howard misses 2-pt shot from 3 ft,,61-53,,
7:09.0,,,61-53,,Defensive rebound by R. Holmes
7:01.0,,,61-53,,Shooting foul by D. Schroder (drawn by T. McConnell)
7:01.0,,,61-54,1,T. McConnell makes free throw 1 of 2
7:01.0,,,61-55,1,T. McConnell makes free throw 2 of 2
6:47.0,D. Schroder misses 2-pt shot from 2 ft,,61-55,,
6:46.0,Offensive rebound by D. Howard,,61-55,,
6:45.0,D. Howard makes 2-pt shot at rim,2,63-55,,
6:37.0,,,63-55,,D. Saric misses 3-pt shot from 26 ft
6:37.0,,,63-55,,Offensive rebound by R. Holmes
6:30.0,,,63-57,2,R. Holmes makes 2-pt shot from 10 ft (assist by D. Saric)
6:17.0,T. Waller-Prince misses 2-pt shot from 9 ft,,63-57,,
6:14.0,,,63-57,,Defensive rebound by N. Stauskas
6:10.0,,,63-57,,D. Saric misses 3-pt shot from 24 ft
6:09.0,Defensive rebound by T. Hardaway,,63-57,,
6:01.0,,,63-57,,S. Long enters the game for R. Holmes
6:01.0,K. Bazemore enters the game for T. Waller-Prince,,63-57,,
5:55.0,K. Bazemore makes 2-pt shot from 21 ft (assist by D. Howard),2,65-57,,
5:46.0,,,65-57,,T. McConnell misses 2-pt shot from 2 ft
5:45.0,Defensive rebound by Team,,65-57,,
5:30.0,D. Howard makes 2-pt shot at rim (assist by K. Bazemore),2,67-57,,
5:11.0,,,67-57,,N. Stauskas misses 3-pt shot from 23 ft
5:10.0,,,67-57,,Offensive rebound by G. Henderson
5:10.0,Personal foul by K. Bazemore (drawn by G. Henderson),,67-57,,
5:08.0,,,67-57,,Technical foul by S. Long
5:08.0,D. Schroder makes technical free throw,1,68-57,,
5:02.0,,,68-60,3,S. Long makes 3-pt shot from 24 ft (assist by T. McConnell)
4:43.0,,,68-60,,Personal foul by S. Long (drawn by D. Howard)
4:43.0,Atlanta full timeout,,68-60,,
4:43.0,,,68-60,,Technical foul by Team
4:43.0,D. Schroder makes technical free throw,1,69-60,,
4:34.0,E. Ilyasova misses 3-pt shot from 25 ft,,69-60,,
4:33.0,,,69-60,,Defensive rebound by N. Stauskas
4:17.0,,,69-63,3,N. Stauskas makes 3-pt shot from 25 ft
4:04.0,,,69-63,,Personal foul by T. McConnell (drawn by D. Schroder)
4:04.0,M. Muscala enters the game for E. Ilyasova,,69-63,,
4:02.0,T. Hardaway makes 2-pt shot at rim (assist by K. Bazemore),2,71-63,,
3:36.0,,,71-63,,Turnover by D. Saric (bad pass; steal by M. Muscala)
3:27.0,K. Bazemore makes 3-pt shot from 23 ft (assist by M. Muscala),3,74-63,,
3:14.0,,,74-65,2,T. McConnell makes 2-pt shot from 2 ft
3:03.0,Turnover by D. Howard (traveling),,74-65,,
3:03.0,K. Humphries enters the game for D. Howard,,74-65,,
3:03.0,T. Waller-Prince enters the game for T. Hardaway,,74-65,,
3:03.0,,,74-65,,J. Anderson enters the game for D. Saric
2:52.0,,,74-68,3,G. Henderson makes 3-pt shot from 25 ft (assist by S. Long)
2:32.0,D. Schroder misses 2-pt shot from 23 ft,,74-68,,
2:31.0,,,74-68,,Defensive rebound by J. Anderson
2:22.0,,,74-68,,Turnover by T. McConnell (bad pass; steal by K. Bazemore)
2:16.0,Turnover by D. Schroder (bad pass; steal by N. Stauskas),,74-68,,
2:10.0,,,74-68,,R. Holmes enters the game for S. Long
2:10.0,Jump ball: J. Anderson vs. K. Bazemore (T. Waller-Prince gains possession),,,,Jump ball: J. Anderson vs. K. Bazemore (T. Waller-Prince gains possession)
2:10.0,,,74-68,,Turnover by T. McConnell (lost ball; steal by K. Bazemore)
2:05.0,Offensive foul by D. Schroder,,74-68,,
2:05.0,Turnover by D. Schroder (offensive foul),,74-68,,
1:55.0,Shooting block foul by D. Schroder (drawn by R. Holmes),,74-68,,
1:55.0,,,74-69,1,R. Holmes makes free throw 1 of 2
1:55.0,,,74-70,1,R. Holmes makes free throw 2 of 2
1:37.0,D. Schroder makes 2-pt shot from 1 ft (assist by K. Bazemore),2,76-70,,
1:22.0,,,76-70,,G. Henderson misses 2-pt shot from 15 ft
1:21.0,Defensive rebound by K. Humphries,,76-70,,
1:10.0,Turnover by D. Schroder (bad pass; steal by G. Henderson),,76-70,,
1:02.0,,,76-70,,N. Stauskas misses 3-pt shot from 25 ft
1:01.0,Defensive rebound by M. Muscala,,76-70,,
0:40.0,K. Bazemore misses 3-pt shot from 24 ft,,76-70,,
0:39.0,,,76-70,,Defensive rebound by T. McConnell
0:24.0,J. Calderon enters the game for D. Schroder,,76-70,,
0:24.0,,,76-70,,Turnover by T. McConnell (lost ball; steal by M. Muscala)
0:24.0,Jump ball: T. McConnell vs. M. Muscala (K. Humphries gains possession),,,,Jump ball: T. McConnell vs. M. Muscala (K. Humphries gains possession)
0:04.0,K. Bazemore makes 2-pt shot from 2 ft,2,78-70,,
0:04.0,Shooting foul by G. Henderson (drawn by K. Bazemore),,78-70,,
0:04.0,K. Bazemore makes free throw 1 of 1,1,79-70,,
0:04.0,D. Bembry enters the game for M. Muscala,,78-70,,
0:00.0,,,79-70,,T. McConnell misses 3-pt shot from 26 ft
0:00.0,,,79-70,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:40.0,T. Hardaway makes 2-pt shot from 20 ft,2,81-70,,
11:23.0,,,81-70,,J. Anderson misses 3-pt shot from 25 ft
11:22.0,Defensive rebound by M. Muscala,,81-70,,
11:11.0,K. Humphries misses 2-pt shot from 4 ft,,81-70,,
11:10.0,,,81-70,,Defensive rebound by T. Luwawu-Cabarrot
10:56.0,,,81-72,2,R. Holmes makes 2-pt shot from 10 ft (assist by J. Anderson)
10:33.0,K. Humphries misses 2-pt shot from 6 ft,,81-72,,
10:32.0,,,81-72,,Defensive rebound by R. Holmes
10:23.0,,,81-72,,N. Stauskas misses 2-pt shot from 2 ft
10:22.0,Defensive rebound by K. Humphries,,81-72,,
10:18.0,T. Hardaway misses 2-pt shot from 2 ft,,81-72,,
10:17.0,,,81-72,,Defensive rebound by T. Luwawu-Cabarrot
10:12.0,,,81-74,2,R. Holmes makes 2-pt shot at rim (assist by N. Stauskas)
9:55.0,K. Humphries misses 2-pt shot from 9 ft,,81-74,,
9:54.0,,,81-74,,Defensive rebound by D. Saric
9:48.0,,,81-74,,Philadelphia full timeout
9:48.0,D. Howard enters the game for K. Humphries,,81-74,,
9:48.0,,,81-74,,S. Long enters the game for R. Holmes
9:36.0,,,81-76,2,D. Saric makes 2-pt shot from 2 ft
9:26.0,J. Calderon misses 2-pt shot from 14 ft,,81-76,,
9:25.0,,,81-76,,Defensive rebound by D. Saric
9:18.0,,,81-76,,Shooting foul by M. Muscala (drawn by D. Saric)
9:18.0,,,81-76,,D. Saric misses free throw 1 of 2
9:18.0,,,81-76,,Offensive rebound by Team
9:18.0,,,81-77,1,D. Saric makes free throw 2 of 2
9:18.0,E. Ilyasova enters the game for M. Muscala,,81-76,,
9:18.0,K. Bazemore enters the game for T. Waller-Prince,,81-76,,
9:03.0,D. Howard misses 2-pt shot from 4 ft,,81-77,,
9:02.0,Offensive rebound by D. Howard,,81-77,,
9:00.0,D. Howard makes 2-pt shot from 2 ft,2,83-77,,
8:49.0,,,83-79,2,S. Long makes 2-pt shot at rim (assist by N. Stauskas)
8:28.0,E. Ilyasova misses 3-pt shot from 24 ft,,83-79,,
8:27.0,,,83-79,,Defensive rebound by N. Stauskas
8:20.0,,,83-81,2,J. Anderson makes 2-pt shot at rim (assist by N. Stauskas)
8:20.0,Atlanta full timeout,,83-81,,
8:20.0,,,83-81,,T. McConnell enters the game for N. Stauskas
8:20.0,D. Schroder enters the game for J. Calderon,,83-81,,
8:01.0,T. Hardaway makes 3-pt shot from 24 ft,3,86-81,,
7:48.0,Personal foul by D. Howard (drawn by T. Luwawu-Cabarrot),,86-81,,
7:38.0,Jump ball: E. Ilyasova vs. D. Saric (T. Luwawu-Cabarrot gains possession),,,,Jump ball: E. Ilyasova vs. D. Saric (T. Luwawu-Cabarrot gains possession)
7:33.0,,,86-81,,T. Luwawu-Cabarrot misses 2-pt shot from 15 ft
7:33.0,,,86-81,,Offensive rebound by Team
7:33.0,,,86-81,,Turnover by Team (shot clock)
7:33.0,,,86-81,,G. Henderson enters the game for D. Saric
7:16.0,K. Bazemore misses 2-pt shot from 1 ft,,86-81,,
7:15.0,Offensive rebound by K. Bazemore,,86-81,,
7:14.0,K. Bazemore misses 2-pt shot from 11 ft,,86-81,,
7:13.0,Offensive rebound by Team,,86-81,,
7:05.0,Shooting foul by G. Henderson (drawn by D. Howard),,86-81,,
7:05.0,D. Howard makes free throw 1 of 2,1,87-81,,
7:05.0,D. Howard makes free throw 2 of 2,1,88-81,,
6:43.0,,,88-81,,G. Henderson misses 3-pt shot from 24 ft
6:42.0,Defensive rebound by E. Ilyasova,,88-81,,
6:32.0,Atlanta full timeout,,88-81,,
6:32.0,T. Waller-Prince enters the game for K. Bazemore,,88-81,,
6:31.0,,,88-81,,N. Stauskas enters the game for T. Luwawu-Cabarrot
6:26.0,Turnover by T. Waller-Prince (bad pass; steal by T. McConnell),,88-81,,
6:22.0,,,88-83,2,J. Anderson makes 2-pt shot from 1 ft (assist by N. Stauskas)
6:22.0,,,88-83,,Shooting foul by T. Waller-Prince (drawn by J. Anderson)
6:22.0,,,88-84,1,J. Anderson makes free throw 1 of 1
6:12.0,D. Schroder misses 2-pt shot from 19 ft,,88-84,,
6:11.0,,,88-84,,Defensive rebound by G. Henderson
6:02.0,,,88-84,,J. Anderson misses 3-pt shot from 24 ft
6:01.0,Defensive rebound by D. Howard,,88-84,,
5:50.0,D. Howard misses 2-pt shot from 5 ft,,88-84,,
5:49.0,,,88-84,,Defensive rebound by S. Long
5:36.0,,,88-84,,G. Henderson misses 3-pt shot from 24 ft
5:34.0,Defensive rebound by Team,,88-84,,
5:34.0,,,88-84,,D. Saric enters the game for S. Long
5:34.0,,,88-84,,R. Holmes enters the game for J. Anderson
5:21.0,D. Schroder makes 2-pt shot from 2 ft (assist by E. Ilyasova),2,90-84,,
