time,Denver,pts.away,score,pts.home,Minnesota
1:15.0,Shooting foul by S. Muhammad (drawn by W. Barton),,28-24,,
1:15.0,W. Barton makes free throw 1 of 2,1,29-24,,
1:15.0,W. Barton misses free throw 2 of 2,,29-24,,
1:15.0,,,29-24,,Defensive rebound by K. Towns
1:02.0,,,29-24,,S. Muhammad misses 3-pt shot from 25 ft
1:00.0,Defensive rebound by D. Gallinari,,29-24,,
0:37.0,Turnover by Team (shot clock),,29-24,,
0:18.0,,,29-26,2,S. Muhammad makes 2-pt shot from 7 ft (assist by K. Dunn)
0:05.0,W. Barton misses 2-pt shot from 5 ft,,29-26,,
0:04.0,,,29-26,,Defensive rebound by S. Muhammad
0:00.0,,,29-28,2,S. Muhammad makes 2-pt shot from 11 ft
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,29-28,,Offensive foul by C. Aldrich
11:47.0,,,29-28,,Turnover by C. Aldrich (offensive foul)
11:36.0,J. Murray misses 2-pt shot from 21 ft,,29-28,,
11:34.0,,,29-28,,Defensive rebound by N. Bjelica
11:20.0,,,29-28,,S. Muhammad misses 3-pt shot from 25 ft
11:19.0,,,29-28,,Offensive rebound by N. Bjelica
11:17.0,,,29-30,2,N. Bjelica makes 2-pt shot at rim
11:11.0,Turnover by W. Barton (lost ball; steal by C. Aldrich),,29-30,,
11:05.0,,,29-32,2,S. Muhammad makes 2-pt shot from 1 ft (assist by T. Jones)
10:50.0,J. Murray makes 2-pt shot from 1 ft (assist by D. Arthur),2,31-32,,
10:33.0,,,31-34,2,N. Bjelica makes 2-pt shot from 4 ft (assist by C. Aldrich)
10:31.0,Denver full timeout,,31-34,,
10:18.0,Shooting foul by N. Bjelica (drawn by W. Chandler),,31-34,,
10:18.0,W. Chandler makes 2-pt shot from 3 ft,2,33-34,,
10:18.0,W. Chandler makes free throw 1 of 1,1,34-34,,
10:05.0,,,34-37,3,S. Muhammad makes 3-pt shot from 24 ft (assist by T. Jones)
9:55.0,D. Arthur misses 3-pt shot from 25 ft,,34-37,,
9:54.0,,,34-37,,Defensive rebound by N. Bjelica
9:45.0,,,34-39,2,Z. LaVine makes 2-pt shot from 19 ft
9:34.0,J. Murray makes 2-pt shot at rim (assist by D. Arthur),2,36-39,,
9:23.0,,,36-41,2,T. Jones makes 2-pt shot from 8 ft
9:23.0,,,36-41,,Shooting foul by W. Barton (drawn by T. Jones)
9:23.0,,,36-42,1,T. Jones makes free throw 1 of 1
9:10.0,,,36-42,,Violation by C. Aldrich (kicked ball)
9:06.0,G. Harris makes 2-pt shot from 1 ft (assist by W. Barton),2,38-42,,
8:54.0,,,38-42,,Turnover by T. Jones (lost ball; steal by D. Arthur)
8:41.0,J. Murray misses 3-pt shot from 24 ft,,38-42,,
8:40.0,Offensive rebound by G. Harris,,38-42,,
8:35.0,G. Harris makes 2-pt shot at rim,2,40-42,,
8:15.0,,,40-42,,Z. LaVine misses 2-pt shot from 21 ft
8:13.0,,,40-42,,Offensive rebound by S. Muhammad
8:09.0,,,40-42,,Turnover by N. Bjelica (bad pass; steal by W. Chandler)
8:04.0,Turnover by W. Chandler (bad pass),,40-42,,
7:44.0,,,40-42,,Z. LaVine misses 2-pt shot from 21 ft
7:42.0,Defensive rebound by W. Chandler,,40-42,,
7:33.0,J. Murray makes 2-pt shot at rim (assist by W. Barton),2,42-42,,
7:25.0,,,42-42,,Minnesota full timeout
7:12.0,,,42-42,,S. Muhammad misses 3-pt shot from 23 ft
7:10.0,Defensive rebound by G. Harris,,42-42,,
7:07.0,Shooting foul by T. Jones (drawn by W. Chandler),,42-42,,
7:07.0,W. Chandler makes free throw 1 of 2,1,43-42,,
7:07.0,W. Chandler makes free throw 2 of 2,1,44-42,,
6:55.0,,,44-42,,N. Bjelica misses 3-pt shot from 26 ft
6:54.0,Defensive rebound by J. Murray,,44-42,,
6:42.0,J. Murray makes 2-pt shot from 7 ft,2,46-42,,
6:31.0,,,46-42,,T. Jones misses 2-pt shot from 5 ft
6:30.0,Defensive rebound by Team,,46-42,,
6:30.0,,,46-42,,K. Towns enters the game for C. Aldrich
6:20.0,Shooting foul by T. Jones (drawn by J. Murray),,46-42,,
6:20.0,J. Murray makes free throw 1 of 2,1,47-42,,
6:20.0,J. Murray makes free throw 2 of 2,1,48-42,,
6:20.0,,,47-42,,A. Wiggins enters the game for N. Bjelica
6:20.0,D. Gallinari enters the game for W. Barton,,47-42,,
6:20.0,N. Jokic enters the game for D. Arthur,,47-42,,
6:07.0,,,48-42,,T. Jones misses 2-pt shot from 1 ft
6:06.0,Defensive rebound by N. Jokic,,48-42,,
5:54.0,N. Jokic makes 2-pt shot from 5 ft (assist by J. Murray),2,50-42,,
5:31.0,,,50-44,2,A. Wiggins makes 2-pt shot from 18 ft
5:21.0,J. Murray makes 2-pt shot from 1 ft (assist by N. Jokic),2,52-44,,
5:06.0,,,52-46,2,K. Towns makes 2-pt shot at rim (assist by T. Jones)
4:54.0,J. Murray misses 2-pt shot from 3 ft,,52-46,,
4:53.0,Offensive rebound by N. Jokic,,52-46,,
4:53.0,N. Jokic makes 2-pt shot at rim,2,54-46,,
4:40.0,,,54-48,2,K. Towns makes 2-pt shot from 3 ft (assist by Z. LaVine)
4:40.0,,,54-48,,Shooting foul by N. Jokic (drawn by K. Towns)
4:40.0,,,54-49,1,K. Towns makes free throw 1 of 1
4:40.0,,,54-48,,K. Dunn enters the game for T. Jones
4:40.0,J. Nelson enters the game for J. Murray,,54-48,,
4:28.0,G. Harris makes 2-pt shot from 1 ft (assist by D. Gallinari),2,56-49,,
4:07.0,,,56-49,,Turnover by K. Towns (bad pass; steal by G. Harris)
4:04.0,Turnover by G. Harris (lost ball; steal by K. Dunn),,56-49,,
4:03.0,Personal foul by G. Harris (drawn by K. Dunn),,56-49,,
4:03.0,W. Barton enters the game for G. Harris,,56-49,,
3:41.0,,,56-49,,S. Muhammad misses 2-pt shot from 7 ft
3:40.0,,,56-49,,Offensive rebound by K. Towns
3:40.0,,,56-51,2,K. Towns makes 2-pt shot at rim
3:28.0,N. Jokic makes 2-pt shot from 3 ft (assist by J. Nelson),2,58-51,,
3:09.0,,,58-51,,K. Towns misses 2-pt shot from 20 ft
3:08.0,,,58-51,,Offensive rebound by S. Muhammad
3:04.0,,,58-51,,Z. LaVine misses 3-pt shot from 25 ft
3:03.0,Defensive rebound by W. Barton,,58-51,,
2:55.0,D. Gallinari misses 3-pt shot from 25 ft,,58-51,,
2:54.0,,,58-51,,Defensive rebound by K. Dunn
2:49.0,,,58-53,2,A. Wiggins makes 2-pt shot from 2 ft (assist by K. Dunn)
2:38.0,Turnover by N. Jokic (lost ball; steal by K. Dunn),,58-53,,
2:37.0,Personal foul by J. Nelson (drawn by K. Towns),,58-53,,
2:37.0,,,58-53,,Minnesota full timeout
2:37.0,D. Arthur enters the game for N. Jokic,,58-53,,
2:20.0,,,58-55,2,A. Wiggins makes 2-pt shot from 20 ft
2:03.0,D. Arthur misses 3-pt shot from 26 ft,,58-55,,
2:01.0,Offensive rebound by W. Chandler,,58-55,,
1:53.0,J. Nelson misses 2-pt shot from 1 ft (block by K. Dunn),,58-55,,
1:52.0,,,58-55,,Defensive rebound by K. Towns
1:48.0,Shooting block foul by D. Arthur (drawn by K. Dunn),,58-55,,
1:48.0,,,58-55,,K. Dunn misses free throw 1 of 2
1:48.0,,,58-55,,Offensive rebound by Team
1:48.0,,,58-56,1,K. Dunn makes free throw 2 of 2
1:41.0,Offensive foul by D. Arthur,,58-56,,
1:41.0,Turnover by D. Arthur (offensive foul),,58-56,,
1:24.0,,,58-58,2,S. Muhammad makes 2-pt shot at rim (assist by K. Dunn)
1:06.0,D. Arthur misses 3-pt shot from 27 ft,,58-58,,
1:05.0,,,58-58,,Defensive rebound by K. Dunn
0:54.0,,,58-60,2,A. Wiggins makes 2-pt shot from 17 ft (assist by K. Dunn)
0:49.0,Turnover by J. Nelson (bad pass; steal by S. Muhammad),,58-60,,
0:46.0,,,58-62,2,S. Muhammad makes 2-pt shot at rim
0:46.0,Denver full timeout,,58-62,,
0:31.0,W. Barton misses 2-pt shot from 6 ft,,58-62,,
0:29.0,,,58-62,,Defensive rebound by A. Wiggins
0:07.0,,,58-62,,K. Dunn misses 2-pt shot from 9 ft
0:05.0,Defensive rebound by Team,,58-62,,
0:02.0,,,58-62,,Personal take foul by K. Dunn (drawn by J. Nelson)
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,58-64,2,G. Dieng makes 2-pt shot from 2 ft (assist by K. Towns)
11:15.0,N. Jokic misses 3-pt shot from 24 ft,,58-64,,
11:14.0,,,58-64,,Defensive rebound by K. Towns
10:58.0,,,58-64,,Z. LaVine misses 3-pt shot from 25 ft
10:57.0,Defensive rebound by J. Nelson,,58-64,,
10:47.0,D. Gallinari makes 2-pt shot from 19 ft,2,60-64,,
10:24.0,,,60-64,,K. Dunn misses 2-pt shot from 11 ft
10:23.0,Defensive rebound by G. Harris,,60-64,,
10:17.0,J. Nelson misses 3-pt shot from 26 ft,,60-64,,
10:16.0,,,60-64,,Defensive rebound by K. Towns
10:03.0,,,60-66,2,A. Wiggins makes 2-pt shot from 16 ft (assist by K. Dunn)
9:48.0,G. Harris makes 2-pt shot from 22 ft,2,62-66,,
9:31.0,,,62-68,2,K. Towns makes 2-pt shot from 16 ft
9:15.0,Turnover by N. Jokic (lost ball; steal by K. Towns),,62-68,,
9:05.0,,,62-68,,A. Wiggins misses 3-pt shot from 25 ft
9:04.0,Defensive rebound by N. Jokic,,62-68,,
8:48.0,N. Jokic misses 3-pt shot from 25 ft,,62-68,,
8:46.0,,,62-68,,Defensive rebound by K. Dunn
8:39.0,,,62-68,,K. Towns misses 2-pt shot from 5 ft
8:38.0,Defensive rebound by D. Gallinari,,62-68,,
8:35.0,,,62-68,,Personal foul by K. Dunn (drawn by D. Gallinari)
8:24.0,D. Gallinari makes 3-pt shot from 25 ft (assist by G. Harris),3,65-68,,
8:02.0,,,65-70,2,K. Towns makes 2-pt shot from 16 ft (assist by A. Wiggins)
7:44.0,N. Jokic makes 2-pt shot from 7 ft (assist by D. Gallinari),2,67-70,,
7:28.0,,,67-70,,Offensive foul by K. Towns
7:28.0,,,67-70,,Turnover by K. Towns (offensive foul)
7:09.0,J. Nelson makes 2-pt shot from 2 ft (assist by G. Harris),2,69-70,,
6:53.0,,,69-70,,Turnover by A. Wiggins (lost ball; steal by N. Jokic)
6:48.0,Turnover by N. Jokic (bad pass; steal by K. Dunn),,69-70,,
6:43.0,,,69-72,2,K. Towns makes 2-pt shot at rim (assist by A. Wiggins)
6:16.0,N. Jokic makes 2-pt shot from 10 ft,2,71-72,,
5:55.0,,,71-72,,K. Towns misses 2-pt shot from 1 ft (block by N. Jokic)
5:55.0,,,71-72,,Offensive rebound by Team
5:55.0,,,71-72,,Minnesota full timeout
5:55.0,Jump ball: N. Jokic vs. K. Towns (A. Wiggins gains possession),,,,Jump ball: N. Jokic vs. K. Towns (A. Wiggins gains possession)
5:45.0,,,71-72,,A. Wiggins misses 2-pt shot from 19 ft
5:44.0,Defensive rebound by D. Gallinari,,71-72,,
5:31.0,,,71-72,,Personal foul by A. Wiggins (drawn by N. Jokic)
5:31.0,,,71-72,,S. Muhammad enters the game for Z. LaVine
5:19.0,,,71-72,,Personal foul by A. Wiggins (drawn by D. Gallinari)
5:12.0,J. Nelson misses 3-pt shot from 25 ft,,71-72,,
5:11.0,Offensive rebound by D. Gallinari,,71-72,,
5:09.0,D. Gallinari misses 2-pt shot from 3 ft (block by K. Towns),,71-72,,
5:08.0,Offensive rebound by N. Jokic,,71-72,,
5:07.0,N. Jokic misses 2-pt shot at rim,,71-72,,
5:06.0,,,71-72,,Defensive rebound by K. Towns
4:53.0,,,71-74,2,S. Muhammad makes 2-pt shot from 7 ft
4:40.0,Shooting foul by A. Wiggins (drawn by D. Gallinari),,71-74,,
4:40.0,D. Gallinari makes free throw 1 of 2,1,72-74,,
4:40.0,D. Gallinari makes free throw 2 of 2,1,73-74,,
4:40.0,W. Barton enters the game for G. Harris,,72-74,,
4:40.0,W. Chandler enters the game for K. Faried,,72-74,,
4:27.0,,,73-74,,Turnover by S. Muhammad (lost ball; steal by N. Jokic)
4:26.0,,,73-74,,Violation by G. Dieng (kicked ball)
4:15.0,Turnover by J. Nelson (traveling),,73-74,,
4:15.0,,,73-74,,N. Bjelica enters the game for G. Dieng
4:01.0,,,73-76,2,K. Towns makes 2-pt shot from 15 ft (assist by K. Dunn)
3:38.0,Shooting foul by K. Dunn (drawn by J. Nelson),,73-76,,
3:38.0,J. Nelson misses free throw 1 of 2,,73-76,,
3:38.0,Offensive rebound by Team,,73-76,,
3:38.0,J. Nelson makes free throw 2 of 2,1,74-76,,
3:33.0,Personal foul by N. Jokic (drawn by K. Towns),,74-76,,
3:16.0,,,74-78,2,K. Towns makes 2-pt shot from 16 ft (assist by S. Muhammad)
2:58.0,N. Jokic misses 2-pt shot from 2 ft (block by K. Towns),,74-78,,
2:56.0,,,74-78,,Defensive rebound by K. Towns
2:53.0,,,74-78,,Shooting foul by J. Nelson (drawn by K. Towns)
2:53.0,Denver full timeout,,74-78,,
2:53.0,,,74-78,,K. Towns misses free throw 1 of 2
2:53.0,,,74-78,,Offensive rebound by Team
2:53.0,,,74-79,1,K. Towns makes free throw 2 of 2
2:53.0,D. Arthur enters the game for N. Jokic,,74-78,,
2:53.0,J. Murray enters the game for J. Nelson,,74-78,,
2:39.0,D. Gallinari misses 2-pt shot from 16 ft,,74-79,,
2:38.0,,,74-79,,Defensive rebound by K. Towns
2:24.0,,,74-79,,K. Towns misses 2-pt shot from 23 ft
2:23.0,Defensive rebound by J. Murray,,74-79,,
2:14.0,W. Chandler makes 3-pt shot from 26 ft (assist by D. Gallinari),3,77-79,,
1:52.0,,,77-79,,K. Dunn misses 2-pt shot from 10 ft
1:50.0,,,77-79,,Offensive rebound by K. Dunn
1:50.0,,,77-79,,K. Dunn misses 2-pt shot from 2 ft
1:49.0,,,77-79,,Offensive rebound by N. Bjelica
1:49.0,,,77-79,,N. Bjelica misses 2-pt shot from 1 ft
1:48.0,Defensive rebound by J. Murray,,77-79,,
1:28.0,W. Chandler makes 2-pt shot from 9 ft,2,79-79,,
1:07.0,,,79-82,3,S. Muhammad makes 3-pt shot from 25 ft (assist by K. Towns)
0:50.0,D. Arthur makes 3-pt shot from 24 ft (assist by W. Barton),3,82-82,,
0:32.0,,,82-84,2,A. Wiggins makes 2-pt shot from 15 ft
0:14.0,J. Murray makes 2-pt shot from 20 ft,2,84-84,,
0:03.0,,,84-84,,A. Wiggins misses 3-pt shot from 25 ft
0:02.0,Defensive rebound by J. Murray,,84-84,,
0:00.0,J. Murray misses 3-pt shot from 65 ft,,84-84,,
0:00.0,Offensive rebound by Team,,84-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,D. Arthur misses 2-pt shot from 2 ft (block by G. Dieng),,84-84,,
11:41.0,Offensive rebound by J. Murray,,84-84,,
11:36.0,W. Chandler misses 3-pt shot from 26 ft,,84-84,,
11:35.0,Offensive rebound by D. Arthur,,84-84,,
11:31.0,J. Murray makes 2-pt shot from 16 ft (assist by D. Arthur),2,86-84,,
11:04.0,,,86-84,,Z. LaVine misses 3-pt shot from 28 ft
11:04.0,,,86-84,,Offensive rebound by Team
11:04.0,,,86-84,,Turnover by Team (shot clock)
10:54.0,,,86-84,,Personal foul by N. Bjelica (drawn by W. Chandler)
10:44.0,W. Chandler makes 2-pt shot from 21 ft (assist by W. Barton),2,88-84,,
10:43.0,,,88-84,,Minnesota full timeout
10:31.0,,,88-86,2,T. Jones makes 2-pt shot from 5 ft
10:19.0,Turnover by W. Chandler (traveling),,88-86,,
10:07.0,,,88-89,3,T. Jones makes 3-pt shot from 25 ft
9:49.0,G. Harris makes 3-pt shot from 23 ft (assist by D. Arthur),3,91-89,,
9:33.0,,,91-89,,Shooting foul by J. Murray (drawn by N. Bjelica)
9:33.0,,,91-90,1,N. Bjelica makes free throw 1 of 2
9:33.0,,,91-91,1,N. Bjelica makes free throw 2 of 2
9:33.0,,,91-90,,K. Towns enters the game for G. Dieng
9:19.0,J. Murray misses 2-pt shot from 17 ft,,91-91,,
9:18.0,,,91-91,,Defensive rebound by Z. LaVine
9:18.0,Personal foul by D. Arthur (drawn by Z. LaVine),,91-91,,
9:05.0,,,91-91,,K. Towns misses 2-pt shot from 17 ft (block by D. Arthur)
9:04.0,Defensive rebound by G. Harris,,91-91,,
8:48.0,W. Chandler makes 2-pt shot from 20 ft,2,93-91,,
8:32.0,,,93-91,,T. Jones misses 2-pt shot from 11 ft
8:30.0,Defensive rebound by W. Chandler,,93-91,,
8:28.0,,,93-91,,Personal foul by N. Bjelica (drawn by W. Chandler)
8:28.0,,,93-91,,A. Wiggins enters the game for N. Bjelica
8:22.0,W. Chandler misses 2-pt shot from 7 ft,,93-91,,
8:21.0,,,93-91,,Defensive rebound by A. Wiggins
8:20.0,Personal foul by W. Chandler (drawn by A. Wiggins),,93-91,,
8:07.0,,,93-91,,Turnover by K. Towns (traveling)
7:54.0,Turnover by J. Murray (lost ball; steal by T. Jones),,93-91,,
7:51.0,,,93-91,,Turnover by S. Muhammad (lost ball; steal by J. Murray)
7:47.0,D. Arthur makes 2-pt shot at rim (assist by J. Murray),2,95-91,,
7:30.0,,,95-91,,Turnover by A. Wiggins (traveling)
7:11.0,J. Murray misses 2-pt shot from 3 ft,,95-91,,
7:10.0,,,95-91,,Defensive rebound by A. Wiggins
7:03.0,,,95-91,,A. Wiggins misses 2-pt shot from 1 ft (block by D. Arthur)
7:01.0,Defensive rebound by D. Arthur,,95-91,,
6:57.0,G. Harris makes 3-pt shot from 25 ft (assist by W. Barton),3,98-91,,
6:56.0,,,98-91,,Minnesota full timeout
6:40.0,,,98-91,,K. Towns misses 2-pt shot from 1 ft (block by D. Arthur)
6:39.0,Defensive rebound by G. Harris,,98-91,,
6:32.0,W. Chandler misses 2-pt shot from 1 ft,,98-91,,
6:31.0,,,98-91,,Defensive rebound by Z. LaVine
6:24.0,,,98-91,,Z. LaVine misses 2-pt shot from 23 ft
6:23.0,Defensive rebound by W. Chandler,,98-91,,
6:06.0,D. Arthur makes 2-pt shot from 14 ft (assist by J. Murray),2,100-91,,
5:40.0,,,100-91,,Shooting foul by D. Arthur (drawn by K. Towns)
5:40.0,,,100-92,1,K. Towns makes free throw 1 of 2
5:40.0,,,100-93,1,K. Towns makes free throw 2 of 2
5:40.0,,,100-92,,K. Dunn enters the game for Z. LaVine
5:27.0,D. Arthur misses 3-pt shot from 26 ft,,100-93,,
5:26.0,,,100-93,,Defensive rebound by S. Muhammad
5:09.0,,,100-93,,T. Jones misses 2-pt shot from 1 ft (block by W. Barton)
5:07.0,,,100-93,,Offensive rebound by S. Muhammad
5:02.0,,,100-93,,A. Wiggins misses 2-pt shot from 18 ft
5:01.0,Defensive rebound by W. Barton,,100-93,,
4:54.0,Turnover by W. Barton (lost ball; steal by A. Wiggins),,100-93,,
4:50.0,,,100-95,2,A. Wiggins makes 2-pt shot from 1 ft
4:50.0,Denver full timeout,,100-95,,
4:50.0,J. Nelson enters the game for J. Murray,,100-95,,
4:50.0,D. Gallinari enters the game for W. Barton,,100-95,,
4:50.0,N. Jokic enters the game for D. Arthur,,100-95,,
4:37.0,G. Harris makes 2-pt shot from 2 ft,2,102-95,,
4:27.0,,,102-95,,Shooting foul by N. Jokic (drawn by A. Wiggins)
4:27.0,,,102-96,1,A. Wiggins makes free throw 1 of 2
4:27.0,,,102-97,1,A. Wiggins makes free throw 2 of 2
4:20.0,,,102-97,,Personal foul by K. Towns (drawn by N. Jokic)
4:18.0,Turnover by N. Jokic (lost ball),,102-97,,
4:03.0,,,102-99,2,A. Wiggins makes 2-pt shot from 22 ft (assist by K. Towns)
3:44.0,G. Harris misses 3-pt shot from 25 ft,,102-99,,
3:44.0,Offensive rebound by N. Jokic,,102-99,,
3:44.0,,,102-99,,Personal foul by K. Towns (drawn by N. Jokic)
3:40.0,D. Gallinari misses 3-pt shot from 26 ft,,102-99,,
3:39.0,,,102-99,,Defensive rebound by K. Towns
3:18.0,,,102-101,2,K. Towns makes 2-pt shot from 1 ft
3:05.0,G. Harris misses 2-pt shot from 1 ft (block by T. Jones),,102-101,,
3:04.0,,,102-101,,Defensive rebound by K. Dunn
3:01.0,,,102-103,2,S. Muhammad makes 2-pt shot from 1 ft (assist by K. Dunn)
3:00.0,Denver full timeout,,102-103,,
2:52.0,Shooting foul by A. Wiggins (drawn by D. Gallinari),,102-103,,
2:52.0,D. Gallinari makes free throw 1 of 2,1,103-103,,
2:52.0,D. Gallinari makes free throw 2 of 2,1,104-103,,
2:34.0,,,104-103,,S. Muhammad misses 2-pt shot from 8 ft
2:33.0,Defensive rebound by D. Gallinari,,104-103,,
2:23.0,N. Jokic misses 3-pt shot from 24 ft,,104-103,,
2:22.0,,,104-103,,Defensive rebound by A. Wiggins
2:13.0,,,104-103,,A. Wiggins misses 2-pt shot from 1 ft (block by W. Chandler)
2:12.0,Defensive rebound by D. Gallinari,,104-103,,
2:02.0,D. Gallinari misses 2-pt shot from 20 ft,,104-103,,
2:01.0,,,104-103,,Defensive rebound by K. Dunn
1:53.0,,,104-106,3,A. Wiggins makes 3-pt shot from 26 ft (assist by K. Dunn)
1:36.0,N. Jokic makes 2-pt shot from 4 ft,2,106-106,,
1:20.0,,,106-106,,T. Jones misses 2-pt shot from 2 ft
1:19.0,Defensive rebound by J. Nelson,,106-106,,
1:14.0,J. Nelson misses 3-pt shot from 24 ft,,106-106,,
