time,Portland,pts.away,score,pts.home,Denver
4:14.0,D. Lillard makes 2-pt shot from 2 ft,2,40-63,,
4:02.0,,,40-65,2,D. Gallinari makes 2-pt shot from 2 ft
3:47.0,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee),2,42-65,,
3:42.0,A. Crabbe enters the game for E. Turner,,42-65,,
3:36.0,,,42-65,,Turnover by E. Mudiay (lost ball; steal by M. Plumlee)
3:31.0,M. Plumlee makes 2-pt shot from 1 ft (assist by M. Harkless),2,44-65,,
3:14.0,,,44-65,,J. Murray misses 2-pt shot from 6 ft
3:13.0,Defensive rebound by D. Lillard,,44-65,,
3:09.0,Turnover by M. Harkless (traveling),,44-65,,
3:09.0,,,44-65,,W. Chandler enters the game for J. Murray
2:55.0,,,44-67,2,N. Jokic makes 2-pt shot from 1 ft (assist by D. Gallinari)
2:48.0,,,44-67,,Personal foul by N. Jokic (drawn by D. Lillard)
2:48.0,,,44-67,,Denver full timeout
2:48.0,D. Lillard makes free throw 1 of 2,1,45-67,,
2:48.0,D. Lillard makes free throw 2 of 2,1,46-67,,
2:34.0,,,46-69,2,D. Gallinari makes 2-pt shot at rim (assist by N. Jokic)
2:22.0,D. Lillard makes 2-pt shot from 17 ft,2,48-69,,
2:11.0,,,48-71,2,G. Harris makes 2-pt shot from 2 ft (assist by N. Jokic)
2:02.0,M. Plumlee misses 2-pt shot from 2 ft,,48-71,,
2:01.0,Offensive rebound by M. Plumlee,,48-71,,
2:00.0,M. Plumlee makes 2-pt shot from 1 ft,2,50-71,,
2:00.0,Shooting foul by N. Jokic (drawn by M. Plumlee),,50-71,,
2:00.0,M. Plumlee misses free throw 1 of 1,,50-71,,
1:56.0,,,50-71,,Defensive rebound by D. Gallinari
1:39.0,,,50-71,,Shooting foul by A. Crabbe (drawn by N. Jokic)
1:39.0,,,50-71,,N. Jokic misses free throw 1 of 2
1:39.0,,,50-71,,Offensive rebound by Team
1:39.0,,,50-72,1,N. Jokic makes free throw 2 of 2
1:39.0,,,50-71,,W. Barton enters the game for G. Harris
1:39.0,N. Vonleh enters the game for A. Crabbe,,50-71,,
1:20.0,D. Lillard misses 3-pt shot from 24 ft,,50-72,,
1:19.0,Offensive rebound by M. Plumlee,,50-72,,
1:18.0,M. Plumlee makes 2-pt shot from 1 ft,2,52-72,,
1:09.0,,,52-72,,N. Jokic misses 2-pt shot from 21 ft
1:08.0,Defensive rebound by D. Lillard,,52-72,,
1:06.0,,,52-72,,Personal take foul by N. Jokic (drawn by D. Lillard)
1:06.0,D. Lillard makes free throw 1 of 2,1,53-72,,
1:06.0,D. Lillard makes free throw 2 of 2,1,54-72,,
1:06.0,,,53-72,,K. Faried enters the game for N. Jokic
0:52.0,,,54-72,,Turnover by W. Chandler (traveling)
0:33.0,D. Lillard misses 2-pt shot from 2 ft,,54-72,,
0:32.0,Offensive rebound by Team,,54-72,,
0:32.0,Portland full timeout,,54-72,,
0:14.0,C. McCollum makes 2-pt shot from 18 ft,2,56-72,,
0:11.0,,,56-72,,Denver full timeout
0:11.0,E. Turner enters the game for C. McCollum,,56-72,,
0:01.0,,,56-74,2,D. Gallinari makes 2-pt shot from 20 ft
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:38.0,M. Harkless misses 3-pt shot from 26 ft,,56-74,,
11:37.0,,,56-74,,Defensive rebound by Team
11:27.0,,,56-76,2,G. Harris makes 2-pt shot at rim (assist by N. Jokic)
11:27.0,,,56-76,,Shooting foul by C. McCollum (drawn by G. Harris)
11:27.0,,,56-77,1,G. Harris makes free throw 1 of 1
11:11.0,M. Harkless misses 2-pt shot from 6 ft,,56-77,,
11:06.0,Offensive rebound by N. Vonleh,,56-77,,
11:06.0,N. Vonleh misses 2-pt shot from 2 ft,,56-77,,
11:04.0,Offensive rebound by M. Harkless,,56-77,,
11:01.0,D. Lillard makes 2-pt shot from 4 ft,2,58-77,,
10:51.0,,,58-77,,D. Gallinari misses 3-pt shot from 25 ft
10:51.0,Defensive rebound by N. Vonleh,,58-77,,
10:35.0,C. McCollum makes 2-pt shot from 14 ft (assist by M. Plumlee),2,60-77,,
10:18.0,,,60-79,2,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic)
10:18.0,,,60-79,,Shooting foul by N. Vonleh (drawn by W. Chandler)
10:18.0,,,60-79,,W. Chandler misses free throw 1 of 1
10:16.0,,,60-79,,Offensive rebound by W. Chandler
10:10.0,,,60-81,2,N. Jokic makes 2-pt shot from 7 ft (assist by D. Gallinari)
10:10.0,Shooting block foul by N. Vonleh (drawn by N. Jokic),,60-81,,
10:10.0,,,60-82,1,N. Jokic makes free throw 1 of 1
9:57.0,D. Lillard makes 2-pt shot from 22 ft (assist by M. Plumlee),2,62-82,,
9:45.0,,,62-82,,W. Chandler misses 3-pt shot from 25 ft
9:45.0,Defensive rebound by C. McCollum,,62-82,,
9:36.0,C. McCollum misses 3-pt shot from 24 ft,,62-82,,
9:35.0,,,62-82,,Defensive rebound by D. Gallinari
9:29.0,,,62-82,,W. Chandler misses 3-pt shot from 23 ft
9:28.0,Defensive rebound by N. Vonleh,,62-82,,
9:14.0,N. Vonleh makes 2-pt shot from 4 ft (assist by D. Lillard),2,64-82,,
9:03.0,,,64-82,,Offensive charge foul by E. Mudiay
9:03.0,,,64-82,,Turnover by E. Mudiay (offensive foul)
8:54.0,Shooting foul by N. Jokic (drawn by M. Plumlee),,64-82,,
8:54.0,M. Plumlee misses free throw 1 of 2,,64-82,,
8:54.0,Offensive rebound by Team,,64-82,,
8:54.0,M. Plumlee makes free throw 2 of 2,1,65-82,,
8:54.0,,,64-82,,K. Faried enters the game for N. Jokic
