time,Phoenix,pts.away,score,pts.home,Portland
9:14.0,J. Dudley misses 2-pt shot from 1 ft (block by M. Harkless),,25-45,,
9:14.0,,,25-45,,Defensive rebound by A. Aminu
9:07.0,,,25-48,3,E. Turner makes 3-pt shot from 25 ft
8:53.0,D. Jones misses 2-pt shot from 20 ft,,25-48,,
8:51.0,,,25-48,,Defensive rebound by C. McCollum
8:47.0,,,25-48,,Shooting foul by T. Ulis
8:47.0,Official timeout,,25-48,,
8:47.0,,,25-49,1,C. McCollum makes free throw 1 of 2
8:47.0,,,25-50,1,C. McCollum makes free throw 2 of 2
8:47.0,M. Chriss enters the game for A. Williams,,25-48,,
8:47.0,D. Booker enters the game for R. Price,,25-48,,
8:27.0,Shooting foul by M. Harkless (drawn by M. Chriss),,25-50,,
8:27.0,M. Chriss makes free throw 1 of 2,1,26-50,,
8:27.0,M. Chriss makes free throw 2 of 2,1,27-50,,
8:27.0,T. Warren enters the game for J. Dudley,,26-50,,
8:14.0,,,27-50,,A. Crabbe misses 2-pt shot from 23 ft
8:13.0,Defensive rebound by D. Jones,,27-50,,
7:58.0,M. Chriss makes 2-pt shot from 20 ft (assist by D. Booker),2,29-50,,
7:41.0,,,29-50,,C. McCollum misses 2-pt shot at rim
7:40.0,,,29-50,,Offensive rebound by A. Aminu
7:40.0,,,29-52,2,A. Aminu makes 2-pt shot at rim
7:32.0,D. Booker makes 2-pt shot from 10 ft,2,31-52,,
7:32.0,Shooting foul by M. Harkless (drawn by D. Booker),,31-52,,
7:32.0,D. Booker makes free throw 1 of 1,1,32-52,,
7:32.0,,,31-52,,D. Lillard enters the game for C. McCollum
7:19.0,,,32-52,,E. Turner misses 2-pt shot from 1 ft
7:19.0,,,32-52,,Offensive rebound by M. Harkless
7:18.0,,,32-54,2,M. Harkless makes 2-pt shot at rim
7:01.0,M. Chriss makes 2-pt shot from 6 ft,2,34-54,,
6:39.0,,,34-54,,A. Aminu misses 3-pt shot from 24 ft
6:38.0,Defensive rebound by M. Chriss,,34-54,,
6:28.0,D. Booker makes 2-pt shot from 3 ft (assist by T. Ulis),2,36-54,,
6:11.0,,,36-57,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard)
5:58.0,Turnover by D. Booker (bad pass; steal by A. Aminu),,36-57,,
5:55.0,,,36-57,,Offensive charge foul by A. Aminu
5:55.0,,,36-57,,Turnover by A. Aminu (offensive foul)
5:55.0,,,36-57,,Portland full timeout
5:55.0,,,36-57,,N. Vonleh enters the game for A. Aminu
5:41.0,D. Booker makes 2-pt shot from 14 ft,2,38-57,,
5:25.0,,,38-57,,Turnover by M. Harkless (bad pass; steal by D. Jones)
5:20.0,Turnover by M. Chriss (lost ball; steal by N. Vonleh),,38-57,,
5:08.0,,,38-57,,Turnover by M. Harkless (lost ball)
4:52.0,D. Jones makes 2-pt shot from 2 ft (assist by T. Warren),2,40-57,,
4:29.0,,,40-57,,M. Harkless misses 2-pt shot from 3 ft (block by T. Warren)
4:28.0,Defensive rebound by M. Chriss,,40-57,,
4:23.0,Turnover by D. Booker (bad pass; steal by E. Turner),,40-57,,
4:18.0,,,40-57,,A. Crabbe misses 3-pt shot from 26 ft
4:17.0,Defensive rebound by T. Ulis,,40-57,,
4:12.0,T. Ulis makes 2-pt shot from 18 ft,2,42-57,,
3:52.0,,,42-57,,D. Lillard misses 3-pt shot from 25 ft
3:51.0,Defensive rebound by D. Booker,,42-57,,
3:40.0,M. Chriss makes 2-pt shot from 18 ft (assist by D. Booker),2,44-57,,
3:40.0,,,44-57,,Portland full timeout
3:40.0,,,44-57,,C. McCollum enters the game for A. Crabbe
3:40.0,,,44-57,,S. Napier enters the game for E. Turner
3:24.0,,,44-57,,C. McCollum misses 2-pt shot from 3 ft
3:23.0,Defensive rebound by T. Warren,,44-57,,
3:04.0,D. Booker makes 2-pt shot from 16 ft,2,46-57,,
2:37.0,,,46-59,2,C. McCollum makes 2-pt shot from 4 ft
2:20.0,Turnover by D. Booker (lost ball; steal by S. Napier),,46-59,,
2:02.0,,,46-59,,M. Harkless misses 2-pt shot from 7 ft
2:01.0,,,46-59,,Offensive rebound by N. Vonleh
1:57.0,,,46-61,2,N. Vonleh makes 2-pt shot from 2 ft
1:56.0,Phoenix full timeout,,46-61,,
1:56.0,,,46-61,,M. Leonard enters the game for M. Harkless
1:39.0,M. Chriss makes 3-pt shot from 25 ft (assist by D. Booker),3,49-61,,
1:16.0,,,49-61,,D. Lillard misses 3-pt shot from 25 ft
1:16.0,Defensive rebound by Team,,49-61,,
1:16.0,,,49-61,,Loose ball foul by M. Leonard (drawn by M. Chriss)
1:04.0,T. Ulis misses 2-pt shot from 12 ft,,49-61,,
1:01.0,Offensive rebound by M. Chriss,,49-61,,
1:01.0,M. Chriss makes 2-pt shot at rim,2,51-61,,
0:46.0,,,51-61,,C. McCollum misses 2-pt shot from 18 ft
0:46.0,Defensive rebound by D. Jones,,51-61,,
0:43.0,T. Warren makes 2-pt shot from 3 ft (assist by T. Ulis),2,53-61,,
0:43.0,,,53-61,,Portland full timeout
0:43.0,,,53-61,,A. Crabbe enters the game for M. Leonard
0:32.0,,,53-61,,Shooting foul by T. Ulis (drawn by D. Lillard)
0:32.0,,,53-62,1,D. Lillard makes free throw 1 of 2
0:32.0,,,53-63,1,D. Lillard makes free throw 2 of 2
0:32.0,,,53-62,,M. Harkless enters the game for S. Napier
0:20.0,D. Booker misses 3-pt shot from 25 ft,,53-63,,
0:18.0,,,53-63,,Defensive rebound by A. Crabbe
0:02.0,,,53-63,,A. Crabbe misses 3-pt shot from 23 ft
0:01.0,,,53-63,,Offensive rebound by N. Vonleh
0:01.0,,,53-63,,N. Vonleh misses 2-pt shot from 1 ft
0:00.0,Defensive rebound by D. Jones,,53-63,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:50.0,,,53-63,,Turnover by C. McCollum (bad pass; steal by D. Booker)
11:48.0,D. Booker makes 2-pt shot from 1 ft,2,55-63,,
11:31.0,,,55-66,3,C. McCollum makes 3-pt shot from 25 ft (assist by M. Harkless)
11:15.0,Offensive foul by A. Len,,55-66,,
11:15.0,Turnover by A. Len (offensive foul),,55-66,,
11:01.0,,,55-69,3,D. Lillard makes 3-pt shot from 24 ft
10:53.0,,,55-69,,Violation by M. Leonard (kicked ball)
10:47.0,T. Warren misses 2-pt shot from 5 ft,,55-69,,
10:47.0,,,55-69,,Defensive rebound by M. Leonard
10:36.0,Personal foul by T. Ulis (drawn by D. Lillard),,55-69,,
10:32.0,,,55-72,3,D. Lillard makes 3-pt shot from 24 ft
10:13.0,A. Len misses 2-pt shot from 5 ft,,55-72,,
10:13.0,,,55-72,,Defensive rebound by N. Vonleh
10:02.0,,,55-72,,D. Lillard misses 3-pt shot from 28 ft
10:01.0,Defensive rebound by M. Chriss,,55-72,,
9:54.0,Shooting foul by N. Vonleh (drawn by D. Booker),,55-72,,
9:54.0,D. Booker makes free throw 1 of 2,1,56-72,,
9:54.0,D. Booker makes free throw 2 of 2,1,57-72,,
9:35.0,,,57-72,,M. Leonard misses 2-pt shot from 18 ft
9:34.0,,,57-72,,Offensive rebound by C. McCollum
9:31.0,,,57-74,2,N. Vonleh makes 2-pt shot from 1 ft (assist by C. McCollum)
9:18.0,,,57-74,,Personal foul by N. Vonleh (drawn by M. Chriss)
9:11.0,D. Booker makes 2-pt shot from 16 ft,2,59-74,,
8:59.0,,,59-74,,C. McCollum misses 2-pt shot from 13 ft
8:58.0,Defensive rebound by T. Ulis,,59-74,,
8:49.0,D. Booker misses 3-pt shot from 26 ft,,59-74,,
8:49.0,Offensive rebound by M. Chriss,,59-74,,
8:46.0,M. Chriss makes 2-pt shot at rim,2,61-74,,
8:35.0,Personal foul by A. Len (drawn by M. Harkless),,61-74,,
8:28.0,,,61-74,,D. Lillard misses 2-pt shot from 2 ft (block by A. Len)
8:28.0,,,61-74,,Offensive rebound by Team
8:25.0,,,61-74,,Shooting foul by T. Warren (drawn by M. Harkless)
8:25.0,,,61-75,1,M. Harkless makes free throw 1 of 2
8:25.0,,,61-76,1,M. Harkless makes free throw 2 of 2
8:13.0,D. Booker misses 2-pt shot from 18 ft,,61-76,,
8:12.0,,,61-76,,Defensive rebound by D. Lillard
8:05.0,,,61-76,,Turnover by D. Lillard (lost ball; steal by D. Booker)
8:00.0,M. Chriss makes 2-pt shot from 2 ft (assist by D. Booker),2,63-76,,
7:36.0,,,63-79,3,M. Leonard makes 3-pt shot from 25 ft (assist by C. McCollum)
7:23.0,Shooting foul by M. Harkless (drawn by A. Len),,63-79,,
7:23.0,A. Len makes 2-pt shot from 2 ft (assist by D. Booker),2,65-79,,
7:23.0,A. Len makes free throw 1 of 1,1,66-79,,
7:10.0,,,66-81,2,D. Lillard makes 2-pt shot from 1 ft
7:03.0,Offensive foul by T. Ulis,,66-81,,
7:03.0,Turnover by T. Ulis (offensive foul),,66-81,,
6:47.0,,,66-81,,M. Leonard misses 3-pt shot from 24 ft
6:46.0,Defensive rebound by T. Warren,,66-81,,
6:40.0,T. Ulis misses 3-pt shot from 24 ft,,66-81,,
6:39.0,Offensive rebound by A. Len,,66-81,,
6:37.0,A. Len makes 2-pt shot from 2 ft,2,68-81,,
6:37.0,Shooting foul by M. Leonard (drawn by A. Len),,68-81,,
6:37.0,A. Len makes free throw 1 of 1,1,69-81,,
6:37.0,D. Jones enters the game for T. Ulis,,68-81,,
6:11.0,,,69-81,,Turnover by C. McCollum (lost ball; steal by D. Jones)
6:08.0,Turnover by M. Chriss (offensive goaltending),,69-81,,
5:57.0,,,69-84,3,D. Lillard makes 3-pt shot from 28 ft
5:57.0,,,69-84,,Shooting foul by D. Jones (drawn by D. Lillard)
5:57.0,,,69-84,,Portland full timeout
5:57.0,,,69-85,1,D. Lillard makes free throw 1 of 1
5:57.0,,,69-84,,A. Crabbe enters the game for M. Harkless
5:46.0,Shooting foul by D. Lillard (drawn by D. Booker),,69-85,,
5:46.0,D. Booker misses free throw 1 of 3,,69-85,,
5:46.0,Offensive rebound by Team,,69-85,,
5:46.0,D. Booker makes free throw 2 of 3,1,70-85,,
5:46.0,D. Booker makes free throw 3 of 3,1,71-85,,
5:33.0,,,71-85,,D. Lillard misses 3-pt shot from 29 ft
5:33.0,Defensive rebound by M. Chriss,,71-85,,
5:19.0,T. Warren misses 2-pt shot from 9 ft,,71-85,,
5:18.0,Offensive rebound by A. Len,,71-85,,
5:17.0,A. Len makes 2-pt shot at rim,2,73-85,,
5:04.0,,,73-87,2,C. McCollum makes 2-pt shot from 14 ft
5:04.0,,,73-87,,Shooting foul by T. Warren (drawn by C. McCollum)
5:04.0,,,73-88,1,C. McCollum makes free throw 1 of 1
5:04.0,,,73-87,,A. Aminu enters the game for N. Vonleh
4:46.0,T. Warren makes 2-pt shot from 10 ft,2,75-88,,
4:32.0,,,75-88,,M. Leonard misses 3-pt shot from 23 ft
4:31.0,Defensive rebound by M. Chriss,,75-88,,
4:18.0,A. Len makes 2-pt shot from 1 ft (assist by D. Booker),2,77-88,,
4:02.0,,,77-88,,A. Crabbe misses 3-pt shot from 24 ft
4:01.0,Defensive rebound by A. Len,,77-88,,
3:50.0,D. Booker misses 2-pt shot from 6 ft,,77-88,,
3:49.0,Offensive rebound by A. Len,,77-88,,
3:49.0,A. Len makes 2-pt shot at rim,2,79-88,,
3:35.0,,,79-88,,D. Lillard misses 2-pt shot from 1 ft (block by A. Len)
3:35.0,,,79-88,,Offensive rebound by Team
3:35.0,,,79-88,,E. Turner enters the game for C. McCollum
3:28.0,,,79-88,,Turnover by D. Lillard (bad pass)
3:17.0,D. Booker misses 2-pt shot from 4 ft,,79-88,,
3:16.0,,,79-88,,Defensive rebound by M. Leonard
3:06.0,,,79-88,,D. Lillard misses 3-pt shot from 24 ft
3:05.0,Defensive rebound by A. Len,,79-88,,
2:57.0,M. Chriss misses 2-pt shot from 4 ft,,79-88,,
2:56.0,,,79-88,,Defensive rebound by A. Crabbe
2:46.0,,,79-88,,A. Aminu misses 3-pt shot from 23 ft
2:45.0,,,79-88,,Offensive rebound by Team
2:45.0,Loose ball foul by D. Jones (drawn by D. Lillard),,79-88,,
2:45.0,Technical foul by T. Warren,,79-88,,
2:45.0,Phoenix full timeout,,79-88,,
2:45.0,,,79-89,1,D. Lillard makes technical free throw
2:45.0,,,79-90,1,D. Lillard makes free throw 1 of 2
2:45.0,,,79-91,1,D. Lillard makes free throw 2 of 2
2:45.0,,,79-88,,M. Harkless enters the game for M. Leonard
2:33.0,T. Warren misses 2-pt shot from 16 ft,,79-91,,
2:32.0,,,79-91,,Defensive rebound by M. Harkless
2:13.0,,,79-91,,A. Aminu misses 2-pt shot from 3 ft
2:13.0,Defensive rebound by M. Chriss,,79-91,,
2:03.0,Turnover by D. Booker (bad pass; steal by A. Aminu),,79-91,,
1:57.0,,,79-91,,Shooting foul by D. Jones (drawn by A. Aminu)
1:57.0,,,79-92,1,A. Aminu makes free throw 1 of 2
1:57.0,,,79-92,,A. Aminu misses free throw 2 of 2
1:57.0,Defensive rebound by M. Chriss,,79-92,,
1:57.0,J. Dudley enters the game for A. Len,,79-92,,
1:57.0,R. Price enters the game for D. Jones,,79-92,,
1:38.0,Shooting foul by A. Crabbe (drawn by D. Booker),,79-92,,
1:38.0,D. Booker makes free throw 1 of 2,1,80-92,,
1:38.0,D. Booker makes free throw 2 of 2,1,81-92,,
1:15.0,,,81-92,,D. Lillard misses 3-pt shot from 25 ft
1:14.0,,,81-92,,Offensive rebound by D. Lillard
1:00.0,,,81-95,3,A. Crabbe makes 3-pt shot from 23 ft (assist by D. Lillard)
0:43.0,T. Warren makes 3-pt shot from 25 ft (assist by J. Dudley),3,84-95,,
0:34.0,,,84-95,,Turnover by D. Lillard (lost ball; steal by J. Dudley)
0:30.0,D. Booker misses 2-pt shot from 7 ft,,84-95,,
0:30.0,Offensive rebound by Team,,84-95,,
0:30.0,,,84-95,,Loose ball foul by M. Harkless (drawn by M. Chriss)
0:30.0,M. Chriss makes free throw 1 of 2,1,85-95,,
0:30.0,,,85-95,,Violation by Team (jump ball)
0:30.0,M. Chriss makes free throw 2 of 2,1,86-95,,
0:30.0,,,85-95,,N. Vonleh enters the game for M. Harkless
0:15.0,Personal foul by R. Price (drawn by D. Lillard),,86-95,,
0:15.0,,,86-96,1,D. Lillard makes free throw 1 of 2
0:15.0,,,86-97,1,D. Lillard makes free throw 2 of 2
0:00.0,D. Booker misses 2-pt shot from 1 ft,,86-97,,
0:00.0,Offensive rebound by T. Warren,,86-97,,
0:00.0,Shooting foul by A. Crabbe,,86-97,,
0:00.0,T. Warren makes free throw 1 of 2,1,87-97,,
0:00.0,T. Warren misses free throw 2 of 2,,87-97,,
0:00.0,,,87-97,,Defensive rebound by A. Aminu
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,J. Dudley makes 2-pt shot from 20 ft (assist by R. Price),2,89-97,,
11:25.0,,,89-97,,C. McCollum misses 2-pt shot from 10 ft
11:25.0,,,89-97,,Offensive rebound by N. Vonleh
11:24.0,,,89-99,2,N. Vonleh makes 2-pt shot at rim
11:07.0,J. Dudley misses 3-pt shot from 25 ft,,89-99,,
11:06.0,,,89-99,,Defensive rebound by C. McCollum
10:54.0,,,89-99,,E. Turner misses 3-pt shot from 24 ft
10:54.0,Defensive rebound by T. Ulis,,89-99,,
10:48.0,T. Warren makes 2-pt shot from 1 ft,2,91-99,,
10:30.0,,,91-99,,A. Crabbe misses 2-pt shot from 20 ft
10:29.0,Defensive rebound by T. Warren,,91-99,,
10:21.0,T. Warren makes 2-pt shot from 20 ft,2,93-99,,
10:12.0,Personal foul by R. Price,,93-99,,
10:03.0,,,93-99,,A. Aminu misses 3-pt shot from 23 ft
10:01.0,Defensive rebound by R. Price,,93-99,,
9:55.0,A. Williams makes 2-pt shot from 2 ft (assist by T. Ulis),2,95-99,,
9:36.0,,,95-99,,Shooting foul by J. Dudley (drawn by E. Turner)
9:36.0,,,95-100,1,E. Turner makes free throw 1 of 2
9:36.0,,,95-101,1,E. Turner makes free throw 2 of 2
9:23.0,T. Ulis misses 2-pt shot from 2 ft,,95-101,,
9:22.0,,,95-101,,Defensive rebound by A. Aminu
9:18.0,,,95-103,2,A. Aminu makes 2-pt shot at rim (assist by C. McCollum)
9:18.0,Phoenix full timeout,,95-103,,
9:18.0,D. Booker enters the game for T. Warren,,95-103,,
9:04.0,A. Williams misses 2-pt shot from 7 ft,,95-103,,
9:03.0,,,95-103,,Defensive rebound by E. Turner
8:48.0,,,95-103,,Shooting foul by D. Booker (drawn by E. Turner)
8:48.0,,,95-105,2,E. Turner makes 2-pt shot from 12 ft
8:48.0,,,95-106,1,E. Turner makes free throw 1 of 1
8:48.0,,,95-105,,D. Lillard enters the game for A. Crabbe
8:31.0,D. Booker misses 2-pt shot from 16 ft,,95-106,,
8:30.0,,,95-106,,Defensive rebound by C. McCollum
8:19.0,,,95-109,3,C. McCollum makes 3-pt shot from 24 ft (assist by E. Turner)
8:05.0,D. Booker misses 2-pt shot from 4 ft (block by E. Turner),,95-109,,
8:04.0,,,95-109,,Defensive rebound by N. Vonleh
8:01.0,Technical foul by Team,,95-109,,
8:01.0,,,95-110,1,C. McCollum makes technical free throw
8:01.0,D. Jones enters the game for J. Dudley,,95-110,,
8:01.0,M. Chriss enters the game for R. Price,,95-110,,
7:44.0,,,95-112,2,D. Lillard makes 2-pt shot from 4 ft
7:44.0,,,95-112,,Shooting foul by D. Booker (drawn by D. Lillard)
7:44.0,,,95-113,1,D. Lillard makes free throw 1 of 1
7:44.0,Phoenix full timeout,,95-113,,
7:44.0,T. Warren enters the game for A. Williams,,95-113,,
7:28.0,Shooting foul by A. Aminu,,95-113,,
7:28.0,T. Warren makes free throw 1 of 2,1,96-113,,
7:28.0,T. Warren makes free throw 2 of 2,1,97-113,,
7:08.0,,,97-113,,D. Lillard misses 3-pt shot from 25 ft
7:06.0,Defensive rebound by M. Chriss,,97-113,,
6:48.0,Turnover by D. Booker (lost ball; steal by E. Turner),,97-113,,
6:43.0,,,97-115,2,E. Turner makes 2-pt shot from 1 ft
6:37.0,D. Booker makes 2-pt shot from 1 ft,2,99-115,,
6:11.0,,,99-117,2,C. McCollum makes 2-pt shot at rim
6:03.0,Shooting foul by D. Lillard (drawn by T. Ulis),,99-117,,
6:03.0,T. Ulis makes free throw 1 of 2,1,100-117,,
6:03.0,T. Ulis makes free throw 2 of 2,1,101-117,,
6:03.0,A. Len enters the game for D. Jones,,100-117,,
5:50.0,,,101-119,2,E. Turner makes 2-pt shot from 9 ft
