time,Philadelphia,pts.away,score,pts.home,Charlotte
8:15.0,S. Rodriguez misses 3-pt shot from 24 ft,,7-7,,
8:14.0,,,7-7,,Defensive rebound by M. Kidd-Gilchrist
8:03.0,,,7-7,,Shooting foul by J. Okafor (drawn by K. Walker)
8:03.0,,,7-8,1,K. Walker makes free throw 1 of 2
8:03.0,,,7-9,1,K. Walker makes free throw 2 of 2
8:03.0,E. Ilyasova enters the game for J. Okafor,,7-8,,
7:45.0,Turnover by S. Rodriguez (bad pass; steal by N. Batum),,7-9,,
7:38.0,,,7-12,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
7:23.0,E. Ilyasova makes 3-pt shot from 24 ft (assist by S. Rodriguez),3,10-12,,
7:09.0,,,10-12,,M. Williams misses 3-pt shot from 26 ft
7:09.0,Defensive rebound by Team,,10-12,,
7:09.0,,,10-12,,Loose ball foul by C. Zeller (drawn by D. Saric)
6:57.0,S. Rodriguez misses 3-pt shot from 26 ft,,10-12,,
6:55.0,,,10-12,,Defensive rebound by M. Kidd-Gilchrist
6:45.0,,,10-12,,N. Batum misses 2-pt shot from 9 ft
6:44.0,,,10-12,,Offensive rebound by N. Batum
6:37.0,,,10-15,3,M. Williams makes 3-pt shot from 25 ft (assist by N. Batum)
6:25.0,G. Henderson makes 2-pt shot at rim (assist by D. Saric),2,12-15,,
6:03.0,,,12-15,,M. Williams misses 2-pt shot from 3 ft
6:02.0,Defensive rebound by G. Henderson,,12-15,,
5:50.0,E. Ilyasova misses 3-pt shot from 24 ft,,12-15,,
5:50.0,,,12-15,,Defensive rebound by Team
5:50.0,,,12-15,,Charlotte full timeout
5:50.0,J. Okafor enters the game for D. Saric,,12-15,,
5:50.0,T. McConnell enters the game for G. Henderson,,12-15,,
5:50.0,H. Thompson enters the game for S. Rodriguez,,12-15,,
5:36.0,,,12-15,,K. Walker misses 2-pt shot from 10 ft
5:35.0,Defensive rebound by H. Thompson,,12-15,,
5:19.0,H. Thompson misses 3-pt shot from 23 ft,,12-15,,
5:18.0,Offensive rebound by J. Okafor,,12-15,,
5:12.0,N. Stauskas makes 3-pt shot from 25 ft (assist by T. McConnell),3,15-15,,
4:54.0,,,15-17,2,K. Walker makes 2-pt shot from 20 ft
4:45.0,Turnover by T. McConnell (bad pass),,15-17,,
4:45.0,,,15-17,,F. Kaminsky enters the game for M. Kidd-Gilchrist
4:45.0,,,15-17,,M. Belinelli enters the game for M. Williams
4:32.0,,,15-20,3,F. Kaminsky makes 3-pt shot from 27 ft (assist by K. Walker)
4:09.0,J. Okafor makes 2-pt shot from 1 ft,2,17-20,,
3:56.0,,,17-20,,Turnover by K. Walker (bad pass)
3:44.0,N. Stauskas misses 2-pt shot from 1 ft,,17-20,,
3:43.0,,,17-20,,Defensive rebound by F. Kaminsky
3:32.0,,,17-20,,M. Belinelli misses 3-pt shot from 23 ft
3:30.0,,,17-20,,Offensive rebound by N. Batum
3:26.0,,,17-20,,F. Kaminsky misses 3-pt shot from 26 ft
3:25.0,Defensive rebound by J. Okafor,,17-20,,
3:17.0,T. McConnell misses 3-pt shot from 23 ft,,17-20,,
3:16.0,,,17-20,,Defensive rebound by M. Belinelli
3:07.0,,,17-20,,M. Belinelli misses 2-pt shot from 19 ft
3:06.0,Defensive rebound by J. Okafor,,17-20,,
3:00.0,Philadelphia full timeout,,17-20,,
3:00.0,R. Covington enters the game for E. Ilyasova,,17-20,,
3:00.0,,,17-20,,S. Hawes enters the game for C. Zeller
2:52.0,Turnover by R. Covington (bad pass; steal by F. Kaminsky),,17-20,,
2:47.0,,,17-22,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Belinelli)
2:29.0,J. Okafor misses 2-pt shot from 17 ft,,17-22,,
2:28.0,,,17-22,,Defensive rebound by K. Walker
2:14.0,,,17-22,,N. Batum misses 2-pt shot from 15 ft
2:11.0,Defensive rebound by R. Covington,,17-22,,
2:05.0,N. Stauskas makes 2-pt shot from 1 ft,2,19-22,,
1:50.0,,,19-22,,M. Belinelli misses 3-pt shot from 24 ft
1:49.0,Defensive rebound by J. Okafor,,19-22,,
1:30.0,H. Thompson makes 2-pt shot at rim (assist by T. McConnell),2,21-22,,
1:22.0,,,21-22,,Turnover by K. Walker (bad pass)
1:22.0,,,21-22,,R. Sessions enters the game for K. Walker
1:22.0,D. Saric enters the game for J. Okafor,,21-22,,
1:07.0,D. Saric makes 3-pt shot from 25 ft (assist by T. McConnell),3,24-22,,
0:53.0,,,24-22,,Turnover by S. Hawes (lost ball; steal by H. Thompson)
0:48.0,H. Thompson misses 2-pt shot from 1 ft,,24-22,,
0:46.0,,,24-22,,Defensive rebound by N. Batum
0:44.0,,,24-22,,Turnover by N. Batum (bad pass; steal by T. McConnell)
0:39.0,R. Covington misses 2-pt shot at rim,,24-22,,
0:36.0,,,24-22,,Defensive rebound by R. Sessions
0:32.0,Personal foul by H. Thompson (drawn by S. Hawes),,24-22,,
0:32.0,,,24-23,1,S. Hawes makes free throw 1 of 2
0:32.0,,,24-24,1,S. Hawes makes free throw 2 of 2
0:21.0,N. Stauskas misses 3-pt shot from 25 ft,,24-24,,
0:20.0,Offensive rebound by D. Saric,,24-24,,
0:20.0,D. Saric makes 2-pt shot at rim,2,26-24,,
0:04.0,,,26-26,2,R. Sessions makes 2-pt shot from 1 ft
0:00.0,T. McConnell misses 3-pt shot from 30 ft,,26-26,,
0:00.0,Offensive rebound by Team,,26-26,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:41.0,D. Saric misses 2-pt shot from 22 ft,,26-26,,
11:39.0,Offensive rebound by R. Covington,,26-26,,
11:31.0,,,26-26,,Personal block foul by M. Kidd-Gilchrist (drawn by D. Saric)
11:16.0,Shooting foul by F. Kaminsky (drawn by R. Holmes),,26-26,,
11:16.0,R. Holmes makes free throw 1 of 2,1,27-26,,
11:16.0,R. Holmes makes free throw 2 of 2,1,28-26,,
11:01.0,,,28-28,2,F. Kaminsky makes 2-pt shot at rim (assist by R. Sessions)
10:50.0,R. Holmes makes 2-pt shot from 19 ft (assist by S. Rodriguez),2,30-28,,
10:25.0,,,30-28,,F. Kaminsky misses 2-pt shot from 3 ft
10:24.0,Defensive rebound by R. Holmes,,30-28,,
10:04.0,D. Saric makes 2-pt shot from 2 ft (assist by R. Holmes),2,32-28,,
10:04.0,Shooting foul by M. Kidd-Gilchrist (drawn by D. Saric),,32-28,,
10:04.0,D. Saric makes free throw 1 of 1,1,33-28,,
9:53.0,,,33-30,2,M. Belinelli makes 2-pt shot from 20 ft (assist by R. Sessions)
9:42.0,R. Covington misses 3-pt shot from 25 ft,,33-30,,
9:41.0,Offensive rebound by S. Rodriguez,,33-30,,
9:31.0,Offensive foul by R. Holmes,,33-30,,
9:31.0,Turnover by R. Holmes (offensive foul),,33-30,,
9:31.0,E. Ilyasova enters the game for R. Covington,,33-30,,
9:31.0,N. Stauskas enters the game for R. Holmes,,33-30,,
9:21.0,,,33-33,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Sessions)
9:08.0,G. Henderson makes 2-pt shot from 18 ft (assist by E. Ilyasova),2,35-33,,
8:50.0,,,35-35,2,S. Hawes makes 2-pt shot at rim (assist by R. Sessions)
8:36.0,G. Henderson makes 3-pt shot from 25 ft (assist by E. Ilyasova),3,38-35,,
8:24.0,Personal foul by D. Saric (drawn by S. Hawes),,38-35,,
8:24.0,Official timeout,,38-35,,
8:24.0,,,38-35,,M. Williams enters the game for S. Hawes
8:13.0,,,38-35,,M. Belinelli misses 3-pt shot from 25 ft
8:11.0,Defensive rebound by G. Henderson,,38-35,,
7:56.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by N. Stauskas),3,41-35,,
7:35.0,,,41-35,,Turnover by F. Kaminsky (traveling)
7:21.0,Turnover by N. Stauskas (lost ball; steal by M. Kidd-Gilchrist),,41-35,,
7:13.0,,,41-35,,M. Williams misses 2-pt shot from 10 ft
7:12.0,Defensive rebound by D. Saric,,41-35,,
6:57.0,Offensive foul by E. Ilyasova,,41-35,,
6:57.0,Turnover by E. Ilyasova (offensive foul),,41-35,,
6:52.0,Personal foul by E. Ilyasova (drawn by M. Williams),,41-35,,
6:46.0,,,41-35,,R. Sessions misses 3-pt shot from 26 ft
6:45.0,Defensive rebound by D. Saric,,41-35,,
6:32.0,D. Saric misses 2-pt shot from 1 ft (block by M. Kidd-Gilchrist),,41-35,,
6:31.0,,,41-35,,Defensive rebound by M. Kidd-Gilchrist
6:29.0,,,41-35,,Turnover by M. Kidd-Gilchrist (offensive foul)
6:29.0,,,41-35,,Offensive charge foul by M. Kidd-Gilchrist
6:29.0,,,41-35,,T. Graham enters the game for M. Kidd-Gilchrist
6:19.0,S. Rodriguez misses 2-pt shot from 15 ft,,41-35,,
6:18.0,Offensive rebound by Team,,41-35,,
6:18.0,Philadelphia full timeout,,41-35,,
6:18.0,,,41-35,,K. Walker enters the game for M. Belinelli
6:18.0,J. Okafor enters the game for D. Saric,,41-35,,
6:07.0,J. Okafor makes 2-pt shot from 8 ft,2,43-35,,
5:46.0,,,43-35,,Shooting foul by G. Henderson (drawn by R. Sessions)
5:46.0,,,43-35,,R. Sessions misses free throw 1 of 2
5:46.0,,,43-35,,Offensive rebound by Team
5:46.0,,,43-36,1,R. Sessions makes free throw 2 of 2
5:31.0,Turnover by S. Rodriguez (bad pass; steal by R. Sessions),,43-36,,
5:25.0,,,43-36,,K. Walker misses 2-pt shot from 2 ft
5:24.0,,,43-36,,Offensive rebound by R. Sessions
5:18.0,,,43-36,,F. Kaminsky misses 3-pt shot from 28 ft
5:18.0,Defensive rebound by G. Henderson,,43-36,,
5:18.0,,,43-36,,Technical foul by K. Walker
5:18.0,S. Rodriguez makes technical free throw,1,44-36,,
5:14.0,T. McConnell enters the game for S. Rodriguez,,44-36,,
5:10.0,,,44-36,,N. Batum enters the game for T. Graham
4:53.0,N. Stauskas misses 3-pt shot from 25 ft,,44-36,,
4:52.0,,,44-36,,Defensive rebound by M. Williams
4:43.0,,,44-36,,Turnover by N. Batum (bad pass; steal by T. McConnell)
4:29.0,J. Okafor misses 2-pt shot from 1 ft,,44-36,,
4:28.0,Offensive rebound by E. Ilyasova,,44-36,,
4:28.0,E. Ilyasova makes 2-pt shot from 1 ft,2,46-36,,
4:15.0,,,46-36,,K. Walker misses 2-pt shot from 2 ft
4:14.0,,,46-36,,Offensive rebound by F. Kaminsky
4:10.0,,,46-36,,M. Williams misses 3-pt shot from 25 ft
4:09.0,Defensive rebound by N. Stauskas,,46-36,,
4:01.0,E. Ilyasova makes 2-pt shot from 1 ft (assist by T. McConnell),2,48-36,,
4:01.0,,,48-36,,Charlotte full timeout
4:01.0,H. Thompson enters the game for G. Henderson,,48-36,,
4:01.0,D. Saric enters the game for N. Stauskas,,48-36,,
4:01.0,R. Covington enters the game for E. Ilyasova,,48-36,,
4:01.0,,,48-36,,C. Zeller enters the game for F. Kaminsky
3:48.0,,,48-36,,C. Zeller misses 2-pt shot at rim
3:47.0,,,48-36,,Offensive rebound by M. Williams
3:44.0,,,48-36,,M. Williams misses 2-pt shot from 1 ft
3:43.0,Defensive rebound by H. Thompson,,48-36,,
3:27.0,Shooting foul by M. Williams (drawn by D. Saric),,48-36,,
3:27.0,D. Saric makes free throw 1 of 2,1,49-36,,
3:27.0,D. Saric misses free throw 2 of 2,,49-36,,
3:24.0,,,49-36,,Defensive rebound by M. Williams
3:11.0,,,49-36,,Shooting foul by J. Okafor (drawn by K. Walker)
3:11.0,,,49-37,1,K. Walker makes free throw 1 of 2
3:11.0,,,49-38,1,K. Walker makes free throw 2 of 2
3:11.0,E. Ilyasova enters the game for J. Okafor,,49-37,,
2:47.0,H. Thompson makes 2-pt shot from 9 ft (assist by T. McConnell),2,51-38,,
2:30.0,,,51-41,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
2:15.0,Turnover by T. McConnell (bad pass),,51-41,,
2:10.0,Personal foul by D. Saric (drawn by M. Williams),,51-41,,
2:10.0,,,51-41,,M. Williams misses free throw 1 of 2
2:10.0,,,51-41,,Offensive rebound by Team
2:10.0,,,51-42,1,M. Williams makes free throw 2 of 2
2:10.0,N. Stauskas enters the game for D. Saric,,51-41,,
1:54.0,R. Covington misses 3-pt shot from 24 ft,,51-42,,
1:53.0,,,51-42,,Defensive rebound by M. Williams
1:45.0,,,51-42,,R. Sessions misses 2-pt shot from 2 ft
1:45.0,,,51-42,,Offensive rebound by Team
1:45.0,Loose ball foul by H. Thompson (drawn by C. Zeller),,51-42,,
1:45.0,,,51-42,,C. Zeller misses free throw 1 of 2
1:45.0,,,51-42,,Offensive rebound by Team
1:45.0,,,51-43,1,C. Zeller makes free throw 2 of 2
1:45.0,S. Rodriguez enters the game for T. McConnell,,51-42,,
1:34.0,Shooting foul by N. Batum (drawn by E. Ilyasova),,51-43,,
1:34.0,E. Ilyasova makes free throw 1 of 2,1,52-43,,
1:34.0,E. Ilyasova makes free throw 2 of 2,1,53-43,,
1:21.0,,,53-43,,N. Batum misses 3-pt shot from 25 ft
1:20.0,Defensive rebound by E. Ilyasova,,53-43,,
1:13.0,E. Ilyasova misses 2-pt shot from 1 ft (block by C. Zeller),,53-43,,
1:11.0,,,53-43,,Defensive rebound by M. Williams
1:09.0,,,53-43,,Shooting foul by H. Thompson (drawn by K. Walker)
1:09.0,,,53-44,1,K. Walker makes free throw 1 of 2
1:09.0,,,53-45,1,K. Walker makes free throw 2 of 2
1:09.0,T. McConnell enters the game for H. Thompson,,53-44,,
0:54.0,R. Covington misses 3-pt shot from 25 ft,,53-45,,
0:53.0,,,53-45,,Defensive rebound by M. Williams
0:47.0,,,53-45,,Shooting foul by R. Covington (drawn by R. Sessions)
0:47.0,,,53-45,,R. Sessions misses free throw 1 of 2
0:47.0,,,53-45,,Offensive rebound by Team
0:47.0,,,53-46,1,R. Sessions makes free throw 2 of 2
0:47.0,Philadelphia full timeout,,53-46,,
0:47.0,G. Henderson enters the game for T. McConnell,,53-46,,
0:30.0,E. Ilyasova misses 2-pt shot from 16 ft,,53-46,,
0:28.0,,,53-46,,Defensive rebound by K. Walker
0:09.0,,,53-46,,N. Batum misses 3-pt shot from 25 ft
0:08.0,,,53-46,,Offensive rebound by K. Walker
0:01.0,,,53-46,,M. Williams misses 3-pt shot from 28 ft
0:00.0,,,53-46,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,,,53-46,,Personal foul by N. Batum (drawn by J. Okafor)
11:28.0,Turnover by Team (shot clock),,53-46,,
11:18.0,Def 3 sec tech foul by J. Okafor,,53-46,,
11:18.0,,,53-47,1,N. Batum makes technical free throw
11:12.0,,,53-47,,Turnover by K. Walker (bad pass; steal by R. Covington)
11:06.0,Turnover by G. Henderson (offensive foul),,53-47,,
11:06.0,Offensive foul by G. Henderson,,53-47,,
10:54.0,,,53-49,2,K. Walker makes 2-pt shot from 1 ft (assist by M. Williams)
10:39.0,J. Okafor misses 2-pt shot from 13 ft,,53-49,,
10:38.0,,,53-49,,Defensive rebound by M. Williams
10:28.0,,,53-52,3,N. Batum makes 3-pt shot from 24 ft
10:13.0,G. Henderson misses 3-pt shot from 24 ft,,53-52,,
10:13.0,Offensive rebound by Team,,53-52,,
10:13.0,,,53-52,,Loose ball foul by C. Zeller (drawn by J. Okafor)
10:03.0,D. Saric misses 2-pt shot from 20 ft,,53-52,,
10:00.0,,,53-52,,Defensive rebound by N. Batum
9:46.0,,,53-55,3,K. Walker makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist)
9:40.0,Philadelphia full timeout,,53-55,,
9:26.0,Turnover by R. Covington (traveling),,53-55,,
9:11.0,,,53-57,2,C. Zeller makes 2-pt shot at rim (assist by N. Batum)
8:50.0,G. Henderson misses 2-pt shot from 18 ft,,53-57,,
8:50.0,,,53-57,,Defensive rebound by Team
8:50.0,Loose ball foul by R. Covington (drawn by M. Kidd-Gilchrist),,53-57,,
8:29.0,,,53-57,,K. Walker misses 3-pt shot from 25 ft
8:28.0,Defensive rebound by D. Saric,,53-57,,
8:14.0,Turnover by G. Henderson (bad pass; steal by M. Williams),,53-57,,
8:09.0,,,53-59,2,M. Williams makes 2-pt shot at rim
7:53.0,D. Saric misses 3-pt shot from 25 ft,,53-59,,
7:53.0,Offensive rebound by Team,,53-59,,
7:53.0,,,53-59,,Loose ball foul by C. Zeller (drawn by J. Okafor)
7:53.0,R. Holmes enters the game for J. Okafor,,53-59,,
7:41.0,D. Saric makes 2-pt shot from 2 ft,2,55-59,,
7:26.0,,,55-62,3,N. Batum makes 3-pt shot from 26 ft (assist by K. Walker)
7:12.0,Turnover by S. Rodriguez (bad pass; steal by M. Williams),,55-62,,
7:08.0,Personal foul by R. Covington (drawn by N. Batum),,55-62,,
7:08.0,N. Stauskas enters the game for S. Rodriguez,,55-62,,
7:08.0,T. McConnell enters the game for G. Henderson,,55-62,,
6:54.0,,,55-62,,M. Williams misses 3-pt shot from 25 ft
6:53.0,Defensive rebound by D. Saric,,55-62,,
6:39.0,R. Covington makes 3-pt shot from 26 ft (assist by R. Holmes),3,58-62,,
6:19.0,,,58-64,2,N. Batum makes 2-pt shot from 18 ft
6:03.0,T. McConnell misses 2-pt shot from 18 ft,,58-64,,
6:02.0,,,58-64,,Defensive rebound by M. Kidd-Gilchrist
5:50.0,,,58-66,2,C. Zeller makes 2-pt shot from 8 ft (assist by K. Walker)
5:27.0,Turnover by D. Saric (lost ball; steal by M. Kidd-Gilchrist),,58-66,,
5:21.0,,,58-68,2,M. Kidd-Gilchrist makes 2-pt shot from 1 ft (assist by K. Walker)
5:05.0,R. Covington misses 3-pt shot from 26 ft,,58-68,,
5:03.0,,,58-68,,Defensive rebound by M. Williams
4:57.0,,,58-68,,N. Batum misses 3-pt shot from 25 ft
4:54.0,Defensive rebound by R. Holmes,,58-68,,
4:47.0,R. Holmes makes 3-pt shot from 25 ft (assist by T. McConnell),3,61-68,,
4:35.0,,,61-68,,Charlotte full timeout
4:35.0,H. Thompson enters the game for R. Covington,,61-68,,
4:35.0,E. Ilyasova enters the game for D. Saric,,61-68,,
4:35.0,,,61-68,,F. Kaminsky enters the game for M. Kidd-Gilchrist
4:35.0,,,61-68,,M. Belinelli enters the game for M. Williams
4:28.0,,,61-70,2,N. Batum makes 2-pt shot from 12 ft
4:15.0,Turnover by R. Holmes (lost ball),,61-70,,
4:15.0,Loose ball foul by R. Holmes (drawn by C. Zeller),,61-70,,
4:04.0,,,61-72,2,C. Zeller makes 2-pt shot from 6 ft (assist by K. Walker)
3:39.0,E. Ilyasova misses 2-pt shot from 1 ft,,61-72,,
3:38.0,Offensive rebound by R. Holmes,,61-72,,
3:37.0,R. Holmes makes 2-pt shot at rim,2,63-72,,
3:22.0,Personal foul by T. McConnell (drawn by K. Walker),,63-72,,
3:22.0,J. Okafor enters the game for R. Holmes,,63-72,,
3:22.0,,,63-72,,S. Hawes enters the game for C. Zeller
3:19.0,,,63-72,,Turnover by N. Batum (bad pass; steal by T. McConnell)
3:16.0,T. McConnell makes 2-pt shot from 1 ft,2,65-72,,
3:00.0,,,65-75,3,N. Batum makes 3-pt shot from 26 ft (assist by S. Hawes)
2:48.0,H. Thompson misses 2-pt shot from 1 ft (block by S. Hawes),,65-75,,
2:48.0,Offensive rebound by Team,,65-75,,
2:41.0,Shooting foul by M. Belinelli (drawn by N. Stauskas),,65-75,,
2:41.0,N. Stauskas makes free throw 1 of 2,1,66-75,,
2:41.0,N. Stauskas makes free throw 2 of 2,1,67-75,,
2:27.0,,,67-75,,F. Kaminsky misses 2-pt shot from 8 ft
2:24.0,Defensive rebound by H. Thompson,,67-75,,
2:14.0,J. Okafor misses 2-pt shot from 5 ft,,67-75,,
2:13.0,,,67-75,,Defensive rebound by M. Belinelli
2:07.0,,,67-75,,N. Batum misses 3-pt shot from 23 ft
2:04.0,,,67-75,,Offensive rebound by F. Kaminsky
2:04.0,,,67-77,2,F. Kaminsky makes 2-pt shot at rim
1:49.0,T. McConnell makes 2-pt shot from 1 ft (assist by J. Okafor),2,69-77,,
1:38.0,,,69-79,2,N. Batum makes 2-pt shot from 1 ft (assist by S. Hawes)
1:38.0,,,69-79,,Shooting foul by E. Ilyasova (drawn by N. Batum)
1:38.0,,,69-80,1,N. Batum makes free throw 1 of 1
1:31.0,,,69-80,,R. Sessions enters the game for K. Walker
1:23.0,T. McConnell misses 3-pt shot from 26 ft,,69-80,,
1:23.0,Offensive rebound by Team,,69-80,,
1:23.0,,,69-80,,Loose ball foul by M. Belinelli (drawn by J. Okafor)
1:23.0,J. Okafor makes free throw 1 of 2,1,70-80,,
1:23.0,J. Okafor misses free throw 2 of 2,,70-80,,
1:20.0,,,70-80,,Defensive rebound by N. Batum
1:06.0,,,70-83,3,F. Kaminsky makes 3-pt shot from 26 ft (assist by N. Batum)
0:53.0,Offensive foul by T. McConnell,,70-83,,
0:53.0,Turnover by T. McConnell (offensive foul),,70-83,,
0:44.0,,,70-85,2,S. Hawes makes 2-pt shot from 2 ft
0:28.0,E. Ilyasova makes 3-pt shot from 26 ft (assist by N. Stauskas),3,73-85,,
0:06.0,,,73-85,,F. Kaminsky misses 3-pt shot from 24 ft
0:05.0,Defensive rebound by T. McConnell,,73-85,,
0:00.0,E. Ilyasova misses 3-pt shot from 26 ft,,73-85,,
0:00.0,Offensive rebound by Team,,73-85,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,73-87,2,F. Kaminsky makes 2-pt shot from 7 ft (assist by R. Sessions)
11:26.0,D. Saric misses 3-pt shot from 25 ft,,73-87,,
11:25.0,,,73-87,,Defensive rebound by R. Sessions
11:18.0,,,73-87,,M. Belinelli misses 2-pt shot from 18 ft
11:16.0,Defensive rebound by D. Saric,,73-87,,
11:05.0,E. Ilyasova misses 3-pt shot from 27 ft,,73-87,,
11:03.0,,,73-87,,Defensive rebound by M. Kidd-Gilchrist
10:51.0,,,73-87,,Turnover by F. Kaminsky (lost ball)
10:33.0,S. Rodriguez makes 3-pt shot from 28 ft (assist by G. Henderson),3,76-87,,
10:13.0,,,76-87,,Turnover by S. Hawes (bad pass; steal by D. Saric)
10:07.0,S. Rodriguez makes 3-pt shot from 25 ft (assist by G. Henderson),3,79-87,,
10:07.0,,,79-87,,Charlotte full timeout
9:47.0,,,79-89,2,F. Kaminsky makes 2-pt shot from 19 ft
9:32.0,G. Henderson misses 2-pt shot from 3 ft,,79-89,,
9:31.0,,,79-89,,Defensive rebound by F. Kaminsky
9:26.0,,,79-89,,Shooting foul by R. Covington (drawn by M. Kidd-Gilchrist)
9:26.0,,,79-90,1,M. Kidd-Gilchrist makes free throw 1 of 2
9:26.0,,,79-90,,M. Kidd-Gilchrist misses free throw 2 of 2
9:23.0,Defensive rebound by D. Saric,,79-90,,
9:15.0,Turnover by S. Rodriguez (bad pass),,79-90,,
9:01.0,,,79-93,3,M. Belinelli makes 3-pt shot from 23 ft (assist by F. Kaminsky)
9:01.0,Philadelphia full timeout,,79-93,,
8:50.0,D. Saric makes 3-pt shot from 25 ft (assist by S. Rodriguez),3,82-93,,
8:34.0,,,82-96,3,M. Belinelli makes 3-pt shot from 25 ft (assist by R. Sessions)
8:17.0,R. Covington misses 3-pt shot from 25 ft,,82-96,,
8:16.0,Offensive rebound by E. Ilyasova,,82-96,,
8:11.0,E. Ilyasova makes 2-pt shot from 12 ft,2,84-96,,
7:55.0,,,84-98,2,M. Kidd-Gilchrist makes 2-pt shot from 16 ft
7:40.0,E. Ilyasova misses 3-pt shot from 26 ft,,84-98,,
7:39.0,,,84-98,,Defensive rebound by M. Belinelli
7:33.0,,,84-100,2,S. Hawes makes 2-pt shot from 1 ft (assist by M. Belinelli)
7:21.0,S. Rodriguez misses 3-pt shot from 25 ft,,84-100,,
7:20.0,,,84-100,,Defensive rebound by F. Kaminsky
7:09.0,,,84-100,,Turnover by R. Sessions (bad pass)
7:09.0,J. Okafor enters the game for E. Ilyasova,,84-100,,
7:09.0,N. Stauskas enters the game for G. Henderson,,84-100,,
7:09.0,,,84-100,,M. Williams enters the game for S. Hawes
6:50.0,S. Rodriguez misses 3-pt shot from 25 ft,,84-100,,
6:50.0,Offensive rebound by Team,,84-100,,
6:38.0,D. Saric misses 2-pt shot from 20 ft,,84-100,,
6:37.0,Offensive rebound by Team,,84-100,,
6:36.0,Philadelphia full timeout,,84-100,,
6:36.0,H. Thompson enters the game for R. Covington,,84-100,,
6:36.0,Turnover by Team (5 sec inbounds),,84-100,,
6:16.0,,,84-102,2,M. Williams makes 2-pt shot from 1 ft (assist by R. Sessions)
5:55.0,H. Thompson misses 2-pt shot from 15 ft,,84-102,,
5:54.0,,,84-102,,Defensive rebound by M. Kidd-Gilchrist
5:45.0,,,84-102,,M. Williams misses 3-pt shot from 25 ft
5:44.0,Defensive rebound by H. Thompson,,84-102,,
