time,Utah,pts.away,score,pts.home,Charlotte
4:10.0,,,22-14,,F. Kaminsky enters the game for M. Kidd-Gilchrist
4:10.0,,,22-14,,M. Belinelli enters the game for M. Williams
4:03.0,,,22-14,,K. Walker misses 2-pt shot from 18 ft
4:02.0,Defensive rebound by G. Hayward,,22-14,,
3:52.0,D. Favors makes 2-pt shot from 17 ft (assist by G. Hayward),2,24-14,,
3:31.0,D. Exum enters the game for S. Mack,,24-14,,
3:31.0,T. Lyles enters the game for D. Favors,,24-14,,
3:27.0,,,24-16,2,C. Zeller makes 2-pt shot from 1 ft (assist by N. Batum)
3:08.0,T. Lyles makes 2-pt shot at rim (assist by G. Hayward),2,26-16,,
2:50.0,,,26-18,2,C. Zeller makes 2-pt shot at rim
2:36.0,T. Lyles makes 2-pt shot from 19 ft (assist by D. Exum),2,28-18,,
2:20.0,,,28-20,2,C. Zeller makes 2-pt shot from 20 ft
1:57.0,T. Lyles misses 3-pt shot from 25 ft,,28-20,,
1:55.0,,,28-20,,Defensive rebound by K. Walker
1:47.0,,,28-20,,N. Batum misses 3-pt shot from 24 ft
1:46.0,Defensive rebound by T. Lyles,,28-20,,
1:35.0,Shooting foul by F. Kaminsky (drawn by J. Ingles),,28-20,,
1:35.0,Utah full timeout,,28-20,,
1:35.0,J. Ingles makes free throw 1 of 2,1,29-20,,
1:35.0,J. Ingles makes free throw 2 of 2,1,30-20,,
1:35.0,,,28-20,,R. Sessions enters the game for C. Zeller
1:35.0,,,28-20,,S. Hawes enters the game for K. Walker
1:35.0,J. Withey enters the game for R. Gobert,,28-20,,
1:18.0,,,30-22,2,F. Kaminsky makes 2-pt shot from 1 ft
1:05.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,32-22,,
0:47.0,,,32-22,,F. Kaminsky misses 2-pt shot from 6 ft
0:46.0,Defensive rebound by T. Lyles,,32-22,,
0:33.0,T. Lyles misses 3-pt shot from 25 ft,,32-22,,
0:32.0,,,32-22,,Defensive rebound by F. Kaminsky
0:20.0,,,32-24,2,S. Hawes makes 2-pt shot from 15 ft (assist by F. Kaminsky)
0:01.0,T. Lyles misses 3-pt shot from 26 ft,,32-24,,
0:00.0,,,32-24,,Defensive rebound by F. Kaminsky
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:44.0,,,32-26,2,M. Belinelli makes 2-pt shot from 1 ft (assist by S. Hawes)
11:31.0,Offensive foul by J. Withey,,32-26,,
11:31.0,Turnover by J. Withey (offensive foul),,32-26,,
11:13.0,,,32-26,,M. Kidd-Gilchrist misses 3-pt shot from 23 ft
11:12.0,Defensive rebound by R. Hood,,32-26,,
11:00.0,T. Lyles makes 2-pt shot from 1 ft (assist by R. Hood),2,34-26,,
10:43.0,,,34-26,,M. Belinelli misses 2-pt shot from 15 ft
10:42.0,,,34-26,,Offensive rebound by Team
10:38.0,,,34-28,2,S. Hawes makes 2-pt shot from 1 ft (assist by R. Sessions)
10:38.0,,,34-28,,Shooting foul by J. Withey (drawn by S. Hawes)
10:38.0,,,34-29,1,S. Hawes makes free throw 1 of 1
10:26.0,R. Hood misses 3-pt shot from 24 ft,,34-29,,
10:24.0,,,34-29,,Defensive rebound by S. Hawes
10:17.0,,,34-29,,F. Kaminsky misses 3-pt shot from 25 ft
10:16.0,Defensive rebound by R. Hood,,34-29,,
10:06.0,R. Hood makes 2-pt shot from 1 ft,2,36-29,,
9:53.0,,,36-31,2,S. Hawes makes 2-pt shot from 21 ft (assist by R. Sessions)
9:47.0,Utah full timeout,,36-31,,
9:47.0,D. Favors enters the game for J. Withey,,36-31,,
9:32.0,D. Favors makes 2-pt shot from 5 ft (assist by T. Lyles),2,38-31,,
9:18.0,,,38-31,,Turnover by M. Belinelli (bad pass)
9:03.0,R. Hood misses 3-pt shot from 25 ft,,38-31,,
9:01.0,,,38-31,,Defensive rebound by M. Kidd-Gilchrist
8:54.0,,,38-31,,M. Kidd-Gilchrist misses 2-pt shot from 1 ft
8:52.0,Defensive rebound by D. Favors,,38-31,,
8:35.0,D. Favors makes 2-pt shot from 17 ft (assist by D. Exum),2,40-31,,
8:14.0,,,40-31,,R. Sessions misses 2-pt shot from 8 ft
8:13.0,Defensive rebound by D. Favors,,40-31,,
7:56.0,J. Johnson misses 3-pt shot from 24 ft,,40-31,,
7:55.0,,,40-31,,Defensive rebound by M. Kidd-Gilchrist
7:46.0,,,40-33,2,S. Hawes makes 2-pt shot from 10 ft (assist by M. Belinelli)
7:22.0,D. Exum misses 3-pt shot from 25 ft,,40-33,,
7:21.0,,,40-33,,Defensive rebound by M. Kidd-Gilchrist
7:10.0,,,40-33,,Shooting foul by J. Johnson (drawn by S. Hawes)
7:10.0,,,40-33,,S. Hawes misses free throw 1 of 2
7:10.0,,,40-33,,Offensive rebound by Team
7:10.0,,,40-33,,S. Hawes misses free throw 2 of 2
7:10.0,,,40-33,,M. Williams enters the game for F. Kaminsky
7:06.0,Defensive rebound by D. Favors,,40-33,,
6:58.0,D. Exum makes 3-pt shot from 25 ft (assist by R. Hood),3,43-33,,
6:39.0,,,43-33,,Shooting foul by D. Exum (drawn by R. Sessions)
6:39.0,,,43-34,1,R. Sessions makes free throw 1 of 2
6:39.0,,,43-35,1,R. Sessions makes free throw 2 of 2
6:32.0,,,43-35,,Personal foul by M. Belinelli (drawn by R. Hood)
6:24.0,R. Hood makes 2-pt shot at rim,2,45-35,,
6:10.0,,,45-35,,R. Sessions misses 2-pt shot from 17 ft
6:09.0,Defensive rebound by T. Lyles,,45-35,,
5:57.0,R. Hood misses 3-pt shot from 25 ft,,45-35,,
5:56.0,,,45-35,,Defensive rebound by M. Kidd-Gilchrist
5:49.0,,,45-38,3,M. Belinelli makes 3-pt shot from 23 ft (assist by M. Kidd-Gilchrist)
5:41.0,Utah full timeout,,45-38,,
5:41.0,Official timeout,,45-38,,
5:41.0,,,45-38,,N. Batum enters the game for M. Kidd-Gilchrist
5:41.0,,,45-38,,K. Walker enters the game for R. Sessions
5:41.0,G. Hayward enters the game for R. Hood,,45-38,,
5:41.0,R. Gobert enters the game for D. Exum,,45-38,,
5:41.0,S. Mack enters the game for T. Lyles,,45-38,,
5:31.0,J. Johnson misses 3-pt shot from 23 ft,,45-38,,
5:30.0,,,45-38,,Defensive rebound by S. Hawes
5:09.0,,,45-38,,S. Hawes misses 2-pt shot from 19 ft
5:08.0,Defensive rebound by D. Favors,,45-38,,
4:51.0,S. Mack makes 2-pt shot from 19 ft (assist by J. Johnson),2,47-38,,
4:27.0,,,47-38,,M. Williams misses 2-pt shot at rim
4:26.0,,,47-38,,Offensive rebound by M. Williams
4:26.0,,,47-40,2,M. Williams makes 2-pt shot from 1 ft
4:12.0,D. Favors misses 2-pt shot from 14 ft,,47-40,,
4:10.0,Offensive rebound by R. Gobert,,47-40,,
4:03.0,S. Mack misses 3-pt shot from 25 ft,,47-40,,
4:02.0,,,47-40,,Defensive rebound by M. Williams
3:54.0,,,47-42,2,M. Belinelli makes 2-pt shot from 20 ft
3:38.0,G. Hayward misses 2-pt shot from 7 ft,,47-42,,
3:36.0,,,47-42,,Defensive rebound by N. Batum
3:29.0,,,47-42,,Turnover by K. Walker (bad pass; steal by R. Gobert)
3:12.0,D. Favors makes 2-pt shot from 16 ft (assist by S. Mack),2,49-42,,
2:56.0,,,49-45,3,M. Williams makes 3-pt shot from 23 ft (assist by K. Walker)
2:48.0,,,49-45,,Personal foul by N. Batum (drawn by J. Johnson)
2:48.0,,,49-45,,Charlotte full timeout
2:48.0,,,49-45,,M. Kidd-Gilchrist enters the game for M. Belinelli
2:48.0,,,49-45,,C. Zeller enters the game for S. Hawes
2:48.0,D. Exum enters the game for D. Favors,,49-45,,
2:48.0,R. Hood enters the game for S. Mack,,49-45,,
2:39.0,G. Hayward makes 2-pt shot from 22 ft (assist by R. Gobert),2,51-45,,
2:16.0,,,51-45,,M. Williams misses 2-pt shot from 8 ft
2:15.0,Defensive rebound by R. Gobert,,51-45,,
2:10.0,Turnover by R. Gobert (bad pass),,51-45,,
1:58.0,,,51-48,3,M. Williams makes 3-pt shot from 26 ft (assist by N. Batum)
1:38.0,G. Hayward misses 3-pt shot from 25 ft,,51-48,,
1:36.0,Offensive rebound by R. Gobert,,51-48,,
1:36.0,R. Gobert makes 2-pt shot at rim,2,53-48,,
1:08.0,,,53-48,,K. Walker misses 3-pt shot from 24 ft
1:08.0,,,53-48,,Offensive rebound by Team
1:08.0,,,53-48,,Turnover by Team (shot clock)
0:55.0,R. Hood makes 3-pt shot from 24 ft (assist by G. Hayward),3,56-48,,
0:40.0,,,56-48,,M. Kidd-Gilchrist misses 2-pt shot from 2 ft
0:39.0,Defensive rebound by R. Gobert,,56-48,,
0:34.0,G. Hayward makes 2-pt shot from 8 ft,2,58-48,,
0:20.0,,,58-48,,Shooting foul by D. Exum (drawn by K. Walker)
0:20.0,,,58-49,1,K. Walker makes free throw 1 of 3
0:20.0,,,58-50,1,K. Walker makes free throw 2 of 3
0:20.0,,,58-51,1,K. Walker makes free throw 3 of 3
0:04.0,G. Hayward misses 2-pt shot from 14 ft,,58-51,,
0:03.0,,,58-51,,Defensive rebound by M. Williams
0:01.0,,,58-51,,N. Batum misses 3-pt shot from 53 ft
0:00.0,,,58-51,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,,,58-51,,M. Kidd-Gilchrist misses 2-pt shot from 20 ft
11:46.0,Defensive rebound by D. Favors,,58-51,,
11:30.0,Turnover by R. Hood (bad pass; steal by K. Walker),,58-51,,
11:24.0,Loose ball foul by S. Mack (drawn by K. Walker),,58-51,,
11:11.0,,,58-51,,N. Batum misses 2-pt shot from 22 ft
11:09.0,Defensive rebound by G. Hayward,,58-51,,
10:50.0,S. Mack misses 2-pt shot from 2 ft,,58-51,,
10:50.0,,,58-51,,Defensive rebound by Team
10:27.0,,,58-51,,Turnover by K. Walker (bad pass; steal by G. Hayward)
10:19.0,R. Hood misses 3-pt shot from 23 ft,,58-51,,
10:18.0,,,58-51,,Defensive rebound by K. Walker
10:15.0,,,58-51,,K. Walker misses 2-pt shot from 1 ft (block by G. Hayward)
10:15.0,,,58-51,,Offensive rebound by Team
10:08.0,,,58-51,,N. Batum misses 2-pt shot from 11 ft (block by R. Gobert)
10:06.0,Defensive rebound by G. Hayward,,58-51,,
9:58.0,R. Gobert misses 2-pt shot from 2 ft (block by M. Kidd-Gilchrist),,58-51,,
9:56.0,Offensive rebound by R. Gobert,,58-51,,
9:56.0,R. Gobert misses 2-pt shot from 1 ft,,58-51,,
9:55.0,Offensive rebound by D. Favors,,58-51,,
9:43.0,R. Hood makes 3-pt shot from 27 ft (assist by S. Mack),3,61-51,,
9:14.0,,,61-51,,Shooting foul by G. Hayward (drawn by C. Zeller)
9:14.0,,,61-51,,C. Zeller misses free throw 1 of 2
9:14.0,,,61-51,,Offensive rebound by Team
9:14.0,,,61-52,1,C. Zeller makes free throw 2 of 2
9:02.0,,,61-52,,Loose ball foul by N. Batum (drawn by D. Favors)
8:55.0,G. Hayward misses 3-pt shot from 25 ft,,61-52,,
8:55.0,,,61-52,,Defensive rebound by Team
8:42.0,,,61-52,,C. Zeller misses 2-pt shot from 3 ft (block by R. Gobert)
8:40.0,,,61-52,,Offensive rebound by M. Kidd-Gilchrist
8:35.0,,,61-55,3,M. Williams makes 3-pt shot from 26 ft (assist by C. Zeller)
8:24.0,,,61-55,,Personal foul by M. Kidd-Gilchrist (drawn by R. Hood)
8:09.0,Turnover by Team (shot clock),,61-55,,
7:57.0,,,61-55,,N. Batum misses 3-pt shot from 25 ft
7:56.0,Defensive rebound by G. Hayward,,61-55,,
7:43.0,S. Mack misses 2-pt shot from 19 ft,,61-55,,
7:42.0,,,61-55,,Defensive rebound by M. Kidd-Gilchrist
7:30.0,,,61-55,,C. Zeller misses 2-pt shot from 2 ft (block by R. Gobert)
7:28.0,,,61-55,,Offensive rebound by C. Zeller
7:27.0,Personal foul by D. Favors (drawn by M. Williams),,61-55,,
7:21.0,,,61-57,2,N. Batum makes 2-pt shot from 1 ft (assist by M. Williams)
7:08.0,D. Favors makes 2-pt shot from 10 ft (assist by S. Mack),2,63-57,,
6:55.0,,,63-59,2,K. Walker makes 2-pt shot from 18 ft
6:34.0,G. Hayward misses 2-pt shot from 20 ft,,63-59,,
6:33.0,,,63-59,,Defensive rebound by M. Williams
6:28.0,,,63-59,,Shooting foul by R. Gobert (drawn by M. Kidd-Gilchrist)
6:28.0,,,63-60,1,M. Kidd-Gilchrist makes free throw 1 of 2
6:28.0,,,63-61,1,M. Kidd-Gilchrist makes free throw 2 of 2
6:05.0,R. Hood makes 3-pt shot from 25 ft,3,66-61,,
5:48.0,,,66-61,,K. Walker misses 2-pt shot from 16 ft
5:48.0,Defensive rebound by Team,,66-61,,
5:48.0,,,66-61,,Charlotte full timeout
5:48.0,D. Exum enters the game for S. Mack,,66-61,,
5:33.0,Turnover by R. Gobert (bad pass; steal by M. Kidd-Gilchrist),,66-61,,
5:23.0,,,66-61,,Turnover by N. Batum (lost ball; steal by R. Hood)
5:17.0,D. Exum misses 3-pt shot from 25 ft,,66-61,,
5:15.0,,,66-61,,Defensive rebound by M. Kidd-Gilchrist
5:04.0,,,66-61,,K. Walker misses 3-pt shot from 25 ft
5:03.0,Defensive rebound by G. Hayward,,66-61,,
4:49.0,G. Hayward makes 3-pt shot from 25 ft (assist by R. Hood),3,69-61,,
4:33.0,,,69-63,2,N. Batum makes 2-pt shot from 18 ft (assist by K. Walker)
4:14.0,G. Hayward misses 3-pt shot from 25 ft,,69-63,,
4:13.0,,,69-63,,Defensive rebound by K. Walker
4:08.0,,,69-63,,Offensive foul by C. Zeller
4:08.0,,,69-63,,Turnover by C. Zeller (offensive foul)
4:08.0,,,69-63,,F. Kaminsky enters the game for M. Kidd-Gilchrist
4:08.0,,,69-63,,M. Belinelli enters the game for M. Williams
4:06.0,T. Lyles enters the game for D. Favors,,69-63,,
4:06.0,J. Ingles enters the game for R. Hood,,69-63,,
3:54.0,Turnover by G. Hayward (bad pass; steal by K. Walker),,69-63,,
3:47.0,,,69-65,2,C. Zeller makes 2-pt shot at rim (assist by K. Walker)
3:28.0,J. Ingles misses 3-pt shot from 25 ft,,69-65,,
3:27.0,,,69-65,,Defensive rebound by K. Walker
3:14.0,,,69-67,2,K. Walker makes 2-pt shot from 16 ft
3:14.0,Utah full timeout,,69-67,,
3:14.0,,,69-67,,S. Hawes enters the game for C. Zeller
2:57.0,T. Lyles misses 3-pt shot from 24 ft,,69-67,,
2:55.0,,,69-67,,Defensive rebound by K. Walker
2:44.0,,,69-67,,K. Walker misses 3-pt shot from 25 ft
2:43.0,Defensive rebound by R. Gobert,,69-67,,
2:32.0,Shooting foul by K. Walker (drawn by D. Exum),,69-67,,
2:32.0,D. Exum misses free throw 1 of 2,,69-67,,
2:32.0,Offensive rebound by Team,,69-67,,
2:32.0,D. Exum makes free throw 2 of 2,1,70-67,,
2:06.0,,,70-70,3,F. Kaminsky makes 3-pt shot from 23 ft (assist by K. Walker)
1:47.0,D. Exum makes 2-pt shot from 2 ft,2,72-70,,
1:38.0,,,72-72,2,S. Hawes makes 2-pt shot from 6 ft (assist by N. Batum)
1:25.0,Turnover by D. Exum (bad pass),,72-72,,
1:25.0,D. Favors enters the game for G. Hayward,,72-72,,
1:25.0,J. Johnson enters the game for R. Gobert,,72-72,,
1:25.0,,,72-72,,R. Sessions enters the game for N. Batum
1:14.0,Personal foul by J. Ingles (drawn by M. Belinelli),,72-72,,
1:14.0,,,72-73,1,M. Belinelli makes free throw 1 of 2
1:14.0,,,72-74,1,M. Belinelli makes free throw 2 of 2
1:05.0,,,72-74,,Personal foul by R. Sessions (drawn by J. Johnson)
0:58.0,D. Favors makes 2-pt shot from 12 ft (assist by D. Exum),2,74-74,,
0:49.0,,,74-76,2,F. Kaminsky makes 2-pt shot from 6 ft (assist by K. Walker)
0:49.0,,,74-76,,Violation by Team (jump ball)
0:38.0,J. Johnson makes 2-pt shot from 7 ft (assist by D. Exum),2,76-76,,
0:29.0,,,76-76,,K. Walker misses 3-pt shot from 25 ft
0:28.0,Defensive rebound by J. Johnson,,76-76,,
0:07.0,J. Johnson misses 2-pt shot from 17 ft,,76-76,,
0:06.0,Offensive rebound by T. Lyles,,76-76,,
0:06.0,T. Lyles makes 2-pt shot at rim,2,78-76,,
0:00.0,,,78-76,,K. Walker misses 2-pt shot from 1 ft
0:00.0,,,78-76,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,J. Ingles misses 3-pt shot from 24 ft,,78-76,,
11:41.0,,,78-76,,Defensive rebound by F. Kaminsky
11:34.0,,,78-76,,S. Hawes misses 3-pt shot from 26 ft
11:33.0,Defensive rebound by T. Lyles,,78-76,,
11:20.0,T. Lyles makes 2-pt shot from 14 ft (assist by D. Exum),2,80-76,,
11:02.0,,,80-78,2,F. Kaminsky makes 2-pt shot from 5 ft
11:02.0,,,80-78,,Shooting foul by T. Lyles (drawn by F. Kaminsky)
11:02.0,,,80-78,,F. Kaminsky misses free throw 1 of 1
11:02.0,S. Mack enters the game for D. Exum,,80-78,,
11:00.0,Defensive rebound by T. Lyles,,80-78,,
10:42.0,Turnover by J. Johnson (lost ball; steal by S. Hawes),,80-78,,
10:36.0,,,80-80,2,R. Sessions makes 2-pt shot at rim
10:21.0,S. Mack misses 2-pt shot from 13 ft (block by S. Hawes),,80-80,,
10:19.0,,,80-80,,Defensive rebound by M. Kidd-Gilchrist
10:11.0,,,80-82,2,M. Belinelli makes 2-pt shot from 1 ft (assist by S. Hawes)
10:11.0,Utah full timeout,,80-82,,
10:11.0,R. Hood enters the game for J. Ingles,,80-82,,
9:44.0,R. Hood makes 3-pt shot from 23 ft (assist by S. Mack),3,83-82,,
9:23.0,,,83-84,2,F. Kaminsky makes 2-pt shot from 1 ft
8:57.0,S. Mack misses 2-pt shot from 18 ft,,83-84,,
8:56.0,,,83-84,,Defensive rebound by M. Belinelli
8:38.0,,,83-84,,R. Sessions misses 2-pt shot at rim (block by D. Favors)
8:35.0,Defensive rebound by S. Mack,,83-84,,
8:20.0,R. Hood makes 2-pt shot from 11 ft,2,85-84,,
8:09.0,Personal foul by R. Hood (drawn by M. Belinelli),,85-84,,
8:09.0,D. Exum enters the game for S. Mack,,85-84,,
8:09.0,G. Hayward enters the game for J. Johnson,,85-84,,
8:02.0,,,85-84,,M. Belinelli misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by D. Exum,,85-84,,
7:55.0,,,85-84,,Personal foul by M. Belinelli (drawn by D. Exum)
7:41.0,T. Lyles misses 2-pt shot from 7 ft,,85-84,,
7:40.0,,,85-84,,Defensive rebound by S. Hawes
7:35.0,Personal foul by D. Exum (drawn by R. Sessions),,85-84,,
7:35.0,R. Gobert enters the game for T. Lyles,,85-84,,
7:20.0,,,85-86,2,F. Kaminsky makes 2-pt shot from 8 ft (assist by S. Hawes)
7:10.0,,,85-86,,M. Williams enters the game for S. Hawes
7:10.0,Turnover by Team (5 sec inbounds),,85-86,,
6:56.0,,,85-86,,F. Kaminsky misses 3-pt shot from 25 ft
6:54.0,,,85-86,,Offensive rebound by R. Sessions
6:51.0,,,85-86,,R. Sessions misses 2-pt shot from 1 ft
6:49.0,Defensive rebound by D. Favors,,85-86,,
6:44.0,R. Hood misses 2-pt shot from 2 ft (block by F. Kaminsky),,85-86,,
6:42.0,,,85-86,,Defensive rebound by F. Kaminsky
6:35.0,,,85-86,,M. Williams misses 3-pt shot from 23 ft
6:33.0,,,85-86,,Offensive rebound by F. Kaminsky
6:28.0,,,85-89,3,M. Williams makes 3-pt shot from 25 ft (assist by F. Kaminsky)
6:02.0,G. Hayward makes 2-pt shot from 23 ft,2,87-89,,
5:48.0,Personal foul by R. Gobert (drawn by R. Sessions),,87-89,,
5:48.0,Official timeout,,87-89,,
5:48.0,,,87-89,,N. Batum enters the game for M. Kidd-Gilchrist
5:48.0,,,87-89,,K. Walker enters the game for R. Sessions
5:48.0,J. Johnson enters the game for D. Favors,,87-89,,
5:31.0,,,87-91,2,M. Belinelli makes 2-pt shot from 1 ft (assist by F. Kaminsky)
5:06.0,G. Hayward misses 2-pt shot from 18 ft,,87-91,,
5:04.0,,,87-91,,Defensive rebound by M. Williams
4:49.0,,,87-91,,F. Kaminsky misses 2-pt shot from 19 ft
4:48.0,Defensive rebound by J. Johnson,,87-91,,
4:41.0,,,87-91,,Personal foul by N. Batum (drawn by G. Hayward)
4:41.0,,,87-91,,C. Zeller enters the game for F. Kaminsky
4:34.0,Shooting foul by M. Belinelli (drawn by R. Hood),,87-91,,
4:34.0,R. Hood misses free throw 1 of 2,,87-91,,
4:34.0,Offensive rebound by Team,,87-91,,
4:34.0,R. Hood makes free throw 2 of 2,1,88-91,,
4:18.0,,,88-93,2,M. Williams makes 2-pt shot from 10 ft (assist by N. Batum)
4:04.0,Turnover by G. Hayward (lost ball; steal by N. Batum),,88-93,,
3:59.0,,,88-95,2,K. Walker makes 2-pt shot from 1 ft
3:59.0,,,88-95,,Shooting foul by R. Hood (drawn by K. Walker)
3:59.0,,,88-96,1,K. Walker makes free throw 1 of 1
3:59.0,S. Mack enters the game for R. Gobert,,88-95,,
3:59.0,D. Favors enters the game for D. Exum,,88-95,,
3:45.0,G. Hayward makes 2-pt shot from 1 ft,2,90-96,,
3:45.0,Shooting foul by N. Batum (drawn by G. Hayward),,90-96,,
3:45.0,G. Hayward makes free throw 1 of 1,1,91-96,,
3:32.0,,,91-98,2,K. Walker makes 2-pt shot from 16 ft (assist by N. Batum)
3:20.0,,,91-98,,Personal foul by N. Batum (drawn by G. Hayward)
3:20.0,G. Hayward makes free throw 1 of 2,1,92-98,,
3:20.0,G. Hayward makes free throw 2 of 2,1,93-98,,
3:20.0,,,92-98,,M. Kidd-Gilchrist enters the game for M. Belinelli
3:07.0,,,93-98,,N. Batum misses 3-pt shot from 25 ft
3:07.0,,,93-98,,Offensive rebound by Team
3:07.0,Loose ball foul by D. Favors (drawn by C. Zeller),,93-98,,
3:07.0,,,93-99,1,C. Zeller makes free throw 1 of 2
3:07.0,,,93-99,,C. Zeller misses free throw 2 of 2
3:05.0,Defensive rebound by G. Hayward,,93-99,,
2:42.0,J. Johnson misses 2-pt shot from 18 ft,,93-99,,
2:40.0,Offensive rebound by D. Favors,,93-99,,
2:36.0,G. Hayward misses 3-pt shot from 26 ft,,93-99,,
2:35.0,,,93-99,,Defensive rebound by M. Williams
2:22.0,,,93-101,2,K. Walker makes 2-pt shot from 1 ft
2:11.0,Shooting foul by C. Zeller (drawn by R. Hood),,93-101,,
2:11.0,,,93-101,,Charlotte full timeout
2:11.0,R. Hood makes free throw 1 of 2,1,94-101,,
