time,Portland,pts.away,score,pts.home,Brooklyn
6:09.0,,,53-44,,R. Hollis-Jefferson enters the game for S. Kilpatrick
6:09.0,E. Davis enters the game for N. Vonleh,,53-44,,
6:09.0,,,53-44,,T. Booker enters the game for L. Scola
5:54.0,,,53-46,2,B. Lopez makes 2-pt shot at rim (assist by B. Bogdanovic)
5:31.0,E. Turner makes 2-pt shot from 15 ft,2,55-46,,
5:17.0,,,55-48,2,B. Lopez makes 2-pt shot from 7 ft
5:01.0,A. Crabbe makes 3-pt shot from 25 ft (assist by C. McCollum),3,58-48,,
4:47.0,,,58-50,2,R. Hollis-Jefferson makes 2-pt shot from 17 ft
4:35.0,C. McCollum misses 2-pt shot at rim,,58-50,,
4:34.0,,,58-50,,Defensive rebound by B. Lopez
4:25.0,,,58-53,3,B. Lopez makes 3-pt shot from 25 ft (assist by R. Hollis-Jefferson)
4:07.0,M. Leonard misses 2-pt shot from 17 ft,,58-53,,
4:06.0,Offensive rebound by A. Crabbe,,58-53,,
4:04.0,Portland full timeout,,58-53,,
4:04.0,,,58-53,,J. Harris enters the game for Y. Ferrell
4:04.0,,,58-53,,I. Whitehead enters the game for B. Bogdanovic
4:04.0,D. Lillard enters the game for C. McCollum,,58-53,,
4:04.0,M. Harkless enters the game for M. Leonard,,58-53,,
4:02.0,Offensive foul by M. Harkless,,58-53,,
4:02.0,Turnover by M. Harkless (offensive foul),,58-53,,
3:50.0,,,58-55,2,R. Hollis-Jefferson makes 2-pt shot at rim
3:27.0,E. Davis misses 2-pt shot from 1 ft (block by B. Lopez),,58-55,,
3:24.0,,,58-55,,Defensive rebound by B. Lopez
3:20.0,Personal foul by M. Harkless (drawn by R. Hollis-Jefferson),,58-55,,
3:16.0,,,58-55,,Shooting foul by E. Davis (drawn by J. Harris)
3:16.0,,,58-56,1,J. Harris makes free throw 1 of 2
3:16.0,,,58-57,1,J. Harris makes free throw 2 of 2
3:04.0,E. Turner makes 2-pt shot from 17 ft,2,60-57,,
2:49.0,,,60-57,,R. Hollis-Jefferson misses 2-pt shot from 2 ft
2:47.0,,,60-57,,Offensive rebound by Team
2:35.0,,,60-57,,Turnover by J. Harris (bad pass; steal by E. Turner)
2:30.0,D. Lillard makes 2-pt shot from 3 ft (assist by E. Turner),2,62-57,,
2:11.0,,,62-59,2,B. Lopez makes 2-pt shot from 2 ft (assist by R. Hollis-Jefferson)
2:11.0,,,62-59,,Shooting foul by E. Turner (drawn by B. Lopez)
2:11.0,,,62-60,1,B. Lopez makes free throw 1 of 1
2:04.0,M. Harkless makes 2-pt shot from 2 ft (assist by E. Turner),2,64-60,,
1:49.0,,,64-62,2,R. Hollis-Jefferson makes 2-pt shot from 1 ft (assist by J. Harris)
1:37.0,D. Lillard makes 2-pt shot from 2 ft,2,66-62,,
1:30.0,,,66-62,,I. Whitehead misses 2-pt shot from 3 ft (block by E. Davis)
1:29.0,,,66-62,,Offensive rebound by Team
1:23.0,,,66-62,,J. Harris misses 2-pt shot from 19 ft
1:22.0,Defensive rebound by D. Lillard,,66-62,,
1:13.0,D. Lillard misses 3-pt shot from 27 ft,,66-62,,
1:12.0,,,66-62,,Defensive rebound by J. Harris
1:03.0,,,66-62,,R. Hollis-Jefferson misses 2-pt shot from 11 ft (block by E. Davis)
1:01.0,Defensive rebound by E. Davis,,66-62,,
0:53.0,E. Turner misses 2-pt shot from 16 ft,,66-62,,
0:52.0,,,66-62,,Defensive rebound by T. Booker
0:40.0,,,66-64,2,T. Booker makes 2-pt shot from 5 ft (assist by J. Harris)
0:40.0,Portland full timeout,,66-64,,
0:40.0,M. Leonard enters the game for E. Davis,,66-64,,
0:40.0,C. McCollum enters the game for M. Harkless,,66-64,,
0:35.0,D. Lillard makes 2-pt shot from 16 ft,2,68-64,,
0:26.0,,,68-64,,I. Whitehead misses 2-pt shot from 20 ft
0:26.0,Defensive rebound by Team,,68-64,,
0:26.0,,,68-64,,Loose ball foul by T. Booker (drawn by D. Lillard)
0:02.0,A. Crabbe makes 2-pt shot from 9 ft,2,70-64,,
0:00.0,,,70-64,,I. Whitehead misses 3-pt shot from 65 ft
0:00.0,,,70-64,,Offensive rebound by Team
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:47.0,Turnover by M. Plumlee (lost ball; steal by T. Booker),,70-64,,
11:33.0,,,70-67,3,T. Booker makes 3-pt shot from 24 ft (assist by B. Lopez)
11:08.0,M. Harkless makes 2-pt shot from 2 ft (assist by M. Plumlee),2,72-67,,
10:54.0,,,72-67,,R. Hollis-Jefferson misses 2-pt shot from 17 ft
10:52.0,Defensive rebound by M. Harkless,,72-67,,
10:46.0,Shooting foul by R. Hollis-Jefferson (drawn by E. Davis),,72-67,,
10:46.0,E. Davis makes free throw 1 of 2,1,73-67,,
10:46.0,E. Davis makes free throw 2 of 2,1,74-67,,
10:28.0,,,74-67,,B. Bogdanovic misses 3-pt shot from 25 ft
10:27.0,Defensive rebound by M. Plumlee,,74-67,,
10:11.0,Turnover by M. Plumlee (lost ball; steal by T. Booker),,74-67,,
10:06.0,,,74-69,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by I. Whitehead)
9:51.0,D. Lillard misses 3-pt shot from 27 ft,,74-69,,
9:50.0,,,74-69,,Defensive rebound by R. Hollis-Jefferson
9:45.0,,,74-69,,Turnover by T. Booker (traveling)
9:26.0,C. McCollum makes 3-pt shot from 25 ft (assist by E. Davis),3,77-69,,
9:15.0,,,77-69,,B. Lopez misses 2-pt shot from 16 ft
9:14.0,Defensive rebound by E. Davis,,77-69,,
9:05.0,M. Plumlee makes 2-pt shot from 17 ft (assist by E. Davis),2,79-69,,
9:05.0,,,79-69,,Brooklyn full timeout
8:54.0,,,79-69,,Turnover by R. Hollis-Jefferson (bad pass; steal by D. Lillard)
8:49.0,D. Lillard misses 2-pt shot from 2 ft (block by R. Hollis-Jefferson),,79-69,,
8:48.0,Offensive rebound by M. Harkless,,79-69,,
8:37.0,Shooting foul by I. Whitehead (drawn by E. Davis),,79-69,,
8:37.0,E. Davis misses free throw 1 of 2,,79-69,,
8:37.0,Offensive rebound by Team,,79-69,,
8:37.0,E. Davis makes free throw 2 of 2,1,80-69,,
8:22.0,,,80-71,2,T. Booker makes 2-pt shot from 2 ft
8:03.0,C. McCollum makes 3-pt shot from 23 ft,3,83-71,,
7:50.0,,,83-74,3,T. Booker makes 3-pt shot from 24 ft (assist by R. Hollis-Jefferson)
7:30.0,C. McCollum makes 3-pt shot from 24 ft (assist by M. Plumlee),3,86-74,,
7:22.0,,,86-74,,Shooting foul by E. Davis (drawn by I. Whitehead)
7:22.0,,,86-75,1,I. Whitehead makes free throw 1 of 2
7:22.0,,,86-76,1,I. Whitehead makes free throw 2 of 2
7:22.0,,,86-75,,J. Hamilton enters the game for T. Booker
7:10.0,C. McCollum makes 3-pt shot from 25 ft (assist by M. Plumlee),3,89-76,,
6:55.0,,,89-76,,Offensive foul by B. Lopez
6:55.0,,,89-76,,Turnover by B. Lopez (offensive foul)
6:43.0,Turnover by E. Davis (lost ball; steal by I. Whitehead),,89-76,,
6:39.0,,,89-76,,Shooting foul by E. Davis (drawn by I. Whitehead)
6:39.0,,,89-77,1,I. Whitehead makes free throw 1 of 2
6:39.0,,,89-78,1,I. Whitehead makes free throw 2 of 2
6:39.0,M. Leonard enters the game for E. Davis,,89-77,,
6:18.0,Turnover by C. McCollum (bad pass),,89-78,,
6:16.0,,,89-78,,R. Foye enters the game for I. Whitehead
6:05.0,,,89-78,,B. Lopez misses 2-pt shot from 5 ft (block by M. Plumlee)
6:04.0,,,89-78,,Offensive rebound by B. Lopez
6:03.0,,,89-78,,B. Lopez misses 2-pt shot from 3 ft
6:01.0,Defensive rebound by C. McCollum,,89-78,,
5:56.0,,,89-78,,Personal foul by B. Bogdanovic (drawn by M. Plumlee)
5:56.0,M. Plumlee makes free throw 1 of 2,1,90-78,,
5:56.0,M. Plumlee misses free throw 2 of 2,,90-78,,
5:56.0,,,90-78,,J. Harris enters the game for B. Bogdanovic
5:56.0,,,90-78,,S. Kilpatrick enters the game for R. Hollis-Jefferson
5:55.0,,,90-78,,Defensive rebound by R. Foye
5:49.0,,,90-78,,S. Kilpatrick misses 2-pt shot from 12 ft
5:47.0,Defensive rebound by D. Lillard,,90-78,,
5:37.0,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum),2,92-78,,
5:26.0,,,92-78,,Turnover by R. Foye (lost ball)
5:11.0,M. Leonard makes 3-pt shot from 23 ft (assist by M. Plumlee),3,95-78,,
5:11.0,,,95-78,,Brooklyn full timeout
4:55.0,,,95-78,,R. Foye misses 2-pt shot from 20 ft
4:54.0,Defensive rebound by M. Plumlee,,95-78,,
4:47.0,D. Lillard misses 3-pt shot from 28 ft,,95-78,,
4:46.0,,,95-78,,Defensive rebound by J. Hamilton
4:26.0,,,95-78,,B. Lopez misses 2-pt shot from 14 ft
4:25.0,Defensive rebound by M. Leonard,,95-78,,
4:17.0,M. Harkless makes 2-pt shot from 2 ft (assist by D. Lillard),2,97-78,,
4:03.0,Personal foul by C. McCollum (drawn by S. Kilpatrick),,97-78,,
4:03.0,E. Turner enters the game for M. Harkless,,97-78,,
4:03.0,,,97-78,,T. Booker enters the game for B. Lopez
3:57.0,,,97-78,,Turnover by R. Foye (bad pass; steal by M. Plumlee)
3:38.0,M. Plumlee misses 2-pt shot from 10 ft,,97-78,,
3:37.0,,,97-78,,Defensive rebound by J. Hamilton
3:29.0,,,97-78,,J. Harris misses 3-pt shot from 24 ft
3:28.0,Defensive rebound by C. McCollum,,97-78,,
3:23.0,Offensive charge foul by C. McCollum,,97-78,,
3:23.0,Turnover by C. McCollum (offensive foul),,97-78,,
3:23.0,A. Crabbe enters the game for C. McCollum,,97-78,,
3:23.0,N. Vonleh enters the game for M. Plumlee,,97-78,,
3:14.0,,,97-78,,R. Foye misses 3-pt shot from 26 ft
3:13.0,,,97-78,,Offensive rebound by T. Booker
3:06.0,Personal foul by N. Vonleh (drawn by T. Booker),,97-78,,
2:59.0,,,97-78,,J. Hamilton misses 3-pt shot from 24 ft
2:59.0,,,97-78,,Offensive rebound by Team
2:59.0,Portland full timeout,,97-78,,
2:55.0,,,97-81,3,J. Hamilton makes 3-pt shot from 25 ft (assist by R. Foye)
2:38.0,Turnover by N. Vonleh (bad pass),,97-81,,
2:20.0,,,97-84,3,R. Foye makes 3-pt shot from 24 ft (assist by J. Harris)
2:02.0,D. Lillard makes 2-pt shot from 16 ft,2,99-84,,
1:42.0,,,99-84,,T. Booker misses 2-pt shot from 4 ft
1:41.0,Defensive rebound by M. Leonard,,99-84,,
1:23.0,A. Crabbe misses 3-pt shot from 23 ft,,99-84,,
1:22.0,,,99-84,,Defensive rebound by R. Foye
1:03.0,,,99-84,,J. Hamilton misses 3-pt shot from 22 ft
1:01.0,,,99-84,,Offensive rebound by T. Booker
0:57.0,,,99-84,,R. Foye misses 3-pt shot from 25 ft
0:56.0,Defensive rebound by N. Vonleh,,99-84,,
0:49.0,A. Crabbe misses 3-pt shot from 23 ft,,99-84,,
0:48.0,Offensive rebound by Team,,99-84,,
0:48.0,,,99-84,,Loose ball foul by R. Foye (drawn by M. Leonard)
0:48.0,,,99-84,,Technical foul by J. Hamilton
0:48.0,D. Lillard misses technical free throw,,99-84,,
0:48.0,Offensive rebound by Team,,99-84,,
0:33.0,E. Turner misses 3-pt shot from 26 ft,,99-84,,
0:32.0,,,99-84,,Defensive rebound by Team
0:27.0,,,99-84,,R. Foye misses 2-pt shot from 2 ft (block by N. Vonleh)
0:25.0,Defensive rebound by D. Lillard,,99-84,,
0:06.0,Turnover by D. Lillard (lost ball),,99-84,,
0:02.0,,,99-84,,S. Kilpatrick misses 2-pt shot from 2 ft
0:01.0,Defensive rebound by N. Vonleh,,99-84,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:44.0,,,99-84,,S. Kilpatrick misses 2-pt shot from 9 ft
11:43.0,Defensive rebound by M. Leonard,,99-84,,
11:32.0,C. McCollum makes 2-pt shot from 2 ft,2,101-84,,
11:12.0,,,101-84,,Y. Ferrell misses 3-pt shot from 26 ft
11:11.0,Defensive rebound by M. Leonard,,101-84,,
10:53.0,E. Turner makes 2-pt shot from 14 ft,2,103-84,,
10:53.0,Shooting foul by S. Kilpatrick (drawn by E. Turner),,103-84,,
10:53.0,E. Turner makes free throw 1 of 1,1,104-84,,
10:40.0,,,104-86,2,B. Lopez makes 2-pt shot from 8 ft (assist by S. Kilpatrick)
10:20.0,M. Leonard misses 3-pt shot from 25 ft,,104-86,,
10:18.0,,,104-86,,Defensive rebound by J. Harris
10:07.0,,,104-86,,Y. Ferrell misses 2-pt shot from 16 ft
10:06.0,Defensive rebound by M. Plumlee,,104-86,,
9:54.0,,,104-86,,Personal foul by S. Kilpatrick (drawn by A. Crabbe)
9:54.0,Offensive foul by C. McCollum,,104-86,,
9:54.0,Turnover by C. McCollum (offensive foul),,104-86,,
9:45.0,,,104-86,,S. Kilpatrick misses 3-pt shot from 26 ft
9:44.0,Defensive rebound by Team,,104-86,,
9:27.0,M. Plumlee misses 2-pt shot from 19 ft,,104-86,,
9:26.0,,,104-86,,Defensive rebound by S. Kilpatrick
9:21.0,,,104-86,,S. Kilpatrick misses 2-pt shot from 3 ft (block by M. Plumlee)
9:21.0,,,104-86,,Offensive rebound by Team
9:17.0,,,104-88,2,J. Harris makes 2-pt shot at rim (assist by B. Lopez)
9:01.0,A. Crabbe makes 3-pt shot from 24 ft (assist by C. McCollum),3,107-88,,
8:52.0,,,107-88,,B. Lopez misses 3-pt shot from 26 ft
8:51.0,Defensive rebound by M. Plumlee,,107-88,,
8:41.0,Turnover by C. McCollum (bad pass; steal by B. Lopez),,107-88,,
8:40.0,Personal foul by M. Plumlee (drawn by S. Kilpatrick),,107-88,,
8:40.0,Official timeout,,107-88,,
8:40.0,,,107-88,,B. Bogdanovic enters the game for S. Kilpatrick
8:19.0,,,107-88,,B. Lopez misses 3-pt shot from 28 ft
8:18.0,Defensive rebound by M. Plumlee,,107-88,,
8:09.0,C. McCollum makes 2-pt shot from 3 ft,2,109-88,,
8:09.0,Shooting foul by J. Hamilton (drawn by C. McCollum),,109-88,,
8:09.0,C. McCollum makes free throw 1 of 1,1,110-88,,
8:09.0,,,109-88,,I. Whitehead enters the game for Y. Ferrell
8:04.0,Personal foul by E. Turner (drawn by B. Bogdanovic),,110-88,,
7:56.0,,,110-88,,I. Whitehead misses 2-pt shot from 2 ft
7:55.0,,,110-88,,Offensive rebound by B. Lopez
7:55.0,,,110-88,,Shooting foul by M. Plumlee (drawn by B. Lopez)
7:55.0,,,110-89,1,B. Lopez makes free throw 1 of 2
7:55.0,,,110-90,1,B. Lopez makes free throw 2 of 2
7:55.0,,,110-89,,T. Booker enters the game for J. Hamilton
7:30.0,E. Turner misses 2-pt shot from 14 ft,,110-90,,
7:29.0,,,110-90,,Defensive rebound by J. Harris
7:24.0,,,110-90,,J. Harris misses 2-pt shot from 1 ft
7:23.0,Defensive rebound by M. Leonard,,110-90,,
7:05.0,C. McCollum makes 2-pt shot from 8 ft,2,112-90,,
7:05.0,Technical foul by C. McCollum,,112-90,,
7:05.0,,,112-91,1,B. Bogdanovic makes technical free throw
7:05.0,M. Harkless enters the game for M. Leonard,,112-91,,
6:53.0,,,112-93,2,B. Bogdanovic makes 2-pt shot from 12 ft
6:41.0,C. McCollum misses 2-pt shot from 12 ft (block by I. Whitehead),,112-93,,
6:39.0,Offensive rebound by M. Harkless,,112-93,,
6:37.0,M. Harkless makes 2-pt shot from 1 ft,2,114-93,,
6:25.0,,,114-93,,I. Whitehead misses 3-pt shot from 22 ft
6:24.0,Defensive rebound by E. Turner,,114-93,,
6:18.0,M. Harkless misses 3-pt shot from 24 ft,,114-93,,
6:17.0,,,114-93,,Defensive rebound by Team
5:56.0,,,114-93,,B. Bogdanovic misses 3-pt shot from 26 ft
5:55.0,Defensive rebound by E. Turner,,114-93,,
5:47.0,C. McCollum misses 3-pt shot from 23 ft,,114-93,,
5:46.0,Offensive rebound by M. Plumlee,,114-93,,
5:36.0,Shooting foul by B. Bogdanovic (drawn by C. McCollum),,114-93,,
5:36.0,,,114-93,,Brooklyn full timeout
5:36.0,C. McCollum makes free throw 1 of 2,1,115-93,,
5:36.0,C. McCollum makes free throw 2 of 2,1,116-93,,
5:36.0,,,114-93,,L. Scola enters the game for B. Lopez
5:36.0,,,114-93,,R. Hollis-Jefferson enters the game for T. Booker
5:36.0,,,114-93,,A. Bennett enters the game for B. Bogdanovic
5:24.0,,,116-95,2,J. Harris makes 2-pt shot from 2 ft
5:01.0,C. McCollum misses 3-pt shot from 25 ft,,116-95,,
5:00.0,,,116-95,,Defensive rebound by A. Bennett
4:54.0,,,116-95,,A. Bennett misses 3-pt shot from 25 ft
4:53.0,Defensive rebound by E. Turner,,116-95,,
4:48.0,Shooting foul by R. Hollis-Jefferson (drawn by E. Turner),,116-95,,
4:48.0,E. Turner makes free throw 1 of 2,1,117-95,,
