time,Denver,pts.away,score,pts.home,Houston
11:00.0,Loose ball foul by E. Mudiay (drawn by P. Beverley),,27-36,,
10:47.0,,,27-38,2,P. Beverley makes 2-pt shot from 2 ft
10:28.0,J. Murray misses 3-pt shot from 25 ft,,27-38,,
10:27.0,,,27-38,,Defensive rebound by T. Ariza
10:19.0,,,27-38,,P. Beverley misses 2-pt shot from 2 ft
10:18.0,Defensive rebound by J. Murray,,27-38,,
10:13.0,,,27-38,,Personal foul by P. Beverley (drawn by J. Murray)
10:13.0,G. Harris enters the game for J. Hernangomez,,27-38,,
10:05.0,M. Plumlee makes 2-pt shot from 8 ft (assist by J. Murray),2,29-38,,
9:51.0,,,29-38,,E. Gordon misses 2-pt shot from 9 ft
9:50.0,,,29-38,,Offensive rebound by C. Capela
9:34.0,,,29-38,,E. Gordon misses 3-pt shot from 25 ft
9:33.0,Defensive rebound by E. Mudiay,,29-38,,
9:20.0,G. Harris misses 3-pt shot from 26 ft,,29-38,,
9:19.0,,,29-38,,Defensive rebound by T. Ariza
9:13.0,,,29-38,,Shooting foul by E. Mudiay (drawn by L. Williams)
9:13.0,,,29-39,1,L. Williams makes free throw 1 of 3
9:13.0,,,29-40,1,L. Williams makes free throw 2 of 3
9:13.0,,,29-41,1,L. Williams makes free throw 3 of 3
8:58.0,J. Murray misses 3-pt shot from 25 ft,,29-41,,
8:57.0,,,29-41,,Defensive rebound by L. Williams
8:50.0,,,29-41,,L. Williams misses 2-pt shot from 1 ft
8:50.0,,,29-41,,Offensive rebound by C. Capela
8:50.0,,,29-43,2,C. Capela makes 2-pt shot at rim
8:31.0,G. Harris misses 2-pt shot from 9 ft,,29-43,,
8:30.0,,,29-43,,Defensive rebound by C. Capela
8:21.0,,,29-45,2,C. Capela makes 2-pt shot at rim (assist by P. Beverley)
8:21.0,Denver full timeout,,29-45,,
8:21.0,D. Gallinari enters the game for J. Murray,,29-45,,
8:21.0,N. Jokic enters the game for E. Mudiay,,29-45,,
8:21.0,J. Nelson enters the game for M. Plumlee,,29-45,,
8:06.0,N. Jokic misses 2-pt shot from 4 ft,,29-45,,
8:05.0,,,29-45,,Defensive rebound by P. Beverley
7:45.0,,,29-45,,E. Gordon misses 2-pt shot from 2 ft
7:44.0,Defensive rebound by N. Jokic,,29-45,,
7:34.0,G. Harris makes 2-pt shot from 20 ft,2,31-45,,
7:25.0,,,31-45,,L. Williams misses 2-pt shot from 15 ft
7:25.0,Defensive rebound by Team,,31-45,,
7:25.0,,,31-45,,Loose ball foul by C. Capela (drawn by N. Jokic)
7:05.0,W. Chandler misses 2-pt shot from 6 ft,,31-45,,
7:04.0,,,31-45,,Defensive rebound by P. Beverley
6:58.0,,,31-45,,Shooting foul by G. Harris (drawn by P. Beverley)
6:58.0,,,31-45,,P. Beverley misses free throw 1 of 3
6:58.0,,,31-45,,Offensive rebound by Team
6:58.0,,,31-46,1,P. Beverley makes free throw 2 of 3
6:58.0,,,31-46,,P. Beverley misses free throw 3 of 3
6:58.0,Defensive rebound by N. Jokic,,31-46,,
6:58.0,,,31-46,,T. Williams enters the game for T. Ariza
6:58.0,,,31-46,,J. Harden enters the game for E. Gordon
6:45.0,W. Chandler makes 2-pt shot from 2 ft (assist by N. Jokic),2,33-46,,
6:36.0,,,33-48,2,C. Capela makes 2-pt shot at rim (assist by L. Williams)
6:22.0,D. Gallinari misses 3-pt shot from 25 ft,,33-48,,
6:22.0,,,33-48,,Defensive rebound by C. Capela
6:12.0,,,33-50,2,C. Capela makes 2-pt shot from 2 ft (assist by L. Williams)
6:12.0,,,33-50,,Shooting foul by J. Nelson (drawn by C. Capela)
6:12.0,,,33-50,,C. Capela misses free throw 1 of 1
6:12.0,Defensive rebound by N. Jokic,,33-50,,
6:12.0,J. Murray enters the game for G. Harris,,33-50,,
6:00.0,D. Gallinari makes 3-pt shot from 25 ft (assist by J. Murray),3,36-50,,
5:49.0,,,36-50,,J. Harden misses 2-pt shot from 13 ft
5:47.0,,,36-50,,Offensive rebound by P. Beverley
5:43.0,,,36-50,,J. Harden misses 3-pt shot from 25 ft
5:43.0,Defensive rebound by W. Chandler,,36-50,,
5:34.0,D. Gallinari misses 2-pt shot from 13 ft,,36-50,,
5:33.0,,,36-50,,Defensive rebound by J. Harden
5:15.0,,,36-50,,Turnover by L. Williams (bad pass; steal by N. Jokic)
5:10.0,J. Murray makes 2-pt shot at rim (assist by J. Nelson),2,38-50,,
4:56.0,,,38-50,,J. Harden misses 3-pt shot from 26 ft
4:55.0,Defensive rebound by N. Jokic,,38-50,,
4:41.0,Turnover by W. Chandler (lost ball; steal by P. Beverley),,38-50,,
4:17.0,,,38-50,,Turnover by P. Beverley (step out of bounds)
4:17.0,Denver full timeout,,38-50,,
4:17.0,,,38-50,,E. Gordon enters the game for C. Capela
4:17.0,,,38-50,,N. Hilario enters the game for P. Beverley
4:05.0,N. Jokic misses 2-pt shot from 14 ft,,38-50,,
4:04.0,,,38-50,,Defensive rebound by L. Williams
3:56.0,,,38-50,,L. Williams misses 2-pt shot from 10 ft
3:55.0,Defensive rebound by D. Gallinari,,38-50,,
3:48.0,J. Murray makes 2-pt shot from 2 ft (assist by D. Gallinari),2,40-50,,
3:32.0,,,40-52,2,N. Hilario makes 2-pt shot from 9 ft (assist by E. Gordon)
3:20.0,D. Gallinari makes 2-pt shot from 1 ft,2,42-52,,
3:12.0,,,42-52,,E. Gordon misses 3-pt shot from 26 ft
3:11.0,Defensive rebound by J. Murray,,42-52,,
3:05.0,J. Murray misses 3-pt shot from 24 ft,,42-52,,
3:04.0,,,42-52,,Defensive rebound by Team
3:04.0,Loose ball foul by N. Jokic (drawn by L. Williams),,42-52,,
3:04.0,,,42-52,,L. Williams misses free throw 1 of 2
3:04.0,,,42-52,,Offensive rebound by Team
3:04.0,,,42-53,1,L. Williams makes free throw 2 of 2
3:04.0,,,42-52,,T. Ariza enters the game for T. Williams
2:52.0,W. Chandler misses 3-pt shot from 26 ft,,42-53,,
2:52.0,,,42-53,,Defensive rebound by T. Ariza
2:37.0,,,42-55,2,T. Ariza makes 2-pt shot from 1 ft
2:24.0,W. Chandler makes 3-pt shot from 26 ft (assist by N. Jokic),3,45-55,,
2:08.0,,,45-57,2,N. Hilario makes 2-pt shot from 2 ft (assist by T. Ariza)
1:54.0,J. Murray makes 2-pt shot at rim (assist by J. Nelson),2,47-57,,
1:54.0,,,47-57,,Houston full timeout
1:54.0,,,47-57,,P. Beverley enters the game for L. Williams
1:38.0,,,47-57,,J. Harden misses 2-pt shot from 11 ft
1:37.0,Defensive rebound by N. Jokic,,47-57,,
1:31.0,W. Chandler misses 2-pt shot from 2 ft,,47-57,,
