time,New York,pts.away,score,pts.home,Brooklyn
6:48.0,K. Porzingis makes 2-pt shot from 10 ft,2,12-13,,
6:31.0,,,12-16,3,B. Lopez makes 3-pt shot from 24 ft (assist by C. LeVert)
6:22.0,,,12-16,,Personal foul by C. LeVert (drawn by C. Lee)
6:09.0,W. Hernangomez makes 2-pt shot at rim (assist by K. Porzingis),2,14-16,,
6:03.0,,,14-19,3,B. Lopez makes 3-pt shot from 25 ft (assist by R. Foye)
5:49.0,K. Porzingis makes 3-pt shot from 24 ft (assist by D. Rose),3,17-19,,
5:40.0,,,17-21,2,T. Booker makes 2-pt shot from 2 ft (assist by C. LeVert)
5:36.0,New York full timeout,,17-21,,
5:36.0,,,17-21,,I. Whitehead enters the game for C. LeVert
5:36.0,,,17-21,,S. Kilpatrick enters the game for R. Foye
5:24.0,C. Anthony misses 2-pt shot from 4 ft (block by B. Lopez),,17-21,,
5:22.0,,,17-21,,Defensive rebound by J. Lin
5:07.0,,,17-21,,J. Lin misses 2-pt shot from 9 ft
5:06.0,Defensive rebound by W. Hernangomez,,17-21,,
4:58.0,C. Anthony misses 2-pt shot from 17 ft,,17-21,,
4:57.0,Offensive rebound by Team,,17-21,,
4:57.0,,,17-21,,Loose ball foul by T. Booker (drawn by W. Hernangomez)
4:57.0,,,17-21,,S. Dinwiddie enters the game for J. Lin
4:57.0,J. Holiday enters the game for C. Lee,,17-21,,
4:57.0,L. Thomas enters the game for W. Hernangomez,,17-21,,
4:46.0,L. Thomas misses 3-pt shot from 24 ft,,17-21,,
4:45.0,Offensive rebound by D. Rose,,17-21,,
4:41.0,D. Rose makes 2-pt shot from 2 ft,2,19-21,,
4:29.0,,,19-24,3,I. Whitehead makes 3-pt shot from 23 ft (assist by S. Dinwiddie)
4:14.0,J. Holiday misses 2-pt shot from 23 ft,,19-24,,
4:13.0,,,19-24,,Defensive rebound by T. Booker
4:03.0,,,19-27,3,B. Lopez makes 3-pt shot from 27 ft (assist by S. Dinwiddie)
3:50.0,D. Rose misses 2-pt shot from 19 ft,,19-27,,
3:48.0,,,19-27,,Defensive rebound by I. Whitehead
3:32.0,,,19-27,,I. Whitehead misses 2-pt shot from 1 ft
3:30.0,Defensive rebound by L. Thomas,,19-27,,
3:21.0,C. Anthony misses 3-pt shot from 24 ft,,19-27,,
3:20.0,,,19-27,,Defensive rebound by B. Lopez
3:13.0,,,19-27,,S. Kilpatrick misses 2-pt shot from 2 ft (block by C. Anthony)
3:11.0,,,19-27,,Offensive rebound by T. Booker
3:10.0,,,19-29,2,T. Booker makes 2-pt shot from 1 ft
3:02.0,Turnover by C. Anthony (offensive foul),,19-29,,
3:02.0,Offensive foul by C. Anthony,,19-29,,
3:02.0,K. O'Quinn enters the game for K. Porzingis,,19-29,,
2:46.0,Personal foul by K. O'Quinn (drawn by B. Lopez),,19-29,,
2:46.0,,,19-29,,Brooklyn full timeout
2:46.0,,,19-29,,Q. Acy enters the game for B. Lopez
2:38.0,,,19-31,2,S. Kilpatrick makes 2-pt shot from 2 ft
2:20.0,C. Anthony misses 2-pt shot from 17 ft,,19-31,,
2:18.0,,,19-31,,Defensive rebound by Q. Acy
2:03.0,,,19-31,,Turnover by Q. Acy (lost ball; steal by K. O'Quinn)
1:54.0,C. Anthony makes 2-pt shot from 2 ft (assist by J. Holiday),2,21-31,,
1:52.0,Violation by Team (jump ball),,21-31,,
1:38.0,,,21-34,3,Q. Acy makes 3-pt shot from 26 ft (assist by S. Dinwiddie)
1:29.0,D. Rose misses 2-pt shot from 6 ft (block by S. Dinwiddie),,21-34,,
1:27.0,Offensive rebound by Team,,21-34,,
1:24.0,D. Rose makes 2-pt shot from 2 ft,2,23-34,,
1:24.0,Shooting foul by Q. Acy (drawn by D. Rose),,23-34,,
1:24.0,D. Rose makes free throw 1 of 1,1,24-34,,
1:05.0,,,24-36,2,I. Whitehead makes 2-pt shot from 10 ft
0:47.0,L. Thomas misses 2-pt shot from 8 ft,,24-36,,
0:46.0,Offensive rebound by L. Thomas,,24-36,,
0:41.0,C. Anthony misses 3-pt shot from 25 ft,,24-36,,
0:40.0,,,24-36,,Defensive rebound by T. Booker
0:29.0,,,24-39,3,T. Booker makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
0:22.0,J. Holiday makes 2-pt shot at rim (assist by K. O'Quinn),2,26-39,,
0:06.0,Personal foul by D. Rose (drawn by I. Whitehead),,26-39,,
0:01.0,,,26-39,,Q. Acy misses 2-pt shot from 11 ft
0:00.0,,,26-39,,Offensive rebound by Team
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:47.0,,,26-39,,Personal foul by S. Kilpatrick (drawn by J. Holiday)
11:43.0,J. Holiday misses 2-pt shot from 18 ft,,26-39,,
11:42.0,,,26-39,,Defensive rebound by S. Kilpatrick
11:25.0,,,26-39,,S. Kilpatrick misses 3-pt shot from 25 ft
11:24.0,,,26-39,,Offensive rebound by T. Booker
11:14.0,,,26-39,,Turnover by Q. Acy (traveling)
10:55.0,K. O'Quinn makes 2-pt shot from 19 ft (assist by C. Randle),2,28-39,,
10:39.0,,,28-42,3,S. Dinwiddie makes 3-pt shot from 25 ft
10:22.0,L. Thomas makes 2-pt shot from 21 ft,2,30-42,,
10:03.0,,,30-45,3,Q. Acy makes 3-pt shot from 25 ft (assist by S. Dinwiddie)
9:41.0,R. Baker makes 2-pt shot from 20 ft (assist by K. O'Quinn),2,32-45,,
9:25.0,,,32-45,,T. Booker misses 2-pt shot from 10 ft
9:24.0,Defensive rebound by J. Holiday,,32-45,,
9:00.0,J. Holiday misses 2-pt shot from 19 ft,,32-45,,
8:59.0,,,32-45,,Defensive rebound by I. Whitehead
8:59.0,Loose ball foul by K. O'Quinn (drawn by I. Whitehead),,32-45,,
8:58.0,Official timeout,,32-45,,
8:58.0,C. Lee enters the game for J. Holiday,,32-45,,
8:58.0,K. Porzingis enters the game for K. O'Quinn,,32-45,,
8:40.0,,,32-45,,S. Kilpatrick misses 3-pt shot from 25 ft
8:39.0,Defensive rebound by K. Porzingis,,32-45,,
8:31.0,C. Randle misses 2-pt shot from 5 ft,,32-45,,
8:29.0,Offensive rebound by L. Thomas,,32-45,,
8:28.0,L. Thomas misses 2-pt shot from 2 ft,,32-45,,
8:27.0,,,32-45,,Defensive rebound by Q. Acy
8:23.0,,,32-45,,T. Booker misses 2-pt shot from 2 ft (block by K. Porzingis)
8:21.0,Defensive rebound by R. Baker,,32-45,,
8:16.0,Shooting foul by Q. Acy (drawn by C. Randle),,32-45,,
8:16.0,C. Randle makes free throw 1 of 2,1,33-45,,
8:16.0,C. Randle makes free throw 2 of 2,1,34-45,,
8:04.0,,,34-48,3,I. Whitehead makes 3-pt shot from 23 ft (assist by Q. Acy)
7:47.0,K. Porzingis misses 2-pt shot from 15 ft,,34-48,,
7:46.0,,,34-48,,Defensive rebound by S. Kilpatrick
7:36.0,,,34-50,2,T. Booker makes 2-pt shot from 3 ft (assist by S. Kilpatrick)
7:18.0,R. Baker makes 2-pt shot from 3 ft (assist by K. Porzingis),2,36-50,,
6:59.0,,,36-50,,Turnover by T. Booker (step out of bounds)
6:46.0,K. Porzingis misses 2-pt shot from 20 ft,,36-50,,
6:45.0,,,36-50,,Defensive rebound by Q. Acy
6:40.0,,,36-53,3,S. Dinwiddie makes 3-pt shot from 24 ft (assist by S. Kilpatrick)
6:18.0,C. Lee misses 3-pt shot from 24 ft,,36-53,,
6:17.0,,,36-53,,Defensive rebound by Q. Acy
6:15.0,,,36-53,,Turnover by Q. Acy (bad pass; steal by C. Lee)
6:10.0,K. Porzingis misses 3-pt shot from 25 ft,,36-53,,
6:07.0,,,36-53,,Defensive rebound by T. Booker
6:02.0,,,36-53,,Brooklyn full timeout
6:02.0,,,36-53,,J. Lin enters the game for S. Dinwiddie
6:02.0,W. Hernangomez enters the game for L. Thomas,,36-53,,
6:02.0,D. Rose enters the game for C. Randle,,36-53,,
5:47.0,,,36-56,3,Q. Acy makes 3-pt shot from 27 ft (assist by I. Whitehead)
5:37.0,Turnover by R. Baker (lost ball; steal by I. Whitehead),,36-56,,
5:32.0,,,36-56,,Turnover by I. Whitehead (bad pass; steal by R. Baker)
5:27.0,W. Hernangomez makes 2-pt shot at rim (assist by R. Baker),2,38-56,,
5:11.0,,,38-56,,S. Kilpatrick misses 3-pt shot from 24 ft
5:10.0,Defensive rebound by D. Rose,,38-56,,
5:04.0,R. Baker misses 3-pt shot from 25 ft,,38-56,,
5:03.0,Offensive rebound by D. Rose,,38-56,,
5:01.0,C. Lee misses 3-pt shot from 24 ft,,38-56,,
4:59.0,,,38-56,,Defensive rebound by Q. Acy
4:53.0,,,38-56,,J. Lin misses 3-pt shot from 24 ft
4:52.0,Defensive rebound by D. Rose,,38-56,,
4:45.0,,,38-56,,Shooting block foul by S. Kilpatrick (drawn by D. Rose)
4:45.0,,,38-56,,Technical foul by S. Kilpatrick (drawn by D. Rose)
4:45.0,C. Lee makes technical free throw,1,39-56,,
4:45.0,D. Rose makes free throw 1 of 2,1,40-56,,
4:45.0,D. Rose makes free throw 2 of 2,1,41-56,,
4:45.0,,,40-56,,B. Lopez enters the game for Q. Acy
4:45.0,,,40-56,,C. LeVert enters the game for T. Booker
4:45.0,,,40-56,,R. Hollis-Jefferson enters the game for S. Kilpatrick
4:33.0,,,41-56,,J. Lin misses 3-pt shot from 26 ft
4:32.0,Defensive rebound by K. Porzingis,,41-56,,
4:18.0,C. Lee misses 2-pt shot from 17 ft,,41-56,,
4:17.0,,,41-56,,Defensive rebound by B. Lopez
4:03.0,,,41-59,3,C. LeVert makes 3-pt shot from 24 ft (assist by B. Lopez)
3:51.0,Shooting foul by R. Hollis-Jefferson (drawn by K. Porzingis),,41-59,,
3:51.0,K. Porzingis makes free throw 1 of 2,1,42-59,,
3:51.0,K. Porzingis makes free throw 2 of 2,1,43-59,,
3:51.0,C. Anthony enters the game for R. Baker,,42-59,,
3:40.0,,,43-59,,R. Hollis-Jefferson misses 2-pt shot at rim (block by W. Hernangomez)
3:39.0,Defensive rebound by C. Anthony,,43-59,,
3:35.0,D. Rose makes 2-pt shot from 22 ft,2,45-59,,
3:21.0,,,45-59,,J. Lin misses 2-pt shot from 2 ft
3:19.0,,,45-59,,Offensive rebound by R. Hollis-Jefferson
3:19.0,,,45-61,2,R. Hollis-Jefferson makes 2-pt shot at rim
3:04.0,C. Anthony makes 2-pt shot from 14 ft,2,47-61,,
3:00.0,,,47-61,,Turnover by B. Lopez (lost ball)
3:00.0,,,47-61,,S. Kilpatrick enters the game for I. Whitehead
2:46.0,C. Anthony misses 2-pt shot from 17 ft,,47-61,,
2:46.0,,,47-61,,Defensive rebound by S. Kilpatrick
2:31.0,,,47-61,,B. Lopez misses 2-pt shot from 3 ft
2:30.0,Defensive rebound by W. Hernangomez,,47-61,,
2:20.0,W. Hernangomez misses 2-pt shot from 21 ft,,47-61,,
2:19.0,Offensive rebound by D. Rose,,47-61,,
2:08.0,K. Porzingis misses 2-pt shot from 18 ft,,47-61,,
2:07.0,,,47-61,,Defensive rebound by S. Kilpatrick
1:59.0,,,47-63,2,C. LeVert makes 2-pt shot from 17 ft
1:53.0,New York full timeout,,47-63,,
1:53.0,J. Holiday enters the game for K. Porzingis,,47-63,,
1:45.0,W. Hernangomez misses 2-pt shot from 6 ft,,47-63,,
1:44.0,,,47-63,,Defensive rebound by S. Kilpatrick
1:39.0,,,47-63,,Turnover by J. Lin (offensive foul)
1:39.0,,,47-63,,Offensive charge foul by J. Lin
1:23.0,W. Hernangomez makes 2-pt shot from 22 ft,2,49-63,,
1:06.0,,,49-63,,Shooting foul by C. Anthony (drawn by R. Hollis-Jefferson)
1:06.0,,,49-63,,R. Hollis-Jefferson misses free throw 1 of 2
1:06.0,,,49-63,,Offensive rebound by Team
1:06.0,,,49-63,,R. Hollis-Jefferson misses free throw 2 of 2
1:03.0,,,49-63,,Offensive rebound by Team
1:01.0,,,49-65,2,C. LeVert makes 2-pt shot from 2 ft (assist by J. Lin)
0:49.0,D. Rose misses 2-pt shot from 20 ft,,49-65,,
0:48.0,,,49-65,,Defensive rebound by R. Hollis-Jefferson
0:41.0,,,49-65,,Shooting foul by J. Holiday (drawn by J. Lin)
0:41.0,,,49-66,1,J. Lin makes free throw 1 of 2
0:41.0,,,49-67,1,J. Lin makes free throw 2 of 2
0:26.0,J. Holiday misses 3-pt shot from 25 ft,,49-67,,
0:25.0,,,49-67,,Defensive rebound by J. Lin
0:02.0,,,49-67,,Turnover by Team (shot clock)
0:02.0,New York full timeout,,49-67,,
0:02.0,K. Porzingis enters the game for J. Holiday,,49-67,,
0:01.0,W. Hernangomez misses 3-pt shot from 35 ft,,49-67,,
0:00.0,Offensive rebound by Team,,49-67,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,Turnover by K. Porzingis (lost ball; steal by C. LeVert),,49-67,,
11:46.0,,,49-67,,Shooting foul by C. Lee (drawn by C. LeVert)
11:46.0,,,49-67,,C. LeVert misses free throw 1 of 2
11:46.0,,,49-67,,Offensive rebound by Team
11:46.0,,,49-68,1,C. LeVert makes free throw 2 of 2
11:35.0,C. Lee misses 2-pt shot from 21 ft,,49-68,,
11:34.0,,,49-68,,Defensive rebound by R. Hollis-Jefferson
11:29.0,Personal foul by L. Thomas (drawn by R. Hollis-Jefferson),,49-68,,
11:29.0,,,49-69,1,R. Hollis-Jefferson makes free throw 1 of 2
11:29.0,,,49-70,1,R. Hollis-Jefferson makes free throw 2 of 2
11:19.0,C. Anthony makes 2-pt shot from 2 ft (assist by L. Thomas),2,51-70,,
11:19.0,Shooting foul by R. Hollis-Jefferson (drawn by C. Anthony),,51-70,,
11:19.0,C. Anthony makes free throw 1 of 1,1,52-70,,
11:03.0,,,52-72,2,B. Lopez makes 2-pt shot at rim (assist by C. LeVert)
10:43.0,D. Rose misses 2-pt shot from 18 ft,,52-72,,
10:42.0,Offensive rebound by K. Porzingis,,52-72,,
10:41.0,K. Porzingis misses 2-pt shot from 2 ft,,52-72,,
10:40.0,,,52-72,,Defensive rebound by C. LeVert
10:34.0,,,52-72,,Shooting foul by K. Porzingis (drawn by C. LeVert)
10:34.0,,,52-73,1,C. LeVert makes free throw 1 of 2
10:34.0,,,52-74,1,C. LeVert makes free throw 2 of 2
10:21.0,C. Lee makes 2-pt shot from 10 ft (assist by L. Thomas),2,54-74,,
10:09.0,,,54-74,,J. Lin misses 2-pt shot from 9 ft
10:08.0,,,54-74,,Offensive rebound by R. Hollis-Jefferson
10:06.0,,,54-76,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft
9:53.0,L. Thomas makes 3-pt shot from 25 ft (assist by D. Rose),3,57-76,,
9:46.0,,,57-76,,Turnover by J. Lin (bad pass)
9:34.0,C. Anthony misses 2-pt shot from 3 ft,,57-76,,
9:33.0,Offensive rebound by C. Anthony,,57-76,,
9:31.0,C. Anthony makes 2-pt shot from 3 ft,2,59-76,,
9:31.0,Technical foul by Team,,59-76,,
9:31.0,,,59-77,1,B. Lopez makes technical free throw
9:26.0,Personal foul by K. Porzingis (drawn by B. Lopez),,59-77,,
9:18.0,,,59-77,,Turnover by B. Lopez (bad pass; steal by D. Rose)
9:09.0,C. Lee makes 3-pt shot from 23 ft (assist by L. Thomas),3,62-77,,
8:58.0,,,62-77,,J. Lin misses 3-pt shot from 26 ft
8:55.0,Defensive rebound by K. Porzingis,,62-77,,
8:49.0,C. Lee misses 2-pt shot from 2 ft,,62-77,,
8:48.0,,,62-77,,Defensive rebound by J. Lin
8:42.0,,,62-79,2,R. Hollis-Jefferson makes 2-pt shot from 2 ft (assist by J. Lin)
8:23.0,C. Anthony misses 2-pt shot from 15 ft,,62-79,,
8:21.0,,,62-79,,Defensive rebound by R. Hollis-Jefferson
8:17.0,,,62-79,,Shooting foul by C. Lee (drawn by J. Lin)
8:17.0,,,62-80,1,J. Lin makes free throw 1 of 2
8:17.0,,,62-80,,J. Lin misses free throw 2 of 2
8:16.0,Defensive rebound by C. Anthony,,62-80,,
8:15.0,,,62-80,,Personal foul by R. Hollis-Jefferson (drawn by C. Anthony)
8:04.0,K. Porzingis makes 3-pt shot from 25 ft (assist by C. Anthony),3,65-80,,
7:46.0,,,65-80,,J. Lin misses 3-pt shot from 25 ft
7:45.0,Defensive rebound by Team,,65-80,,
7:27.0,K. Porzingis misses 2-pt shot from 14 ft,,65-80,,
7:26.0,,,65-80,,Defensive rebound by R. Hollis-Jefferson
7:13.0,,,65-80,,J. Lin misses 3-pt shot from 25 ft
7:12.0,Defensive rebound by L. Thomas,,65-80,,
7:02.0,C. Anthony misses 2-pt shot from 14 ft,,65-80,,
7:01.0,,,65-80,,Defensive rebound by C. LeVert
6:46.0,,,65-80,,Turnover by R. Hollis-Jefferson (lost ball; steal by D. Rose)
6:43.0,Shooting foul by C. LeVert (drawn by D. Rose),,65-80,,
6:43.0,,,65-80,,Brooklyn full timeout
6:43.0,D. Rose makes free throw 1 of 2,1,66-80,,
6:43.0,D. Rose makes free throw 2 of 2,1,67-80,,
6:43.0,,,65-80,,I. Whitehead enters the game for R. Foye
6:19.0,,,67-80,,Turnover by Team (shot clock)
6:07.0,K. Porzingis makes 2-pt shot from 2 ft (assist by L. Thomas),2,69-80,,
5:54.0,,,69-83,3,B. Lopez makes 3-pt shot from 26 ft (assist by J. Lin)
5:40.0,K. Porzingis misses 3-pt shot from 25 ft,,69-83,,
5:39.0,,,69-83,,Defensive rebound by C. LeVert
5:28.0,,,69-83,,I. Whitehead misses 3-pt shot from 27 ft
5:27.0,Defensive rebound by C. Anthony,,69-83,,
5:13.0,C. Lee makes 2-pt shot from 2 ft,2,71-83,,
5:13.0,Shooting foul by I. Whitehead (drawn by C. Lee),,71-83,,
5:13.0,C. Lee makes free throw 1 of 1,1,72-83,,
5:13.0,R. Baker enters the game for L. Thomas,,71-83,,
5:13.0,,,71-83,,S. Kilpatrick enters the game for C. LeVert
4:54.0,,,72-83,,Turnover by B. Lopez (bad pass)
4:54.0,,,72-83,,T. Booker enters the game for R. Hollis-Jefferson
4:54.0,,,72-83,,S. Dinwiddie enters the game for J. Lin
4:46.0,K. Porzingis makes 2-pt shot at rim (assist by C. Anthony),2,74-83,,
4:36.0,,,74-83,,I. Whitehead misses 2-pt shot from 3 ft
4:34.0,Defensive rebound by K. Porzingis,,74-83,,
4:24.0,C. Anthony misses 3-pt shot from 26 ft,,74-83,,
4:22.0,,,74-83,,Defensive rebound by S. Kilpatrick
4:14.0,,,74-83,,S. Kilpatrick misses 3-pt shot from 25 ft
4:08.0,,,74-83,,Offensive rebound by T. Booker
4:06.0,,,74-83,,I. Whitehead misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by K. Porzingis,,74-83,,
3:55.0,D. Rose misses 2-pt shot from 2 ft,,74-83,,
3:53.0,,,74-83,,Defensive rebound by I. Whitehead
3:44.0,,,74-83,,B. Lopez misses 3-pt shot from 25 ft
3:43.0,Defensive rebound by Team,,74-83,,
3:43.0,,,74-83,,Loose ball foul by T. Booker (drawn by R. Baker)
3:43.0,New York full timeout,,74-83,,
3:43.0,R. Baker misses free throw 1 of 2,,74-83,,
3:43.0,Offensive rebound by Team,,74-83,,
3:43.0,R. Baker makes free throw 2 of 2,1,75-83,,
3:43.0,,,74-83,,Q. Acy enters the game for B. Lopez
3:26.0,,,75-83,,S. Kilpatrick misses 3-pt shot from 25 ft
3:24.0,Defensive rebound by K. Porzingis,,75-83,,
3:15.0,Turnover by K. Porzingis (bad pass; steal by I. Whitehead),,75-83,,
3:07.0,,,75-83,,Q. Acy misses 2-pt shot from 5 ft
3:06.0,,,75-83,,Offensive rebound by T. Booker
3:05.0,,,75-83,,T. Booker misses 2-pt shot from 3 ft
3:04.0,,,75-83,,Offensive rebound by T. Booker
3:00.0,,,75-85,2,T. Booker makes 2-pt shot from 2 ft
2:34.0,Shooting foul by I. Whitehead (drawn by C. Anthony),,75-85,,
2:34.0,C. Anthony misses free throw 1 of 2,,75-85,,
2:34.0,Offensive rebound by Team,,75-85,,
2:34.0,C. Anthony makes free throw 2 of 2,1,76-85,,
2:34.0,L. Thomas enters the game for K. Porzingis,,75-85,,
2:28.0,Personal foul by R. Baker (drawn by S. Kilpatrick),,76-85,,
2:28.0,,,76-86,1,S. Kilpatrick makes free throw 1 of 2
2:28.0,,,76-87,1,S. Kilpatrick makes free throw 2 of 2
2:14.0,,,76-87,,Shooting block foul by Q. Acy (drawn by R. Baker)
2:14.0,R. Baker makes free throw 1 of 2,1,77-87,,
2:14.0,R. Baker makes free throw 2 of 2,1,78-87,,
2:01.0,,,78-87,,T. Booker misses 2-pt shot from 13 ft
2:00.0,Defensive rebound by C. Lee,,78-87,,
1:43.0,C. Anthony misses 2-pt shot from 19 ft,,78-87,,
1:42.0,Offensive rebound by C. Lee,,78-87,,
1:33.0,D. Rose misses 2-pt shot from 21 ft,,78-87,,
1:32.0,,,78-87,,Defensive rebound by Q. Acy
1:14.0,,,78-87,,S. Kilpatrick misses 2-pt shot from 21 ft
1:13.0,Defensive rebound by R. Baker,,78-87,,
0:57.0,C. Anthony makes 2-pt shot from 20 ft (assist by R. Baker),2,80-87,,
0:42.0,,,80-89,2,I. Whitehead makes 2-pt shot from 5 ft
0:28.0,Turnover by R. Baker (bad pass; steal by S. Dinwiddie),,80-89,,
0:24.0,,,80-91,2,S. Dinwiddie makes 2-pt shot from 3 ft
0:03.0,C. Anthony misses 3-pt shot from 26 ft,,80-91,,
0:02.0,,,80-91,,Defensive rebound by S. Kilpatrick
0:01.0,,,80-91,,S. Kilpatrick misses 3-pt shot from 50 ft
0:00.0,,,80-91,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:34.0,,,80-94,3,Q. Acy makes 3-pt shot from 26 ft (assist by I. Whitehead)
11:14.0,K. Porzingis misses 3-pt shot from 24 ft,,80-94,,
11:13.0,,,80-94,,Defensive rebound by S. Kilpatrick
11:07.0,,,80-94,,Shooting foul by K. Porzingis (drawn by S. Kilpatrick)
11:07.0,,,80-95,1,S. Kilpatrick makes free throw 1 of 2
11:07.0,,,80-96,1,S. Kilpatrick makes free throw 2 of 2
10:45.0,Shooting foul by I. Whitehead (drawn by L. Thomas),,80-96,,
10:45.0,L. Thomas makes free throw 1 of 3,1,81-96,,
10:45.0,L. Thomas misses free throw 2 of 3,,81-96,,
10:45.0,Offensive rebound by Team,,81-96,,
10:45.0,L. Thomas makes free throw 3 of 3,1,82-96,,
10:33.0,,,82-96,,Shooting foul by C. Lee (drawn by S. Kilpatrick)
10:33.0,,,82-97,1,S. Kilpatrick makes free throw 1 of 2
10:33.0,,,82-98,1,S. Kilpatrick makes free throw 2 of 2
10:17.0,L. Thomas makes 3-pt shot from 25 ft (assist by R. Baker),3,85-98,,
10:15.0,,,85-98,,Brooklyn full timeout
9:53.0,,,85-101,3,T. Booker makes 3-pt shot from 24 ft (assist by S. Dinwiddie)
9:30.0,L. Thomas makes 3-pt shot from 25 ft (assist by C. Lee),3,88-101,,
9:06.0,,,88-101,,T. Booker misses 3-pt shot from 25 ft
9:05.0,,,88-101,,Offensive rebound by Team
9:04.0,,,88-101,,Turnover by Team (shot clock)
8:52.0,Offensive foul by K. Porzingis,,88-101,,
8:52.0,Turnover by K. Porzingis (offensive foul),,88-101,,
8:52.0,C. Anthony enters the game for R. Baker,,88-101,,
8:33.0,,,88-101,,I. Whitehead misses 2-pt shot from 17 ft
