time,Detroit,pts.away,score,pts.home,Utah
5:16.0,,,7-10,,Offensive rebound by D. Favors
5:09.0,,,7-10,,G. Hill misses 2-pt shot from 22 ft
5:08.0,,,7-10,,Offensive rebound by D. Favors
4:52.0,,,7-12,2,G. Hill makes 2-pt shot from 2 ft
4:38.0,Shooting foul by G. Hayward (drawn by T. Harris),,7-12,,
4:38.0,T. Harris makes free throw 1 of 2,1,8-12,,
4:38.0,T. Harris makes free throw 2 of 2,1,9-12,,
4:38.0,,,8-12,,S. Mack enters the game for G. Hill
4:38.0,,,8-12,,T. Lyles enters the game for D. Favors
4:38.0,,,8-12,,J. Ingles enters the game for R. Hood
4:38.0,S. Johnson enters the game for A. Baynes,,8-12,,
4:18.0,,,9-12,,T. Lyles misses 3-pt shot from 25 ft
4:18.0,Defensive rebound by M. Morris,,9-12,,
4:07.0,T. Harris makes 2-pt shot from 4 ft,2,11-12,,
4:07.0,Shooting foul by T. Lyles (drawn by T. Harris),,11-12,,
4:07.0,T. Harris misses free throw 1 of 1,,11-12,,
4:06.0,Offensive rebound by A. Drummond,,11-12,,
3:57.0,M. Morris misses 2-pt shot from 19 ft,,11-12,,
3:57.0,,,11-12,,Defensive rebound by S. Mack
3:50.0,Personal foul by A. Drummond (drawn by S. Mack),,11-12,,
3:50.0,,,11-12,,J. Johnson enters the game for G. Hayward
3:38.0,,,11-12,,S. Mack misses 2-pt shot from 14 ft
3:38.0,Defensive rebound by T. Harris,,11-12,,
3:23.0,A. Drummond makes 2-pt shot at rim (assist by M. Morris),2,13-12,,
3:19.0,,,13-12,,Utah full timeout
3:19.0,R. Bullock enters the game for M. Morris,,13-12,,
3:19.0,B. Udrih enters the game for R. Jackson,,13-12,,
3:10.0,,,13-12,,Turnover by S. Mack (bad pass)
2:57.0,Shooting foul by J. Johnson (drawn by T. Harris),,13-12,,
2:57.0,T. Harris makes free throw 1 of 2,1,14-12,,
2:57.0,T. Harris makes free throw 2 of 2,1,15-12,,
2:45.0,,,15-14,2,S. Mack makes 2-pt shot from 11 ft
2:33.0,Turnover by R. Bullock (bad pass; steal by J. Ingles),,15-14,,
2:14.0,,,15-14,,J. Ingles misses 2-pt shot from 9 ft
2:13.0,Defensive rebound by A. Drummond,,15-14,,
2:02.0,B. Udrih makes 2-pt shot from 3 ft,2,17-14,,
1:55.0,,,17-14,,J. Johnson misses 2-pt shot from 2 ft
1:54.0,Defensive rebound by A. Drummond,,17-14,,
1:39.0,R. Bullock misses 3-pt shot from 23 ft,,17-14,,
1:39.0,,,17-14,,Defensive rebound by S. Mack
1:28.0,,,17-14,,J. Johnson misses 3-pt shot from 23 ft
1:28.0,Defensive rebound by A. Drummond,,17-14,,
1:15.0,T. Harris misses 3-pt shot from 24 ft,,17-14,,
1:14.0,,,17-14,,Defensive rebound by J. Johnson
0:56.0,,,17-14,,T. Lyles misses 3-pt shot from 23 ft
0:55.0,Defensive rebound by A. Drummond,,17-14,,
0:44.0,A. Drummond misses 2-pt shot from 4 ft,,17-14,,
0:44.0,,,17-14,,Defensive rebound by R. Gobert
0:36.0,,,17-14,,S. Mack misses 3-pt shot from 25 ft
0:35.0,Defensive rebound by R. Bullock,,17-14,,
0:18.0,B. Udrih makes 2-pt shot from 22 ft,2,19-14,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:45.0,B. Marjanovic makes 2-pt shot at rim (assist by B. Udrih),2,21-14,,
11:25.0,,,21-16,2,G. Hill makes 2-pt shot from 15 ft
11:06.0,M. Morris misses 2-pt shot from 12 ft,,21-16,,
11:05.0,,,21-16,,Defensive rebound by T. Lyles
10:43.0,,,21-16,,J. Johnson misses 2-pt shot from 22 ft
10:42.0,,,21-16,,Offensive rebound by Team
10:42.0,,,21-16,,Turnover by Team (shot clock)
10:32.0,M. Morris misses 2-pt shot from 3 ft,,21-16,,
10:32.0,,,21-16,,Defensive rebound by T. Lyles
10:25.0,,,21-19,3,R. Hood makes 3-pt shot from 25 ft (assist by T. Lyles)
10:11.0,Shooting foul by T. Lyles (drawn by M. Morris),,21-19,,
10:11.0,M. Morris makes free throw 1 of 2,1,22-19,,
10:11.0,M. Morris makes free throw 2 of 2,1,23-19,,
10:11.0,,,22-19,,B. Diaw enters the game for T. Lyles
9:57.0,,,23-22,3,R. Hood makes 3-pt shot from 26 ft (assist by B. Diaw)
9:43.0,B. Udrih misses 2-pt shot from 16 ft,,23-22,,
9:42.0,,,23-22,,Defensive rebound by J. Johnson
9:32.0,,,23-22,,Turnover by J. Johnson (bad pass)
9:16.0,R. Bullock misses 2-pt shot from 3 ft (block by D. Favors),,23-22,,
9:15.0,,,23-22,,Defensive rebound by D. Favors
9:07.0,,,23-22,,R. Hood misses 2-pt shot from 10 ft
9:07.0,Defensive rebound by B. Marjanovic,,23-22,,
8:59.0,B. Udrih misses 2-pt shot from 11 ft,,23-22,,
8:58.0,,,23-22,,Defensive rebound by R. Hood
8:37.0,,,23-24,2,R. Hood makes 2-pt shot from 18 ft
8:27.0,Detroit full timeout,,23-24,,
8:27.0,,,23-24,,D. Exum enters the game for G. Hill
8:20.0,B. Marjanovic makes 2-pt shot from 4 ft (assist by B. Udrih),2,25-24,,
8:03.0,,,25-27,3,R. Hood makes 3-pt shot from 24 ft (assist by J. Johnson)
7:45.0,,,25-27,,Personal foul by D. Favors (drawn by B. Marjanovic)
7:29.0,M. Morris misses 3-pt shot from 26 ft,,25-27,,
7:29.0,,,25-27,,Defensive rebound by D. Favors
7:16.0,,,25-29,2,D. Exum makes 2-pt shot from 3 ft
7:07.0,Turnover by B. Udrih (lost ball; steal by D. Exum),,25-29,,
7:03.0,,,25-29,,Turnover by R. Hood (lost ball)
7:03.0,T. Harris enters the game for R. Bullock,,25-29,,
7:03.0,R. Jackson enters the game for B. Udrih,,25-29,,
6:43.0,M. Morris misses 2-pt shot from 8 ft,,25-29,,
6:42.0,Offensive rebound by B. Marjanovic,,25-29,,
6:40.0,B. Marjanovic makes 2-pt shot from 2 ft,2,27-29,,
6:31.0,,,27-29,,Turnover by R. Hood (bad pass)
6:31.0,,,27-29,,G. Hayward enters the game for J. Johnson
6:31.0,A. Drummond enters the game for B. Marjanovic,,27-29,,
6:14.0,R. Jackson makes 2-pt shot from 4 ft,2,29-29,,
5:59.0,,,29-29,,Shooting foul by T. Harris (drawn by B. Diaw)
5:59.0,Official timeout,,29-29,,
5:59.0,,,29-30,1,B. Diaw makes free throw 1 of 2
5:59.0,,,29-31,1,B. Diaw makes free throw 2 of 2
5:59.0,,,29-29,,J. Ingles enters the game for R. Hood
5:59.0,,,29-29,,R. Gobert enters the game for D. Favors
5:36.0,R. Jackson misses 2-pt shot from 18 ft,,29-31,,
5:36.0,Offensive rebound by A. Drummond,,29-31,,
5:28.0,R. Jackson makes 2-pt shot from 2 ft,2,31-31,,
5:28.0,Shooting foul by B. Diaw (drawn by R. Jackson),,31-31,,
5:28.0,R. Jackson misses free throw 1 of 1,,31-31,,
5:28.0,,,31-31,,Defensive rebound by R. Gobert
5:09.0,,,31-31,,Turnover by B. Diaw (bad pass; steal by R. Jackson)
5:02.0,M. Morris makes 3-pt shot from 25 ft (assist by R. Jackson),3,34-31,,
4:44.0,Personal foul by M. Morris (drawn by G. Hayward),,34-31,,
4:44.0,,,34-31,,G. Hill enters the game for D. Exum
4:44.0,A. Baynes enters the game for M. Morris,,34-31,,
4:37.0,,,34-33,2,G. Hayward makes 2-pt shot from 7 ft
4:16.0,S. Johnson makes 2-pt shot from 16 ft,2,36-33,,
3:57.0,,,36-33,,B. Diaw misses 2-pt shot from 13 ft
3:57.0,Defensive rebound by A. Drummond,,36-33,,
3:47.0,A. Baynes makes 2-pt shot from 1 ft (assist by T. Harris),2,38-33,,
3:24.0,,,38-36,3,G. Hayward makes 3-pt shot from 25 ft (assist by J. Ingles)
3:10.0,T. Harris makes 2-pt shot from 16 ft,2,40-36,,
3:03.0,,,40-36,,Utah full timeout
2:52.0,,,40-36,,G. Hill misses 2-pt shot from 11 ft
2:51.0,,,40-36,,Offensive rebound by R. Gobert
2:50.0,Personal foul by R. Jackson (drawn by R. Gobert),,40-36,,
2:50.0,,,40-36,,R. Hood enters the game for J. Ingles
2:37.0,,,40-38,2,B. Diaw makes 2-pt shot from 11 ft
2:16.0,T. Harris misses 2-pt shot from 7 ft,,40-38,,
2:16.0,,,40-38,,Defensive rebound by Team
1:56.0,,,40-40,2,R. Hood makes 2-pt shot at rim (assist by B. Diaw)
1:31.0,Turnover by S. Johnson (bad pass; steal by G. Hayward),,40-40,,
1:27.0,,,40-42,2,G. Hayward makes 2-pt shot at rim
1:26.0,Detroit full timeout,,40-42,,
1:07.0,T. Harris misses 2-pt shot from 9 ft,,40-42,,
1:06.0,Offensive rebound by Team,,40-42,,
0:58.0,A. Baynes misses 2-pt shot from 3 ft (block by R. Gobert),,40-42,,
0:56.0,,,40-42,,Defensive rebound by R. Hood
0:56.0,Personal foul by A. Baynes (drawn by R. Hood),,40-42,,
0:40.0,,,40-42,,Utah full timeout
0:32.0,,,40-45,3,G. Hayward makes 3-pt shot from 23 ft (assist by B. Diaw)
0:11.0,R. Jackson misses 2-pt shot from 9 ft,,40-45,,
0:10.0,Offensive rebound by Team,,40-45,,
0:08.0,R. Bullock enters the game for A. Baynes,,40-45,,
0:01.0,R. Jackson makes 3-pt shot from 25 ft,3,43-45,,
0:01.0,,,43-45,,Turnover by R. Gobert (bad pass; steal by S. Johnson)
0:00.0,S. Johnson misses 3-pt shot from 28 ft,,43-45,,
0:00.0,Offensive rebound by Team,,43-45,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:43.0,Turnover by R. Jackson (bad pass; steal by D. Favors),,43-45,,
11:22.0,,,43-45,,Shooting foul by A. Drummond (drawn by D. Favors)
11:22.0,,,43-45,,D. Favors misses free throw 1 of 2
11:22.0,,,43-45,,Offensive rebound by Team
11:22.0,,,43-45,,D. Favors misses free throw 2 of 2
11:21.0,Defensive rebound by A. Drummond,,43-45,,
11:00.0,T. Harris makes 2-pt shot from 7 ft,2,45-45,,
10:37.0,,,45-47,2,D. Favors makes 2-pt shot from 7 ft (assist by R. Hood)
10:15.0,A. Baynes misses 2-pt shot from 13 ft,,45-47,,
10:14.0,,,45-47,,Defensive rebound by G. Hayward
9:58.0,,,45-47,,D. Favors misses 2-pt shot from 3 ft (block by A. Baynes)
9:57.0,Defensive rebound by A. Drummond,,45-47,,
9:46.0,T. Harris misses 3-pt shot from 24 ft,,45-47,,
9:45.0,,,45-47,,Defensive rebound by R. Hood
9:35.0,,,45-47,,Shooting foul by T. Harris (drawn by G. Hill)
9:35.0,,,45-48,1,G. Hill makes free throw 1 of 2
9:35.0,,,45-48,,G. Hill misses free throw 2 of 2
9:35.0,Defensive rebound by A. Drummond,,45-48,,
9:20.0,M. Morris misses 2-pt shot from 3 ft (block by R. Hood),,45-48,,
9:19.0,,,45-48,,Defensive rebound by G. Hill
9:09.0,,,45-48,,D. Favors misses 2-pt shot at rim (block by A. Baynes)
9:08.0,,,45-48,,Offensive rebound by G. Hill
9:07.0,,,45-48,,G. Hill misses 2-pt shot from 5 ft (block by A. Baynes)
9:07.0,Defensive rebound by T. Harris,,45-48,,
8:46.0,M. Morris misses 2-pt shot from 16 ft,,45-48,,
8:43.0,,,45-48,,Defensive rebound by D. Favors
8:30.0,,,45-50,2,G. Hayward makes 2-pt shot from 15 ft
8:29.0,Detroit full timeout,,45-50,,
8:05.0,A. Drummond makes 2-pt shot from 11 ft,2,47-50,,
7:40.0,,,47-52,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Favors)
7:30.0,Offensive foul by A. Drummond,,47-52,,
7:30.0,Turnover by A. Drummond (offensive foul),,47-52,,
7:18.0,,,47-55,3,G. Hayward makes 3-pt shot from 25 ft (assist by G. Hill)
7:02.0,M. Morris makes 2-pt shot from 18 ft,2,49-55,,
6:43.0,,,49-55,,R. Hood misses 2-pt shot from 21 ft
6:43.0,Defensive rebound by A. Drummond,,49-55,,
6:35.0,R. Jackson misses 2-pt shot from 20 ft,,49-55,,
6:35.0,,,49-55,,Defensive rebound by G. Hayward
6:23.0,,,49-55,,Turnover by G. Hayward (bad pass)
6:14.0,M. Morris misses 2-pt shot from 7 ft,,49-55,,
6:13.0,,,49-55,,Defensive rebound by D. Favors
6:04.0,,,49-58,3,G. Hill makes 3-pt shot from 25 ft
5:51.0,,,49-58,,Personal foul by G. Hill (drawn by R. Jackson)
5:51.0,,,49-58,,T. Lyles enters the game for D. Favors
5:51.0,,,49-58,,J. Ingles enters the game for R. Hood
5:51.0,R. Bullock enters the game for A. Baynes,,49-58,,
5:43.0,Shooting foul by T. Lyles (drawn by M. Morris),,49-58,,
5:43.0,M. Morris makes free throw 1 of 2,1,50-58,,
5:43.0,M. Morris makes free throw 2 of 2,1,51-58,,
5:31.0,Personal foul by R. Jackson (drawn by G. Hill),,51-58,,
5:21.0,,,51-58,,G. Hayward misses 3-pt shot from 24 ft
5:21.0,Defensive rebound by A. Drummond,,51-58,,
5:11.0,Turnover by M. Morris (bad pass; steal by G. Hayward),,51-58,,
5:07.0,,,51-61,3,G. Hill makes 3-pt shot from 25 ft (assist by G. Hayward)
4:53.0,Detroit full timeout,,51-61,,
4:53.0,S. Johnson enters the game for M. Morris,,51-61,,
4:37.0,T. Harris misses 2-pt shot from 2 ft,,51-61,,
4:37.0,,,51-61,,Defensive rebound by J. Ingles
4:34.0,Technical foul by T. Harris,,51-61,,
4:34.0,,,51-61,,G. Hayward misses technical free throw
4:34.0,,,51-61,,Offensive rebound by Team
4:24.0,,,51-61,,Turnover by G. Hayward (traveling)
4:14.0,R. Jackson misses 2-pt shot from 3 ft,,51-61,,
4:14.0,,,51-61,,Defensive rebound by J. Ingles
3:59.0,,,51-64,3,G. Hill makes 3-pt shot from 24 ft (assist by G. Hayward)
3:32.0,Shooting foul by R. Gobert (drawn by A. Drummond),,51-64,,
3:32.0,A. Drummond misses free throw 1 of 2,,51-64,,
3:32.0,Offensive rebound by Team,,51-64,,
3:32.0,A. Drummond misses free throw 2 of 2,,51-64,,
3:32.0,,,51-64,,Defensive rebound by T. Lyles
3:32.0,B. Udrih enters the game for R. Jackson,,51-64,,
3:32.0,,,51-64,,D. Exum enters the game for G. Hill
3:22.0,,,51-66,2,G. Hayward makes 2-pt shot from 2 ft
3:22.0,,,51-66,,Shooting foul by S. Johnson (drawn by G. Hayward)
3:22.0,,,51-67,1,G. Hayward makes free throw 1 of 1
3:03.0,Turnover by S. Johnson (bad pass; steal by D. Exum),,51-67,,
3:00.0,,,51-67,,Turnover by G. Hayward (bad pass; steal by R. Bullock)
2:54.0,S. Johnson makes 3-pt shot from 24 ft (assist by R. Bullock),3,54-67,,
2:41.0,,,54-67,,T. Lyles misses 3-pt shot from 25 ft
2:40.0,Defensive rebound by A. Drummond,,54-67,,
2:28.0,T. Harris misses 2-pt shot from 1 ft (block by R. Gobert),,54-67,,
2:27.0,,,54-67,,Defensive rebound by G. Hayward
2:23.0,,,54-69,2,T. Lyles makes 2-pt shot at rim (assist by G. Hayward)
2:01.0,B. Udrih makes 3-pt shot from 23 ft (assist by R. Bullock),3,57-69,,
2:00.0,,,57-69,,Utah full timeout
2:00.0,,,57-69,,R. Hood enters the game for J. Ingles
2:00.0,,,57-69,,J. Johnson enters the game for G. Hayward
2:00.0,,,57-69,,D. Favors enters the game for R. Gobert
1:49.0,,,57-71,2,T. Lyles makes 2-pt shot from 2 ft (assist by D. Exum)
1:32.0,Turnover by B. Udrih (lost ball),,57-71,,
1:19.0,,,57-73,2,D. Exum makes 2-pt shot from 3 ft
1:00.0,A. Drummond makes 2-pt shot from 2 ft (assist by B. Udrih),2,59-73,,
0:44.0,,,59-75,2,R. Hood makes 2-pt shot from 12 ft
0:34.0,Shooting foul by R. Hood (drawn by R. Bullock),,59-75,,
0:34.0,R. Bullock makes 2-pt shot from 15 ft,2,61-75,,
0:34.0,R. Bullock makes free throw 1 of 1,1,62-75,,
0:11.0,,,62-75,,R. Hood misses 2-pt shot from 16 ft
0:10.0,Defensive rebound by A. Drummond,,62-75,,
0:02.0,Shooting foul by R. Hood (drawn by A. Drummond),,62-75,,
0:02.0,A. Drummond misses free throw 1 of 2,,62-75,,
0:02.0,Offensive rebound by Team,,62-75,,
0:02.0,A. Drummond makes free throw 2 of 2,1,63-75,,
0:00.0,,,63-78,3,J. Johnson makes 3-pt shot from 59 ft
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:43.0,,,63-78,,J. Johnson misses 2-pt shot from 6 ft
11:42.0,Defensive rebound by M. Morris,,63-78,,
11:34.0,S. Johnson makes 3-pt shot from 24 ft (assist by B. Udrih),3,66-78,,
11:18.0,,,66-81,3,R. Hood makes 3-pt shot from 25 ft (assist by T. Lyles)
10:52.0,B. Udrih misses 3-pt shot from 24 ft,,66-81,,
10:52.0,,,66-81,,Defensive rebound by R. Hood
10:43.0,,,66-84,3,R. Hood makes 3-pt shot from 25 ft
10:37.0,Detroit full timeout,,66-84,,
10:24.0,R. Bullock makes 2-pt shot from 2 ft (assist by B. Udrih),2,68-84,,
10:13.0,,,68-84,,Turnover by D. Exum (bad pass; steal by R. Bullock)
10:09.0,S. Johnson makes 2-pt shot at rim (assist by R. Bullock),2,70-84,,
9:50.0,,,70-84,,Shooting foul by M. Morris (drawn by D. Favors)
9:50.0,,,70-86,2,D. Favors makes 2-pt shot from 2 ft (assist by D. Exum)
9:50.0,,,70-87,1,D. Favors makes free throw 1 of 1
9:43.0,,,70-87,,Personal foul by T. Lyles (drawn by M. Morris)
9:37.0,Turnover by B. Udrih (bad pass; steal by D. Exum),,70-87,,
9:36.0,Personal foul by B. Udrih (drawn by T. Lyles),,70-87,,
9:36.0,,,70-87,,B. Diaw enters the game for T. Lyles
9:17.0,,,70-89,2,D. Favors makes 2-pt shot from 2 ft (assist by R. Hood)
9:01.0,M. Morris misses 3-pt shot from 24 ft,,70-89,,
9:00.0,,,70-89,,Defensive rebound by D. Favors
8:37.0,,,70-92,3,R. Hood makes 3-pt shot from 25 ft
8:17.0,R. Bullock makes 2-pt shot from 2 ft (assist by B. Udrih),2,72-92,,
7:53.0,,,72-94,2,D. Favors makes 2-pt shot from 10 ft (assist by D. Exum)
7:42.0,,,72-94,,Personal foul by R. Hood (drawn by R. Bullock)
7:42.0,Detroit full timeout,,72-94,,
7:42.0,Violation by Team (jump ball),,72-94,,
7:42.0,,,72-94,,J. Ingles enters the game for R. Hood
7:42.0,,,72-94,,R. Gobert enters the game for D. Favors
7:42.0,T. Harris enters the game for B. Udrih,,72-94,,
7:42.0,A. Drummond enters the game for B. Marjanovic,,72-94,,
7:42.0,R. Jackson enters the game for S. Johnson,,72-94,,
7:29.0,R. Bullock misses 2-pt shot from 16 ft,,72-94,,
7:29.0,,,72-94,,Defensive rebound by B. Diaw
7:09.0,,,72-96,2,R. Gobert makes 2-pt shot from 1 ft (assist by D. Exum)
6:51.0,Turnover by R. Jackson (bad pass; steal by R. Gobert),,72-96,,
6:41.0,,,72-96,,D. Exum misses 3-pt shot from 25 ft
6:41.0,Defensive rebound by R. Bullock,,72-96,,
6:24.0,T. Harris misses 2-pt shot from 13 ft,,72-96,,
6:24.0,,,72-96,,Defensive rebound by R. Gobert
6:23.0,Loose ball foul by M. Morris (drawn by R. Gobert),,72-96,,
6:23.0,,,72-96,,G. Hill enters the game for D. Exum
6:23.0,,,72-96,,G. Hayward enters the game for J. Johnson
6:04.0,,,72-96,,G. Hill misses 3-pt shot from 23 ft
6:03.0,Defensive rebound by M. Morris,,72-96,,
5:55.0,M. Morris misses 2-pt shot from 12 ft,,72-96,,
5:54.0,,,72-96,,Defensive rebound by R. Gobert
5:30.0,,,72-98,2,B. Diaw makes 2-pt shot from 13 ft
5:05.0,M. Morris misses 3-pt shot from 25 ft,,72-98,,
5:04.0,,,72-98,,Defensive rebound by R. Gobert
4:46.0,,,72-100,2,R. Gobert makes 2-pt shot at rim (assist by B. Diaw)
4:44.0,Detroit full timeout,,72-100,,
4:44.0,H. Ellenson enters the game for T. Harris,,72-100,,
4:44.0,B. Udrih enters the game for A. Drummond,,72-100,,
4:44.0,B. Marjanovic enters the game for M. Morris,,72-100,,
4:44.0,D. Hilliard enters the game for R. Jackson,,72-100,,
4:44.0,,,72-100,,A. Burks enters the game for G. Hayward
4:42.0,,,72-100,,D. Favors enters the game for R. Gobert
4:26.0,B. Marjanovic misses 2-pt shot from 6 ft,,72-100,,
4:25.0,,,72-100,,Defensive rebound by J. Ingles
4:04.0,,,72-103,3,G. Hill makes 3-pt shot from 24 ft
3:35.0,B. Udrih misses 3-pt shot from 24 ft,,72-103,,
3:35.0,,,72-103,,Defensive rebound by J. Ingles
3:23.0,,,72-103,,Utah full timeout
3:23.0,,,72-103,,J. Withey enters the game for D. Favors
3:23.0,,,72-103,,D. Exum enters the game for G. Hill
3:18.0,,,72-103,,A. Burks misses 2-pt shot from 2 ft
3:17.0,Defensive rebound by B. Marjanovic,,72-103,,
3:13.0,H. Ellenson makes 2-pt shot from 1 ft (assist by B. Udrih),2,74-103,,
3:13.0,Shooting foul by J. Ingles (drawn by H. Ellenson),,74-103,,
3:13.0,H. Ellenson makes free throw 1 of 1,1,75-103,,
2:54.0,,,75-103,,A. Burks misses 3-pt shot from 25 ft
2:54.0,Defensive rebound by B. Udrih,,75-103,,
2:37.0,Turnover by H. Ellenson (lost ball; steal by J. Ingles),,75-103,,
2:32.0,,,75-105,2,A. Burks makes 2-pt shot at rim (assist by J. Ingles)
2:11.0,H. Ellenson misses 3-pt shot from 26 ft,,75-105,,
2:11.0,,,75-105,,Defensive rebound by D. Exum
2:01.0,,,75-107,2,J. Withey makes 2-pt shot from 2 ft (assist by B. Diaw)
2:01.0,,,75-107,,Shooting foul by B. Marjanovic (drawn by J. Withey)
2:01.0,,,75-108,1,J. Withey makes free throw 1 of 1
2:01.0,,,75-107,,T. Lyles enters the game for B. Diaw
1:44.0,B. Udrih makes 2-pt shot from 2 ft,2,77-108,,
1:28.0,,,77-108,,D. Exum misses 3-pt shot from 23 ft
1:27.0,Defensive rebound by D. Hilliard,,77-108,,
1:15.0,H. Ellenson misses 2-pt shot from 13 ft,,77-108,,
1:13.0,,,77-108,,Defensive rebound by D. Exum
0:59.0,,,77-108,,J. Ingles misses 3-pt shot from 27 ft
0:59.0,Defensive rebound by B. Marjanovic,,77-108,,
0:49.0,H. Ellenson misses 3-pt shot from 25 ft,,77-108,,
0:48.0,,,77-108,,Defensive rebound by T. Lyles
0:34.0,,,77-108,,A. Burks misses 2-pt shot at rim
0:34.0,,,77-108,,Offensive rebound by J. Withey
0:34.0,,,77-108,,Shooting foul by H. Ellenson (drawn by J. Withey)
0:34.0,,,77-109,1,J. Withey makes free throw 1 of 2
0:34.0,,,77-110,1,J. Withey makes free throw 2 of 2
0:20.0,B. Marjanovic misses 2-pt shot from 1 ft (block by T. Lyles),,77-110,,
0:18.0,,,77-110,,Defensive rebound by T. Lyles
0:00.0,End of 4th quarter,,,,End of 4th quarter
