time,Boston,pts.away,score,pts.home,Cleveland
6:56.0,,,7-14,,Turnover by L. James (lost ball)
6:42.0,,,7-14,,Def 3 sec tech foul by K. Love
6:42.0,A. Bradley misses technical free throw,,7-14,,
6:42.0,Offensive rebound by Team,,7-14,,
6:29.0,M. Smart makes 3-pt shot from 24 ft (assist by A. Bradley),3,10-14,,
6:16.0,,,10-17,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
5:57.0,J. Crowder misses 3-pt shot from 24 ft,,10-17,,
5:57.0,,,10-17,,Defensive rebound by T. Thompson
5:42.0,,,10-20,3,K. Love makes 3-pt shot from 24 ft
5:31.0,A. Horford misses 3-pt shot from 25 ft,,10-20,,
5:30.0,,,10-20,,Defensive rebound by J. Smith
5:12.0,,,10-22,2,L. James makes 2-pt shot from 17 ft
4:51.0,,,10-22,,Violation by T. Thompson (def goaltending)
4:51.0,A. Bradley makes 2-pt shot from 2 ft (assist by A. Horford),2,12-22,,
4:38.0,,,12-22,,K. Love misses 3-pt shot from 25 ft
4:38.0,Defensive rebound by J. Crowder,,12-22,,
4:30.0,M. Smart misses 3-pt shot from 25 ft,,12-22,,
4:29.0,Offensive rebound by T. Zeller,,12-22,,
4:29.0,,,12-22,,Personal foul by K. Love (drawn by T. Zeller)
4:18.0,A. Horford misses 2-pt shot from 8 ft (block by L. James),,12-22,,
4:18.0,Offensive rebound by Team,,12-22,,
4:12.0,A. Bradley makes 2-pt shot from 19 ft,2,14-22,,
4:12.0,Shooting foul by L. James (drawn by A. Bradley),,14-22,,
4:12.0,A. Bradley makes free throw 1 of 1,1,15-22,,
4:04.0,,,15-22,,Shooting foul by J. Crowder (drawn by L. James)
4:04.0,,,15-22,,L. James misses free throw 1 of 2
4:04.0,,,15-22,,Offensive rebound by Team
4:04.0,,,15-23,1,L. James makes free throw 2 of 2
3:55.0,A. Horford misses 2-pt shot at rim (block by K. Love),,15-23,,
3:54.0,,,15-23,,Defensive rebound by L. James
3:42.0,,,15-23,,Turnover by T. Thompson (lost ball)
3:22.0,J. Crowder makes 2-pt shot from 19 ft,2,17-23,,
3:05.0,,,17-26,3,K. Irving makes 3-pt shot from 25 ft (assist by K. Love)
2:45.0,A. Bradley makes 2-pt shot from 21 ft (assist by T. Zeller),2,19-26,,
2:42.0,,,19-26,,Shooting foul by A. Bradley (drawn by K. Irving)
2:42.0,,,19-26,,Cleveland full timeout
2:42.0,,,19-27,1,K. Irving makes free throw 1 of 3
2:42.0,,,19-28,1,K. Irving makes free throw 2 of 3
2:42.0,,,19-29,1,K. Irving makes free throw 3 of 3
2:42.0,J. Brown enters the game for J. Crowder,,19-26,,
2:42.0,T. Rozier enters the game for M. Smart,,19-26,,
2:42.0,,,19-26,,I. Shumpert enters the game for J. Smith
2:27.0,A. Horford makes 3-pt shot from 25 ft (assist by T. Zeller),3,22-29,,
2:11.0,,,22-29,,L. James misses 3-pt shot from 26 ft
2:11.0,Defensive rebound by Team,,22-29,,
1:52.0,J. Brown misses 3-pt shot from 26 ft,,22-29,,
1:52.0,,,22-29,,Defensive rebound by I. Shumpert
1:37.0,,,22-32,3,K. Irving makes 3-pt shot from 26 ft (assist by I. Shumpert)
1:25.0,A. Bradley misses 2-pt shot from 19 ft,,22-32,,
1:24.0,,,22-32,,Defensive rebound by K. Irving
1:20.0,,,22-32,,K. Irving misses 2-pt shot from 3 ft (block by J. Brown)
1:19.0,,,22-32,,Offensive rebound by T. Thompson
1:09.0,,,22-32,,K. Love misses 3-pt shot from 25 ft
1:09.0,Defensive rebound by T. Rozier,,22-32,,
1:04.0,,,22-32,,Personal foul by T. Thompson (drawn by T. Zeller)
1:04.0,,,22-32,,K. Korver enters the game for L. James
1:04.0,K. Olynyk enters the game for A. Horford,,22-32,,
0:57.0,T. Rozier makes 2-pt shot from 1 ft (assist by T. Zeller),2,24-32,,
0:41.0,,,24-35,3,K. Love makes 3-pt shot from 25 ft (assist by T. Thompson)
0:30.0,Turnover by T. Rozier (bad pass; steal by K. Korver),,24-35,,
0:19.0,,,24-35,,Turnover by K. Love (bad pass)
0:04.0,,,24-35,,Violation by K. Love (kicked ball)
0:01.0,J. Brown misses 2-pt shot from 10 ft,,24-35,,
0:00.0,Offensive rebound by T. Rozier,,24-35,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:51.0,Personal foul by J. Crowder (drawn by L. James),,24-35,,
11:46.0,,,24-35,,R. Jefferson misses 3-pt shot from 24 ft
11:45.0,Defensive rebound by G. Green,,24-35,,
11:31.0,G. Green misses 2-pt shot from 17 ft,,24-35,,
11:30.0,,,24-35,,Defensive rebound by I. Shumpert
11:17.0,,,24-37,2,I. Shumpert makes 2-pt shot from 18 ft
10:58.0,J. Crowder makes 3-pt shot from 23 ft (assist by G. Green),3,27-37,,
10:45.0,,,27-39,2,I. Shumpert makes 2-pt shot from 17 ft
10:31.0,Turnover by T. Rozier (lost ball; steal by D. Williams),,27-39,,
10:31.0,Personal foul by T. Rozier (drawn by D. Williams),,27-39,,
10:11.0,,,27-39,,R. Jefferson misses 2-pt shot from 11 ft
10:09.0,Defensive rebound by J. Brown,,27-39,,
10:04.0,J. Brown misses 2-pt shot from 18 ft,,27-39,,
10:03.0,Offensive rebound by Team,,27-39,,
9:55.0,G. Green makes 2-pt shot from 17 ft (assist by J. Brown),2,29-39,,
9:38.0,,,29-42,3,K. Korver makes 3-pt shot from 24 ft (assist by L. James)
9:09.0,K. Olynyk misses 2-pt shot from 11 ft,,29-42,,
9:06.0,,,29-42,,Defensive rebound by L. James
9:00.0,,,29-42,,K. Korver misses 3-pt shot from 25 ft
8:59.0,Defensive rebound by G. Green,,29-42,,
8:48.0,G. Green misses 3-pt shot from 25 ft,,29-42,,
8:48.0,,,29-42,,Defensive rebound by Team
8:48.0,Official timeout,,29-42,,
8:48.0,M. Smart enters the game for T. Rozier,,29-42,,
8:40.0,Violation by J. Crowder (kicked ball),,29-42,,
8:32.0,,,29-42,,Turnover by D. Williams (bad pass; steal by J. Brown)
8:29.0,Turnover by J. Brown (bad pass),,29-42,,
8:18.0,,,29-42,,R. Jefferson misses 2-pt shot from 1 ft
8:18.0,,,29-42,,Offensive rebound by R. Jefferson
8:16.0,Personal foul by J. Crowder (drawn by R. Jefferson),,29-42,,
8:14.0,,,29-44,2,L. James makes 2-pt shot at rim (assist by D. Williams)
7:57.0,J. Crowder makes 2-pt shot at rim (assist by K. Olynyk),2,31-44,,
7:42.0,,,31-44,,D. Williams misses 2-pt shot from 16 ft
7:42.0,Defensive rebound by Team,,31-44,,
7:42.0,A. Horford enters the game for K. Olynyk,,31-44,,
7:42.0,A. Bradley enters the game for J. Brown,,31-44,,
7:42.0,,,31-44,,K. Irving enters the game for R. Jefferson
7:26.0,Turnover by G. Green (bad pass),,31-44,,
7:12.0,,,31-44,,D. Williams misses 2-pt shot from 16 ft
7:09.0,Defensive rebound by A. Horford,,31-44,,
7:03.0,J. Crowder makes 2-pt shot from 1 ft (assist by A. Horford),2,33-44,,
6:46.0,,,33-44,,I. Shumpert misses 3-pt shot from 26 ft
6:46.0,Defensive rebound by A. Horford,,33-44,,
6:29.0,,,33-44,,Personal foul by D. Williams (drawn by A. Horford)
6:29.0,,,33-44,,T. Thompson enters the game for D. Williams
6:13.0,G. Green makes 3-pt shot from 24 ft (assist by J. Crowder),3,36-44,,
5:53.0,,,36-47,3,K. Irving makes 3-pt shot from 29 ft (assist by L. James)
5:38.0,A. Horford misses 2-pt shot from 12 ft,,36-47,,
5:36.0,,,36-47,,Defensive rebound by K. Korver
5:24.0,,,36-47,,Turnover by K. Irving (bad pass; steal by J. Crowder)
5:19.0,A. Bradley makes 2-pt shot from 2 ft (assist by J. Crowder),2,38-47,,
5:19.0,,,38-47,,Cleveland full timeout
5:19.0,J. Brown enters the game for J. Crowder,,38-47,,
5:19.0,,,38-47,,K. Love enters the game for I. Shumpert
5:19.0,,,38-47,,J. Smith enters the game for K. Korver
5:06.0,,,38-47,,Turnover by K. Irving (lost ball; steal by M. Smart)
4:48.0,A. Bradley misses 3-pt shot from 25 ft,,38-47,,
4:48.0,,,38-47,,Defensive rebound by L. James
4:36.0,,,38-47,,Shooting foul by G. Green (drawn by T. Thompson)
4:36.0,,,38-48,1,T. Thompson makes free throw 1 of 2
4:36.0,,,38-49,1,T. Thompson makes free throw 2 of 2
4:36.0,A. Johnson enters the game for G. Green,,38-48,,
4:23.0,Turnover by M. Smart (lost ball),,38-49,,
4:15.0,Personal foul by J. Brown (drawn by L. James),,38-49,,
4:15.0,,,38-50,1,L. James makes free throw 1 of 2
4:15.0,,,38-50,,L. James misses free throw 2 of 2
4:15.0,Defensive rebound by J. Crowder,,38-50,,
4:15.0,J. Crowder enters the game for J. Brown,,38-50,,
3:58.0,A. Horford makes 2-pt shot from 19 ft (assist by M. Smart),2,40-50,,
3:33.0,,,40-52,2,K. Irving makes 2-pt shot from 1 ft (assist by L. James)
3:15.0,A. Horford misses 2-pt shot from 22 ft,,40-52,,
3:15.0,,,40-52,,Defensive rebound by K. Love
3:15.0,Personal foul by A. Johnson (drawn by K. Love),,40-52,,
3:15.0,,,40-52,,K. Love misses free throw 1 of 2
3:15.0,,,40-52,,Offensive rebound by Team
3:15.0,,,40-53,1,K. Love makes free throw 2 of 2
2:56.0,A. Bradley misses 2-pt shot from 1 ft,,40-53,,
2:54.0,,,40-53,,Defensive rebound by L. James
2:42.0,,,40-56,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
2:42.0,Boston full timeout,,40-56,,
2:42.0,K. Olynyk enters the game for A. Johnson,,40-56,,
2:36.0,,,40-56,,Violation by K. Love (kicked ball)
2:25.0,J. Crowder misses 3-pt shot from 25 ft,,40-56,,
2:25.0,,,40-56,,Defensive rebound by K. Love
2:19.0,,,40-56,,Turnover by L. James (bad pass; steal by A. Horford)
2:05.0,K. Olynyk makes 3-pt shot from 25 ft (assist by M. Smart),3,43-56,,
1:43.0,,,43-59,3,K. Love makes 3-pt shot from 25 ft (assist by K. Irving)
1:31.0,M. Smart makes 3-pt shot from 25 ft,3,46-59,,
1:14.0,,,46-59,,K. Love misses 3-pt shot from 25 ft
1:14.0,,,46-59,,Offensive rebound by T. Thompson
1:14.0,Personal foul by K. Olynyk (drawn by T. Thompson),,46-59,,
1:14.0,,,46-60,1,T. Thompson makes free throw 1 of 2
1:14.0,,,46-61,1,T. Thompson makes free throw 2 of 2
1:00.0,M. Smart misses 3-pt shot from 25 ft,,46-61,,
0:59.0,,,46-61,,Defensive rebound by J. Smith
0:55.0,,,46-63,2,L. James makes 2-pt shot at rim (assist by K. Love)
0:39.0,Shooting foul by K. Irving (drawn by K. Olynyk),,46-63,,
0:39.0,K. Olynyk makes free throw 1 of 2,1,47-63,,
0:39.0,K. Olynyk makes free throw 2 of 2,1,48-63,,
0:39.0,J. Brown enters the game for J. Crowder,,47-63,,
0:22.0,,,48-66,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
0:22.0,Boston full timeout,,48-66,,
0:22.0,J. Crowder enters the game for J. Brown,,48-66,,
0:22.0,,,48-66,,I. Shumpert enters the game for K. Irving
0:01.0,M. Smart makes 2-pt shot at rim,2,50-66,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:48.0,,,50-66,,Shooting foul by A. Horford (drawn by T. Thompson)
11:48.0,,,50-67,1,T. Thompson makes free throw 1 of 2
11:48.0,,,50-68,1,T. Thompson makes free throw 2 of 2
11:30.0,A. Bradley misses 2-pt shot from 21 ft,,50-68,,
11:29.0,,,50-68,,Defensive rebound by K. Love
11:26.0,,,50-68,,J. Smith misses 3-pt shot from 26 ft
11:25.0,Defensive rebound by J. Crowder,,50-68,,
11:16.0,M. Smart misses 2-pt shot from 3 ft,,50-68,,
11:15.0,Offensive rebound by A. Johnson,,50-68,,
11:10.0,J. Crowder misses 3-pt shot from 25 ft,,50-68,,
11:10.0,,,50-68,,Defensive rebound by K. Love
10:59.0,,,50-70,2,K. Irving makes 2-pt shot from 5 ft
10:34.0,A. Horford makes 2-pt shot from 6 ft,2,52-70,,
10:10.0,,,52-70,,K. Love misses 3-pt shot from 25 ft
10:10.0,Defensive rebound by M. Smart,,52-70,,
10:02.0,J. Crowder misses 2-pt shot from 3 ft (block by K. Love),,52-70,,
10:01.0,Offensive rebound by A. Bradley,,52-70,,
9:58.0,A. Bradley misses 2-pt shot from 3 ft,,52-70,,
9:57.0,,,52-70,,Defensive rebound by K. Love
9:54.0,,,52-70,,Shooting foul by A. Horford (drawn by K. Love)
9:54.0,,,52-71,1,K. Love makes free throw 1 of 2
9:54.0,,,52-72,1,K. Love makes free throw 2 of 2
9:37.0,A. Horford makes 2-pt shot from 8 ft,2,54-72,,
9:12.0,,,54-72,,Shooting foul by A. Johnson (drawn by T. Thompson)
9:12.0,,,54-73,1,T. Thompson makes free throw 1 of 2
9:12.0,,,54-73,,T. Thompson misses free throw 2 of 2
9:12.0,K. Olynyk enters the game for A. Johnson,,54-73,,
9:10.0,Defensive rebound by J. Crowder,,54-73,,
9:02.0,M. Smart misses 2-pt shot from 1 ft,,54-73,,
9:01.0,Offensive rebound by K. Olynyk,,54-73,,
9:01.0,K. Olynyk makes 2-pt shot from 1 ft,2,56-73,,
8:49.0,Violation by A. Bradley (kicked ball),,56-73,,
8:32.0,,,56-73,,L. James misses 2-pt shot from 22 ft
8:31.0,Defensive rebound by M. Smart,,56-73,,
8:19.0,Turnover by M. Smart (bad pass; steal by K. Irving),,56-73,,
8:12.0,,,56-73,,Turnover by L. James (bad pass)
7:59.0,A. Bradley misses 3-pt shot from 24 ft,,56-73,,
7:58.0,,,56-73,,Defensive rebound by J. Smith
7:45.0,,,56-73,,K. Love misses 3-pt shot from 24 ft
7:45.0,Defensive rebound by J. Crowder,,56-73,,
7:40.0,,,56-73,,Personal foul by K. Love (drawn by A. Horford)
7:24.0,A. Horford misses 2-pt shot from 8 ft,,56-73,,
7:23.0,,,56-73,,Defensive rebound by T. Thompson
7:12.0,,,56-75,2,L. James makes 2-pt shot from 2 ft
6:53.0,A. Horford misses 2-pt shot from 11 ft,,56-75,,
6:51.0,,,56-75,,Defensive rebound by K. Love
6:42.0,,,56-75,,J. Smith misses 3-pt shot from 23 ft
6:41.0,,,56-75,,Offensive rebound by T. Thompson
6:39.0,,,56-77,2,T. Thompson makes 2-pt shot from 1 ft
6:39.0,Boston full timeout,,56-77,,
6:39.0,J. Jerebko enters the game for A. Horford,,56-77,,
6:24.0,M. Smart makes 3-pt shot from 24 ft (assist by J. Jerebko),3,59-77,,
6:01.0,,,59-77,,L. James misses 2-pt shot from 17 ft
6:00.0,Defensive rebound by A. Bradley,,59-77,,
5:53.0,Shooting foul by J. Smith (drawn by K. Olynyk),,59-77,,
5:53.0,K. Olynyk makes free throw 1 of 2,1,60-77,,
5:53.0,K. Olynyk makes free throw 2 of 2,1,61-77,,
5:36.0,,,61-79,2,K. Irving makes 2-pt shot from 19 ft
5:21.0,J. Crowder makes 3-pt shot from 26 ft,3,64-79,,
5:07.0,,,64-79,,Cleveland full timeout
4:59.0,,,64-79,,L. James misses 2-pt shot from 3 ft (block by M. Smart)
4:58.0,Defensive rebound by M. Smart,,64-79,,
4:52.0,M. Smart makes 3-pt shot from 25 ft (assist by J. Crowder),3,67-79,,
4:32.0,,,67-79,,Shooting foul by J. Crowder (drawn by L. James)
4:32.0,,,67-79,,L. James misses free throw 1 of 2
4:32.0,,,67-79,,Offensive rebound by Team
4:32.0,,,67-80,1,L. James makes free throw 2 of 2
4:11.0,M. Smart makes 3-pt shot from 24 ft (assist by K. Olynyk),3,70-80,,
4:05.0,Personal foul by K. Olynyk (drawn by K. Irving),,70-80,,
4:05.0,,,70-81,1,K. Irving makes free throw 1 of 2
4:05.0,,,70-82,1,K. Irving makes free throw 2 of 2
3:53.0,M. Smart misses 3-pt shot from 25 ft,,70-82,,
3:53.0,,,70-82,,Defensive rebound by K. Love
3:45.0,,,70-82,,L. James misses 2-pt shot from 1 ft
3:43.0,Defensive rebound by J. Crowder,,70-82,,
3:41.0,Turnover by J. Crowder (bad pass),,70-82,,
3:31.0,,,70-82,,K. Irving misses 3-pt shot from 28 ft
3:31.0,Defensive rebound by J. Crowder,,70-82,,
3:18.0,A. Bradley misses 2-pt shot from 3 ft,,70-82,,
3:15.0,Offensive rebound by J. Jerebko,,70-82,,
3:15.0,J. Jerebko makes 2-pt shot from 1 ft,2,72-82,,
3:05.0,Personal foul by J. Jerebko (drawn by K. Love),,72-82,,
3:05.0,,,72-83,1,K. Love makes free throw 1 of 2
3:05.0,,,72-84,1,K. Love makes free throw 2 of 2
2:48.0,A. Bradley makes 3-pt shot from 25 ft (assist by M. Smart),3,75-84,,
2:24.0,,,75-84,,K. Love misses 2-pt shot from 15 ft
2:23.0,Defensive rebound by J. Jerebko,,75-84,,
2:12.0,J. Crowder misses 3-pt shot from 25 ft,,75-84,,
2:11.0,,,75-84,,Defensive rebound by J. Smith
1:53.0,,,75-84,,Shooting foul by K. Olynyk
1:53.0,,,75-85,1,J. Smith makes free throw 1 of 2
1:53.0,,,75-85,,J. Smith misses free throw 2 of 2
1:53.0,J. Brown enters the game for J. Crowder,,75-85,,
1:53.0,,,75-85,,K. Korver enters the game for L. James
1:51.0,Defensive rebound by K. Olynyk,,75-85,,
1:35.0,J. Jerebko makes 3-pt shot from 24 ft (assist by A. Bradley),3,78-85,,
1:08.0,,,78-85,,K. Irving misses 2-pt shot from 3 ft
1:06.0,Defensive rebound by J. Jerebko,,78-85,,
1:05.0,,,78-85,,Violation by J. Smith (def goaltending)
1:05.0,K. Olynyk makes 2-pt shot at rim (assist by M. Smart),2,80-85,,
0:47.0,,,80-85,,K. Irving misses 2-pt shot from 11 ft
0:46.0,Defensive rebound by J. Brown,,80-85,,
0:31.0,K. Olynyk misses 3-pt shot from 24 ft,,80-85,,
0:30.0,,,80-85,,Defensive rebound by K. Love
0:09.0,,,80-87,2,T. Thompson makes 2-pt shot from 2 ft (assist by K. Irving)
0:09.0,,,80-87,,Shooting foul by J. Jerebko (drawn by T. Thompson)
0:09.0,,,80-87,,T. Thompson misses free throw 1 of 1
0:09.0,Defensive rebound by J. Jerebko,,80-87,,
0:09.0,,,80-87,,I. Shumpert enters the game for K. Irving
0:02.0,Shooting foul by I. Shumpert (drawn by M. Smart),,80-87,,
0:02.0,M. Smart misses free throw 1 of 3,,80-87,,
0:02.0,Offensive rebound by Team,,80-87,,
0:02.0,M. Smart makes free throw 2 of 3,1,81-87,,
0:02.0,M. Smart makes free throw 3 of 3,1,82-87,,
0:02.0,T. Rozier enters the game for A. Bradley,,81-87,,
0:00.0,,,82-87,,J. Smith misses 3-pt shot from 44 ft
0:00.0,,,82-87,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:41.0,J. Jerebko makes 3-pt shot from 25 ft (assist by A. Horford),3,85-87,,
11:26.0,,,85-87,,K. Korver misses 3-pt shot from 25 ft
11:26.0,Defensive rebound by J. Jerebko,,85-87,,
11:14.0,Turnover by A. Horford (bad pass; steal by K. Korver),,85-87,,
11:05.0,Personal foul by J. Brown (drawn by L. James),,85-87,,
11:02.0,,,85-87,,Turnover by L. James (bad pass)
10:53.0,T. Rozier misses 2-pt shot from 2 ft (block by T. Thompson),,85-87,,
10:52.0,,,85-87,,Defensive rebound by D. Williams
10:34.0,,,85-87,,Turnover by D. Williams (lost ball; steal by T. Rozier)
10:28.0,Turnover by T. Rozier (bad pass; steal by L. James),,85-87,,
10:21.0,,,85-87,,K. Korver misses 3-pt shot from 24 ft
10:21.0,,,85-87,,Offensive rebound by T. Thompson
10:21.0,,,85-87,,Shooting foul by J. Brown (drawn by T. Thompson)
10:21.0,,,85-88,1,T. Thompson makes free throw 1 of 2
10:21.0,,,85-89,1,T. Thompson makes free throw 2 of 2
10:21.0,A. Bradley enters the game for M. Smart,,85-88,,
10:05.0,A. Bradley misses 3-pt shot from 25 ft,,85-89,,
10:05.0,,,85-89,,Defensive rebound by L. James
10:04.0,Personal foul by J. Jerebko (drawn by D. Williams),,85-89,,
9:47.0,,,85-89,,K. Korver misses 3-pt shot from 25 ft
9:45.0,,,85-89,,Offensive rebound by T. Thompson
9:44.0,,,85-89,,T. Thompson misses 2-pt shot at rim (block by J. Jerebko)
9:43.0,,,85-89,,Offensive rebound by T. Thompson
9:43.0,,,85-89,,Shooting foul by A. Horford (drawn by T. Thompson)
9:43.0,,,85-90,1,T. Thompson makes free throw 1 of 2
9:43.0,,,85-91,1,T. Thompson makes free throw 2 of 2
9:43.0,M. Smart enters the game for J. Brown,,85-90,,
9:43.0,J. Crowder enters the game for T. Rozier,,85-90,,
9:26.0,,,85-91,,Personal foul by K. Korver (drawn by J. Jerebko)
9:16.0,A. Bradley makes 2-pt shot at rim (assist by M. Smart),2,87-91,,
8:56.0,,,87-91,,L. James misses 3-pt shot from 25 ft
8:56.0,Defensive rebound by Team,,87-91,,
8:56.0,Official timeout,,87-91,,
8:56.0,,,87-91,,K. Irving enters the game for D. Williams
8:45.0,A. Horford misses 3-pt shot from 23 ft,,87-91,,
8:45.0,,,87-91,,Defensive rebound by I. Shumpert
8:22.0,,,87-91,,I. Shumpert misses 3-pt shot from 31 ft
8:22.0,,,87-91,,Offensive rebound by Team
8:22.0,,,87-91,,Turnover by Team (shot clock)
8:04.0,A. Bradley misses 2-pt shot from 17 ft,,87-91,,
8:04.0,,,87-91,,Defensive rebound by I. Shumpert
7:55.0,,,87-93,2,K. Irving makes 2-pt shot from 2 ft (assist by I. Shumpert)
7:39.0,M. Smart makes 3-pt shot from 25 ft,3,90-93,,
7:13.0,,,90-93,,Turnover by K. Irving (lost ball; steal by A. Bradley)
7:10.0,A. Bradley misses 2-pt shot from 1 ft,,90-93,,
7:09.0,Offensive rebound by J. Crowder,,90-93,,
7:09.0,J. Crowder makes 2-pt shot from 1 ft,2,92-93,,
6:42.0,Personal foul by M. Smart (drawn by I. Shumpert),,92-93,,
6:42.0,,,92-94,1,I. Shumpert makes free throw 1 of 2
6:42.0,,,92-95,1,I. Shumpert makes free throw 2 of 2
6:42.0,K. Olynyk enters the game for J. Jerebko,,92-94,,
6:42.0,,,92-94,,K. Love enters the game for K. Korver
6:29.0,,,92-95,,Personal foul by L. James (drawn by K. Olynyk)
6:29.0,,,92-95,,J. Smith enters the game for I. Shumpert
6:17.0,A. Bradley misses 2-pt shot from 5 ft,,92-95,,
6:17.0,,,92-95,,Defensive rebound by Team
5:55.0,,,92-95,,L. James misses 2-pt shot from 7 ft
5:53.0,Defensive rebound by K. Olynyk,,92-95,,
5:44.0,M. Smart makes 3-pt shot from 25 ft,3,95-95,,
5:33.0,,,95-95,,Cleveland full timeout
5:27.0,,,95-98,3,J. Smith makes 3-pt shot from 24 ft (assist by K. Love)
5:11.0,K. Olynyk misses 3-pt shot from 26 ft,,95-98,,
5:11.0,Offensive rebound by J. Crowder,,95-98,,
5:02.0,K. Olynyk makes 2-pt shot from 1 ft (assist by A. Horford),2,97-98,,
4:44.0,,,97-98,,Turnover by K. Love (bad pass; steal by A. Bradley)
4:21.0,K. Olynyk makes 2-pt shot from 5 ft (assist by A. Horford),2,99-98,,
3:56.0,,,99-98,,L. James misses 3-pt shot from 29 ft
3:56.0,,,99-98,,Offensive rebound by T. Thompson
3:56.0,Personal foul by K. Olynyk (drawn by T. Thompson),,99-98,,
3:56.0,,,99-99,1,T. Thompson makes free throw 1 of 2
3:56.0,,,99-99,,T. Thompson misses free throw 2 of 2
3:54.0,,,99-99,,Offensive rebound by J. Smith
3:48.0,,,99-99,,J. Smith misses 3-pt shot from 23 ft
3:44.0,,,99-99,,Offensive rebound by K. Love
3:44.0,,,99-101,2,K. Love makes 2-pt shot from 1 ft
3:29.0,J. Crowder misses 3-pt shot from 23 ft,,99-101,,
3:29.0,Offensive rebound by M. Smart,,99-101,,
3:21.0,Boston full timeout,,99-101,,
3:12.0,J. Crowder misses 3-pt shot from 26 ft,,99-101,,
3:11.0,Offensive rebound by M. Smart,,99-101,,
3:04.0,A. Horford makes 3-pt shot from 24 ft (assist by M. Smart),3,102-101,,
2:50.0,,,102-101,,Turnover by L. James (bad pass; steal by J. Crowder)
2:39.0,A. Horford misses 3-pt shot from 23 ft,,102-101,,
2:39.0,,,102-101,,Defensive rebound by K. Love
2:20.0,,,102-103,2,K. Irving makes 2-pt shot from 7 ft
2:07.0,A. Bradley misses 2-pt shot at rim (block by K. Love),,102-103,,
2:06.0,,,102-103,,Defensive rebound by J. Smith
1:40.0,,,102-103,,K. Love misses 3-pt shot from 24 ft
1:40.0,Defensive rebound by J. Crowder,,102-103,,
1:19.0,Shooting foul by J. Smith (drawn by M. Smart),,102-103,,
1:19.0,M. Smart makes free throw 1 of 3,1,103-103,,
1:19.0,M. Smart makes free throw 2 of 3,1,104-103,,
1:19.0,M. Smart misses free throw 3 of 3,,104-103,,
1:18.0,,,104-103,,Defensive rebound by J. Smith
1:03.0,,,104-103,,K. Irving misses 3-pt shot from 25 ft
1:03.0,Defensive rebound by J. Crowder,,104-103,,
0:55.0,Boston full timeout,,104-103,,
0:55.0,J. Jerebko enters the game for K. Olynyk,,104-103,,
0:46.0,A. Horford makes 2-pt shot from 6 ft,2,106-103,,
0:36.0,,,106-106,3,J. Smith makes 3-pt shot from 25 ft (assist by L. James)
