time,Utah,pts.away,score,pts.home,Milwaukee
5:26.0,,,14-12,,K. Middleton misses 2-pt shot from 7 ft
5:26.0,,,14-12,,Offensive rebound by G. Antetokounmpo
5:26.0,,,14-12,,Shooting foul by R. Hood (drawn by G. Antetokounmpo)
5:26.0,,,14-13,1,G. Antetokounmpo makes free throw 1 of 2
5:26.0,,,14-13,,G. Antetokounmpo misses free throw 2 of 2
5:26.0,J. Ingles enters the game for R. Hood,,14-13,,
5:26.0,,,14-13,,M. Brogdon enters the game for M. Dellavedova
5:25.0,Defensive rebound by R. Gobert,,14-13,,
5:11.0,Shooting foul by G. Monroe (drawn by R. Gobert),,14-13,,
5:11.0,R. Gobert makes free throw 1 of 2,1,15-13,,
5:11.0,R. Gobert makes free throw 2 of 2,1,16-13,,
5:01.0,,,16-13,,T. Snell misses 3-pt shot from 25 ft
5:00.0,Defensive rebound by R. Gobert,,16-13,,
4:49.0,R. Gobert makes 2-pt shot at rim (assist by D. Exum),2,18-13,,
4:49.0,,,18-13,,Milwaukee full timeout
4:49.0,,,18-13,,R. Vaughn enters the game for T. Snell
4:36.0,,,18-13,,Turnover by G. Antetokounmpo (bad pass)
4:23.0,G. Hayward makes 2-pt shot from 1 ft (assist by R. Gobert),2,20-13,,
4:23.0,Shooting foul by G. Antetokounmpo (drawn by G. Hayward),,20-13,,
4:23.0,G. Hayward makes free throw 1 of 1,1,21-13,,
4:14.0,Personal foul by J. Johnson (drawn by G. Antetokounmpo),,21-13,,
4:03.0,Personal foul by D. Exum (drawn by K. Middleton),,21-13,,
4:03.0,,,21-14,1,K. Middleton makes free throw 1 of 2
4:03.0,,,21-15,1,K. Middleton makes free throw 2 of 2
3:51.0,G. Hayward makes 2-pt shot at rim (assist by J. Ingles),2,23-15,,
3:37.0,,,23-15,,G. Antetokounmpo misses 2-pt shot from 3 ft
3:36.0,,,23-15,,Offensive rebound by G. Antetokounmpo
3:36.0,,,23-15,,Shooting foul by R. Gobert (drawn by G. Antetokounmpo)
3:36.0,,,23-15,,G. Antetokounmpo misses free throw 1 of 2
3:36.0,,,23-15,,Offensive rebound by Team
3:36.0,,,23-16,1,G. Antetokounmpo makes free throw 2 of 2
3:29.0,D. Exum makes 2-pt shot at rim,2,25-16,,
3:29.0,Shooting foul by R. Vaughn (drawn by D. Exum),,25-16,,
3:29.0,D. Exum makes free throw 1 of 1,1,26-16,,
3:29.0,A. Burks enters the game for G. Hayward,,25-16,,
3:29.0,D. Favors enters the game for R. Gobert,,25-16,,
3:29.0,,,25-16,,M. Beasley enters the game for G. Antetokounmpo
3:15.0,,,26-16,,Shooting foul by A. Burks (drawn by G. Monroe)
3:15.0,,,26-17,1,G. Monroe makes free throw 1 of 2
3:15.0,,,26-18,1,G. Monroe makes free throw 2 of 2
3:00.0,A. Burks misses 3-pt shot from 27 ft,,26-18,,
2:57.0,,,26-18,,Defensive rebound by M. Beasley
2:48.0,,,26-20,2,M. Brogdon makes 2-pt shot at rim (assist by G. Monroe)
2:31.0,J. Ingles misses 2-pt shot from 2 ft,,26-20,,
2:30.0,Offensive rebound by D. Favors,,26-20,,
2:30.0,D. Favors makes 2-pt shot at rim,2,28-20,,
2:17.0,,,28-23,3,M. Brogdon makes 3-pt shot from 26 ft
1:59.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,30-23,,
1:44.0,,,30-23,,M. Beasley misses 2-pt shot from 12 ft
1:43.0,Defensive rebound by D. Exum,,30-23,,
1:37.0,,,30-23,,Shooting block foul by R. Vaughn (drawn by D. Exum)
1:37.0,D. Exum makes free throw 1 of 2,1,31-23,,
1:37.0,D. Exum makes free throw 2 of 2,1,32-23,,
1:37.0,,,31-23,,J. Terry enters the game for R. Vaughn
1:21.0,,,32-23,,Turnover by M. Brogdon (lost ball; steal by D. Exum)
1:08.0,A. Burks makes 2-pt shot from 5 ft,2,34-23,,
0:51.0,,,34-23,,M. Beasley misses 2-pt shot from 2 ft (block by D. Favors)
0:49.0,,,34-23,,Offensive rebound by K. Middleton
0:46.0,,,34-25,2,K. Middleton makes 2-pt shot from 14 ft
0:35.0,D. Favors makes 2-pt shot from 5 ft (assist by D. Exum),2,36-25,,
0:22.0,Personal foul by A. Burks (drawn by K. Middleton),,36-25,,
0:22.0,,,36-26,1,K. Middleton makes free throw 1 of 2
0:22.0,,,36-27,1,K. Middleton makes free throw 2 of 2
0:00.0,D. Favors misses 2-pt shot from 15 ft,,36-27,,
0:00.0,Offensive rebound by Team,,36-27,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,,,36-27,,Turnover by J. Terry (bad pass; steal by G. Hill)
11:49.0,,,36-27,,Personal foul by M. Brogdon (drawn by G. Hill)
11:29.0,B. Diaw misses 2-pt shot from 16 ft,,36-27,,
11:28.0,,,36-27,,Defensive rebound by K. Middleton
11:21.0,,,36-29,2,M. Beasley makes 2-pt shot from 1 ft
11:03.0,D. Favors misses 2-pt shot from 17 ft,,36-29,,
11:01.0,,,36-29,,Defensive rebound by M. Beasley
10:56.0,Shooting block foul by B. Diaw (drawn by M. Beasley),,36-29,,
10:56.0,,,36-30,1,M. Beasley makes free throw 1 of 2
10:56.0,,,36-31,1,M. Beasley makes free throw 2 of 2
10:36.0,D. Favors makes 2-pt shot at rim (assist by J. Ingles),2,38-31,,
10:20.0,,,38-33,2,M. Beasley makes 2-pt shot at rim (assist by M. Brogdon)
9:58.0,D. Favors makes 2-pt shot at rim (assist by A. Burks),2,40-33,,
9:58.0,Shooting foul by M. Brogdon (drawn by D. Favors),,40-33,,
9:58.0,D. Favors makes free throw 1 of 1,1,41-33,,
9:58.0,,,40-33,,M. Dellavedova enters the game for M. Brogdon
9:48.0,Personal block foul by G. Hill (drawn by M. Dellavedova),,41-33,,
9:48.0,,,41-33,,T. Snell enters the game for K. Middleton
9:41.0,,,41-33,,J. Henson misses 2-pt shot from 6 ft
9:40.0,Defensive rebound by J. Ingles,,41-33,,
9:30.0,D. Favors makes 2-pt shot from 8 ft (assist by A. Burks),2,43-33,,
9:18.0,,,43-33,,M. Dellavedova misses 2-pt shot from 8 ft
9:16.0,Defensive rebound by D. Favors,,43-33,,
9:02.0,B. Diaw misses 3-pt shot from 26 ft,,43-33,,
9:01.0,,,43-33,,Defensive rebound by M. Beasley
8:42.0,,,43-33,,T. Snell misses 2-pt shot from 2 ft
8:40.0,Defensive rebound by J. Ingles,,43-33,,
8:29.0,G. Hill makes 3-pt shot from 24 ft (assist by J. Ingles),3,46-33,,
8:29.0,,,46-33,,Milwaukee full timeout
8:29.0,,,46-33,,G. Antetokounmpo enters the game for M. Beasley
8:29.0,R. Gobert enters the game for D. Favors,,46-33,,
8:22.0,,,46-33,,Turnover by J. Terry (bad pass)
8:13.0,Turnover by B. Diaw (lost ball; steal by G. Antetokounmpo),,46-33,,
8:09.0,,,46-35,2,G. Antetokounmpo makes 2-pt shot at rim
7:58.0,,,46-35,,Personal foul by M. Dellavedova (drawn by G. Hill)
7:58.0,J. Johnson enters the game for J. Ingles,,46-35,,
7:58.0,G. Hayward enters the game for B. Diaw,,46-35,,
7:43.0,J. Johnson misses 2-pt shot from 16 ft,,46-35,,
7:41.0,,,46-35,,Defensive rebound by J. Henson
7:33.0,,,46-35,,Turnover by G. Antetokounmpo (lost ball; steal by J. Johnson)
7:31.0,D. Exum enters the game for A. Burks,,46-35,,
7:31.0,R. Hood enters the game for G. Hill,,46-35,,
7:18.0,Turnover by D. Exum (traveling),,46-35,,
6:54.0,,,46-37,2,J. Henson makes 2-pt shot from 4 ft (assist by M. Dellavedova)
6:48.0,,,46-37,,Personal foul by J. Terry (drawn by R. Hood)
6:34.0,G. Hayward misses 2-pt shot from 8 ft,,46-37,,
6:33.0,,,46-37,,Defensive rebound by G. Antetokounmpo
6:24.0,,,46-37,,J. Terry misses 3-pt shot from 23 ft
6:23.0,Defensive rebound by D. Exum,,46-37,,
6:15.0,R. Hood misses 2-pt shot from 1 ft (block by J. Henson),,46-37,,
6:13.0,Offensive rebound by D. Exum,,46-37,,
6:13.0,,,46-37,,Personal foul by J. Terry (drawn by D. Exum)
6:13.0,D. Exum makes free throw 1 of 2,1,47-37,,
6:13.0,D. Exum makes free throw 2 of 2,1,48-37,,
6:13.0,,,47-37,,K. Middleton enters the game for J. Terry
6:06.0,,,48-37,,M. Dellavedova misses 3-pt shot from 27 ft
6:04.0,Defensive rebound by R. Hood,,48-37,,
5:53.0,R. Hood misses 2-pt shot from 4 ft,,48-37,,
5:52.0,Offensive rebound by D. Exum,,48-37,,
5:40.0,R. Gobert misses 2-pt shot from 3 ft,,48-37,,
5:40.0,,,48-37,,Defensive rebound by Team
5:40.0,Loose ball foul by R. Gobert (drawn by J. Henson),,48-37,,
5:40.0,Official timeout,,48-37,,
5:40.0,G. Hill enters the game for D. Exum,,48-37,,
5:25.0,,,48-37,,Turnover by M. Dellavedova (dbl dribble)
5:16.0,Offensive foul by R. Hood,,48-37,,
5:16.0,Turnover by R. Hood (offensive foul),,48-37,,
5:16.0,J. Ingles enters the game for R. Hood,,48-37,,
5:03.0,,,48-37,,Turnover by G. Antetokounmpo (offensive foul)
5:03.0,,,48-37,,Offensive foul by G. Antetokounmpo
4:50.0,,,48-37,,Personal foul by J. Henson (drawn by J. Johnson)
4:50.0,J. Johnson makes free throw 1 of 2,1,49-37,,
4:50.0,J. Johnson makes free throw 2 of 2,1,50-37,,
4:50.0,,,49-37,,G. Monroe enters the game for J. Henson
4:28.0,,,50-37,,G. Monroe misses 2-pt shot from 5 ft
4:27.0,Defensive rebound by J. Ingles,,50-37,,
4:12.0,Turnover by G. Hill (bad pass; steal by G. Antetokounmpo),,50-37,,
4:04.0,,,50-40,3,K. Middleton makes 3-pt shot from 27 ft (assist by G. Antetokounmpo)
3:44.0,,,50-40,,Personal foul by M. Dellavedova (drawn by R. Gobert)
3:44.0,R. Gobert makes free throw 1 of 2,1,51-40,,
3:44.0,R. Gobert misses free throw 2 of 2,,51-40,,
3:42.0,,,51-40,,Defensive rebound by G. Antetokounmpo
3:31.0,,,51-40,,K. Middleton misses 2-pt shot from 14 ft
3:30.0,,,51-40,,Offensive rebound by G. Monroe
3:22.0,,,51-42,2,G. Monroe makes 2-pt shot from 15 ft
3:06.0,J. Ingles misses 2-pt shot from 1 ft,,51-42,,
3:04.0,,,51-42,,Defensive rebound by G. Monroe
2:54.0,,,51-42,,K. Middleton misses 3-pt shot from 28 ft
2:53.0,Defensive rebound by R. Gobert,,51-42,,
2:47.0,,,51-42,,Personal foul by G. Antetokounmpo (drawn by G. Hill)
2:47.0,Utah full timeout,,51-42,,
2:47.0,G. Hill makes free throw 1 of 2,1,52-42,,
2:47.0,G. Hill makes free throw 2 of 2,1,53-42,,
2:47.0,,,51-42,,M. Beasley enters the game for G. Antetokounmpo
2:30.0,,,53-42,,G. Monroe misses 2-pt shot from 1 ft
2:29.0,,,53-42,,Offensive rebound by G. Monroe
2:23.0,D. Favors enters the game for R. Gobert,,53-42,,
2:06.0,,,53-42,,Turnover by G. Monroe (lost ball; steal by G. Hill)
2:02.0,G. Hayward makes 2-pt shot from 1 ft,2,55-42,,
1:44.0,,,55-44,2,M. Beasley makes 2-pt shot at rim
1:21.0,J. Johnson makes 2-pt shot from 6 ft (assist by D. Favors),2,57-44,,
1:11.0,Personal foul by G. Hill (drawn by M. Dellavedova),,57-44,,
1:02.0,,,57-44,,Turnover by M. Dellavedova (bad pass; steal by J. Johnson)
0:55.0,J. Ingles misses 3-pt shot from 24 ft,,57-44,,
0:54.0,,,57-44,,Defensive rebound by M. Beasley
0:40.0,,,57-46,2,M. Beasley makes 2-pt shot from 17 ft (assist by M. Dellavedova)
0:36.0,,,57-46,,Shooting block foul by G. Monroe (drawn by G. Hill)
0:36.0,G. Hill makes free throw 1 of 2,1,58-46,,
0:36.0,G. Hill makes free throw 2 of 2,1,59-46,,
0:13.0,,,59-46,,G. Monroe misses 2-pt shot from 3 ft
0:11.0,Defensive rebound by G. Hill,,59-46,,
0:01.0,G. Hayward misses 3-pt shot from 23 ft,,59-46,,
0:00.0,,,59-46,,Defensive rebound by G. Monroe
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:41.0,,,59-46,,G. Antetokounmpo misses 2-pt shot from 1 ft (block by R. Gobert)
11:38.0,Defensive rebound by R. Gobert,,59-46,,
11:24.0,R. Hood misses 2-pt shot from 1 ft,,59-46,,
11:22.0,Offensive rebound by R. Gobert,,59-46,,
11:22.0,R. Gobert misses 2-pt shot from 1 ft,,59-46,,
11:21.0,,,59-46,,Defensive rebound by M. Dellavedova
11:18.0,Personal foul by G. Hill (drawn by G. Antetokounmpo),,59-46,,
11:04.0,,,59-49,3,T. Maker makes 3-pt shot from 26 ft (assist by M. Dellavedova)
10:39.0,G. Hayward makes 2-pt shot from 9 ft,2,61-49,,
10:21.0,,,61-51,2,G. Antetokounmpo makes 2-pt shot at rim (assist by M. Dellavedova)
9:57.0,G. Hill makes 2-pt shot from 15 ft,2,63-51,,
9:44.0,,,63-51,,Turnover by G. Antetokounmpo (lost ball)
9:19.0,R. Hood misses 3-pt shot from 31 ft,,63-51,,
9:19.0,Offensive rebound by Team,,63-51,,
9:19.0,Turnover by Team (shot clock),,63-51,,
9:07.0,,,63-51,,Turnover by M. Dellavedova (bad pass; steal by G. Hill)
9:00.0,Shooting foul by T. Maker (drawn by G. Hill),,63-51,,
9:00.0,G. Hill makes free throw 1 of 2,1,64-51,,
9:00.0,G. Hill makes free throw 2 of 2,1,65-51,,
8:36.0,,,65-53,2,M. Beasley makes 2-pt shot from 9 ft
8:18.0,,,65-53,,Personal foul by T. Maker (drawn by R. Gobert)
8:07.0,D. Favors makes 2-pt shot from 10 ft (assist by G. Hayward),2,67-53,,
7:55.0,,,67-55,2,M. Beasley makes 2-pt shot from 16 ft (assist by M. Dellavedova)
7:33.0,R. Gobert makes 2-pt shot at rim (assist by R. Hood),2,69-55,,
7:33.0,Shooting foul by M. Beasley (drawn by R. Gobert),,69-55,,
7:33.0,R. Gobert misses free throw 1 of 1,,69-55,,
7:31.0,,,69-55,,Defensive rebound by T. Maker
7:13.0,,,69-55,,M. Dellavedova misses 3-pt shot from 27 ft
7:12.0,Defensive rebound by R. Gobert,,69-55,,
7:05.0,Turnover by G. Hill (bad pass; steal by G. Antetokounmpo),,69-55,,
7:05.0,Personal foul by R. Gobert (drawn by T. Maker),,69-55,,
6:53.0,,,69-57,2,M. Dellavedova makes 2-pt shot from 16 ft
6:46.0,G. Hayward makes 2-pt shot from 1 ft (assist by G. Hill),2,71-57,,
6:30.0,,,71-57,,M. Beasley misses 2-pt shot from 19 ft
6:28.0,Defensive rebound by R. Gobert,,71-57,,
6:13.0,Turnover by R. Gobert (bad pass),,71-57,,
6:13.0,,,71-57,,Milwaukee full timeout
6:13.0,J. Johnson enters the game for D. Favors,,71-57,,
6:13.0,D. Exum enters the game for G. Hill,,71-57,,
6:13.0,,,71-57,,M. Brogdon enters the game for M. Beasley
6:13.0,,,71-57,,K. Middleton enters the game for M. Dellavedova
6:04.0,,,71-60,3,G. Antetokounmpo makes 3-pt shot from 26 ft
5:44.0,R. Gobert makes 2-pt shot at rim (assist by G. Hayward),2,73-60,,
5:19.0,,,73-62,2,G. Antetokounmpo makes 2-pt shot from 6 ft
5:19.0,,,73-62,,Shooting foul by J. Johnson (drawn by G. Antetokounmpo)
5:19.0,Technical foul by R. Gobert,,73-62,,
5:19.0,,,73-63,1,M. Brogdon makes technical free throw
5:19.0,,,73-64,1,G. Antetokounmpo makes free throw 1 of 1
5:19.0,D. Favors enters the game for R. Gobert,,73-63,,
4:58.0,D. Exum makes 2-pt shot from 2 ft,2,75-64,,
4:44.0,,,75-66,2,G. Antetokounmpo makes 2-pt shot at rim
4:16.0,G. Hayward makes 2-pt shot from 7 ft,2,77-66,,
4:06.0,,,77-66,,G. Antetokounmpo misses 3-pt shot from 25 ft
4:05.0,Defensive rebound by D. Favors,,77-66,,
3:56.0,G. Hayward makes 2-pt shot at rim,2,79-66,,
3:36.0,,,79-66,,M. Brogdon misses 3-pt shot from 27 ft
3:35.0,Defensive rebound by J. Johnson,,79-66,,
3:22.0,R. Hood misses 3-pt shot from 24 ft,,79-66,,
3:20.0,,,79-66,,Defensive rebound by T. Maker
2:58.0,,,79-66,,K. Middleton misses 2-pt shot from 3 ft
2:57.0,Defensive rebound by D. Favors,,79-66,,
2:54.0,Utah full timeout,,79-66,,
2:54.0,,,79-66,,G. Monroe enters the game for T. Maker
2:54.0,J. Ingles enters the game for R. Hood,,79-66,,
2:46.0,D. Favors makes 2-pt shot from 12 ft (assist by G. Hayward),2,81-66,,
2:32.0,Personal foul by D. Favors (drawn by M. Brogdon),,81-66,,
2:32.0,A. Burks enters the game for G. Hayward,,81-66,,
2:24.0,,,81-69,3,G. Antetokounmpo makes 3-pt shot from 26 ft (assist by G. Monroe)
2:08.0,D. Exum misses 3-pt shot from 24 ft,,81-69,,
2:06.0,Offensive rebound by D. Favors,,81-69,,
2:05.0,Turnover by D. Favors (bad pass),,81-69,,
1:55.0,,,81-69,,M. Brogdon misses 2-pt shot from 7 ft
1:54.0,Defensive rebound by J. Johnson,,81-69,,
1:41.0,J. Ingles makes 3-pt shot from 24 ft (assist by D. Exum),3,84-69,,
1:31.0,,,84-69,,Shooting foul by J. Ingles (drawn by G. Antetokounmpo)
1:31.0,,,84-70,1,G. Antetokounmpo makes free throw 1 of 2
1:31.0,,,84-71,1,G. Antetokounmpo makes free throw 2 of 2
1:11.0,D. Favors misses 2-pt shot from 9 ft,,84-71,,
1:10.0,,,84-71,,Defensive rebound by G. Monroe
0:56.0,,,84-73,2,G. Monroe makes 2-pt shot from 5 ft (assist by G. Antetokounmpo)
0:42.0,D. Exum makes 3-pt shot from 24 ft (assist by D. Favors),3,87-73,,
0:34.0,,,87-73,,Shooting foul by D. Exum (drawn by G. Antetokounmpo)
0:34.0,,,87-74,1,G. Antetokounmpo makes free throw 1 of 2
0:34.0,,,87-75,1,G. Antetokounmpo makes free throw 2 of 2
0:34.0,G. Hill enters the game for D. Exum,,87-74,,
0:34.0,,,87-74,,J. Terry enters the game for T. Snell
0:13.0,D. Favors misses 2-pt shot from 16 ft,,87-75,,
0:11.0,,,87-75,,Defensive rebound by G. Antetokounmpo
0:02.0,,,87-75,,K. Middleton misses 2-pt shot from 1 ft (block by D. Favors)
0:00.0,Defensive rebound by J. Ingles,,87-75,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:45.0,G. Hill makes 3-pt shot from 25 ft,3,90-75,,
11:28.0,,,90-77,2,M. Beasley makes 2-pt shot at rim
11:01.0,Turnover by Team (shot clock),,90-77,,
10:44.0,,,90-77,,G. Monroe misses 2-pt shot from 8 ft
10:42.0,,,90-77,,Offensive rebound by G. Monroe
10:42.0,,,90-77,,G. Monroe misses 2-pt shot from 1 ft
10:40.0,Defensive rebound by R. Gobert,,90-77,,
10:27.0,J. Ingles makes 3-pt shot from 27 ft (assist by B. Diaw),3,93-77,,
10:07.0,,,93-77,,K. Middleton misses 2-pt shot from 11 ft
10:06.0,Defensive rebound by J. Ingles,,93-77,,
9:58.0,J. Ingles misses 3-pt shot from 26 ft,,93-77,,
9:57.0,,,93-77,,Defensive rebound by K. Middleton
9:54.0,,,93-77,,Shooting foul by J. Ingles (drawn by J. Terry)
9:54.0,,,93-77,,J. Terry misses free throw 1 of 2
9:54.0,,,93-77,,Offensive rebound by Team
9:54.0,,,93-78,1,J. Terry makes free throw 2 of 2
9:54.0,,,93-77,,M. Dellavedova enters the game for K. Middleton
9:54.0,R. Hood enters the game for A. Burks,,93-77,,
9:38.0,Turnover by G. Hill (bad pass),,93-78,,
9:29.0,,,93-78,,M. Beasley misses 2-pt shot from 13 ft (block by R. Gobert)
9:28.0,,,93-78,,Offensive rebound by Team
9:28.0,Loose ball foul by B. Diaw (drawn by G. Monroe),,93-78,,
9:20.0,,,93-78,,M. Beasley misses 2-pt shot from 8 ft
9:19.0,,,93-78,,Offensive rebound by G. Monroe
9:17.0,,,93-78,,G. Monroe misses 2-pt shot from 1 ft
9:15.0,,,93-78,,Offensive rebound by G. Monroe
9:13.0,,,93-78,,Turnover by G. Monroe (lost ball; steal by R. Hood)
9:13.0,Jump ball: R. Hood vs. G. Monroe (J. Ingles gains possession),,,,Jump ball: R. Hood vs. G. Monroe (J. Ingles gains possession)
9:08.0,J. Ingles misses 2-pt shot from 1 ft,,93-78,,
9:07.0,Offensive rebound by J. Ingles,,93-78,,
9:07.0,J. Ingles misses 2-pt shot from 1 ft,,93-78,,
9:05.0,Offensive rebound by R. Gobert,,93-78,,
9:05.0,R. Gobert makes 2-pt shot from 1 ft,2,95-78,,
8:52.0,,,95-81,3,J. Terry makes 3-pt shot from 23 ft (assist by M. Brogdon)
8:29.0,R. Hood makes 3-pt shot from 25 ft (assist by J. Ingles),3,98-81,,
8:14.0,,,98-81,,M. Brogdon misses 2-pt shot from 10 ft
8:14.0,Defensive rebound by Team,,98-81,,
8:14.0,,,98-81,,Loose ball foul by G. Monroe (drawn by R. Gobert)
8:14.0,Official timeout,,98-81,,
8:14.0,,,98-81,,G. Antetokounmpo enters the game for M. Dellavedova
8:14.0,G. Hayward enters the game for J. Ingles,,98-81,,
7:50.0,Turnover by R. Gobert (traveling),,98-81,,
7:33.0,,,98-81,,M. Brogdon misses 3-pt shot from 29 ft
7:32.0,Defensive rebound by R. Gobert,,98-81,,
7:12.0,R. Hood misses 3-pt shot from 27 ft,,98-81,,
7:11.0,,,98-81,,Defensive rebound by M. Brogdon
7:03.0,,,98-83,2,G. Antetokounmpo makes 2-pt shot from 1 ft (assist by M. Brogdon)
6:43.0,G. Hayward makes 3-pt shot from 25 ft (assist by B. Diaw),3,101-83,,
6:24.0,Personal foul by G. Hill (drawn by M. Brogdon),,101-83,,
6:24.0,J. Johnson enters the game for B. Diaw,,101-83,,
6:24.0,D. Exum enters the game for R. Hood,,101-83,,
6:15.0,,,101-83,,Shooting foul by J. Johnson (drawn by G. Antetokounmpo)
6:15.0,,,101-83,,G. Antetokounmpo misses free throw 1 of 2
6:15.0,,,101-83,,Offensive rebound by Team
6:15.0,,,101-84,1,G. Antetokounmpo makes free throw 2 of 2
6:01.0,G. Hayward misses 2-pt shot from 13 ft,,101-84,,
6:00.0,,,101-84,,Defensive rebound by M. Beasley
5:50.0,,,101-84,,M. Beasley misses 2-pt shot at rim (block by R. Gobert)
5:48.0,Defensive rebound by G. Hayward,,101-84,,
5:48.0,,,101-84,,Personal foul by M. Beasley (drawn by R. Gobert)
5:48.0,,,101-84,,Milwaukee full timeout
5:48.0,,,101-84,,J. Henson enters the game for G. Monroe
5:48.0,R. Hood enters the game for G. Hill,,101-84,,
5:48.0,G. Hill enters the game for R. Hood,,101-84,,
5:40.0,D. Exum misses 3-pt shot from 24 ft,,101-84,,
5:40.0,Offensive rebound by Team,,101-84,,
5:40.0,,,101-84,,Loose ball foul by J. Henson (drawn by R. Gobert)
5:32.0,J. Johnson misses 3-pt shot from 28 ft,,101-84,,
5:31.0,Offensive rebound by R. Gobert,,101-84,,
5:27.0,Turnover by R. Gobert (traveling),,101-84,,
5:12.0,,,101-86,2,J. Henson makes 2-pt shot from 1 ft (assist by M. Brogdon)
4:50.0,G. Hill misses 3-pt shot from 26 ft,,101-86,,
4:49.0,,,101-86,,Defensive rebound by M. Beasley
