time,Cleveland,pts.away,score,pts.home,Orlando
7:02.0,I. Shumpert makes 3-pt shot from 25 ft (assist by L. James),3,12-9,,
7:01.0,,,12-9,,Orlando full timeout
6:50.0,,,12-9,,N. Vucevic misses 3-pt shot from 25 ft
6:49.0,Defensive rebound by K. Irving,,12-9,,
6:34.0,K. Irving misses 2-pt shot from 1 ft,,12-9,,
6:32.0,Offensive rebound by T. Thompson,,12-9,,
6:31.0,T. Thompson misses 2-pt shot from 1 ft,,12-9,,
6:29.0,Offensive rebound by R. Jefferson,,12-9,,
6:26.0,Turnover by I. Shumpert (lost ball; steal by E. Payton),,12-9,,
6:22.0,,,12-9,,E. Fournier misses 2-pt shot from 2 ft
6:18.0,Defensive rebound by R. Jefferson,,12-9,,
6:15.0,Turnover by L. James (traveling),,12-9,,
6:15.0,J. Smith enters the game for R. Jefferson,,12-9,,
6:04.0,,,12-11,2,E. Fournier makes 2-pt shot from 18 ft (assist by E. Payton)
5:46.0,T. Thompson makes 2-pt shot from 2 ft (assist by L. James),2,14-11,,
5:46.0,Shooting foul by T. Ross (drawn by T. Thompson),,14-11,,
5:46.0,T. Thompson misses free throw 1 of 1,,14-11,,
5:44.0,,,14-11,,Defensive rebound by E. Payton
5:27.0,,,14-13,2,T. Ross makes 2-pt shot from 14 ft
5:13.0,K. Irving makes 2-pt shot from 6 ft (assist by I. Shumpert),2,16-13,,
4:53.0,,,16-15,2,T. Ross makes 2-pt shot from 19 ft
4:33.0,,,16-15,,Personal foul by E. Fournier (drawn by T. Thompson)
4:20.0,J. Smith misses 3-pt shot from 26 ft,,16-15,,
4:19.0,,,16-15,,Defensive rebound by N. Vucevic
4:13.0,,,16-15,,E. Fournier misses 2-pt shot from 2 ft (block by L. James)
4:10.0,Defensive rebound by K. Irving,,16-15,,
4:08.0,Shooting foul by E. Payton (drawn by L. James),,16-15,,
4:08.0,L. James makes free throw 1 of 2,1,17-15,,
4:08.0,L. James makes free throw 2 of 2,1,18-15,,
3:56.0,,,18-17,2,A. Gordon makes 2-pt shot from 18 ft
3:43.0,K. Irving misses 3-pt shot from 24 ft,,18-17,,
3:40.0,,,18-17,,Defensive rebound by A. Gordon
3:33.0,,,18-19,2,T. Ross makes 2-pt shot at rim (assist by A. Gordon)
3:17.0,I. Shumpert misses 2-pt shot from 21 ft,,18-19,,
3:16.0,,,18-19,,Defensive rebound by A. Gordon
3:08.0,,,18-21,2,N. Vucevic makes 2-pt shot from 21 ft (assist by A. Gordon)
3:07.0,Cleveland full timeout,,18-21,,
3:07.0,D. Williams enters the game for I. Shumpert,,18-21,,
3:07.0,,,18-21,,M. Hezonja enters the game for E. Fournier
2:51.0,K. Irving makes 3-pt shot from 25 ft (assist by L. James),3,21-21,,
2:37.0,,,21-23,2,T. Ross makes 2-pt shot from 22 ft (assist by A. Gordon)
2:12.0,L. James misses 2-pt shot from 13 ft,,21-23,,
2:11.0,,,21-23,,Defensive rebound by N. Vucevic
1:56.0,,,21-23,,A. Gordon misses 2-pt shot from 12 ft
1:54.0,,,21-23,,Offensive rebound by N. Vucevic
1:51.0,,,21-23,,Offensive charge foul by N. Vucevic
1:51.0,,,21-23,,Turnover by N. Vucevic (offensive foul)
1:51.0,D. Williams enters the game for L. James,,21-23,,
1:51.0,,,21-23,,D. Augustin enters the game for E. Payton
1:51.0,,,21-23,,B. Biyombo enters the game for N. Vucevic
1:42.0,Shooting foul by A. Gordon (drawn by T. Thompson),,21-23,,
1:42.0,T. Thompson misses free throw 1 of 2,,21-23,,
1:42.0,Offensive rebound by Team,,21-23,,
1:42.0,T. Thompson makes free throw 2 of 2,1,22-23,,
1:42.0,,,21-23,,J. Green enters the game for A. Gordon
1:29.0,,,22-25,2,J. Green makes 2-pt shot from 7 ft
1:19.0,K. Irving misses 2-pt shot from 7 ft,,22-25,,
1:17.0,,,22-25,,Defensive rebound by Team
1:17.0,C. Frye enters the game for T. Thompson,,22-25,,
1:02.0,,,22-25,,B. Biyombo misses 2-pt shot from 6 ft
1:00.0,Defensive rebound by D. Williams,,22-25,,
0:53.0,D. Williams misses 2-pt shot from 3 ft,,22-25,,
0:51.0,,,22-25,,Defensive rebound by M. Hezonja
0:37.0,,,22-25,,T. Ross misses 3-pt shot from 26 ft
0:36.0,Defensive rebound by C. Frye,,22-25,,
0:21.0,Shooting foul by M. Hezonja (drawn by C. Frye),,22-25,,
0:21.0,C. Frye makes free throw 1 of 2,1,23-25,,
0:21.0,C. Frye makes free throw 2 of 2,1,24-25,,
0:21.0,I. Shumpert enters the game for K. Irving,,23-25,,
0:01.0,,,24-25,,J. Green misses 2-pt shot from 20 ft
0:00.0,Defensive rebound by I. Shumpert,,24-25,,
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:49.0,D. Williams makes 2-pt shot from 1 ft (assist by L. James),2,26-25,,
11:24.0,,,26-25,,J. Green misses 2-pt shot from 21 ft
11:22.0,Defensive rebound by L. James,,26-25,,
11:18.0,Shooting foul by M. Hezonja (drawn by L. James),,26-25,,
11:18.0,L. James misses free throw 1 of 2,,26-25,,
11:18.0,Offensive rebound by Team,,26-25,,
11:18.0,L. James makes free throw 2 of 2,1,27-25,,
11:06.0,,,27-27,2,D. Augustin makes 2-pt shot from 21 ft
10:47.0,L. James makes 2-pt shot at rim (assist by D. Williams),2,29-27,,
10:36.0,Personal foul by R. Jefferson (drawn by M. Hezonja),,29-27,,
10:26.0,,,29-27,,Shooting foul by D. Williams (drawn by D. Augustin)
10:26.0,,,29-29,2,D. Augustin makes 2-pt shot from 15 ft
10:26.0,,,29-30,1,D. Augustin makes free throw 1 of 1
10:05.0,R. Jefferson misses 2-pt shot from 2 ft,,29-30,,
10:02.0,,,29-30,,Defensive rebound by B. Biyombo
9:54.0,,,29-30,,M. Hezonja misses 3-pt shot from 25 ft
9:53.0,,,29-30,,Offensive rebound by B. Biyombo
9:49.0,,,29-30,,D. Augustin misses 2-pt shot from 20 ft
9:49.0,Defensive rebound by R. Jefferson,,29-30,,
9:49.0,,,29-30,,Personal foul by C. Watson (drawn by R. Jefferson)
9:34.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,32-30,,
9:21.0,,,32-32,2,B. Biyombo makes 2-pt shot from 1 ft (assist by D. Augustin)
9:05.0,D. Williams makes 2-pt shot at rim (assist by D. Williams),2,34-32,,
9:01.0,Violation by Team (delay of game),,34-32,,
8:52.0,,,34-32,,D. Augustin misses 3-pt shot from 25 ft
8:51.0,Defensive rebound by D. Williams,,34-32,,
8:45.0,L. James makes 2-pt shot from 1 ft,2,36-32,,
8:45.0,Shooting foul by J. Green (drawn by L. James),,36-32,,
8:45.0,Official timeout,,36-32,,
8:45.0,L. James misses free throw 1 of 1,,36-32,,
8:45.0,,,36-32,,Defensive rebound by B. Biyombo
8:33.0,,,36-34,2,J. Green makes 2-pt shot from 2 ft
8:18.0,C. Frye makes 3-pt shot from 25 ft (assist by L. James),3,39-34,,
8:03.0,,,39-34,,J. Green misses 3-pt shot from 25 ft
8:01.0,,,39-34,,Offensive rebound by B. Biyombo
8:01.0,,,39-34,,B. Biyombo misses 2-pt shot from 1 ft
7:56.0,Defensive rebound by D. Williams,,39-34,,
7:48.0,D. Williams makes 3-pt shot from 24 ft (assist by C. Frye),3,42-34,,
7:47.0,,,42-34,,Orlando full timeout
7:47.0,,,42-34,,E. Payton enters the game for M. Hezonja
7:47.0,,,42-34,,E. Fournier enters the game for D. Augustin
7:36.0,,,42-34,,C. Watson misses 2-pt shot from 21 ft
7:34.0,Defensive rebound by R. Jefferson,,42-34,,
7:26.0,,,42-34,,Personal foul by C. Watson (drawn by L. James)
7:11.0,C. Frye misses 3-pt shot from 27 ft,,42-34,,
7:09.0,,,42-34,,Defensive rebound by J. Green
7:03.0,,,42-36,2,E. Payton makes 2-pt shot from 8 ft (assist by J. Green)
6:51.0,,,42-36,,Personal foul by B. Biyombo (drawn by D. Williams)
6:51.0,D. Williams misses free throw 1 of 2,,42-36,,
6:51.0,Offensive rebound by Team,,42-36,,
6:51.0,D. Williams makes free throw 2 of 2,1,43-36,,
6:51.0,,,42-36,,A. Gordon enters the game for J. Green
6:38.0,,,43-36,,Shooting foul by D. Williams (drawn by A. Gordon)
6:38.0,,,43-37,1,A. Gordon makes free throw 1 of 2
6:38.0,,,43-38,1,A. Gordon makes free throw 2 of 2
6:38.0,K. Irving enters the game for R. Jefferson,,43-37,,
6:27.0,C. Frye makes 2-pt shot from 15 ft (assist by L. James),2,45-38,,
6:06.0,,,45-38,,Shooting foul by L. James (drawn by B. Biyombo)
6:06.0,,,45-39,1,B. Biyombo makes free throw 1 of 2
6:06.0,,,45-40,1,B. Biyombo makes free throw 2 of 2
6:06.0,I. Shumpert enters the game for D. Williams,,45-39,,
6:06.0,J. Smith enters the game for D. Williams,,45-39,,
6:06.0,T. Thompson enters the game for C. Frye,,45-39,,
5:47.0,K. Irving misses 2-pt shot from 8 ft,,45-40,,
5:46.0,Offensive rebound by T. Thompson,,45-40,,
5:41.0,I. Shumpert misses 3-pt shot from 23 ft,,45-40,,
5:40.0,,,45-40,,Defensive rebound by B. Biyombo
5:35.0,,,45-42,2,B. Biyombo makes 2-pt shot at rim (assist by E. Fournier)
5:34.0,Cleveland full timeout,,45-42,,
5:34.0,R. Jefferson enters the game for L. James,,45-42,,
5:34.0,,,45-42,,N. Vucevic enters the game for B. Biyombo
5:19.0,T. Thompson makes 2-pt shot from 1 ft (assist by K. Irving),2,47-42,,
5:03.0,,,47-42,,E. Payton misses 2-pt shot from 3 ft (block by T. Thompson)
5:00.0,,,47-42,,Offensive rebound by E. Payton
4:58.0,,,47-42,,E. Payton misses 2-pt shot from 1 ft
4:54.0,,,47-42,,Offensive rebound by N. Vucevic
4:50.0,,,47-42,,E. Payton misses 2-pt shot from 3 ft
4:48.0,Defensive rebound by T. Thompson,,47-42,,
4:42.0,Shooting foul by N. Vucevic (drawn by T. Thompson),,47-42,,
4:42.0,T. Thompson makes free throw 1 of 2,1,48-42,,
4:42.0,T. Thompson misses free throw 2 of 2,,48-42,,
4:42.0,,,48-42,,Defensive rebound by T. Ross
4:42.0,,,48-42,,T. Ross enters the game for C. Watson
4:22.0,,,48-42,,E. Payton misses 2-pt shot from 7 ft
4:21.0,,,48-42,,Offensive rebound by Team
3:57.0,,,48-42,,T. Ross misses 2-pt shot from 17 ft
3:56.0,Defensive rebound by T. Thompson,,48-42,,
3:46.0,,,48-42,,Personal foul by T. Ross (drawn by I. Shumpert)
3:46.0,I. Shumpert makes free throw 1 of 2,1,49-42,,
3:46.0,I. Shumpert makes free throw 2 of 2,1,50-42,,
3:28.0,,,50-42,,N. Vucevic misses 2-pt shot from 16 ft
3:26.0,Defensive rebound by Team,,50-42,,
3:14.0,J. Smith misses 3-pt shot from 24 ft,,50-42,,
3:12.0,Offensive rebound by K. Irving,,50-42,,
3:08.0,J. Smith makes 2-pt shot from 2 ft (assist by K. Irving),2,52-42,,
3:07.0,,,52-42,,Orlando full timeout
2:57.0,,,52-42,,T. Ross misses 3-pt shot from 26 ft
2:54.0,,,52-42,,Offensive rebound by A. Gordon
2:54.0,,,52-44,2,A. Gordon makes 2-pt shot at rim
2:36.0,R. Jefferson misses 2-pt shot from 2 ft (block by N. Vucevic),,52-44,,
2:33.0,,,52-44,,Defensive rebound by N. Vucevic
2:30.0,,,52-44,,Shooting foul by I. Shumpert (drawn by E. Fournier)
2:30.0,,,52-45,1,E. Fournier makes free throw 1 of 2
2:30.0,,,52-46,1,E. Fournier makes free throw 2 of 2
2:30.0,L. James enters the game for R. Jefferson,,52-45,,
2:09.0,T. Thompson makes 2-pt shot at rim (assist by I. Shumpert),2,54-46,,
1:57.0,Personal foul by L. James (drawn by E. Fournier),,54-46,,
1:57.0,,,54-47,1,E. Fournier makes free throw 1 of 2
1:57.0,,,54-47,,E. Fournier misses free throw 2 of 2
1:57.0,Defensive rebound by T. Thompson,,54-47,,
1:42.0,K. Irving makes 2-pt shot from 9 ft,2,56-47,,
1:28.0,,,56-47,,N. Vucevic misses 2-pt shot from 19 ft
1:26.0,Defensive rebound by K. Irving,,56-47,,
1:23.0,,,56-47,,Personal foul by T. Ross (drawn by L. James)
1:23.0,L. James makes free throw 1 of 2,1,57-47,,
1:23.0,L. James misses free throw 2 of 2,,57-47,,
1:23.0,,,57-47,,Defensive rebound by E. Payton
1:23.0,,,57-47,,C. Watson enters the game for T. Ross
1:09.0,,,57-47,,E. Fournier misses 3-pt shot from 26 ft
1:07.0,Defensive rebound by T. Thompson,,57-47,,
1:02.0,Turnover by L. James (lost ball),,57-47,,
1:02.0,D. Williams enters the game for L. James,,57-47,,
0:50.0,,,57-49,2,E. Fournier makes 2-pt shot from 22 ft (assist by E. Payton)
0:35.0,Turnover by K. Irving (lost ball; steal by E. Payton),,57-49,,
0:33.0,,,57-51,2,E. Payton makes 2-pt shot at rim
0:23.0,K. Irving makes 2-pt shot from 1 ft,2,59-51,,
0:01.0,,,59-51,,E. Payton misses 2-pt shot from 15 ft
0:00.0,Defensive rebound by K. Irving,,59-51,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:49.0,L. James makes 2-pt shot at rim (assist by T. Thompson),2,61-51,,
11:28.0,,,61-51,,N. Vucevic misses 2-pt shot from 10 ft
11:27.0,,,61-51,,Offensive rebound by A. Gordon
11:27.0,,,61-53,2,A. Gordon makes 2-pt shot at rim
11:07.0,L. James misses 3-pt shot from 24 ft,,61-53,,
11:06.0,,,61-53,,Defensive rebound by T. Ross
10:58.0,,,61-56,3,E. Fournier makes 3-pt shot from 24 ft (assist by E. Payton)
10:35.0,Turnover by K. Irving (lost ball; steal by E. Fournier),,61-56,,
10:32.0,,,61-58,2,A. Gordon makes 2-pt shot at rim (assist by E. Payton)
10:32.0,Cleveland full timeout,,61-58,,
10:21.0,L. James makes 2-pt shot from 1 ft,2,63-58,,
10:00.0,,,63-61,3,E. Fournier makes 3-pt shot from 25 ft (assist by T. Ross)
9:56.0,Turnover by L. James (bad pass; steal by E. Fournier),,63-61,,
9:43.0,,,63-63,2,N. Vucevic makes 2-pt shot from 10 ft (assist by E. Payton)
9:19.0,R. Jefferson makes 3-pt shot from 25 ft (assist by K. Irving),3,66-63,,
9:10.0,,,66-63,,N. Vucevic misses 2-pt shot from 10 ft
9:09.0,Defensive rebound by K. Irving,,66-63,,
8:54.0,K. Irving misses 2-pt shot from 9 ft,,66-63,,
8:53.0,Offensive rebound by K. Irving,,66-63,,
8:53.0,K. Irving misses 2-pt shot from 2 ft,,66-63,,
8:51.0,Offensive rebound by K. Irving,,66-63,,
8:51.0,K. Irving makes 2-pt shot from 2 ft,2,68-63,,
8:42.0,,,68-63,,E. Payton misses 2-pt shot from 9 ft
8:41.0,,,68-63,,Offensive rebound by E. Payton
8:37.0,,,68-65,2,E. Payton makes 2-pt shot at rim
8:24.0,L. James misses 3-pt shot from 26 ft,,68-65,,
8:23.0,,,68-65,,Defensive rebound by E. Payton
8:10.0,Personal foul by K. Irving (drawn by E. Fournier),,68-65,,
8:06.0,,,68-65,,A. Gordon misses 2-pt shot from 2 ft
8:05.0,,,68-65,,Offensive rebound by N. Vucevic
8:05.0,,,68-67,2,N. Vucevic makes 2-pt shot from 2 ft
7:48.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,70-67,,
7:28.0,,,70-67,,N. Vucevic misses 2-pt shot from 4 ft
7:27.0,Defensive rebound by I. Shumpert,,70-67,,
7:20.0,K. Irving misses 3-pt shot from 25 ft,,70-67,,
7:19.0,Offensive rebound by I. Shumpert,,70-67,,
7:13.0,K. Irving makes 3-pt shot from 24 ft (assist by R. Jefferson),3,73-67,,
6:51.0,,,73-69,2,N. Vucevic makes 2-pt shot from 13 ft
6:34.0,T. Thompson makes 2-pt shot at rim (assist by K. Irving),2,75-69,,
6:34.0,,,75-69,,Orlando full timeout
6:20.0,,,75-71,2,N. Vucevic makes 2-pt shot from 5 ft
6:03.0,Shooting foul by E. Fournier (drawn by T. Thompson),,75-71,,
6:03.0,T. Thompson misses free throw 1 of 2,,75-71,,
6:03.0,Offensive rebound by Team,,75-71,,
6:03.0,T. Thompson misses free throw 2 of 2,,75-71,,
6:02.0,,,75-71,,Defensive rebound by N. Vucevic
5:37.0,,,75-71,,A. Gordon misses 3-pt shot from 26 ft
5:34.0,Defensive rebound by T. Thompson,,75-71,,
5:33.0,Turnover by T. Thompson (bad pass; steal by T. Ross),,75-71,,
5:30.0,Shooting block foul by R. Jefferson (drawn by T. Ross),,75-71,,
5:30.0,,,75-72,1,T. Ross makes free throw 1 of 2
5:30.0,,,75-73,1,T. Ross makes free throw 2 of 2
5:30.0,J. Smith enters the game for R. Jefferson,,75-72,,
5:20.0,K. Irving makes 2-pt shot from 1 ft (assist by J. Smith),2,77-73,,
4:59.0,,,77-73,,T. Ross misses 3-pt shot from 24 ft
4:59.0,Defensive rebound by Team,,77-73,,
4:44.0,K. Irving makes 2-pt shot from 21 ft,2,79-73,,
4:29.0,,,79-73,,E. Payton misses 2-pt shot from 15 ft
4:27.0,Defensive rebound by L. James,,79-73,,
4:19.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,82-73,,
4:00.0,,,82-75,2,A. Gordon makes 2-pt shot from 12 ft
3:34.0,T. Thompson misses 2-pt shot from 7 ft,,82-75,,
3:32.0,,,82-75,,Defensive rebound by E. Payton
3:24.0,,,82-75,,A. Gordon misses 2-pt shot from 3 ft (block by T. Thompson)
3:21.0,,,82-75,,Offensive rebound by N. Vucevic
3:19.0,,,82-77,2,N. Vucevic makes 2-pt shot at rim
3:06.0,J. Smith makes 3-pt shot from 25 ft (assist by L. James),3,85-77,,
2:58.0,,,85-77,,Orlando full timeout
2:57.0,,,85-77,,J. Green enters the game for T. Ross
2:57.0,,,85-77,,M. Hezonja enters the game for A. Gordon
2:57.0,D. Williams enters the game for L. James,,85-77,,
2:57.0,D. Williams enters the game for I. Shumpert,,85-77,,
2:48.0,,,85-77,,Offensive foul by N. Vucevic
2:48.0,,,85-77,,Turnover by N. Vucevic (offensive foul)
2:29.0,J. Smith misses 3-pt shot from 24 ft,,85-77,,
2:28.0,,,85-77,,Defensive rebound by N. Vucevic
2:19.0,,,85-77,,Shooting foul by D. Williams (drawn by M. Hezonja)
2:19.0,,,85-78,1,M. Hezonja makes free throw 1 of 2
2:19.0,,,85-79,1,M. Hezonja makes free throw 2 of 2
2:19.0,,,85-78,,B. Biyombo enters the game for N. Vucevic
1:55.0,K. Irving misses 2-pt shot from 7 ft,,85-79,,
1:53.0,,,85-79,,Defensive rebound by E. Payton
1:47.0,,,85-79,,E. Fournier misses 3-pt shot from 27 ft
1:46.0,Defensive rebound by J. Smith,,85-79,,
1:35.0,D. Williams misses 3-pt shot from 25 ft,,85-79,,
1:34.0,,,85-79,,Defensive rebound by B. Biyombo
1:25.0,,,85-79,,E. Payton misses 2-pt shot from 15 ft
1:24.0,Defensive rebound by T. Thompson,,85-79,,
1:07.0,D. Williams misses 2-pt shot from 3 ft,,85-79,,
1:06.0,Offensive rebound by T. Thompson,,85-79,,
1:06.0,T. Thompson misses 2-pt shot at rim,,85-79,,
1:05.0,Offensive rebound by Team,,85-79,,
1:05.0,C. Frye enters the game for T. Thompson,,85-79,,
1:05.0,,,85-79,,D. Augustin enters the game for E. Payton
1:05.0,,,85-79,,C. Watson enters the game for E. Fournier
0:52.0,Shooting foul by B. Biyombo (drawn by K. Irving),,85-79,,
0:52.0,K. Irving makes free throw 1 of 2,1,86-79,,
0:52.0,K. Irving makes free throw 2 of 2,1,87-79,,
0:41.0,,,87-79,,M. Hezonja misses 2-pt shot from 19 ft
0:39.0,Defensive rebound by D. Williams,,87-79,,
0:33.0,K. Irving misses 3-pt shot from 28 ft,,87-79,,
0:30.0,,,87-79,,Defensive rebound by J. Green
0:09.0,,,87-79,,Turnover by J. Green (lost ball; steal by K. Irving)
0:05.0,K. Irving misses 2-pt shot from 3 ft,,87-79,,
0:01.0,,,87-79,,Defensive rebound by D. Augustin
0:00.0,,,87-79,,D. Augustin misses 3-pt shot from 40 ft
0:00.0,,,87-79,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:36.0,,,87-79,,D. Augustin misses 3-pt shot from 26 ft
11:35.0,Defensive rebound by L. James,,87-79,,
11:23.0,J. Smith misses 3-pt shot from 23 ft,,87-79,,
11:22.0,,,87-79,,Defensive rebound by B. Biyombo
11:10.0,,,87-79,,J. Green misses 2-pt shot from 8 ft (block by C. Frye)
11:10.0,Defensive rebound by L. James,,87-79,,
10:58.0,C. Frye makes 2-pt shot from 1 ft (assist by L. James),2,89-79,,
10:35.0,,,89-82,3,M. Hezonja makes 3-pt shot from 25 ft
10:21.0,,,89-82,,Personal foul by D. Augustin (drawn by D. Williams)
10:16.0,C. Frye misses 3-pt shot from 25 ft,,89-82,,
10:15.0,,,89-82,,Defensive rebound by C. Watson
10:12.0,,,89-82,,Shooting foul by L. James (drawn by C. Watson)
10:12.0,,,89-83,1,C. Watson makes free throw 1 of 2
10:12.0,,,89-84,1,C. Watson makes free throw 2 of 2
9:55.0,J. Smith makes 3-pt shot from 25 ft (assist by D. Williams),3,92-84,,
9:35.0,,,92-84,,M. Hezonja misses 3-pt shot from 26 ft
9:34.0,Defensive rebound by C. Frye,,92-84,,
9:19.0,D. Williams misses 3-pt shot from 23 ft,,92-84,,
9:17.0,,,92-84,,Defensive rebound by J. Green
9:12.0,,,92-86,2,J. Green makes 2-pt shot at rim
9:12.0,,,92-86,,Shooting foul by D. Williams (drawn by J. Green)
9:12.0,,,92-87,1,J. Green makes free throw 1 of 1
9:12.0,R. Jefferson enters the game for J. Smith,,92-86,,
9:12.0,,,92-86,,T. Ross enters the game for M. Hezonja
8:56.0,L. James makes 3-pt shot from 25 ft,3,95-87,,
8:31.0,,,95-89,2,C. Watson makes 2-pt shot from 20 ft (assist by D. Augustin)
8:10.0,L. James misses 3-pt shot from 25 ft,,95-89,,
8:08.0,,,95-89,,Defensive rebound by B. Biyombo
8:02.0,,,95-89,,T. Ross misses 3-pt shot from 24 ft
8:01.0,Defensive rebound by D. Williams,,95-89,,
7:45.0,Offensive foul by R. Jefferson,,95-89,,
7:45.0,Turnover by R. Jefferson (offensive foul),,95-89,,
7:45.0,Official timeout,,95-89,,
7:45.0,I. Shumpert enters the game for D. Williams,,95-89,,
7:35.0,,,95-92,3,C. Watson makes 3-pt shot from 26 ft (assist by J. Green)
7:13.0,D. Williams makes 2-pt shot from 8 ft,2,97-92,,
7:01.0,,,97-92,,Turnover by T. Ross (bad pass)
7:01.0,K. Irving enters the game for R. Jefferson,,97-92,,
7:01.0,,,97-92,,E. Payton enters the game for D. Augustin
6:43.0,D. Williams makes 3-pt shot from 25 ft (assist by L. James),3,100-92,,
6:23.0,,,100-92,,T. Ross misses 2-pt shot from 14 ft (block by D. Williams)
6:23.0,Jump ball: T. Ross vs. D. Williams (C. Watson gains possession),,,,Jump ball: T. Ross vs. D. Williams (C. Watson gains possession)
6:23.0,,,100-92,,Offensive rebound by Team
6:17.0,,,100-92,,Shooting foul by I. Shumpert (drawn by C. Watson)
6:17.0,,,100-93,1,C. Watson makes free throw 1 of 2
6:17.0,,,100-94,1,C. Watson makes free throw 2 of 2
6:17.0,,,100-93,,N. Vucevic enters the game for B. Biyombo
6:17.0,,,100-93,,A. Gordon enters the game for J. Green
5:59.0,D. Williams misses 3-pt shot from 25 ft,,100-94,,
5:58.0,Offensive rebound by C. Frye,,100-94,,
5:44.0,L. James makes 2-pt shot from 6 ft,2,102-94,,
5:44.0,Shooting foul by N. Vucevic (drawn by L. James),,102-94,,
5:44.0,,,102-94,,Orlando full timeout
5:44.0,L. James makes free throw 1 of 1,1,103-94,,
5:44.0,,,102-94,,E. Fournier enters the game for C. Watson
5:35.0,,,103-94,,N. Vucevic misses 2-pt shot from 8 ft
5:33.0,Defensive rebound by L. James,,103-94,,
5:28.0,L. James misses 2-pt shot from 1 ft,,103-94,,
5:26.0,,,103-94,,Defensive rebound by N. Vucevic
5:14.0,,,103-94,,Shooting foul by I. Shumpert (drawn by N. Vucevic)
5:14.0,,,103-95,1,N. Vucevic makes free throw 1 of 2
5:14.0,,,103-95,,N. Vucevic misses free throw 2 of 2
5:13.0,Defensive rebound by L. James,,103-95,,
4:56.0,D. Williams makes 2-pt shot from 19 ft,2,105-95,,
4:40.0,,,105-97,2,N. Vucevic makes 2-pt shot from 2 ft
4:25.0,Shooting foul by N. Vucevic (drawn by L. James),,105-97,,
4:25.0,L. James makes free throw 1 of 2,1,106-97,,
