time,Toronto,pts.away,score,pts.home,Philadelphia
1:00.0,,,54-52,2,R. Covington makes 2-pt shot from 1 ft
0:56.0,D. DeRozan makes 2-pt shot at rim,2,56-52,,
0:51.0,Personal foul by N. Powell (drawn by G. Henderson),,56-52,,
0:51.0,,,56-53,1,G. Henderson makes free throw 1 of 2
0:51.0,,,56-54,1,G. Henderson makes free throw 2 of 2
0:34.0,C. Joseph misses 2-pt shot from 20 ft,,56-54,,
0:32.0,Offensive rebound by P. Patterson,,56-54,,
0:32.0,P. Patterson misses 2-pt shot at rim,,56-54,,
0:30.0,Offensive rebound by D. Carroll,,56-54,,
0:29.0,P. Patterson makes 2-pt shot at rim (assist by D. Carroll),2,58-54,,
0:08.0,,,58-54,,E. Ilyasova misses 3-pt shot from 26 ft
0:05.0,Defensive rebound by C. Joseph,,58-54,,
0:03.0,D. Carroll makes 2-pt shot at rim (assist by C. Joseph),2,60-54,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,Shooting foul by R. Covington (drawn by D. DeRozan),,60-54,,
11:44.0,D. DeRozan makes free throw 1 of 2,1,61-54,,
11:44.0,D. DeRozan makes free throw 2 of 2,1,62-54,,
11:32.0,Personal foul by P. Patterson (drawn by J. Embiid),,62-54,,
11:22.0,,,62-56,2,J. Okafor makes 2-pt shot at rim (assist by J. Embiid)
11:03.0,D. DeRozan makes 2-pt shot from 6 ft,2,64-56,,
10:35.0,,,64-58,2,G. Henderson makes 2-pt shot from 18 ft (assist by R. Covington)
10:15.0,,,64-58,,Personal foul by R. Covington (drawn by P. Patterson)
10:10.0,J. Valanciunas misses 2-pt shot from 5 ft,,64-58,,
10:08.0,,,64-58,,Defensive rebound by J. Embiid
9:48.0,,,64-58,,R. Covington misses 3-pt shot from 27 ft
9:47.0,,,64-58,,Offensive rebound by R. Covington
9:40.0,,,64-58,,S. Rodriguez misses 3-pt shot from 25 ft
9:38.0,Defensive rebound by J. Valanciunas,,64-58,,
9:30.0,D. Carroll makes 3-pt shot from 23 ft (assist by K. Lowry),3,67-58,,
9:08.0,,,67-58,,J. Embiid misses 3-pt shot from 26 ft
9:06.0,Defensive rebound by J. Valanciunas,,67-58,,
8:57.0,J. Valanciunas misses 2-pt shot from 2 ft (block by J. Okafor),,67-58,,
8:55.0,Jump ball: J. Okafor vs. J. Valanciunas (D. DeRozan gains possession),,,,Jump ball: J. Okafor vs. J. Valanciunas (D. DeRozan gains possession)
8:55.0,Offensive rebound by Team,,67-58,,
8:42.0,D. DeRozan makes 2-pt shot from 18 ft,2,69-58,,
8:41.0,,,69-58,,Philadelphia full timeout
8:27.0,,,69-61,3,S. Rodriguez makes 3-pt shot from 23 ft (assist by R. Covington)
8:04.0,D. Carroll misses 2-pt shot from 15 ft,,69-61,,
8:02.0,Offensive rebound by P. Patterson,,69-61,,
7:57.0,D. Carroll misses 3-pt shot from 26 ft,,69-61,,
7:55.0,,,69-61,,Defensive rebound by S. Rodriguez
7:49.0,,,69-61,,Turnover by R. Covington (bad pass; steal by D. Carroll)
7:36.0,D. DeRozan misses 2-pt shot from 6 ft,,69-61,,
7:35.0,Offensive rebound by J. Valanciunas,,69-61,,
7:32.0,P. Patterson makes 3-pt shot from 26 ft (assist by J. Valanciunas),3,72-61,,
7:10.0,,,72-61,,J. Embiid misses 3-pt shot from 26 ft
7:08.0,Defensive rebound by P. Patterson,,72-61,,
6:58.0,Turnover by D. DeRozan (lost ball; steal by G. Henderson),,72-61,,
6:52.0,,,72-61,,Offensive charge foul by R. Covington
6:52.0,,,72-61,,Turnover by R. Covington (offensive foul)
6:52.0,,,72-61,,E. Ilyasova enters the game for J. Okafor
6:52.0,,,72-61,,D. Saric enters the game for R. Covington
6:36.0,D. Carroll makes 3-pt shot from 25 ft (assist by D. DeRozan),3,75-61,,
6:16.0,,,75-63,2,G. Henderson makes 2-pt shot from 13 ft (assist by J. Embiid)
5:55.0,D. DeRozan makes 2-pt shot from 15 ft,2,77-63,,
5:55.0,Shooting foul by D. Saric (drawn by D. DeRozan),,77-63,,
5:55.0,D. DeRozan misses free throw 1 of 1,,77-63,,
5:55.0,,,77-63,,T. McConnell enters the game for S. Rodriguez
5:55.0,,,77-63,,H. Thompson enters the game for D. Saric
5:54.0,,,77-63,,Defensive rebound by E. Ilyasova
5:43.0,,,77-63,,G. Henderson misses 3-pt shot from 25 ft
5:41.0,Defensive rebound by Team,,77-63,,
5:21.0,P. Patterson misses 3-pt shot from 25 ft,,77-63,,
5:20.0,Offensive rebound by D. Carroll,,77-63,,
5:16.0,K. Lowry misses 3-pt shot from 27 ft,,77-63,,
5:14.0,,,77-63,,Defensive rebound by E. Ilyasova
5:04.0,,,77-63,,E. Ilyasova misses 3-pt shot from 26 ft
5:02.0,Defensive rebound by D. Carroll,,77-63,,
4:45.0,Shooting foul by G. Henderson (drawn by J. Valanciunas),,77-63,,
4:45.0,J. Valanciunas makes free throw 1 of 2,1,78-63,,
4:45.0,J. Valanciunas makes free throw 2 of 2,1,79-63,,
4:45.0,,,78-63,,N. Stauskas enters the game for G. Henderson
4:45.0,T. Ross enters the game for D. Carroll,,78-63,,
4:25.0,,,79-66,3,H. Thompson makes 3-pt shot from 25 ft (assist by J. Embiid)
4:12.0,Shooting foul by J. Embiid (drawn by D. DeRozan),,79-66,,
4:12.0,D. DeRozan makes free throw 1 of 2,1,80-66,,
4:12.0,D. DeRozan makes free throw 2 of 2,1,81-66,,
4:12.0,,,80-66,,R. Holmes enters the game for J. Embiid
4:12.0,C. Joseph enters the game for K. Lowry,,80-66,,
3:59.0,,,81-68,2,T. McConnell makes 2-pt shot from 14 ft
3:43.0,Turnover by C. Joseph (bad pass; steal by R. Holmes),,81-68,,
3:39.0,,,81-70,2,R. Holmes makes 2-pt shot from 1 ft (assist by T. McConnell)
3:37.0,Toronto full timeout,,81-70,,
3:37.0,N. Powell enters the game for J. Valanciunas,,81-70,,
3:21.0,T. Ross misses 3-pt shot from 26 ft,,81-70,,
3:19.0,,,81-70,,Defensive rebound by H. Thompson
3:15.0,Personal foul by C. Joseph (drawn by E. Ilyasova),,81-70,,
3:04.0,,,81-70,,H. Thompson misses 2-pt shot from 23 ft
3:02.0,Defensive rebound by T. Ross,,81-70,,
2:39.0,N. Powell misses 3-pt shot from 23 ft,,81-70,,
2:37.0,,,81-70,,Defensive rebound by H. Thompson
2:27.0,,,81-70,,E. Ilyasova misses 2-pt shot from 7 ft
2:25.0,Defensive rebound by D. DeRozan,,81-70,,
2:14.0,T. Ross makes 2-pt shot from 18 ft,2,83-70,,
1:58.0,Personal foul by N. Powell (drawn by E. Ilyasova),,83-70,,
1:46.0,,,83-70,,H. Thompson misses 3-pt shot from 25 ft
1:44.0,Defensive rebound by P. Patterson,,83-70,,
1:33.0,T. Ross misses 3-pt shot from 26 ft,,83-70,,
1:31.0,,,83-70,,Defensive rebound by E. Ilyasova
1:22.0,,,83-70,,E. Ilyasova misses 2-pt shot from 18 ft
1:21.0,Defensive rebound by C. Joseph,,83-70,,
1:16.0,N. Powell makes 2-pt shot from 3 ft (assist by C. Joseph),2,85-70,,
1:16.0,Shooting foul by R. Holmes (drawn by N. Powell),,85-70,,
1:16.0,N. Powell misses free throw 1 of 1,,85-70,,
1:16.0,,,85-70,,R. Covington enters the game for H. Thompson
1:15.0,,,85-70,,Defensive rebound by R. Covington
1:05.0,,,85-72,2,R. Covington makes 2-pt shot from 3 ft (assist by T. McConnell)
0:55.0,D. DeRozan makes 2-pt shot from 9 ft,2,87-72,,
0:39.0,,,87-74,2,E. Ilyasova makes 2-pt shot from 15 ft (assist by T. McConnell)
0:29.0,P. Patterson makes 3-pt shot from 25 ft (assist by C. Joseph),3,90-74,,
0:07.0,,,90-74,,Turnover by T. McConnell (bad pass; steal by N. Powell)
0:03.0,D. DeRozan makes 2-pt shot at rim (assist by C. Joseph),2,92-74,,
0:01.0,,,92-74,,N. Stauskas misses 3-pt shot from 40 ft
0:00.0,,,92-74,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:52.0,,,92-74,,Offensive foul by J. Embiid
11:52.0,,,92-74,,Turnover by J. Embiid (offensive foul)
11:40.0,C. Joseph misses 3-pt shot from 26 ft,,92-74,,
11:38.0,,,92-74,,Defensive rebound by J. Embiid
11:34.0,,,92-74,,Shooting foul by P. Siakam (drawn by T. McConnell)
11:34.0,,,92-75,1,T. McConnell makes free throw 1 of 2
11:34.0,,,92-75,,T. McConnell misses free throw 2 of 2
11:33.0,Defensive rebound by P. Siakam,,92-75,,
11:12.0,T. Ross misses 3-pt shot from 25 ft,,92-75,,
11:11.0,Offensive rebound by P. Siakam,,92-75,,
11:03.0,J. Valanciunas makes 2-pt shot from 7 ft (assist by K. Lowry),2,94-75,,
10:51.0,,,94-78,3,R. Covington makes 3-pt shot from 26 ft (assist by T. McConnell)
10:28.0,P. Siakam misses 2-pt shot from 16 ft,,94-78,,
10:28.0,Offensive rebound by Team,,94-78,,
10:28.0,,,94-78,,Loose ball foul by J. Embiid (drawn by J. Valanciunas)
10:28.0,,,94-78,,S. Rodriguez enters the game for T. McConnell
10:22.0,J. Valanciunas makes 2-pt shot from 10 ft (assist by C. Joseph),2,96-78,,
10:07.0,,,96-78,,Shooting foul by T. Ross (drawn by N. Stauskas)
10:07.0,,,96-79,1,N. Stauskas makes free throw 1 of 2
10:07.0,,,96-80,1,N. Stauskas makes free throw 2 of 2
10:07.0,N. Powell enters the game for T. Ross,,96-79,,
9:53.0,P. Siakam misses 2-pt shot from 2 ft,,96-80,,
9:51.0,Offensive rebound by Team,,96-80,,
9:33.0,P. Siakam misses 2-pt shot from 3 ft (block by J. Embiid),,96-80,,
9:32.0,Offensive rebound by P. Siakam,,96-80,,
9:28.0,K. Lowry makes 3-pt shot from 26 ft (assist by P. Siakam),3,99-80,,
9:27.0,,,99-80,,Philadelphia full timeout
9:11.0,Personal foul by P. Siakam (drawn by N. Stauskas),,99-80,,
9:02.0,,,99-82,2,S. Rodriguez makes 2-pt shot from 6 ft
8:45.0,C. Joseph misses 2-pt shot from 15 ft,,99-82,,
8:44.0,,,99-82,,Defensive rebound by J. Embiid
8:34.0,,,99-82,,Shooting foul by J. Valanciunas (drawn by J. Okafor)
8:34.0,,,99-83,1,J. Okafor makes free throw 1 of 2
8:34.0,,,99-84,1,J. Okafor makes free throw 2 of 2
8:34.0,Turnover by J. Valanciunas (bad pass),,99-84,,
8:33.0,,,99-84,,Shooting foul by N. Powell (drawn by R. Covington)
8:33.0,,,99-85,1,R. Covington makes free throw 1 of 2
8:33.0,,,99-86,1,R. Covington makes free throw 2 of 2
8:18.0,N. Powell makes 2-pt shot from 18 ft (assist by K. Lowry),2,101-86,,
8:05.0,,,101-86,,Turnover by J. Embiid (bad pass; steal by N. Powell)
8:03.0,Shooting foul by N. Stauskas (drawn by N. Powell),,101-86,,
8:03.0,N. Powell makes free throw 1 of 2,1,102-86,,
8:03.0,N. Powell makes free throw 2 of 2,1,103-86,,
8:03.0,,,102-86,,G. Henderson enters the game for N. Stauskas
7:47.0,,,103-88,2,J. Okafor makes 2-pt shot from 11 ft
7:23.0,P. Siakam misses 2-pt shot from 3 ft,,103-88,,
7:21.0,Offensive rebound by J. Valanciunas,,103-88,,
7:20.0,J. Valanciunas makes 2-pt shot from 7 ft,2,105-88,,
6:59.0,,,105-88,,Turnover by G. Henderson (lost ball; steal by P. Siakam)
6:55.0,P. Siakam makes 2-pt shot from 1 ft (assist by K. Lowry),2,107-88,,
6:37.0,,,107-90,2,J. Embiid makes 2-pt shot from 14 ft (assist by S. Rodriguez)
6:28.0,,,107-90,,E. Ilyasova enters the game for J. Embiid
6:19.0,P. Siakam makes 2-pt shot from 12 ft,2,109-90,,
5:59.0,,,109-90,,R. Covington misses 3-pt shot from 26 ft
5:57.0,,,109-90,,Offensive rebound by R. Covington
5:55.0,,,109-90,,R. Covington misses 2-pt shot from 9 ft
5:53.0,Defensive rebound by J. Valanciunas,,109-90,,
5:42.0,J. Valanciunas misses 2-pt shot from 20 ft,,109-90,,
5:40.0,,,109-90,,Defensive rebound by R. Covington
5:30.0,,,109-92,2,G. Henderson makes 2-pt shot from 13 ft
5:15.0,Shooting foul by S. Rodriguez (drawn by C. Joseph),,109-92,,
5:15.0,Official timeout,,109-92,,
5:15.0,C. Joseph misses free throw 1 of 2,,109-92,,
