time,Indiana,pts.away,score,pts.home,Portland
5:32.0,M. Turner makes free throw 2 of 2,1,13-15,,
5:32.0,L. Allen enters the game for T. Young,,12-15,,
5:32.0,R. Stuckey enters the game for G. Robinson,,12-15,,
5:32.0,,,12-15,,M. Leonard enters the game for M. Plumlee
5:18.0,,,13-17,2,D. Lillard makes 2-pt shot from 2 ft
5:09.0,Turnover by M. Turner (bad pass),,13-17,,
5:09.0,,,13-17,,E. Turner enters the game for C. McCollum
5:09.0,,,13-17,,A. Crabbe enters the game for M. Harkless
5:09.0,,,13-17,,E. Davis misses 2-pt shot from 1 ft (block by J. Teague)
5:09.0,,,13-17,,Offensive rebound by M. Leonard
4:49.0,,,13-17,,M. Leonard misses 2-pt shot from 3 ft (block by L. Allen)
4:48.0,Defensive rebound by J. Teague,,13-17,,
4:33.0,M. Turner misses 2-pt shot from 5 ft (block by E. Davis),,13-17,,
4:32.0,,,13-17,,Defensive rebound by E. Davis
4:19.0,,,13-19,2,E. Turner makes 2-pt shot from 4 ft
4:10.0,R. Stuckey misses 2-pt shot from 18 ft,,13-19,,
4:09.0,,,13-19,,Defensive rebound by A. Crabbe
3:58.0,,,13-22,3,M. Leonard makes 3-pt shot from 24 ft (assist by D. Lillard)
3:51.0,Indiana full timeout,,13-22,,
3:51.0,A. Jefferson enters the game for M. Turner,,13-22,,
3:33.0,R. Stuckey misses 3-pt shot from 25 ft,,13-22,,
3:32.0,,,13-22,,Defensive rebound by D. Lillard
3:18.0,,,13-22,,Turnover by D. Lillard (bad pass; steal by R. Stuckey)
3:16.0,Shooting foul by M. Leonard (drawn by R. Stuckey),,13-22,,
3:16.0,R. Stuckey makes free throw 1 of 2,1,14-22,,
3:16.0,R. Stuckey makes free throw 2 of 2,1,15-22,,
3:04.0,,,15-25,3,A. Crabbe makes 3-pt shot from 25 ft (assist by D. Lillard)
2:53.0,Turnover by M. Ellis (bad pass; steal by D. Lillard),,15-25,,
2:48.0,,,15-25,,Turnover by E. Davis (bad pass)
2:48.0,,,15-25,,M. Plumlee enters the game for E. Davis
2:27.0,J. Teague misses 2-pt shot from 8 ft,,15-25,,
2:26.0,,,15-25,,Defensive rebound by M. Plumlee
2:18.0,,,15-27,2,M. Plumlee makes 2-pt shot at rim (assist by D. Lillard)
2:03.0,J. Teague makes 2-pt shot from 9 ft,2,17-27,,
1:38.0,,,17-29,2,E. Turner makes 2-pt shot from 9 ft
1:22.0,R. Stuckey makes 2-pt shot from 6 ft (assist by M. Ellis),2,19-29,,
1:08.0,,,19-29,,Offensive foul by M. Plumlee
1:08.0,,,19-29,,Turnover by M. Plumlee (offensive foul)
1:08.0,,,19-29,,C. McCollum enters the game for D. Lillard
1:08.0,G. Robinson enters the game for M. Ellis,,19-29,,
1:08.0,A. Brooks enters the game for J. Teague,,19-29,,
1:00.0,Shooting foul by C. McCollum (drawn by R. Stuckey),,19-29,,
1:00.0,R. Stuckey makes free throw 1 of 2,1,20-29,,
1:00.0,R. Stuckey makes free throw 2 of 2,1,21-29,,
0:44.0,,,21-31,2,E. Turner makes 2-pt shot from 19 ft
0:32.0,A. Brooks misses 2-pt shot from 14 ft,,21-31,,
0:30.0,Offensive rebound by L. Allen,,21-31,,
0:30.0,Shooting foul by M. Leonard (drawn by L. Allen),,21-31,,
0:30.0,L. Allen makes free throw 1 of 2,1,22-31,,
0:30.0,L. Allen makes free throw 2 of 2,1,23-31,,
0:11.0,,,23-31,,C. McCollum misses 2-pt shot from 20 ft
0:10.0,Defensive rebound by L. Allen,,23-31,,
0:00.0,R. Stuckey misses 2-pt shot from 20 ft,,23-31,,
0:00.0,,,23-31,,Defensive rebound by C. McCollum
0:00.0,End of 1st quarter,,,,End of 1st quarter
12:00.0,Start of 2nd quarter,,,,Start of 2nd quarter
11:50.0,,,23-33,2,M. Plumlee makes 2-pt shot at rim (assist by E. Turner)
11:32.0,A. Jefferson misses 2-pt shot from 7 ft,,23-33,,
11:31.0,,,23-33,,Defensive rebound by C. McCollum
11:24.0,,,23-33,,Shooting foul by G. Robinson (drawn by E. Turner)
11:24.0,,,23-34,1,E. Turner makes free throw 1 of 2
11:24.0,,,23-35,1,E. Turner makes free throw 2 of 2
11:09.0,G. Robinson makes 3-pt shot from 25 ft (assist by A. Jefferson),3,26-35,,
11:09.0,Shooting foul by A. Crabbe (drawn by G. Robinson),,26-35,,
11:09.0,G. Robinson makes free throw 1 of 1,1,27-35,,
10:48.0,,,27-37,2,M. Plumlee makes 2-pt shot at rim (assist by E. Turner)
10:21.0,G. Robinson misses 3-pt shot from 24 ft,,27-37,,
10:20.0,,,27-37,,Defensive rebound by E. Turner
10:11.0,,,27-39,2,M. Plumlee makes 2-pt shot at rim (assist by C. McCollum)
9:56.0,A. Jefferson makes 2-pt shot from 8 ft (assist by R. Stuckey),2,29-39,,
9:41.0,,,29-41,2,C. McCollum makes 2-pt shot from 20 ft (assist by M. Plumlee)
9:24.0,A. Jefferson misses 2-pt shot from 8 ft,,29-41,,
9:23.0,,,29-41,,Defensive rebound by E. Turner
9:17.0,,,29-43,2,A. Crabbe makes 2-pt shot from 2 ft (assist by E. Turner)
8:57.0,R. Stuckey misses 2-pt shot from 19 ft,,29-43,,
8:56.0,,,29-43,,Defensive rebound by M. Plumlee
8:50.0,,,29-46,3,E. Turner makes 3-pt shot from 23 ft (assist by M. Plumlee)
8:41.0,Indiana full timeout,,29-46,,
8:41.0,T. Young enters the game for L. Allen,,29-46,,
8:41.0,M. Turner enters the game for R. Stuckey,,29-46,,
8:41.0,M. Ellis enters the game for A. Jefferson,,29-46,,
8:41.0,,,29-46,,M. Harkless enters the game for M. Plumlee
8:30.0,A. Brooks misses 3-pt shot from 24 ft,,29-46,,
8:30.0,,,29-46,,Defensive rebound by Team
8:16.0,Personal foul by M. Turner (drawn by M. Leonard),,29-46,,
8:10.0,,,29-46,,C. McCollum misses 2-pt shot from 20 ft
8:09.0,Defensive rebound by A. Brooks,,29-46,,
7:57.0,T. Young makes 2-pt shot at rim (assist by G. Robinson),2,31-46,,
7:44.0,,,31-46,,A. Crabbe misses 3-pt shot from 25 ft
7:43.0,Defensive rebound by Team,,31-46,,
7:32.0,M. Ellis misses 2-pt shot from 20 ft,,31-46,,
7:31.0,,,31-46,,Defensive rebound by M. Leonard
7:19.0,,,31-46,,E. Turner misses 2-pt shot from 11 ft
7:18.0,Defensive rebound by T. Young,,31-46,,
7:09.0,Turnover by M. Ellis (bad pass; steal by E. Turner),,31-46,,
7:00.0,,,31-46,,C. McCollum misses 2-pt shot from 3 ft
7:00.0,Defensive rebound by G. Robinson,,31-46,,
6:51.0,A. Brooks makes 3-pt shot from 27 ft (assist by M. Ellis),3,34-46,,
6:51.0,Shooting foul by E. Turner (drawn by A. Brooks),,34-46,,
6:51.0,A. Brooks makes free throw 1 of 1,1,35-46,,
6:51.0,,,34-46,,D. Lillard enters the game for C. McCollum
6:51.0,,,34-46,,E. Davis enters the game for M. Leonard
6:30.0,Personal foul by M. Ellis (drawn by A. Crabbe),,35-46,,
6:30.0,J. Teague enters the game for A. Brooks,,35-46,,
6:21.0,,,35-49,3,A. Crabbe makes 3-pt shot from 24 ft (assist by D. Lillard)
6:04.0,M. Turner makes 2-pt shot from 1 ft (assist by J. Teague),2,37-49,,
5:53.0,,,37-51,2,D. Lillard makes 2-pt shot from 18 ft
5:40.0,M. Ellis misses 2-pt shot from 8 ft,,37-51,,
5:38.0,Offensive rebound by M. Turner,,37-51,,
5:31.0,J. Teague makes 3-pt shot from 24 ft (assist by T. Young),3,40-51,,
5:08.0,,,40-54,3,M. Harkless makes 3-pt shot from 25 ft (assist by E. Davis)
4:58.0,T. Young makes 2-pt shot from 2 ft (assist by J. Teague),2,42-54,,
4:40.0,,,42-56,2,A. Crabbe makes 2-pt shot from 23 ft (assist by D. Lillard)
4:27.0,Shooting foul by A. Crabbe (drawn by J. Teague),,42-56,,
4:27.0,Official timeout,,42-56,,
4:27.0,J. Teague makes free throw 1 of 2,1,43-56,,
4:27.0,J. Teague makes free throw 2 of 2,1,44-56,,
4:06.0,,,44-58,2,M. Harkless makes 2-pt shot from 1 ft (assist by D. Lillard)
3:50.0,T. Young misses 2-pt shot from 8 ft,,44-58,,
3:47.0,,,44-58,,Defensive rebound by E. Turner
3:38.0,,,44-58,,Turnover by E. Davis (bad pass; steal by T. Young)
3:30.0,Shooting foul by E. Davis (drawn by M. Turner),,44-58,,
3:30.0,M. Turner makes free throw 1 of 2,1,45-58,,
3:30.0,M. Turner makes free throw 2 of 2,1,46-58,,
3:30.0,,,45-58,,M. Plumlee enters the game for E. Turner
3:30.0,,,45-58,,C. McCollum enters the game for A. Crabbe
3:11.0,,,46-61,3,M. Harkless makes 3-pt shot from 23 ft (assist by D. Lillard)
2:56.0,Shooting foul by D. Lillard (drawn by J. Teague),,46-61,,
2:56.0,,,46-61,,Portland full timeout
2:56.0,J. Teague misses free throw 1 of 2,,46-61,,
2:56.0,Offensive rebound by Team,,46-61,,
2:56.0,J. Teague makes free throw 2 of 2,1,47-61,,
2:42.0,,,47-64,3,D. Lillard makes 3-pt shot from 22 ft (assist by C. McCollum)
2:36.0,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague),2,49-64,,
2:36.0,Shooting foul by M. Plumlee (drawn by M. Turner),,49-64,,
2:36.0,M. Turner makes free throw 1 of 1,1,50-64,,
2:13.0,,,50-64,,D. Lillard misses 3-pt shot from 33 ft
2:12.0,Defensive rebound by G. Robinson,,50-64,,
1:56.0,J. Teague makes 2-pt shot from 15 ft,2,52-64,,
1:38.0,,,52-66,2,D. Lillard makes 2-pt shot from 1 ft (assist by M. Plumlee)
1:30.0,M. Ellis misses 3-pt shot from 25 ft,,52-66,,
1:29.0,,,52-66,,Defensive rebound by E. Davis
1:20.0,,,52-66,,Shooting foul by T. Young (drawn by D. Lillard)
1:20.0,,,52-67,1,D. Lillard makes free throw 1 of 2
1:20.0,,,52-67,,D. Lillard misses free throw 2 of 2
1:19.0,Defensive rebound by M. Turner,,52-67,,
1:06.0,Shooting foul by M. Plumlee (drawn by M. Ellis),,52-67,,
1:06.0,M. Ellis makes free throw 1 of 2,1,53-67,,
1:06.0,M. Ellis makes free throw 2 of 2,1,54-67,,
1:06.0,,,53-67,,E. Turner enters the game for M. Plumlee
0:52.0,,,54-67,,Shooting foul by J. Teague (drawn by D. Lillard)
0:52.0,,,54-68,1,D. Lillard makes free throw 1 of 3
0:52.0,,,54-69,1,D. Lillard makes free throw 2 of 3
0:52.0,,,54-69,,D. Lillard misses free throw 3 of 3
0:51.0,Defensive rebound by T. Young,,54-69,,
0:43.0,Shooting foul by E. Davis (drawn by J. Teague),,54-69,,
0:43.0,J. Teague makes free throw 1 of 2,1,55-69,,
0:43.0,J. Teague makes free throw 2 of 2,1,56-69,,
0:35.0,,,56-71,2,D. Lillard makes 2-pt shot from 19 ft
0:15.0,J. Teague makes 2-pt shot from 2 ft,2,58-71,,
0:01.0,,,58-73,2,D. Lillard makes 2-pt shot from 15 ft
0:00.0,Turnover by T. Young (bad pass; steal by M. Harkless),,58-73,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:42.0,,,58-76,3,C. McCollum makes 3-pt shot from 24 ft (assist by D. Lillard)
11:20.0,Turnover by T. Young (bad pass; steal by C. McCollum),,58-76,,
11:16.0,,,58-78,2,C. McCollum makes 2-pt shot at rim
10:57.0,Turnover by T. Young (lost ball; steal by C. McCollum),,58-78,,
10:50.0,,,58-78,,D. Lillard misses 3-pt shot from 26 ft
10:50.0,Defensive rebound by G. Robinson,,58-78,,
10:29.0,J. Teague makes 2-pt shot from 20 ft,2,60-78,,
10:09.0,,,60-80,2,M. Plumlee makes 2-pt shot from 2 ft (assist by C. McCollum)
9:55.0,M. Ellis makes 2-pt shot from 16 ft (assist by J. Teague),2,62-80,,
9:41.0,,,62-82,2,C. McCollum makes 2-pt shot from 3 ft
9:30.0,M. Turner makes 2-pt shot from 3 ft (assist by J. Teague),2,64-82,,
9:16.0,,,64-82,,M. Plumlee misses 2-pt shot from 2 ft
9:14.0,,,64-82,,Offensive rebound by E. Davis
9:07.0,,,64-82,,C. McCollum misses 3-pt shot from 25 ft
9:05.0,,,64-82,,Offensive rebound by M. Plumlee
9:01.0,,,64-82,,C. McCollum misses 2-pt shot from 22 ft
9:01.0,Defensive rebound by T. Young,,64-82,,
8:54.0,M. Turner misses 2-pt shot from 1 ft,,64-82,,
8:54.0,Offensive rebound by M. Turner,,64-82,,
8:54.0,M. Turner misses 2-pt shot from 1 ft,,64-82,,
8:54.0,Offensive rebound by Team,,64-82,,
8:47.0,M. Turner makes 2-pt shot from 15 ft,2,66-82,,
8:30.0,,,66-85,3,C. McCollum makes 3-pt shot from 24 ft
8:09.0,M. Ellis misses 2-pt shot from 21 ft,,66-85,,
8:08.0,,,66-85,,Defensive rebound by M. Plumlee
7:53.0,,,66-85,,M. Harkless misses 3-pt shot from 25 ft
7:52.0,Defensive rebound by M. Turner,,66-85,,
7:44.0,J. Teague makes 2-pt shot from 4 ft,2,68-85,,
7:25.0,,,68-85,,D. Lillard misses 3-pt shot from 25 ft
7:24.0,Defensive rebound by T. Young,,68-85,,
7:15.0,Shooting foul by M. Plumlee (drawn by J. Teague),,68-85,,
7:15.0,J. Teague misses free throw 1 of 2,,68-85,,
7:15.0,Offensive rebound by Team,,68-85,,
7:15.0,J. Teague makes free throw 2 of 2,1,69-85,,
7:15.0,,,68-85,,M. Leonard enters the game for M. Plumlee
6:57.0,,,69-85,,Shooting foul by M. Ellis (drawn by C. McCollum)
6:57.0,,,69-86,1,C. McCollum makes free throw 1 of 3
6:57.0,,,69-87,1,C. McCollum makes free throw 2 of 3
6:57.0,,,69-88,1,C. McCollum makes free throw 3 of 3
6:41.0,G. Robinson misses 2-pt shot from 18 ft,,69-88,,
6:41.0,,,69-88,,Defensive rebound by E. Davis
6:28.0,,,69-88,,M. Leonard misses 3-pt shot from 24 ft
6:27.0,,,69-88,,Offensive rebound by C. McCollum
6:25.0,,,69-90,2,C. McCollum makes 2-pt shot from 22 ft
6:24.0,Indiana full timeout,,69-90,,
6:24.0,R. Stuckey enters the game for M. Ellis,,69-90,,
6:17.0,Turnover by M. Turner (offensive foul),,69-90,,
6:17.0,Offensive foul by M. Turner,,69-90,,
5:57.0,,,69-92,2,M. Leonard makes 2-pt shot from 10 ft (assist by C. McCollum)
5:46.0,Turnover by R. Stuckey (bad pass; steal by E. Davis),,69-92,,
5:41.0,,,69-92,,D. Lillard misses 2-pt shot from 5 ft
5:41.0,Defensive rebound by T. Young,,69-92,,
5:24.0,M. Turner misses 2-pt shot from 22 ft,,69-92,,
5:23.0,,,69-92,,Defensive rebound by E. Davis
5:10.0,,,69-92,,C. McCollum misses 2-pt shot from 16 ft
5:10.0,Defensive rebound by M. Turner,,69-92,,
5:07.0,Turnover by R. Stuckey (bad pass; steal by M. Harkless),,69-92,,
5:03.0,,,69-94,2,M. Harkless makes 2-pt shot from 1 ft
4:48.0,Shooting foul by M. Harkless (drawn by R. Stuckey),,69-94,,
4:48.0,R. Stuckey misses free throw 1 of 2,,69-94,,
4:48.0,Offensive rebound by Team,,69-94,,
4:48.0,R. Stuckey makes free throw 2 of 2,1,70-94,,
4:48.0,A. Brooks enters the game for J. Teague,,69-94,,
4:48.0,A. Jefferson enters the game for M. Turner,,69-94,,
4:26.0,,,70-94,,M. Leonard misses 3-pt shot from 26 ft
4:25.0,,,70-94,,Offensive rebound by M. Harkless
4:25.0,,,70-94,,Shooting foul by G. Robinson (drawn by M. Harkless)
4:25.0,,,70-95,1,M. Harkless makes free throw 1 of 2
4:25.0,,,70-96,1,M. Harkless makes free throw 2 of 2
4:25.0,,,70-95,,A. Crabbe enters the game for C. McCollum
4:25.0,,,70-95,,E. Turner enters the game for E. Davis
4:15.0,A. Brooks makes 2-pt shot from 17 ft,2,72-96,,
3:55.0,,,72-98,2,M. Harkless makes 2-pt shot from 1 ft (assist by E. Turner)
3:43.0,G. Robinson misses 2-pt shot from 12 ft,,72-98,,
3:42.0,,,72-98,,Defensive rebound by M. Leonard
3:37.0,Personal foul by A. Brooks (drawn by E. Turner),,72-98,,
3:37.0,L. Allen enters the game for T. Young,,72-98,,
3:37.0,,,72-98,,M. Plumlee enters the game for M. Harkless
3:26.0,,,72-98,,E. Turner misses 2-pt shot from 3 ft
3:20.0,,,72-98,,Offensive rebound by M. Plumlee
3:20.0,,,72-98,,M. Plumlee misses 2-pt shot from 2 ft (block by L. Allen)
3:19.0,Defensive rebound by A. Brooks,,72-98,,
3:19.0,A. Brooks makes 3-pt shot from 24 ft,3,75-98,,
3:19.0,,,75-98,,Portland full timeout
3:03.0,,,75-101,3,M. Leonard makes 3-pt shot from 25 ft (assist by E. Turner)
2:48.0,A. Jefferson misses 2-pt shot from 15 ft,,75-101,,
2:47.0,,,75-101,,Defensive rebound by D. Lillard
2:39.0,,,75-103,2,E. Turner makes 2-pt shot at rim (assist by M. Plumlee)
2:16.0,G. Robinson makes 2-pt shot from 2 ft,2,77-103,,
1:56.0,,,77-105,2,M. Plumlee makes 2-pt shot at rim (assist by E. Turner)
1:47.0,,,77-105,,Personal foul by A. Crabbe (drawn by R. Stuckey)
1:43.0,,,77-105,,Violation by M. Plumlee (def goaltending)
1:43.0,G. Robinson makes 2-pt shot from 1 ft (assist by L. Allen),2,79-105,,
1:22.0,,,79-105,,A. Crabbe misses 3-pt shot from 25 ft
1:21.0,Defensive rebound by R. Stuckey,,79-105,,
1:03.0,Turnover by A. Brooks (lost ball; steal by D. Lillard),,79-105,,
1:00.0,,,79-107,2,M. Plumlee makes 2-pt shot from 2 ft (assist by D. Lillard)
0:50.0,R. Stuckey makes 2-pt shot from 15 ft,2,81-107,,
0:34.0,,,81-107,,D. Lillard misses 3-pt shot from 25 ft
0:33.0,Defensive rebound by G. Robinson,,81-107,,
0:18.0,Turnover by A. Brooks (lost ball; steal by D. Lillard),,81-107,,
0:14.0,,,81-107,,Shooting foul by G. Robinson (drawn by A. Crabbe)
0:14.0,,,81-108,1,A. Crabbe makes free throw 1 of 2
0:14.0,,,81-109,1,A. Crabbe makes free throw 2 of 2
0:02.0,A. Brooks makes 2-pt shot from 5 ft,2,83-109,,
0:00.0,,,83-109,,M. Plumlee misses 3-pt shot from 50 ft
0:00.0,,,83-109,,Offensive rebound by Team
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:47.0,A. Jefferson makes 2-pt shot from 8 ft,2,85-109,,
11:24.0,,,85-109,,A. Crabbe misses 2-pt shot from 20 ft
11:23.0,Defensive rebound by A. Jefferson,,85-109,,
11:07.0,A. Jefferson makes 2-pt shot from 9 ft (assist by L. Allen),2,87-109,,
10:41.0,,,87-109,,E. Davis enters the game for M. Plumlee
10:40.0,,,87-109,,Turnover by Team (shot clock)
10:22.0,Turnover by A. Brooks (bad pass; steal by E. Turner),,87-109,,
10:14.0,,,87-109,,C. McCollum misses 3-pt shot from 24 ft
10:13.0,Defensive rebound by J. Teague,,87-109,,
10:07.0,Shooting foul by A. Crabbe (drawn by J. Teague),,87-109,,
10:07.0,J. Teague makes free throw 1 of 2,1,88-109,,
10:07.0,J. Teague makes free throw 2 of 2,1,89-109,,
10:07.0,M. Turner enters the game for L. Allen,,88-109,,
9:56.0,Personal foul by A. Jefferson (drawn by E. Turner),,89-109,,
9:50.0,,,89-109,,C. McCollum misses 2-pt shot from 15 ft
9:49.0,,,89-109,,Offensive rebound by C. McCollum
9:34.0,,,89-109,,A. Crabbe misses 2-pt shot from 23 ft
9:34.0,Defensive rebound by Team,,89-109,,
9:17.0,Shooting foul by E. Davis (drawn by A. Jefferson),,89-109,,
9:17.0,A. Jefferson misses free throw 1 of 2,,89-109,,
9:17.0,Offensive rebound by Team,,89-109,,
9:17.0,A. Jefferson makes free throw 2 of 2,1,90-109,,
8:56.0,,,90-109,,M. Leonard misses 3-pt shot from 24 ft
8:55.0,Defensive rebound by J. Teague,,90-109,,
8:48.0,J. Teague makes 2-pt shot from 7 ft,2,92-109,,
8:48.0,,,92-109,,Portland full timeout
8:33.0,,,92-109,,Shooting foul by M. Turner (drawn by A. Crabbe)
8:33.0,,,92-110,1,A. Crabbe makes free throw 1 of 3
8:33.0,,,92-111,1,A. Crabbe makes free throw 2 of 3
8:33.0,,,92-112,1,A. Crabbe makes free throw 3 of 3
8:18.0,A. Jefferson makes 2-pt shot from 3 ft (assist by M. Turner),2,94-112,,
8:01.0,,,94-112,,M. Leonard misses 3-pt shot from 24 ft
8:00.0,Defensive rebound by J. Teague,,94-112,,
7:51.0,A. Brooks makes 2-pt shot from 7 ft,2,96-112,,
7:33.0,,,96-112,,M. Leonard misses 3-pt shot from 24 ft
7:33.0,Defensive rebound by J. Teague,,96-112,,
7:18.0,Turnover by J. Teague (bad pass; steal by E. Turner),,96-112,,
7:16.0,,,96-112,,Offensive charge foul by E. Turner
7:16.0,,,96-112,,Turnover by E. Turner (offensive foul)
7:16.0,,,96-112,,D. Lillard enters the game for A. Crabbe
7:16.0,,,96-112,,M. Harkless enters the game for M. Leonard
6:54.0,A. Brooks makes 3-pt shot from 27 ft (assist by R. Stuckey),3,99-112,,
6:32.0,,,99-112,,Shooting foul by M. Turner (drawn by D. Lillard)
6:32.0,,,99-113,1,D. Lillard makes free throw 1 of 2
6:32.0,,,99-114,1,D. Lillard makes free throw 2 of 2
6:17.0,Shooting foul by M. Harkless (drawn by A. Jefferson),,99-114,,
6:17.0,A. Jefferson makes free throw 1 of 2,1,100-114,,
6:17.0,A. Jefferson makes free throw 2 of 2,1,101-114,,
6:15.0,Personal foul by J. Teague (drawn by D. Lillard),,101-114,,
5:57.0,,,101-114,,M. Harkless misses 2-pt shot from 4 ft (block by M. Turner)
5:57.0,,,101-114,,Offensive rebound by E. Davis
5:54.0,,,101-114,,C. McCollum misses 3-pt shot from 24 ft
5:52.0,Defensive rebound by M. Turner,,101-114,,
5:39.0,A. Brooks misses 3-pt shot from 30 ft,,101-114,,
5:37.0,,,101-114,,Defensive rebound by E. Turner
5:30.0,,,101-116,2,D. Lillard makes 2-pt shot from 14 ft
5:09.0,A. Jefferson makes 2-pt shot from 9 ft,2,103-116,,
4:50.0,,,103-118,2,D. Lillard makes 2-pt shot from 8 ft
4:39.0,Shooting foul by E. Davis (drawn by J. Teague),,103-118,,
4:39.0,Official timeout,,103-118,,
4:39.0,J. Teague makes free throw 1 of 2,1,104-118,,
4:39.0,J. Teague makes free throw 2 of 2,1,105-118,,
4:39.0,,,103-118,,M. Plumlee enters the game for E. Turner
4:21.0,,,105-118,,C. McCollum misses 3-pt shot from 24 ft
4:21.0,Defensive rebound by A. Brooks,,105-118,,
3:56.0,A. Brooks misses 2-pt shot from 2 ft (block by C. McCollum),,105-118,,
3:55.0,,,105-118,,Defensive rebound by M. Plumlee
3:39.0,,,105-120,2,M. Harkless makes 2-pt shot from 4 ft (assist by M. Plumlee)
3:14.0,J. Teague misses 3-pt shot from 25 ft,,105-120,,
3:14.0,Offensive rebound by Team,,105-120,,
3:14.0,Turnover by Team (shot clock),,105-120,,
3:01.0,,,105-120,,D. Lillard misses 3-pt shot from 26 ft
3:00.0,,,105-120,,Offensive rebound by C. McCollum
2:47.0,,,105-122,2,D. Lillard makes 2-pt shot from 3 ft
2:47.0,Indiana full timeout,,105-122,,
2:47.0,G. Niang enters the game for M. Turner,,105-122,,
2:47.0,L. Allen enters the game for J. Teague,,105-122,,
2:47.0,J. Young enters the game for R. Stuckey,,105-122,,
2:47.0,G. Robinson enters the game for A. Jefferson,,105-122,,
2:27.0,L. Allen misses 2-pt shot from 18 ft,,105-122,,
2:26.0,,,105-122,,Defensive rebound by D. Lillard
2:09.0,,,105-124,2,D. Lillard makes 2-pt shot from 8 ft
2:02.0,Shooting foul by D. Lillard (drawn by J. Young),,105-124,,
2:02.0,J. Young makes free throw 1 of 2,1,106-124,,
2:02.0,J. Young makes free throw 2 of 2,1,107-124,,
