time,Toronto,pts.away,score,pts.home,Minnesota
11:37.0,,,63-53,,Defensive rebound by K. Towns
11:22.0,,,63-56,3,G. Dieng makes 3-pt shot from 23 ft (assist by R. Rubio)
10:57.0,J. Valanciunas makes 2-pt shot from 15 ft (assist by K. Lowry),2,65-56,,
10:36.0,,,65-58,2,A. Wiggins makes 2-pt shot from 2 ft
10:11.0,K. Lowry misses 3-pt shot from 25 ft,,65-58,,
10:09.0,Offensive rebound by J. Valanciunas,,65-58,,
10:05.0,D. Carroll makes 3-pt shot from 25 ft (assist by J. Valanciunas),3,68-58,,
9:48.0,,,68-60,2,K. Towns makes 2-pt shot from 7 ft (assist by R. Rubio)
9:33.0,Turnover by P. Siakam (lost ball; steal by A. Wiggins),,68-60,,
9:28.0,,,68-60,,K. Towns misses 2-pt shot from 6 ft (block by P. Siakam)
9:26.0,Jump ball: P. Siakam vs. K. Towns (G. Dieng gains possession),,,,Jump ball: P. Siakam vs. K. Towns (G. Dieng gains possession)
9:26.0,,,68-60,,Offensive rebound by Team
9:22.0,,,68-60,,R. Rubio misses 2-pt shot from 21 ft
9:21.0,,,68-60,,Offensive rebound by K. Towns
9:17.0,,,68-62,2,K. Towns makes 2-pt shot from 6 ft
9:04.0,Turnover by K. Lowry (bad pass; steal by R. Rubio),,68-62,,
9:01.0,,,68-62,,Shooting foul by K. Lowry (drawn by G. Dieng)
9:01.0,,,68-63,1,G. Dieng makes free throw 1 of 2
9:01.0,,,68-64,1,G. Dieng makes free throw 2 of 2
8:48.0,Turnover by D. DeRozan (lost ball; steal by G. Dieng),,68-64,,
8:43.0,,,68-66,2,A. Wiggins makes 2-pt shot at rim (assist by G. Dieng)
8:42.0,Toronto full timeout,,68-66,,
8:31.0,D. DeRozan misses 2-pt shot from 19 ft,,68-66,,
8:29.0,,,68-66,,Defensive rebound by G. Dieng
8:13.0,,,68-66,,G. Dieng misses 2-pt shot from 15 ft
8:11.0,Defensive rebound by D. Carroll,,68-66,,
8:01.0,K. Lowry misses 2-pt shot from 1 ft,,68-66,,
8:00.0,Offensive rebound by P. Siakam,,68-66,,
7:47.0,D. DeRozan makes 2-pt shot from 12 ft,2,70-66,,
7:23.0,,,70-68,2,G. Dieng makes 2-pt shot from 18 ft (assist by A. Wiggins)
7:03.0,D. DeRozan misses 2-pt shot from 1 ft,,70-68,,
7:01.0,,,70-68,,Defensive rebound by K. Towns
6:56.0,,,70-68,,R. Rubio misses 2-pt shot from 1 ft
6:55.0,Defensive rebound by D. Carroll,,70-68,,
6:47.0,K. Lowry misses 3-pt shot from 25 ft,,70-68,,
6:46.0,,,70-68,,Defensive rebound by G. Dieng
6:44.0,Personal foul by K. Lowry (drawn by R. Rubio),,70-68,,
6:26.0,,,70-68,,A. Wiggins misses 2-pt shot from 1 ft (block by P. Siakam)
6:25.0,Defensive rebound by Team,,70-68,,
6:07.0,P. Siakam misses 2-pt shot from 6 ft,,70-68,,
6:06.0,,,70-68,,Defensive rebound by K. Towns
5:58.0,,,70-70,2,K. Towns makes 2-pt shot from 8 ft (assist by R. Rubio)
5:58.0,,,70-70,,Shooting foul by P. Siakam (drawn by K. Towns)
5:58.0,,,70-71,1,K. Towns makes free throw 1 of 1
5:58.0,L. Nogueira enters the game for P. Siakam,,70-70,,
5:44.0,Shooting foul by K. Towns (drawn by D. DeRozan),,70-71,,
5:44.0,D. DeRozan makes free throw 1 of 2,1,71-71,,
5:44.0,D. DeRozan makes free throw 2 of 2,1,72-71,,
5:34.0,,,72-71,,G. Dieng misses 2-pt shot from 17 ft
5:33.0,Defensive rebound by J. Valanciunas,,72-71,,
5:21.0,J. Valanciunas makes 2-pt shot from 18 ft (assist by K. Lowry),2,74-71,,
5:07.0,,,74-71,,Shooting foul by L. Nogueira (drawn by K. Towns)
5:07.0,,,74-72,1,K. Towns makes free throw 1 of 2
5:07.0,,,74-73,1,K. Towns makes free throw 2 of 2
4:54.0,Shooting foul by G. Dieng (drawn by J. Valanciunas),,74-73,,
4:54.0,J. Valanciunas makes free throw 1 of 2,1,75-73,,
4:54.0,J. Valanciunas makes free throw 2 of 2,1,76-73,,
4:54.0,C. Joseph enters the game for K. Lowry,,75-73,,
4:47.0,,,76-73,,A. Wiggins misses 2-pt shot from 3 ft
4:46.0,Defensive rebound by J. Valanciunas,,76-73,,
4:34.0,J. Valanciunas makes 2-pt shot at rim,2,78-73,,
4:18.0,Personal foul by L. Nogueira (drawn by K. Towns),,78-73,,
4:18.0,,,78-74,1,K. Towns makes free throw 1 of 2
4:18.0,,,78-75,1,K. Towns makes free throw 2 of 2
4:18.0,,,78-74,,S. Muhammad enters the game for B. Rush
4:02.0,D. Carroll misses 2-pt shot from 19 ft,,78-75,,
4:01.0,,,78-75,,Defensive rebound by R. Rubio
3:59.0,,,78-75,,Turnover by R. Rubio (bad pass)
3:50.0,D. DeRozan makes 2-pt shot from 13 ft,2,80-75,,
3:34.0,,,80-75,,Shooting foul by L. Nogueira (drawn by K. Towns)
3:34.0,,,80-76,1,K. Towns makes free throw 1 of 2
3:34.0,,,80-77,1,K. Towns makes free throw 2 of 2
3:34.0,,,80-76,,T. Jones enters the game for R. Rubio
3:34.0,J. Poeltl enters the game for L. Nogueira,,80-76,,
3:23.0,,,80-77,,Personal foul by G. Dieng (drawn by J. Valanciunas)
3:23.0,,,80-77,,N. Bjelica enters the game for K. Towns
3:11.0,D. Carroll makes 3-pt shot from 25 ft (assist by J. Poeltl),3,83-77,,
2:53.0,,,83-79,2,A. Wiggins makes 2-pt shot from 10 ft
2:31.0,Turnover by D. Carroll (bad pass; steal by A. Wiggins),,83-79,,
2:23.0,,,83-79,,A. Wiggins misses 2-pt shot from 10 ft
2:22.0,Defensive rebound by D. Carroll,,83-79,,
2:02.0,J. Valanciunas makes 2-pt shot from 7 ft,2,85-79,,
1:45.0,,,85-79,,T. Jones misses 2-pt shot from 8 ft
1:44.0,,,85-79,,Offensive rebound by A. Wiggins
1:37.0,,,85-79,,A. Wiggins misses 2-pt shot from 6 ft
1:37.0,,,85-79,,Offensive rebound by Team
1:37.0,,,85-79,,Minnesota full timeout
1:37.0,J. Sullinger enters the game for D. Carroll,,85-79,,
1:37.0,T. Ross enters the game for J. Valanciunas,,85-79,,
1:32.0,,,85-81,2,G. Dieng makes 2-pt shot from 19 ft (assist by A. Wiggins)
1:09.0,T. Ross makes 3-pt shot from 26 ft (assist by J. Sullinger),3,88-81,,
0:52.0,,,88-81,,N. Bjelica misses 3-pt shot from 23 ft
0:51.0,,,88-81,,Offensive rebound by A. Wiggins
0:47.0,,,88-83,2,S. Muhammad makes 2-pt shot from 9 ft (assist by A. Wiggins)
0:34.0,J. Sullinger misses 2-pt shot from 20 ft,,88-83,,
0:32.0,,,88-83,,Defensive rebound by A. Wiggins
0:25.0,,,88-83,,S. Muhammad misses 2-pt shot from 1 ft
0:25.0,Defensive rebound by T. Ross,,88-83,,
0:07.0,,,88-83,,Personal take foul by S. Muhammad (drawn by D. DeRozan)
0:00.0,J. Sullinger misses 3-pt shot from 34 ft,,88-83,,
0:00.0,Offensive rebound by Team,,88-83,,
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:46.0,,,88-83,,L. Stephenson misses 2-pt shot from 13 ft
11:45.0,,,88-83,,Offensive rebound by G. Dieng
11:40.0,,,88-85,2,S. Muhammad makes 2-pt shot from 16 ft
11:23.0,Offensive foul by J. Sullinger,,88-85,,
11:23.0,Turnover by J. Sullinger (offensive foul),,88-85,,
11:01.0,,,88-85,,L. Stephenson misses 2-pt shot from 18 ft
11:00.0,Defensive rebound by C. Joseph,,88-85,,
10:40.0,C. Joseph misses 3-pt shot from 23 ft,,88-85,,
10:38.0,,,88-85,,Defensive rebound by L. Stephenson
10:34.0,,,88-85,,S. Muhammad misses 2-pt shot from 1 ft
10:33.0,Defensive rebound by T. Ross,,88-85,,
10:32.0,,,88-85,,Personal foul by N. Bjelica (drawn by T. Ross)
10:18.0,T. Ross makes 2-pt shot from 6 ft,2,90-85,,
9:57.0,,,90-85,,T. Jones misses 3-pt shot from 22 ft
9:55.0,Defensive rebound by J. Sullinger,,90-85,,
9:47.0,K. Lowry misses 2-pt shot from 16 ft,,90-85,,
9:46.0,Offensive rebound by Team,,90-85,,
9:46.0,,,90-85,,Loose ball foul by N. Bjelica (drawn by J. Poeltl)
9:46.0,,,90-85,,K. Towns enters the game for G. Dieng
9:35.0,Turnover by C. Joseph (bad pass),,90-85,,
9:17.0,,,90-85,,Turnover by L. Stephenson (bad pass; steal by C. Joseph)
9:09.0,T. Ross misses 3-pt shot from 26 ft,,90-85,,
9:08.0,,,90-85,,Defensive rebound by L. Stephenson
9:04.0,Personal foul by T. Ross (drawn by S. Muhammad),,90-85,,
8:50.0,,,90-85,,T. Jones misses 3-pt shot from 25 ft
8:49.0,,,90-85,,Offensive rebound by Team
8:49.0,,,90-85,,Minnesota full timeout
8:49.0,L. Nogueira enters the game for J. Poeltl,,90-85,,
8:49.0,Jump ball: J. Sullinger vs. K. Towns (S. Muhammad gains possession),,,,Jump ball: J. Sullinger vs. K. Towns (S. Muhammad gains possession)
8:38.0,,,90-85,,Shooting foul by T. Ross (drawn by K. Towns)
8:38.0,,,90-86,1,K. Towns makes free throw 1 of 2
8:38.0,,,90-87,1,K. Towns makes free throw 2 of 2
8:19.0,T. Ross misses 2-pt shot from 1 ft,,90-87,,
8:18.0,Offensive rebound by J. Sullinger,,90-87,,
8:14.0,Turnover by J. Sullinger (lost ball; steal by T. Jones),,90-87,,
7:56.0,,,90-87,,K. Towns misses 2-pt shot from 17 ft
7:55.0,Defensive rebound by Team,,90-87,,
7:55.0,,,90-87,,Loose ball foul by T. Jones (drawn by K. Lowry)
7:39.0,,,90-87,,Personal foul by S. Muhammad (drawn by T. Ross)
7:33.0,K. Lowry misses 3-pt shot from 25 ft,,90-87,,
7:32.0,,,90-87,,Defensive rebound by S. Muhammad
7:17.0,,,90-87,,Turnover by N. Bjelica (lost ball; steal by T. Ross)
7:13.0,T. Ross makes 2-pt shot at rim,2,92-87,,
7:13.0,,,92-87,,Minnesota full timeout
7:13.0,D. Carroll enters the game for C. Joseph,,92-87,,
7:13.0,D. DeRozan enters the game for T. Ross,,92-87,,
7:13.0,,,92-87,,A. Wiggins enters the game for N. Bjelica
7:13.0,N. Powell enters the game for J. Sullinger,,92-87,,
6:50.0,,,92-90,3,A. Wiggins makes 3-pt shot from 24 ft
6:28.0,K. Lowry misses 2-pt shot from 1 ft (block by K. Towns),,92-90,,
6:26.0,,,92-90,,Defensive rebound by K. Towns
6:24.0,,,92-90,,Turnover by K. Towns (bad pass; steal by L. Nogueira)
6:20.0,K. Lowry makes 3-pt shot from 24 ft (assist by L. Nogueira),3,95-90,,
5:56.0,,,95-93,3,S. Muhammad makes 3-pt shot from 24 ft (assist by T. Jones)
5:40.0,D. DeRozan makes 2-pt shot from 12 ft,2,97-93,,
5:17.0,,,97-93,,S. Muhammad misses 3-pt shot from 24 ft
5:16.0,,,97-93,,Offensive rebound by K. Towns
5:15.0,,,97-95,2,K. Towns makes 2-pt shot from 1 ft
5:00.0,D. Carroll makes 2-pt shot from 1 ft (assist by D. DeRozan),2,99-95,,
4:41.0,,,99-97,2,S. Muhammad makes 2-pt shot from 1 ft (assist by A. Wiggins)
4:20.0,D. DeRozan misses 2-pt shot from 15 ft,,99-97,,
4:18.0,Offensive rebound by K. Lowry,,99-97,,
4:08.0,K. Lowry makes 2-pt shot from 2 ft,2,101-97,,
4:08.0,,,101-97,,Minnesota full timeout
3:53.0,,,101-99,2,K. Towns makes 2-pt shot from 1 ft (assist by S. Muhammad)
3:32.0,Turnover by N. Powell (traveling),,101-99,,
3:21.0,,,101-99,,Offensive foul by A. Wiggins
3:21.0,,,101-99,,Turnover by A. Wiggins (offensive foul)
3:01.0,D. DeRozan makes 2-pt shot from 2 ft,2,103-99,,
2:42.0,,,103-99,,Turnover by A. Wiggins (lost ball; steal by K. Lowry)
2:36.0,K. Lowry misses 2-pt shot from 23 ft,,103-99,,
2:35.0,,,103-99,,Defensive rebound by K. Towns
2:31.0,Personal foul by N. Powell (drawn by A. Wiggins),,103-99,,
2:31.0,Toronto full timeout,,103-99,,
2:20.0,,,103-99,,A. Wiggins misses 2-pt shot from 2 ft
2:19.0,,,103-99,,Offensive rebound by K. Towns
2:19.0,,,103-101,2,K. Towns makes 2-pt shot at rim
1:57.0,D. DeRozan makes 2-pt shot from 13 ft,2,105-101,,
1:42.0,,,105-103,2,S. Muhammad makes 2-pt shot at rim (assist by K. Towns)
1:24.0,D. DeRozan misses 2-pt shot from 7 ft,,105-103,,
1:23.0,,,105-103,,Defensive rebound by A. Wiggins
1:18.0,,,105-103,,Shooting foul by D. DeRozan (drawn by S. Muhammad)
1:18.0,,,105-104,1,S. Muhammad makes free throw 1 of 2
1:18.0,,,105-104,,S. Muhammad misses free throw 2 of 2
1:16.0,Defensive rebound by L. Nogueira,,105-104,,
1:00.0,D. DeRozan misses 2-pt shot from 18 ft,,105-104,,
1:00.0,,,105-104,,Defensive rebound by K. Towns
0:48.0,,,105-106,2,A. Wiggins makes 2-pt shot from 17 ft
0:48.0,Toronto full timeout,,105-106,,
0:36.0,K. Lowry misses 3-pt shot from 25 ft,,105-106,,
