time,Houston,pts.away,score,pts.home,Oklahoma City
1:00.0,J. Harden misses 3-pt shot from 26 ft,,57-63,,
1:00.0,Offensive rebound by P. Beverley,,57-63,,
0:48.0,P. Beverley misses 3-pt shot from 25 ft,,57-63,,
0:47.0,,,57-63,,Defensive rebound by T. Gibson
0:40.0,,,57-63,,R. Westbrook misses 2-pt shot from 20 ft
0:40.0,Defensive rebound by P. Beverley,,57-63,,
0:34.0,Shooting foul by T. Gibson (drawn by P. Beverley),,57-63,,
0:34.0,P. Beverley makes free throw 1 of 2,1,58-63,,
0:34.0,P. Beverley misses free throw 2 of 2,,58-63,,
0:34.0,,,58-63,,Defensive rebound by R. Westbrook
0:34.0,,,58-63,,D. McDermott enters the game for T. Gibson
0:12.0,,,58-65,2,R. Westbrook makes 2-pt shot from 1 ft
0:00.0,P. Beverley misses 3-pt shot from 25 ft,,58-65,,
0:00.0,Offensive rebound by Team,,58-65,,
0:00.0,End of 2nd quarter,,,,End of 2nd quarter
12:00.0,Start of 3rd quarter,,,,Start of 3rd quarter
11:44.0,T. Ariza makes 2-pt shot from 1 ft,2,60-65,,
11:44.0,Shooting foul by V. Oladipo (drawn by T. Ariza),,60-65,,
11:44.0,T. Ariza makes free throw 1 of 1,1,61-65,,
11:25.0,,,61-65,,T. Gibson misses 2-pt shot from 4 ft
11:25.0,Defensive rebound by R. Anderson,,61-65,,
11:09.0,T. Ariza misses 3-pt shot from 25 ft,,61-65,,
11:08.0,Offensive rebound by Team,,61-65,,
10:58.0,C. Capela misses 2-pt shot from 2 ft,,61-65,,
10:56.0,Offensive rebound by T. Ariza,,61-65,,
10:51.0,Shooting foul by A. Roberson (drawn by J. Harden),,61-65,,
10:51.0,J. Harden makes free throw 1 of 3,1,62-65,,
10:51.0,J. Harden makes free throw 2 of 3,1,63-65,,
10:51.0,J. Harden makes free throw 3 of 3,1,64-65,,
10:39.0,Personal foul by J. Harden (drawn by S. Adams),,64-65,,
10:32.0,,,64-65,,R. Westbrook misses 2-pt shot from 3 ft (block by C. Capela)
10:30.0,Defensive rebound by P. Beverley,,64-65,,
10:23.0,J. Harden makes 3-pt shot from 25 ft,3,67-65,,
10:22.0,,,67-65,,Oklahoma City full timeout
10:10.0,,,67-67,2,V. Oladipo makes 2-pt shot from 20 ft
9:56.0,R. Anderson misses 3-pt shot from 25 ft,,67-67,,
9:55.0,,,67-67,,Defensive rebound by V. Oladipo
9:44.0,,,67-67,,A. Roberson misses 2-pt shot from 2 ft (block by C. Capela)
9:43.0,,,67-67,,Offensive rebound by A. Roberson
9:40.0,,,67-69,2,T. Gibson makes 2-pt shot from 17 ft (assist by A. Roberson)
9:13.0,J. Harden misses 3-pt shot from 25 ft,,67-69,,
9:12.0,Offensive rebound by P. Beverley,,67-69,,
9:11.0,Turnover by P. Beverley (bad pass; steal by R. Westbrook),,67-69,,
9:02.0,,,67-71,2,T. Gibson makes 2-pt shot at rim (assist by R. Westbrook)
8:42.0,P. Beverley misses 3-pt shot from 23 ft,,67-71,,
8:41.0,,,67-71,,Defensive rebound by R. Westbrook
8:37.0,Personal foul by P. Beverley (drawn by R. Westbrook),,67-71,,
8:31.0,,,67-71,,Shooting foul by P. Beverley (drawn by R. Westbrook)
8:31.0,,,67-71,,R. Westbrook misses free throw 1 of 2
8:31.0,,,67-71,,Offensive rebound by Team
8:31.0,,,67-72,1,R. Westbrook makes free throw 2 of 2
8:31.0,E. Gordon enters the game for P. Beverley,,67-71,,
8:17.0,T. Ariza misses 3-pt shot from 25 ft,,67-72,,
8:16.0,,,67-72,,Defensive rebound by S. Adams
8:03.0,,,67-74,2,R. Westbrook makes 2-pt shot from 12 ft
7:47.0,J. Harden makes 2-pt shot from 1 ft,2,69-74,,
7:34.0,,,69-74,,Turnover by R. Westbrook (bad pass; steal by C. Capela)
7:26.0,E. Gordon misses 2-pt shot from 2 ft,,69-74,,
7:26.0,,,69-74,,Defensive rebound by V. Oladipo
7:18.0,,,69-74,,T. Gibson misses 2-pt shot from 2 ft (block by J. Harden)
7:18.0,Jump ball: T. Gibson vs. J. Harden (C. Capela gains possession),,,,Jump ball: T. Gibson vs. J. Harden (C. Capela gains possession)
7:18.0,Defensive rebound by Team,,69-74,,
7:07.0,J. Harden misses 3-pt shot from 24 ft,,69-74,,
7:07.0,,,69-74,,Defensive rebound by A. Roberson
6:45.0,,,69-76,2,T. Gibson makes 2-pt shot from 20 ft (assist by R. Westbrook)
6:21.0,R. Anderson makes 2-pt shot from 15 ft,2,71-76,,
6:02.0,,,71-78,2,R. Westbrook makes 2-pt shot from 19 ft
5:42.0,R. Anderson misses 3-pt shot from 25 ft,,71-78,,
5:41.0,,,71-78,,Defensive rebound by R. Westbrook
5:39.0,Personal block foul by R. Anderson (drawn by T. Gibson),,71-78,,
5:39.0,,,71-78,,A. Abrines enters the game for V. Oladipo
5:39.0,N. Hilario enters the game for C. Capela,,71-78,,
5:39.0,L. Williams enters the game for R. Anderson,,71-78,,
5:28.0,,,71-78,,R. Westbrook misses 2-pt shot from 21 ft
5:26.0,Defensive rebound by J. Harden,,71-78,,
5:17.0,N. Hilario makes 2-pt shot from 1 ft,2,73-78,,
5:00.0,,,73-78,,A. Abrines misses 3-pt shot from 24 ft
5:00.0,Defensive rebound by E. Gordon,,73-78,,
4:44.0,E. Gordon makes 2-pt shot at rim,2,75-78,,
4:32.0,,,75-78,,Shooting foul by T. Ariza (drawn by R. Westbrook)
4:32.0,,,75-79,1,R. Westbrook makes free throw 1 of 2
4:32.0,,,75-80,1,R. Westbrook makes free throw 2 of 2
4:32.0,,,75-79,,D. McDermott enters the game for T. Gibson
4:21.0,Shooting foul by A. Abrines (drawn by N. Hilario),,75-80,,
4:21.0,N. Hilario makes free throw 1 of 2,1,76-80,,
4:21.0,N. Hilario misses free throw 2 of 2,,76-80,,
4:20.0,,,76-80,,Defensive rebound by A. Roberson
3:57.0,,,76-83,3,A. Roberson makes 3-pt shot from 23 ft (assist by R. Westbrook)
3:39.0,L. Williams misses 2-pt shot from 2 ft,,76-83,,
3:39.0,,,76-83,,Defensive rebound by R. Westbrook
3:31.0,,,76-86,3,A. Abrines makes 3-pt shot from 23 ft (assist by S. Adams)
3:30.0,Houston full timeout,,76-86,,
3:15.0,E. Gordon makes 3-pt shot from 24 ft (assist by J. Harden),3,79-86,,
2:58.0,Personal foul by L. Williams (drawn by A. Abrines),,79-86,,
2:58.0,,,79-87,1,A. Abrines makes free throw 1 of 2
2:58.0,,,79-88,1,A. Abrines makes free throw 2 of 2
2:38.0,E. Gordon misses 3-pt shot from 26 ft,,79-88,,
2:37.0,Offensive rebound by N. Hilario,,79-88,,
2:37.0,,,79-88,,Personal foul by A. Abrines (drawn by N. Hilario)
2:37.0,N. Hilario misses free throw 1 of 2,,79-88,,
2:37.0,Offensive rebound by Team,,79-88,,
2:37.0,N. Hilario makes free throw 2 of 2,1,80-88,,
2:20.0,,,80-90,2,R. Westbrook makes 2-pt shot from 19 ft
2:09.0,J. Harden makes 2-pt shot from 1 ft,2,82-90,,
2:09.0,Shooting foul by S. Adams (drawn by J. Harden),,82-90,,
2:09.0,J. Harden makes free throw 1 of 1,1,83-90,,
1:53.0,,,83-90,,A. Roberson misses 2-pt shot from 2 ft
1:52.0,Defensive rebound by N. Hilario,,83-90,,
1:42.0,N. Hilario misses 2-pt shot from 1 ft,,83-90,,
1:42.0,,,83-90,,Defensive rebound by A. Abrines
1:35.0,,,83-90,,R. Westbrook misses 2-pt shot from 1 ft
1:34.0,Defensive rebound by J. Harden,,83-90,,
1:26.0,L. Williams misses 3-pt shot from 25 ft,,83-90,,
1:24.0,,,83-90,,Defensive rebound by S. Adams
1:12.0,,,83-90,,R. Westbrook misses 2-pt shot from 15 ft
1:11.0,Defensive rebound by E. Gordon,,83-90,,
0:59.0,Turnover by J. Harden (lost ball; steal by A. Roberson),,83-90,,
0:58.0,Personal take foul by J. Harden (drawn by A. Roberson),,83-90,,
0:58.0,,,83-90,,A. Roberson misses free throw 1 of 2
0:58.0,,,83-90,,Offensive rebound by Team
0:58.0,,,83-90,,A. Roberson misses free throw 2 of 2
0:58.0,Defensive rebound by J. Harden,,83-90,,
0:58.0,,,83-90,,N. Cole enters the game for R. Westbrook
0:31.0,Turnover by Team (shot clock),,83-90,,
0:14.0,,,83-93,3,D. McDermott makes 3-pt shot from 25 ft (assist by A. Roberson)
0:01.0,J. Harden misses 3-pt shot from 26 ft,,83-93,,
0:00.0,,,83-93,,Defensive rebound by S. Adams
0:00.0,End of 3rd quarter,,,,End of 3rd quarter
12:00.0,Start of 4th quarter,,,,Start of 4th quarter
11:35.0,,,83-93,,E. Kanter misses 2-pt shot from 13 ft
11:34.0,Defensive rebound by P. Beverley,,83-93,,
11:26.0,Turnover by P. Beverley (traveling),,83-93,,
11:17.0,,,83-93,,V. Oladipo misses 2-pt shot from 1 ft
11:16.0,,,83-93,,Offensive rebound by E. Kanter
11:16.0,,,83-93,,E. Kanter misses 2-pt shot from 2 ft
11:16.0,Defensive rebound by R. Anderson,,83-93,,
11:10.0,L. Williams makes 2-pt shot from 8 ft,2,85-93,,
10:50.0,Personal foul by C. Capela (drawn by E. Kanter),,85-93,,
10:41.0,,,85-93,,J. Grant misses 2-pt shot at rim (block by C. Capela)
10:40.0,Defensive rebound by R. Anderson,,85-93,,
10:31.0,R. Anderson makes 2-pt shot from 11 ft (assist by P. Beverley),2,87-93,,
10:15.0,,,87-93,,V. Oladipo misses 3-pt shot from 24 ft (block by E. Gordon)
10:14.0,,,87-93,,Offensive rebound by V. Oladipo
10:10.0,,,87-93,,D. McDermott misses 3-pt shot from 24 ft
10:09.0,Defensive rebound by C. Capela,,87-93,,
9:59.0,E. Gordon makes 2-pt shot from 6 ft,2,89-93,,
9:59.0,Shooting foul by V. Oladipo (drawn by E. Gordon),,89-93,,
9:59.0,E. Gordon makes free throw 1 of 1,1,90-93,,
9:46.0,,,90-96,3,D. McDermott makes 3-pt shot from 23 ft (assist by J. Grant)
9:34.0,L. Williams misses 2-pt shot from 6 ft (block by D. McDermott),,90-96,,
9:33.0,Offensive rebound by L. Williams,,90-96,,
9:33.0,L. Williams makes 2-pt shot from 1 ft,2,92-96,,
9:15.0,,,92-98,2,E. Kanter makes 2-pt shot from 2 ft (assist by J. Grant)
8:57.0,,,92-98,,Personal foul by E. Kanter (drawn by P. Beverley)
8:57.0,Official timeout,,92-98,,
8:57.0,,,92-98,,R. Westbrook enters the game for N. Cole
8:52.0,E. Gordon misses 3-pt shot from 25 ft,,92-98,,
8:51.0,,,92-98,,Defensive rebound by J. Grant
8:35.0,,,92-100,2,R. Westbrook makes 2-pt shot from 16 ft
8:14.0,R. Anderson misses 2-pt shot from 15 ft,,92-100,,
8:14.0,,,92-100,,Defensive rebound by E. Kanter
7:58.0,,,92-100,,Shooting foul by P. Beverley (drawn by E. Kanter)
7:58.0,,,92-101,1,E. Kanter makes free throw 1 of 2
7:58.0,,,92-102,1,E. Kanter makes free throw 2 of 2
7:58.0,J. Harden enters the game for P. Beverley,,92-101,,
7:58.0,,,92-101,,A. Roberson enters the game for D. McDermott
7:58.0,T. Ariza enters the game for C. Capela,,92-101,,
7:46.0,L. Williams misses 2-pt shot from 6 ft,,92-102,,
7:44.0,Offensive rebound by R. Anderson,,92-102,,
7:44.0,R. Anderson makes 2-pt shot from 1 ft,2,94-102,,
7:26.0,,,94-102,,R. Westbrook misses 2-pt shot from 17 ft
7:25.0,Defensive rebound by E. Gordon,,94-102,,
7:17.0,L. Williams misses 2-pt shot from 1 ft,,94-102,,
7:16.0,,,94-102,,Defensive rebound by R. Westbrook
7:11.0,,,94-102,,Turnover by R. Westbrook (bad pass)
7:11.0,,,94-102,,T. Gibson enters the game for E. Kanter
6:49.0,T. Ariza misses 2-pt shot from 2 ft,,94-102,,
6:48.0,Offensive rebound by Team,,94-102,,
6:45.0,R. Anderson misses 3-pt shot from 29 ft,,94-102,,
6:45.0,,,94-102,,Defensive rebound by R. Westbrook
6:29.0,,,94-102,,R. Westbrook misses 2-pt shot from 12 ft
6:28.0,Defensive rebound by L. Williams,,94-102,,
6:19.0,R. Anderson misses 3-pt shot from 25 ft,,94-102,,
6:19.0,,,94-102,,Defensive rebound by V. Oladipo
6:13.0,,,94-104,2,R. Westbrook makes 2-pt shot from 1 ft
6:01.0,L. Williams makes 2-pt shot from 1 ft,2,96-104,,
5:39.0,,,96-104,,Turnover by T. Gibson (lost ball; steal by E. Gordon)
5:29.0,Offensive foul by J. Harden,,96-104,,
5:29.0,Turnover by J. Harden (offensive foul),,96-104,,
5:29.0,,,96-104,,Oklahoma City full timeout
5:29.0,,,96-104,,A. Abrines enters the game for V. Oladipo
5:13.0,,,96-106,2,T. Gibson makes 2-pt shot from 1 ft
4:58.0,J. Harden makes 3-pt shot from 25 ft,3,99-106,,
4:41.0,Personal foul by J. Harden (drawn by T. Gibson),,99-106,,
4:31.0,,,99-106,,Turnover by T. Gibson (lost ball)
4:07.0,E. Gordon makes 2-pt shot from 1 ft,2,101-106,,
3:50.0,,,101-106,,A. Roberson misses 3-pt shot from 23 ft
3:49.0,Defensive rebound by T. Ariza,,101-106,,
3:35.0,R. Anderson makes 2-pt shot from 2 ft,2,103-106,,
3:35.0,,,103-106,,Oklahoma City full timeout
3:35.0,,,103-106,,V. Oladipo enters the game for A. Abrines
3:24.0,,,103-106,,R. Westbrook misses 2-pt shot from 2 ft
3:23.0,Defensive rebound by J. Harden,,103-106,,
3:17.0,E. Gordon misses 3-pt shot from 25 ft,,103-106,,
3:16.0,,,103-106,,Defensive rebound by T. Gibson
3:10.0,,,103-106,,Turnover by R. Westbrook (bad pass; steal by E. Gordon)
2:45.0,Turnover by Team (shot clock),,103-106,,
2:45.0,Houston full timeout,,103-106,,
2:31.0,,,103-108,2,J. Grant makes 2-pt shot from 1 ft
